000000019fc65600 (__TEXT,__text) non-external +[AMFI isAvailable]
000000019fc61b08 (__TEXT,__text) non-external +[SPMigration createKernelExtensionMigrationData:]
000000019fc60e28 (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:]
000000019fc67e08 (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:].cold.1
000000019fc60c34 (__TEXT,__text) non-external +[SPMigration gatekeeperMigrationDataPath:]
000000019fc60c18 (__TEXT,__text) non-external +[SPMigration kernelExtensionMigrationDataPath:]
000000019fc612d4 (__TEXT,__text) non-external +[SPMigration readKernelExtensionMigrationPolicy:]
000000019fc60dd8 (__TEXT,__text) non-external +[SPMigration volumeRequiresGatekeeperMigration:]
000000019fc60c50 (__TEXT,__text) non-external +[SPMigration volumeRequiresKernelExtensionMigration:]
000000019fc53878 (__TEXT,__text) non-external -[AKELData .cxx_destruct]
000000019fc53778 (__TEXT,__text) non-external -[AKELData findLegacyKextBundleID:]
000000019fc535fc (__TEXT,__text) non-external -[AKELData initWithURL:]
000000019fc5344c (__TEXT,__text) non-external -[AKELData init]
000000019fc53834 (__TEXT,__text) non-external -[AKELData isKextAllowedWithoutSecureTimestamp:]
000000019fc53734 (__TEXT,__text) non-external -[AKELData isLegacyKextAllowed:]
000000019fc531c8 (__TEXT,__text) non-external -[AKELData loadFromBundleData:]
000000019fc53724 (__TEXT,__text) non-external -[AKELData reloadIfNecessary]
000000019fc658bc (__TEXT,__text) non-external -[AppWrapperPolicyResult description]
000000019fc65808 (__TEXT,__text) non-external -[AppWrapperPolicyResult initWithValid:withSignerCategory:withModified:]
000000019fc658d8 (__TEXT,__text) non-external -[AppWrapperPolicyResult isModified]
000000019fc658c8 (__TEXT,__text) non-external -[AppWrapperPolicyResult isValid]
000000019fc6586c (__TEXT,__text) non-external -[AppWrapperPolicyResult redactedDescription]
000000019fc658d0 (__TEXT,__text) non-external -[AppWrapperPolicyResult signerCategory]
000000019fc58854 (__TEXT,__text) non-external -[BundleData .cxx_destruct]
000000019fc57ea0 (__TEXT,__text) non-external -[BundleData dealloc]
000000019fc6729c (__TEXT,__text) non-external -[BundleData dealloc].cold.1
000000019fc583f0 (__TEXT,__text) non-external -[BundleData doReload]
000000019fc58820 (__TEXT,__text) non-external -[BundleData forceReload]
000000019fc57f44 (__TEXT,__text) non-external -[BundleData initWithURL:withReloadBlock:watchForUpdates:]
000000019fc57e84 (__TEXT,__text) non-external -[BundleData init]
000000019fc58834 (__TEXT,__text) non-external -[BundleData isSigned]
000000019fc58454 (__TEXT,__text) non-external -[BundleData loadInternalData:]
000000019fc587a4 (__TEXT,__text) non-external -[BundleData reloadIfNecessary]
000000019fc580c8 (__TEXT,__text) non-external -[BundleData setupFSStream]
000000019fc6730c (__TEXT,__text) non-external -[BundleData setupFSStream].cold.1
000000019fc6737c (__TEXT,__text) non-external -[BundleData setupFSStream].cold.2
000000019fc5884c (__TEXT,__text) non-external -[BundleData timestamp]
000000019fc5882c (__TEXT,__text) non-external -[BundleData url]
000000019fc58844 (__TEXT,__text) non-external -[BundleData versionNumber]
000000019fc5883c (__TEXT,__text) non-external -[BundleData version]
000000019fc593e8 (__TEXT,__text) non-external -[GKScanResult .cxx_destruct]
000000019fc593c4 (__TEXT,__text) non-external -[GKScanResult allowed]
000000019fc5930c (__TEXT,__text) non-external -[GKScanResult encodeWithCoder:]
000000019fc593d4 (__TEXT,__text) non-external -[GKScanResult gkError]
000000019fc5924c (__TEXT,__text) non-external -[GKScanResult initWithCoder:]
000000019fc593cc (__TEXT,__text) non-external -[GKScanResult setAllowed:]
000000019fc593dc (__TEXT,__text) non-external -[GKScanResult setGkError:]
000000019fc64984 (__TEXT,__text) non-external -[NSData(Strings) hexString]
000000019fc5456c (__TEXT,__text) non-external -[PolicyCacheMeta .cxx_destruct]
000000019fc54534 (__TEXT,__text) non-external -[PolicyCacheMeta forEntry]
000000019fc54520 (__TEXT,__text) non-external -[PolicyCacheMeta lastMiss]
000000019fc544f8 (__TEXT,__text) non-external -[PolicyCacheMeta metaId]
000000019fc5450c (__TEXT,__text) non-external -[PolicyCacheMeta missCount]
000000019fc54558 (__TEXT,__text) non-external -[PolicyCacheMeta resolvedEntry]
000000019fc5453c (__TEXT,__text) non-external -[PolicyCacheMeta setForEntry:]
000000019fc54528 (__TEXT,__text) non-external -[PolicyCacheMeta setLastMiss:]
000000019fc54500 (__TEXT,__text) non-external -[PolicyCacheMeta setMetaId:]
000000019fc54514 (__TEXT,__text) non-external -[PolicyCacheMeta setMissCount:]
000000019fc54560 (__TEXT,__text) non-external -[PolicyCacheMeta setResolvedEntry:]
000000019fc54550 (__TEXT,__text) non-external -[PolicyCacheMeta setSourceTable:]
000000019fc54548 (__TEXT,__text) non-external -[PolicyCacheMeta sourceTable]
000000019fc64210 (__TEXT,__text) non-external -[PolicyScanTarget .cxx_destruct]
000000019fc64180 (__TEXT,__text) non-external -[PolicyScanTarget blockDevice]
000000019fc63864 (__TEXT,__text) non-external -[PolicyScanTarget bundleID]
000000019fc63924 (__TEXT,__text) non-external -[PolicyScanTarget bundleVersion]
000000019fc63ce4 (__TEXT,__text) non-external -[PolicyScanTarget cdhashData]
000000019fc63da0 (__TEXT,__text) non-external -[PolicyScanTarget cdhashDigestAlgorithm]
000000019fc63c00 (__TEXT,__text) non-external -[PolicyScanTarget cdhash]
000000019fc641a8 (__TEXT,__text) non-external -[PolicyScanTarget checkValidity]
000000019fc63020 (__TEXT,__text) non-external -[PolicyScanTarget dealloc]
000000019fc640b8 (__TEXT,__text) non-external -[PolicyScanTarget description]
000000019fc63b54 (__TEXT,__text) non-external -[PolicyScanTarget entitlements]
000000019fc64190 (__TEXT,__text) non-external -[PolicyScanTarget fsTypeName]
000000019fc63084 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:]
000000019fc67ec4 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.1
000000019fc67f4c (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.2
000000019fc67f8c (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.3
000000019fc67fc4 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.4
000000019fc67ffc (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.5
000000019fc6803c (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.6
000000019fc63004 (__TEXT,__text) non-external -[PolicyScanTarget init]
000000019fc641b8 (__TEXT,__text) non-external -[PolicyScanTarget isAppWrapper]
000000019fc641e8 (__TEXT,__text) non-external -[PolicyScanTarget isBundled]
000000019fc641d0 (__TEXT,__text) non-external -[PolicyScanTarget isQuarantinedMount]
000000019fc63fd8 (__TEXT,__text) non-external -[PolicyScanTarget isQuarantined]
000000019fc641d8 (__TEXT,__text) non-external -[PolicyScanTarget isScript]
000000019fc6401c (__TEXT,__text) non-external -[PolicyScanTarget isUserApproved]
000000019fc637c0 (__TEXT,__text) non-external -[PolicyScanTarget mainExecutableURL]
000000019fc641a0 (__TEXT,__text) non-external -[PolicyScanTarget modTime]
000000019fc64208 (__TEXT,__text) non-external -[PolicyScanTarget mountTime]
000000019fc64188 (__TEXT,__text) non-external -[PolicyScanTarget objectID]
000000019fc64168 (__TEXT,__text) non-external -[PolicyScanTarget originalURL]
000000019fc64178 (__TEXT,__text) non-external -[PolicyScanTarget pathOnVolume]
000000019fc641f8 (__TEXT,__text) non-external -[PolicyScanTarget pid]
000000019fc64060 (__TEXT,__text) non-external -[PolicyScanTarget redactedDescription]
000000019fc641b0 (__TEXT,__text) non-external -[PolicyScanTarget setCheckValidity:]
000000019fc641f0 (__TEXT,__text) non-external -[PolicyScanTarget setIsBundled:]
000000019fc641e0 (__TEXT,__text) non-external -[PolicyScanTarget setIsScript:]
000000019fc64200 (__TEXT,__text) non-external -[PolicyScanTarget setPid:]
000000019fc641c8 (__TEXT,__text) non-external -[PolicyScanTarget setTriggeredByLibraryLoad:]
000000019fc63f1c (__TEXT,__text) non-external -[PolicyScanTarget signingID]
000000019fc63b10 (__TEXT,__text) non-external -[PolicyScanTarget signingInfo]
000000019fc63a48 (__TEXT,__text) non-external -[PolicyScanTarget staticCodeRef]
000000019fc63e60 (__TEXT,__text) non-external -[PolicyScanTarget teamID]
000000019fc641c0 (__TEXT,__text) non-external -[PolicyScanTarget triggeredByLibraryLoad]
000000019fc64160 (__TEXT,__text) non-external -[PolicyScanTarget url]
000000019fc64198 (__TEXT,__text) non-external -[PolicyScanTarget volumePath]
000000019fc64170 (__TEXT,__text) non-external -[PolicyScanTarget volumeUUID]
000000019fc65f6c (__TEXT,__text) non-external -[SPDeveloperPolicy .cxx_destruct]
000000019fc65ef0 (__TEXT,__text) non-external -[SPDeveloperPolicy createLocalDevelopmentCertificateForUser:error:]
000000019fc65d94 (__TEXT,__text) non-external -[SPDeveloperPolicy dealloc]
000000019fc65cc0 (__TEXT,__text) non-external -[SPDeveloperPolicy init]
000000019fc65de8 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperModeEnabled]
000000019fc65ed0 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperToolEnvironmentWithError:]
000000019fc65f5c (__TEXT,__text) non-external -[SPDeveloperPolicy registerDevelopmentTeamWithIdentifier:error:]
000000019fc65f54 (__TEXT,__text) non-external -[SPDeveloperPolicy removeLocalDevelopmentCertificateForUser:error:]
000000019fc65e0c (__TEXT,__text) non-external -[SPDeveloperPolicy setDeveloperModeEnabled:error:]
000000019fc65f64 (__TEXT,__text) non-external -[SPDeveloperPolicy unregisterDevelopmentTeamWithIdentifier:error:]
000000019fc5ad3c (__TEXT,__text) non-external -[SPExecutionHistoryItem .cxx_destruct]
000000019fc5ad1c (__TEXT,__text) non-external -[SPExecutionHistoryItem cdHash]
000000019fc5ad2c (__TEXT,__text) non-external -[SPExecutionHistoryItem developerName]
000000019fc5aac8 (__TEXT,__text) non-external -[SPExecutionHistoryItem encodeWithCoder:]
000000019fc5acfc (__TEXT,__text) non-external -[SPExecutionHistoryItem execPath]
000000019fc5a88c (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithCoder:]
000000019fc5a570 (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
000000019fc5a554 (__TEXT,__text) non-external -[SPExecutionHistoryItem init]
000000019fc5ad34 (__TEXT,__text) non-external -[SPExecutionHistoryItem lastSeen]
000000019fc5ad04 (__TEXT,__text) non-external -[SPExecutionHistoryItem mmapPath]
000000019fc5ad24 (__TEXT,__text) non-external -[SPExecutionHistoryItem responsiblePath]
000000019fc5ad0c (__TEXT,__text) non-external -[SPExecutionHistoryItem signingID]
000000019fc5ad14 (__TEXT,__text) non-external -[SPExecutionHistoryItem teamID]
000000019fc5d138 (__TEXT,__text) non-external -[SPExecutionPolicy .cxx_destruct]
000000019fc5cd1c (__TEXT,__text) non-external -[SPExecutionPolicy addBlockedSoftwareOverride:error:]
000000019fc5cc18 (__TEXT,__text) non-external -[SPExecutionPolicy addGatekeeperUserIntent:error:]
000000019fc5cb9c (__TEXT,__text) non-external -[SPExecutionPolicy blockedExecutionPolicyItems]
000000019fc5c824 (__TEXT,__text) non-external -[SPExecutionPolicy connection]
000000019fc5c53c (__TEXT,__text) non-external -[SPExecutionPolicy dealloc]
000000019fc5c710 (__TEXT,__text) non-external -[SPExecutionPolicy doGatekeeperProgressUpdate:withTotal:]
000000019fc5cf30 (__TEXT,__text) non-external -[SPExecutionPolicy getBlockedSoftwareOverride:error:]
000000019fc5c4bc (__TEXT,__text) non-external -[SPExecutionPolicy init]
000000019fc5d034 (__TEXT,__text) non-external -[SPExecutionPolicy isBlockedSoftware:error:]
000000019fc5cb20 (__TEXT,__text) non-external -[SPExecutionPolicy legacyExecutionHistory]
000000019fc5c598 (__TEXT,__text) non-external -[SPExecutionPolicy myProgressHandler]
000000019fc5c590 (__TEXT,__text) non-external -[SPExecutionPolicy progressBlock]
000000019fc5ce20 (__TEXT,__text) non-external -[SPExecutionPolicy setBlockedSoftwareOverride:isEnabled:error:]
000000019fc5c5c4 (__TEXT,__text) non-external -[SPExecutionPolicy setProgressHandler:]
000000019fc59c3c (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) notifyInstalledContent:withInstallationType:error:]
000000019fc593f4 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:]
000000019fc673c0 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.1
000000019fc673f8 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.2
000000019fc67488 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.3
000000019fc6752c (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.4
000000019fc67594 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.5
000000019fc67624 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.6
000000019fc6765c (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.7
000000019fc676fc (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.8
000000019fc59d44 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperScan:withScanOptions:withProgressHandler:error:]
000000019fc591dc (__TEXT,__text) non-external -[SPExecutionPolicyItem .cxx_destruct]
000000019fc591d4 (__TEXT,__text) non-external -[SPExecutionPolicyItem blockedReasonDescription]
000000019fc591b4 (__TEXT,__text) non-external -[SPExecutionPolicyItem cdHash]
000000019fc58f18 (__TEXT,__text) non-external -[SPExecutionPolicyItem encodeWithCoder:]
000000019fc58ca4 (__TEXT,__text) non-external -[SPExecutionPolicyItem initWithCoder:]
000000019fc58b44 (__TEXT,__text) non-external -[SPExecutionPolicyItem initWithItemPath:signingID:teamID:cdHash:needsApproval:needsOverride:knownMalware:blockedReasonDescription:]
000000019fc58b28 (__TEXT,__text) non-external -[SPExecutionPolicyItem init]
000000019fc5919c (__TEXT,__text) non-external -[SPExecutionPolicyItem itemPath]
000000019fc591cc (__TEXT,__text) non-external -[SPExecutionPolicyItem knownMalware]
000000019fc591bc (__TEXT,__text) non-external -[SPExecutionPolicyItem needsApproval]
000000019fc591c4 (__TEXT,__text) non-external -[SPExecutionPolicyItem needsOverride]
000000019fc591a4 (__TEXT,__text) non-external -[SPExecutionPolicyItem signingID]
000000019fc591ac (__TEXT,__text) non-external -[SPExecutionPolicyItem teamID]
000000019fc62fc0 (__TEXT,__text) non-external -[SPInstallationPolicy .cxx_destruct]
000000019fc62ca0 (__TEXT,__text) non-external -[SPInstallationPolicy canInstallPackage:withUserConsent:withHash:evaluateOnly:synchronousPrompt:error:]
000000019fc62c4c (__TEXT,__text) non-external -[SPInstallationPolicy dealloc]
000000019fc62af8 (__TEXT,__text) non-external -[SPInstallationPolicy init]
000000019fc62e14 (__TEXT,__text) non-external -[SPInstallationPolicy trustPackagePayload:withDestinationTarget:withHashMap:withUserConsent:error:]
000000019fc62df8 (__TEXT,__text) non-external -[SPInstallationPolicy trustPackagePayload:withDestinationTarget:withUserConsent:error:]
000000019fc5afa4 (__TEXT,__text) non-external -[SPKernelExtensionHistory .cxx_destruct]
000000019fc5af2c (__TEXT,__text) non-external -[SPKernelExtensionHistory dealloc]
000000019fc5adc8 (__TEXT,__text) non-external -[SPKernelExtensionHistory init]
000000019fc5af80 (__TEXT,__text) non-external -[SPKernelExtensionHistory kernelExtensionHistory]
000000019fc5f400 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem .cxx_destruct]
000000019fc5f3c0 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem bundleID]
000000019fc5f3d0 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem cdHash]
000000019fc5f190 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem encodeWithCoder:]
000000019fc5ef94 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem initWithCoder:]
000000019fc5ee14 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem initWithPath:teamID:bundleID:cdHash:isNotarized:isDeprecated:isUnsupported:isCodeless:lastUsed:]
000000019fc5edf8 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem init]
000000019fc5f3f0 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isCodeless]
000000019fc5f3e0 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isDeprecated]
000000019fc5f3d8 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isNotarized]
000000019fc5f3e8 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isUnsupported]
000000019fc5f3f8 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem lastUsed]
000000019fc5f3b8 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem path]
000000019fc5f3c8 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem teamID]
000000019fc5c2a0 (__TEXT,__text) non-external -[SPKernelExtensionPolicy .cxx_destruct]
000000019fc5bba4 (__TEXT,__text) non-external -[SPKernelExtensionPolicy areKernelExtensionsApproved:withError:]
000000019fc5b55c (__TEXT,__text) non-external -[SPKernelExtensionPolicy canLoadKernelExtension:error:]
000000019fc5b640 (__TEXT,__text) non-external -[SPKernelExtensionPolicy canLoadKernelExtensionInCache:error:]
000000019fc5b504 (__TEXT,__text) non-external -[SPKernelExtensionPolicy clearConnection]
000000019fc5b4fc (__TEXT,__text) non-external -[SPKernelExtensionPolicy connection]
000000019fc5bb5c (__TEXT,__text) non-external -[SPKernelExtensionPolicy currentPolicy]
000000019fc5c298 (__TEXT,__text) non-external -[SPKernelExtensionPolicy currentUAKL]
000000019fc5b4a8 (__TEXT,__text) non-external -[SPKernelExtensionPolicy dealloc]
000000019fc5c04c (__TEXT,__text) non-external -[SPKernelExtensionPolicy getCurrentUAKLHash:withError:]
000000019fc5b104 (__TEXT,__text) non-external -[SPKernelExtensionPolicy init]
000000019fc5b808 (__TEXT,__text) non-external -[SPKernelExtensionPolicy isKernelExtensionApprovedByUser:withBundleID:error:]
000000019fc5be68 (__TEXT,__text) non-external -[SPKernelExtensionPolicy notifyLoadedKernelExtension:withPath:]
000000019fc5bf68 (__TEXT,__text) non-external -[SPKernelExtensionPolicy notifyUnsupportedKernelExtension:error:]
000000019fc5bb80 (__TEXT,__text) non-external -[SPKernelExtensionPolicy pendingApprovals]
000000019fc5bc9c (__TEXT,__text) non-external -[SPKernelExtensionPolicy requestKernelExtensionApprovals:withError:]
000000019fc5c274 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresAdministratorToApproveUpdates]
000000019fc5c250 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresAuthenticationOnUpdates]
000000019fc5c22c (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresRebootForInstallation]
000000019fc5c208 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresSecurityDowngrade]
000000019fc5b724 (__TEXT,__text) non-external -[SPKernelExtensionPolicy teamIdentifierIsAllowed:error:]
000000019fc5bd80 (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerKernelCollectionRebuildFlow:withKernelExtensions:withError:]
000000019fc5c1e8 (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerPanicMedicWithError:]
000000019fc5c1c8 (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerRecoveryJumpToSecurityStartupUtilityWithError:]
000000019fc5c0e4 (__TEXT,__text) non-external -[SPKernelExtensionPolicy updateLastUsedTimes:withError:]
000000019fc5ba74 (__TEXT,__text) non-external -[SPKernelExtensionPolicy updatePolicyItems:error:]
000000019fc5b95c (__TEXT,__text) non-external -[SPKernelExtensionPolicy updatePolicyItems:withExternalContext:error:]
000000019fc5ecf4 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) enableKernelExtensionManagementForMDM:error:]
000000019fc5e84c (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) installMDMPayload:withTeams:withExtensions:withContext:error:]
000000019fc5ea84 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) removeMDMPayload:withContext:error:]
000000019fc5e768 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) setApprovalRequiresAdministrator:error:]
000000019fc5e684 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) setUserApprovalAllowed:error:]
000000019fc5ebbc (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) triggerKernelCollectionRebuildForMDM:withContext:error:]
000000019fc528cc (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem .cxx_destruct]
000000019fc52884 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem applicationName]
000000019fc5288c (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem applicationPath]
000000019fc528a4 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem bundleIDs]
000000019fc52878 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem description]
000000019fc52894 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem developerName]
000000019fc526f0 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem encodeWithCoder:]
000000019fc52224 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithApplication:path:developerName:teamID:bundleIDs:allowed:rebootRequired:isPendingUpgrade:]
000000019fc524a8 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithCoder:]
000000019fc5237c (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithDeveloper:teamID:bundleIDs:allowed:rebootRequired:isPendingUpgrade:]
000000019fc52208 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem init]
000000019fc528ac (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isAllowed]
000000019fc52494 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isModified]
000000019fc528c4 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isPendingUpgrade]
000000019fc528bc (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isRebootRequired]
000000019fc52820 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem redactedDescription]
000000019fc528b4 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem setAllowed:]
000000019fc5289c (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem teamID]
000000019fc64748 (__TEXT,__text) non-external -[SPMigrationScanner .cxx_destruct]
