00007ffb1f6cb257 (__TEXT,__text) non-external _Done_iODBC
00007ffb1f6e8dc0 (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
00007ffb1f6da456 (__TEXT,__text) external _SQLCopyDesc
00007ffb1f6cfc73 (__TEXT,__text) external _SQLDataSources
00007ffb1f6cfd99 (__TEXT,__text) external _SQLDataSourcesA
00007ffb1f6cfebf (__TEXT,__text) external _SQLDataSourcesW
00007ffb1f6cf820 (__TEXT,__text) non-external _SQLDataSources_Internal
00007ffb42d37f20 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
00007ffb42d37f40 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
00007ffb42d37f48 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
00007ffb1f6d4542 (__TEXT,__text) external _SQLDescribeCol
00007ffb1f6d4732 (__TEXT,__text) external _SQLDescribeColA
00007ffb1f6d4922 (__TEXT,__text) external _SQLDescribeColW
00007ffb1f6d4282 (__TEXT,__text) non-external _SQLDescribeCol_Internal
00007ffb1f6c8551 (__TEXT,__text) external _SQLDescribeParam
00007ffb1f6c6857 (__TEXT,__text) external _SQLDisconnect
00007ffb1f6c590b (__TEXT,__text) external _SQLDriverConnect
00007ffb1f6c5a94 (__TEXT,__text) external _SQLDriverConnectA
00007ffb1f6c5c1d (__TEXT,__text) external _SQLDriverConnectW
00007ffb1f6c3e5b (__TEXT,__text) non-external _SQLDriverConnect_Internal
00007ffb1f6e8de3 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
00007ffb1f6e8e06 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
00007ffb1f6d050b (__TEXT,__text) external _SQLDrivers
00007ffb1f6d0631 (__TEXT,__text) external _SQLDriversA
00007ffb1f6d0757 (__TEXT,__text) external _SQLDriversW
00007ffb1f6d010a (__TEXT,__text) non-external _SQLDrivers_Internal
00007ffb42d37f24 (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
00007ffb42d37f50 (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
00007ffb42d37f58 (__DATA,__bss) non-external _SQLDrivers_Internal.sect
00007ffb1f6db28d (__TEXT,__text) external _SQLEndTran
00007ffb1f6cbbf9 (__TEXT,__text) external _SQLError
00007ffb1f6cbcde (__TEXT,__text) external _SQLErrorA
00007ffb1f6cbdc3 (__TEXT,__text) external _SQLErrorW
00007ffb1f6c7a6c (__TEXT,__text) external _SQLExecDirect
00007ffb1f6c7bb1 (__TEXT,__text) external _SQLExecDirectA
00007ffb1f6c7cf6 (__TEXT,__text) external _SQLExecDirectW
00007ffb1f6c7820 (__TEXT,__text) non-external _SQLExecDirect_Internal
00007ffb1f6c7558 (__TEXT,__text) external _SQLExecute
00007ffb1f6c8c51 (__TEXT,__text) external _SQLExtendedFetch
00007ffb1f6c89b4 (__TEXT,__text) external _SQLFetch
00007ffb1f6db55d (__TEXT,__text) external _SQLFetchScroll
00007ffb1f6c87f8 (__TEXT,__text) non-external _SQLFetch_Internal
00007ffb1f6bfa69 (__TEXT,__text) external _SQLForeignKeys
00007ffb1f6bfca9 (__TEXT,__text) external _SQLForeignKeysA
00007ffb1f6bfee9 (__TEXT,__text) external _SQLForeignKeysW
00007ffb1f6bf6da (__TEXT,__text) non-external _SQLForeignKeys_Internal
00007ffb1f6c9924 (__TEXT,__text) external _SQLFreeConnect
00007ffb1f6c9883 (__TEXT,__text) non-external _SQLFreeConnect_Internal
00007ffb1f6cb1d7 (__TEXT,__text) external _SQLFreeEnv
00007ffb1f6cb166 (__TEXT,__text) non-external _SQLFreeEnv_Internal
00007ffb1f6d59b1 (__TEXT,__text) external _SQLFreeHandle
00007ffb1f6ce6bb (__TEXT,__text) external _SQLFreeStmt
00007ffb1f6ce478 (__TEXT,__text) non-external _SQLFreeStmt_Internal
00007ffb1f6e598a (__TEXT,__text) non-external _SQLGetConfigMode
00007ffb1f6d86c2 (__TEXT,__text) external _SQLGetConnectAttr
00007ffb1f6d8bc0 (__TEXT,__text) external _SQLGetConnectAttrA
00007ffb1f6d8d12 (__TEXT,__text) external _SQLGetConnectAttrW
00007ffb1f6d8814 (__TEXT,__text) non-external _SQLGetConnectAttr_Internal
00007ffb1f6ca813 (__TEXT,__text) external _SQLGetConnectOption
00007ffb1f6ca93c (__TEXT,__text) external _SQLGetConnectOptionA
00007ffb1f6caa65 (__TEXT,__text) external _SQLGetConnectOptionW
00007ffb1f6d39af (__TEXT,__text) external _SQLGetCursorName
00007ffb1f6d3b0a (__TEXT,__text) external _SQLGetCursorNameA
00007ffb1f6d3c65 (__TEXT,__text) external _SQLGetCursorNameW
00007ffb1f6d37a1 (__TEXT,__text) non-external _SQLGetCursorName_Internal
00007ffb1f6c8dd4 (__TEXT,__text) external _SQLGetData
00007ffb1f6d90e6 (__TEXT,__text) external _SQLGetDescField
00007ffb1f6d9260 (__TEXT,__text) external _SQLGetDescFieldA
00007ffb1f6d93da (__TEXT,__text) external _SQLGetDescFieldW
00007ffb1f6d8e64 (__TEXT,__text) non-external _SQLGetDescField_Internal
00007ffb1f6d9cfb (__TEXT,__text) external _SQLGetDescRec
00007ffb1f6d9e9d (__TEXT,__text) external _SQLGetDescRecA
00007ffb1f6da03f (__TEXT,__text) external _SQLGetDescRecW
00007ffb1f6d9aff (__TEXT,__text) non-external _SQLGetDescRec_Internal
00007ffb1f6cda08 (__TEXT,__text) external _SQLGetDiagField
00007ffb1f6cdaf3 (__TEXT,__text) external _SQLGetDiagFieldA
00007ffb1f6cdbde (__TEXT,__text) external _SQLGetDiagFieldW
00007ffb1f6cc8da (__TEXT,__text) non-external _SQLGetDiagField_Internal
00007ffb1f6cc604 (__TEXT,__text) external _SQLGetDiagRec
00007ffb1f6cc6f6 (__TEXT,__text) external _SQLGetDiagRecA
00007ffb1f6cc7e8 (__TEXT,__text) external _SQLGetDiagRecW
00007ffb1f6cbea8 (__TEXT,__text) non-external _SQLGetDiagRec_Internal
00007ffb1f6d60bf (__TEXT,__text) external _SQLGetEnvAttr
00007ffb1f6d14c5 (__TEXT,__text) external _SQLGetFunctions
00007ffb1f6d109f (__TEXT,__text) external _SQLGetInfo
00007ffb1f6d1201 (__TEXT,__text) external _SQLGetInfoA
00007ffb1f6d1363 (__TEXT,__text) external _SQLGetInfoW
00007ffb1f6d09a2 (__TEXT,__text) non-external _SQLGetInfo_Internal
00007ffb1f6e87c5 (__TEXT,__text) non-external _SQLGetKeywordValue
00007ffb1f6e87fe (__TEXT,__text) non-external _SQLGetKeywordValueW
00007ffb1f6e81f9 (__TEXT,__text) non-external _SQLGetPrivateProfileString
00007ffb1f6e8468 (__TEXT,__text) non-external _SQLGetPrivateProfileStringW
00007ffb1f6d6ac8 (__TEXT,__text) external _SQLGetStmtAttr
00007ffb1f6d6c3c (__TEXT,__text) external _SQLGetStmtAttrA
00007ffb1f6d6db0 (__TEXT,__text) external _SQLGetStmtAttrW
00007ffb1f6d628e (__TEXT,__text) non-external _SQLGetStmtAttr_Internal
00007ffb1f6ceef6 (__TEXT,__text) external _SQLGetStmtOption
00007ffb1f6cf039 (__TEXT,__text) external _SQLGetStmtOptionA
00007ffb1f6cecfe (__TEXT,__text) non-external _SQLGetStmtOption_Internal
00007ffb1f6bc879 (__TEXT,__text) external _SQLGetTypeInfo
00007ffb1f6bc9a4 (__TEXT,__text) external _SQLGetTypeInfoA
00007ffb1f6bcacf (__TEXT,__text) external _SQLGetTypeInfoW
00007ffb1f6bc6e0 (__TEXT,__text) non-external _SQLGetTypeInfo_Internal
00007ffb1f6c9162 (__TEXT,__text) external _SQLMoreResults
00007ffb1f6c6c68 (__TEXT,__text) external _SQLNativeSql
00007ffb1f6c6ddf (__TEXT,__text) external _SQLNativeSqlA
00007ffb1f6c6f56 (__TEXT,__text) external _SQLNativeSqlW
00007ffb1f6c69c1 (__TEXT,__text) non-external _SQLNativeSql_Internal
00007ffb1f6c8349 (__TEXT,__text) external _SQLNumParams
00007ffb1f6d40a4 (__TEXT,__text) external _SQLNumResultCols
00007ffb1f6c80bf (__TEXT,__text) external _SQLParamData
00007ffb1f6d2b72 (__TEXT,__text) external _SQLParamOptions
00007ffb1f6d1d61 (__TEXT,__text) external _SQLPrepare
00007ffb1f6d1ea6 (__TEXT,__text) external _SQLPrepareA
00007ffb1f6d1feb (__TEXT,__text) external _SQLPrepareW
00007ffb1f6d1b6c (__TEXT,__text) non-external _SQLPrepare_Internal
00007ffb1f6c0381 (__TEXT,__text) external _SQLPrimaryKeys
00007ffb1f6c056c (__TEXT,__text) external _SQLPrimaryKeysA
00007ffb1f6c0757 (__TEXT,__text) external _SQLPrimaryKeysW
00007ffb1f6c0129 (__TEXT,__text) non-external _SQLPrimaryKeys_Internal
00007ffb1f6c0bf9 (__TEXT,__text) external _SQLProcedureColumns
00007ffb1f6c0de5 (__TEXT,__text) external _SQLProcedureColumnsA
00007ffb1f6c0fd1 (__TEXT,__text) external _SQLProcedureColumnsW
00007ffb1f6c0942 (__TEXT,__text) non-external _SQLProcedureColumns_Internal
00007ffb1f6c1415 (__TEXT,__text) external _SQLProcedures
00007ffb1f6c1600 (__TEXT,__text) external _SQLProceduresA
00007ffb1f6c17eb (__TEXT,__text) external _SQLProceduresW
00007ffb1f6c11bd (__TEXT,__text) non-external _SQLProcedures_Internal
00007ffb1f6c7e3b (__TEXT,__text) external _SQLPutData
00007ffb1f6e50c7 (__TEXT,__text) non-external _SQLReadFileDSN
00007ffb1f6e522e (__TEXT,__text) non-external _SQLReadFileDSNW
00007ffb1f6d3dc0 (__TEXT,__text) external _SQLRowCount
00007ffb1f6e8837 (__TEXT,__text) non-external _SQLSetConfigMode
00007ffb1f6d811a (__TEXT,__text) external _SQLSetConnectAttr
00007ffb1f6d845c (__TEXT,__text) external _SQLSetConnectAttrA
00007ffb1f6d858f (__TEXT,__text) external _SQLSetConnectAttrW
00007ffb1f6d824d (__TEXT,__text) non-external _SQLSetConnectAttr_Internal
00007ffb1f6ca067 (__TEXT,__text) external _SQLSetConnectOption
00007ffb1f6ca190 (__TEXT,__text) external _SQLSetConnectOptionA
00007ffb1f6ca2b9 (__TEXT,__text) external _SQLSetConnectOptionW
00007ffb1f6d22e3 (__TEXT,__text) external _SQLSetCursorName
00007ffb1f6d242b (__TEXT,__text) external _SQLSetCursorNameA
00007ffb1f6d2573 (__TEXT,__text) external _SQLSetCursorNameW
00007ffb1f6d2130 (__TEXT,__text) non-external _SQLSetCursorName_Internal
00007ffb1f6d96e2 (__TEXT,__text) external _SQLSetDescField
00007ffb1f6d9841 (__TEXT,__text) external _SQLSetDescFieldA
00007ffb1f6d99a0 (__TEXT,__text) external _SQLSetDescFieldW
00007ffb1f6d9554 (__TEXT,__text) non-external _SQLSetDescField_Internal
00007ffb1f6da1e1 (__TEXT,__text) external _SQLSetDescRec
00007ffb1f6d5ed2 (__TEXT,__text) external _SQLSetEnvAttr
00007ffb1f6d5fec (__TEXT,__text) non-external _SQLSetEnvAttr_Internal
00007ffb1f6e8d73 (__TEXT,__text) non-external _SQLSetKeywordValue
00007ffb1f6e8d84 (__TEXT,__text) non-external _SQLSetKeywordValueW
00007ffb1f6d33a4 (__TEXT,__text) external _SQLSetParam
00007ffb1f6c957a (__TEXT,__text) external _SQLSetPos
00007ffb1f6d2e92 (__TEXT,__text) external _SQLSetScrollOptions
00007ffb1f6d7d24 (__TEXT,__text) external _SQLSetStmtAttr
00007ffb1f6d7e76 (__TEXT,__text) external _SQLSetStmtAttrA
00007ffb1f6d7fc8 (__TEXT,__text) external _SQLSetStmtAttrW
00007ffb1f6d6f24 (__TEXT,__text) non-external _SQLSetStmtAttr_Internal
00007ffb1f6ce802 (__TEXT,__text) external _SQLSetStmtOption
00007ffb1f6cebbb (__TEXT,__text) external _SQLSetStmtOptionA
00007ffb1f6ce945 (__TEXT,__text) non-external _SQLSetStmtOption_Internal
00007ffb1f6bceba (__TEXT,__text) external _SQLSpecialColumns
00007ffb1f6bd0c8 (__TEXT,__text) external _SQLSpecialColumnsA
00007ffb1f6bd2d6 (__TEXT,__text) external _SQLSpecialColumnsW
00007ffb1f6bcbfa (__TEXT,__text) non-external _SQLSpecialColumns_Internal
00007ffb1f6bd793 (__TEXT,__text) external _SQLStatistics
00007ffb1f6bd985 (__TEXT,__text) external _SQLStatisticsA
00007ffb1f6bdb77 (__TEXT,__text) external _SQLStatisticsW
00007ffb1f6bd4e4 (__TEXT,__text) non-external _SQLStatistics_Internal
00007ffb1f6c1c2e (__TEXT,__text) external _SQLTablePrivileges
00007ffb1f6c1e19 (__TEXT,__text) external _SQLTablePrivilegesA
00007ffb1f6c2004 (__TEXT,__text) external _SQLTablePrivilegesW
00007ffb1f6c19d6 (__TEXT,__text) non-external _SQLTablePrivileges_Internal
00007ffb1f6be020 (__TEXT,__text) external _SQLTables
00007ffb1f6be20c (__TEXT,__text) external _SQLTablesA
00007ffb1f6be3f8 (__TEXT,__text) external _SQLTablesW
00007ffb1f6bdd69 (__TEXT,__text) non-external _SQLTables_Internal
00007ffb1f6cae86 (__TEXT,__text) external _SQLTransact
00007ffb1f6cab8e (__TEXT,__text) non-external _SQLTransact_Internal
00007ffb1f6e5a75 (__TEXT,__text) non-external _SQLValidDSN
00007ffb1f6e5ad4 (__TEXT,__text) non-external _SQLValidDSNW
00007ffb1f6e4e69 (__TEXT,__text) non-external _SQLWriteFileDSN
00007ffb1f6e4f14 (__TEXT,__text) non-external _SQLWriteFileDSNW
00007ffb1f6e8998 (__TEXT,__text) non-external _SQLWritePrivateProfileString
00007ffb1f6e8bc0 (__TEXT,__text) non-external _SQLWritePrivateProfileStringW
00007ffb1f6cfc21 (__TEXT,__text) non-external _SectSorter
00007ffb1f6e59d7 (__TEXT,__text) non-external _ValidDSN
00007ffb1f6e5a29 (__TEXT,__text) non-external _ValidDSNW
00007ffb1f6e888e (__TEXT,__text) non-external _WritePrivateProfileString
                 (undefined) external __DefaultRuneLocale (from libSystem)
00007ffb1f6d5d98 (__TEXT,__text) non-external __SQLFreeHandle_DESC
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ffb1f6c7350 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffb1f6c7370 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
00007ffb1f6e6b66 (__TEXT,__text) non-external ___iodbcdm_cfg_poolalloc
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___toupper (from libSystem)
00007ffb42d37f90 (__DATA,__common) non-external __iodbc_env_counter
00007ffb1f6e546a (__TEXT,__text) non-external __iodbcadm_getinifile
00007ffb1f6cf630 (__TEXT,__text) non-external __iodbcdm_BindColumn
00007ffb1f6cf701 (__TEXT,__text) non-external __iodbcdm_ConvBindData
00007ffb1f6c8ad5 (__TEXT,__text) non-external __iodbcdm_ExtendedFetch
00007ffb1f6ce425 (__TEXT,__text) non-external __iodbcdm_FreeStmtParams
00007ffb1f6ca3e2 (__TEXT,__text) non-external __iodbcdm_GetConnectOption
00007ffb1f6d3f83 (__TEXT,__text) non-external __iodbcdm_NumResultCols
00007ffb1f6ce685 (__TEXT,__text) non-external __iodbcdm_RemoveBind
00007ffb1f6c9a03 (__TEXT,__text) non-external __iodbcdm_SetConnectOption
00007ffb1f6c2452 (__TEXT,__text) non-external __iodbcdm_SetConnectOption_init
00007ffb1f6c941c (__TEXT,__text) non-external __iodbcdm_SetPos
00007ffb1f6cf6b6 (__TEXT,__text) non-external __iodbcdm_UnBindColumn
00007ffb1f6cf39f (__TEXT,__text) non-external __iodbcdm_alloc_param
00007ffb42d37f98 (__DATA,__common) non-external __iodbcdm_attr_connection_pooling
00007ffb1f6cf7ce (__TEXT,__text) non-external __iodbcdm_bindConv_A2W
00007ffb1f6bc7de (__TEXT,__text) non-external __iodbcdm_cata_state_ok
00007ffb1f6bc831 (__TEXT,__text) non-external __iodbcdm_cata_state_tr
00007ffb1f6e7269 (__TEXT,__text) non-external __iodbcdm_cfg_commit
00007ffb1f6e64ea (__TEXT,__text) non-external __iodbcdm_cfg_done
00007ffb1f6e6d0e (__TEXT,__text) non-external __iodbcdm_cfg_find
00007ffb1f6e6997 (__TEXT,__text) non-external __iodbcdm_cfg_freeimage
00007ffb1f6e643e (__TEXT,__text) non-external __iodbcdm_cfg_init
00007ffb1f6d199b (__TEXT,__text) non-external __iodbcdm_cfg_init_str
00007ffb1f6e7542 (__TEXT,__text) non-external __iodbcdm_cfg_next_section
00007ffb1f6e6c3b (__TEXT,__text) non-external __iodbcdm_cfg_nextentry
00007ffb1f6d1a12 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str
00007ffb1f6d18a0 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str_Internal
00007ffb1f6e651b (__TEXT,__text) non-external __iodbcdm_cfg_refresh
00007ffb1f6e6c15 (__TEXT,__text) non-external __iodbcdm_cfg_rewind
00007ffb1f6c5622 (__TEXT,__text) non-external __iodbcdm_cfg_savefile
00007ffb1f6e7574 (__TEXT,__text) non-external __iodbcdm_cfg_search_init
00007ffb1f6e6a64 (__TEXT,__text) non-external __iodbcdm_cfg_storeentry
00007ffb1f6d1a60 (__TEXT,__text) non-external __iodbcdm_cfg_to_string
00007ffb1f6e6e0d (__TEXT,__text) non-external __iodbcdm_cfg_write
00007ffb1f6e56b3 (__TEXT,__text) non-external __iodbcdm_check_for_string
00007ffb1f6c53ba (__TEXT,__text) non-external __iodbcdm_con_settracing
00007ffb1f6cf44d (__TEXT,__text) non-external __iodbcdm_conv_param_A2W
00007ffb1f6cf542 (__TEXT,__text) non-external __iodbcdm_conv_param_W2A
00007ffb1f6c54e4 (__TEXT,__text) non-external __iodbcdm_dbcdelayset
00007ffb1f6c749b (__TEXT,__text) non-external __iodbcdm_dllclose
00007ffb1f6c74e3 (__TEXT,__text) non-external __iodbcdm_dllerror
00007ffb1f6c73f3 (__TEXT,__text) non-external __iodbcdm_dllopen
00007ffb1f6c73e9 (__TEXT,__text) non-external __iodbcdm_dllproc
00007ffb1f6c7514 (__TEXT,__text) non-external __iodbcdm_do_cursoropen
00007ffb1f6c266e (__TEXT,__text) non-external __iodbcdm_driverload
00007ffb1f6c2e31 (__TEXT,__text) non-external __iodbcdm_driverunload
00007ffb1f6ce330 (__TEXT,__text) non-external __iodbcdm_dropstmt
00007ffb1f6c9ffc (__TEXT,__text) non-external __iodbcdm_drvopt_store
00007ffb1f6c2249 (__TEXT,__text) non-external __iodbcdm_finish_disconnect
00007ffb1f6cb260 (__TEXT,__text) non-external __iodbcdm_freesqlerrlist
00007ffb1f6c7260 (__TEXT,__text) non-external __iodbcdm_getInfo_init
00007ffb1f6e5757 (__TEXT,__text) non-external __iodbcdm_getdsnfile
00007ffb1f6c739a (__TEXT,__text) non-external __iodbcdm_getproc
00007ffb42d37f38 (__DATA,__bss) non-external __iodbcdm_initialized
00007ffb1f6e7755 (__TEXT,__text) non-external __iodbcdm_list_entries
00007ffb1f6e7697 (__TEXT,__text) non-external __iodbcdm_list_sections
00007ffb1f6d4226 (__TEXT,__text) non-external __iodbcdm_map_c_type
00007ffb1f6d41ca (__TEXT,__text) non-external __iodbcdm_map_sql_type
00007ffb1f6c70cd (__TEXT,__text) non-external __iodbcdm_pool_conn_dead
00007ffb1f6c21f0 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn
00007ffb1f6e8d9d (__TEXT,__text) non-external __iodbcdm_pool_drop_conn.cold.1
00007ffb1f6c5168 (__TEXT,__text) non-external __iodbcdm_pool_get_conn
00007ffb1f6c5816 (__TEXT,__text) non-external __iodbcdm_pool_put_conn
00007ffb1f6c2323 (__TEXT,__text) non-external __iodbcdm_pool_reset_conn_attrs
00007ffb1f6c5775 (__TEXT,__text) non-external __iodbcdm_pool_set_retry_wait
00007ffb1f6cb283 (__TEXT,__text) non-external __iodbcdm_pushsqlerr
00007ffb1f6e56fe (__TEXT,__text) non-external __iodbcdm_remove_quotes
00007ffb1f6c74ed (__TEXT,__text) non-external __iodbcdm_safe_unload
00007ffb1f6cb2e6 (__TEXT,__text) non-external __iodbcdm_sqlerror
00007ffb1f6e5913 (__TEXT,__text) non-external __iodbcdm_strlcat
00007ffb1f6e58c3 (__TEXT,__text) non-external __iodbcdm_strlcpy
00007ffb1f6cac70 (__TEXT,__text) non-external __iodbcdm_transact
00007ffb409dce60 (__DATA_CONST,__const) non-external __mask_CONVERT
00007ffb409ddb00 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES1
00007ffb409ddbb0 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES2
00007ffb409dcf20 (__DATA_CONST,__const) non-external __mask_CURSOR_BEHAVIOR
00007ffb409dcfc0 (__DATA_CONST,__const) non-external __mask_IDENTIFIER_CASE
00007ffb409dd660 (__DATA_CONST,__const) non-external __mask_SQL_AGGREGATE_FUNCTIONS
00007ffb409dd6a0 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_DOMAIN
00007ffb409dd370 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_TABLE
00007ffb409dd6f0 (__DATA_CONST,__const) non-external __mask_SQL_ASYNC_MODE
00007ffb409dd710 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_ROW_COUNT
00007ffb409dd730 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_SUPPORT
00007ffb409dd420 (__DATA_CONST,__const) non-external __mask_SQL_BOOKMARK_PERSISTENCE
00007ffb409dd760 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_LOCATION
00007ffb409dd780 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_USAGE
00007ffb409dce30 (__DATA_CONST,__const) non-external __mask_SQL_CONCAT_NULL_BEHAVIOR
00007ffb409dce40 (__DATA_CONST,__const) non-external __mask_SQL_CONVERT_FUNCTIONS
00007ffb409dd340 (__DATA_CONST,__const) non-external __mask_SQL_CORRELATION_NAME
00007ffb409dd7b0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_ASSERTION
00007ffb409dd800 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_CHARACTER_SET
00007ffb409dd820 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_COLLATION
00007ffb409dd830 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_DOMAIN
00007ffb409dd880 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_SCHEMA
00007ffb409dd8a0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TABLE
00007ffb409dd920 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TRANSLATION
00007ffb409dd930 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_VIEW
00007ffb409dd960 (__DATA_CONST,__const) non-external __mask_SQL_CURSOR_SENSITIVITY
00007ffb409dd980 (__DATA_CONST,__const) non-external __mask_SQL_DATETIME_LITERALS
00007ffb409dda00 (__DATA_CONST,__const) non-external __mask_SQL_DDL_INDEX
00007ffb409dda40 (__DATA_CONST,__const) non-external __mask_SQL_DROP_ASSERTION
00007ffb409dda50 (__DATA_CONST,__const) non-external __mask_SQL_DROP_CHARACTER_SET
00007ffb409dda60 (__DATA_CONST,__const) non-external __mask_SQL_DROP_COLLATION
00007ffb409dda70 (__DATA_CONST,__const) non-external __mask_SQL_DROP_DOMAIN
00007ffb409dda90 (__DATA_CONST,__const) non-external __mask_SQL_DROP_SCHEMA
00007ffb409ddab0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TABLE
00007ffb409ddad0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TRANSLATION
00007ffb409ddae0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_VIEW
00007ffb409dda20 (__DATA_CONST,__const) non-external __mask_SQL_DTC_TRANSITION_COST
00007ffb409dcf70 (__DATA_CONST,__const) non-external __mask_SQL_FETCH_DIRECTION
00007ffb409dd4b0 (__DATA_CONST,__const) non-external __mask_SQL_FILE_USAGE
00007ffb409dd460 (__DATA_CONST,__const) non-external __mask_SQL_GETDATA_EXTENSIONS
00007ffb409dd490 (__DATA_CONST,__const) non-external __mask_SQL_GROUP_BY
00007ffb409ddc40 (__DATA_CONST,__const) non-external __mask_SQL_INDEX_KEYWORDS
00007ffb409ddc60 (__DATA_CONST,__const) non-external __mask_SQL_INFO_SCHEMA_VIEWS
00007ffb409ddd20 (__DATA_CONST,__const) non-external __mask_SQL_INSERT_STATEMENT
