00007ff8438a0c68 (__DATA,__data) non-external _C
00007ff802a88d5d (__TEXT,__text) external __NSGetEnviron
00007ff802a88e06 (__TEXT,__text) external __NSGetMachExecuteHeader
00007ff802a8e88d (__TEXT,__text) external __NSGetProgname
00007ff84366c558 (__DATA_DIRTY,__common) external __PathLocale
00007ff802aadc83 (__TEXT,__text) external __Read_RuneMagi
00007ff802af635b (__TEXT,__text) non-external (was a private external) __UTF2_init
00007ff802af63a8 (__TEXT,__text) non-external __UTF2_mbrtowc
00007ff802af6591 (__TEXT,__text) non-external __UTF2_mbsinit
00007ff802af65ac (__TEXT,__text) non-external __UTF2_mbsnrtowcs
00007ff802af650a (__TEXT,__text) non-external __UTF2_wcrtomb
00007ff802af6718 (__TEXT,__text) non-external __UTF2_wcsnrtombs
00007ff802aae881 (__TEXT,__text) non-external (was a private external) __UTF8_init
00007ff802ab02a6 (__TEXT,__text) non-external __UTF8_mbrtowc
00007ff802ae2fe3 (__TEXT,__text) non-external __UTF8_mbsinit
00007ff802ab054a (__TEXT,__text) non-external __UTF8_mbsnrtowcs
00007ff802ab0cd5 (__TEXT,__text) non-external __UTF8_wcrtomb
00007ff802ae2ffe (__TEXT,__text) non-external __UTF8_wcsnrtombs
00007ff802a992b6 (__TEXT,__text) external ___Balloc_D2A
00007ff802a99481 (__TEXT,__text) external ___Bfree_D2A
                 (undefined) weak external ____chkstk_darwin (from libsystem_pthread)
00007ff802aca6cd (__TEXT,__text) external ____mb_cur_max
00007ff802aca6fb (__TEXT,__text) external ____mb_cur_max_l
00007ff802a9ebf7 (__TEXT,__text) external ____runetype
00007ff802a9ec1f (__TEXT,__text) external ____runetype_l
00007ff802ae2ee3 (__TEXT,__text) external ____tolower
00007ff802ae2e33 (__TEXT,__text) external ____tolower_l
00007ff802ae2fbb (__TEXT,__text) external ____toupper
00007ff802ae2f0b (__TEXT,__text) external ____toupper_l
00007ff802b093b5 (__TEXT,__text) non-external (was a private external) ___abort
00007ff802ad5374 (__TEXT,__text) external ___add_ovflpage
00007ff802ad50e5 (__TEXT,__text) external ___addel
00007ff802a9de78 (__TEXT,__text) external ___any_on_D2A
00007ff802b0848e (__TEXT,__text) external ___assert_rtn
00007ff84366c4d8 (__DATA_DIRTY,__bss) non-external ___atexit
00007ff802aaad31 (__TEXT,__text) non-external (was a private external) ___atexit_init
00007ff84366c4e0 (__DATA_DIRTY,__bss) non-external ___atexit_new_registration
00007ff802ab1e85 (__TEXT,__text) external ___b2d_D2A
00007ff802ad390a (__TEXT,__text) external ___big_delete
00007ff802ad3650 (__TEXT,__text) external ___big_insert
00007ff802ad3f35 (__TEXT,__text) external ___big_keydata
00007ff802ad3bd8 (__TEXT,__text) external ___big_return
00007ff802ad40a9 (__TEXT,__text) external ___big_split
00007ff802b0b9c0 (__TEXT,__const) external ___bigtens_D2A
00007ff802ace72f (__TEXT,__text) external ___bt_close
00007ff802ad236e (__TEXT,__text) external ___bt_cmp
00007ff802ad240e (__TEXT,__text) external ___bt_defcmp
00007ff802ad2455 (__TEXT,__text) external ___bt_defpfx
00007ff802acebaa (__TEXT,__text) external ___bt_delete
00007ff802acf1fa (__TEXT,__text) external ___bt_dleaf
00007ff802ad0030 (__TEXT,__text) external ___bt_fd
00007ff802ad1042 (__TEXT,__text) non-external ___bt_first
00007ff802ad03e3 (__TEXT,__text) external ___bt_free
00007ff802acf844 (__TEXT,__text) external ___bt_get
00007ff802ad0414 (__TEXT,__text) external ___bt_new
00007ff802acf91c (__TEXT,__text) external ___bt_open
00007ff802acf5b6 (__TEXT,__text) non-external ___bt_pdelete
00007ff802ace8c9 (__TEXT,__text) external ___bt_pgin
00007ff802acea5d (__TEXT,__text) external ___bt_pgout
00007ff802ad0467 (__TEXT,__text) external ___bt_put
00007ff802acf7bb (__TEXT,__text) non-external ___bt_relink
00007ff802ad21bc (__TEXT,__text) external ___bt_ret
00007ff802ad09d7 (__TEXT,__text) external ___bt_search
00007ff802ad0c30 (__TEXT,__text) external ___bt_seq
00007ff802ad0ff8 (__TEXT,__text) external ___bt_setcur
00007ff802ad1213 (__TEXT,__text) external ___bt_split
00007ff802aceeae (__TEXT,__text) non-external ___bt_stkacq
00007ff802ace7fb (__TEXT,__text) external ___bt_sync
00007ff802ad467a (__TEXT,__text) external ___buf_free
00007ff802ad4642 (__TEXT,__text) non-external (was a private external) ___buf_init
                 (undefined) external ___bzero (from libsystem_platform)
00007ff843669e08 (__DATA_DIRTY,__data) non-external ___c_locale
00007ff802b0116d (__TEXT,__text) non-external ___calc_left_pad
00007ff802ad3225 (__TEXT,__text) external ___call_hash
00007ff8438a0f40 (__DATA,__data) non-external (was a private external) ___chk_assert_no_overlap
00007ff802b076a2 (__TEXT,__text) non-external (was a private external) ___chk_fail_overflow
00007ff802b076b4 (__TEXT,__text) non-external (was a private external) ___chk_fail_overlap
00007ff802ab9c70 (__TEXT,__text) non-external (was a private external) ___chk_init
00007ff802a8e8fb (__TEXT,__text) non-external (was a private external) ___chk_overlap
00007ff802ac40d0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ff802ac40f0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___chmod_extended (from libsystem_kernel)
00007ff84366c588 (__DATA_DIRTY,__common) external ___cleanup
00007ff802a9a3e4 (__TEXT,__text) external ___cmp_D2A
00007ff802ae062c (__TEXT,__text) non-external (was a private external) ___collate_collating_symbol
00007ff802ae0824 (__TEXT,__text) non-external (was a private external) ___collate_equiv_class
00007ff802ae09f5 (__TEXT,__text) external ___collate_equiv_match
00007ff802aa57b2 (__TEXT,__text) non-external (was a private external) ___collate_equiv_value
00007ff802ae0e52 (__TEXT,__text) non-external (was a private external) ___collate_equiv_wchar
00007ff802b08d53 (__TEXT,__text) non-external ___collate_equiv_wchar.cold.1
00007ff802b08d76 (__TEXT,__text) non-external ___collate_equiv_wchar.cold.2
00007ff802adfe8f (__TEXT,__text) non-external (was a private external) ___collate_err
00007ff8438a0cb0 (__DATA,__data) external ___collate_load_error
00007ff802aad02e (__TEXT,__text) non-external (was a private external) ___collate_load_tables
00007ff8438a2760 (__DATA,__bss) non-external ___collate_load_tables.cache
00007ff802adf6d6 (__TEXT,__text) non-external ___collate_load_tables_legacy
00007ff802ae0389 (__TEXT,__text) external ___collate_lookup
00007ff802ae0210 (__TEXT,__text) external ___collate_lookup_l
00007ff802ae0559 (__TEXT,__text) non-external (was a private external) ___collate_lookup_which
00007ff802ae044a (__TEXT,__text) non-external (was a private external) ___collate_mbstowcs
00007ff802ae1087 (__TEXT,__text) non-external ___collate_pri_for
00007ff802b08d99 (__TEXT,__text) non-external ___collate_pri_for.cold.1
00007ff802ae1697 (__TEXT,__text) non-external (was a private external) ___collate_range_cmp
00007ff8438a1da0 (__DATA,__bss) non-external ___collate_range_cmp.s1
00007ff8438a1d98 (__DATA,__bss) non-external ___collate_range_cmp.s2
                 (undefined) external ___commpage_gettimeofday (from libsystem_kernel)
00007ff802aaad20 (__TEXT,__text) non-external (was a private external) ___confstr_init
00007ff802a9cf4a (__TEXT,__text) external ___copybits_D2A
00007ff802ac4970 (__TEXT,__text) non-external (was a private external) ___crypt_des_cipher
00007ff802ac434f (__TEXT,__text) non-external (was a private external) ___crypt_des_setkey
00007ff8438a1ea0 (__DATA,__bss) non-external ___crypt_des_setkey.des_ready
00007ff8438a2978 (__DATA,__common) non-external (was a private external) ___crypt_des_setkey_called
00007ff802afab3f (__TEXT,__text) non-external ___cvt
00007ff8438a28e0 (__DATA,__bss) non-external ___cvt.s
00007ff802a8f0fb (__TEXT,__text) external ___cxa_atexit
00007ff802ab3dd6 (__TEXT,__text) external ___cxa_finalize
00007ff802ab3e0e (__TEXT,__text) external ___cxa_finalize_ranges
00007ff802af69b3 (__TEXT,__text) external ___cxa_thread_atexit
00007ff802a99194 (__TEXT,__text) external ___d2b_D2A
00007ff84366c570 (__DATA_DIRTY,__common) non-external (was a private external) ___darwin_altzone
00007ff802ad253e (__TEXT,__text) non-external ___dberr
00007ff802ad2519 (__TEXT,__text) external ___dbpanic
00007ff8438a0c90 (__DATA,__data) external ___default_hash
00007ff802aff617 (__TEXT,__text) external ___default_utx
00007ff8438a0920 (__DATA,__data) non-external ___default_utx.once
00007ff802aff637 (__TEXT,__text) non-external ___default_utx_init
00007ff802ad4884 (__TEXT,__text) external ___delpair
00007ff802aacf9b (__TEXT,__text) non-external (was a private external) ___detect_path_locale
00007ff802a9a2e3 (__TEXT,__text) external ___diff_D2A
00007ff84366c4d0 (__DATA_DIRTY,__bss) non-external ___dirhelper_func
00007ff802a98228 (__TEXT,__text) external ___dtoa
00007ff802aff75d (__TEXT,__text) non-external (was a private external) ___endutxent
00007ff84366c598 (__DATA_DIRTY,__common) non-external (was a private external) ___env_owned
00007ff802af6a20 (__TEXT,__text) non-external (was a private external) ___environ_lock_fork_child
00007ff84366ac98 (__DATA_DIRTY,__bss) non-external ___environ_lock_obj
                 (undefined) external ___error (from libsystem_kernel)
00007ff802aba2cf (__TEXT,__text) non-external (was a private external) ___errstr
00007ff802a9e48c (__TEXT,__text) non-external ___evpinit
                 (undefined) external ___exit (from libsystem_kernel)
00007ff802ad30d2 (__TEXT,__text) external ___expand_table
00007ff84366c540 (__DATA_DIRTY,__bss) non-external ___fallback_evp
                 (undefined) external ___fchmod_extended (from libsystem_kernel)
                 (undefined) external ___fcntl (from libsystem_kernel)
                 (undefined) external ___fcntl_nocancel (from libsystem_kernel)
00007ff802a9be8a (__TEXT,__text) external ___fflush
00007ff802ae7e0a (__TEXT,__text) external ___fgetwc
00007ff802ae9760 (__TEXT,__text) non-external (was a private external) ___find_arguments
00007ff802ad3a4e (__TEXT,__text) external ___find_bigpair
00007ff802ad3b62 (__TEXT,__text) external ___find_last_page
00007ff802aea9dc (__TEXT,__text) non-external (was a private external) ___find_warguments
00007ff802a88d6a (__TEXT,__text) non-external (was a private external) ___findenv_locked
00007ff802aaefca (__TEXT,__text) external ___fix_locale_grouping_str
00007ff802ae1c6d (__TEXT,__text) non-external (was a private external) ___fix_nogrouping
                 (undefined) external ___fork (from libsystem_kernel)
                 (undefined) external ___fpclassifyd (from libsystem_m)
                 (undefined) external ___fpclassifyl (from libsystem_m)
00007ff802ae8526 (__TEXT,__text) non-external (was a private external) ___fputwc
00007ff802a957f2 (__TEXT,__text) external ___fread
00007ff802ad5c52 (__TEXT,__text) external ___free_ovflpage
00007ff802a994cc (__TEXT,__text) external ___freedtoa
                 (undefined) external ___fstat64_extended (from libsystem_kernel)
                 (undefined) external ___fstat_extended (from libsystem_kernel)
00007ff8438a08d8 (__DATA,__data) non-external (was a private external) ___ftell_conformance_fix
00007ff802a9ab0a (__TEXT,__text) non-external ___fts_open
00007ff802a9adaa (__TEXT,__text) non-external ___fts_open
00007ff802ad802c (__TEXT,__text) external ___gdtoa
00007ff84366c550 (__DATA_DIRTY,__common) external ___gdtoa_locks
00007ff802ad4238 (__TEXT,__text) external ___get_buf
00007ff802ae223c (__TEXT,__text) non-external (was a private external) ___get_current_messages_locale
00007ff802a8db80 (__TEXT,__text) non-external (was a private external) ___get_current_monetary_locale
00007ff802a8dba3 (__TEXT,__text) non-external (was a private external) ___get_current_numeric_locale
00007ff802aab452 (__TEXT,__text) non-external (was a private external) ___get_current_time_locale
00007ff802ab5f32 (__TEXT,__text) non-external (was a private external) ___get_locale_env
00007ff802ad572c (__TEXT,__text) external ___get_page
00007ff802ab46f8 (__TEXT,__text) non-external ___getcwd
                 (undefined) external ___getdirentries64 (from libsystem_kernel)
00007ff84366ac80 (__DATA_DIRTY,__bss) non-external ___getevp.predicate
                 (undefined) external ___getlogin (from libsystem_kernel)
00007ff802ae225f (__TEXT,__text) external ___getonlyClocaleconv
                 (undefined) external ___gettimeofday (from libsystem_kernel)
00007ff802aff821 (__TEXT,__text) non-external (was a private external) ___getutxent
00007ff802affb88 (__TEXT,__text) non-external ___getutxid
00007ff802ab8df0 (__TEXT,__text) non-external (was a private external) ___gl_compare
00007ff802ab8827 (__TEXT,__text) non-external (was a private external) ___gl_g_Ctoc
00007ff802adc1cc (__TEXT,__text) non-external (was a private external) ___gl_g_strchr
00007ff802ab8bc0 (__TEXT,__text) non-external (was a private external) ___gl_globextend
00007ff802ab7973 (__TEXT,__text) non-external (was a private external) ___gl_globtilde
00007ff802ab8933 (__TEXT,__text) non-external (was a private external) ___gl_match
00007ff802ab6d9a (__TEXT,__text) non-external ___glob
00007ff802ab710a (__TEXT,__text) non-external ___glob
00007ff84366a408 (__DATA_DIRTY,__data) non-external (was a private external) ___global_locale
00007ff802aaade5 (__TEXT,__text) non-external (was a private external) ___guard_setup
00007ff802ad254c (__TEXT,__text) external ___hash_open
00007ff802abf900 (__TEXT,__text) external ___hdtoa
00007ff802a96d20 (__TEXT,__text) non-external (was a private external) ___heapsort_r
00007ff802a9cd6c (__TEXT,__text) external ___hi0bits_D2A
00007ff802ad7d49 (__TEXT,__text) external ___hldtoa
00007ff802a99f99 (__TEXT,__text) external ___i2b_D2A
00007ff802ad5b92 (__TEXT,__text) external ___ibitmap
00007ff802ae6bb0 (__TEXT,__text) non-external ___inaddr_to_index
00007ff802b08f15 (__TEXT,__text) non-external ___inaddr_to_index.cold.1
00007ff802af9f21 (__TEXT,__text) non-external (was a private external) ___init__env_owned_locked
00007ff802ae2b1e (__TEXT,__text) external ___isctype
00007ff802ae2ab4 (__TEXT,__text) external ___istype
00007ff802ae2bf9 (__TEXT,__text) external ___istype_l
00007ff843669df8 (__DATA_DIRTY,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
00007ff843669df9 (__DATA_DIRTY,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
                 (undefined) external ___kill (from libsystem_kernel)
00007ff802afaf88 (__TEXT,__text) external ___ldtoa
00007ff802acd779 (__TEXT,__text) external ___libc_init
00007ff802a993b5 (__TEXT,__text) external ___lo0bits_D2A
00007ff802a9e522 (__TEXT,__text) non-external ___loadevp
00007ff843669e00 (__DATA_DIRTY,__data) non-external (was a private external) ___locale_key
00007ff802ad4868 (__TEXT,__text) external ___log2
00007ff8438a2960 (__DATA,__common) non-external (was a private external) ___logname
00007ff8438a0940 (__DATA,__data) non-external (was a private external) ___logname_mutex
00007ff802b0c870 (__TEXT,__const) non-external (was a private external) ___lowercase_hex
00007ff802a9a207 (__TEXT,__text) external ___lshift_D2A
                 (undefined) external ___lstat64_extended (from libsystem_kernel)
                 (undefined) external ___lstat_extended (from libsystem_kernel)
00007ff802a9eba5 (__TEXT,__text) external ___maskrune
00007ff802ae2ba4 (__TEXT,__text) external ___maskrune_l
00007ff802ad9273 (__TEXT,__text) external ___match_D2A
00007ff8438a0d24 (__DATA,__data) external ___mb_cur_max
00007ff8438a0d28 (__DATA,__data) external ___mb_sb_limit
00007ff802af07da (__TEXT,__text) non-external ___mbsconv
00007ff802ae2448 (__TEXT,__text) non-external (was a private external) ___mbsnrtowcs_std
00007ff802b076c6 (__TEXT,__text) external ___memccpy_chk
00007ff802a8eae0 (__TEXT,__text) external ___memcpy_chk
00007ff802a8f4e6 (__TEXT,__text) external ___memmove_chk
00007ff802a97975 (__TEXT,__text) external ___memset_chk
00007ff802aaf4ab (__TEXT,__text) non-external (was a private external) ___messages_load_locale
00007ff8438a2768 (__DATA,__bss) non-external ___messages_load_locale.cache
                 (undefined) external ___mkdir_extended (from libsystem_kernel)
                 (undefined) external ___mkfifo_extended (from libsystem_kernel)
00007ff802aae8ce (__TEXT,__text) non-external (was a private external) ___monetary_load_locale
00007ff8438a2778 (__DATA,__bss) non-external ___monetary_load_locale.cache
00007ff802a9a0c3 (__TEXT,__text) external ___mult_D2A
00007ff802a99f00 (__TEXT,__text) external ___multadd_D2A
00007ff802ae7b56 (__TEXT,__text) non-external ___nls_free_resources
00007ff802b0c0d9 (__TEXT,__const) non-external ___nogrouping
00007ff802a9cd29 (__TEXT,__text) external ___nrv_alloc_D2A
00007ff802aca56c (__TEXT,__text) non-external (was a private external) ___numeric_ctype
00007ff802aaf089 (__TEXT,__text) non-external (was a private external) ___numeric_load_locale
00007ff8438a2788 (__DATA,__bss) non-external ___numeric_load_locale.cache
                 (undefined) external ___open (from libsystem_kernel)
                 (undefined) external ___open_extended (from libsystem_kernel)
                 (undefined) external ___open_nocancel (from libsystem_kernel)
00007ff802aad4c1 (__TEXT,__text) non-external (was a private external) ___open_path_locale
00007ff802b05daf (__TEXT,__text) external ___opendir2
00007ff802a8df46 (__TEXT,__text) external ___opendir2$INODE64
00007ff802a8f4f8 (__TEXT,__text) non-external ___opendir_common
00007ff802a8f70f (__TEXT,__text) non-external ___opendir_common
                 (undefined) external ___os_log_simple_offset (from libsystem_platform)
00007ff802ad0329 (__TEXT,__text) external ___ovfl_delete
00007ff802ad015f (__TEXT,__text) external ___ovfl_get
00007ff802ad023a (__TEXT,__text) external ___ovfl_put
00007ff802a9cc22 (__TEXT,__text) non-external (was a private external) ___parsefloat_buf
00007ff84366ac28 (__DATA_DIRTY,__bss) non-external ___parsefloat_buf.bsiz
00007ff84366ac20 (__DATA_DIRTY,__bss) non-external ___parsefloat_buf.parsefloat_tsd_key
00007ff8436697c8 (__DATA_DIRTY,__data) non-external ___parsefloat_buf.parsefloat_tsd_lock
00007ff802aaed89 (__TEXT,__text) non-external (was a private external) ___part_load_locale
                 (undefined) external ___platform_sigaction (from libsystem_platform)
00007ff8438a2970 (__DATA,__common) non-external (was a private external) ___popen_pidlist
00007ff8438a0980 (__DATA,__data) non-external (was a private external) ___popen_pidlist_mutex
00007ff802a99fbc (__TEXT,__text) external ___pow5mult_D2A
00007ff802b0b9b0 (__TEXT,__const) non-external ___pow5mult_D2A.p05
00007ff802afe704 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_chr
00007ff802b097c7 (__TEXT,__text) non-external ___printf_arginfo_chr.cold.1
00007ff802afd4a6 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_errno
00007ff802b0964b (__TEXT,__text) non-external ___printf_arginfo_errno.cold.1
00007ff802afd590 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_float
00007ff802b0966c (__TEXT,__text) non-external ___printf_arginfo_float.cold.1
00007ff802afe110 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_hexdump
00007ff802b096b2 (__TEXT,__text) non-external ___printf_arginfo_hexdump.cold.1
00007ff802abcbf1 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_int
00007ff802b096d3 (__TEXT,__text) non-external ___printf_arginfo_int.cold.1
00007ff802afed13 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_n
00007ff802b09835 (__TEXT,__text) non-external ___printf_arginfo_n.cold.1
00007ff802afecf5 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_pct
00007ff802afe3c7 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_ptr
00007ff802b09756 (__TEXT,__text) non-external ___printf_arginfo_ptr.cold.1
00007ff802afe461 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_quote
00007ff802b09779 (__TEXT,__text) non-external ___printf_arginfo_quote.cold.1
00007ff802abcbc0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_str
00007ff802b097a6 (__TEXT,__text) non-external ___printf_arginfo_str.cold.1
00007ff802afe856 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_time
00007ff802b097f0 (__TEXT,__text) non-external ___printf_arginfo_time.cold.1
00007ff802afeb56 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_vis
00007ff802b09811 (__TEXT,__text) non-external ___printf_arginfo_vis.cold.1
00007ff802abc2e4 (__TEXT,__text) non-external (was a private external) ___printf_comp
00007ff802abcc77 (__TEXT,__text) non-external (was a private external) ___printf_exec
00007ff802abdcd0 (__TEXT,__text) non-external (was a private external) ___printf_flush
00007ff802aec4e5 (__TEXT,__text) non-external (was a private external) ___printf_is_memory_read_only
00007ff802abd504 (__TEXT,__text) non-external (was a private external) ___printf_out
00007ff802afec73 (__TEXT,__text) non-external (was a private external) ___printf_pad
00007ff802abd1eb (__TEXT,__text) non-external (was a private external) ___printf_puts
00007ff802afe742 (__TEXT,__text) non-external (was a private external) ___printf_render_chr
00007ff802afd4c0 (__TEXT,__text) non-external (was a private external) ___printf_render_errno
00007ff802afd5c7 (__TEXT,__text) non-external (was a private external) ___printf_render_float
00007ff802b0968f (__TEXT,__text) non-external ___printf_render_float.cold.1
00007ff802afe132 (__TEXT,__text) non-external (was a private external) ___printf_render_hexdump
00007ff802abd589 (__TEXT,__text) non-external (was a private external) ___printf_render_int
00007ff802b096f6 (__TEXT,__text) non-external ___printf_render_int.cold.1
00007ff802b09719 (__TEXT,__text) non-external ___printf_render_int.cold.2
00007ff802afed2d (__TEXT,__text) non-external (was a private external) ___printf_render_n
00007ff802afecfd (__TEXT,__text) non-external (was a private external) ___printf_render_pct
00007ff802afe3ef (__TEXT,__text) non-external (was a private external) ___printf_render_ptr
00007ff802afe47b (__TEXT,__text) non-external (was a private external) ___printf_render_quote
00007ff802abd271 (__TEXT,__text) non-external (was a private external) ___printf_render_str
00007ff802afe870 (__TEXT,__text) non-external (was a private external) ___printf_render_time
00007ff802afeb70 (__TEXT,__text) non-external (was a private external) ___printf_render_vis
00007ff802ab41a0 (__TEXT,__text) non-external (was a private external) ___private_getcwd
00007ff84366c4b8 (__DATA_DIRTY,__bss) non-external ___progname_pointer
                 (undefined) external ___pthread_workqueue_setkill (from libsystem_pthread)
00007ff802ad58c8 (__TEXT,__text) external ___put_page
00007ff802b0c21f (__TEXT,__const) non-external (was a private external) ___puts_null__
00007ff802affdcd (__TEXT,__text) non-external (was a private external) ___pututxline
00007ff802a9cdda (__TEXT,__text) external ___quorem_D2A
00007ff802ab1de2 (__TEXT,__text) external ___ratio_D2A
00007ff802ad64a0 (__TEXT,__text) external ___rec_close
00007ff802ad6797 (__TEXT,__text) external ___rec_delete
00007ff802ad68a7 (__TEXT,__text) external ___rec_dleaf
00007ff802ad722a (__TEXT,__text) external ___rec_fd
00007ff802ad6d0e (__TEXT,__text) external ___rec_fmap
00007ff802ad6aa0 (__TEXT,__text) external ___rec_fpipe
00007ff802ad69bc (__TEXT,__text) external ___rec_get
00007ff802ad7548 (__TEXT,__text) external ___rec_iput
00007ff802ad6edc (__TEXT,__text) external ___rec_open
00007ff802ad7278 (__TEXT,__text) external ___rec_put
