00007ff80b7afdfe (__TEXT,__text) non-external _Annihilate
00007ff80b7a1a3b (__TEXT,__text) non-external (was a private external) _BrotliEncoderMaxCompressedSize
00007ff80b7a1740 (__TEXT,__text) non-external (was a private external) _BrotliEncoderSetParameter
00007ff80b7a89b7 (__TEXT,__text) non-external (was a private external) _BrotliEncoderTakeOutput
00007ff80b7a8a29 (__TEXT,__text) non-external (was a private external) _BrotliEncoderVersion
00007ff80b7b8acc (__TEXT,__text) non-external _BrotliEnsureRingBuffer
00007ff80b7bf207 (__TEXT,__text) non-external (was a private external) _BrotliEstimateBitCostsForLiterals
00007ff80b7e1bec (__TEXT,__text) non-external (was a private external) _BrotliFindAllStaticDictionaryMatches
00007ff80b7afd0a (__TEXT,__text) non-external (was a private external) _BrotliFree
00007ff80b7afec7 (__TEXT,__text) non-external (was a private external) _BrotliGetDictionary
00007ff80b7cad11 (__TEXT,__text) non-external (was a private external) _BrotliGetTransforms
00007ff80b7c3397 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceCommand
00007ff80b7c4041 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceDistance
00007ff80b7c26ed (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceLiteral
00007ff80b7c30a1 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineCommand
00007ff80b7c3d4b (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineDistance
00007ff80b7c23f7 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineLiteral
00007ff80b7c35a9 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexCommand
00007ff80b7c4253 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexDistance
00007ff80b7c28ff (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexLiteral
00007ff80b7c3426 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapCommand
00007ff80b7c40d0 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapDistance
00007ff80b7c277c (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapLiteral
00007ff80b7b5b0a (__TEXT,__text) non-external (was a private external) _BrotliInitBitReader
00007ff80b7b0a6d (__TEXT,__text) non-external (was a private external) _BrotliInitBlockSplit
00007ff80b7f03ae (__TEXT,__text) non-external (was a private external) _BrotliInitDistanceParams
00007ff80b7cacad (__TEXT,__text) non-external (was a private external) _BrotliInitEncoderDictionary
00007ff80b7afbb1 (__TEXT,__text) non-external (was a private external) _BrotliInitMemoryManager
00007ff80b7c5187 (__TEXT,__text) non-external (was a private external) _BrotliInitZopfliNodes
00007ff80b7e392d (__TEXT,__text) non-external (was a private external) _BrotliIsMostlyUTF8
00007ff80b7f1eed (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHistograms
00007ff80b7bfcbb (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHuffmanCountsForRle
00007ff80b7d02f4 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostCommand
00007ff80b7d0848 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostDistance
00007ff80b7cfda0 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostLiteral
00007ff80b817370 (__TEXT,__const) non-external _BrotliReverseBits.kLut
00007ff80b7b5b6d (__TEXT,__text) non-external (was a private external) _BrotliSafeReadBits32Slow
00007ff80b7bf9c5 (__TEXT,__text) non-external (was a private external) _BrotliSetDepth
00007ff80b7afed4 (__TEXT,__text) non-external (was a private external) _BrotliSetDictionaryData
00007ff80b7b0abc (__TEXT,__text) non-external (was a private external) _BrotliSplitBlock
00007ff80b7cbfb1 (__TEXT,__text) non-external (was a private external) _BrotliStoreHuffmanTree
00007ff80b84b538 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeBitLengths
00007ff80b84b532 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeSymbols
00007ff80b84b520 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kStorageOrder
00007ff80b7cc9ec (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlock
00007ff80b7cefc1 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockFast
00007ff80b7af690 (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
00007ff80b7edfc2 (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
00007ff80b7ce5f6 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockTrivial
00007ff80b7cf3bd (__TEXT,__text) non-external (was a private external) _BrotliStoreUncompressedMetaBlock
00007ff80b7cad1e (__TEXT,__text) non-external (was a private external) _BrotliTransformDictionaryWord
00007ff80b7b5b1e (__TEXT,__text) non-external (was a private external) _BrotliWarmupBitReader
00007ff80b7afd4e (__TEXT,__text) non-external (was a private external) _BrotliWipeOutMemoryManager
00007ff80b7c0003 (__TEXT,__text) non-external (was a private external) _BrotliWriteHuffmanTree
00007ff80b7c54db (__TEXT,__text) non-external (was a private external) _BrotliZopfliComputeShortestPath
00007ff80b7c51aa (__TEXT,__text) non-external (was a private external) _BrotliZopfliCreateCommands
00007ff80b7cd72b (__TEXT,__text) non-external _BuildAndStoreBlockSwitchEntropyCodes
00007ff80b7af97d (__TEXT,__text) non-external _BuildAndStoreCommandPrefixCode
00007ff80b7ce929 (__TEXT,__text) non-external _BuildAndStoreHuffmanTree
00007ff80b7af745 (__TEXT,__text) non-external _BuildAndStoreLiteralPrefixCode
00007ff80b7ce861 (__TEXT,__text) non-external _BuildHistograms
00007ff80b7f7380 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapContinuation
00007ff80b7f7480 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapSimpleUTF8
00007ff80b7a8a34 (__TEXT,__text) non-external _ChooseDistanceParams
00007ff80b7afc42 (__TEXT,__text) non-external _CollectGarbagePointers
00007ff80b7f0c59 (__TEXT,__text) non-external _ComputeDistanceCost
00007ff80b7c7025 (__TEXT,__text) non-external _ComputeShortestPathFromNodes
00007ff80b7f28c4 (__TEXT,__text) non-external _ContextBlockSplitterFinishBlock
00007ff80b7b8448 (__TEXT,__text) non-external _CopyUncompressedBlockToOutput
00007ff80b7d38c4 (__TEXT,__text) non-external _CreateBackwardReferencesNH2
00007ff80b7d49ca (__TEXT,__text) non-external _CreateBackwardReferencesNH3
00007ff80b7de0a7 (__TEXT,__text) non-external _CreateBackwardReferencesNH35
00007ff80b7d5693 (__TEXT,__text) non-external _CreateBackwardReferencesNH4
00007ff80b7d937a (__TEXT,__text) non-external _CreateBackwardReferencesNH40
00007ff80b7da7af (__TEXT,__text) non-external _CreateBackwardReferencesNH41
00007ff80b7dbc79 (__TEXT,__text) non-external _CreateBackwardReferencesNH42
00007ff80b7d6960 (__TEXT,__text) non-external _CreateBackwardReferencesNH5
00007ff80b7dd293 (__TEXT,__text) non-external _CreateBackwardReferencesNH54
00007ff80b7df0f5 (__TEXT,__text) non-external _CreateBackwardReferencesNH55
00007ff80b7d7e4f (__TEXT,__text) non-external _CreateBackwardReferencesNH6
00007ff80b7e0215 (__TEXT,__text) non-external _CreateBackwardReferencesNH65
00007ff80b7f7270 (__TEXT,__const) non-external _DecideOverLiteralContextModeling.lut
00007ff80b7ba8c4 (__TEXT,__text) non-external _DecodeCommandBlockSwitch
00007ff80b7b85d0 (__TEXT,__text) non-external _DecodeContextMap
00007ff80b7bb3fe (__TEXT,__text) non-external _DecodeDistanceBlockSwitch
00007ff80b7bae5e (__TEXT,__text) non-external _DecodeLiteralBlockSwitch
00007ff80b7b7178 (__TEXT,__text) non-external _DecodeMetaBlockLength
00007ff80b7b777a (__TEXT,__text) non-external _DecodeVarLenUint8
00007ff80b7af610 (__TEXT,__text) non-external _EmitUncompressedMetaBlock
00007ff80b7cdc43 (__TEXT,__text) non-external _EncodeContextMap
00007ff80b7a4bb0 (__TEXT,__text) non-external _EncodeData
00007ff80b7c6e34 (__TEXT,__text) non-external _EvaluateNode
00007ff80b8173f0 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff80b854a50 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff80b86d500 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff80b7a8db7 (__TEXT,__text) non-external _GetBrotliStorage
00007ff80b7a8e25 (__TEXT,__text) non-external _GetHashTable
00007ff80b7f7170 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandBits
00007ff80b86d9b0 (__TEXT,__cstring) non-external _InitCommandPrefixCodes.kDefaultCommandCode
00007ff80b7f70f0 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandDepths
00007ff80b7c63da (__TEXT,__text) non-external _InitZopfliCostModel
00007ff80b7a4a99 (__TEXT,__text) non-external _InjectFlushOrPushOutput
00007ff80b7ba4af (__TEXT,__text) non-external _InverseMoveToFrontTransform
00007ff80b7c1722 (__TEXT,__text) non-external _LZFSEIBootBufferCopy
00007ff80b7c16d8 (__TEXT,__text) non-external _LZFSEIBootBufferPush
00007ff80b7c1603 (__TEXT,__text) non-external _LZFSEIBootBufferPushN
00007ff80b7a8d53 (__TEXT,__text) non-external _PrepareH54
00007ff80b7a8cec (__TEXT,__text) non-external _PrepareH6
00007ff80b7b8b70 (__TEXT,__text) non-external _ProcessCommands
00007ff80b7b7951 (__TEXT,__text) non-external _ReadHuffmanCode
00007ff80b7ba565 (__TEXT,__text) non-external _SafeDecodeCommandBlockSwitch
00007ff80b7bb08f (__TEXT,__text) non-external _SafeDecodeDistanceBlockSwitch
00007ff80b7baaa9 (__TEXT,__text) non-external _SafeDecodeLiteralBlockSwitch
00007ff80b7ba413 (__TEXT,__text) non-external _SafeDecodeSymbol
00007ff80b7b9690 (__TEXT,__text) non-external _SafeProcessCommands
00007ff80b7b7020 (__TEXT,__text) non-external _SaveErrorCode
00007ff80b7c859e (__TEXT,__text) non-external _SetCost
00007ff80b7caf39 (__TEXT,__text) non-external _Shift
00007ff80b7a8a7a (__TEXT,__text) non-external _ShouldCompress
00007ff80b7f7280 (__TEXT,__const) non-external _ShouldUseComplexStaticContextMap.kStaticContextMapComplexUTF8
00007ff80b7afd89 (__TEXT,__text) non-external _SortPointers
00007ff80b7f7840 (__TEXT,__const) non-external _SortPointers.gaps
00007ff80b84c2b0 (__TEXT,__const) non-external _StoreCommands.kInsertOffset
00007ff80b84c0b0 (__TEXT,__const) non-external _StoreCommands.kNumExtraBits
00007ff80b7cd5e2 (__TEXT,__text) non-external _StoreCompressedMetaBlockHeader
00007ff80b7cecf6 (__TEXT,__text) non-external _StoreDataWithHuffmanCodes
00007ff80b7ce26e (__TEXT,__text) non-external _StoreSymbol
00007ff80b7ce425 (__TEXT,__text) non-external _StoreSymbolWithContext
00007ff80b7cda10 (__TEXT,__text) non-external _StoreTrivialContextMap
00007ff80b7cf547 (__TEXT,__text) non-external _StoreVarLenUint8
00007ff80b7c658e (__TEXT,__text) non-external _UpdateNodes
00007ff80b7ba288 (__TEXT,__text) non-external _WrapRingBuffer
00007ff80b7b7034 (__TEXT,__text) non-external _WriteRingBuffer
00007ff80b7c644c (__TEXT,__text) non-external _ZopfliCostModelSetFromLiteralCosts
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ff8422e20b8 (__DATA,__const) non-external ___block_descriptor_tmp
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff80b7bda1b (__TEXT,__text) non-external ___yzip_jobs_process_block_invoke
00007ff80b853400 (__TEXT,__const) non-external (was a private external) __dist_code
00007ff80b84b890 (__TEXT,__const) non-external (was a private external) __kBrotliContextLookupTable
00007ff80b7f7590 (__TEXT,__const) non-external (was a private external) __kBrotliPrefixCodeRanges
00007ff80b853600 (__TEXT,__const) non-external (was a private external) __length_code
00007ff80b7f00e8 (__TEXT,__text) non-external (was a private external) __tr_align
00007ff80b799983 (__TEXT,__text) non-external (was a private external) __tr_flush_block
00007ff80b7979a0 (__TEXT,__text) non-external (was a private external) __tr_init
00007ff80b7effbe (__TEXT,__text) non-external (was a private external) __tr_stored_block
00007ff80b7f0318 (__TEXT,__text) non-external (was a private external) __tr_tally
00007ff80b797854 (__TEXT,__text) non-external (was a private external) _adler32
00007ff80b7bc8d4 (__TEXT,__text) non-external (was a private external) _adler32_combine
00007ff80b7bc9bf (__TEXT,__text) non-external (was a private external) _adler32_combine64
00007ff80b7bc8de (__TEXT,__text) non-external _adler32_combine_
00007ff80b7a1230 (__TEXT,__text) non-external (was a private external) _adler32_vec
00007ff80b79785e (__TEXT,__text) non-external (was a private external) _adler32_z
00007ff80b853df0 (__TEXT,__const) non-external _base_dist
00007ff80b853d70 (__TEXT,__const) non-external _base_length
00007ff80b7f0296 (__TEXT,__text) non-external _bi_flush
00007ff80b79b3c8 (__TEXT,__text) non-external _bi_windup
00007ff80b853d50 (__TEXT,__const) non-external _bl_order
00007ff80b84b600 (__TEXT,__const) non-external _breverse.brev8
00007ff80b7ee5c5 (__TEXT,__text) non-external (was a private external) _brotli_decode_buffer
00007ff80b7ee5fa (__TEXT,__text) non-external (was a private external) _brotli_encode_buffer
00007ff80b7ee636 (__TEXT,__text) non-external (was a private external) _brotli_stream_decode
00007ff80b7ee675 (__TEXT,__text) non-external (was a private external) _brotli_stream_encode
00007ff80b7ee7d5 (__TEXT,__text) non-external (was a private external) _brotli_stream_end
00007ff80b7ee6f8 (__TEXT,__text) non-external (was a private external) _brotli_stream_init
00007ff80b7ee6d9 (__TEXT,__text) non-external (was a private external) _brotli_stream_process
00007ff80b79a3a5 (__TEXT,__text) non-external _build_tree
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
00007ff80b79afbd (__TEXT,__text) non-external _compress_block
00007ff80b79d21c (__TEXT,__text) external _compression_decode_buffer
00007ff80b79d13e (__TEXT,__text) external _compression_decode_scratch_buffer_size
00007ff80b7e3c36 (__TEXT,__text) external _compression_encode_buffer
00007ff80b7e3b2f (__TEXT,__text) external _compression_encode_scratch_buffer_size
00007ff80b79b582 (__TEXT,__text) external _compression_stream_destroy
00007ff80b7bf115 (__TEXT,__text) external _compression_stream_get_decode_state_size
00007ff80b7bf0bf (__TEXT,__text) external _compression_stream_get_encode_state_size
00007ff80b7bf077 (__TEXT,__text) external _compression_stream_get_state_size
00007ff80b7beff5 (__TEXT,__text) external _compression_stream_identify_algorithm
00007ff80b797280 (__TEXT,__text) external _compression_stream_init
00007ff80b7befaf (__TEXT,__text) external _compression_stream_init_with_state_buffer
00007ff80b7bf16b (__TEXT,__text) external _compression_stream_is_state_valid
00007ff80b797f42 (__TEXT,__text) external _compression_stream_process
00007ff80b79d88f (__TEXT,__text) external _compression_stream_reinit
00007ff8422e2930 (__DATA,__const) non-external _configuration_table
00007ff80b7d1e5a (__TEXT,__text) external _cosmix_codec_decode
00007ff80b7d1494 (__TEXT,__text) external _cosmix_codec_encode
00007ff80b7d1d73 (__TEXT,__text) external _cosmix_codec_get_decoded_size
00007ff80b7d2962 (__TEXT,__text) external _cosmix_codec_get_id
00007ff80b7d27d7 (__TEXT,__text) external _cosmix_codec_map
00007ff80b7d291a (__TEXT,__text) external _cosmix_codec_unmap
00007ff80b7d23ff (__TEXT,__text) external _cosmix_model_create
00007ff80b7d2539 (__TEXT,__text) external _cosmix_model_destroy
00007ff80b7d2562 (__TEXT,__text) external _cosmix_model_save_codec
00007ff80b7d0d9c (__TEXT,__text) external _cosmix_model_update
00007ff80b7ee084 (__TEXT,__text) non-external (was a private external) _crc32
00007ff80b7ee33f (__TEXT,__text) non-external (was a private external) _crc32_combine
00007ff80b7ee568 (__TEXT,__text) non-external (was a private external) _crc32_combine64
00007ff80b7ee349 (__TEXT,__text) non-external _crc32_combine_
00007ff80b84c310 (__TEXT,__const) non-external _crc_table
00007ff80b7b5a52 (__TEXT,__text) non-external (was a private external) _create_thread
00007ff80b7f6a9a (__TEXT,__text) non-external (was a private external) _debug_verify_offsets
00007ff80b79813b (__TEXT,__text) non-external (was a private external) _deflate
00007ff80b7f6221 (__TEXT,__text) non-external (was a private external) _deflateBound
00007ff80b7f6329 (__TEXT,__text) non-external (was a private external) _deflateCopy
00007ff80b79b497 (__TEXT,__text) non-external (was a private external) _deflateEnd
00007ff80b797448 (__TEXT,__text) non-external (was a private external) _deflateInit2_
00007ff80b7f5f47 (__TEXT,__text) non-external (was a private external) _deflateInit_
00007ff80b7f60fa (__TEXT,__text) non-external (was a private external) _deflateParams
00007ff80b7f60c5 (__TEXT,__text) non-external (was a private external) _deflatePrime
00007ff80b797704 (__TEXT,__text) non-external (was a private external) _deflateReset
00007ff80b7f5f71 (__TEXT,__text) non-external (was a private external) _deflateSetDictionary
00007ff80b7f60a0 (__TEXT,__text) non-external (was a private external) _deflateSetHeader
00007ff80b7f61ed (__TEXT,__text) non-external (was a private external) _deflateTune
00007ff80b854ca0 (__TEXT,__const) non-external (was a private external) _deflate_copyright
00007ff80b7f66d7 (__TEXT,__text) non-external _deflate_fast
00007ff80b79906a (__TEXT,__text) non-external _deflate_slow
00007ff80b7f6519 (__TEXT,__text) non-external _deflate_stored
                 (undefined) external _dispatch_apply (from libSystem)
00007ff80b7cba12 (__TEXT,__text) non-external _emitMatch
00007ff80b853d00 (__TEXT,__const) non-external _extra_blbits
00007ff80b853c80 (__TEXT,__const) non-external _extra_dbits
00007ff80b853c00 (__TEXT,__const) non-external _extra_lbits
                 (undefined) external _fclose (from libSystem)
00007ff80b79955b (__TEXT,__text) non-external _fill_window
00007ff80b79b438 (__TEXT,__text) non-external _flush_pending
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00007ff80b854950 (__TEXT,__const) non-external _getDSymbolFromValue.sym
00007ff80b853ed0 (__TEXT,__const) non-external _getLSymbolFromValue.sym
00007ff80b854010 (__TEXT,__const) non-external _getMSymbolFromValue.sym
00007ff80b7ee077 (__TEXT,__text) non-external (was a private external) _get_crc_table
00007ff80b7c5145 (__TEXT,__text) non-external (was a private external) _get_default_nthreads
00007ff80b7bc9c9 (__TEXT,__text) non-external (was a private external) _get_max_payload_size
00007ff80b7bc9e1 (__TEXT,__text) non-external (was a private external) _get_plane_max_rice_size
00007ff80b7bc9f5 (__TEXT,__text) non-external (was a private external) _get_pool_size
00007ff80b7c5111 (__TEXT,__text) non-external (was a private external) _get_real_time
                 (undefined) external _gettimeofday (from libSystem)
00007ff80b7c1940 (__TEXT,__text) non-external _header_fetch_from_payload
00007ff80b7eff36 (__TEXT,__text) non-external _init_quantization_lut
00007ff80b7b5aec (__TEXT,__text) non-external (was a private external) _join_thread
00007ff80b815860 (__TEXT,__const) non-external (was a private external) _kBrotliBitMask
00007ff80b7f6f90 (__TEXT,__const) non-external (was a private external) _kBrotliCopyBase
00007ff80b7f6ff0 (__TEXT,__const) non-external (was a private external) _kBrotliCopyExtra
00007ff8422e1ef0 (__DATA,__const) non-external _kBrotliDictionary
00007ff80b7f7860 (__TEXT,__const) non-external _kBrotliDictionaryData
00007ff80b7f6ed0 (__TEXT,__const) non-external (was a private external) _kBrotliInsBase
00007ff80b7f6f30 (__TEXT,__const) non-external (was a private external) _kBrotliInsExtra
00007ff80b854cf0 (__TEXT,__const) non-external (was a private external) _kBrotliLog2Table
00007ff80b817340 (__TEXT,__const) non-external (was a private external) _kBrotliShellGaps
00007ff8422e28e0 (__DATA,__const) non-external _kBrotliTransforms
00007ff80b7f7640 (__TEXT,__const) non-external _kCmdHistoSeed
00007ff80b815980 (__TEXT,__const) non-external _kCmdLut
00007ff80b848ad0 (__TEXT,__const) non-external _kCodeLengthBits
00007ff80b815940 (__TEXT,__const) non-external _kCodeLengthCodeOrder
00007ff80b848ab0 (__TEXT,__const) non-external _kCodeLengthDepth
00007ff80b815960 (__TEXT,__const) non-external _kCodeLengthPrefixLength
00007ff80b815970 (__TEXT,__const) non-external _kCodeLengthPrefixValue
00007ff80b8171f0 (__TEXT,__const) non-external (was a private external) _kDSymbolVBase
00007ff80b8171b0 (__TEXT,__const) non-external (was a private external) _kDSymbolVBits
00007ff80b817690 (__TEXT,__const) non-external _kDistanceCacheIndex
00007ff80b8176d0 (__TEXT,__const) non-external _kDistanceCacheOffset
00007ff80b8170f0 (__TEXT,__const) non-external (was a private external) _kLSymbolVBase
00007ff80b8170d0 (__TEXT,__const) non-external (was a private external) _kLSymbolVBits
00007ff80b817160 (__TEXT,__const) non-external (was a private external) _kMSymbolVBase
00007ff80b817140 (__TEXT,__const) non-external (was a private external) _kMSymbolVBits
00007ff80b849620 (__TEXT,__const) non-external _kNonZeroRepsBits
00007ff80b848b20 (__TEXT,__const) non-external _kNonZeroRepsDepth
00007ff80b8466e0 (__TEXT,__const) non-external _kPrefixSuffix
00007ff80b8467c0 (__TEXT,__const) non-external _kPrefixSuffixMap
00007ff80b7f6dd0 (__TEXT,__const) non-external _kReverseBits
00007ff80b84aee0 (__TEXT,__const) non-external _kStaticCommandCodeBits
00007ff80b84ac20 (__TEXT,__const) non-external _kStaticCommandCodeDepth
00007ff80b817770 (__TEXT,__const) non-external _kStaticDictionaryBuckets
00007ff80b865500 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashLengths
00007ff80b855500 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashWords
00007ff80b827770 (__TEXT,__const) non-external _kStaticDictionaryWords
