00000001a2412fc8 (__TEXT,__text) non-external +[AMFI isAvailable]
00000001a2412218 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:]
00000001a2415d28 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.1
00000001a2415d84 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.2
00000001a2408be0 (__TEXT,__text) non-external +[SPExecutionHistoryItem executionHistoryItemWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00000001a2408d20 (__TEXT,__text) non-external +[SPExecutionHistoryItem supportsSecureCoding]
00000001a24073a8 (__TEXT,__text) non-external +[SPExecutionPolicyItem supportsSecureCoding]
00000001a2402990 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:]
00000001a24139b4 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:].cold.1
00000001a2413a88 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:].cold.2
00000001a24026e4 (__TEXT,__text) non-external +[SPFilePolicy getAllowedPaths]
00000001a240cf14 (__TEXT,__text) non-external +[SPKernelExtensionHistoryItem supportsSecureCoding]
00000001a24093b0 (__TEXT,__text) non-external +[SPKernelExtensionPolicy findBundledKernelExtensions:]
00000001a2401030 (__TEXT,__text) non-external +[SPKernelExtensionPolicyItem supportsSecureCoding]
00000001a2408668 (__TEXT,__text) non-external +[SPLog exec]
00000001a24089b0 (__TEXT,__text) non-external +[SPLog generateSignpostID]
00000001a2408530 (__TEXT,__text) non-external +[SPLog generic]
00000001a24085cc (__TEXT,__text) non-external +[SPLog kext]
00000001a2408704 (__TEXT,__text) non-external +[SPLog measurements]
00000001a24089a4 (__TEXT,__text) non-external +[SPLog setVerboseLogging:]
00000001a24087a0 (__TEXT,__text) non-external +[SPLog signposts]
00000001a240883c (__TEXT,__text) non-external +[SPLog verboseLoggingEnabled]
00000001a240fbf0 (__TEXT,__text) non-external +[SPMigration createGatekeeperMigrationData:]
00000001a240f628 (__TEXT,__text) non-external +[SPMigration createKernelExtensionMigrationData:]
00000001a240eb34 (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:]
00000001a24159a4 (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:].cold.1
00000001a240e988 (__TEXT,__text) non-external +[SPMigration gatekeeperMigrationDataPath:]
00000001a240e974 (__TEXT,__text) non-external +[SPMigration kernelExtensionMigrationDataPath:]
00000001a240ef38 (__TEXT,__text) non-external +[SPMigration readKernelExtensionMigrationPolicy:]
00000001a240eaec (__TEXT,__text) non-external +[SPMigration volumeRequiresGatekeeperMigration:]
00000001a240e99c (__TEXT,__text) non-external +[SPMigration volumeRequiresKernelExtensionMigration:]
00000001a2411abc (__TEXT,__text) non-external +[SPProvenanceMetadata supportsSecureCoding]
00000001a2402238 (__TEXT,__text) non-external -[AKELData .cxx_destruct]
00000001a2402160 (__TEXT,__text) non-external -[AKELData findLegacyKextBundleID:]
00000001a2402004 (__TEXT,__text) non-external -[AKELData initWithURL:]
00000001a2401e90 (__TEXT,__text) non-external -[AKELData init]
00000001a24021fc (__TEXT,__text) non-external -[AKELData isKextAllowedWithoutSecureTimestamp:]
00000001a2402124 (__TEXT,__text) non-external -[AKELData isLegacyKextAllowed:]
00000001a2401c6c (__TEXT,__text) non-external -[AKELData loadFromBundleData:]
00000001a240211c (__TEXT,__text) non-external -[AKELData reloadIfNecessary]
00000001a2413258 (__TEXT,__text) non-external -[AppWrapperPolicyResult description]
00000001a24131ac (__TEXT,__text) non-external -[AppWrapperPolicyResult initWithValid:withSignerCategory:withModified:]
00000001a241326c (__TEXT,__text) non-external -[AppWrapperPolicyResult isModified]
00000001a241325c (__TEXT,__text) non-external -[AppWrapperPolicyResult isValid]
00000001a2413210 (__TEXT,__text) non-external -[AppWrapperPolicyResult redactedDescription]
00000001a2413264 (__TEXT,__text) non-external -[AppWrapperPolicyResult signerCategory]
00000001a2406fc4 (__TEXT,__text) non-external -[BundleData .cxx_destruct]
00000001a2406750 (__TEXT,__text) non-external -[BundleData dealloc]
00000001a2414bf8 (__TEXT,__text) non-external -[BundleData dealloc].cold.1
00000001a2406c30 (__TEXT,__text) non-external -[BundleData doReload]
00000001a2406f98 (__TEXT,__text) non-external -[BundleData forceReload]
00000001a24067ec (__TEXT,__text) non-external -[BundleData initWithURL:withReloadBlock:watchForUpdates:]
00000001a2406734 (__TEXT,__text) non-external -[BundleData init]
00000001a2406fa4 (__TEXT,__text) non-external -[BundleData isSigned]
00000001a2406c8c (__TEXT,__text) non-external -[BundleData loadInternalData:]
00000001a2406f2c (__TEXT,__text) non-external -[BundleData reloadIfNecessary]
00000001a2406950 (__TEXT,__text) non-external -[BundleData setupFSStream]
00000001a2414c68 (__TEXT,__text) non-external -[BundleData setupFSStream].cold.1
00000001a2414cd8 (__TEXT,__text) non-external -[BundleData setupFSStream].cold.2
00000001a2406fbc (__TEXT,__text) non-external -[BundleData timestamp]
00000001a2406f9c (__TEXT,__text) non-external -[BundleData url]
00000001a2406fb4 (__TEXT,__text) non-external -[BundleData versionNumber]
00000001a2406fac (__TEXT,__text) non-external -[BundleData version]
00000001a24079ec (__TEXT,__text) non-external -[GKScanResult .cxx_destruct]
00000001a24079c8 (__TEXT,__text) non-external -[GKScanResult allowed]
00000001a240793c (__TEXT,__text) non-external -[GKScanResult encodeWithCoder:]
00000001a24079d8 (__TEXT,__text) non-external -[GKScanResult gkError]
00000001a240788c (__TEXT,__text) non-external -[GKScanResult initWithCoder:]
00000001a24079d0 (__TEXT,__text) non-external -[GKScanResult setAllowed:]
00000001a24079e0 (__TEXT,__text) non-external -[GKScanResult setGkError:]
00000001a24123c8 (__TEXT,__text) non-external -[NSData(Strings) hexString]
00000001a2402da0 (__TEXT,__text) non-external -[PolicyCacheMeta .cxx_destruct]
00000001a2402d68 (__TEXT,__text) non-external -[PolicyCacheMeta forEntry]
00000001a2402d54 (__TEXT,__text) non-external -[PolicyCacheMeta lastMiss]
00000001a2402d2c (__TEXT,__text) non-external -[PolicyCacheMeta metaId]
00000001a2402d40 (__TEXT,__text) non-external -[PolicyCacheMeta missCount]
00000001a2402d8c (__TEXT,__text) non-external -[PolicyCacheMeta resolvedEntry]
00000001a2402d70 (__TEXT,__text) non-external -[PolicyCacheMeta setForEntry:]
00000001a2402d5c (__TEXT,__text) non-external -[PolicyCacheMeta setLastMiss:]
00000001a2402d34 (__TEXT,__text) non-external -[PolicyCacheMeta setMetaId:]
00000001a2402d48 (__TEXT,__text) non-external -[PolicyCacheMeta setMissCount:]
00000001a2402d94 (__TEXT,__text) non-external -[PolicyCacheMeta setResolvedEntry:]
00000001a2402d84 (__TEXT,__text) non-external -[PolicyCacheMeta setSourceTable:]
00000001a2402d7c (__TEXT,__text) non-external -[PolicyCacheMeta sourceTable]
00000001a2411920 (__TEXT,__text) non-external -[PolicyScanTarget .cxx_destruct]
00000001a2411890 (__TEXT,__text) non-external -[PolicyScanTarget blockDevice]
00000001a2410f7c (__TEXT,__text) non-external -[PolicyScanTarget bundleID]
00000001a241103c (__TEXT,__text) non-external -[PolicyScanTarget bundleVersion]
00000001a24113c8 (__TEXT,__text) non-external -[PolicyScanTarget cdhashData]
00000001a2411464 (__TEXT,__text) non-external -[PolicyScanTarget cdhashDigestAlgorithm]
00000001a2411304 (__TEXT,__text) non-external -[PolicyScanTarget cdhash]
00000001a24118b8 (__TEXT,__text) non-external -[PolicyScanTarget checkValidity]
00000001a2410804 (__TEXT,__text) non-external -[PolicyScanTarget dealloc]
00000001a24117d8 (__TEXT,__text) non-external -[PolicyScanTarget description]
00000001a2411278 (__TEXT,__text) non-external -[PolicyScanTarget entitlements]
00000001a24118a0 (__TEXT,__text) non-external -[PolicyScanTarget fsTypeName]
00000001a241115c (__TEXT,__text) non-external -[PolicyScanTarget infoPlist]
00000001a2410868 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:]
00000001a2415a60 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.1
00000001a2415ae8 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.2
00000001a2415b58 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.3
00000001a2415b90 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.4
00000001a2415bc8 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.5
00000001a2415c38 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.6
00000001a24107e8 (__TEXT,__text) non-external -[PolicyScanTarget init]
00000001a24118c8 (__TEXT,__text) non-external -[PolicyScanTarget isAppWrapper]
00000001a24118f8 (__TEXT,__text) non-external -[PolicyScanTarget isBundled]
00000001a24116c4 (__TEXT,__text) non-external -[PolicyScanTarget isNotarized]
00000001a2415cb4 (__TEXT,__text) non-external -[PolicyScanTarget isNotarized].cold.1
00000001a24118e0 (__TEXT,__text) non-external -[PolicyScanTarget isQuarantinedMount]
00000001a241163c (__TEXT,__text) non-external -[PolicyScanTarget isQuarantined]
00000001a24118e8 (__TEXT,__text) non-external -[PolicyScanTarget isScript]
00000001a2411680 (__TEXT,__text) non-external -[PolicyScanTarget isUserApproved]
00000001a2410ee0 (__TEXT,__text) non-external -[PolicyScanTarget mainExecutableURL]
00000001a24118b0 (__TEXT,__text) non-external -[PolicyScanTarget modTime]
00000001a2411918 (__TEXT,__text) non-external -[PolicyScanTarget mountTime]
00000001a2411898 (__TEXT,__text) non-external -[PolicyScanTarget objectID]
00000001a2411878 (__TEXT,__text) non-external -[PolicyScanTarget originalURL]
00000001a2411888 (__TEXT,__text) non-external -[PolicyScanTarget pathOnVolume]
00000001a2411908 (__TEXT,__text) non-external -[PolicyScanTarget pid]
00000001a2411788 (__TEXT,__text) non-external -[PolicyScanTarget redactedDescription]
00000001a24118c0 (__TEXT,__text) non-external -[PolicyScanTarget setCheckValidity:]
00000001a2411900 (__TEXT,__text) non-external -[PolicyScanTarget setIsBundled:]
00000001a24118f0 (__TEXT,__text) non-external -[PolicyScanTarget setIsScript:]
00000001a2411910 (__TEXT,__text) non-external -[PolicyScanTarget setPid:]
00000001a24118d8 (__TEXT,__text) non-external -[PolicyScanTarget setTriggeredByLibraryLoad:]
00000001a24115a0 (__TEXT,__text) non-external -[PolicyScanTarget signingID]
00000001a241123c (__TEXT,__text) non-external -[PolicyScanTarget signingInfo]
00000001a2411194 (__TEXT,__text) non-external -[PolicyScanTarget staticCodeRef]
00000001a2411504 (__TEXT,__text) non-external -[PolicyScanTarget teamID]
00000001a24118d0 (__TEXT,__text) non-external -[PolicyScanTarget triggeredByLibraryLoad]
00000001a2411870 (__TEXT,__text) non-external -[PolicyScanTarget url]
00000001a24118a8 (__TEXT,__text) non-external -[PolicyScanTarget volumePath]
00000001a2411880 (__TEXT,__text) non-external -[PolicyScanTarget volumeUUID]
00000001a2413830 (__TEXT,__text) non-external -[SPDeveloperPolicy .cxx_destruct]
00000001a24137bc (__TEXT,__text) non-external -[SPDeveloperPolicy createLocalDevelopmentCertificateForUser:error:]
00000001a2413684 (__TEXT,__text) non-external -[SPDeveloperPolicy dealloc]
00000001a24135d0 (__TEXT,__text) non-external -[SPDeveloperPolicy init]
00000001a24136d0 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperModeEnabled]
00000001a24137a4 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperToolEnvironmentWithError:]
00000001a2413820 (__TEXT,__text) non-external -[SPDeveloperPolicy registerDevelopmentTeamWithIdentifier:error:]
00000001a2413818 (__TEXT,__text) non-external -[SPDeveloperPolicy removeLocalDevelopmentCertificateForUser:error:]
00000001a24136ec (__TEXT,__text) non-external -[SPDeveloperPolicy setDeveloperModeEnabled:error:]
00000001a2413828 (__TEXT,__text) non-external -[SPDeveloperPolicy unregisterDevelopmentTeamWithIdentifier:error:]
00000001a2409144 (__TEXT,__text) non-external -[SPExecutionHistoryItem .cxx_destruct]
00000001a2409124 (__TEXT,__text) non-external -[SPExecutionHistoryItem cdHash]
00000001a2409134 (__TEXT,__text) non-external -[SPExecutionHistoryItem developerName]
00000001a2408f3c (__TEXT,__text) non-external -[SPExecutionHistoryItem encodeWithCoder:]
00000001a2409104 (__TEXT,__text) non-external -[SPExecutionHistoryItem execPath]
00000001a2408d28 (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithCoder:]
00000001a2408a14 (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00000001a24089f8 (__TEXT,__text) non-external -[SPExecutionHistoryItem init]
00000001a240913c (__TEXT,__text) non-external -[SPExecutionHistoryItem lastSeen]
00000001a240910c (__TEXT,__text) non-external -[SPExecutionHistoryItem mmapPath]
00000001a240912c (__TEXT,__text) non-external -[SPExecutionHistoryItem responsiblePath]
00000001a2409114 (__TEXT,__text) non-external -[SPExecutionHistoryItem signingID]
00000001a240911c (__TEXT,__text) non-external -[SPExecutionHistoryItem teamID]
00000001a240b500 (__TEXT,__text) non-external -[SPExecutionPolicy .cxx_destruct]
00000001a240b134 (__TEXT,__text) non-external -[SPExecutionPolicy addBlockedSoftwareOverride:error:]
00000001a240b044 (__TEXT,__text) non-external -[SPExecutionPolicy addGatekeeperUserIntent:error:]
00000001a240afd8 (__TEXT,__text) non-external -[SPExecutionPolicy blockedExecutionPolicyItems]
00000001a240ace4 (__TEXT,__text) non-external -[SPExecutionPolicy connection]
00000001a240aa34 (__TEXT,__text) non-external -[SPExecutionPolicy dealloc]
00000001a240abe8 (__TEXT,__text) non-external -[SPExecutionPolicy doGatekeeperProgressUpdate:withTotal:]
00000001a240b320 (__TEXT,__text) non-external -[SPExecutionPolicy getBlockedSoftwareOverride:error:]
00000001a240a9b4 (__TEXT,__text) non-external -[SPExecutionPolicy init]
00000001a240b410 (__TEXT,__text) non-external -[SPExecutionPolicy isBlockedSoftware:error:]
00000001a240af6c (__TEXT,__text) non-external -[SPExecutionPolicy legacyExecutionHistory]
00000001a240aa88 (__TEXT,__text) non-external -[SPExecutionPolicy myProgressHandler]
00000001a240aa80 (__TEXT,__text) non-external -[SPExecutionPolicy progressBlock]
00000001a240b224 (__TEXT,__text) non-external -[SPExecutionPolicy setBlockedSoftwareOverride:isEnabled:error:]
00000001a240aab4 (__TEXT,__text) non-external -[SPExecutionPolicy setProgressHandler:]
00000001a2408140 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) notifyInstalledContent:withInstallationType:error:]
00000001a24079f8 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:]
00000001a2414dd8 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.1
00000001a2414e10 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.2
00000001a2414e98 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.3
00000001a2414f34 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.4
00000001a2414f9c (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.5
00000001a2415024 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.6
00000001a241505c (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.7
00000001a24150f4 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.8
00000001a2408234 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperScan:withScanOptions:withProgressHandler:error:]
00000001a240781c (__TEXT,__text) non-external -[SPExecutionPolicyItem .cxx_destruct]
00000001a2407814 (__TEXT,__text) non-external -[SPExecutionPolicyItem blockedReasonDescription]
00000001a24077f4 (__TEXT,__text) non-external -[SPExecutionPolicyItem cdHash]
00000001a24075e0 (__TEXT,__text) non-external -[SPExecutionPolicyItem encodeWithCoder:]
00000001a24073b0 (__TEXT,__text) non-external -[SPExecutionPolicyItem initWithCoder:]
00000001a2407250 (__TEXT,__text) non-external -[SPExecutionPolicyItem initWithItemPath:signingID:teamID:cdHash:needsApproval:needsOverride:knownMalware:blockedReasonDescription:]
00000001a2407234 (__TEXT,__text) non-external -[SPExecutionPolicyItem init]
00000001a24077dc (__TEXT,__text) non-external -[SPExecutionPolicyItem itemPath]
00000001a240780c (__TEXT,__text) non-external -[SPExecutionPolicyItem knownMalware]
00000001a24077fc (__TEXT,__text) non-external -[SPExecutionPolicyItem needsApproval]
00000001a2407804 (__TEXT,__text) non-external -[SPExecutionPolicyItem needsOverride]
00000001a24077e4 (__TEXT,__text) non-external -[SPExecutionPolicyItem signingID]
00000001a24077ec (__TEXT,__text) non-external -[SPExecutionPolicyItem teamID]
00000001a24107a4 (__TEXT,__text) non-external -[SPInstallationPolicy .cxx_destruct]
00000001a24104a4 (__TEXT,__text) non-external -[SPInstallationPolicy canInstallPackage:withUserConsent:withHash:evaluateOnly:synchronousPrompt:error:]
00000001a2410458 (__TEXT,__text) non-external -[SPInstallationPolicy dealloc]
00000001a2410334 (__TEXT,__text) non-external -[SPInstallationPolicy init]
00000001a2410604 (__TEXT,__text) non-external -[SPInstallationPolicy trustPackagePayload:withDestinationTarget:withHashMap:withUserConsent:error:]
00000001a24105f0 (__TEXT,__text) non-external -[SPInstallationPolicy trustPackagePayload:withDestinationTarget:withUserConsent:error:]
00000001a240936c (__TEXT,__text) non-external -[SPKernelExtensionHistory .cxx_destruct]
00000001a2409304 (__TEXT,__text) non-external -[SPKernelExtensionHistory dealloc]
00000001a24091d0 (__TEXT,__text) non-external -[SPKernelExtensionHistory init]
00000001a2409350 (__TEXT,__text) non-external -[SPKernelExtensionHistory kernelExtensionHistory]
00000001a240d2d4 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem .cxx_destruct]
00000001a240d294 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem bundleID]
00000001a240d2a4 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem cdHash]
00000001a240d0e4 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem encodeWithCoder:]
00000001a240cf1c (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem initWithCoder:]
00000001a240cd9c (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem initWithPath:teamID:bundleID:cdHash:isNotarized:isDeprecated:isUnsupported:isCodeless:lastUsed:]
00000001a240cd80 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem init]
00000001a240d2c4 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isCodeless]
00000001a240d2b4 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isDeprecated]
00000001a240d2ac (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isNotarized]
00000001a240d2bc (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isUnsupported]
00000001a240d2cc (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem lastUsed]
00000001a240d28c (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem path]
00000001a240d29c (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem teamID]
00000001a240a4ec (__TEXT,__text) non-external -[SPKernelExtensionPolicy .cxx_destruct]
00000001a2409e70 (__TEXT,__text) non-external -[SPKernelExtensionPolicy areKernelExtensionsApproved:withError:]
00000001a2409880 (__TEXT,__text) non-external -[SPKernelExtensionPolicy canLoadKernelExtension:error:]
00000001a2409958 (__TEXT,__text) non-external -[SPKernelExtensionPolicy canLoadKernelExtensionInCache:error:]
00000001a2409830 (__TEXT,__text) non-external -[SPKernelExtensionPolicy clearConnection]
00000001a2409828 (__TEXT,__text) non-external -[SPKernelExtensionPolicy connection]
00000001a2409e38 (__TEXT,__text) non-external -[SPKernelExtensionPolicy currentPolicy]
00000001a240a4e4 (__TEXT,__text) non-external -[SPKernelExtensionPolicy currentUAKL]
00000001a24097dc (__TEXT,__text) non-external -[SPKernelExtensionPolicy dealloc]
00000001a240a2dc (__TEXT,__text) non-external -[SPKernelExtensionPolicy getCurrentUAKLHash:withError:]
00000001a24094a8 (__TEXT,__text) non-external -[SPKernelExtensionPolicy init]
00000001a2409b08 (__TEXT,__text) non-external -[SPKernelExtensionPolicy isKernelExtensionApprovedByUser:withBundleID:error:]
00000001a240a110 (__TEXT,__text) non-external -[SPKernelExtensionPolicy notifyLoadedKernelExtension:withPath:]
00000001a240a204 (__TEXT,__text) non-external -[SPKernelExtensionPolicy notifyUnsupportedKernelExtension:error:]
00000001a2409e54 (__TEXT,__text) non-external -[SPKernelExtensionPolicy pendingApprovals]
00000001a2409f5c (__TEXT,__text) non-external -[SPKernelExtensionPolicy requestKernelExtensionApprovals:withError:]
00000001a240a4c8 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresAdministratorToApproveUpdates]
00000001a240a4ac (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresAuthenticationOnUpdates]
00000001a240a490 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresRebootForInstallation]
00000001a240a474 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresSecurityDowngrade]
00000001a2409a30 (__TEXT,__text) non-external -[SPKernelExtensionPolicy teamIdentifierIsAllowed:error:]
00000001a240a034 (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerKernelCollectionRebuildFlow:withKernelExtensions:withError:]
00000001a240a45c (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerPanicMedicWithError:]
00000001a240a444 (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerRecoveryJumpToSecurityStartupUtilityWithError:]
00000001a240a36c (__TEXT,__text) non-external -[SPKernelExtensionPolicy updateLastUsedTimes:withError:]
00000001a2409d5c (__TEXT,__text) non-external -[SPKernelExtensionPolicy updatePolicyItems:error:]
00000001a2409c50 (__TEXT,__text) non-external -[SPKernelExtensionPolicy updatePolicyItems:withExternalContext:error:]
00000001a240cc90 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) enableKernelExtensionManagementForMDM:error:]
00000001a240c824 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) installMDMPayload:withTeams:withExtensions:withContext:error:]
00000001a240ca48 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) removeMDMPayload:withContext:error:]
00000001a240c754 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) setApprovalRequiresAdministrator:error:]
00000001a240c684 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) setUserApprovalAllowed:error:]
00000001a240cb6c (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) triggerKernelCollectionRebuildForMDM:withContext:error:]
00000001a24013ec (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem .cxx_destruct]
00000001a24013a4 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem applicationName]
00000001a24013ac (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem applicationPath]
00000001a24013c4 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem bundleIDs]
00000001a24013a0 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem description]
00000001a24013b4 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem developerName]
00000001a2401254 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem encodeWithCoder:]
00000001a2400dc8 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithApplication:path:developerName:teamID:bundleIDs:allowed:rebootRequired:isPendingUpgrade:]
00000001a240104c (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithCoder:]
00000001a2400f20 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithDeveloper:teamID:bundleIDs:allowed:rebootRequired:isPendingUpgrade:]
00000001a2400dac (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem init]
00000001a24013cc (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isAllowed]
00000001a2401038 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isModified]
00000001a24013e4 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isPendingUpgrade]
00000001a24013dc (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isRebootRequired]
00000001a2401350 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem redactedDescription]
00000001a24013d4 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem setAllowed:]
