00007ffd41bc5710 (__DATA,__bss) non-external __ZL12reportShadow
00007ffd059beebb (__TEXT,__text) non-external __ZN2vm6createIN5trace5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEEJEEEPT_DpOT0_.cold.2
00007ffd059be5d0 (__TEXT,__text) non-external (was a private external) __ZN4asan10initShadowEv
00007ffd059bf20d (__TEXT,__text) non-external __ZN4asan10initShadowEv.cold.1
00007ffd059bf236 (__TEXT,__text) non-external __ZN4asan10initShadowEv.cold.2
00007ffd059bdd5b (__TEXT,__text) non-external (was a private external) __ZN4asan11initRuntimeEP6ShadowPNS_15GlobalsRegistryE
00007ffd059bdd18 (__TEXT,__text) non-external (was a private external) __ZN4asan11initRuntimeERKN6config4ASanE
00007ffd059bf122 (__TEXT,__text) non-external __ZN4asan11initRuntimeERKN6config4ASanE.cold.1
00007ffd059bde67 (__TEXT,__text) non-external (was a private external) __ZN4asan11reportErrorENS_9RegistersENS_12MemoryAccessE
00007ffd059bd700 (__TEXT,__text) non-external (was a private external) __ZN4asan14initGlobalVarsEP6ShadowPNS_15GlobalsRegistryE
00007ffd059bba60 (__TEXT,__text) non-external (was a private external) __ZN4asan15ReportGenerator12createReportENS_9RegistersENS_12MemoryAccessE
00007ffd059bed89 (__TEXT,__text) non-external __ZN4asan15ReportGenerator12createReportENS_9RegistersENS_12MemoryAccessE.cold.1
00007ffd059bbdfa (__TEXT,__text) non-external (was a private external) __ZN4asan15ReportGenerator16fillStackVarInfoERNS_6ReportE
00007ffd059bee0f (__TEXT,__text) non-external __ZN4asan15ReportGenerator16fillStackVarInfoERNS_6ReportE.cold.1
00007ffd059bee30 (__TEXT,__text) non-external __ZN4asan15ReportGenerator16fillStackVarInfoERNS_6ReportE.cold.2
00007ffd059bbc8e (__TEXT,__text) non-external (was a private external) __ZN4asan15ReportGenerator19addUseAfterFreeInfoERNS_6ReportE
00007ffd059bedcd (__TEXT,__text) non-external __ZN4asan15ReportGenerator19addUseAfterFreeInfoERNS_6ReportE.cold.1
00007ffd059bbbdc (__TEXT,__text) non-external (was a private external) __ZN4asan15ReportGenerator25addHeapBufferOverflowInfoERNS_6ReportE
00007ffd059bedaa (__TEXT,__text) non-external __ZN4asan15ReportGenerator25addHeapBufferOverflowInfoERNS_6ReportE.cold.1
00007ffd059bbdc2 (__TEXT,__text) non-external (was a private external) __ZN4asan15ReportGenerator26addStackBufferOverflowInfoERNS_6ReportE
00007ffd059bbd40 (__TEXT,__text) non-external (was a private external) __ZN4asan15ReportGenerator27addGlobalBufferOverflowInfoERNS_6ReportE
00007ffd059bedee (__TEXT,__text) non-external __ZN4asan15ReportGenerator27addGlobalBufferOverflowInfoERNS_6ReportE.cold.1
00007ffd059bbdde (__TEXT,__text) non-external (was a private external) __ZN4asan15ReportGenerator27addStackBufferUnderflowInfoERNS_6ReportE
00007ffd059bbea0 (__TEXT,__text) non-external (was a private external) __ZN4asan15ReportGenerator8StackVar11getStackVarEPKcm
00007ffd059bee51 (__TEXT,__text) non-external __ZN4asan15ReportGenerator8StackVar11getStackVarEPKcm.cold.1
00007ffd059bbf44 (__TEXT,__text) non-external (was a private external) __ZN4asan15ReportGenerator8StackVar5parseERPKc
00007ffd059bd9b3 (__TEXT,__text) non-external (was a private external) __ZN4asan15initCompilerABIEP6Shadow
00007ffd059bdd9e (__TEXT,__text) non-external (was a private external) __ZN4asan18initLibmallocHooksEP6Shadow
00007ffd059bd720 (__TEXT,__text) non-external (was a private external) __ZN4asan19GlobalsRegistryImpl15registerSectionE10array_viewIKNS_9GlobalVarEE
00007ffd059bf099 (__TEXT,__text) non-external __ZN4asan19GlobalsRegistryImpl15registerSectionE10array_viewIKNS_9GlobalVarEE.cold.1
00007ffd059bd7a1 (__TEXT,__text) non-external (was a private external) __ZN4asan19initGlobalsRegistryEv
00007ffd059bddb6 (__TEXT,__text) non-external (was a private external) __ZN4asan20initReportGenerationEPK6ShadowPKNS_15GlobalsRegistryE
00007ffd059be3d0 (__TEXT,__text) non-external (was a private external) __ZN4asan28callDebuggerBreakpointSymbolERKNS_6ReportE
00007ffd41bc56e8 (__DATA,__bss) non-external __ZN4asanL7_shadowE
00007ffd41bc56f0 (__DATA,__bss) non-external __ZN4asanL8_globalsE
00007ffd059bc4be (__TEXT,__text) non-external (was a private external) __ZN4hash7Murmur212hashPointersE10array_viewImE
00007ffd059bc674 (__TEXT,__text) non-external __ZN5debugL5printEPKcz
00007ffd059bd8d6 (__TEXT,__text) non-external __ZN5debugL5printEPKcz
00007ffd059be2f4 (__TEXT,__text) non-external __ZN5debugL5printEPKcz
00007ffd059becac (__TEXT,__text) non-external __ZN5debugL5printEPKcz
00007ffd059bc540 (__TEXT,__text) non-external (was a private external) __ZN5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEE15addDeallocTraceEmNS_2IdE
00007ffd059bef67 (__TEXT,__text) non-external __ZN5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEE15addDeallocTraceEmNS_2IdE.cold.1
00007ffd059bc32c (__TEXT,__text) non-external (was a private external) __ZN5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEE6insertEmmNS_2IdE
00007ffd059bef23 (__TEXT,__text) non-external __ZN5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEE6insertEmmNS_2IdE.cold.1
00007ffd059bbfea (__TEXT,__text) non-external (was a private external) __ZN5trace19initTraceCollectionEb
00007ffd059bee74 (__TEXT,__text) non-external __ZN5trace19initTraceCollectionEb.cold.1
00007ffd059bc41a (__TEXT,__text) non-external (was a private external) __ZN5trace5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEE11insertTraceEPmm
00007ffd059bef44 (__TEXT,__text) non-external __ZN5trace5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEE11insertTraceEPmm.cold.1
00007ffd059bc30a (__TEXT,__text) non-external (was a private external) __ZN5trace6Lookup6createERA24_h
00007ffd059bd0fe (__TEXT,__text) non-external (was a private external) __ZN6config3env6Parser10consumeEnvEPPKc
00007ffd059bd2a6 (__TEXT,__text) non-external (was a private external) __ZN6config3env6Parser13removeEnvVarsEv
00007ffd059bd68a (__TEXT,__text) non-external (was a private external) __ZN6config3env6Parser8unsetEnvILm18EEEvPPKcRAT__S3_
00007ffd059bd59e (__TEXT,__text) non-external (was a private external) __ZN6config3env6Parser8unsetEnvILm19EEEvPPKcRAT__S3_
00007ffd059bd614 (__TEXT,__text) non-external (was a private external) __ZN6config3env6Parser8unsetEnvILm27EEEvPPKcRAT__S3_
00007ffd059bd528 (__TEXT,__text) non-external (was a private external) __ZN6config3env6Parser8unsetEnvILm30EEEvPPKcRAT__S3_
00007ffd059bd4b2 (__TEXT,__text) non-external (was a private external) __ZN6config3env6Parser8unsetEnvILm34EEEvPPKcRAT__S3_
00007ffd059bc752 (__TEXT,__text) non-external __ZN9libmalloc12MallocLoggerIXadL_ZL7onAllocmmjEEXadL_ZL9onDeallocmjEEE10loggerFuncEjmmmmj
00007ffd059bef88 (__TEXT,__text) non-external __ZN9libmalloc12MallocLoggerIXadL_ZL7onAllocmmjEEXadL_ZL9onDeallocmjEEE10loggerFuncEjmmmmj.cold.1
00007ffd059befab (__TEXT,__text) non-external __ZN9libmalloc12MallocLoggerIXadL_ZL7onAllocmmjEEXadL_ZL9onDeallocmjEEE10loggerFuncEjmmmmj.cold.2
00007ffd059befce (__TEXT,__text) non-external __ZN9libmalloc12MallocLoggerIXadL_ZL7onAllocmmjEEXadL_ZL9onDeallocmjEEE10loggerFuncEjmmmmj.cold.3
00007ffd059beff1 (__TEXT,__text) non-external __ZN9libmalloc12MallocLoggerIXadL_ZL7onAllocmmjEEXadL_ZL9onDeallocmjEEE10loggerFuncEjmmmmj.cold.4
00007ffd41bc56e0 (__DATA,__bss) non-external __ZN9libmalloc12MallocLoggerIXadL_ZL7onAllocmmjEEXadL_ZL9onDeallocmjEEE14previousLoggerE
00007ffd059be974 (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow14addressIsInMemEm
00007ffd059be9ae (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow14getShadowStartEv
00007ffd059be9b8 (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow14getShadowValueEmm
00007ffd059bf278 (__TEXT,__text) non-external __ZNK10ASanShadow14getShadowValueEmm.cold.1
00007ffd059bf29b (__TEXT,__text) non-external __ZNK10ASanShadow14getShadowValueEmm.cold.2
00007ffd059bea1a (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow16getAllocationEndEN4asan12MemoryAccessE
00007ffd059bf2be (__TEXT,__text) non-external __ZNK10ASanShadow16getAllocationEndEN4asan12MemoryAccessE.cold.1
00007ffd059bf2e1 (__TEXT,__text) non-external __ZNK10ASanShadow16getAllocationEndEN4asan12MemoryAccessE.cold.2
00007ffd059be7d0 (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow16regionIsPoisonedEmm
00007ffd059be95e (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow16shadowForAddressEm
00007ffd059be990 (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow17addressIsInShadowEm
00007ffd059be7a8 (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow17addressIsPoisonedEm
00007ffd059beb28 (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow17getAllocationInfoEN4asan12MemoryAccessE
00007ffd059bf304 (__TEXT,__text) non-external __ZNK10ASanShadow17getAllocationInfoEN4asan12MemoryAccessE.cold.1
00007ffd059be92c (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow23getShadowByteForAddressEPv
00007ffd059bd74c (__TEXT,__text) non-external (was a private external) __ZNK4asan19GlobalsRegistryImpl12getGlobalVarEm
00007ffd059bcac2 (__TEXT,__text) non-external (was a private external) __ZNK5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEE3getEm
00007ffd059bf035 (__TEXT,__text) non-external __ZNK5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEE3getEm.cold.1
00007ffd059bcce2 (__TEXT,__text) non-external (was a private external) __ZNK5trace5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEE12forEachFrameIZNKS3_13retrieveTraceENS_2IdERA64_mEUlmmE_EEvNS3_5EntryET_
00007ffd059bcc26 (__TEXT,__text) non-external (was a private external) __ZNK5trace5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEE13retrieveTraceENS_2IdERA64_m
00007ffd059bcd5a (__TEXT,__text) non-external (was a private external) __ZNK5trace9ExtractorINS_5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEENS_13AllocationMapILm1048576EXadL_ZNS3_11hashPointerEmEEEEE13diagnoseFaultEm
00007ffd059bcbc0 (__TEXT,__text) non-external (was a private external) __ZNK5trace9ExtractorINS_5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEENS_13AllocationMapILm1048576EXadL_ZNS3_11hashPointerEmEEEEE14retrieveTracesERK14AllocationInfoR24sanitizers_stack_trace_tSC_
00007ffd059bf056 (__TEXT,__text) non-external __ZNK5trace9ExtractorINS_5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEENS_13AllocationMapILm1048576EXadL_ZNS3_11hashPointerEmEEEEE14retrieveTracesERK14AllocationInfoR24sanitizers_stack_trace_tSC_.cold.1
00007ffd059bca5a (__TEXT,__text) non-external (was a private external) __ZNK5trace9ExtractorINS_5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEENS_13AllocationMapILm1048576EXadL_ZNS3_11hashPointerEmEEEEE14retrieveTracesEmR24sanitizers_stack_trace_tS9_
00007ffd059bc246 (__TEXT,__text) non-external (was a private external) __ZNK5trace9ExtractorINS_5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEENS_13AllocationMapILm1048576EXadL_ZNS3_11hashPointerEmEEEEE19diagnoseMemoryErrorEmR25sanitizers_memory_error_t
00007ffd059bd300 (__TEXT,__text) non-external (was a private external) __ZNK6config3env6Parser10getSettingINS0_16AllocationTracesELm4EEET_PKcS4_RAT0__KNS1_7SettingIS4_EE
00007ffd059bd36e (__TEXT,__text) non-external (was a private external) __ZNK6config3env6Parser10getSettingINS0_7AddressELm2EEET_PKcS4_RAT0__KNS1_7SettingIS4_EE
00007ffd059bd3dc (__TEXT,__text) non-external (was a private external) __ZNK6config3env6Parser10getSettingIbLm3EEET_PKcS3_RAT0__KNS1_7SettingIS3_EE
00007ffd059bd13c (__TEXT,__text) non-external (was a private external) __ZNK6config3env6Parser9getConfigEv
00007ffd059bd44e (__TEXT,__text) non-external (was a private external) __ZNK6config3env6Parser9getNumberIlXadL_Z6strtolEEEET_PKcS3_
00007ffd059bd004 (__TEXT,__text) non-external (was a private external) __ZNK9BlockInfo11absDistanceEm
00007ffd059bd03a (__TEXT,__text) non-external (was a private external) __ZNK9BlockInfo12endInclusiveEv
00007ffd059bf077 (__TEXT,__text) non-external __ZNK9BlockInfo12endInclusiveEv.cold.1
00007ffd404cd380 (__DATA_CONST,__const) non-external (was a private external) __ZTV10ASanShadow
00007ffd404cd360 (__DATA_CONST,__const) non-external (was a private external) __ZTVN4asan19GlobalsRegistryImplE
00007ffd404cd2b8 (__DATA_CONST,__const) non-external (was a private external) __ZTVN5trace9ExtractorINS_5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEENS_13AllocationMapILm1048576EXadL_ZNS3_11hashPointerEmEEEEEE
00007ffd41bc56b0 (__DATA,__data) non-external __ZZL21unsetIntegrationHooksvE5funcs
00007ffd059be2e8 (__TEXT,__text) non-external __ZZL21unsetIntegrationHooksvEN3$_08__invokeEmmmm
00007ffd059be2ee (__TEXT,__text) non-external __ZZL21unsetIntegrationHooksvEN3$_18__invokeEmm
00007ffd059bd848 (__TEXT,__text) non-external __ZZN4asan14initGlobalVarsEP6ShadowPNS_15GlobalsRegistryEEN3$_08__invokeEPK11mach_headerl
00007ffd059bf101 (__TEXT,__text) non-external __ZZN4asan14initGlobalVarsEP6ShadowPNS_15GlobalsRegistryEEN3$_08__invokeEPK11mach_headerl.cold.1
00007ffd41bc5698 (__DATA,__data) non-external __ZZN4asan18initLibmallocHooksEP6ShadowE5funcs
00007ffd059bddca (__TEXT,__text) non-external __ZZN4asan18initLibmallocHooksEP6ShadowEN3$_08__invokeEmmmm
00007ffd059bf143 (__TEXT,__text) non-external __ZZN4asan18initLibmallocHooksEP6ShadowEN3$_08__invokeEmmmm.cold.1
00007ffd059bde38 (__TEXT,__text) non-external __ZZN4asan18initLibmallocHooksEP6ShadowEN3$_18__invokeEmm
00007ffd059bdc5b (__TEXT,__text) external ___asan_abi_addr_is_in_fake_stack
00007ffd059bdb96 (__TEXT,__text) external ___asan_abi_address_is_poisoned
00007ffd059bd9ea (__TEXT,__text) external ___asan_abi_after_dynamic_init
00007ffd059bdc63 (__TEXT,__text) external ___asan_abi_alloca_poison
00007ffd059bdc69 (__TEXT,__text) external ___asan_abi_allocas_unpoison
00007ffd059bd9e4 (__TEXT,__text) external ___asan_abi_before_dynamic_init
00007ffd059bdad3 (__TEXT,__text) external ___asan_abi_exp_load_n
00007ffd059bdb74 (__TEXT,__text) external ___asan_abi_exp_store_n
00007ffd059bdc53 (__TEXT,__text) external ___asan_abi_get_current_fake_stack
00007ffd059bda14 (__TEXT,__text) external ___asan_abi_handle_no_return
00007ffd059bda0e (__TEXT,__text) external ___asan_abi_init
00007ffd059bdc4b (__TEXT,__text) external ___asan_abi_load_cxx_array_cookie
00007ffd059bda32 (__TEXT,__text) external ___asan_abi_load_n
00007ffd059bd9f0 (__TEXT,__text) external ___asan_abi_memcpy
00007ffd059bd9fa (__TEXT,__text) external ___asan_abi_memmove
00007ffd059bda04 (__TEXT,__text) external ___asan_abi_memset
00007ffd059bdc45 (__TEXT,__text) external ___asan_abi_poison_cxx_array_cookie
00007ffd059bdc39 (__TEXT,__text) external ___asan_abi_poison_intra_object_redzone
00007ffd059bdbb8 (__TEXT,__text) external ___asan_abi_poison_memory_region
00007ffd059bdc2d (__TEXT,__text) external ___asan_abi_poison_stack_memory
00007ffd059bdab1 (__TEXT,__text) external ___asan_abi_region_is_poisoned
00007ffd059bd9cc (__TEXT,__text) external ___asan_abi_register_elf_globals
00007ffd059bd9d8 (__TEXT,__text) external ___asan_abi_register_globals
00007ffd059bd9c0 (__TEXT,__text) external ___asan_abi_register_image_globals
00007ffd059bda26 (__TEXT,__text) external ___asan_abi_report_exp_load_n
00007ffd059bda2c (__TEXT,__text) external ___asan_abi_report_exp_store_n
00007ffd059bda1a (__TEXT,__text) external ___asan_abi_report_load_n
00007ffd059bda20 (__TEXT,__text) external ___asan_abi_report_store_n
00007ffd059bdc06 (__TEXT,__text) external ___asan_abi_set_shadow_xx_n
00007ffd059bdce5 (__TEXT,__text) external ___asan_abi_stack_free_n
00007ffd059bdcaa (__TEXT,__text) external ___asan_abi_stack_malloc_always_n
00007ffd059bdc6f (__TEXT,__text) external ___asan_abi_stack_malloc_n
00007ffd059bdaf5 (__TEXT,__text) external ___asan_abi_store_n
00007ffd059bdc3f (__TEXT,__text) external ___asan_abi_unpoison_intra_object_redzone
00007ffd059bdbe4 (__TEXT,__text) external ___asan_abi_unpoison_memory_region
00007ffd059bdc33 (__TEXT,__text) external ___asan_abi_unpoison_stack_memory
00007ffd059bd9d2 (__TEXT,__text) external ___asan_abi_unregister_elf_globals
00007ffd059bd9de (__TEXT,__text) external ___asan_abi_unregister_globals
00007ffd059bd9c6 (__TEXT,__text) external ___asan_abi_unregister_image_globals
00007ffd059be52a (__TEXT,__text) external ___asan_get_alloc_stack
00007ffd059bf1cb (__TEXT,__text) non-external ___asan_get_alloc_stack.cold.1
00007ffd059be579 (__TEXT,__text) external ___asan_get_free_stack
00007ffd059bf1ec (__TEXT,__text) non-external ___asan_get_free_stack.cold.1
00007ffd059be45e (__TEXT,__text) external ___asan_get_report_access_size
00007ffd059be451 (__TEXT,__text) external ___asan_get_report_access_type
00007ffd059be444 (__TEXT,__text) external ___asan_get_report_address
00007ffd059be42a (__TEXT,__text) external ___asan_get_report_bp
00007ffd059be46b (__TEXT,__text) external ___asan_get_report_description
00007ffd059be41d (__TEXT,__text) external ___asan_get_report_pc
00007ffd059be437 (__TEXT,__text) external ___asan_get_report_sp
00007ffd059be510 (__TEXT,__text) external ___asan_get_shadow_mapping
00007ffd059be478 (__TEXT,__text) external ___asan_locate_address
00007ffd059bf168 (__TEXT,__text) non-external ___asan_locate_address.cold.1
00007ffd059bf189 (__TEXT,__text) non-external ___asan_locate_address.cold.2
00007ffd059bf1aa (__TEXT,__text) non-external ___asan_locate_address.cold.3
00007ffd059be40a (__TEXT,__text) external ___asan_report_present
                 (undefined) external ___assert_rtn (from libsystem_c)
                 (undefined) external ___bzero (from libsystem_platform)
00007ffd059be5c8 (__TEXT,__text) non-external (was a private external) ___cxa_pure_virtual
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
                 (undefined) external ___stderrp (from libsystem_c)
                 (undefined) external __dyld_register_func_for_add_image (from libdyld)
                 (undefined) external __exit (from libsystem_kernel)
00007ffd059bd060 (__TEXT,__text) external __sanitizers_init
                 (undefined) external __simple_getenv (from libsystem_platform)
                 (undefined) external _abort (from libsystem_c)
                 (undefined) external _backtrace_from_fp (from libsystem_c)
                 (undefined) external _dladdr (from libdyld)
                 (undefined) external _fputs (from libsystem_c)
                 (undefined) external _free (from libsystem_malloc)
                 (undefined) external _getsectiondata (from libmacho)
00007ffd059bf4b0 (__TEXT,__const) non-external (was a private external) _libsystem_sanitizersVersionNumber
00007ffd059bf470 (__TEXT,__const) non-external (was a private external) _libsystem_sanitizersVersionString
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _malloc_logger (from libsystem_malloc)
                 (undefined) external _malloc_sanitizer_set_functions (from libsystem_malloc)
                 (undefined) external _malloc_size (from libsystem_malloc)
                 (undefined) external _malloc_type_malloc (from libsystem_malloc)
                 (undefined) external _memcmp (from libsystem_c)
                 (undefined) external _memcpy (from libsystem_c)
                 (undefined) external _memmove (from libsystem_c)
                 (undefined) external _memset (from libsystem_c)
00007ffd059be400 (__TEXT,__text) external _sanitizers_address_on_report
00007ffd059bc160 (__TEXT,__text) external _sanitizers_diagnose_memory_error
00007ffd41bc5bf0 (__DATA,__common) external _sanitizers_report_globals
                 (undefined) external _strtol (from libsystem_c)
                 (undefined) external _strtoul (from libsystem_c)
                 (undefined) external _thread_stack_pcs (from libsystem_c)
                 (undefined) external _vm_map (from libsystem_kernel)
                 (undefined) external _vm_page_size (from libsystem_kernel)
                 (undefined) external _vsnprintf (from libsystem_c)
