00000001da232fdc (__TEXT,__text) external _AMFDRDecodeCertificate
00000001da2353fc (__TEXT,__text) non-external _AMFDRDecodeManifestBodyNext.cold.1
00000001da235434 (__TEXT,__text) non-external _AMFDRDecodeManifestBodyNext.cold.2
00000001da234290 (__TEXT,__text) external _AMFDRDecodeMetaProperty
00000001da233f98 (__TEXT,__text) external _AMFDRDecodeMetadata
00000001da233be8 (__TEXT,__text) external _AMFDRDecodeMultiResponse
00000001da233860 (__TEXT,__text) external _AMFDRDecodeMultiSealingResponse
00000001da22f1c8 (__TEXT,__text) external _AMFDRDecodeOfflineBlob
00000001da2337c4 (__TEXT,__text) external _AMFDRDecodeParseDERLengthFromBuffer
00000001da232df0 (__TEXT,__text) external _AMFDRDecodePublicKey
00000001da22ca24 (__TEXT,__text) external _AMFDRDecodeSealingRequest
00000001da22f338 (__TEXT,__text) external _AMFDRDecodeTrustEvaluation
00000001da22c154 (__TEXT,__text) external _AMFDRDecodeTrustObject
00000001da22ea78 (__TEXT,__text) external _AMFDRDecodeVerifyCertIssuer
00000001da22ebc0 (__TEXT,__text) external _AMFDRDecodeVerifyCertIssuerNoRevocation
00000001da22ea84 (__TEXT,__text) non-external _AMFDRDecodeVerifyCertIssuerWithOptions
00000001da2352dc (__TEXT,__text) non-external _AMFDRDecodeVerifyCertIssuerWithOptions.cold.1
00000001da22e2ac (__TEXT,__text) external _AMFDRDecodeVerifyMultiCombinedDataIntegrity
00000001da235288 (__TEXT,__text) non-external _AMFDRDecodeVerifyMultiCombinedDataIntegrity.cold.1
00000001da2352ac (__TEXT,__text) non-external _AMFDRDecodeVerifyMultiCombinedDataIntegrity.cold.2
00000001da22c32c (__TEXT,__text) external _AMFDRDecodeVerifySealingManifest
00000001da234da8 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.1
00000001da234f18 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.10
00000001da234f18 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.11
00000001da234f3c (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.12
00000001da234f6c (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.13
00000001da234f9c (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.14
00000001da234fcc (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.15
00000001da234f18 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.16
00000001da234dd8 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.2
00000001da234e00 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.3
00000001da234e28 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.4
00000001da234e4c (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.5
00000001da234e70 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.6
00000001da234e94 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.7
00000001da234eb8 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.8
00000001da234ee8 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.9
00000001da22c7e4 (__TEXT,__text) external _AMFDRDecodeVerifySealingRequest
00000001da22ce2c (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest
00000001da234ffc (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.1
00000001da23516c (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.10
00000001da23516c (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.11
00000001da235190 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.12
00000001da2351c0 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.13
00000001da2351f0 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.14
00000001da235220 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.15
00000001da23516c (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.16
00000001da23502c (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.2
00000001da235054 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.3
00000001da23507c (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.4
00000001da2350a0 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.5
00000001da2350c4 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.6
00000001da2350e8 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.7
00000001da23510c (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.8
00000001da23513c (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.9
00000001da22a718 (__TEXT,__text) non-external (was a private external) _AMFDRTagsStringToTag
                 (undefined) external _AMSupportDigestSha1 (from libamsupport)
                 (undefined) external _AMSupportDigestSha256 (from libamsupport)
                 (undefined) external _AMSupportDigestSha384 (from libamsupport)
                 (undefined) external _AMSupportEcDsaVerifySignature (from libamsupport)
                 (undefined) external _AMSupportLogFormat (from libamsupport)
                 (undefined) external _AMSupportRsaVerifySignatureSha1 (from libamsupport)
                 (undefined) external _AMSupportRsaVerifySignatureSha256 (from libamsupport)
                 (undefined) external _AMSupportRsaVerifySignatureSha384 (from libamsupport)
00000001da236110 (__TEXT,__const) non-external (was a private external) _DERAlgorithmIdItemSpecs
00000001da236088 (__TEXT,__const) non-external (was a private external) _DERAttributeTypeAndValueItemSpecs
00000001da231918 (__TEXT,__text) non-external (was a private external) _DERDecodeItem
00000001da231920 (__TEXT,__text) non-external (was a private external) _DERDecodeItemPartialBufferGetLength
00000001da231dd0 (__TEXT,__text) non-external (was a private external) _DERDecodeSeqContentInit
00000001da231d14 (__TEXT,__text) non-external (was a private external) _DERDecodeSeqInit
00000001da231dfc (__TEXT,__text) non-external (was a private external) _DERDecodeSeqNext
00000001da2360c0 (__TEXT,__const) non-external (was a private external) _DERExtensionItemSpecs
00000001da235a80 (__TEXT,__const) non-external (was a private external) _DERFDR2DataItemSpecs
00000001da235a38 (__TEXT,__const) non-external (was a private external) _DERFDRCombinedItemSpecs
00000001da235ed0 (__TEXT,__const) non-external (was a private external) _DERFDRImage4CertItemSpecs
00000001da235e70 (__TEXT,__const) non-external (was a private external) _DERFDRImage4CertPropertyItemSpecs
00000001da235ea0 (__TEXT,__const) non-external (was a private external) _DERFDRImage4CertSignedSectionItemSpecs
00000001da235ac8 (__TEXT,__const) non-external (was a private external) _DERFDRItemSpecs
00000001da235cf0 (__TEXT,__const) non-external (was a private external) _DERFDRMetaPropertyItemSpecs
00000001da235c90 (__TEXT,__const) non-external (was a private external) _DERFDRMetadataRecordItemSpecs
00000001da235e10 (__TEXT,__const) non-external (was a private external) _DERFDRMultiCombinedItemSpecs
00000001da235cc0 (__TEXT,__const) non-external (was a private external) _DERFDRMultiResponseErrorItemSpecs
00000001da235b70 (__TEXT,__const) non-external (was a private external) _DERFDRMultiResponseItemSpecs
00000001da235ba0 (__TEXT,__const) non-external (was a private external) _DERFDRMultiResponsePayloadItemSpecs
00000001da235c30 (__TEXT,__const) non-external (was a private external) _DERFDRMultiResponseRecordItemSpecs
00000001da235be8 (__TEXT,__const) non-external (was a private external) _DERFDRMultiSealingResponsePayloadItemSpecs
00000001da235af8 (__TEXT,__const) non-external (was a private external) _DERFDRTrustObjectItemSpecs
                 (undefined) external _DERImg4DecodeContentFindItemWithTag (from libamsupport)
                 (undefined) external _DERImg4DecodeFindProperty (from libamsupport)
                 (undefined) external _DERImg4DecodeFindPropertyInSequence (from libamsupport)
                 (undefined) external _DERImg4DecodeManifest (from libamsupport)
                 (undefined) external _DERImg4DecodeProperty (from libamsupport)
                 (undefined) external _DERImg4DecodePropertyWithItem (from libamsupport)
00000001da236140 (__TEXT,__const) non-external (was a private external) _DERNumAlgorithmIdItemSpecs
00000001da2360b8 (__TEXT,__const) non-external (was a private external) _DERNumAttributeTypeAndValueItemSpecs
00000001da236108 (__TEXT,__const) non-external (was a private external) _DERNumExtensionItemSpecs
00000001da236080 (__TEXT,__const) non-external (was a private external) _DERNumSignedCertCrlItemSpecs
00000001da236178 (__TEXT,__const) non-external (was a private external) _DERNumSubjPubKeyInfoItemSpecs
00000001da23223c (__TEXT,__text) non-external (was a private external) _DEROidCompare
00000001da231b10 (__TEXT,__text) non-external (was a private external) _DERParseBitString
00000001da231bd0 (__TEXT,__text) non-external (was a private external) _DERParseBooleanWithDefault
00000001da231c10 (__TEXT,__text) non-external (was a private external) _DERParseInteger
00000001da231c94 (__TEXT,__text) non-external (was a private external) _DERParseInteger64
00000001da231f88 (__TEXT,__text) non-external (was a private external) _DERParseSequenceContentToObject
00000001da231ebc (__TEXT,__text) non-external (was a private external) _DERParseSequenceToObject
00000001da236038 (__TEXT,__const) non-external (was a private external) _DERSignedCertCrlItemSpecs
00000001da236148 (__TEXT,__const) non-external (was a private external) _DERSubjPubKeyInfoItemSpecs
00000001da235d98 (__TEXT,__const) non-external (was a private external) _DERSysconfigItemSpecs
00000001da235d20 (__TEXT,__const) non-external (was a private external) _DERSysconfigPayloadItemSpecs
00000001da235f30 (__TEXT,__const) non-external (was a private external) _FDRDERTBSCertItemSpecs
                 (undefined) external _Img4DecodeEvaluateDictionaryProperties (from libamsupport)
                 (undefined) external _Img4DecodeEvaluateManifestProperties (from libamsupport)
                 (undefined) external _Img4DecodeEvaluateObjectProperties (from libamsupport)
                 (undefined) external _Img4DecodeGetManifest (from libamsupport)
                 (undefined) external _Img4DecodeGetObjectPropertyData (from libamsupport)
                 (undefined) external _Img4DecodeGetPayload (from libamsupport)
                 (undefined) external _Img4DecodeGetPayloadType (from libamsupport)
                 (undefined) external _Img4DecodeGetPropertyBoolean (from libamsupport)
                 (undefined) external _Img4DecodeGetPropertyData (from libamsupport)
                 (undefined) external _Img4DecodeInit (from libamsupport)
                 (undefined) external _Img4DecodeInitManifest (from libamsupport)
                 (undefined) external _Img4DecodePerformManifestTrustEvaluationWithCallbacks (from libamsupport)
                 (undefined) external _Img4DecodePerformTrustEvaluatation (from libamsupport)
                 (undefined) external _Img4DecodePerformTrustEvaluationWithCallbacks (from libamsupport)
00000001da2313f4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001da231428 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001da2314c8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_10
00000001da2314d8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_11
00000001da2314e8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_12
00000001da231520 (__TEXT,__text) non-external _OUTLINED_FUNCTION_13
00000001da23153c (__TEXT,__text) non-external _OUTLINED_FUNCTION_14
00000001da231588 (__TEXT,__text) non-external _OUTLINED_FUNCTION_15
00000001da231594 (__TEXT,__text) non-external _OUTLINED_FUNCTION_16
00000001da2315a4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_17
00000001da2315b4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_18
00000001da2315c4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_19
00000001da231438 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001da2315d4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_20
00000001da2315e4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_21
00000001da2315f4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_22
00000001da231610 (__TEXT,__text) non-external _OUTLINED_FUNCTION_23
00000001da23161c (__TEXT,__text) non-external _OUTLINED_FUNCTION_24
00000001da231638 (__TEXT,__text) non-external _OUTLINED_FUNCTION_25
00000001da231654 (__TEXT,__text) non-external _OUTLINED_FUNCTION_26
00000001da231664 (__TEXT,__text) non-external _OUTLINED_FUNCTION_27
00000001da231674 (__TEXT,__text) non-external _OUTLINED_FUNCTION_28
00000001da231684 (__TEXT,__text) non-external _OUTLINED_FUNCTION_29
00000001da231448 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001da231694 (__TEXT,__text) non-external _OUTLINED_FUNCTION_30
00000001da2316a4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_31
00000001da2316b4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_32
00000001da2316c4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_33
00000001da2316d4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_34
00000001da2316e4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_35
00000001da2316f0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_36
00000001da231708 (__TEXT,__text) non-external _OUTLINED_FUNCTION_37
00000001da231714 (__TEXT,__text) non-external _OUTLINED_FUNCTION_38
00000001da231730 (__TEXT,__text) non-external _OUTLINED_FUNCTION_39
00000001da231458 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
00000001da231754 (__TEXT,__text) non-external _OUTLINED_FUNCTION_40
00000001da231770 (__TEXT,__text) non-external _OUTLINED_FUNCTION_41
00000001da23178c (__TEXT,__text) non-external _OUTLINED_FUNCTION_42
00000001da2317a8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_43
00000001da2317c4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_44
00000001da2317e8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_45
00000001da2317f4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_46
00000001da231800 (__TEXT,__text) non-external _OUTLINED_FUNCTION_47
00000001da231814 (__TEXT,__text) non-external _OUTLINED_FUNCTION_48
00000001da231820 (__TEXT,__text) non-external _OUTLINED_FUNCTION_49
00000001da231468 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
00000001da231834 (__TEXT,__text) non-external _OUTLINED_FUNCTION_50
00000001da231848 (__TEXT,__text) non-external _OUTLINED_FUNCTION_51
00000001da231854 (__TEXT,__text) non-external _OUTLINED_FUNCTION_52
00000001da231860 (__TEXT,__text) non-external _OUTLINED_FUNCTION_53
00000001da23186c (__TEXT,__text) non-external _OUTLINED_FUNCTION_54
00000001da231878 (__TEXT,__text) non-external _OUTLINED_FUNCTION_55
00000001da231898 (__TEXT,__text) non-external _OUTLINED_FUNCTION_56
00000001da2318b8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_57
00000001da2318d8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_58
00000001da2318f8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_59
00000001da231478 (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
00000001da231498 (__TEXT,__text) non-external _OUTLINED_FUNCTION_7
00000001da2314a8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_8
00000001da2314b8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_9
00000001da22db24 (__TEXT,__text) non-external __AMFDRDecodeCombined
00000001da232290 (__TEXT,__text) non-external __AMFDRDecodeComputeDigest
00000001da22cd0c (__TEXT,__text) non-external __AMFDRDecodeDERFDRItem
00000001da22b158 (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties
00000001da234acc (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.1
00000001da234c7c (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.10
00000001da234cac (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.11
00000001da234afc (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.2
00000001da234b2c (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.3
00000001da234b5c (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.4
00000001da234b8c (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.5
00000001da234bbc (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.6
00000001da234bec (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.7
00000001da234c1c (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.8
00000001da234c4c (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.9
00000001da22b6dc (__TEXT,__text) non-external __AMFDRDecodeEvaluateTestStationCertificateProperties
00000001da230320 (__TEXT,__text) non-external __AMFDRDecodeFilterDataInstanceCallback
00000001da230c7c (__TEXT,__text) non-external __AMFDRDecodeFindDataFromMultiCombined
00000001da2354cc (__TEXT,__text) non-external __AMFDRDecodeFindDataFromMultiCombined.cold.1
00000001da2354fc (__TEXT,__text) non-external __AMFDRDecodeFindDataFromMultiCombined.cold.2
00000001da23552c (__TEXT,__text) non-external __AMFDRDecodeFindDataFromMultiCombined.cold.3
00000001da235574 (__TEXT,__text) non-external __AMFDRDecodeFindDataFromMultiCombined.cold.4
00000001da2355a4 (__TEXT,__text) non-external __AMFDRDecodeFindDataFromMultiCombined.cold.5
00000001da22f88c (__TEXT,__text) non-external __AMFDRDecodeGetDataInstCallback
00000001da22bf04 (__TEXT,__text) non-external __AMFDRDecodeGetExpectedManifestHash
00000001da22df44 (__TEXT,__text) non-external __AMFDRDecodeGetPayloadSeqAndSetManifestFromMultiCombinedData
00000001da235250 (__TEXT,__text) non-external __AMFDRDecodeGetPayloadSeqAndSetManifestFromMultiCombinedData.cold.1
00000001da2304b8 (__TEXT,__text) non-external __AMFDRDecodeInstPropertyMatchingWithType
00000001da233d0c (__TEXT,__text) non-external __AMFDRDecodeMultiResposeRecords
00000001da233984 (__TEXT,__text) non-external __AMFDRDecodeMultiSealingResposeRecords
00000001da2331dc (__TEXT,__text) non-external __AMFDRDecodeParseExtension
00000001da22bf50 (__TEXT,__text) non-external __AMFDRDecodePropertiesFilterCallback
00000001da234d20 (__TEXT,__text) non-external __AMFDRDecodePropertiesFilterCallback.cold.1
00000001da234d48 (__TEXT,__text) non-external __AMFDRDecodePropertiesFilterCallback.cold.2
00000001da234d70 (__TEXT,__text) non-external __AMFDRDecodePropertiesFilterCallback.cold.3
00000001da232ef4 (__TEXT,__text) non-external __AMFDRDecodePubKey
00000001da23068c (__TEXT,__text) non-external __AMFDRDecodeSearchEntryFromPropertyList
00000001da23545c (__TEXT,__text) non-external __AMFDRDecodeSearchEntryFromPropertyList.cold.1
00000001da235494 (__TEXT,__text) non-external __AMFDRDecodeSearchEntryFromPropertyList.cold.2
00000001da2311a8 (__TEXT,__text) non-external __AMFDRDecodeSequenceString
00000001da235664 (__TEXT,__text) non-external __AMFDRDecodeSequenceString.cold.1
00000001da23569c (__TEXT,__text) non-external __AMFDRDecodeSequenceString.cold.2
00000001da22e5a0 (__TEXT,__text) non-external __AMFDRDecodeTolerateErrorsForOptions
00000001da22ebcc (__TEXT,__text) non-external __AMFDRDecodeVerifyCertIssuerInternal
00000001da22a730 (__TEXT,__text) non-external __AMFDRDecodeVerifyChain
00000001da2349ec (__TEXT,__text) non-external __AMFDRDecodeVerifyChain.cold.1
00000001da22b4f0 (__TEXT,__text) non-external __AMFDRDecodeVerifyChainOffline
00000001da2307b4 (__TEXT,__text) non-external __AMFDRDecodeVerifyData
00000001da22b6e4 (__TEXT,__text) non-external __AMFDRDecodeVerifyDataCallback
00000001da234cdc (__TEXT,__text) non-external __AMFDRDecodeVerifyDataCallback.cold.1
00000001da22fc60 (__TEXT,__text) non-external __AMFDRDecodeVerifySealingManifestCallback
00000001da22ffc0 (__TEXT,__text) non-external __AMFDRDecodeVerifySealingRequestCallback
00000001da22ae08 (__TEXT,__text) non-external __AMFDRDecodeVerifySignature
00000001da234a3c (__TEXT,__text) non-external __AMFDRDecodeVerifySignature.cold.1
00000001da234a6c (__TEXT,__text) non-external __AMFDRDecodeVerifySignature.cold.2
00000001da234a9c (__TEXT,__text) non-external __AMFDRDecodeVerifySignature.cold.3
00000001da230ea4 (__TEXT,__text) non-external __AMFDRDecodeVerifySignatureDataWithOid
00000001da2355d4 (__TEXT,__text) non-external __AMFDRDecodeVerifySignatureDataWithOid.cold.1
00000001da235604 (__TEXT,__text) non-external __AMFDRDecodeVerifySignatureDataWithOid.cold.2
00000001da2355d4 (__TEXT,__text) non-external __AMFDRDecodeVerifySignatureDataWithOid.cold.3
00000001da235634 (__TEXT,__text) non-external __AMFDRDecodeVerifySignatureDataWithOid.cold.4
00000001da22fab4 (__TEXT,__text) non-external __AMFDRDecodeVerifyTrustObject
00000001e81f82c0 (__DATA_CONST,__const) non-external ____oidAppleFDRClientID
00000001e81f82d0 (__DATA_CONST,__const) non-external ____oidAppleSecureBootCertificateProperties
00000001da236020 (__TEXT,__const) non-external ___oidAppleFDRClientID
00000001da236029 (__TEXT,__const) non-external ___oidAppleSecureBootCertificateProperties
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00000001ed827db0 (__DATA_DIRTY,__bss) non-external __logHandler
00000001da2361da (__TEXT,__const) non-external __oidAnsip224r1
00000001da2361df (__TEXT,__const) non-external __oidAnsip384r1
00000001da2361d2 (__TEXT,__const) non-external __oidEcPrime256v1
00000001da2361a4 (__TEXT,__const) non-external __oidEcPubKey
00000001da236180 (__TEXT,__const) non-external __oidRsa
00000001da2361bb (__TEXT,__const) non-external __oidSha1
00000001da236189 (__TEXT,__const) non-external __oidSha1Rsa
00000001da2361c0 (__TEXT,__const) non-external __oidSha256
00000001da2361ab (__TEXT,__const) non-external __oidSha256Ecdsa
00000001da236192 (__TEXT,__const) non-external __oidSha256Rsa
00000001da2361c9 (__TEXT,__const) non-external __oidSha384
00000001da2361b3 (__TEXT,__const) non-external __oidSha384Ecdsa
00000001da23619b (__TEXT,__const) non-external __oidSha384Rsa
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _free (from libSystem)
00000001f52a5290 (__AUTH_CONST,__const) non-external (was a private external) _kAMFDRDecodeClientCallback
00000001ec5d4e40 (__DATA,__data) non-external (was a private external) _kAMFDRDecodeEcdsaInfoList
00000001e81f82a0 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDecodeEcdsaInfoP224
00000001e81f8260 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDecodeEcdsaInfoP256
00000001e81f8280 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDecodeEcdsaInfoP384
00000001f52a5220 (__AUTH_CONST,__const) non-external (was a private external) _kAMFDRDecodeImplementationOffline
00000001f52a51b0 (__AUTH_CONST,__const) non-external (was a private external) _kAMFDRDecodeImplementationSha1
00000001f52a51e8 (__AUTH_CONST,__const) non-external (was a private external) _kAMFDRDecodeImplementationSha384
00000001f52a5258 (__AUTH_CONST,__const) non-external (was a private external) _kAMFDRDecodeImplementationTestStationSha1
00000001e81f8230 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDigestInfoSha1
00000001e81f8248 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDigestInfoSha384
00000001da235a24 (__TEXT,__const) non-external (was a private external) _kFDRDecodeMetaPropertyTagStr_minimalManifest
00000001da235960 (__TEXT,__const) non-external (was a private external) _kFDRKnownTag
00000001da23594f (__TEXT,__const) non-external (was a private external) _kFDRTagStr_CRTP
00000001da23594a (__TEXT,__const) non-external (was a private external) _kFDRTagStr_IM4C
