0000000182afabe8 (__DATA,__data) external _NDR_record
00000001809e543c (__TEXT,__text) external ___getwgroups
00000001809e5468 (__TEXT,__text) external ___guarded_open_dprotected_np
00000001809e5494 (__TEXT,__text) external ___guarded_open_np
00000001809e54c0 (__TEXT,__text) external ___identitysvc
00000001809f92cc (__TEXT,__text) external ___inc_remove_counter
00000001809e54ec (__TEXT,__text) external ___initgroups
00000001809e5518 (__TEXT,__text) external ___ioctl
00000001809e5544 (__TEXT,__text) external ___iopolicysys
00000001809e5570 (__TEXT,__text) external ___kdebug_trace
00000001809e559c (__TEXT,__text) external ___kdebug_trace64
00000001809e55c8 (__TEXT,__text) external ___kdebug_trace_string
00000001809e55f4 (__TEXT,__text) external ___kdebug_typefilter
0000000180a16ae8 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
0000000180a16ab0 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
00000001809e5620 (__TEXT,__text) external ___kill
00000001809e564c (__TEXT,__text) external ___kqueue_workloop_ctl
00000001809e5678 (__TEXT,__text) external ___lchown
00000001809e9c74 (__TEXT,__text) external ___libkernel_init
00000001809e9d28 (__TEXT,__text) external ___libkernel_init_after_boot_tasks
00000001809e9d24 (__TEXT,__text) external ___libkernel_init_late
00000001809e9a9c (__TEXT,__text) external ___libkernel_platform_init
00000001809e9ad4 (__TEXT,__text) external ___libkernel_voucher_init
00000001809e56a4 (__TEXT,__text) external ___listen
00000001809e56d0 (__TEXT,__text) external ___log_data
00000001809e56fc (__TEXT,__text) external ___lseek
00000001809e5728 (__TEXT,__text) external ___lstat64_extended
00000001809e5754 (__TEXT,__text) external ___lstat_extended
00000001809e5780 (__TEXT,__text) external ___mac_execve
00000001809e57ac (__TEXT,__text) external ___mac_get_fd
00000001809e57d8 (__TEXT,__text) external ___mac_get_file
00000001809e5804 (__TEXT,__text) external ___mac_get_link
00000001809e5830 (__TEXT,__text) external ___mac_get_mount
00000001809e585c (__TEXT,__text) external ___mac_get_pid
00000001809e5888 (__TEXT,__text) external ___mac_get_proc
00000001809e58b4 (__TEXT,__text) external ___mac_getfsstat
00000001809e58e0 (__TEXT,__text) external ___mac_mount
00000001809e590c (__TEXT,__text) external ___mac_set_fd
00000001809e5938 (__TEXT,__text) external ___mac_set_file
00000001809e5964 (__TEXT,__text) external ___mac_set_link
00000001809e5990 (__TEXT,__text) external ___mac_set_proc
00000001809e59bc (__TEXT,__text) external ___mac_syscall
00000001809e59e8 (__TEXT,__text) external ___mach_bridge_remote_time
00000001809e5a14 (__TEXT,__text) external ___mach_eventlink_signal
00000001809e5a40 (__TEXT,__text) external ___mach_eventlink_signal_wait_until
00000001809e5a6c (__TEXT,__text) external ___mach_eventlink_wait_until
00000001809e5a98 (__TEXT,__text) external ___map_with_linking_np
00000001809e5ac4 (__TEXT,__text) external ___memorystatus_available_memory
00000001809e5af0 (__TEXT,__text) external ___microstackshot
00000001809e5b1c (__TEXT,__text) external ___mkdir_extended
00000001809e5b48 (__TEXT,__text) external ___mkfifo_extended
00000001809e5b74 (__TEXT,__text) external ___mmap
00000001809e5ba0 (__TEXT,__text) external ___mprotect
00000001809e5bcc (__TEXT,__text) external ___msgctl
00000001809e5bf8 (__TEXT,__text) external ___msgrcv_nocancel
00000001809e5c24 (__TEXT,__text) external ___msgsnd_nocancel
00000001809e5c50 (__TEXT,__text) external ___msgsys
00000001809e5c7c (__TEXT,__text) external ___msync
00000001809e5ca8 (__TEXT,__text) external ___msync_nocancel
00000001809e5cd4 (__TEXT,__text) external ___munmap
00000001809e5d00 (__TEXT,__text) external ___nexus_create
00000001809e5d2c (__TEXT,__text) external ___nexus_deregister
00000001809e5d58 (__TEXT,__text) external ___nexus_destroy
00000001809e5d84 (__TEXT,__text) external ___nexus_get_opt
00000001809e5db0 (__TEXT,__text) external ___nexus_open
00000001809e5ddc (__TEXT,__text) external ___nexus_register
00000001809e5e08 (__TEXT,__text) external ___nexus_set_opt
00000001809e5e34 (__TEXT,__text) external ___open
00000001809e5e60 (__TEXT,__text) external ___open_dprotected_np
00000001809e5e8c (__TEXT,__text) external ___open_extended
00000001809e5eb8 (__TEXT,__text) external ___open_nocancel
00000001809e5ee4 (__TEXT,__text) external ___openat
00000001809e5f10 (__TEXT,__text) external ___openat_dprotected_np
00000001809e5f3c (__TEXT,__text) external ___openat_nocancel
0000000182afb308 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
00000001809f8798 (__TEXT,__text) external ___os_nexus_flow_add
00000001809f8824 (__TEXT,__text) external ___os_nexus_flow_del
00000001809f8980 (__TEXT,__text) external ___os_nexus_get_llink_info
00000001809f85a4 (__TEXT,__text) external ___os_nexus_ifattach
00000001809f86d0 (__TEXT,__text) external ___os_nexus_ifdetach
00000001809e5f68 (__TEXT,__text) external ___persona
00000001809e5f94 (__TEXT,__text) external ___pipe
00000001809e5fcc (__TEXT,__text) external ___poll_nocancel
00000001809e5ff8 (__TEXT,__text) external ___posix_spawn
00000001809e6024 (__TEXT,__text) external ___pread_nocancel
00000001809e6050 (__TEXT,__text) external ___preadv_nocancel
00000001809e607c (__TEXT,__text) external ___proc_info
00000001809e60a8 (__TEXT,__text) external ___proc_info_extended_id
00000001809e60d4 (__TEXT,__text) external ___process_policy
00000001809e6100 (__TEXT,__text) external ___pselect
00000001809e612c (__TEXT,__text) external ___pselect_nocancel
00000001809e6158 (__TEXT,__text) external ___psynch_cvbroad
00000001809e6184 (__TEXT,__text) external ___psynch_cvclrprepost
00000001809e61b0 (__TEXT,__text) external ___psynch_cvsignal
00000001809e61dc (__TEXT,__text) external ___psynch_cvwait
00000001809e6208 (__TEXT,__text) external ___psynch_mutexdrop
00000001809e6234 (__TEXT,__text) external ___psynch_mutexwait
00000001809e6260 (__TEXT,__text) external ___psynch_rw_downgrade
00000001809e628c (__TEXT,__text) external ___psynch_rw_longrdlock
00000001809e62b8 (__TEXT,__text) external ___psynch_rw_rdlock
00000001809e62e4 (__TEXT,__text) external ___psynch_rw_unlock
00000001809e6310 (__TEXT,__text) external ___psynch_rw_unlock2
00000001809e633c (__TEXT,__text) external ___psynch_rw_upgrade
00000001809e6368 (__TEXT,__text) external ___psynch_rw_wrlock
00000001809e6394 (__TEXT,__text) external ___psynch_rw_yieldwrlock
00000001809e63c0 (__TEXT,__text) external ___pthread_canceled
00000001809e63ec (__TEXT,__text) external ___pthread_chdir
00000001809e6418 (__TEXT,__text) external ___pthread_fchdir
00000001809e6444 (__TEXT,__text) external ___pthread_kill
00000001809e6470 (__TEXT,__text) external ___pthread_markcancel
00000001809e649c (__TEXT,__text) external ___pthread_sigmask
00000001809e64c8 (__TEXT,__text) external ___ptrace
00000001809e6500 (__TEXT,__text) external ___pwrite_nocancel
00000001809e652c (__TEXT,__text) external ___pwritev_nocancel
00000001809e6558 (__TEXT,__text) external ___read_nocancel
00000001809e6584 (__TEXT,__text) external ___readv_nocancel
00000001809e65b0 (__TEXT,__text) external ___reboot
00000001809e65dc (__TEXT,__text) external ___record_system_event
00000001809e6608 (__TEXT,__text) external ___recvfrom
00000001809e6634 (__TEXT,__text) external ___recvfrom_nocancel
00000001809e6660 (__TEXT,__text) external ___recvmsg
00000001809e668c (__TEXT,__text) external ___recvmsg_nocancel
0000000182afb328 (__DATA,__bss) non-external ___remove_counter
00000001809e66b8 (__TEXT,__text) external ___rename
00000001809e66e4 (__TEXT,__text) external ___renameat
00000001809e6710 (__TEXT,__text) external ___renameatx_np
00000001809e673c (__TEXT,__text) external ___rmdir
00000001809e5780 (__TEXT,__text) external ___sandbox_me
00000001809e58e0 (__TEXT,__text) external ___sandbox_mm
00000001809e59bc (__TEXT,__text) external ___sandbox_ms
00000001809e5990 (__TEXT,__text) external ___sandbox_msp
00000001809e6768 (__TEXT,__text) external ___select
00000001809e6794 (__TEXT,__text) external ___select_nocancel
00000001809e67c0 (__TEXT,__text) external ___sem_open
00000001809e67ec (__TEXT,__text) external ___sem_wait_nocancel
00000001809e6818 (__TEXT,__text) external ___semctl
00000001809e6844 (__TEXT,__text) external ___semsys
00000001809e6870 (__TEXT,__text) external ___semwait_signal
00000001809e689c (__TEXT,__text) external ___semwait_signal_nocancel
00000001809e68c8 (__TEXT,__text) external ___sendmsg
00000001809e68f4 (__TEXT,__text) external ___sendmsg_nocancel
00000001809e6920 (__TEXT,__text) external ___sendto
00000001809e694c (__TEXT,__text) external ___sendto_nocancel
00000001809e6978 (__TEXT,__text) external ___setattrlist
00000001809e69a4 (__TEXT,__text) external ___setlogin
00000001809e69d0 (__TEXT,__text) external ___setpriority
00000001809e69fc (__TEXT,__text) external ___setregid
00000001809e6a28 (__TEXT,__text) external ___setreuid
00000001809e6a54 (__TEXT,__text) external ___setrlimit
00000001809e6a80 (__TEXT,__text) external ___setsgroups
00000001809e6aac (__TEXT,__text) external ___settid
00000001809e6ad8 (__TEXT,__text) external ___settid_with_pid
00000001809e6b04 (__TEXT,__text) external ___settimeofday
00000001809e6b30 (__TEXT,__text) external ___setwgroups
00000001809e6b5c (__TEXT,__text) external ___sfi_ctl
00000001809e6b88 (__TEXT,__text) external ___sfi_pidctl
00000001809e6bb4 (__TEXT,__text) external ___shared_region_check_np
00000001809e6be0 (__TEXT,__text) external ___shared_region_map_and_slide_2_np
00000001809e6c0c (__TEXT,__text) external ___shm_open
00000001809e6c38 (__TEXT,__text) external ___shmctl
00000001809e6c64 (__TEXT,__text) external ___shmsys
00000001809e6c90 (__TEXT,__text) external ___sigaction
00000001809e6cbc (__TEXT,__text) external ___sigaltstack
00000001809e6ce8 (__TEXT,__text) external ___sigreturn
00000001809e6d14 (__TEXT,__text) external ___sigsuspend
00000001809e6d40 (__TEXT,__text) external ___sigsuspend_nocancel
00000001809e6d6c (__TEXT,__text) external ___sigwait
00000001809e6d98 (__TEXT,__text) external ___socketpair
00000001809e6dc4 (__TEXT,__text) external ___stack_snapshot_with_config
00000001809e6df0 (__TEXT,__text) external ___stat64_extended
00000001809e6e1c (__TEXT,__text) external ___stat_extended
00000001809e6e48 (__TEXT,__text) external ___syscall
0000000182afb2c8 (__DATA,__common) external ___syscall_logger
00000001809e6e84 (__TEXT,__text) external ___sysctl
00000001809e6eb0 (__TEXT,__text) external ___sysctlbyname
00000001809e6edc (__TEXT,__text) external ___telemetry
00000001809e6f08 (__TEXT,__text) external ___terminate_with_payload
00000001809e6f34 (__TEXT,__text) external ___thread_selfid
00000001809e6f60 (__TEXT,__text) external ___thread_selfusage
00000001809e6f8c (__TEXT,__text) external ___ulock_wait
00000001809e6fb8 (__TEXT,__text) external ___ulock_wait2
00000001809e6fe4 (__TEXT,__text) external ___ulock_wake
00000001809e7010 (__TEXT,__text) external ___umask_extended
00000001809e703c (__TEXT,__text) external ___unlink
00000001809e7068 (__TEXT,__text) external ___unlinkat
00000001809e7094 (__TEXT,__text) external ___vfork
00000001809e7104 (__TEXT,__text) external ___wait4
00000001809e7130 (__TEXT,__text) external ___wait4_nocancel
00000001809e715c (__TEXT,__text) external ___waitid_nocancel
00000001809e7188 (__TEXT,__text) external ___work_interval_ctl
00000001809e71b4 (__TEXT,__text) external ___workq_kernreturn
00000001809e71e0 (__TEXT,__text) external ___workq_open
00000001809e720c (__TEXT,__text) external ___write_nocancel
00000001809e7238 (__TEXT,__text) external ___writev_nocancel
0000000182afac80 (__DATA,__common) external __cpu_capabilities
0000000182afac84 (__DATA,__common) external __cpu_has_altivec
0000000182afaa18 (__DATA,__data) external __current_pid
0000000182afb2e0 (__DATA,__bss) non-external __dlsym
00000001809e4714 (__TEXT,__text) external __exclaves_ctl_trap
00000001809e502c (__TEXT,__text) external __exit
00000001809e49d0 (__TEXT,__text) external __get_cpu_capabilities
0000000182afb300 (__DATA,__bss) non-external __gethostuuid_callback
00000001809efc88 (__TEXT,__text) external __getprivatesystemidentifier
00000001809ff63c (__TEXT,__text) external __host_page_size
00000001809f9440 (__TEXT,__text) external __init_cpu_capabilities
0000000180a00f1c (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
0000000180a0244c (__TEXT,__text) external __kernelrpc_mach_port_allocate
0000000180a03a6c (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
0000000180a0232c (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
0000000180a038f8 (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
00000001809e4504 (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
0000000180a058a8 (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
0000000180a04968 (__TEXT,__text) external __kernelrpc_mach_port_construct
00000001809e4558 (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
0000000180a026c4 (__TEXT,__text) external __kernelrpc_mach_port_deallocate
00000001809e4510 (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
0000000180a025a4 (__TEXT,__text) external __kernelrpc_mach_port_destroy
0000000180a04adc (__TEXT,__text) external __kernelrpc_mach_port_destruct
00000001809e4564 (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
0000000180a04070 (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
0000000180a04460 (__TEXT,__text) external __kernelrpc_mach_port_extract_member
00000001809e454c (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
0000000180a03300 (__TEXT,__text) external __kernelrpc_mach_port_extract_right
0000000180a0359c (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
00000001809e460c (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
0000000180a04580 (__TEXT,__text) external __kernelrpc_mach_port_get_context
0000000180a027e4 (__TEXT,__text) external __kernelrpc_mach_port_get_refs
0000000180a056cc (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
0000000180a02d90 (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
0000000180a03d18 (__TEXT,__text) external __kernelrpc_mach_port_get_srights
0000000180a04bfc (__TEXT,__text) external __kernelrpc_mach_port_guard
00000001809e4618 (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
0000000180a050ec (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
0000000180a04340 (__TEXT,__text) external __kernelrpc_mach_port_insert_member
00000001809e4540 (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
0000000180a031d0 (__TEXT,__text) external __kernelrpc_mach_port_insert_right
00000001809e4534 (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
0000000180a05574 (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
0000000180a041d8 (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
0000000180a047f8 (__TEXT,__text) external __kernelrpc_mach_port_kobject
0000000180a05334 (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
0000000180a02938 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
00000001809e451c (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
0000000180a02f28 (__TEXT,__text) external __kernelrpc_mach_port_move_member
00000001809e4528 (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
0000000180a01ef0 (__TEXT,__text) external __kernelrpc_mach_port_names
0000000180a02a58 (__TEXT,__text) external __kernelrpc_mach_port_peek
0000000180a0220c (__TEXT,__text) external __kernelrpc_mach_port_rename
0000000180a03048 (__TEXT,__text) external __kernelrpc_mach_port_request_notification
00000001809e4708 (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
0000000180a0378c (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
0000000180a046d8 (__TEXT,__text) external __kernelrpc_mach_port_set_context
0000000180a02c70 (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
0000000180a0347c (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
0000000180a04e40 (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
0000000180a03e70 (__TEXT,__text) external __kernelrpc_mach_port_space_info
0000000180a04f94 (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
0000000180a05210 (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
0000000180a020b4 (__TEXT,__text) external __kernelrpc_mach_port_type
00000001809e46fc (__TEXT,__text) external __kernelrpc_mach_port_type_trap
0000000180a04d20 (__TEXT,__text) external __kernelrpc_mach_port_unguard
00000001809e4624 (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
0000000180a0f044 (__TEXT,__text) external __kernelrpc_mach_task_is_self
0000000180a05a14 (__TEXT,__text) external __kernelrpc_mach_vm_allocate
00000001809e44bc (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
0000000180a05b70 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
00000001809e44d4 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
0000000180a067e4 (__TEXT,__text) external __kernelrpc_mach_vm_map
00000001809e44f8 (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
0000000180a05c90 (__TEXT,__text) external __kernelrpc_mach_vm_protect
00000001809e44ec (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
0000000180a073c0 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
00000001809e44c8 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
0000000180a05ed8 (__TEXT,__text) external __kernelrpc_mach_vm_read
0000000180a06ad4 (__TEXT,__text) external __kernelrpc_mach_vm_remap
0000000180a07860 (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
0000000180a155f8 (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
0000000180a03bf8 (__TEXT,__text) external __kernelrpc_task_set_port_space
0000000180a118c4 (__TEXT,__text) external __kernelrpc_thread_policy
0000000180a11a38 (__TEXT,__text) external __kernelrpc_thread_policy_set
0000000180a12380 (__TEXT,__text) external __kernelrpc_thread_set_policy
0000000180a138b8 (__TEXT,__text) external __kernelrpc_vm_map
0000000180a14494 (__TEXT,__text) external __kernelrpc_vm_purgable_control
0000000180a12fac (__TEXT,__text) external __kernelrpc_vm_read
0000000180a13ba8 (__TEXT,__text) external __kernelrpc_vm_remap
0000000180a145ec (__TEXT,__text) external __kernelrpc_vm_remap_new
00000001809e9d8c (__TEXT,__text) non-external __libkernel_bzero
0000000182afb2d8 (__DATA,__bss) non-external __libkernel_functions
0000000182b72ce8 (__AUTH_CONST,__const) non-external __libkernel_generic_string_functions
00000001809e9e20 (__TEXT,__text) non-external __libkernel_memmove
00000001809e9d98 (__TEXT,__text) non-external __libkernel_memset
00000001809e9d2c (__TEXT,__text) non-external __libkernel_strchr
00000001809e9d64 (__TEXT,__text) non-external __libkernel_strcmp
00000001809e9f38 (__TEXT,__text) non-external __libkernel_strcpy
0000000182afaa20 (__DATA,__data) non-external __libkernel_string_functions
00000001809e9f80 (__TEXT,__text) non-external __libkernel_strlcpy
00000001809e9b5c (__TEXT,__text) non-external __libkernel_strlen
0000000182afaa28 (__DATA,__data) non-external __libkernel_voucher_functions
0000000180a16a80 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
00000001809eb670 (__TEXT,__text) non-external __mach_continuous_time
0000000180ad2c90 (__DATA_CONST,__const) external __mach_errors
00000001809ec19c (__TEXT,__text) external __mach_fork_child
00000001809edae0 (__TEXT,__text) external __mach_snprintf
00000001809ed96c (__TEXT,__text) external __mach_vsnprintf
0000000182afac88 (__DATA,__common) external __os_alloc_once_table
00000001809f14e8 (__TEXT,__text) non-external __posix_spawn_file_actions_grow
00000001809f210c (__TEXT,__text) non-external __posix_spawnattr_get_posix_creds_info
00000001809efc8c (__TEXT,__text) external __register_gethostuuid_callback
0000000182afb2ec (__DATA,__bss) non-external __task_reply_port
00000001809e9808 (__TEXT,__text) external __thread_set_tsd_base
0000000180a15f58 (__TEXT,__text) non-external _abort
0000000180a15f7c (__TEXT,__text) non-external _abort.380
0000000180a15fa0 (__TEXT,__text) non-external _abort.382
0000000180a15fc4 (__TEXT,__text) non-external _abort.393
0000000180a16094 (__TEXT,__text) external _abort_with_payload
0000000180a16008 (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
0000000180a15fe8 (__TEXT,__text) external _abort_with_reason
00000001809e4b04 (__TEXT,__text) external _accept
00000001809e4b30 (__TEXT,__text) external _accept$NOCANCEL
00000001809e7264 (__TEXT,__text) external _access
00000001809e4b5c (__TEXT,__text) external _accessx_np
00000001809e7290 (__TEXT,__text) external _acct
0000000180a0ff80 (__TEXT,__text) external _act_get_state
0000000180a101cc (__TEXT,__text) external _act_set_state
00000001809e72bc (__TEXT,__text) external _adjtime
00000001809e72e8 (__TEXT,__text) external _aio_cancel
00000001809e7314 (__TEXT,__text) external _aio_error
00000001809e7340 (__TEXT,__text) external _aio_fsync
00000001809e736c (__TEXT,__text) external _aio_read
00000001809e7398 (__TEXT,__text) external _aio_return
00000001809e73c4 (__TEXT,__text) external _aio_suspend
00000001809e4b88 (__TEXT,__text) external _aio_suspend$NOCANCEL
00000001809e73f0 (__TEXT,__text) external _aio_write
00000001809e741c (__TEXT,__text) external _audit
00000001809e7448 (__TEXT,__text) external _audit_session_join
00000001809e7474 (__TEXT,__text) external _audit_session_port
00000001809e74a0 (__TEXT,__text) external _audit_session_self
00000001809e74cc (__TEXT,__text) external _auditctl
00000001809e74f8 (__TEXT,__text) external _auditon
00000001809e4bb4 (__TEXT,__text) external _bind
0000000182afac3c (__DATA,__common) external _bootstrap_port
00000001809e9aac (__TEXT,__text) non-external _bzero
00000001809eddac (__TEXT,__text) external _cerror
00000001809edd88 (__TEXT,__text) external _cerror_nocancel
00000001809e7524 (__TEXT,__text) external _change_fdguard_np
00000001809e7550 (__TEXT,__text) external _chdir
00000001809e757c (__TEXT,__text) external _chflags
00000001809f059c (__TEXT,__text) external _chmod
00000001809e75a8 (__TEXT,__text) external _chown
00000001809e75d4 (__TEXT,__text) external _chroot
00000001809fbf10 (__TEXT,__text) external _clock_alarm
00000001809fbb90 (__TEXT,__text) external _clock_alarm_reply
00000001809fbd44 (__TEXT,__text) external _clock_get_attributes
00000001809fbbf8 (__TEXT,__text) external _clock_get_time
00000001809fba38 (__TEXT,__text) external _clock_set_attributes
00000001809fb91c (__TEXT,__text) external _clock_set_time
00000001809eb7f8 (__TEXT,__text) external _clock_sleep
00000001809e46d8 (__TEXT,__text) external _clock_sleep_trap
00000001809eb64c (__TEXT,__text) external _clonefile
00000001809e7600 (__TEXT,__text) external _clonefileat
00000001809e762c (__TEXT,__text) external _close
00000001809e4dc4 (__TEXT,__text) external _close$NOCANCEL
00000001809f6a04 (__TEXT,__text) external _coalition_create
00000001809f6aac (__TEXT,__text) external _coalition_info_debug_info
00000001809f6a74 (__TEXT,__text) external _coalition_info_resource_usage
00000001809f6b1c (__TEXT,__text) external _coalition_info_set_efficiency
00000001809f6ae4 (__TEXT,__text) external _coalition_info_set_name
00000001809f6b58 (__TEXT,__text) external _coalition_ledger_set_logical_writes_limit
00000001809f6a44 (__TEXT,__text) external _coalition_reap
00000001809f6a14 (__TEXT,__text) external _coalition_terminate
00000001809e4e74 (__TEXT,__text) external _connect
00000001809e4ea0 (__TEXT,__text) external _connect$NOCANCEL
00000001809e7658 (__TEXT,__text) external _connectx
00000001809e7684 (__TEXT,__text) external _csops
00000001809e76b0 (__TEXT,__text) external _csops_audittoken
00000001809f6c3c (__TEXT,__text) external _csr_check
00000001809f6c6c (__TEXT,__text) external _csr_get_active_config
00000001809e4774 (__TEXT,__text) external _debug_control_port_for_pid
00000001809f6e64 (__TEXT,__text) external _debug_syscall_reject
00000001809f6d54 (__TEXT,__text) external _debug_syscall_reject_config
0000000182afabe0 (__DATA,__data) external _denap_boost_assertion_token
00000001809e76dc (__TEXT,__text) external _disconnectx
00000001809ebdcc (__TEXT,__text) non-external _do_compat
00000001809e7708 (__TEXT,__text) external _dup
00000001809e7734 (__TEXT,__text) external _dup2
0000000180ad2690 (__DATA_CONST,__const) non-external _err_codes_auth
0000000180ad2520 (__DATA_CONST,__const) non-external _err_codes_env_mgr
0000000180ad2888 (__DATA_CONST,__const) non-external _err_codes_exception
