00000001804842bc (__TEXT,__text) external _OSAtomicAdd32
0000000180483108 (__TEXT,__text) non-external __simple_asl_connect_once
0000000180482dd0 (__TEXT,__text) non-external __simple_asl_escape_key
0000000180482e44 (__TEXT,__text) non-external __simple_asl_escape_val
0000000180485728 (__TEXT,__text) external __simple_asl_get_fd
0000000180483bb4 (__TEXT,__text) non-external (was a private external) __simple_asl_init
0000000180483d94 (__TEXT,__text) non-external __simple_asl_init_context
0000000180482b4c (__TEXT,__text) external __simple_asl_log
0000000180482bd0 (__TEXT,__text) external __simple_asl_log_prog
0000000180482c10 (__TEXT,__text) external __simple_asl_msg_new
0000000180482c5c (__TEXT,__text) external __simple_asl_msg_set
0000000180482f40 (__TEXT,__text) external __simple_asl_send
0000000180485920 (__TEXT,__text) external __simple_dprintf
0000000180484eb4 (__TEXT,__text) external __simple_esappend
0000000180482da0 (__TEXT,__text) external __simple_esprintf
00000001804839cc (__TEXT,__text) external __simple_getenv
0000000180485a8c (__TEXT,__text) external __simple_put
0000000180485a94 (__TEXT,__text) external __simple_putline
00000001804823a0 (__TEXT,__text) external __simple_salloc
0000000180482ea4 (__TEXT,__text) external __simple_sappend
00000001804827c0 (__TEXT,__text) external __simple_sfree
000000018048244c (__TEXT,__text) external __simple_sprintf
0000000180482f0c (__TEXT,__text) external __simple_sresize
00000001804827b0 (__TEXT,__text) external __simple_string
00000001804857c0 (__TEXT,__text) external __simple_vdprintf
0000000180484634 (__TEXT,__text) external __simple_vesprintf
0000000180482424 (__TEXT,__text) external __simple_vsprintf
0000000180484118 (__TEXT,__text) external __spin_lock
0000000180486174 (__TEXT,__text) external __spin_lock_try
0000000180484134 (__TEXT,__text) external __spin_unlock
                 (undefined) external _close (from libsystem_kernel)
00000001e5575868 (__DATA_DIRTY,__common) non-external (was a private external) _commpage_pfz_base
                 (undefined) external _connect (from libsystem_kernel)
0000000180486080 (__TEXT,__text) non-external _cpus_that_need_dsb_for_ic_ivau
0000000180482854 (__TEXT,__text) non-external _dec
                 (undefined) external _fcntl (from libsystem_kernel)
0000000180481688 (__TEXT,__text) external _ffs
00000001804816a0 (__TEXT,__text) external _ffsl
00000001804816a0 (__TEXT,__text) external _ffsll
00000001804816b8 (__TEXT,__text) external _fls
00000001804816c8 (__TEXT,__text) external _flsl
00000001804816c8 (__TEXT,__text) external _flsll
00000001e34551f0 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
0000000180486f00 (__TEXT,__text) external _getcontext
                 (undefined) external _getgid (from libsystem_kernel)
                 (undefined) external _getpid (from libsystem_kernel)
                 (undefined) external _getrlimit (from libsystem_kernel)
                 (undefined) external _getuid (from libsystem_kernel)
0000000180482484 (__TEXT,__text) non-external _hex
00000001804822cc (__TEXT,__text) external _longjmp
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_continuous_time (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _mach_timebase_info (from libsystem_kernel)
                 (undefined) external _mach_vm_deallocate (from libsystem_kernel)
                 (undefined) external _mach_vm_map (from libsystem_kernel)
0000000180486c14 (__TEXT,__text) external _makecontext
00000001804867e4 (__TEXT,__text) non-external (was a private external) _memset
0000000180485adc (__TEXT,__text) non-external _oct
000000018048419c (__TEXT,__text) external _os_lock_lock
00000001804844fc (__TEXT,__text) external _os_lock_trylock
00000001804841cc (__TEXT,__text) external _os_lock_unlock
0000000180485014 (__TEXT,__text) external _os_log_simple_now
0000000180485018 (__TEXT,__text) external _os_log_simple_type_from_asl
0000000180487610 (__TEXT,__const) non-external _os_log_simple_type_from_asl._level2ostype
00000001804865d4 (__TEXT,__text) external _os_sync_wait_on_address
000000018048643c (__TEXT,__text) external _os_sync_wait_on_address_with_deadline
0000000180486534 (__TEXT,__text) external _os_sync_wait_on_address_with_timeout
00000001804866ec (__TEXT,__text) external _os_sync_wake_by_address_all
0000000180486664 (__TEXT,__text) external _os_sync_wake_by_address_any
0000000180481d20 (__TEXT,__text) external _os_unfair_lock_assert_not_owner
000000018048719c (__TEXT,__text) non-external _os_unfair_lock_assert_not_owner.cold.1
0000000180481658 (__TEXT,__text) external _os_unfair_lock_assert_owner
0000000180487174 (__TEXT,__text) non-external _os_unfair_lock_assert_owner.cold.1
0000000180481630 (__TEXT,__text) external _os_unfair_lock_lock
00000001804862c4 (__TEXT,__text) external _os_unfair_lock_lock_no_tsd
00000001804862f8 (__TEXT,__text) external _os_unfair_lock_lock_with_flags
0000000180481320 (__TEXT,__text) external _os_unfair_lock_lock_with_options
00000001804820c8 (__TEXT,__text) external _os_unfair_lock_trylock
00000001804861a8 (__TEXT,__text) external _os_unfair_lock_trylock_with_options
0000000180481344 (__TEXT,__text) external _os_unfair_lock_unlock
00000001804862e4 (__TEXT,__text) external _os_unfair_lock_unlock_no_tsd
0000000180481360 (__TEXT,__text) external _os_unfair_recursive_lock_lock_with_options
000000018048631c (__TEXT,__text) external _os_unfair_recursive_lock_owned
0000000180483354 (__TEXT,__text) external _os_unfair_recursive_lock_trylock
000000018048213c (__TEXT,__text) external _os_unfair_recursive_lock_tryunlock4objc
00000001804813b4 (__TEXT,__text) external _os_unfair_recursive_lock_unlock
0000000180486338 (__TEXT,__text) external _os_unfair_recursive_lock_unlock_forked_child
00000001804871c4 (__TEXT,__text) non-external _os_unfair_recursive_lock_unlock_forked_child.cold.1
0000000180486d38 (__TEXT,__text) non-external (was a private external) _populate_signal_stack_context
                 (undefined) external _proc_pidinfo (from libsystem_kernel)
                 (undefined) external _semaphore_create (from libsystem_kernel)
                 (undefined) external _semaphore_destroy (from libsystem_kernel)
                 (undefined) external _semaphore_signal (from libsystem_kernel)
                 (undefined) external _semaphore_wait (from libsystem_kernel)
0000000180486dd4 (__TEXT,__text) external _setcontext
000000018048228c (__TEXT,__text) external _setjmp
00000001804822c0 (__TEXT,__text) external _siglongjmp
                 (undefined) external _sigprocmask (from libsystem_kernel)
0000000180482280 (__TEXT,__text) external _sigsetjmp
                 (undefined) external _socket (from libsystem_kernel)
0000000180484118 (__TEXT,__text) external _spin_lock
0000000180486174 (__TEXT,__text) external _spin_lock_try
0000000180484134 (__TEXT,__text) external _spin_unlock
0000000180486b58 (__TEXT,__text) external _swapcontext
0000000180485fa0 (__TEXT,__text) external _sys_cache_control
00000001804860a0 (__TEXT,__text) external _sys_dcache_flush
0000000180485fec (__TEXT,__text) external _sys_icache_invalidate
                 (undefined) external _thread_switch (from libsystem_kernel)
0000000180483174 (__TEXT,__text) non-external _udec
                 (undefined) external _vm_allocate (from libsystem_kernel)
                 (undefined) external _vm_deallocate (from libsystem_kernel)
                 (undefined) external _vm_page_size (from libsystem_kernel)
                 (undefined) external _write (from libsystem_kernel)
0000000180485c98 (__TEXT,__text) non-external _ydec
