                 (undefined) external _APP_SANDBOX_READ (from libsystem_sandbox)
00000001d6bdfe58 (__AUTH,__data) external _CMFSSEAM_DEFAULT
00000001dafb29d0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.152
00000001dafb3a60 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.153
00000001dafb3a90 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.157
00000001d3381f18 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.16
00000001dafb33d0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.16.812
00000001dafb3ac0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.160
00000001dafb3af0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.163
00000001dafb3b20 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.166
00000001dafb30a0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.17
00000001dafb3b50 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.172
00000001dafb3b80 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.176
00000001d33819c8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.177
00000001d3381f98 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.177.864
00000001dafb3040 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.18
00000001dafb30d0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.18.615
00000001dafb3bd0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.182
00000001dafb3c00 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.187
00000001dafb3400 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.19
00000001d3381a08 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.2
00000001d3381d18 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.2.332
00000001dafb3c30 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.200
00000001d3381fb8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.201
00000001dafb3c80 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.207
00000001dafb3100 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.21
00000001dafb3220 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.21.630
00000001dafb3430 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.22
00000001dafb2a30 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.24
00000001dafb3460 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.25
00000001dafb2bd0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.255
00000001dafb2a60 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.26
00000001dafb2a90 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.28
00000001dafb3490 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.28.813
00000001d3381df8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.29
00000001d3381a28 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.3
00000001d3381d38 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.3.335
00000001d3381d58 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.3.389
00000001dafb2f50 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.3.564
00000001d3381ef8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.3.640
00000001dafb32b0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.3.774
00000001d3381a68 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.30
00000001dafb2ae0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.31
00000001dafb34c0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.31.817
00000001d3381c58 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.319
00000001d3381cd8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.325
00000001dafb2b10 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.33
00000001d3381e18 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.33.498
00000001dafb34f0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.34
00000001dafb2b40 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.35
00000001dafb2d90 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.379
00000001dafb2b70 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.38
00000001dafb3520 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.38.819
00000001d3381a48 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.4
00000001dafb2cd0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.4.337
00000001dafb3310 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.4.797
00000001dafb3550 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.41
00000001d3381d98 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.422
00000001d3381db8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.431
00000001d3381dd8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.439
00000001dafb3580 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.44
00000001d3381f60 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.5
00000001dafb35b0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.50
00000001d3381e38 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.504
00000001dafb2f20 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.534
00000001dafb35e0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.56
00000001dafb3610 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.59
00000001dafb2f80 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.6
00000001dafb3070 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.603
00000001dafb3640 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.62
00000001d3381ed8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.636
00000001dafb2ba0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.67
00000001dafb3670 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.68
00000001dafb2a00 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.7
00000001dafb2d00 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.7.362
00000001d3381d78 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.7.403
00000001dafb3170 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.7.642
00000001dafb3340 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.7.793
00000001dafb36a0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.72
00000001d3381f38 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.720
00000001dafb3250 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.742
00000001dafb36d0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.75
00000001dafb3280 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.768
00000001dafb3700 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.78
00000001dafb32e0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.789
00000001d3381c78 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.8
00000001dafb2d30 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.8.366
00000001dafb3730 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.81
00000001dafb3760 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.85
00000001dafb3790 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.88
00000001dafb2c30 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.9
00000001dafb2fb0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.9.565
00000001dafb37c0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.92
00000001dafb37f0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.97
00000001dafb2ac0 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001dafb2cb0 (__AUTH_CONST,__const) non-external ___block_literal_global.12
00000001dafb3200 (__AUTH_CONST,__const) non-external ___block_literal_global.18
00000001dafb3c60 (__AUTH_CONST,__const) non-external ___block_literal_global.203
00000001dafb2c90 (__AUTH_CONST,__const) non-external ___block_literal_global.308
00000001dafb2ec0 (__AUTH_CONST,__const) non-external ___block_literal_global.31
00000001dafb2ee0 (__AUTH_CONST,__const) non-external ___block_literal_global.35
00000001dafb2df0 (__AUTH_CONST,__const) non-external ___block_literal_global.387
00000001dafb2e60 (__AUTH_CONST,__const) non-external ___block_literal_global.420
00000001dafb2e80 (__AUTH_CONST,__const) non-external ___block_literal_global.429
00000001dafb2ea0 (__AUTH_CONST,__const) non-external ___block_literal_global.437
00000001dafb3150 (__AUTH_CONST,__const) non-external ___block_literal_global.5
00000001dafb2f00 (__AUTH_CONST,__const) non-external ___block_literal_global.502
00000001dafb3130 (__AUTH_CONST,__const) non-external ___block_literal_global.629
00000001dafb3bb0 (__AUTH_CONST,__const) non-external ___block_literal_global.861
00000001dafb2e10 (__AUTH_CONST,__const) non-external ___block_literal_global.9
000000018a53cf8c (__TEXT,__text) non-external ___container_acquire_sandbox_extension_block_invoke
000000018a5366b4 (__TEXT,__text) non-external ___container_bundle_copy_data_container_block_invoke
000000018a535cd8 (__TEXT,__text) non-external ___container_bundle_copy_data_container_path_block_invoke
000000018a53a9a8 (__TEXT,__text) non-external ___container_copy_code_signing_info_for_identifier_block_invoke
000000018a53cd34 (__TEXT,__text) non-external ___container_copy_from_path_block_invoke
000000018a52ef64 (__TEXT,__text) non-external ___container_copy_info_block_invoke
000000018a539694 (__TEXT,__text) non-external ___container_copy_info_value_for_key_block_invoke
000000018a52f6a8 (__TEXT,__text) non-external ___container_copy_object_block_invoke
000000018a52ec50 (__TEXT,__text) non-external ___container_copy_path_block_invoke
000000018a53c588 (__TEXT,__text) non-external ___container_copy_persona_unique_strings_block_invoke
000000018a52f530 (__TEXT,__text) non-external ___container_copy_sandbox_token_block_invoke
000000018a53d2a0 (__TEXT,__text) non-external ___container_create_or_lookup_app_group_path_by_app_group_identifier_block_invoke
000000018a53dab0 (__TEXT,__text) non-external ___container_create_or_lookup_app_group_path_by_app_group_identifier_block_invoke_2
000000018a5378c8 (__TEXT,__text) non-external ___container_create_or_lookup_app_group_paths_for_current_user_block_invoke
000000018a537a18 (__TEXT,__text) non-external ___container_create_or_lookup_app_group_paths_for_platform_block_invoke
000000018a537cec (__TEXT,__text) non-external ___container_create_or_lookup_app_group_paths_from_entitlements_4ls_block_invoke
000000018a5368ac (__TEXT,__text) non-external ___container_create_or_lookup_for_current_user_block_invoke
000000018a536a34 (__TEXT,__text) non-external ___container_create_or_lookup_for_platform_block_invoke
000000018a53521c (__TEXT,__text) non-external ___container_create_or_lookup_path_block_invoke
000000018a535370 (__TEXT,__text) non-external ___container_create_or_lookup_path_for_current_user_block_invoke
000000018a5354f8 (__TEXT,__text) non-external ___container_create_or_lookup_path_for_platform_block_invoke
000000018a536fec (__TEXT,__text) non-external ___container_create_or_lookup_system_group_paths_block_invoke
000000018a53bc3c (__TEXT,__text) non-external ___container_create_or_lookup_user_managed_assets_path_block_invoke
000000018a53bdd4 (__TEXT,__text) non-external ___container_create_or_lookup_user_managed_assets_relative_path_block_invoke
000000018a53a6ec (__TEXT,__text) non-external ___container_delete_all_container_content_block_invoke
000000018a53a500 (__TEXT,__text) non-external ___container_delete_all_data_container_content_for_current_user_block_invoke
000000018a5391f4 (__TEXT,__text) non-external ___container_delete_array_of_containers_block_invoke
000000018a53906c (__TEXT,__text) non-external ___container_delete_block_invoke
000000018a53bf2c (__TEXT,__text) non-external ___container_delete_user_managed_assets_block_invoke
000000018a538d60 (__TEXT,__text) non-external ___container_delete_with_class_and_identifier_for_current_user_block_invoke
000000018a53a1c4 (__TEXT,__text) non-external ___container_disk_usage_block_invoke
000000018a53c7c4 (__TEXT,__text) non-external ___container_flush_container_cache_block_invoke
000000018a53c9d4 (__TEXT,__text) non-external ___container_flush_persona_cache_block_invoke
000000018a51dc1c (__TEXT,__text) non-external ___container_frozenset_enumerate_matches_block_invoke
000000018a538234 (__TEXT,__text) non-external ___container_get_all_with_class_for_current_user_block_invoke
000000018a537fac (__TEXT,__text) non-external ___container_group_container_identifiers_for_current_user_block_invoke
000000018a5299a8 (__TEXT,__text) non-external ___container_internal_get_first_boot_uuid_block_invoke
000000018a53ac08 (__TEXT,__text) non-external ___container_invalidate_code_signing_cache_block_invoke
000000018a529fdc (__TEXT,__text) non-external ___container_log_handle_for_category_block_invoke
000000018a531570 (__TEXT,__text) non-external ___container_object_separate_from_query
000000018a524bc4 (__TEXT,__text) non-external ___container_operation_complete_background_tasks_block_invoke
000000018a524258 (__TEXT,__text) non-external ___container_operation_delete_array_block_invoke
000000018a524034 (__TEXT,__text) non-external ___container_operation_delete_block_invoke
000000018a5247d0 (__TEXT,__text) non-external ___container_operation_delete_reclaim_disk_space_block_invoke
000000018a520230 (__TEXT,__text) non-external ___container_paths_context_set_class_block_invoke
000000018a5204b0 (__TEXT,__text) non-external ___container_paths_context_set_flags_block_invoke
000000018a5205ec (__TEXT,__text) non-external ___container_paths_context_set_persona_unique_string_block_invoke
000000018a520370 (__TEXT,__text) non-external ___container_paths_context_set_transient_block_invoke
000000018a520780 (__TEXT,__text) non-external ___container_paths_context_set_uid_block_invoke
000000018a522868 (__TEXT,__text) non-external ___container_paths_copy_container_root_path_for_context_block_invoke
000000018a5236d8 (__TEXT,__text) non-external ___container_paths_copy_uid_home_relative_block_invoke
000000018a52303c (__TEXT,__text) non-external ___container_paths_create_uid_home_relative_block_invoke
000000018a5213c0 (__TEXT,__text) non-external ___container_paths_enumerate_containers_at_block_invoke
000000018a521ebc (__TEXT,__text) non-external ___container_paths_enumerate_containers_at_block_invoke.23
000000018a522408 (__TEXT,__text) non-external ___container_paths_enumerate_containers_at_block_invoke.25
000000018a5220cc (__TEXT,__text) non-external ___container_paths_enumerate_containers_at_block_invoke.29
000000018a522180 (__TEXT,__text) non-external ___container_paths_enumerate_containers_at_block_invoke_2
000000018a533f7c (__TEXT,__text) non-external ___container_perfect_hash_create_block_invoke
000000018a53b104 (__TEXT,__text) non-external ___container_perform_data_migration_block_invoke
000000018a53b35c (__TEXT,__text) non-external ___container_perform_data_migration_for_current_user_block_invoke
000000018a53cb48 (__TEXT,__text) non-external ___container_perform_with_client_context_block_invoke
000000018a529db4 (__TEXT,__text) non-external ___container_persona_collect_all_ids_block_invoke
000000018a539f3c (__TEXT,__text) non-external ___container_process_restored_container_block_invoke
000000018a5350c4 (__TEXT,__text) non-external ___container_pwd_copy_user_home_path_block_invoke
000000018a534854 (__TEXT,__text) non-external ___container_pwd_for_name_block_invoke
000000018a534c04 (__TEXT,__text) non-external ___container_pwd_for_uid_block_invoke
000000018a52e298 (__TEXT,__text) non-external ___container_query_copy_block_invoke
000000018a52cdc4 (__TEXT,__text) non-external ___container_query_count_results_block_invoke
000000018a52d9f0 (__TEXT,__text) non-external ___container_query_get_single_result_block_invoke
000000018a52d7a4 (__TEXT,__text) non-external ___container_query_iterate_results_sync_block_invoke
000000018a52dcd4 (__TEXT,__text) non-external ___container_query_iterate_results_with_identifier_sync_block_invoke
000000018a52e028 (__TEXT,__text) non-external ___container_query_iterate_results_with_subquery_sync_block_invoke
000000018a52e060 (__TEXT,__text) non-external ___container_query_iterate_results_with_subquery_sync_block_invoke.13
000000018a539954 (__TEXT,__text) non-external ___container_recreate_structure_block_invoke
000000018a526d54 (__TEXT,__text) non-external ___container_references_add_block_invoke
000000018a5285bc (__TEXT,__text) non-external ___container_references_iterate_by_group_sync_block_invoke
000000018a527a0c (__TEXT,__text) non-external ___container_references_iterate_by_owner_sync_block_invoke
000000018a526af4 (__TEXT,__text) non-external ___container_references_operation_set_flags_block_invoke
000000018a527830 (__TEXT,__text) non-external ___container_references_remove_block_invoke
000000018a5262fc (__TEXT,__text) non-external ___container_references_set_class_block_invoke
000000018a52685c (__TEXT,__text) non-external ___container_references_set_persona_unique_string_block_invoke
000000018a5266dc (__TEXT,__text) non-external ___container_references_set_uid_block_invoke
000000018a539ba4 (__TEXT,__text) non-external ___container_regenerate_uuid_block_invoke
000000018a53dc18 (__TEXT,__text) non-external ___container_repair_user_data_block_invoke
000000018a53840c (__TEXT,__text) non-external ___container_replace_block_invoke
000000018a51e4f0 (__TEXT,__text) non-external ___container_retry_test_block_invoke
000000018a52b2cc (__TEXT,__text) non-external ___container_seam_fs_ensure_lazy_loaded_block_invoke
000000018a538b14 (__TEXT,__text) non-external ___container_set_code_signing_info_for_identifier_block_invoke
000000018a53adc0 (__TEXT,__text) non-external ___container_set_data_protection_for_current_user_block_invoke
000000018a53af70 (__TEXT,__text) non-external ___container_set_data_protection_for_current_user_block_invoke_2
000000018a5393c8 (__TEXT,__text) non-external ___container_set_info_value_block_invoke
000000018a51e6d0 (__TEXT,__text) non-external ___container_set_test_lock_block_invoke
000000018a53b4ec (__TEXT,__text) non-external ___container_stage_shared_system_content_block_invoke
000000018a532848 (__TEXT,__text) non-external ___container_string_rom_create_block_invoke
000000018a53c1b0 (__TEXT,__text) non-external ___container_subdirectories_for_class_block_invoke
000000018a536df4 (__TEXT,__text) non-external ___container_system_group_path_for_identifier_block_invoke
000000018a536bfc (__TEXT,__text) non-external ___container_system_path_for_identifier_block_invoke
000000018a53b78c (__TEXT,__text) non-external ___container_user_managed_assets_path_block_invoke
000000018a53baa0 (__TEXT,__text) non-external ___container_user_managed_assets_relative_path_block_invoke
000000018a525804 (__TEXT,__text) non-external ___container_xpc_create_connection_block_invoke
000000018a525ffc (__TEXT,__text) non-external ___container_xpc_create_connection_block_invoke_2
000000018a51c5b0 (__TEXT,__text) non-external ___container_xpc_decode_create_container_object_array_block_invoke
000000018a5287d4 (__TEXT,__text) non-external ___container_xpc_send_message_block_invoke
000000018a5290b8 (__TEXT,__text) non-external ___container_xpc_send_sync_message_block_invoke
00000001d3381f58 (__DATA_CONST,__const) non-external ___containermanager_what
000000018a5225b8 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b
000000018a52260c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b40r
000000018a522120 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b40r48r
000000018a521e4c (__TEXT,__text) non-external ___copy_helper_block_8_32b40r48r56r
000000018a51dcbc (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r
000000018a51c680 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r
000000018a5234d8 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r48r
000000018a5225ac (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b
000000018a5225c8 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b40r
000000018a5220d0 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b40r48r
000000018a521df0 (__TEXT,__text) non-external ___destroy_helper_block_8_32b40r48r56r
000000018a51dcb0 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r
000000018a51c63c (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r
000000018a523488 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r48r
                 (undefined) external ___error (from libsystem_kernel)
00000001d55eb000 (__DATA,__bss) non-external ___initialize_container_sandbox_extensions.notify_token
00000001d55eb008 (__DATA,__bss) non-external ___initialize_container_sandbox_extensions.onceToken
00000001d55eaff8 (__DATA,__bss) non-external ___initialize_container_sandbox_extensions.queue
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
                 (undefined) external ___strlcpy_chk (from libsystem_c)
000000018a528bcc (__TEXT,__text) non-external __block_invoke
000000018a535db0 (__TEXT,__text) non-external __common_bundle_lookup
000000018a53b144 (__TEXT,__text) non-external __common_perform_data_migration
000000018a53b7d8 (__TEXT,__text) non-external __common_user_managed_assets_path
000000018a526da0 (__TEXT,__text) non-external __container_add_remove
000000018a5388b4 (__TEXT,__text) non-external __container_async_reclaim_disk_space
00000001d55eb048 (__DATA,__bss) non-external __container_async_reclaim_disk_space.onceToken
00000001d55eb040 (__DATA,__bss) non-external __container_async_reclaim_disk_space.queue
000000018a531b58 (__TEXT,__text) non-external __container_base64_decode
000000018a529788 (__TEXT,__text) non-external __container_entitlements_append_strings_to_array
000000018a529820 (__TEXT,__text) external __container_init
000000018a5355ec (__TEXT,__text) non-external __container_legacy_lookup
000000018a537188 (__TEXT,__text) non-external __container_legacy_lookup_multiple
000000018a52ae2c (__TEXT,__text) non-external __container_log_replication_enable_to_uid_relative_path
00000001d55eae74 (__DATA,__bss) non-external __container_log_replication_enable_to_uid_relative_path.enabled
00000001d55eae68 (__DATA,__bss) non-external __container_log_replication_enable_to_uid_relative_path.g_log_hook
00000001d55eae70 (__DATA,__bss) non-external __container_log_replication_enable_to_uid_relative_path.lock
00000001d55eace4 (__DATA,__data) non-external __container_log_replication_enable_to_uid_relative_path.log_fd
00000001d55eae78 (__DATA,__bss) non-external __container_log_replication_enable_to_uid_relative_path.onceToken
00000001d3381b78 (__DATA_CONST,__const) non-external __container_paths_definition_from_type.definitions
00000001d3381a88 (__DATA_CONST,__const) non-external __container_paths_get_volume_relative_path._relative_paths
00000001d3381b00 (__DATA_CONST,__const) non-external __container_paths_get_volume_relative_path._transient_relative_paths
000000018a523354 (__TEXT,__text) non-external __container_paths_in_reverse_order_from_type_do
000000018a52265c (__TEXT,__text) non-external __container_paths_passthru_dispatch_async
000000018a5349c0 (__TEXT,__text) non-external __container_pwd
000000018a52cdfc (__TEXT,__text) non-external __container_query_execute
000000018a52e108 (__TEXT,__text) external __container_query_get_servicing_pid
000000018a52c10c (__TEXT,__text) non-external __container_query_log_if_error
000000018a52c228 (__TEXT,__text) non-external __container_query_replace_error
000000018a52c0b8 (__TEXT,__text) non-external __container_query_set_usage_error
000000018a528628 (__TEXT,__text) external __container_references_get_servicing_pid
