00000001ffdd2e50 (__TEXT,__text) external _AAArchiveStreamCancel
00000001ffdd72f0 (__TEXT,__text) external _AEAAuthDataAppendEntry
00000001ffdd774c (__TEXT,__text) external _AEAAuthDataClear
00000001ffdd6cec (__TEXT,__text) external _AEAAuthDataCreate
00000001ffdd6d98 (__TEXT,__text) external _AEAAuthDataCreateWithContext
00000001ffdd6d4c (__TEXT,__text) external _AEAAuthDataDestroy
00000001ffdd78a0 (__TEXT,__text) external _AEAAuthDataGetEncodedData
00000001ffdd7898 (__TEXT,__text) external _AEAAuthDataGetEncodedSize
00000001ffdd7198 (__TEXT,__text) external _AEAAuthDataGetEntry
00000001ffdd7190 (__TEXT,__text) external _AEAAuthDataGetEntryCount
00000001ffdd775c (__TEXT,__text) external _AEAAuthDataRemoveEntry
00000001ffdd74f8 (__TEXT,__text) external _AEAAuthDataSetEntry
00000001ffdfc0dc (__TEXT,__text) external _AEAContextCreateWithEncryptedStream
00000001ffdfc020 (__TEXT,__text) external _AEAContextCreateWithProfile
00000001ffdfbf88 (__TEXT,__text) external _AEAContextDestroy
00000001ffdfcc64 (__TEXT,__text) external _AEAContextGenerateFieldBlob
00000001ffdfc4a0 (__TEXT,__text) external _AEAContextGetFieldBlob
00000001ffdfc3ac (__TEXT,__text) external _AEAContextGetFieldUInt
00000001ffdfc8f8 (__TEXT,__text) external _AEAContextSetFieldBlob
00000001ffdfcda0 (__TEXT,__text) external _AEAContextSetFieldCallback
00000001ffdfc70c (__TEXT,__text) external _AEAContextSetFieldUInt
00000001ffdde0c4 (__TEXT,__text) non-external _AEADDecrypt_AESCTR_MAC256_KEY640
00000001ffdddc48 (__TEXT,__text) non-external _AEADDecrypt_None_MAC256_KEY256
00000001ffdddce8 (__TEXT,__text) non-external _AEADEncrypt_AESCTR_MAC256_KEY640
00000001ffdddb94 (__TEXT,__text) non-external _AEADEncrypt_None_MAC256_KEY256
00000001ffdd5750 (__TEXT,__text) external _AEADecryptAndExtract
00000001ffdff410 (__TEXT,__text) external _AEADecryptAndExtractAsyncStreamOpen
00000001ffdd09a0 (__TEXT,__text) external _AEADecryptAsyncStreamOpen
00000001ffde94c0 (__TEXT,__text) external _AEADecryptToFile
00000001ffdfa2a8 (__TEXT,__text) external _AEADecryptToFileAsyncStreamOpen
00000001ffddf728 (__TEXT,__text) external _AEADecryptionInputStreamOpen
00000001ffdd52c4 (__TEXT,__text) external _AEADecryptionRandomAccessInputStreamOpen
00000001ffde3240 (__TEXT,__text) external _AEAEncryptionOutputStreamCloseAndUpdateContext
00000001ffde25a8 (__TEXT,__text) external _AEAEncryptionOutputStreamOpen
00000001ffde2ba0 (__TEXT,__text) external _AEAEncryptionOutputStreamOpenExisting
00000001ffde5070 (__TEXT,__text) external _AEAKeychainGenerateItem
00000001ffde5998 (__TEXT,__text) external _AEAKeychainHasItem
00000001ffde57d4 (__TEXT,__text) external _AEAKeychainLoadItem
00000001ffde5ab0 (__TEXT,__text) external _AEAKeychainRemoveItem
00000001ffde5320 (__TEXT,__text) external _AEAKeychainStoreItem
00000001ffddab64 (__TEXT,__text) external _AEAStreamSign
                 (undefined) external _BZ2_bzDecompress (from libbz2)
                 (undefined) external _BZ2_bzDecompressEnd (from libbz2)
                 (undefined) external _BZ2_bzDecompressInit (from libbz2)
00000001ffdeddac (__TEXT,__text) non-external (was a private external) _BlobBufferFree
00000001ffdedd0c (__TEXT,__text) non-external (was a private external) _BlobBufferIncreaseCapacity
00000001ffdedc60 (__TEXT,__text) non-external (was a private external) _BlobBufferStore
                 (undefined) external _CCCryptorCreateWithMode (from libSystem)
                 (undefined) external _CCCryptorFinal (from libSystem)
                 (undefined) external _CCCryptorGetOutputLength (from libSystem)
                 (undefined) external _CCCryptorRelease (from libSystem)
                 (undefined) external _CCCryptorUpdate (from libSystem)
                 (undefined) external _CCDeriveKey (from libSystem)
                 (undefined) external _CCHmacFinal (from libSystem)
                 (undefined) external _CCHmacInit (from libSystem)
                 (undefined) external _CCHmacUpdate (from libSystem)
                 (undefined) external _CCKDFParametersCreateHkdf (from libSystem)
                 (undefined) external _CCKDFParametersDestroy (from libSystem)
                 (undefined) external _CCRandomGenerateBytes (from libSystem)
00000001ffdf515c (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Final
00000001ffdf50fc (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Init
00000001ffdf510c (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Update
00000001ffdf5774 (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Final
00000001ffdf576c (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Init
00000001ffdf5770 (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Update
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external _CC_SHA384_Final (from libSystem)
                 (undefined) external _CC_SHA384_Init (from libSystem)
                 (undefined) external _CC_SHA384_Update (from libSystem)
                 (undefined) external _CC_SHA512_Final (from libSystem)
                 (undefined) external _CC_SHA512_Init (from libSystem)
                 (undefined) external _CC_SHA512_Update (from libSystem)
                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDataGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFErrorCopyDescription (from CoreFoundation)
                 (undefined) external _CFErrorCreateWithUserInfoKeysAndValues (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
00000001ffe2c1bc (__TEXT,__const) non-external _CKSUMTable
00000001ffe19520 (__TEXT,__text) non-external _CompressionConsumerProc
00000001ffe19390 (__TEXT,__text) non-external _CompressionWorkerDataCreate
00000001ffe1a0a0 (__TEXT,__text) non-external _CompressionWorkerDataDestroy
00000001ffe1948c (__TEXT,__text) non-external _CompressionWorkerProc
00000001ffdde9e8 (__TEXT,__text) non-external _DHERecipient_ECDHE_P256
00000001ffdde684 (__TEXT,__text) non-external _DHESender_ECDHE_P256
00000001ffddef20 (__TEXT,__text) non-external _DSASign_ECDSA_P256
00000001ffddf174 (__TEXT,__text) non-external _DSAVerify_ECDSA_P256
00000001ffdded14 (__TEXT,__text) non-external _DerivePublicFromPrivate_ECP256
00000001ffddeea4 (__TEXT,__text) non-external _Digest_SHA256
00000001ffde68fc (__TEXT,__text) non-external (was a private external) _ECC65537CheckAndFix
00000001ffde664c (__TEXT,__text) non-external (was a private external) _ECC65537GetParity
00000001ffe2c0c0 (__TEXT,__const) non-external _ECC65537_G
00000001ffdee56c (__TEXT,__text) non-external (was a private external) _ECCFixThreadProc
00000001ffddd9f0 (__TEXT,__text) non-external _HKDFDerive
00000001ffddf4fc (__TEXT,__text) non-external _HMACDerive_SHA256
00000001ffddf484 (__TEXT,__text) non-external _HMACFinal_SHA256
00000001ffddf3cc (__TEXT,__text) non-external _HMACInit_SHA256
00000001ffddf458 (__TEXT,__text) non-external _HMACUpdate_SHA256
00000001ffddf620 (__TEXT,__text) non-external _HMACVerify_SHA256
00000001ffde7718 (__TEXT,__text) non-external (was a private external) _IDecoderStreamAbort
00000001ffde74c8 (__TEXT,__text) non-external (was a private external) _IDecoderStreamCreate
00000001ffde7614 (__TEXT,__text) non-external (was a private external) _IDecoderStreamDestroy
00000001ffde7704 (__TEXT,__text) non-external (was a private external) _IDecoderStreamRead
00000001ffde7480 (__TEXT,__text) non-external (was a private external) _IDecoderStreamThreadProc
00000001ffdefcd8 (__TEXT,__text) non-external (was a private external) _IFileStreamCreateWithFD
00000001ffdef90c (__TEXT,__text) non-external (was a private external) _IFileStreamCreateWithFilename
00000001ffdefc80 (__TEXT,__text) non-external (was a private external) _IFileStreamDestroy
00000001ffdefdfc (__TEXT,__text) non-external (was a private external) _IFileStreamRead
00000001ffdef8d4 (__TEXT,__text) non-external (was a private external) _IZeroStreamRead
00000001ffdef5ec (__TEXT,__text) non-external (was a private external) _MemBufferCreate
00000001ffdef6fc (__TEXT,__text) non-external (was a private external) _MemBufferDestroy
00000001ffdef680 (__TEXT,__text) non-external (was a private external) _MemBufferIncreaseCapacity
00000001ffdef740 (__TEXT,__text) non-external (was a private external) _MemBufferTransmit
00000001ffdf013c (__TEXT,__text) non-external (was a private external) _OArchiveFileStreamCreate
00000001ffdf0460 (__TEXT,__text) non-external (was a private external) _OArchiveFileStreamCreateAt
00000001ffdf07a0 (__TEXT,__text) non-external (was a private external) _OArchiveFileStreamDestroy
00000001ffdf07b0 (__TEXT,__text) non-external (was a private external) _OArchiveFileStreamDestroyEx
00000001ffdf09bc (__TEXT,__text) non-external (was a private external) _OArchiveFileStreamWrite
00000001ffdef1b0 (__TEXT,__text) non-external (was a private external) _OECCStreamCreate
00000001ffdef3b4 (__TEXT,__text) non-external (was a private external) _OECCStreamDestroy
00000001ffdef400 (__TEXT,__text) non-external (was a private external) _OECCStreamGetDataPtr
00000001ffdef418 (__TEXT,__text) non-external (was a private external) _OECCStreamGetDataSize
00000001ffdef430 (__TEXT,__text) non-external (was a private external) _OECCStreamWrite
00000001ffdeff38 (__TEXT,__text) non-external (was a private external) _OFileStreamCreateWithFilename
00000001ffdf0018 (__TEXT,__text) non-external (was a private external) _OFileStreamDestroy
00000001ffdf0068 (__TEXT,__text) non-external (was a private external) _OFileStreamWrite
00000001ffdef904 (__TEXT,__text) non-external (was a private external) _ONullStreamWrite
00000001ffdd6cac (__TEXT,__text) non-external (was a private external) _PCompressCopyDecode
00000001ffdd6c6c (__TEXT,__text) non-external (was a private external) _PCompressCopyEncode
00000001ffdd6100 (__TEXT,__text) non-external (was a private external) _PCompressFilter
00000001ffdd0980 (__TEXT,__text) non-external (was a private external) _PCompressGetDecoderDescription
00000001ffde5d34 (__TEXT,__text) non-external (was a private external) _PCompressGetDecoderFilter
00000001ffdd0954 (__TEXT,__text) non-external (was a private external) _PCompressGetDecoderKey
00000001ffdd0948 (__TEXT,__text) non-external (was a private external) _PCompressGetEncoderDecoder
00000001ffdd0928 (__TEXT,__text) non-external (was a private external) _PCompressGetEncoderDescription
00000001ffde5c80 (__TEXT,__text) non-external (was a private external) _PCompressGetEncoderFilter
00000001ffdd855c (__TEXT,__text) non-external (was a private external) _PCompressLZ4Decode
00000001ffdd8534 (__TEXT,__text) non-external (was a private external) _PCompressLZ4Encode
00000001ffddb320 (__TEXT,__text) non-external (was a private external) _PCompressLZFSEDecode
00000001ffddb2f8 (__TEXT,__text) non-external (was a private external) _PCompressLZFSEEncode
00000001ffddd590 (__TEXT,__text) non-external (was a private external) _PCompressLZMA6Encode
00000001ffddd5e0 (__TEXT,__text) non-external (was a private external) _PCompressLZMADecode
00000001ffde5048 (__TEXT,__text) non-external (was a private external) _PCompressLZVNDecode
00000001ffde5020 (__TEXT,__text) non-external (was a private external) _PCompressLZVNEncode
00000001ffde5b94 (__TEXT,__text) non-external (was a private external) _PCompressZLIB5Encode
00000001ffde5bdc (__TEXT,__text) non-external (was a private external) _PCompressZLIBDecode
00000001ffdee814 (__TEXT,__text) non-external (was a private external) _ParallelArchiveECCFixCommon
00000001ffdef194 (__TEXT,__text) non-external (was a private external) _ParallelArchiveECCFixFileSegment
00000001ffdf44a4 (__TEXT,__text) non-external (was a private external) _ParallelCompressionAFSCCompress
00000001ffdf3220 (__TEXT,__text) non-external (was a private external) _ParallelCompressionAFSCFixupMetadata
00000001ffdf313c (__TEXT,__text) non-external (was a private external) _ParallelCompressionAFSCGetMetadata
00000001ffdf2e9c (__TEXT,__text) non-external (was a private external) _ParallelCompressionAFSCGetMetadataFD
00000001ffdf2754 (__TEXT,__text) non-external (was a private external) _ParallelCompressionAFSCStreamClose
00000001ffdf213c (__TEXT,__text) non-external (was a private external) _ParallelCompressionAFSCStreamOpen
00000001ffdf24cc (__TEXT,__text) non-external (was a private external) _ParallelCompressionAFSCStreamWrite
00000001ffde5c1c (__TEXT,__text) non-external (was a private external) _ParallelCompressionDecode
00000001ffdf86b0 (__TEXT,__text) non-external (was a private external) _ParallelCompressionEnterThreadErrorContext
00000001ffdf86b4 (__TEXT,__text) non-external (was a private external) _ParallelCompressionLeaveThreadErrorContext
00000001ffdf86b8 (__TEXT,__text) non-external (was a private external) _ParallelCompressionUpdateError
00000001ffdf86f0 (__TEXT,__text) non-external (was a private external) _ParallelCompressionUpdateWarning
00000001ffdddb4c (__TEXT,__text) non-external _RNG
00000001ffe1cd04 (__TEXT,__text) non-external _RandomAccessDecompressStreamAbort
00000001ffe1cad0 (__TEXT,__text) non-external _RandomAccessDecompressStreamDestroy
00000001ffe1cb58 (__TEXT,__text) non-external _RandomAccessDecompressStreamGetBlock
00000001ffdd5734 (__TEXT,__text) non-external _RandomAccessDecryptionStreamAbort
00000001ffdd559c (__TEXT,__text) non-external _RandomAccessDecryptionStreamDestroy
00000001ffdd56b0 (__TEXT,__text) non-external _RandomAccessDecryptionStreamGetBlock
00000001ffdde49c (__TEXT,__text) non-external _ScryptDerive_KEY256
                 (undefined) external _SecAccessControlCreateWithFlags (from Security)
                 (undefined) external _SecItemAdd (from Security)
                 (undefined) external _SecItemCopyMatching (from Security)
                 (undefined) external _SecItemDelete (from Security)
00000001ffde384c (__TEXT,__text) non-external _SharedArrayEnqueue
00000001ffde82e8 (__TEXT,__text) non-external _SharedArrayEnqueue
00000001ffdf1ad4 (__TEXT,__text) non-external _SharedArrayEnqueue
00000001ffe01654 (__TEXT,__text) non-external _SharedArrayEnqueue
00000001ffde7ab4 (__TEXT,__text) non-external _SharedArrayPush
00000001ffe1e0f8 (__TEXT,__text) non-external _SharedArrayPush
00000001ffde7fb0 (__TEXT,__text) non-external (was a private external) _SharedBufferAbort
00000001ffde7728 (__TEXT,__text) non-external (was a private external) _SharedBufferCreate
00000001ffde7c4c (__TEXT,__text) non-external (was a private external) _SharedBufferDecRefCount
00000001ffde7bd0 (__TEXT,__text) non-external (was a private external) _SharedBufferDestroy
00000001ffde7c64 (__TEXT,__text) non-external (was a private external) _SharedBufferFillFromStream
00000001ffde8074 (__TEXT,__text) non-external (was a private external) _SharedBufferFlushToStream
00000001ffde84c0 (__TEXT,__text) non-external (was a private external) _SharedBufferRead
00000001ffde847c (__TEXT,__text) non-external _SharedBufferReadFromBufferProc
00000001ffde841c (__TEXT,__text) non-external (was a private external) _SharedBufferWrite
00000001ffde8510 (__TEXT,__text) non-external _SharedBufferWriteToBufferProc
00000001ffdedf28 (__TEXT,__text) non-external (was a private external) _StringTableAppend
00000001ffdee058 (__TEXT,__text) non-external (was a private external) _StringTableAppendTable
00000001ffdedf1c (__TEXT,__text) non-external (was a private external) _StringTableClear
00000001ffdee510 (__TEXT,__text) non-external _StringTableCmp
00000001ffdedddc (__TEXT,__text) non-external (was a private external) _StringTableCreate
00000001ffdeded0 (__TEXT,__text) non-external (was a private external) _StringTableDestroy
00000001ffdee474 (__TEXT,__text) non-external (was a private external) _StringTableMatchesPrefixSorted
00000001ffdee32c (__TEXT,__text) non-external _StringTableSearchSortedWithLength
00000001ffdee508 (__TEXT,__text) non-external (was a private external) _StringTableSize
00000001ffdee188 (__TEXT,__text) non-external (was a private external) _StringTableSort
00000001ffdf0cf4 (__TEXT,__text) non-external (was a private external) _ThreadPipelineCreate
00000001ffdf16c8 (__TEXT,__text) non-external (was a private external) _ThreadPipelineDestroy
