0000000180ec35e8 (__TEXT,__text) external _APL_dgemm
0000000180d76c8c (__TEXT,__text) external _DCABS1
0000000180d76c8c (__TEXT,__text) external _DCABS1_
0000000180d7cab0 (__TEXT,__text) external _DCOPY
0000000180d7cab0 (__TEXT,__text) external _DCOPY_
0000000180d7cad8 (__TEXT,__text) external _DDOT
0000000180d7cad8 (__TEXT,__text) external _DDOT_
0000000180d79ee8 (__TEXT,__text) external _DGBMV
0000000180d79ee8 (__TEXT,__text) external _DGBMV_
0000000180d77450 (__TEXT,__text) external _DGEMM
0000000180d77450 (__TEXT,__text) external _DGEMM_
0000000180d79e24 (__TEXT,__text) external _DGEMV
0000000180d79e24 (__TEXT,__text) external _DGEMV_
0000000180d7a8dc (__TEXT,__text) external _DGER
0000000180d7a8dc (__TEXT,__text) external _DGER_
0000000180d7cae8 (__TEXT,__text) external _DNRM2
0000000180d7cae8 (__TEXT,__text) external _DNRM2_
0000000180d7caf4 (__TEXT,__text) external _DROT
0000000180d7cb24 (__TEXT,__text) external _DROTG
0000000180d7cb24 (__TEXT,__text) external _DROTG_
0000000180d7cb40 (__TEXT,__text) external _DROTM
0000000180d7cb68 (__TEXT,__text) external _DROTMG
0000000180d7cb68 (__TEXT,__text) external _DROTMG_
0000000180d7cb40 (__TEXT,__text) external _DROTM_
0000000180d7caf4 (__TEXT,__text) external _DROT_
0000000180d7a06c (__TEXT,__text) external _DSBMV
0000000180d7a06c (__TEXT,__text) external _DSBMV_
0000000180d7cb8c (__TEXT,__text) external _DSCAL
0000000180d7cb8c (__TEXT,__text) external _DSCAL_
0000000180d7cc20 (__TEXT,__text) external _DSDOT
0000000180d7cc20 (__TEXT,__text) external _DSDOT_
0000000180d7a11c (__TEXT,__text) external _DSPMV
0000000180d7a11c (__TEXT,__text) external _DSPMV_
0000000180d7aa58 (__TEXT,__text) external _DSPR
0000000180d7aae4 (__TEXT,__text) external _DSPR2
0000000180d7aae4 (__TEXT,__text) external _DSPR2_
0000000180d7aa58 (__TEXT,__text) external _DSPR_
0000000180d7cbbc (__TEXT,__text) external _DSWAP
0000000180d7cbbc (__TEXT,__text) external _DSWAP_
0000000180d7757c (__TEXT,__text) external _DSYMM
0000000180d7757c (__TEXT,__text) external _DSYMM_
0000000180d79fc8 (__TEXT,__text) external _DSYMV
0000000180d79fc8 (__TEXT,__text) external _DSYMV_
0000000180d7a92c (__TEXT,__text) external _DSYR
0000000180d7a9bc (__TEXT,__text) external _DSYR2
0000000180d77a6c (__TEXT,__text) external _DSYR2K
0000000180d77a6c (__TEXT,__text) external _DSYR2K_
0000000180d7a9bc (__TEXT,__text) external _DSYR2_
0000000180d77970 (__TEXT,__text) external _DSYRK
0000000180d77970 (__TEXT,__text) external _DSYRK_
0000000180d7a92c (__TEXT,__text) external _DSYR_
0000000180d7a2ec (__TEXT,__text) external _DTBMV
0000000180d7a2ec (__TEXT,__text) external _DTBMV_
0000000180d7a67c (__TEXT,__text) external _DTBSV
0000000180d7a67c (__TEXT,__text) external _DTBSV_
0000000180d7a428 (__TEXT,__text) external _DTPMV
0000000180d7a428 (__TEXT,__text) external _DTPMV_
0000000180d7a7b8 (__TEXT,__text) external _DTPSV
0000000180d7a7b8 (__TEXT,__text) external _DTPSV_
0000000180d77670 (__TEXT,__text) external _DTRMM
0000000180d77670 (__TEXT,__text) external _DTRMM_
0000000180d7a1bc (__TEXT,__text) external _DTRMV
0000000180d7a1bc (__TEXT,__text) external _DTRMV_
0000000180d777f0 (__TEXT,__text) external _DTRSM
0000000180d777f0 (__TEXT,__text) external _DTRSM_
0000000180d7a54c (__TEXT,__text) external _DTRSV
0000000180d7a54c (__TEXT,__text) external _DTRSV_
0000000180d7ce6c (__TEXT,__text) external _DZASUM
0000000180d7ce6c (__TEXT,__text) external _DZASUM_
0000000180d7ce78 (__TEXT,__text) external _DZNRM2
0000000180d7ce78 (__TEXT,__text) external _DZNRM2_
0000000180dc06d4 (__TEXT,__text) external _GetBLASComputeDevice
0000000180d7c9e4 (__TEXT,__text) external _ICAMAX
0000000180d7c9e4 (__TEXT,__text) external _ICAMAX_
0000000180d7cbe4 (__TEXT,__text) external _IDAMAX
0000000180d7cbe4 (__TEXT,__text) external _IDAMAX_
0000000180d7cc30 (__TEXT,__text) external _ISAMAX
0000000180d7cc30 (__TEXT,__text) external _ISAMAX_
0000000180d7ce84 (__TEXT,__text) external _IZAMAX
0000000180d7ce84 (__TEXT,__text) external _IZAMAX_
0000000180d7cc6c (__TEXT,__text) external _SASUM
0000000180d7cc6c (__TEXT,__text) external _SASUM_
0000000180d7cc90 (__TEXT,__text) external _SAXPY
0000000180d7cc90 (__TEXT,__text) external _SAXPY_
0000000180d7ca20 (__TEXT,__text) external _SCASUM
0000000180d7ca20 (__TEXT,__text) external _SCASUM_
0000000180d7ca44 (__TEXT,__text) external _SCNRM2
0000000180d7ca44 (__TEXT,__text) external _SCNRM2_
0000000180d7cccc (__TEXT,__text) external _SCOPY
0000000180d7cccc (__TEXT,__text) external _SCOPY_
0000000180d7ccf4 (__TEXT,__text) external _SDOT
0000000180d7ccf4 (__TEXT,__text) external _SDOT_
0000000180d7cd1c (__TEXT,__text) external _SDSDOT
0000000180d7cd1c (__TEXT,__text) external _SDSDOT_
0000000180d79198 (__TEXT,__text) external _SGBMV
0000000180d79198 (__TEXT,__text) external _SGBMV_
0000000180d76d2c (__TEXT,__text) external _SGEMM
0000000180d76d2c (__TEXT,__text) external _SGEMM_
0000000180d790d4 (__TEXT,__text) external _SGEMV
0000000180d790d4 (__TEXT,__text) external _SGEMV_
0000000180d79b8c (__TEXT,__text) external _SGER
0000000180d79b8c (__TEXT,__text) external _SGER_
0000000180d7cd58 (__TEXT,__text) external _SNRM2
0000000180d7cd58 (__TEXT,__text) external _SNRM2_
0000000180d7cd7c (__TEXT,__text) external _SROT
0000000180d7cdac (__TEXT,__text) external _SROTG
0000000180d7cdac (__TEXT,__text) external _SROTG_
0000000180d7cdc8 (__TEXT,__text) external _SROTM
0000000180d7cdf0 (__TEXT,__text) external _SROTMG
0000000180d7cdf0 (__TEXT,__text) external _SROTMG_
0000000180d7cdc8 (__TEXT,__text) external _SROTM_
0000000180d7cd7c (__TEXT,__text) external _SROT_
0000000180d7931c (__TEXT,__text) external _SSBMV
0000000180d7931c (__TEXT,__text) external _SSBMV_
0000000180d7ce14 (__TEXT,__text) external _SSCAL
0000000180d7ce14 (__TEXT,__text) external _SSCAL_
0000000180d793cc (__TEXT,__text) external _SSPMV
0000000180d793cc (__TEXT,__text) external _SSPMV_
0000000180d79d08 (__TEXT,__text) external _SSPR
0000000180d79d94 (__TEXT,__text) external _SSPR2
0000000180d79d94 (__TEXT,__text) external _SSPR2_
0000000180d79d08 (__TEXT,__text) external _SSPR_
0000000180d7ce44 (__TEXT,__text) external _SSWAP
0000000180d7ce44 (__TEXT,__text) external _SSWAP_
0000000180d76e58 (__TEXT,__text) external _SSYMM
0000000180d76e58 (__TEXT,__text) external _SSYMM_
0000000180d79278 (__TEXT,__text) external _SSYMV
0000000180d79278 (__TEXT,__text) external _SSYMV_
0000000180d79bdc (__TEXT,__text) external _SSYR
0000000180d79c6c (__TEXT,__text) external _SSYR2
0000000180d77348 (__TEXT,__text) external _SSYR2K
0000000180d77348 (__TEXT,__text) external _SSYR2K_
0000000180d79c6c (__TEXT,__text) external _SSYR2_
0000000180d7724c (__TEXT,__text) external _SSYRK
0000000180d7724c (__TEXT,__text) external _SSYRK_
0000000180d79bdc (__TEXT,__text) external _SSYR_
0000000180d7959c (__TEXT,__text) external _STBMV
0000000180d7959c (__TEXT,__text) external _STBMV_
0000000180d7992c (__TEXT,__text) external _STBSV
0000000180d7992c (__TEXT,__text) external _STBSV_
0000000180d796d8 (__TEXT,__text) external _STPMV
0000000180d796d8 (__TEXT,__text) external _STPMV_
0000000180d79a68 (__TEXT,__text) external _STPSV
0000000180d79a68 (__TEXT,__text) external _STPSV_
0000000180d76f4c (__TEXT,__text) external _STRMM
0000000180d76f4c (__TEXT,__text) external _STRMM_
0000000180d7946c (__TEXT,__text) external _STRMV
0000000180d7946c (__TEXT,__text) external _STRMV_
0000000180d770cc (__TEXT,__text) external _STRSM
0000000180d770cc (__TEXT,__text) external _STRSM_
0000000180d797fc (__TEXT,__text) external _STRSV
0000000180d797fc (__TEXT,__text) external _STRSV_
0000000180dc0688 (__TEXT,__text) external _SetBLASComputeDevice
00000001810f88a8 (__TEXT,__text) external _SetBLASParamErrorProc
000000018108b708 (__TEXT,__text) external _SetBLASParamErrorProc$NEWLAPACK
00000001810b1b50 (__TEXT,__text) external _SetBLASParamErrorProc$NEWLAPACK$ILP64
00000001810ecf78 (__TEXT,__text) external _XERBLA
00000001810ecf78 (__TEXT,__text) external _XERBLA_
0000000180d7cec0 (__TEXT,__text) external _ZAXPY
0000000180d7cec0 (__TEXT,__text) external _ZAXPY_
0000000180d7cee8 (__TEXT,__text) external _ZCOPY
0000000180d7cee8 (__TEXT,__text) external _ZCOPY_
0000000180d7cf10 (__TEXT,__text) external _ZDOTC
0000000180d7cf10 (__TEXT,__text) external _ZDOTC_
0000000180d7cf38 (__TEXT,__text) external _ZDOTU
0000000180d7cf38 (__TEXT,__text) external _ZDOTU_
0000000180d7cfa0 (__TEXT,__text) external _ZDROT
0000000180d7cfa0 (__TEXT,__text) external _ZDROT_
0000000180d7cfd0 (__TEXT,__text) external _ZDSCAL
0000000180d7cfd0 (__TEXT,__text) external _ZDSCAL_
0000000180d7bad4 (__TEXT,__text) external _ZGBMV
0000000180d7bad4 (__TEXT,__text) external _ZGBMV_
0000000180d78624 (__TEXT,__text) external _ZGEMM
0000000180d78624 (__TEXT,__text) external _ZGEMM_
0000000180d7b9f8 (__TEXT,__text) external _ZGEMV
0000000180d7b9f8 (__TEXT,__text) external _ZGEMV_
0000000180d7c544 (__TEXT,__text) external _ZGERC
0000000180d7c544 (__TEXT,__text) external _ZGERC_
0000000180d7c5a8 (__TEXT,__text) external _ZGERU
0000000180d7c5a8 (__TEXT,__text) external _ZGERU_
0000000180d7bc74 (__TEXT,__text) external _ZHBMV
0000000180d7bc74 (__TEXT,__text) external _ZHBMV_
0000000180d7876c (__TEXT,__text) external _ZHEMM
0000000180d7876c (__TEXT,__text) external _ZHEMM_
0000000180d7bbc4 (__TEXT,__text) external _ZHEMV
0000000180d7bbc4 (__TEXT,__text) external _ZHEMV_
0000000180d7c60c (__TEXT,__text) external _ZHER
0000000180d7c69c (__TEXT,__text) external _ZHER2
0000000180d78e98 (__TEXT,__text) external _ZHER2K
0000000180d78e98 (__TEXT,__text) external _ZHER2K_
0000000180d7c69c (__TEXT,__text) external _ZHER2_
0000000180d78c84 (__TEXT,__text) external _ZHERK
0000000180d78c84 (__TEXT,__text) external _ZHERK_
0000000180d7c60c (__TEXT,__text) external _ZHER_
0000000180d7bd30 (__TEXT,__text) external _ZHPMV
0000000180d7bd30 (__TEXT,__text) external _ZHPMV_
0000000180d7c74c (__TEXT,__text) external _ZHPR
0000000180d7c7d8 (__TEXT,__text) external _ZHPR2
0000000180d7c7d8 (__TEXT,__text) external _ZHPR2_
0000000180d7c74c (__TEXT,__text) external _ZHPR_
0000000180d7cf60 (__TEXT,__text) external _ZROTG
0000000180d7cf60 (__TEXT,__text) external _ZROTG_
0000000180d7cf7c (__TEXT,__text) external _ZSCAL
0000000180d7cf7c (__TEXT,__text) external _ZSCAL_
0000000180d7d000 (__TEXT,__text) external _ZSWAP
0000000180d7d000 (__TEXT,__text) external _ZSWAP_
0000000180d78868 (__TEXT,__text) external _ZSYMM
0000000180d78868 (__TEXT,__text) external _ZSYMM_
0000000180d78fb8 (__TEXT,__text) external _ZSYR2K
0000000180d78fb8 (__TEXT,__text) external _ZSYR2K_
0000000180d78d8c (__TEXT,__text) external _ZSYRK
0000000180d78d8c (__TEXT,__text) external _ZSYRK_
0000000180d7bf18 (__TEXT,__text) external _ZTBMV
0000000180d7bf18 (__TEXT,__text) external _ZTBMV_
0000000180d7c2cc (__TEXT,__text) external _ZTBSV
0000000180d7c2cc (__TEXT,__text) external _ZTBSV_
0000000180d7c060 (__TEXT,__text) external _ZTPMV
0000000180d7c060 (__TEXT,__text) external _ZTPMV_
0000000180d7c414 (__TEXT,__text) external _ZTPSV
0000000180d7c414 (__TEXT,__text) external _ZTPSV_
0000000180d78964 (__TEXT,__text) external _ZTRMM
0000000180d78964 (__TEXT,__text) external _ZTRMM_
0000000180d7bddc (__TEXT,__text) external _ZTRMV
0000000180d7bddc (__TEXT,__text) external _ZTRMV_
0000000180d78af4 (__TEXT,__text) external _ZTRSM
0000000180d78af4 (__TEXT,__text) external _ZTRSM_
0000000180d7c190 (__TEXT,__text) external _ZTRSV
0000000180d7c190 (__TEXT,__text) external _ZTRSV_
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __Unwind_Resume (from libSystem)
                 (undefined) weak external __ZdaPv (from libc++)
                 (undefined) weak external __Znam (from libc++)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___gxx_personality_v0 (from libc++)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external __get_cpu_capabilities (from libSystem)
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external __sl_dlopen (from SoftLinking)
                 (undefined) external __tlv_bootstrap (from libSystem)
                 (undefined) external _abort_report_np (from libSystem)
00000001810d980c (__TEXT,__text) external _appleblas_dgeadd
000000018106f6b0 (__TEXT,__text) external _appleblas_dgeadd$NEWLAPACK
00000001810960e8 (__TEXT,__text) external _appleblas_dgeadd$NEWLAPACK$ILP64
00000001810e3b4c (__TEXT,__text) external _appleblas_sgeadd
000000018107774c (__TEXT,__text) external _appleblas_sgeadd$NEWLAPACK
000000018109dc78 (__TEXT,__text) external _appleblas_sgeadd$NEWLAPACK$ILP64
                 (undefined) external _bzero (from libSystem)
00000001810ee638 (__TEXT,__text) external _catlas_caxpby
0000000181081c10 (__TEXT,__text) external _catlas_caxpby$NEWLAPACK
00000001810a80e4 (__TEXT,__text) external _catlas_caxpby$NEWLAPACK$ILP64
00000001810eef10 (__TEXT,__text) external _catlas_cset
00000001810824e8 (__TEXT,__text) external _catlas_cset$NEWLAPACK
00000001810a8954 (__TEXT,__text) external _catlas_cset$NEWLAPACK$ILP64
00000001810b4870 (__TEXT,__text) external _catlas_daxpby
0000000180f22910 (__TEXT,__text) external _catlas_daxpby$NEWLAPACK
000000018105cbf8 (__TEXT,__text) external _catlas_daxpby$NEWLAPACK$ILP64
00000001810b495c (__TEXT,__text) external _catlas_dset
0000000180f22a30 (__TEXT,__text) external _catlas_dset$NEWLAPACK
000000018105cce8 (__TEXT,__text) external _catlas_dset$NEWLAPACK$ILP64
00000001810b2604 (__TEXT,__text) external _catlas_saxpby
0000000180d8b258 (__TEXT,__text) external _catlas_saxpby$NEWLAPACK
0000000181057a24 (__TEXT,__text) external _catlas_saxpby$NEWLAPACK$ILP64
00000001810b2724 (__TEXT,__text) external _catlas_sset
0000000180d8b378 (__TEXT,__text) external _catlas_sset$NEWLAPACK
0000000181057b14 (__TEXT,__text) external _catlas_sset$NEWLAPACK$ILP64
00000001810ef658 (__TEXT,__text) external _catlas_zaxpby
0000000181082c30 (__TEXT,__text) external _catlas_zaxpby$NEWLAPACK
00000001810a9030 (__TEXT,__text) external _catlas_zaxpby$NEWLAPACK$ILP64
00000001810f0430 (__TEXT,__text) external _catlas_zset
0000000181083834 (__TEXT,__text) external _catlas_zset$NEWLAPACK
00000001810a9bb8 (__TEXT,__text) external _catlas_zset$NEWLAPACK$ILP64
0000000180fe61b8 (__TEXT,__text) external _caxpby$NEWLAPACK
000000018105faf4 (__TEXT,__text) external _caxpby$NEWLAPACK$ILP64
0000000180d7c87c (__TEXT,__text) external _caxpy
0000000180fe6150 (__TEXT,__text) external _caxpy$NEWLAPACK
000000018105fa8c (__TEXT,__text) external _caxpy$NEWLAPACK$ILP64
0000000180d7c87c (__TEXT,__text) external _caxpy_
00000001810ee898 (__TEXT,__text) external _cblas_caxpy
0000000181081e70 (__TEXT,__text) external _cblas_caxpy$NEWLAPACK
00000001810a832c (__TEXT,__text) external _cblas_caxpy$NEWLAPACK$ILP64
00000001810ee9cc (__TEXT,__text) external _cblas_ccopy
0000000181081fa4 (__TEXT,__text) external _cblas_ccopy$NEWLAPACK
00000001810a8454 (__TEXT,__text) external _cblas_ccopy$NEWLAPACK$ILP64
00000001810eeabc (__TEXT,__text) external _cblas_cdotc_sub
0000000181082094 (__TEXT,__text) external _cblas_cdotc_sub$NEWLAPACK
00000001810a8540 (__TEXT,__text) external _cblas_cdotc_sub$NEWLAPACK$ILP64
00000001810eebcc (__TEXT,__text) external _cblas_cdotu_sub
00000001810821a4 (__TEXT,__text) external _cblas_cdotu_sub$NEWLAPACK
00000001810a8644 (__TEXT,__text) external _cblas_cdotu_sub$NEWLAPACK$ILP64
00000001810ce198 (__TEXT,__text) external _cblas_cgbmv
0000000181064840 (__TEXT,__text) external _cblas_cgbmv$NEWLAPACK
000000018108b81c (__TEXT,__text) external _cblas_cgbmv$NEWLAPACK$ILP64
00000001810ce968 (__TEXT,__text) external _cblas_cgemm
0000000181065010 (__TEXT,__text) external _cblas_cgemm$NEWLAPACK
000000018108bfc8 (__TEXT,__text) external _cblas_cgemm$NEWLAPACK$ILP64
00000001810d002c (__TEXT,__text) external _cblas_cgemv
0000000181065ed0 (__TEXT,__text) external _cblas_cgemv$NEWLAPACK
000000018108ce10 (__TEXT,__text) external _cblas_cgemv$NEWLAPACK$ILP64
00000001810e6560 (__TEXT,__text) external _cblas_cgerc
000000018107a090 (__TEXT,__text) external _cblas_cgerc$NEWLAPACK
00000001810a04c8 (__TEXT,__text) external _cblas_cgerc$NEWLAPACK$ILP64
00000001810e6c44 (__TEXT,__text) external _cblas_cgeru
000000018107a774 (__TEXT,__text) external _cblas_cgeru$NEWLAPACK
00000001810a0ba0 (__TEXT,__text) external _cblas_cgeru$NEWLAPACK$ILP64
00000001810e73b8 (__TEXT,__text) external _cblas_chbmv
000000018107aee8 (__TEXT,__text) external _cblas_chbmv$NEWLAPACK
00000001810a1304 (__TEXT,__text) external _cblas_chbmv$NEWLAPACK$ILP64
00000001810d0ca4 (__TEXT,__text) external _cblas_chemm
0000000181066b48 (__TEXT,__text) external _cblas_chemm$NEWLAPACK
000000018108dac4 (__TEXT,__text) external _cblas_chemm$NEWLAPACK$ILP64
00000001810e7c78 (__TEXT,__text) external _cblas_chemv
000000018107b5f4 (__TEXT,__text) external _cblas_chemv$NEWLAPACK
00000001810a1a28 (__TEXT,__text) external _cblas_chemv$NEWLAPACK$ILP64
00000001810e8f4c (__TEXT,__text) external _cblas_cher
000000018107c8c8 (__TEXT,__text) external _cblas_cher$NEWLAPACK
00000001810a2d04 (__TEXT,__text) external _cblas_cher$NEWLAPACK$ILP64
00000001810e8764 (__TEXT,__text) external _cblas_cher2
000000018107c0e0 (__TEXT,__text) external _cblas_cher2$NEWLAPACK
00000001810a253c (__TEXT,__text) external _cblas_cher2$NEWLAPACK$ILP64
00000001810d1cec (__TEXT,__text) external _cblas_cher2k
0000000181067b90 (__TEXT,__text) external _cblas_cher2k$NEWLAPACK
000000018108ea9c (__TEXT,__text) external _cblas_cher2k$NEWLAPACK$ILP64
00000001810d30c8 (__TEXT,__text) external _cblas_cherk
0000000181068f6c (__TEXT,__text) external _cblas_cherk$NEWLAPACK
000000018108fd8c (__TEXT,__text) external _cblas_cherk$NEWLAPACK$ILP64
00000001810e9784 (__TEXT,__text) external _cblas_chpmv
000000018107d100 (__TEXT,__text) external _cblas_chpmv$NEWLAPACK
00000001810a3544 (__TEXT,__text) external _cblas_chpmv$NEWLAPACK$ILP64
00000001810ea5c4 (__TEXT,__text) external _cblas_chpr
000000018107df40 (__TEXT,__text) external _cblas_chpr$NEWLAPACK
00000001810a435c (__TEXT,__text) external _cblas_chpr$NEWLAPACK$ILP64
00000001810e9dec (__TEXT,__text) external _cblas_chpr2
000000018107d768 (__TEXT,__text) external _cblas_chpr2$NEWLAPACK
00000001810a3bb8 (__TEXT,__text) external _cblas_chpr2$NEWLAPACK$ILP64
00000001810eecdc (__TEXT,__text) external _cblas_crotg
00000001810822b4 (__TEXT,__text) external _cblas_crotg$NEWLAPACK
00000001810a8748 (__TEXT,__text) external _cblas_crotg$NEWLAPACK$ILP64
00000001810eed94 (__TEXT,__text) external _cblas_cscal
000000018108236c (__TEXT,__text) external _cblas_cscal$NEWLAPACK
00000001810a8800 (__TEXT,__text) external _cblas_cscal$NEWLAPACK$ILP64
00000001810eef58 (__TEXT,__text) external _cblas_csrot
0000000181082530 (__TEXT,__text) external _cblas_csrot$NEWLAPACK
00000001810a8990 (__TEXT,__text) external _cblas_csrot$NEWLAPACK$ILP64
00000001810eefe8 (__TEXT,__text) external _cblas_csscal
00000001810825c0 (__TEXT,__text) external _cblas_csscal$NEWLAPACK
00000001810a8a14 (__TEXT,__text) external _cblas_csscal$NEWLAPACK$ILP64
00000001810ef0d0 (__TEXT,__text) external _cblas_cswap
00000001810826a8 (__TEXT,__text) external _cblas_cswap$NEWLAPACK
00000001810a8af4 (__TEXT,__text) external _cblas_cswap$NEWLAPACK$ILP64
00000001810d3f2c (__TEXT,__text) external _cblas_csymm
0000000181069dd0 (__TEXT,__text) external _cblas_csymm$NEWLAPACK
0000000181090b60 (__TEXT,__text) external _cblas_csymm$NEWLAPACK$ILP64
00000001810d4f84 (__TEXT,__text) external _cblas_csyr2k
000000018106ae28 (__TEXT,__text) external _cblas_csyr2k$NEWLAPACK
0000000181091b48 (__TEXT,__text) external _cblas_csyr2k$NEWLAPACK$ILP64
00000001810d5fdc (__TEXT,__text) external _cblas_csyrk
000000018106be80 (__TEXT,__text) external _cblas_csyrk$NEWLAPACK
0000000181092a04 (__TEXT,__text) external _cblas_csyrk$NEWLAPACK$ILP64
00000001810ea9e8 (__TEXT,__text) external _cblas_ctbmv
000000018107e364 (__TEXT,__text) external _cblas_ctbmv$NEWLAPACK
00000001810a4788 (__TEXT,__text) external _cblas_ctbmv$NEWLAPACK$ILP64
00000001810eb21c (__TEXT,__text) external _cblas_ctbsv
000000018107eb98 (__TEXT,__text) external _cblas_ctbsv$NEWLAPACK
00000001810a4fe8 (__TEXT,__text) external _cblas_ctbsv$NEWLAPACK$ILP64
00000001810ebbb0 (__TEXT,__text) external _cblas_ctpmv
000000018107f52c (__TEXT,__text) external _cblas_ctpmv$NEWLAPACK
