000000021bbc9428 (__DATA,__bss) non-external _A
000000020cfe04dc (__TEXT,__text) external _cmark_node_append_child
000000020cfdedec (__TEXT,__text) non-external (was a private external) _cmark_node_can_contain_type
000000020cfe0538 (__TEXT,__text) non-external (was a private external) _cmark_node_check
000000020cfdf4ac (__TEXT,__text) external _cmark_node_first_child
000000020cfdefcc (__TEXT,__text) external _cmark_node_free
000000020cfdfe70 (__TEXT,__text) external _cmark_node_get_attributes
000000020cfdf64c (__TEXT,__text) external _cmark_node_get_backtick_count
000000020cfe0314 (__TEXT,__text) external _cmark_node_get_end_column
000000020cfe0308 (__TEXT,__text) external _cmark_node_get_end_line
000000020cfdf998 (__TEXT,__text) external _cmark_node_get_fence_info
000000020cfdfb04 (__TEXT,__text) external _cmark_node_get_fenced
000000020cfdf7cc (__TEXT,__text) external _cmark_node_get_heading_level
000000020cfdf88c (__TEXT,__text) external _cmark_node_get_list_delim
000000020cfdf8ec (__TEXT,__text) external _cmark_node_get_list_start
000000020cfdf944 (__TEXT,__text) external _cmark_node_get_list_tight
000000020cfdf82c (__TEXT,__text) external _cmark_node_get_list_type
000000020cfdf520 (__TEXT,__text) external _cmark_node_get_literal
000000020cfdffdc (__TEXT,__text) external _cmark_node_get_on_enter
000000020cfe0158 (__TEXT,__text) external _cmark_node_get_on_exit
000000020cfe02fc (__TEXT,__text) external _cmark_node_get_start_column
000000020cfe02f0 (__TEXT,__text) external _cmark_node_get_start_line
000000020cfdf7a8 (__TEXT,__text) external _cmark_node_get_string_content
000000020cfe02d4 (__TEXT,__text) external _cmark_node_get_syntax_extension
000000020cfdfcf4 (__TEXT,__text) external _cmark_node_get_title
000000020cfdf0c4 (__TEXT,__text) external _cmark_node_get_type
000000020cfdf28c (__TEXT,__text) external _cmark_node_get_type_string
000000020cfdfb78 (__TEXT,__text) external _cmark_node_get_url
000000020cfdf4f4 (__TEXT,__text) external _cmark_node_get_user_data
000000020cfe03c8 (__TEXT,__text) external _cmark_node_insert_after
000000020cfe034c (__TEXT,__text) external _cmark_node_insert_before
000000020cfdf4b8 (__TEXT,__text) external _cmark_node_last_child
000000020cfdefbc (__TEXT,__text) external _cmark_node_new
000000020cfdefa4 (__TEXT,__text) external _cmark_node_new_with_ext
000000020cfdefb4 (__TEXT,__text) external _cmark_node_new_with_mem
000000020cfdeee4 (__TEXT,__text) external _cmark_node_new_with_mem_and_ext
000000020cfdf488 (__TEXT,__text) external _cmark_node_next
000000020cfdf4c4 (__TEXT,__text) external _cmark_node_nth_child
000000020cfd0464 (__TEXT,__text) external _cmark_node_own
000000020cfdf4a0 (__TEXT,__text) external _cmark_node_parent
000000020cfe0480 (__TEXT,__text) external _cmark_node_prepend_child
000000020cfdf494 (__TEXT,__text) external _cmark_node_previous
000000020cfe0444 (__TEXT,__text) external _cmark_node_replace
000000020cfdff10 (__TEXT,__text) external _cmark_node_set_attributes
000000020cfdfa38 (__TEXT,__text) external _cmark_node_set_fence_info
000000020cfdfb40 (__TEXT,__text) external _cmark_node_set_fenced
000000020cfdf7f0 (__TEXT,__text) external _cmark_node_set_heading_level
000000020cfdf8b0 (__TEXT,__text) external _cmark_node_set_list_delim
000000020cfdf910 (__TEXT,__text) external _cmark_node_set_list_start
000000020cfdf968 (__TEXT,__text) external _cmark_node_set_list_tight
000000020cfdf850 (__TEXT,__text) external _cmark_node_set_list_type
000000020cfdf654 (__TEXT,__text) external _cmark_node_set_literal
000000020cfe0084 (__TEXT,__text) external _cmark_node_set_on_enter
000000020cfe0200 (__TEXT,__text) external _cmark_node_set_on_exit
000000020cfdf7b0 (__TEXT,__text) external _cmark_node_set_string_content
000000020cfe02e0 (__TEXT,__text) external _cmark_node_set_syntax_extension
000000020cfdfd9c (__TEXT,__text) external _cmark_node_set_title
000000020cfdf0d0 (__TEXT,__text) external _cmark_node_set_type
000000020cfdfc20 (__TEXT,__text) external _cmark_node_set_url
000000020cfdf500 (__TEXT,__text) external _cmark_node_set_user_data
000000020cfdf510 (__TEXT,__text) external _cmark_node_set_user_data_free_func
000000020cfe0320 (__TEXT,__text) external _cmark_node_unlink
000000020cfe3ff4 (__TEXT,__text) external _cmark_node_unput
000000020cfdd238 (__TEXT,__text) external _cmark_parse_document
000000020cfdcaa8 (__TEXT,__text) external _cmark_parse_file
000000020cfe09a8 (__TEXT,__text) non-external (was a private external) _cmark_parse_inlines
000000020cfe83d0 (__TEXT,__text) non-external _cmark_parse_inlines.cold.1
000000020cfe8538 (__TEXT,__text) non-external _cmark_parse_inlines.cold.10
000000020cfe8560 (__TEXT,__text) non-external _cmark_parse_inlines.cold.11
000000020cfe8588 (__TEXT,__text) non-external _cmark_parse_inlines.cold.12
000000020cfe85b0 (__TEXT,__text) non-external _cmark_parse_inlines.cold.13
000000020cfe85d8 (__TEXT,__text) non-external _cmark_parse_inlines.cold.14
000000020cfe8600 (__TEXT,__text) non-external _cmark_parse_inlines.cold.15
000000020cfe8628 (__TEXT,__text) non-external _cmark_parse_inlines.cold.16
000000020cfe8650 (__TEXT,__text) non-external _cmark_parse_inlines.cold.17
000000020cfe8678 (__TEXT,__text) non-external _cmark_parse_inlines.cold.18
000000020cfe86a0 (__TEXT,__text) non-external _cmark_parse_inlines.cold.19
000000020cfe83f8 (__TEXT,__text) non-external _cmark_parse_inlines.cold.2
000000020cfe8420 (__TEXT,__text) non-external _cmark_parse_inlines.cold.3
000000020cfe8448 (__TEXT,__text) non-external _cmark_parse_inlines.cold.4
000000020cfe8470 (__TEXT,__text) non-external _cmark_parse_inlines.cold.5
000000020cfe8498 (__TEXT,__text) non-external _cmark_parse_inlines.cold.6
000000020cfe84c0 (__TEXT,__text) non-external _cmark_parse_inlines.cold.7
000000020cfe84e8 (__TEXT,__text) non-external _cmark_parse_inlines.cold.8
000000020cfe8510 (__TEXT,__text) non-external _cmark_parse_inlines.cold.9
000000020cfe3958 (__TEXT,__text) non-external (was a private external) _cmark_parse_reference_attributes_inline
000000020cfe8978 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.1
000000020cfe89a0 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.2
000000020cfe89c8 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.3
000000020cfe89f0 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.4
000000020cfe8a18 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.5
000000020cfe3164 (__TEXT,__text) non-external (was a private external) _cmark_parse_reference_inline
000000020cfe86f4 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.1
000000020cfe871c (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.2
000000020cfe8744 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.3
000000020cfe876c (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.4
000000020cfe8794 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.5
000000020cfe87bc (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.6
000000020cfe87e4 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.7
000000020cfde534 (__TEXT,__text) external _cmark_parser_add_child
000000020cfde618 (__TEXT,__text) external _cmark_parser_advance_offset
000000020cfdc718 (__TEXT,__text) external _cmark_parser_attach_syntax_extension
000000020cfdc9d8 (__TEXT,__text) non-external _cmark_parser_dispose
000000020cfdd2a0 (__TEXT,__text) external _cmark_parser_feed
000000020cfdd2a8 (__TEXT,__text) external _cmark_parser_feed_reentrant
000000020cfdcd88 (__TEXT,__text) external _cmark_parser_finish
000000020cfdc94c (__TEXT,__text) external _cmark_parser_free
000000020cfde4fc (__TEXT,__text) external _cmark_parser_get_column
000000020cfde504 (__TEXT,__text) external _cmark_parser_get_first_nonspace
000000020cfde50c (__TEXT,__text) external _cmark_parser_get_first_nonspace_column
000000020cfde514 (__TEXT,__text) external _cmark_parser_get_indent
000000020cfde52c (__TEXT,__text) external _cmark_parser_get_last_line_length
000000020cfde4ec (__TEXT,__text) external _cmark_parser_get_line_number
000000020cfde4f4 (__TEXT,__text) external _cmark_parser_get_offset
000000020cfde728 (__TEXT,__text) external _cmark_parser_get_syntax_extensions
000000020cfde524 (__TEXT,__text) external _cmark_parser_has_partially_consumed_tab
000000020cfde51c (__TEXT,__text) external _cmark_parser_is_blank
000000020cfdc940 (__TEXT,__text) external _cmark_parser_new
000000020cfdc7d8 (__TEXT,__text) external _cmark_parser_new_with_mem
000000020cfdc844 (__TEXT,__text) non-external _cmark_parser_reset
000000020cfde720 (__TEXT,__text) external _cmark_parser_set_backslash_ispunct_func
000000020cfcfc28 (__TEXT,__text) external _cmark_plugin_free
000000020cfcfbf8 (__TEXT,__text) external _cmark_plugin_new
000000020cfcfbbc (__TEXT,__text) external _cmark_plugin_register_syntax_extension
000000020cfcfc84 (__TEXT,__text) external _cmark_plugin_steal_syntax_extensions
000000020cfdc4e4 (__TEXT,__text) non-external (was a private external) _cmark_reference_create
000000020cfe8134 (__TEXT,__text) non-external _cmark_reference_create.cold.1
000000020cfdc5a8 (__TEXT,__text) non-external (was a private external) _cmark_reference_create_attributes
000000020cfe8160 (__TEXT,__text) non-external _cmark_reference_create_attributes.cold.1
000000020cfdc658 (__TEXT,__text) non-external (was a private external) _cmark_reference_map_new
000000020cfded60 (__TEXT,__text) external _cmark_register_node_flag
000000020cfe8318 (__TEXT,__text) non-external _cmark_register_node_flag.cold.1
000000020cfe8348 (__TEXT,__text) non-external _cmark_register_node_flag.cold.2
000000021bbc9140 (__DATA,__data) non-external _cmark_register_node_flag.nextflag
000000020cfcea20 (__TEXT,__text) external _cmark_register_plugin
000000020cfceaf8 (__TEXT,__text) external _cmark_release_plugins
000000020cfced30 (__TEXT,__text) non-external (was a private external) _cmark_render
000000020cfcecb0 (__TEXT,__text) non-external (was a private external) _cmark_render_ascii
000000020cfcecf4 (__TEXT,__text) non-external (was a private external) _cmark_render_code_point
000000020cfca910 (__TEXT,__text) external _cmark_render_commonmark
000000020cfca94c (__TEXT,__text) external _cmark_render_commonmark_with_mem
000000020cfcbd6c (__TEXT,__text) external _cmark_render_html
000000020cfcbd74 (__TEXT,__text) external _cmark_render_html_with_mem
000000020cfe7f1c (__TEXT,__text) non-external _cmark_render_html_with_mem.cold.1
000000020cfd06c4 (__TEXT,__text) external _cmark_render_latex
000000020cfd06f8 (__TEXT,__text) external _cmark_render_latex_with_mem
000000020cfcd3ac (__TEXT,__text) external _cmark_render_man
000000020cfcd3e0 (__TEXT,__text) external _cmark_render_man_with_mem
000000020cfe4efc (__TEXT,__text) external _cmark_render_plaintext
000000020cfe4f38 (__TEXT,__text) external _cmark_render_plaintext_with_mem
000000020cfe4400 (__TEXT,__text) external _cmark_render_xml
000000020cfe4408 (__TEXT,__text) external _cmark_render_xml_with_mem
000000020cfe0700 (__TEXT,__text) non-external (was a private external) _cmark_set_default_skip_chars
000000021bbc92e0 (__DATA,__bss) non-external _cmark_set_default_skip_chars.default_skip_chars
000000020cfe0908 (__TEXT,__text) non-external (was a private external) _cmark_set_default_special_chars
000000021bbc9142 (__DATA,__data) non-external _cmark_set_default_special_chars.default_special_chars
000000021bbc9434 (__DATA,__common) external _cmark_strbuf__initbuf
000000020cfdbe3c (__TEXT,__text) external _cmark_strbuf_clear
000000020cfdc124 (__TEXT,__text) external _cmark_strbuf_cmp
000000020cfdc05c (__TEXT,__text) external _cmark_strbuf_copy_cstr
000000020cfe8108 (__TEXT,__text) non-external _cmark_strbuf_copy_cstr.cold.1
000000020cfdc0f0 (__TEXT,__text) external _cmark_strbuf_detach
000000020cfdc24c (__TEXT,__text) external _cmark_strbuf_drop
000000020cfdbdf0 (__TEXT,__text) external _cmark_strbuf_free
000000020cfdbd70 (__TEXT,__text) external _cmark_strbuf_grow
000000020cfe80a8 (__TEXT,__text) non-external _cmark_strbuf_grow.cold.1
000000020cfe80d4 (__TEXT,__text) non-external _cmark_strbuf_grow.cold.2
000000020cfdbd48 (__TEXT,__text) external _cmark_strbuf_init
000000020cfdbde8 (__TEXT,__text) external _cmark_strbuf_len
000000020cfdc394 (__TEXT,__text) external _cmark_strbuf_normalize_whitespace
000000020cfdbfa0 (__TEXT,__text) external _cmark_strbuf_put
000000020cfdbf50 (__TEXT,__text) external _cmark_strbuf_putc
000000020cfdc014 (__TEXT,__text) external _cmark_strbuf_puts
000000020cfdc2b0 (__TEXT,__text) external _cmark_strbuf_rtrim
000000020cfdbe58 (__TEXT,__text) external _cmark_strbuf_set
000000020cfdbefc (__TEXT,__text) external _cmark_strbuf_sets
000000020cfdc188 (__TEXT,__text) external _cmark_strbuf_strchr
000000020cfdc1e0 (__TEXT,__text) external _cmark_strbuf_strrchr
000000020cfdc0c4 (__TEXT,__text) external _cmark_strbuf_swap
000000020cfdc30c (__TEXT,__text) external _cmark_strbuf_trim
000000020cfdc228 (__TEXT,__text) external _cmark_strbuf_truncate
000000020cfdc440 (__TEXT,__text) external _cmark_strbuf_unescape
000000020cfcdb64 (__TEXT,__text) external _cmark_syntax_extension_add_node
000000020cfe7f74 (__TEXT,__text) non-external _cmark_syntax_extension_add_node.cold.1
000000020cfcda8c (__TEXT,__text) external _cmark_syntax_extension_free
000000020cfcdc48 (__TEXT,__text) external _cmark_syntax_extension_get_private
000000020cfcdaf8 (__TEXT,__text) external _cmark_syntax_extension_new
000000020cfcdbec (__TEXT,__text) external _cmark_syntax_extension_set_can_contain_func
000000020cfcdc60 (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_escape_func
000000020cfcdbfc (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_render_func
