0000000000003d94 (__TEXT,__text) external _OSAtomicAdd32
0000000000003300 (__TEXT,__text) non-external (was a private external) ___pfz_setup
0000000000006660 (__TEXT,__const) non-external (was a private external) ___platformVersionNumber
0000000000006628 (__TEXT,__const) non-external (was a private external) ___platformVersionString
0000000000002e74 (__TEXT,__text) external ___platform_sigaction
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sigaction (from libsystem_kernel)
                 (undefined) external ___sigaltstack (from libsystem_kernel)
                 (undefined) external ___sigreturn (from libsystem_kernel)
0000000000004114 (__TEXT,__text) non-external ___simple_bprintf
                 (undefined) external ___ulock_wait (from libsystem_kernel)
                 (undefined) external ___ulock_wake (from libsystem_kernel)
0000000000005ea8 (__TEXT,__text) external __ctx_done
00000000000060dc (__TEXT,__text) non-external (was a private external) __ctx_start
0000000000005368 (__TEXT,__text) non-external __enlarge
00000000000061a0 (__TEXT,__text) non-external __enlarge.cold.1
                 (undefined) external __exit (from libsystem_kernel)
00000000000052c4 (__TEXT,__text) non-external __flush
000000000000529c (__TEXT,__text) non-external __flush_reset
00000000000067be (__TEXT,__cstring) non-external __h
0000000000001d48 (__TEXT,__text) external __longjmp
00000000000012bc (__TEXT,__text) non-external __os_alloc
00000000000063ac (__TEXT,__text) non-external __os_alloc.cold.1
0000000000010008 (__DATA_DIRTY,__common) non-external (was a private external) __os_alloc_heap
000000000000127c (__TEXT,__text) external __os_alloc_once
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
000000000000368c (__TEXT,__text) non-external __os_alloc_slow
00000000000061c8 (__TEXT,__text) non-external (was a private external) __os_lock_corruption_abort
0000000000003c84 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_lock
0000000000003cc0 (__TEXT,__text) non-external __os_lock_handoff_lock_slow
0000000000003fc8 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_trylock
0000000000003cb4 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_unlock
0000000000005bd8 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_lock
0000000000005bfc (__TEXT,__text) non-external (was a private external) __os_lock_nospin_trylock
0000000000005c1c (__TEXT,__text) non-external (was a private external) __os_lock_nospin_unlock
0000000000006314 (__TEXT,__text) non-external __os_lock_recursive_abort
0000000000003dc8 (__TEXT,__text) non-external (was a private external) __os_lock_spin_lock
0000000000005af4 (__TEXT,__text) non-external (was a private external) __os_lock_spin_trylock
0000000000003de8 (__TEXT,__text) non-external (was a private external) __os_lock_spin_unlock
00000000000066b8 (__TEXT,__const) non-external __os_lock_type_base
00000000000081b0 (__DATA_CONST,__const) external __os_lock_type_eliding
00000000000081d0 (__DATA_CONST,__const) external __os_lock_type_handoff
0000000000008210 (__DATA_CONST,__const) external __os_lock_type_nospin
00000000000081b0 (__DATA_CONST,__const) external __os_lock_type_spin
00000000000081b0 (__DATA_CONST,__const) external __os_lock_type_transactional
00000000000081f0 (__DATA_CONST,__const) external __os_lock_type_unfair
0000000000003da0 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_lock
0000000000005b98 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_trylock
0000000000005bb8 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_unlock
0000000000004d8c (__TEXT,__text) external __os_log_simple
0000000000004f78 (__TEXT,__text) external __os_log_simple_parse
0000000000004f48 (__TEXT,__text) external __os_log_simple_parse_identifiers
0000000000004ee0 (__TEXT,__text) external __os_log_simple_parse_message
0000000000004ea4 (__TEXT,__text) external __os_log_simple_parse_subsystem
0000000000004f10 (__TEXT,__text) external __os_log_simple_parse_timestamp
0000000000004e6c (__TEXT,__text) external __os_log_simple_parse_type
00000000000050ac (__TEXT,__text) external __os_log_simple_reinit_4launchd
0000000000006178 (__TEXT,__text) non-external __os_log_simple_reinit_4launchd.cold.1
0000000000004c18 (__TEXT,__text) external __os_log_simple_send
0000000000004e44 (__TEXT,__text) external __os_log_simple_shim
0000000000001c28 (__TEXT,__text) external __os_nospin_lock_lock
0000000000003100 (__TEXT,__text) non-external __os_nospin_lock_lock_slow
0000000000001c64 (__TEXT,__text) external __os_nospin_lock_trylock
0000000000001c48 (__TEXT,__text) external __os_nospin_lock_unlock
00000000000031f8 (__TEXT,__text) non-external __os_nospin_lock_unlock_slow
0000000000001120 (__TEXT,__text) external __os_once
0000000000001180 (__TEXT,__text) non-external __os_once_callout
0000000000003058 (__TEXT,__text) non-external __os_once_gate_broadcast
00000000000062ec (__TEXT,__text) non-external (was a private external) __os_once_gate_corruption_abort
000000000000629c (__TEXT,__text) non-external (was a private external) __os_once_gate_recursive_abort
00000000000062c4 (__TEXT,__text) non-external (was a private external) __os_once_gate_unowned_abort
0000000000002edc (__TEXT,__text) non-external __os_once_gate_wait
0000000000002dfc (__TEXT,__text) external __os_semaphore_create
00000000000063d4 (__TEXT,__text) non-external __os_semaphore_create.cold.1
00000000000063fc (__TEXT,__text) non-external __os_semaphore_create.cold.2
0000000000002e48 (__TEXT,__text) external __os_semaphore_dispose
0000000000006424 (__TEXT,__text) non-external __os_semaphore_dispose.cold.1
0000000000003e5c (__TEXT,__text) external __os_semaphore_signal
000000000000644c (__TEXT,__text) non-external __os_semaphore_signal.cold.1
0000000000003e78 (__TEXT,__text) external __os_semaphore_wait
0000000000006474 (__TEXT,__text) non-external __os_semaphore_wait.cold.1
0000000000006240 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_corruption_abort
00000000000018f8 (__TEXT,__text) non-external __os_unfair_lock_lock_slow
00000000000061f0 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_recursive_abort
0000000000001a64 (__TEXT,__text) non-external __os_unfair_lock_unlock_slow
0000000000006218 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_unowned_abort
                 (undefined) external __os_xbs_chrooted (from libsystem_kernel)
0000000000003480 (__TEXT,__text) external __platform_bzero
0000000000005ccc (__TEXT,__text) external __platform_memccpy
00000000000013c0 (__TEXT,__text) external __platform_memchr
00000000000014d0 (__TEXT,__text) external __platform_memcmp
0000000000005d60 (__TEXT,__text) external __platform_memcmp_zero_aligned8
00000000000037d0 (__TEXT,__text) external __platform_memmove
00000000000034f0 (__TEXT,__text) external __platform_memset
0000000000001700 (__TEXT,__text) external __platform_memset_pattern16
00000000000016c0 (__TEXT,__text) external __platform_memset_pattern4
00000000000016e0 (__TEXT,__text) external __platform_memset_pattern8
0000000000003b80 (__TEXT,__text) external __platform_strchr
0000000000000db0 (__TEXT,__text) external __platform_strcmp
0000000000001360 (__TEXT,__text) external __platform_strcpy
0000000000008128 (__DATA_CONST,__const) non-external __platform_string_functions
0000000000001e30 (__TEXT,__text) external __platform_strlcat
0000000000001648 (__TEXT,__text) external __platform_strlcpy
00000000000010c0 (__TEXT,__text) external __platform_strlen
0000000000000ef0 (__TEXT,__text) external __platform_strncmp
0000000000001b90 (__TEXT,__text) external __platform_strncpy
0000000000001020 (__TEXT,__text) external __platform_strnlen
0000000000001b0c (__TEXT,__text) external __platform_strstr
0000000000006088 (__TEXT,__text) non-external (was a private external) __setcontext
0000000000001cfc (__TEXT,__text) external __setjmp
0000000000003c2c (__TEXT,__text) non-external (was a private external) __sigtramp
00000000000040c4 (__TEXT,__text) non-external (was a private external) __sigunaltstack
0000000000005118 (__TEXT,__text) non-external __simple_asl_connect
0000000000002b7c (__TEXT,__text) non-external __simple_asl_connect_once
0000000000002878 (__TEXT,__text) non-external __simple_asl_escape_key
00000000000028ec (__TEXT,__text) non-external __simple_asl_escape_val
00000000000051c4 (__TEXT,__text) external __simple_asl_get_fd
00000000000035f0 (__TEXT,__text) non-external (was a private external) __simple_asl_init
00000000000037b8 (__TEXT,__text) non-external __simple_asl_init_context
0000000000002650 (__TEXT,__text) external __simple_asl_log
00000000000026b8 (__TEXT,__text) external __simple_asl_log_prog
00000000000026e4 (__TEXT,__text) external __simple_asl_msg_new
000000000000272c (__TEXT,__text) external __simple_asl_msg_set
00000000000029e0 (__TEXT,__text) external __simple_asl_send
0000000000005340 (__TEXT,__text) external __simple_dprintf
000000000000496c (__TEXT,__text) external __simple_esappend
000000000000284c (__TEXT,__text) external __simple_esprintf
00000000000033d4 (__TEXT,__text) external __simple_getenv
00000000000054a4 (__TEXT,__text) external __simple_put
00000000000054ac (__TEXT,__text) external __simple_putline
0000000000001ec8 (__TEXT,__text) external __simple_salloc
000000000000294c (__TEXT,__text) external __simple_sappend
00000000000022d4 (__TEXT,__text) external __simple_sfree
0000000000001f68 (__TEXT,__text) external __simple_sprintf
00000000000029b0 (__TEXT,__text) external __simple_sresize
00000000000022c4 (__TEXT,__text) external __simple_string
0000000000005248 (__TEXT,__text) external __simple_vdprintf
00000000000040fc (__TEXT,__text) external __simple_vesprintf
0000000000001f44 (__TEXT,__text) external __simple_vsprintf
0000000000003bf8 (__TEXT,__text) external __spin_lock
0000000000005adc (__TEXT,__text) external __spin_lock_try
0000000000003c14 (__TEXT,__text) external __spin_unlock
                 (undefined) external _close (from libsystem_kernel)
0000000000010000 (__DATA_DIRTY,__common) non-external (was a private external) _commpage_pfz_base
                 (undefined) external _connect (from libsystem_kernel)
00000000000059ec (__TEXT,__text) non-external _cpus_that_need_dsb_for_ic_ivau
0000000000002354 (__TEXT,__text) non-external _dec
                 (undefined) external _fcntl (from libsystem_kernel)
000000000000122c (__TEXT,__text) external _ffs
0000000000001244 (__TEXT,__text) external _ffsl
0000000000001244 (__TEXT,__text) external _ffsll
000000000000125c (__TEXT,__text) external _fls
000000000000126c (__TEXT,__text) external _flsl
000000000000126c (__TEXT,__text) external _flsll
000000000000c000 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
000000000000610c (__TEXT,__text) external _getcontext
                 (undefined) external _getgid (from libsystem_kernel)
                 (undefined) external _getpid (from libsystem_kernel)
                 (undefined) external _getrlimit (from libsystem_kernel)
                 (undefined) external _getuid (from libsystem_kernel)
0000000000001f9c (__TEXT,__text) non-external _hex
0000000000001df4 (__TEXT,__text) external _longjmp
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_continuous_time (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _mach_timebase_info (from libsystem_kernel)
                 (undefined) external _mach_vm_deallocate (from libsystem_kernel)
                 (undefined) external _mach_vm_map (from libsystem_kernel)
0000000000005ecc (__TEXT,__text) external _makecontext
0000000000005cc8 (__TEXT,__text) non-external (was a private external) _memset
00000000000054f0 (__TEXT,__text) non-external _oct
0000000000003c78 (__TEXT,__text) external _os_lock_lock
0000000000003fbc (__TEXT,__text) external _os_lock_trylock
0000000000003ca8 (__TEXT,__text) external _os_lock_unlock
0000000000004ad8 (__TEXT,__text) external _os_log_simple_now
0000000000004adc (__TEXT,__text) external _os_log_simple_type_from_asl
0000000000006668 (__TEXT,__const) non-external _os_log_simple_type_from_asl._level2ostype
0000000000001880 (__TEXT,__text) external _os_unfair_lock_assert_not_owner
0000000000006364 (__TEXT,__text) non-external _os_unfair_lock_assert_not_owner.cold.1
0000000000001200 (__TEXT,__text) external _os_unfair_lock_assert_owner
000000000000633c (__TEXT,__text) non-external _os_unfair_lock_assert_owner.cold.1
00000000000011dc (__TEXT,__text) external _os_unfair_lock_lock
0000000000005b10 (__TEXT,__text) external _os_unfair_lock_lock_no_tsd
0000000000000d20 (__TEXT,__text) external _os_unfair_lock_lock_with_options
0000000000001c0c (__TEXT,__text) external _os_unfair_lock_trylock
0000000000000d40 (__TEXT,__text) external _os_unfair_lock_unlock
0000000000005b28 (__TEXT,__text) external _os_unfair_lock_unlock_no_tsd
0000000000000d5c (__TEXT,__text) external _os_unfair_recursive_lock_lock_with_options
0000000000005b3c (__TEXT,__text) external _os_unfair_recursive_lock_owned
0000000000002db8 (__TEXT,__text) external _os_unfair_recursive_lock_trylock
0000000000001c80 (__TEXT,__text) external _os_unfair_recursive_lock_tryunlock4objc
0000000000000e88 (__TEXT,__text) external _os_unfair_recursive_lock_unlock
0000000000005b58 (__TEXT,__text) external _os_unfair_recursive_lock_unlock_forked_child
000000000000638c (__TEXT,__text) non-external _os_unfair_recursive_lock_unlock_forked_child.cold.1
0000000000005f9c (__TEXT,__text) non-external (was a private external) _populate_signal_stack_context
                 (undefined) external _proc_pidinfo (from libsystem_kernel)
                 (undefined) external _semaphore_create (from libsystem_kernel)
                 (undefined) external _semaphore_destroy (from libsystem_kernel)
                 (undefined) external _semaphore_signal (from libsystem_kernel)
                 (undefined) external _semaphore_wait (from libsystem_kernel)
0000000000006034 (__TEXT,__text) external _setcontext
0000000000001da8 (__TEXT,__text) external _setjmp
0000000000001de8 (__TEXT,__text) external _siglongjmp
                 (undefined) external _sigprocmask (from libsystem_kernel)
0000000000001d9c (__TEXT,__text) external _sigsetjmp
                 (undefined) external _socket (from libsystem_kernel)
0000000000003bf8 (__TEXT,__text) external _spin_lock
0000000000005adc (__TEXT,__text) external _spin_lock_try
0000000000003c14 (__TEXT,__text) external _spin_unlock
0000000000005e18 (__TEXT,__text) external _swapcontext
00000000000058f8 (__TEXT,__text) external _sys_cache_control
0000000000005a0c (__TEXT,__text) external _sys_dcache_flush
0000000000005940 (__TEXT,__text) external _sys_icache_invalidate
                 (undefined) external _thread_switch (from libsystem_kernel)
0000000000002bdc (__TEXT,__text) non-external _udec
                 (undefined) external _vm_allocate (from libsystem_kernel)
                 (undefined) external _vm_deallocate (from libsystem_kernel)
                 (undefined) external _vm_page_size (from libsystem_kernel)
                 (undefined) external _write (from libsystem_kernel)
00000000000056a8 (__TEXT,__text) non-external _ydec
