00007ff840096be8 (__DATA,__data) non-external _C
00007ff800a7c4fc (__TEXT,__text) non-external __UTF8_mbrtowc
00007ff800a7c788 (__TEXT,__text) non-external __UTF8_mbsinit
00007ff800a7c7a2 (__TEXT,__text) non-external __UTF8_mbsnrtowcs
00007ff800a7c6dc (__TEXT,__text) non-external __UTF8_wcrtomb
00007ff800a7c91d (__TEXT,__text) non-external __UTF8_wcsnrtombs
00007ff800a6b91e (__TEXT,__text) external ___Balloc_D2A
00007ff800a6ba67 (__TEXT,__text) external ___Bfree_D2A
00007ff800a5c6aa (__TEXT,__text) external ____mb_cur_max
00007ff800a5c6d8 (__TEXT,__text) external ____mb_cur_max_l
00007ff800a7b5a3 (__TEXT,__text) external ____runetype
00007ff800a7b4f6 (__TEXT,__text) external ____runetype_l
00007ff800a7c3ba (__TEXT,__text) external ____tolower
00007ff800a7c315 (__TEXT,__text) external ____tolower_l
00007ff800a7c487 (__TEXT,__text) external ____toupper
00007ff800a7c3e2 (__TEXT,__text) external ____toupper_l
00007ff800abe67e (__TEXT,__text) non-external (was a private external) ___abort
00007ff800a66599 (__TEXT,__text) external ___add_ovflpage
00007ff800a66316 (__TEXT,__text) external ___addel
00007ff800a6c52e (__TEXT,__text) external ___any_on_D2A
00007ff800abd98a (__TEXT,__text) external ___assert_rtn
00007ff8400a4438 (__DATA,__bss) non-external ___atexit
00007ff800aa0041 (__TEXT,__text) non-external (was a private external) ___atexit_init
00007ff8400a4440 (__DATA,__bss) non-external ___atexit_new_registration
00007ff800a6c0f3 (__TEXT,__text) external ___b2d_D2A
00007ff800a64c34 (__TEXT,__text) external ___big_delete
00007ff800a64974 (__TEXT,__text) external ___big_insert
00007ff800a65264 (__TEXT,__text) external ___big_keydata
00007ff800a64ef7 (__TEXT,__text) external ___big_return
00007ff800a653d9 (__TEXT,__text) external ___big_split
00007ff800ac00e0 (__TEXT,__const) external ___bigtens_D2A
00007ff800a5f83d (__TEXT,__text) external ___bt_close
00007ff800a6358b (__TEXT,__text) external ___bt_cmp
00007ff800a6362b (__TEXT,__text) external ___bt_defcmp
00007ff800a63672 (__TEXT,__text) external ___bt_defpfx
00007ff800a5fca6 (__TEXT,__text) external ___bt_delete
00007ff800a602fd (__TEXT,__text) external ___bt_dleaf
00007ff800a61187 (__TEXT,__text) external ___bt_fd
00007ff800a621da (__TEXT,__text) non-external ___bt_first
00007ff800a61549 (__TEXT,__text) external ___bt_free
00007ff800a6095b (__TEXT,__text) external ___bt_get
00007ff800a6157a (__TEXT,__text) external ___bt_new
00007ff800a60a38 (__TEXT,__text) external ___bt_open
00007ff800a606c7 (__TEXT,__text) non-external ___bt_pdelete
00007ff800a5f9d7 (__TEXT,__text) external ___bt_pgin
00007ff800a5fb60 (__TEXT,__text) external ___bt_pgout
00007ff800a615cd (__TEXT,__text) external ___bt_put
00007ff800a608d2 (__TEXT,__text) non-external ___bt_relink
00007ff800a633d9 (__TEXT,__text) external ___bt_ret
00007ff800a61b4a (__TEXT,__text) external ___bt_search
00007ff800a61db4 (__TEXT,__text) external ___bt_seq
00007ff800a62190 (__TEXT,__text) external ___bt_setcur
00007ff800a623b1 (__TEXT,__text) external ___bt_split
00007ff800a5ffa4 (__TEXT,__text) non-external ___bt_stkacq
00007ff800a5f909 (__TEXT,__text) external ___bt_sync
00007ff800a659a7 (__TEXT,__text) external ___buf_free
00007ff800a6596f (__TEXT,__text) non-external (was a private external) ___buf_init
00007ff840096bf0 (__DATA,__data) non-external ___c_locale
00007ff800aae9cc (__TEXT,__text) non-external ___calc_left_pad
00007ff800a644c2 (__TEXT,__text) external ___call_hash
00007ff840097c80 (__DATA,__data) non-external (was a private external) ___chk_assert_no_overlap
00007ff800abca53 (__TEXT,__text) non-external (was a private external) ___chk_fail_overflow
00007ff800abca65 (__TEXT,__text) non-external (was a private external) ___chk_fail_overlap
00007ff800abca4d (__TEXT,__text) non-external (was a private external) ___chk_init
00007ff800abca77 (__TEXT,__text) non-external (was a private external) ___chk_overlap
00007ff8400a4580 (__DATA,__common) external ___cleanup
00007ff800a6bf97 (__TEXT,__text) external ___cmp_D2A
00007ff800a7768d (__TEXT,__text) non-external (was a private external) ___collate_collating_symbol
00007ff800a77838 (__TEXT,__text) non-external (was a private external) ___collate_equiv_class
00007ff800a779b1 (__TEXT,__text) external ___collate_equiv_match
00007ff800a77e0e (__TEXT,__text) non-external (was a private external) ___collate_equiv_value
00007ff800a76eae (__TEXT,__text) non-external (was a private external) ___collate_err
00007ff8400972b8 (__DATA,__data) external ___collate_load_error
00007ff800a765bd (__TEXT,__text) non-external (was a private external) ___collate_load_tables
00007ff8400998c0 (__DATA,__bss) non-external ___collate_load_tables.cache
00007ff800a771c0 (__TEXT,__text) external ___collate_lookup
00007ff800a76f69 (__TEXT,__text) external ___collate_lookup_l
00007ff800a7738d (__TEXT,__text) non-external (was a private external) ___collate_lookup_which
00007ff800a7727e (__TEXT,__text) non-external (was a private external) ___collate_mbstowcs
00007ff800a77f46 (__TEXT,__text) non-external (was a private external) ___collate_range_cmp
00007ff8400998c8 (__DATA,__bss) non-external ___collate_range_cmp.s1
00007ff8400998d0 (__DATA,__bss) non-external ___collate_range_cmp.s2
00007ff800a76c97 (__TEXT,__text) non-external (was a private external) ___collate_substitute
00007ff800a76e5c (__TEXT,__text) non-external (was a private external) ___collate_wcsdup
00007ff800a7744e (__TEXT,__text) non-external (was a private external) ___collate_xfrm
                 (undefined) external ___commpage_gettimeofday (from libsystem_kernel)
00007ff800a556e8 (__TEXT,__text) non-external (was a private external) ___confstr_init
00007ff800a6c4b5 (__TEXT,__text) external ___copybits_D2A
00007ff800aa824a (__TEXT,__text) non-external ___cvt
00007ff8400a44b0 (__DATA,__bss) non-external ___cvt.s
00007ff800aa01f2 (__TEXT,__text) external ___cxa_atexit
00007ff800aa0421 (__TEXT,__text) external ___cxa_finalize
00007ff800aa0225 (__TEXT,__text) external ___cxa_finalize_ranges
00007ff800a6c1af (__TEXT,__text) external ___d2b_D2A
00007ff8400a4530 (__DATA,__common) non-external (was a private external) ___darwin_altzone
00007ff800a6375b (__TEXT,__text) non-external ___dberr
00007ff800a63736 (__TEXT,__text) external ___dbpanic
00007ff8400971c8 (__DATA,__data) external ___default_hash
00007ff800a65bc4 (__TEXT,__text) external ___delpair
00007ff800a7bc11 (__TEXT,__text) non-external (was a private external) ___detect_path_locale
00007ff800a6bfdf (__TEXT,__text) external ___diff_D2A
00007ff840099610 (__DATA,__bss) non-external ___dirhelper_func
00007ff800a6973c (__TEXT,__text) external ___dtoa
00007ff8400a45a0 (__DATA,__common) non-external (was a private external) ___env_owned
00007ff800aa0753 (__TEXT,__text) non-external (was a private external) ___environ_lock_fork_child
00007ff8400a4444 (__DATA,__bss) non-external ___environ_lock_obj
                 (undefined) external ___error (from libsystem_kernel)
00007ff800a9cf5d (__TEXT,__text) non-external (was a private external) ___errstr
00007ff800a83830 (__TEXT,__text) non-external ___evpinit
                 (undefined) external ___exit (from libsystem_kernel)
00007ff800a6436d (__TEXT,__text) external ___expand_table
00007ff84009b350 (__DATA,__bss) non-external ___fallback_evp
                 (undefined) external ___fcntl (from libsystem_kernel)
                 (undefined) external ___fcntl_nocancel (from libsystem_kernel)
00007ff800a8041b (__TEXT,__text) external ___fflush
00007ff800a80819 (__TEXT,__text) external ___fgetwc
00007ff800a840b8 (__TEXT,__text) non-external (was a private external) ___find_arguments
00007ff800a64d6a (__TEXT,__text) external ___find_bigpair
00007ff800a64e80 (__TEXT,__text) external ___find_last_page
00007ff800a85198 (__TEXT,__text) non-external (was a private external) ___find_warguments
00007ff800aa0697 (__TEXT,__text) non-external (was a private external) ___findenv_locked
00007ff800a78ae6 (__TEXT,__text) external ___fix_locale_grouping_str
00007ff800a78b9e (__TEXT,__text) non-external (was a private external) ___fix_nogrouping
                 (undefined) external ___fork (from libsystem_kernel)
                 (undefined) external ___fpclassifyd (from libsystem_m)
                 (undefined) external ___fpclassifyl (from libsystem_m)
00007ff800a81505 (__TEXT,__text) non-external (was a private external) ___fputwc
00007ff800a819f3 (__TEXT,__text) external ___fread
00007ff800a66e7b (__TEXT,__text) external ___free_ovflpage
00007ff800a695da (__TEXT,__text) external ___freedtoa
00007ff840097c84 (__DATA,__data) non-external (was a private external) ___ftell_conformance_fix
00007ff800a56389 (__TEXT,__text) non-external ___fts_open
00007ff800a6a670 (__TEXT,__text) external ___gdtoa
00007ff8400a44e0 (__DATA,__common) external ___gdtoa_locks
00007ff800a65568 (__TEXT,__text) external ___get_buf
00007ff800a79613 (__TEXT,__text) non-external (was a private external) ___get_current_messages_locale
00007ff800a79b27 (__TEXT,__text) non-external (was a private external) ___get_current_monetary_locale
00007ff800a79df6 (__TEXT,__text) non-external (was a private external) ___get_current_numeric_locale
00007ff800a9c72f (__TEXT,__text) non-external (was a private external) ___get_current_time_locale
00007ff800a7ba57 (__TEXT,__text) non-external (was a private external) ___get_locale_env
00007ff800a6693c (__TEXT,__text) external ___get_page
00007ff800a70da7 (__TEXT,__text) non-external ___getcwd
                 (undefined) external ___getdirentries64 (from libsystem_kernel)
00007ff84009b330 (__DATA,__bss) non-external ___getevp.predicate
                 (undefined) external ___gettimeofday (from libsystem_kernel)
00007ff840096618 (__DATA,__data) non-external (was a private external) ___global_locale
00007ff800a9fdbe (__TEXT,__text) non-external (was a private external) ___guard_setup
00007ff800a63768 (__TEXT,__text) external ___hash_open
00007ff800a68f7c (__TEXT,__text) external ___hdtoa
00007ff800aa8915 (__TEXT,__text) non-external (was a private external) ___heapsort_r
00007ff800a6bbda (__TEXT,__text) external ___hi0bits_D2A
00007ff800a692ee (__TEXT,__text) external ___hldtoa
00007ff800a6bc46 (__TEXT,__text) external ___i2b_D2A
00007ff800a66db0 (__TEXT,__text) external ___ibitmap
00007ff800aa607e (__TEXT,__text) non-external (was a private external) ___init__env_owned_locked
00007ff800a7b0ce (__TEXT,__text) external ___isctype
00007ff800a7b065 (__TEXT,__text) external ___istype
00007ff800a7b227 (__TEXT,__text) external ___istype_l
00007ff840097231 (__DATA,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
                 (undefined) external ___kill (from libsystem_kernel)
00007ff800a7939e (__TEXT,__text) non-external (was a private external) ___ldpart_free_extra
00007ff800aa8ba0 (__TEXT,__text) external ___ldtoa
00007ff800a5ed1e (__TEXT,__text) external ___libc_init
00007ff800a6bab2 (__TEXT,__text) external ___lo0bits_D2A
00007ff800a8385b (__TEXT,__text) non-external ___loadevp
00007ff840096be0 (__DATA,__data) non-external (was a private external) ___locale_key
00007ff800a65ba8 (__TEXT,__text) external ___log2
00007ff800ac0f20 (__TEXT,__const) non-external (was a private external) ___lowercase_hex
00007ff800a6be9d (__TEXT,__text) external ___lshift_D2A
00007ff800a7b014 (__TEXT,__text) external ___maskrune
00007ff800a7b1d3 (__TEXT,__text) external ___maskrune_l
00007ff800a6c478 (__TEXT,__text) external ___match_D2A
00007ff8400972c0 (__DATA,__data) external ___mb_cur_max
00007ff8400972c4 (__DATA,__data) external ___mb_sb_limit
00007ff800a92866 (__TEXT,__text) non-external ___mbsconv
00007ff800a7a38b (__TEXT,__text) non-external (was a private external) ___mbsnrtowcs_std
00007ff800abcc47 (__TEXT,__text) external ___memccpy_chk
00007ff800abd0bb (__TEXT,__text) external ___memcpy_chk
00007ff800abcbe2 (__TEXT,__text) external ___memmove_chk
00007ff800abcaa3 (__TEXT,__text) external ___memset_chk
00007ff800a793b2 (__TEXT,__text) non-external (was a private external) ___messages_load_locale
00007ff8400998d8 (__DATA,__bss) non-external ___messages_load_locale.cache
00007ff800a79636 (__TEXT,__text) non-external (was a private external) ___monetary_load_locale
00007ff8400998e8 (__DATA,__bss) non-external ___monetary_load_locale.cache
00007ff800a6bc69 (__TEXT,__text) external ___mult_D2A
00007ff800a6bb41 (__TEXT,__text) external ___multadd_D2A
00007ff800a7fbf8 (__TEXT,__text) non-external ___nls_free_resources
00007ff800ac08b1 (__TEXT,__const) non-external ___nogrouping
00007ff800a69597 (__TEXT,__text) external ___nrv_alloc_D2A
00007ff800a5c3d0 (__TEXT,__text) non-external (was a private external) ___numeric_ctype
00007ff800a79b4a (__TEXT,__text) non-external (was a private external) ___numeric_load_locale
00007ff8400998f8 (__DATA,__bss) non-external ___numeric_load_locale.cache
                 (undefined) external ___open (from libsystem_kernel)
                 (undefined) external ___open_nocancel (from libsystem_kernel)
00007ff800a7bca4 (__TEXT,__text) non-external (was a private external) ___open_path_locale
00007ff800a7162d (__TEXT,__text) external ___opendir2
00007ff800a7173c (__TEXT,__text) non-external ___opendir_common
00007ff800a61487 (__TEXT,__text) external ___ovfl_delete
00007ff800a612b4 (__TEXT,__text) external ___ovfl_get
00007ff800a6138f (__TEXT,__text) external ___ovfl_put
00007ff800a8e70c (__TEXT,__text) non-external (was a private external) ___parsefloat_buf
00007ff84009b378 (__DATA,__bss) non-external ___parsefloat_buf.bsiz
00007ff84009b370 (__DATA,__bss) non-external ___parsefloat_buf.parsefloat_tsd_key
00007ff8400978a0 (__DATA,__data) non-external ___parsefloat_buf.parsefloat_tsd_lock
00007ff800a79129 (__TEXT,__text) non-external (was a private external) ___part_load_locale
                 (undefined) external ___platform_sigaction (from libsystem_platform)
00007ff8400a4500 (__DATA,__common) non-external (was a private external) ___popen_pidlist
00007ff840097238 (__DATA,__data) non-external (was a private external) ___popen_pidlist_mutex
00007ff800a6bd96 (__TEXT,__text) external ___pow5mult_D2A
00007ff800ac00d0 (__TEXT,__const) non-external ___pow5mult_D2A.p05
00007ff800aabb9d (__TEXT,__text) non-external (was a private external) ___printf_arginfo_chr
00007ff800abe9ef (__TEXT,__text) non-external ___printf_arginfo_chr.cold.1
00007ff800aa9dea (__TEXT,__text) non-external (was a private external) ___printf_arginfo_errno
00007ff800abe87c (__TEXT,__text) non-external ___printf_arginfo_errno.cold.1
00007ff800aa9ed8 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_float
00007ff800abe8a0 (__TEXT,__text) non-external ___printf_arginfo_float.cold.1
00007ff800aaab20 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_hexdump
00007ff800abe8e6 (__TEXT,__text) non-external ___printf_arginfo_hexdump.cold.1
00007ff800aaada2 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_int
00007ff800abe907 (__TEXT,__text) non-external ___printf_arginfo_int.cold.1
00007ff800aac30c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_n
00007ff800abea57 (__TEXT,__text) non-external ___printf_arginfo_n.cold.1
00007ff800aac2ee (__TEXT,__text) non-external (was a private external) ___printf_arginfo_pct
00007ff800aab556 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_ptr
00007ff800abe98a (__TEXT,__text) non-external ___printf_arginfo_ptr.cold.1
00007ff800aab5fb (__TEXT,__text) non-external (was a private external) ___printf_arginfo_quote
00007ff800abe9ad (__TEXT,__text) non-external ___printf_arginfo_quote.cold.1
00007ff800aab897 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_str
00007ff800abe9ce (__TEXT,__text) non-external ___printf_arginfo_str.cold.1
00007ff800aabd25 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_time
00007ff800abea12 (__TEXT,__text) non-external ___printf_arginfo_time.cold.1
00007ff800aac01c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_vis
00007ff800abea33 (__TEXT,__text) non-external ___printf_arginfo_vis.cold.1
00007ff800aac399 (__TEXT,__text) non-external (was a private external) ___printf_comp
00007ff800aacaee (__TEXT,__text) non-external (was a private external) ___printf_exec
00007ff800aac140 (__TEXT,__text) non-external (was a private external) ___printf_flush
00007ff800a87be7 (__TEXT,__text) non-external (was a private external) ___printf_is_memory_read_only
00007ff800aac262 (__TEXT,__text) non-external (was a private external) ___printf_out
00007ff800aac1ee (__TEXT,__text) non-external (was a private external) ___printf_pad
00007ff800aac173 (__TEXT,__text) non-external (was a private external) ___printf_puts
00007ff800aabbe0 (__TEXT,__text) non-external (was a private external) ___printf_render_chr
00007ff800aa9e09 (__TEXT,__text) non-external (was a private external) ___printf_render_errno
00007ff800aa9f14 (__TEXT,__text) non-external (was a private external) ___printf_render_float
00007ff800abe8c3 (__TEXT,__text) non-external ___printf_render_float.cold.1
00007ff800aaab47 (__TEXT,__text) non-external (was a private external) ___printf_render_hexdump
00007ff800aaae23 (__TEXT,__text) non-external (was a private external) ___printf_render_int
00007ff800abe92a (__TEXT,__text) non-external ___printf_render_int.cold.1
00007ff800abe967 (__TEXT,__text) non-external ___printf_render_int.cold.2
00007ff800aac32b (__TEXT,__text) non-external (was a private external) ___printf_render_n
00007ff800aac2f6 (__TEXT,__text) non-external (was a private external) ___printf_render_pct
00007ff800aab583 (__TEXT,__text) non-external (was a private external) ___printf_render_ptr
00007ff800aab61a (__TEXT,__text) non-external (was a private external) ___printf_render_quote
00007ff800aab8cd (__TEXT,__text) non-external (was a private external) ___printf_render_str
00007ff800aabd44 (__TEXT,__text) non-external (was a private external) ___printf_render_time
00007ff800aac03b (__TEXT,__text) non-external (was a private external) ___printf_render_vis
00007ff800a7080a (__TEXT,__text) non-external (was a private external) ___private_getcwd
00007ff840099798 (__DATA,__bss) non-external ___progname_pointer
                 (undefined) external ___pthread_workqueue_setkill (from libsystem_pthread)
00007ff800a66ad4 (__TEXT,__text) external ___put_page
00007ff800ac096f (__TEXT,__const) non-external (was a private external) ___puts_null__
00007ff800a695fb (__TEXT,__text) external ___quorem_D2A
00007ff800a6c3cc (__TEXT,__text) external ___ratio_D2A
00007ff800a6771f (__TEXT,__text) external ___rec_close
00007ff800a67a37 (__TEXT,__text) external ___rec_delete
00007ff800a67b3f (__TEXT,__text) external ___rec_dleaf
00007ff800a68520 (__TEXT,__text) external ___rec_fd
00007ff800a67fa3 (__TEXT,__text) external ___rec_fmap
00007ff800a67d36 (__TEXT,__text) external ___rec_fpipe
00007ff800a67c52 (__TEXT,__text) external ___rec_get
00007ff800a6884c (__TEXT,__text) external ___rec_iput
00007ff800a68179 (__TEXT,__text) external ___rec_open
00007ff800a68570 (__TEXT,__text) external ___rec_put
00007ff800a68df0 (__TEXT,__text) external ___rec_ret
00007ff800a68a9c (__TEXT,__text) external ___rec_search
00007ff800a68c3c (__TEXT,__text) external ___rec_seq
00007ff800a677de (__TEXT,__text) external ___rec_sync
00007ff800a680b6 (__TEXT,__text) external ___rec_vmap
00007ff800a67e64 (__TEXT,__text) external ___rec_vpipe
00007ff800a65a8a (__TEXT,__text) external ___reclaim_buf
                 (undefined) external ___recvfrom (from libsystem_kernel)
                 (undefined) external ___recvfrom_nocancel (from libsystem_kernel)
00007ff800a6b81c (__TEXT,__text) external ___rshift_D2A
00007ff800a6955c (__TEXT,__text) external ___rv_alloc_D2A
00007ff800a6c2fd (__TEXT,__text) external ___s2b_D2A
00007ff8400973c0 (__DATA,__data) external ___sF
00007ff840097590 (__DATA,__data) non-external ___sFX
00007ff800a86b9f (__TEXT,__text) external ___sclose
00007ff840099b30 (__DATA,__bss) non-external ___scounted
00007ff8400a4518 (__DATA,__common) external ___sdidinit
                 (undefined) external ___semwait_signal (from libsystem_kernel)
                 (undefined) external ___semwait_signal_nocancel (from libsystem_kernel)
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sendto_nocancel (from libsystem_kernel)
00007ff800aa60d6 (__TEXT,__text) non-external (was a private external) ___setenv_locked
00007ff800a7bdba (__TEXT,__text) non-external (was a private external) ___setrunelocale
00007ff840099ad8 (__DATA,__bss) non-external ___setrunelocale.CachedRuneLocale
00007ff840099ae0 (__DATA,__bss) non-external ___setrunelocale.cache_lock
                 (undefined) external ___settimeofday (from libsystem_kernel)
00007ff800aaea66 (__TEXT,__text) non-external ___setup_vars
00007ff800a810ce (__TEXT,__text) external ___sflags
00007ff800a802b1 (__TEXT,__text) external ___sflush
00007ff800a80c34 (__TEXT,__text) external ___sfp
00007ff800a8100d (__TEXT,__text) non-external (was a private external) ___sfprelease
00007ff800a8285b (__TEXT,__text) external ___sfvwrite
00007ff840097830 (__DATA,__data) external ___sglue
                 (undefined) external ___sigaltstack (from libsystem_kernel)
00007ff800a80df8 (__TEXT,__text) external ___sinit
00007ff800a80485 (__TEXT,__text) external ___slbexpand
00007ff800a83543 (__TEXT,__text) external ___smakebuf
00007ff800abcc94 (__TEXT,__text) external ___snprintf_chk
00007ff800abcd41 (__TEXT,__text) external ___snprintf_object_size_chk
00007ff800a65d01 (__TEXT,__text) external ___split_page
00007ff800a92f57 (__TEXT,__text) non-external ___sprint
00007ff800abcf14 (__TEXT,__text) external ___sprintf_chk
00007ff800abcfe7 (__TEXT,__text) external ___sprintf_object_size_chk
00007ff800a86b6f (__TEXT,__text) external ___sread
00007ff800a86201 (__TEXT,__text) external ___srefill
00007ff800a86050 (__TEXT,__text) non-external (was a private external) ___srefill0
00007ff800a861a8 (__TEXT,__text) non-external (was a private external) ___srefill1
00007ff800a862fd (__TEXT,__text) external ___srget
00007ff800a86b91 (__TEXT,__text) external ___sseek
00007ff800a9ff31 (__TEXT,__text) external ___stack_chk_fail
00007ff8400a4540 (__DATA,__common) external ___stack_chk_guard
00007ff840097810 (__DATA,__data) external ___stderrp
00007ff840097800 (__DATA,__data) external ___stdinp
00007ff800abd143 (__TEXT,__text) non-external (was a private external) ___stdio_init
00007ff84009b340 (__DATA,__bss) non-external ___stdout_evp
00007ff840097808 (__DATA,__data) external ___stdoutp
00007ff800abcebf (__TEXT,__text) external ___stpcpy_chk
00007ff800abd0cd (__TEXT,__text) external ___stpncpy_chk
00007ff800abcdfb (__TEXT,__text) external ___strcat_chk
00007ff800a6c2da (__TEXT,__text) external ___strcp_D2A
00007ff800abcbf4 (__TEXT,__text) external ___strcpy_chk
00007ff840099b38 (__DATA,__bss) non-external ___stream_max
00007ff8400a4418 (__DATA,__bss) non-external ___strerror_ebuf
00007ff800abc97d (__TEXT,__text) external ___strlcat_chk
00007ff800abcab5 (__TEXT,__text) external ___strlcpy_chk
00007ff800abcb00 (__TEXT,__text) external ___strncat_chk
00007ff800abcb8a (__TEXT,__text) external ___strncpy_chk
00007ff800a6c58c (__TEXT,__text) external ___sum_D2A
00007ff800a8e6de (__TEXT,__text) external ___svfscanf
00007ff800a8c57f (__TEXT,__text) non-external (was a private external) ___svfscanf_l
00007ff800ac09e0 (__TEXT,__const) non-external ___svfscanf_l.basefix
00007ff800a95f15 (__TEXT,__text) external ___swbuf
00007ff800a83750 (__TEXT,__text) external ___swhatbuf
00007ff800a86b80 (__TEXT,__text) external ___swrite
00007ff800a962e4 (__TEXT,__text) external ___swsetup
                 (undefined) external ___sysctl (from libsystem_kernel)
00007ff840097b48 (__DATA,__data) non-external ___systemfn_mutex
00007ff840097c40 (__DATA,__data) non-external ___systemfn_mutex
00007ff800ac0140 (__TEXT,__const) external ___tens_D2A
                 (undefined) external ___thread_selfusage (from libsystem_kernel)
00007ff800a59c0b (__TEXT,__text) non-external ___thread_stack_async_pcs
00007ff800a59a12 (__TEXT,__text) non-external ___thread_stack_pcs
00007ff800a9c752 (__TEXT,__text) non-external (was a private external) ___time_load_locale
00007ff8400a4410 (__DATA,__bss) non-external ___time_load_locale.cache
00007ff800ac0110 (__TEXT,__const) external ___tinytens_D2A
00007ff800a7b130 (__TEXT,__text) external ___tolower
00007ff800a7b2b7 (__TEXT,__text) external ___tolower_l
00007ff800a7b0f0 (__TEXT,__text) external ___toupper
00007ff800a7b298 (__TEXT,__text) external ___toupper_l
00007ff800a6b8d3 (__TEXT,__text) external ___trailz_D2A
00007ff800a6c6e0 (__TEXT,__text) external ___ulp_D2A
00007ff800a8c11c (__TEXT,__text) non-external ___ultoa
00007ff800a92b73 (__TEXT,__text) non-external ___ultoa
00007ff800a87453 (__TEXT,__text) external ___ungetc
00007ff800a875e9 (__TEXT,__text) external ___ungetwc
                 (undefined) external ___unix_conforming (from libsystem_pthread)
00007ff800aa64bd (__TEXT,__text) non-external (was a private external) ___unsetenv_locked
00007ff800ac0f40 (__TEXT,__const) non-external (was a private external) ___uppercase_hex
00007ff800aacf98 (__TEXT,__text) non-external (was a private external) ___v2printf
