                 (undefined) external _APP_SANDBOX_READ (from libsystem_sandbox)
00000001e5a8f028 (__AUTH,__data) external _CMFSSEAM_DEFAULT
000000018b1b74fc (__TEXT,__text) non-external ____container_paths_chown_component_block_invoke
000000018b1bcfe8 (__TEXT,__text) non-external ____container_xpc_default_sender_block_invoke
000000018b1ba058 (__TEXT,__text) non-external ____container_xpc_invalidate_shared_connection_after_timeout_block_invoke
000000018b1b9e18 (__TEXT,__text) non-external ____container_xpc_invalidate_shared_connection_after_timeout_block_invoke.12
000000018b1bd270 (__TEXT,__text) non-external ____container_xpc_pthread_key_for_client_context_block_invoke
                 (undefined) external ___assert_rtn (from libsystem_c)
00000001e713bd68 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp
00000001dfda5cd0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.1
00000001e713bff8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.1.269
00000001dfda5fe0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.1.340
00000001e713c1b8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.1.410
00000001e713c768 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.10
00000001e713cc48 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.102
00000001e713cc78 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.107
00000001e713c158 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.11
00000001e713c228 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.11.404
00000001e713cca8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.110
00000001e713ccd8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.113
00000001e713cd08 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.116
00000001e713c058 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.12
00000001e713c3d8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.12.630
00000001e713c598 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.12.707
00000001e713cd38 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.122
00000001e713cd68 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.125
00000001e713cd98 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.128
00000001dfda5fa0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.13
00000001e713c798 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.13.878
00000001e713cdc8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.131
00000001e713cdf8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.134
00000001e713ce28 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.137
00000001e713c408 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.15
00000001e713c5c8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.15.708
00000001e713ce58 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.151
00000001e713bd98 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.154
00000001e713ce88 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.155
00000001e713bdc8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.158
00000001e713ceb8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.158.933
00000001dfda6200 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.16
00000001e713c7c8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.16.879
00000001e713cee8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.161
00000001e713cf18 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.164
00000001e713cf48 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.170
00000001e713cf78 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.174
00000001dfda6280 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.175
00000001e713c438 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.18
00000001e713cfc8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.180
00000001dfda5cb0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.185
00000001e713cff8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.185.939
00000001e713c7f8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.19
00000001e713d028 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.198
00000001dfda62a0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.199
00000001dfda5cf0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.2
00000001dfda6000 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.2.342
00000001e713d078 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.205
00000001e713c618 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.21
00000001e713c828 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.22
00000001e713be28 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.24
00000001e713c858 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.25
00000001e713be58 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.26
00000001e713bfc8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.265
00000001e713be88 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.28
00000001e713c888 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.28.880
00000001dfda60e0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.29
00000001dfda5d10 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.3
00000001dfda6020 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.3.345
00000001dfda6040 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.3.399
00000001e713c348 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.3.626
00000001e713c498 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.3.660
00000001dfda61e0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.3.704
00000001e713c6a8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.3.840
00000001dfda5d50 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.30
00000001e713bed8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.31
00000001e713c8b8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.31.884
00000001dfda5f40 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.329
00000001e713bf08 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.33
00000001dfda6100 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.33.552
00000001dfda5fc0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.335
00000001e713c8e8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.34
00000001e713bf38 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.35
00000001e713bf68 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.38
00000001e713c918 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.38.886
00000001e713c188 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.389
00000001dfda5d30 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.4
00000001e713c0c8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.4.347
00000001e713c4c8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.4.665
00000001e713c708 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.4.863
00000001e713c948 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.41
00000001e713c978 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.44
00000001dfda6080 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.472
00000001e713c9a8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.48
00000001dfda60a0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.481
00000001dfda60c0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.489
00000001dfda6248 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.5
00000001e713c9d8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.54
00000001dfda6120 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.558
00000001e713ca08 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.57
00000001e713c318 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.592
00000001dfda5f60 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.6
00000001e713c378 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.6.628
00000001e713ca38 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.60
00000001e713c468 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.652
00000001e713ca68 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.66
00000001e713bf98 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.67
00000001e713bdf8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.7
00000001e713c0f8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.7.372
00000001dfda6060 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.7.413
00000001e713c4f8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.7.668
00000001e713c568 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.7.706
00000001e713c738 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.7.859
00000001e713ca98 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.70
00000001dfda61c0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.700
00000001e713cac8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.73
00000001e713caf8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.76
00000001dfda6220 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.786
00000001e713cb28 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.79
00000001dfda5f80 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.8
00000001e713c128 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.8.376
00000001e713c648 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.808
00000001e713cb58 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.83
00000001e713c678 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.834
00000001e713c6d8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.855
00000001e713cb88 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.86
00000001e713c028 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.9
00000001e713c3a8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.9.629
00000001e713cbb8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.90
00000001e713cbe8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.95
00000001e713cc18 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.99
00000001e713beb8 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001e713c0a8 (__AUTH_CONST,__const) non-external ___block_literal_global.10
00000001e713c5f8 (__AUTH_CONST,__const) non-external ___block_literal_global.18
00000001e713d058 (__AUTH_CONST,__const) non-external ___block_literal_global.201
00000001e713c2b8 (__AUTH_CONST,__const) non-external ___block_literal_global.31
00000001e713c088 (__AUTH_CONST,__const) non-external ___block_literal_global.318
00000001e713c2d8 (__AUTH_CONST,__const) non-external ___block_literal_global.35
00000001e713c1e8 (__AUTH_CONST,__const) non-external ___block_literal_global.397
00000001e713c258 (__AUTH_CONST,__const) non-external ___block_literal_global.470
00000001e713c278 (__AUTH_CONST,__const) non-external ___block_literal_global.479
00000001e713c298 (__AUTH_CONST,__const) non-external ___block_literal_global.487
00000001e713c548 (__AUTH_CONST,__const) non-external ___block_literal_global.5
00000001e713c2f8 (__AUTH_CONST,__const) non-external ___block_literal_global.556
00000001e713c528 (__AUTH_CONST,__const) non-external ___block_literal_global.695
00000001e713c208 (__AUTH_CONST,__const) non-external ___block_literal_global.9
00000001e713cfa8 (__AUTH_CONST,__const) non-external ___block_literal_global.937
000000018b1d43e4 (__TEXT,__text) non-external ___container_acquire_sandbox_extension_block_invoke
000000018b1cdb4c (__TEXT,__text) non-external ___container_bundle_copy_data_container_block_invoke
000000018b1cd188 (__TEXT,__text) non-external ___container_bundle_copy_data_container_path_block_invoke
000000018b1d1e10 (__TEXT,__text) non-external ___container_copy_code_signing_info_for_identifier_block_invoke
000000018b1d418c (__TEXT,__text) non-external ___container_copy_from_path_block_invoke
000000018b1c62a8 (__TEXT,__text) non-external ___container_copy_info_block_invoke
000000018b1d0afc (__TEXT,__text) non-external ___container_copy_info_value_for_key_block_invoke
000000018b1c69ec (__TEXT,__text) non-external ___container_copy_object_block_invoke
000000018b1c5f90 (__TEXT,__text) non-external ___container_copy_path_block_invoke
000000018b1d39ec (__TEXT,__text) non-external ___container_copy_persona_unique_strings_block_invoke
000000018b1c6874 (__TEXT,__text) non-external ___container_copy_sandbox_token_block_invoke
000000018b1d4704 (__TEXT,__text) non-external ___container_create_or_lookup_app_group_path_by_app_group_identifier_block_invoke
000000018b1d4f2c (__TEXT,__text) non-external ___container_create_or_lookup_app_group_path_by_app_group_identifier_block_invoke_2
000000018b1ced20 (__TEXT,__text) non-external ___container_create_or_lookup_app_group_paths_for_current_user_block_invoke
000000018b1cee70 (__TEXT,__text) non-external ___container_create_or_lookup_app_group_paths_for_platform_block_invoke
000000018b1cf144 (__TEXT,__text) non-external ___container_create_or_lookup_app_group_paths_from_entitlements_4ls_block_invoke
000000018b1cdd44 (__TEXT,__text) non-external ___container_create_or_lookup_for_current_user_block_invoke
000000018b1cdecc (__TEXT,__text) non-external ___container_create_or_lookup_for_platform_block_invoke
000000018b1cc714 (__TEXT,__text) non-external ___container_create_or_lookup_path_block_invoke
000000018b1cc868 (__TEXT,__text) non-external ___container_create_or_lookup_path_for_current_user_block_invoke
000000018b1cc9f0 (__TEXT,__text) non-external ___container_create_or_lookup_path_for_platform_block_invoke
000000018b1ce484 (__TEXT,__text) non-external ___container_create_or_lookup_system_group_paths_block_invoke
000000018b1d30a0 (__TEXT,__text) non-external ___container_create_or_lookup_user_managed_assets_path_block_invoke
000000018b1d3238 (__TEXT,__text) non-external ___container_create_or_lookup_user_managed_assets_relative_path_block_invoke
000000018b1d1b54 (__TEXT,__text) non-external ___container_delete_all_container_content_block_invoke
000000018b1d1968 (__TEXT,__text) non-external ___container_delete_all_data_container_content_for_current_user_block_invoke
000000018b1d065c (__TEXT,__text) non-external ___container_delete_array_of_containers_block_invoke
000000018b1d04d4 (__TEXT,__text) non-external ___container_delete_block_invoke
000000018b1d3390 (__TEXT,__text) non-external ___container_delete_user_managed_assets_block_invoke
000000018b1d01c8 (__TEXT,__text) non-external ___container_delete_with_class_and_identifier_for_current_user_block_invoke
000000018b1d162c (__TEXT,__text) non-external ___container_disk_usage_block_invoke
000000018b1d3c18 (__TEXT,__text) non-external ___container_flush_container_cache_block_invoke
000000018b1d3e28 (__TEXT,__text) non-external ___container_flush_persona_cache_block_invoke
000000018b1b1774 (__TEXT,__text) non-external ___container_frozenset_enumerate_matches_block_invoke
000000018b1cf68c (__TEXT,__text) non-external ___container_get_all_with_class_for_current_user_block_invoke
000000018b1cf404 (__TEXT,__text) non-external ___container_group_container_identifiers_for_current_user_block_invoke
000000018b1c06dc (__TEXT,__text) non-external ___container_internal_get_first_boot_uuid_block_invoke
000000018b1d2070 (__TEXT,__text) non-external ___container_invalidate_code_signing_cache_block_invoke
000000018b1c0d18 (__TEXT,__text) non-external ___container_log_handle_for_category_block_invoke
000000018b1c89f8 (__TEXT,__text) non-external ___container_object_separate_from_query
000000018b1b8c08 (__TEXT,__text) non-external ___container_operation_complete_background_tasks_block_invoke
000000018b1b8244 (__TEXT,__text) non-external ___container_operation_delete_array_block_invoke
000000018b1b8020 (__TEXT,__text) non-external ___container_operation_delete_block_invoke
000000018b1b882c (__TEXT,__text) non-external ___container_operation_delete_reclaim_disk_space_block_invoke
000000018b1b41fc (__TEXT,__text) non-external ___container_paths_context_set_class_block_invoke
000000018b1b447c (__TEXT,__text) non-external ___container_paths_context_set_flags_block_invoke
000000018b1b45b8 (__TEXT,__text) non-external ___container_paths_context_set_persona_unique_string_block_invoke
000000018b1b433c (__TEXT,__text) non-external ___container_paths_context_set_transient_block_invoke
000000018b1b474c (__TEXT,__text) non-external ___container_paths_context_set_uid_block_invoke
000000018b1b6830 (__TEXT,__text) non-external ___container_paths_copy_container_root_path_for_context_block_invoke
000000018b1b76a8 (__TEXT,__text) non-external ___container_paths_copy_uid_home_relative_block_invoke
000000018b1b7000 (__TEXT,__text) non-external ___container_paths_create_uid_home_relative_block_invoke
000000018b1b5390 (__TEXT,__text) non-external ___container_paths_enumerate_containers_at_block_invoke
000000018b1b5e74 (__TEXT,__text) non-external ___container_paths_enumerate_containers_at_block_invoke.23
000000018b1b63d0 (__TEXT,__text) non-external ___container_paths_enumerate_containers_at_block_invoke.25
000000018b1b6094 (__TEXT,__text) non-external ___container_paths_enumerate_containers_at_block_invoke.29
000000018b1b6148 (__TEXT,__text) non-external ___container_paths_enumerate_containers_at_block_invoke_2
000000018b1cb470 (__TEXT,__text) non-external ___container_perfect_hash_create_block_invoke
000000018b1d256c (__TEXT,__text) non-external ___container_perform_data_migration_block_invoke
000000018b1d27c4 (__TEXT,__text) non-external ___container_perform_data_migration_for_current_user_block_invoke
000000018b1d3f9c (__TEXT,__text) non-external ___container_perform_with_client_context_block_invoke
000000018b1c0af4 (__TEXT,__text) non-external ___container_persona_collect_all_ids_block_invoke
000000018b1d13a4 (__TEXT,__text) non-external ___container_process_restored_container_block_invoke
000000018b1cc5bc (__TEXT,__text) non-external ___container_pwd_copy_user_home_path_block_invoke
000000018b1cbd3c (__TEXT,__text) non-external ___container_pwd_for_name_block_invoke
000000018b1cc0fc (__TEXT,__text) non-external ___container_pwd_for_uid_block_invoke
000000018b1c5628 (__TEXT,__text) non-external ___container_query_copy_block_invoke
000000018b1c3d08 (__TEXT,__text) non-external ___container_query_count_results_block_invoke
000000018b1c4d24 (__TEXT,__text) non-external ___container_query_get_single_result_block_invoke
000000018b1c4ac4 (__TEXT,__text) non-external ___container_query_iterate_results_sync_block_invoke
000000018b1c5004 (__TEXT,__text) non-external ___container_query_iterate_results_with_identifier_sync_block_invoke
000000018b1c535c (__TEXT,__text) non-external ___container_query_iterate_results_with_subquery_sync_block_invoke
000000018b1c5394 (__TEXT,__text) non-external ___container_query_iterate_results_with_subquery_sync_block_invoke.13
000000018b1d0dbc (__TEXT,__text) non-external ___container_recreate_structure_block_invoke
000000018b1badf0 (__TEXT,__text) non-external ___container_references_add_block_invoke
000000018b1bc610 (__TEXT,__text) non-external ___container_references_iterate_by_group_sync_block_invoke
000000018b1bba88 (__TEXT,__text) non-external ___container_references_iterate_by_owner_sync_block_invoke
000000018b1bab90 (__TEXT,__text) non-external ___container_references_operation_set_flags_block_invoke
000000018b1bb8ac (__TEXT,__text) non-external ___container_references_remove_block_invoke
000000018b1ba398 (__TEXT,__text) non-external ___container_references_set_class_block_invoke
000000018b1ba8f8 (__TEXT,__text) non-external ___container_references_set_persona_unique_string_block_invoke
000000018b1ba778 (__TEXT,__text) non-external ___container_references_set_uid_block_invoke
000000018b1d100c (__TEXT,__text) non-external ___container_regenerate_uuid_block_invoke
000000018b1d5094 (__TEXT,__text) non-external ___container_repair_user_data_block_invoke
000000018b1cf864 (__TEXT,__text) non-external ___container_replace_block_invoke
000000018b1c21a8 (__TEXT,__text) non-external ___container_seam_fs_ensure_lazy_loaded_block_invoke
000000018b1cff7c (__TEXT,__text) non-external ___container_set_code_signing_info_for_identifier_block_invoke
000000018b1d2228 (__TEXT,__text) non-external ___container_set_data_protection_for_current_user_block_invoke
000000018b1d23d8 (__TEXT,__text) non-external ___container_set_data_protection_for_current_user_block_invoke_2
000000018b1d0830 (__TEXT,__text) non-external ___container_set_info_value_block_invoke
000000018b1b22c0 (__TEXT,__text) non-external ___container_set_test_lock_block_invoke
000000018b1d2954 (__TEXT,__text) non-external ___container_stage_shared_system_content_block_invoke
000000018b1c9d6c (__TEXT,__text) non-external ___container_string_rom_create_block_invoke
000000018b1d3614 (__TEXT,__text) non-external ___container_subdirectories_for_class_block_invoke
000000018b1ce28c (__TEXT,__text) non-external ___container_system_group_path_for_identifier_block_invoke
000000018b1ce094 (__TEXT,__text) non-external ___container_system_path_for_identifier_block_invoke
000000018b1b20cc (__TEXT,__text) non-external ___container_test_set_locks_and_restart_block_invoke
000000018b1d2bf4 (__TEXT,__text) non-external ___container_user_managed_assets_path_block_invoke
000000018b1d2f04 (__TEXT,__text) non-external ___container_user_managed_assets_relative_path_block_invoke
000000018b1b9888 (__TEXT,__text) non-external ___container_xpc_create_connection_block_invoke
000000018b1ba084 (__TEXT,__text) non-external ___container_xpc_create_connection_block_invoke_2
000000018b1b0058 (__TEXT,__text) non-external ___container_xpc_decode_create_container_object_array_block_invoke
000000018b1bc828 (__TEXT,__text) non-external ___container_xpc_send_message_block_invoke
000000018b1bd108 (__TEXT,__text) non-external ___container_xpc_send_sync_message_block_invoke
00000001dfda6240 (__DATA_CONST,__const) non-external ___containermanager_what
000000018b1b6580 (__TEXT,__text) non-external ___copy_helper_block_8_32b
000000018b1b65d4 (__TEXT,__text) non-external ___copy_helper_block_8_32b40r
000000018b1b60e8 (__TEXT,__text) non-external ___copy_helper_block_8_32b40r48r
000000018b1b5e04 (__TEXT,__text) non-external ___copy_helper_block_8_32b40r48r56r
000000018b1b1814 (__TEXT,__text) non-external ___copy_helper_block_8_32r
000000018b1b0128 (__TEXT,__text) non-external ___copy_helper_block_8_32r40r
000000018b1b749c (__TEXT,__text) non-external ___copy_helper_block_8_32r40r48r
000000018b1b6574 (__TEXT,__text) non-external ___destroy_helper_block_8_32b
000000018b1b6590 (__TEXT,__text) non-external ___destroy_helper_block_8_32b40r
000000018b1b6098 (__TEXT,__text) non-external ___destroy_helper_block_8_32b40r48r
000000018b1b5da8 (__TEXT,__text) non-external ___destroy_helper_block_8_32b40r48r56r
000000018b1b1808 (__TEXT,__text) non-external ___destroy_helper_block_8_32r
000000018b1b00e4 (__TEXT,__text) non-external ___destroy_helper_block_8_32r40r
000000018b1b744c (__TEXT,__text) non-external ___destroy_helper_block_8_32r40r48r
                 (undefined) external ___error (from libsystem_kernel)
00000001e36bd120 (__DATA,__bss) non-external ___initialize_container_sandbox_extensions.notify_token
00000001e36bd128 (__DATA,__bss) non-external ___initialize_container_sandbox_extensions.onceToken
00000001e36bd118 (__DATA,__bss) non-external ___initialize_container_sandbox_extensions.queue
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
                 (undefined) external ___strlcpy_chk (from libsystem_c)
                 (undefined) external ___xpc_connection_set_logging (from libxpc)
000000018b1bcc24 (__TEXT,__text) non-external __block_invoke
000000018b1cd260 (__TEXT,__text) non-external __common_bundle_lookup
000000018b1d25ac (__TEXT,__text) non-external __common_perform_data_migration
000000018b1d2c40 (__TEXT,__text) non-external __common_user_managed_assets_path
000000018b1bae3c (__TEXT,__text) non-external __container_add_remove
000000018b1cfd1c (__TEXT,__text) non-external __container_async_reclaim_disk_space
00000001e36bd168 (__DATA,__bss) non-external __container_async_reclaim_disk_space.onceToken
00000001e36bd160 (__DATA,__bss) non-external __container_async_reclaim_disk_space.queue
000000018b1c905c (__TEXT,__text) non-external __container_base64_decode
000000018b1bd7dc (__TEXT,__text) non-external __container_entitlements_append_strings_to_array
000000018b1bd874 (__TEXT,__text) external __container_init
000000018b1ccae4 (__TEXT,__text) non-external __container_legacy_lookup
000000018b1ce620 (__TEXT,__text) non-external __container_legacy_lookup_multiple
000000018b1c1d04 (__TEXT,__text) non-external __container_log_replication_enable_to_uid_relative_path
00000001e36bce2c (__DATA,__bss) non-external __container_log_replication_enable_to_uid_relative_path.enabled
00000001e36bce20 (__DATA,__bss) non-external __container_log_replication_enable_to_uid_relative_path.g_log_hook
00000001e36bce28 (__DATA,__bss) non-external __container_log_replication_enable_to_uid_relative_path.lock
00000001e36bcc9c (__DATA,__data) non-external __container_log_replication_enable_to_uid_relative_path.log_fd
00000001e36bce30 (__DATA,__bss) non-external __container_log_replication_enable_to_uid_relative_path.onceToken
00000001dfda5e60 (__DATA_CONST,__const) non-external __container_paths_definition_from_type.definitions
00000001dfda5d70 (__DATA_CONST,__const) non-external __container_paths_get_volume_relative_path._relative_paths
00000001dfda5de8 (__DATA_CONST,__const) non-external __container_paths_get_volume_relative_path._transient_relative_paths
000000018b1b7318 (__TEXT,__text) non-external __container_paths_in_reverse_order_from_type_do
000000018b1b6624 (__TEXT,__text) non-external __container_paths_passthru_dispatch_async
000000018b1cbea8 (__TEXT,__text) non-external __container_pwd
000000018b1c3d40 (__TEXT,__text) non-external __container_query_execute
000000018b1c544c (__TEXT,__text) external __container_query_get_servicing_pid
000000018b1c3054 (__TEXT,__text) non-external __container_query_log_if_error
000000018b1c3168 (__TEXT,__text) non-external __container_query_replace_error
000000018b1c3000 (__TEXT,__text) non-external __container_query_set_usage_error
000000018b1bc67c (__TEXT,__text) external __container_references_get_servicing_pid
