00007ffb1919852c (__TEXT,__text) non-external _Done_iODBC
00007ffb191a260c (__TEXT,__text) external _SQLColAttributesW
00007ffb191a1d98 (__TEXT,__text) non-external _SQLColAttributes_Internal
00007ffb1918bb3e (__TEXT,__text) external _SQLColumnPrivileges
00007ffb1918bd2a (__TEXT,__text) external _SQLColumnPrivilegesA
00007ffb1918bf16 (__TEXT,__text) external _SQLColumnPrivilegesW
00007ffb1918b887 (__TEXT,__text) non-external _SQLColumnPrivileges_Internal
00007ffb1918c3b9 (__TEXT,__text) external _SQLColumns
00007ffb1918c5a5 (__TEXT,__text) external _SQLColumnsA
00007ffb1918c791 (__TEXT,__text) external _SQLColumnsW
00007ffb1918c102 (__TEXT,__text) non-external _SQLColumns_Internal
00007ffb1919042f (__TEXT,__text) external _SQLConnect
00007ffb19190dc6 (__TEXT,__text) external _SQLConnectA
00007ffb19190f52 (__TEXT,__text) external _SQLConnectW
00007ffb191905bb (__TEXT,__text) non-external _SQLConnect_Internal
00007ffb191b5ff8 (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
00007ffb191a76fa (__TEXT,__text) external _SQLCopyDesc
00007ffb1919ceef (__TEXT,__text) external _SQLDataSources
00007ffb1919d015 (__TEXT,__text) external _SQLDataSourcesA
00007ffb1919d13b (__TEXT,__text) external _SQLDataSourcesW
00007ffb1919cab0 (__TEXT,__text) non-external _SQLDataSources_Internal
00007ffb430b5760 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
00007ffb430b5780 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
00007ffb430b5788 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
00007ffb191a17c8 (__TEXT,__text) external _SQLDescribeCol
00007ffb191a19b8 (__TEXT,__text) external _SQLDescribeColA
00007ffb191a1ba8 (__TEXT,__text) external _SQLDescribeColW
00007ffb191a1515 (__TEXT,__text) non-external _SQLDescribeCol_Internal
00007ffb1919580e (__TEXT,__text) external _SQLDescribeParam
00007ffb19193cb7 (__TEXT,__text) external _SQLDisconnect
00007ffb19192d64 (__TEXT,__text) external _SQLDriverConnect
00007ffb19192eed (__TEXT,__text) external _SQLDriverConnectA
00007ffb19193076 (__TEXT,__text) external _SQLDriverConnectW
00007ffb191910de (__TEXT,__text) non-external _SQLDriverConnect_Internal
00007ffb191b601b (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
00007ffb191b603e (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
00007ffb1919d77b (__TEXT,__text) external _SQLDrivers
00007ffb1919d8a1 (__TEXT,__text) external _SQLDriversA
00007ffb1919d9c7 (__TEXT,__text) external _SQLDriversW
00007ffb1919d386 (__TEXT,__text) non-external _SQLDrivers_Internal
00007ffb430b5764 (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
00007ffb430b5790 (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
00007ffb430b5798 (__DATA,__bss) non-external _SQLDrivers_Internal.sect
00007ffb191a85a1 (__TEXT,__text) external _SQLEndTran
00007ffb19198e37 (__TEXT,__text) external _SQLError
00007ffb19198f1c (__TEXT,__text) external _SQLErrorA
00007ffb19199001 (__TEXT,__text) external _SQLErrorW
00007ffb19194d28 (__TEXT,__text) external _SQLExecDirect
00007ffb19194e6d (__TEXT,__text) external _SQLExecDirectA
00007ffb19194fb2 (__TEXT,__text) external _SQLExecDirectW
00007ffb19194adc (__TEXT,__text) non-external _SQLExecDirect_Internal
00007ffb19194814 (__TEXT,__text) external _SQLExecute
00007ffb19195f12 (__TEXT,__text) external _SQLExtendedFetch
00007ffb19195c74 (__TEXT,__text) external _SQLFetch
00007ffb191a8871 (__TEXT,__text) external _SQLFetchScroll
00007ffb19195ab8 (__TEXT,__text) non-external _SQLFetch_Internal
00007ffb1918cd0c (__TEXT,__text) external _SQLForeignKeys
00007ffb1918cf4c (__TEXT,__text) external _SQLForeignKeysA
00007ffb1918d18c (__TEXT,__text) external _SQLForeignKeysW
00007ffb1918c97d (__TEXT,__text) non-external _SQLForeignKeys_Internal
00007ffb19196be5 (__TEXT,__text) external _SQLFreeConnect
00007ffb19196b44 (__TEXT,__text) non-external _SQLFreeConnect_Internal
00007ffb191984ac (__TEXT,__text) external _SQLFreeEnv
00007ffb1919843b (__TEXT,__text) non-external _SQLFreeEnv_Internal
00007ffb191a2c59 (__TEXT,__text) external _SQLFreeHandle
00007ffb1919b947 (__TEXT,__text) external _SQLFreeStmt
00007ffb1919b704 (__TEXT,__text) non-external _SQLFreeStmt_Internal
00007ffb191b2c22 (__TEXT,__text) non-external _SQLGetConfigMode
00007ffb191a5966 (__TEXT,__text) external _SQLGetConnectAttr
00007ffb191a5e62 (__TEXT,__text) external _SQLGetConnectAttrA
00007ffb191a5fb4 (__TEXT,__text) external _SQLGetConnectAttrW
00007ffb191a5ab8 (__TEXT,__text) non-external _SQLGetConnectAttr_Internal
00007ffb19197ae8 (__TEXT,__text) external _SQLGetConnectOption
00007ffb19197c11 (__TEXT,__text) external _SQLGetConnectOptionA
00007ffb19197d3a (__TEXT,__text) external _SQLGetConnectOptionW
00007ffb191a0c42 (__TEXT,__text) external _SQLGetCursorName
00007ffb191a0d9d (__TEXT,__text) external _SQLGetCursorNameA
00007ffb191a0ef8 (__TEXT,__text) external _SQLGetCursorNameW
00007ffb191a0a31 (__TEXT,__text) non-external _SQLGetCursorName_Internal
00007ffb19196095 (__TEXT,__text) external _SQLGetData
00007ffb191a638a (__TEXT,__text) external _SQLGetDescField
00007ffb191a6504 (__TEXT,__text) external _SQLGetDescFieldA
00007ffb191a667e (__TEXT,__text) external _SQLGetDescFieldW
00007ffb191a6106 (__TEXT,__text) non-external _SQLGetDescField_Internal
00007ffb191a6f9f (__TEXT,__text) external _SQLGetDescRec
00007ffb191a7141 (__TEXT,__text) external _SQLGetDescRecA
00007ffb191a72e3 (__TEXT,__text) external _SQLGetDescRecW
00007ffb191a6da3 (__TEXT,__text) non-external _SQLGetDescRec_Internal
00007ffb1919ac94 (__TEXT,__text) external _SQLGetDiagField
00007ffb1919ad7f (__TEXT,__text) external _SQLGetDiagFieldA
00007ffb1919ae6a (__TEXT,__text) external _SQLGetDiagFieldW
00007ffb19199b42 (__TEXT,__text) non-external _SQLGetDiagField_Internal
00007ffb1919986c (__TEXT,__text) external _SQLGetDiagRec
00007ffb1919995e (__TEXT,__text) external _SQLGetDiagRecA
00007ffb19199a50 (__TEXT,__text) external _SQLGetDiagRecW
00007ffb191990e6 (__TEXT,__text) non-external _SQLGetDiagRec_Internal
00007ffb191a3355 (__TEXT,__text) external _SQLGetEnvAttr
00007ffb1919e73f (__TEXT,__text) external _SQLGetFunctions
00007ffb1919e319 (__TEXT,__text) external _SQLGetInfo
00007ffb1919e47b (__TEXT,__text) external _SQLGetInfoA
00007ffb1919e5dd (__TEXT,__text) external _SQLGetInfoW
00007ffb1919dc12 (__TEXT,__text) non-external _SQLGetInfo_Internal
00007ffb191b5a04 (__TEXT,__text) non-external _SQLGetKeywordValue
00007ffb191b5a3d (__TEXT,__text) non-external _SQLGetKeywordValueW
00007ffb191b5438 (__TEXT,__text) non-external _SQLGetPrivateProfileString
00007ffb191b56a7 (__TEXT,__text) non-external _SQLGetPrivateProfileStringW
00007ffb191a3d5c (__TEXT,__text) external _SQLGetStmtAttr
00007ffb191a3ed0 (__TEXT,__text) external _SQLGetStmtAttrA
00007ffb191a4044 (__TEXT,__text) external _SQLGetStmtAttrW
00007ffb191a3524 (__TEXT,__text) non-external _SQLGetStmtAttr_Internal
00007ffb1919c182 (__TEXT,__text) external _SQLGetStmtOption
00007ffb1919c2c5 (__TEXT,__text) external _SQLGetStmtOptionA
00007ffb1919bf8a (__TEXT,__text) non-external _SQLGetStmtOption_Internal
00007ffb19189b19 (__TEXT,__text) external _SQLGetTypeInfo
00007ffb19189c44 (__TEXT,__text) external _SQLGetTypeInfoA
00007ffb19189d6f (__TEXT,__text) external _SQLGetTypeInfoW
00007ffb19189980 (__TEXT,__text) non-external _SQLGetTypeInfo_Internal
00007ffb19196423 (__TEXT,__text) external _SQLMoreResults
00007ffb191940c8 (__TEXT,__text) external _SQLNativeSql
00007ffb1919423f (__TEXT,__text) external _SQLNativeSqlA
00007ffb191943b6 (__TEXT,__text) external _SQLNativeSqlW
00007ffb19193e21 (__TEXT,__text) non-external _SQLNativeSql_Internal
00007ffb19195606 (__TEXT,__text) external _SQLNumParams
00007ffb191a1337 (__TEXT,__text) external _SQLNumResultCols
00007ffb1919537c (__TEXT,__text) external _SQLParamData
00007ffb1919fde2 (__TEXT,__text) external _SQLParamOptions
00007ffb1919efd1 (__TEXT,__text) external _SQLPrepare
00007ffb1919f116 (__TEXT,__text) external _SQLPrepareA
00007ffb1919f25b (__TEXT,__text) external _SQLPrepareW
00007ffb1919eddc (__TEXT,__text) non-external _SQLPrepare_Internal
00007ffb1918d624 (__TEXT,__text) external _SQLPrimaryKeys
00007ffb1918d80f (__TEXT,__text) external _SQLPrimaryKeysA
00007ffb1918d9fa (__TEXT,__text) external _SQLPrimaryKeysW
00007ffb1918d3cc (__TEXT,__text) non-external _SQLPrimaryKeys_Internal
00007ffb1918de9c (__TEXT,__text) external _SQLProcedureColumns
00007ffb1918e088 (__TEXT,__text) external _SQLProcedureColumnsA
00007ffb1918e274 (__TEXT,__text) external _SQLProcedureColumnsW
00007ffb1918dbe5 (__TEXT,__text) non-external _SQLProcedureColumns_Internal
00007ffb1918e6b8 (__TEXT,__text) external _SQLProcedures
00007ffb1918e8a3 (__TEXT,__text) external _SQLProceduresA
00007ffb1918ea8e (__TEXT,__text) external _SQLProceduresW
00007ffb1918e460 (__TEXT,__text) non-external _SQLProcedures_Internal
00007ffb191950f7 (__TEXT,__text) external _SQLPutData
00007ffb191b2394 (__TEXT,__text) non-external _SQLReadFileDSN
00007ffb191b24fb (__TEXT,__text) non-external _SQLReadFileDSNW
00007ffb191a1053 (__TEXT,__text) external _SQLRowCount
00007ffb191b5a76 (__TEXT,__text) non-external _SQLSetConfigMode
00007ffb191a53be (__TEXT,__text) external _SQLSetConnectAttr
00007ffb191a5700 (__TEXT,__text) external _SQLSetConnectAttrA
00007ffb191a5833 (__TEXT,__text) external _SQLSetConnectAttrW
00007ffb191a54f1 (__TEXT,__text) non-external _SQLSetConnectAttr_Internal
00007ffb19197348 (__TEXT,__text) external _SQLSetConnectOption
00007ffb19197471 (__TEXT,__text) external _SQLSetConnectOptionA
00007ffb1919759a (__TEXT,__text) external _SQLSetConnectOptionW
00007ffb1919f553 (__TEXT,__text) external _SQLSetCursorName
00007ffb1919f69b (__TEXT,__text) external _SQLSetCursorNameA
00007ffb1919f7e3 (__TEXT,__text) external _SQLSetCursorNameW
00007ffb1919f3a0 (__TEXT,__text) non-external _SQLSetCursorName_Internal
00007ffb191a6986 (__TEXT,__text) external _SQLSetDescField
00007ffb191a6ae5 (__TEXT,__text) external _SQLSetDescFieldA
00007ffb191a6c44 (__TEXT,__text) external _SQLSetDescFieldW
00007ffb191a67f8 (__TEXT,__text) non-external _SQLSetDescField_Internal
00007ffb191a7485 (__TEXT,__text) external _SQLSetDescRec
00007ffb191a3168 (__TEXT,__text) external _SQLSetEnvAttr
00007ffb191a3282 (__TEXT,__text) non-external _SQLSetEnvAttr_Internal
00007ffb191b5fb2 (__TEXT,__text) non-external _SQLSetKeywordValue
00007ffb191b5fc3 (__TEXT,__text) non-external _SQLSetKeywordValueW
00007ffb191a0634 (__TEXT,__text) external _SQLSetParam
00007ffb1919683a (__TEXT,__text) external _SQLSetPos
00007ffb191a0102 (__TEXT,__text) external _SQLSetScrollOptions
00007ffb191a4fc8 (__TEXT,__text) external _SQLSetStmtAttr
00007ffb191a511a (__TEXT,__text) external _SQLSetStmtAttrA
00007ffb191a526c (__TEXT,__text) external _SQLSetStmtAttrW
00007ffb191a41b8 (__TEXT,__text) non-external _SQLSetStmtAttr_Internal
00007ffb1919ba8e (__TEXT,__text) external _SQLSetStmtOption
00007ffb1919be47 (__TEXT,__text) external _SQLSetStmtOptionA
00007ffb1919bbd1 (__TEXT,__text) non-external _SQLSetStmtOption_Internal
00007ffb1918a15d (__TEXT,__text) external _SQLSpecialColumns
00007ffb1918a36b (__TEXT,__text) external _SQLSpecialColumnsA
00007ffb1918a579 (__TEXT,__text) external _SQLSpecialColumnsW
00007ffb19189e9a (__TEXT,__text) non-external _SQLSpecialColumns_Internal
00007ffb1918aa36 (__TEXT,__text) external _SQLStatistics
00007ffb1918ac28 (__TEXT,__text) external _SQLStatisticsA
00007ffb1918ae1a (__TEXT,__text) external _SQLStatisticsW
00007ffb1918a787 (__TEXT,__text) non-external _SQLStatistics_Internal
00007ffb1918eed1 (__TEXT,__text) external _SQLTablePrivileges
00007ffb1918f0bc (__TEXT,__text) external _SQLTablePrivilegesA
00007ffb1918f2a7 (__TEXT,__text) external _SQLTablePrivilegesW
00007ffb1918ec79 (__TEXT,__text) non-external _SQLTablePrivileges_Internal
00007ffb1918b2c3 (__TEXT,__text) external _SQLTables
00007ffb1918b4af (__TEXT,__text) external _SQLTablesA
00007ffb1918b69b (__TEXT,__text) external _SQLTablesW
00007ffb1918b00c (__TEXT,__text) non-external _SQLTables_Internal
00007ffb1919815b (__TEXT,__text) external _SQLTransact
00007ffb19197e63 (__TEXT,__text) non-external _SQLTransact_Internal
00007ffb191b2d0d (__TEXT,__text) non-external _SQLValidDSN
00007ffb191b2d70 (__TEXT,__text) non-external _SQLValidDSNW
00007ffb191b2136 (__TEXT,__text) non-external _SQLWriteFileDSN
00007ffb191b21e1 (__TEXT,__text) non-external _SQLWriteFileDSNW
00007ffb191b5bd7 (__TEXT,__text) non-external _SQLWritePrivateProfileString
00007ffb191b5dff (__TEXT,__text) non-external _SQLWritePrivateProfileStringW
00007ffb1919ce9d (__TEXT,__text) non-external _SectSorter
00007ffb191b2c6f (__TEXT,__text) non-external _ValidDSN
00007ffb191b2cc1 (__TEXT,__text) non-external _ValidDSNW
00007ffb191b5acd (__TEXT,__text) non-external _WritePrivateProfileString
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ffb19194610 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffb19194630 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
00007ffb191b3dfb (__TEXT,__text) non-external ___iodbcdm_cfg_poolalloc
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___toupper (from libSystem)
00007ffb430b57d0 (__DATA,__common) non-external __iodbc_env_counter
00007ffb191b2737 (__TEXT,__text) non-external __iodbcadm_getinifile
00007ffb1919c8bc (__TEXT,__text) non-external __iodbcdm_BindColumn
00007ffb1919c98d (__TEXT,__text) non-external __iodbcdm_ConvBindData
00007ffb19195d95 (__TEXT,__text) non-external __iodbcdm_ExtendedFetch
00007ffb1919b6b1 (__TEXT,__text) non-external __iodbcdm_FreeStmtParams
00007ffb191976c3 (__TEXT,__text) non-external __iodbcdm_GetConnectOption
00007ffb191a1216 (__TEXT,__text) non-external __iodbcdm_NumResultCols
00007ffb1919b911 (__TEXT,__text) non-external __iodbcdm_RemoveBind
00007ffb19196cc4 (__TEXT,__text) non-external __iodbcdm_SetConnectOption
00007ffb1918f6fb (__TEXT,__text) non-external __iodbcdm_SetConnectOption_init
00007ffb191966dc (__TEXT,__text) non-external __iodbcdm_SetPos
00007ffb1919c942 (__TEXT,__text) non-external __iodbcdm_UnBindColumn
00007ffb1919c62b (__TEXT,__text) non-external __iodbcdm_alloc_param
00007ffb430b57d8 (__DATA,__common) non-external __iodbcdm_attr_connection_pooling
00007ffb1919ca5a (__TEXT,__text) non-external __iodbcdm_bindConv_A2W
00007ffb19189a7e (__TEXT,__text) non-external __iodbcdm_cata_state_ok
00007ffb19189ad1 (__TEXT,__text) non-external __iodbcdm_cata_state_tr
00007ffb191b44d2 (__TEXT,__text) non-external __iodbcdm_cfg_commit
00007ffb191b377d (__TEXT,__text) non-external __iodbcdm_cfg_done
00007ffb191b3f7e (__TEXT,__text) non-external __iodbcdm_cfg_find
00007ffb191b3c2a (__TEXT,__text) non-external __iodbcdm_cfg_freeimage
00007ffb191b36d1 (__TEXT,__text) non-external __iodbcdm_cfg_init
00007ffb1919ec0b (__TEXT,__text) non-external __iodbcdm_cfg_init_str
00007ffb191b4785 (__TEXT,__text) non-external __iodbcdm_cfg_next_section
00007ffb191b3ec9 (__TEXT,__text) non-external __iodbcdm_cfg_nextentry
00007ffb1919ec82 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str
00007ffb1919eb10 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str_Internal
00007ffb191b37ae (__TEXT,__text) non-external __iodbcdm_cfg_refresh
00007ffb191b3ea3 (__TEXT,__text) non-external __iodbcdm_cfg_rewind
00007ffb191b47b7 (__TEXT,__text) non-external __iodbcdm_cfg_search_init
00007ffb191b3cf7 (__TEXT,__text) non-external __iodbcdm_cfg_storeentry
00007ffb1919ecd0 (__TEXT,__text) non-external __iodbcdm_cfg_to_string
00007ffb191b407d (__TEXT,__text) non-external __iodbcdm_cfg_write
00007ffb191b2980 (__TEXT,__text) non-external __iodbcdm_check_for_string
00007ffb19192966 (__TEXT,__text) non-external __iodbcdm_con_settracing
00007ffb1919c6d9 (__TEXT,__text) non-external __iodbcdm_conv_param_A2W
00007ffb1919c7ce (__TEXT,__text) non-external __iodbcdm_conv_param_W2A
00007ffb19192a90 (__TEXT,__text) non-external __iodbcdm_dbcdelayset
00007ffb19194758 (__TEXT,__text) non-external __iodbcdm_dllclose
00007ffb191947a0 (__TEXT,__text) non-external __iodbcdm_dllerror
00007ffb191946b0 (__TEXT,__text) non-external __iodbcdm_dllopen
00007ffb191946a6 (__TEXT,__text) non-external __iodbcdm_dllproc
00007ffb191947d0 (__TEXT,__text) non-external __iodbcdm_do_cursoropen
00007ffb1918f916 (__TEXT,__text) non-external __iodbcdm_driverload
00007ffb191900d9 (__TEXT,__text) non-external __iodbcdm_driverunload
00007ffb1919b5bc (__TEXT,__text) non-external __iodbcdm_dropstmt
00007ffb1918f4f2 (__TEXT,__text) non-external __iodbcdm_finish_disconnect
00007ffb19198534 (__TEXT,__text) non-external __iodbcdm_freesqlerrlist
00007ffb1919452d (__TEXT,__text) non-external __iodbcdm_getInfo_init
00007ffb191b2a24 (__TEXT,__text) non-external __iodbcdm_getdsnfile
00007ffb1919465a (__TEXT,__text) non-external __iodbcdm_getproc
00007ffb430b5778 (__DATA,__bss) non-external __iodbcdm_initialized
00007ffb191b4998 (__TEXT,__text) non-external __iodbcdm_list_entries
00007ffb191b48da (__TEXT,__text) non-external __iodbcdm_list_sections
00007ffb191a14b9 (__TEXT,__text) non-external __iodbcdm_map_c_type
00007ffb191a145d (__TEXT,__text) non-external __iodbcdm_map_sql_type
00007ffb1918f4a0 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn
00007ffb191b5fd5 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn.cold.1
00007ffb19192570 (__TEXT,__text) non-external __iodbcdm_pool_get_conn
00007ffb19192c6f (__TEXT,__text) non-external __iodbcdm_pool_put_conn
00007ffb1918f5cc (__TEXT,__text) non-external __iodbcdm_pool_reset_conn_attrs
00007ffb19192bce (__TEXT,__text) non-external __iodbcdm_pool_set_retry_wait
00007ffb19198557 (__TEXT,__text) non-external __iodbcdm_pushsqlerr
00007ffb191b29cb (__TEXT,__text) non-external __iodbcdm_remove_quotes
00007ffb191947aa (__TEXT,__text) non-external __iodbcdm_safe_unload
00007ffb191985ba (__TEXT,__text) non-external __iodbcdm_sqlerror
00007ffb191b2ba8 (__TEXT,__text) non-external __iodbcdm_strlcat
00007ffb191b2b54 (__TEXT,__text) non-external __iodbcdm_strlcpy
00007ffb19197f45 (__TEXT,__text) non-external __iodbcdm_transact
00007ffb409ec400 (__DATA_CONST,__const) non-external __mask_CONVERT
00007ffb409ed0a0 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES1
00007ffb409ed150 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES2
00007ffb409ec4c0 (__DATA_CONST,__const) non-external __mask_CURSOR_BEHAVIOR
00007ffb409ec560 (__DATA_CONST,__const) non-external __mask_IDENTIFIER_CASE
00007ffb409ecc00 (__DATA_CONST,__const) non-external __mask_SQL_AGGREGATE_FUNCTIONS
00007ffb409ecc40 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_DOMAIN
00007ffb409ec910 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_TABLE
00007ffb409ecc90 (__DATA_CONST,__const) non-external __mask_SQL_ASYNC_MODE
00007ffb409eccb0 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_ROW_COUNT
00007ffb409eccd0 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_SUPPORT
00007ffb409ec9c0 (__DATA_CONST,__const) non-external __mask_SQL_BOOKMARK_PERSISTENCE
00007ffb409ecd00 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_LOCATION
00007ffb409ecd20 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_USAGE
00007ffb409ec3d0 (__DATA_CONST,__const) non-external __mask_SQL_CONCAT_NULL_BEHAVIOR
00007ffb409ec3e0 (__DATA_CONST,__const) non-external __mask_SQL_CONVERT_FUNCTIONS
00007ffb409ec8e0 (__DATA_CONST,__const) non-external __mask_SQL_CORRELATION_NAME
00007ffb409ecd50 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_ASSERTION
00007ffb409ecda0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_CHARACTER_SET
00007ffb409ecdc0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_COLLATION
00007ffb409ecdd0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_DOMAIN
00007ffb409ece20 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_SCHEMA
00007ffb409ece40 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TABLE
00007ffb409ecec0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TRANSLATION
00007ffb409eced0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_VIEW
00007ffb409ecf00 (__DATA_CONST,__const) non-external __mask_SQL_CURSOR_SENSITIVITY
00007ffb409ecf20 (__DATA_CONST,__const) non-external __mask_SQL_DATETIME_LITERALS
00007ffb409ecfa0 (__DATA_CONST,__const) non-external __mask_SQL_DDL_INDEX
00007ffb409ecfe0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_ASSERTION
00007ffb409ecff0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_CHARACTER_SET
00007ffb409ed000 (__DATA_CONST,__const) non-external __mask_SQL_DROP_COLLATION
00007ffb409ed010 (__DATA_CONST,__const) non-external __mask_SQL_DROP_DOMAIN
00007ffb409ed030 (__DATA_CONST,__const) non-external __mask_SQL_DROP_SCHEMA
00007ffb409ed050 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TABLE
00007ffb409ed070 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TRANSLATION
00007ffb409ed080 (__DATA_CONST,__const) non-external __mask_SQL_DROP_VIEW
00007ffb409ecfc0 (__DATA_CONST,__const) non-external __mask_SQL_DTC_TRANSITION_COST
00007ffb409ec510 (__DATA_CONST,__const) non-external __mask_SQL_FETCH_DIRECTION
00007ffb409eca50 (__DATA_CONST,__const) non-external __mask_SQL_FILE_USAGE
00007ffb409eca00 (__DATA_CONST,__const) non-external __mask_SQL_GETDATA_EXTENSIONS
00007ffb409eca30 (__DATA_CONST,__const) non-external __mask_SQL_GROUP_BY
00007ffb409ed1e0 (__DATA_CONST,__const) non-external __mask_SQL_INDEX_KEYWORDS
00007ffb409ed200 (__DATA_CONST,__const) non-external __mask_SQL_INFO_SCHEMA_VIEWS
00007ffb409ed2c0 (__DATA_CONST,__const) non-external __mask_SQL_INSERT_STATEMENT
00007ffb409eca70 (__DATA_CONST,__const) non-external __mask_SQL_LOCK_TYPES
00007ffb409ec900 (__DATA_CONST,__const) non-external __mask_SQL_NON_NULLABLE_COLUMNS
00007ffb409eca90 (__DATA_CONST,__const) non-external __mask_SQL_NULL_COLLATION
00007ffb409ec590 (__DATA_CONST,__const) non-external __mask_SQL_NUMERIC_FUNCTIONS
00007ffb409ec660 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_API_CONFORMANCE
00007ffb409ed2e0 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_INTERFACE_CONFORMANCE
00007ffb409ec680 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SAG_CLI_CONFORMANCE
00007ffb409ec690 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SQL_CONFORMANCE
00007ffb409ecab0 (__DATA_CONST,__const) non-external __mask_SQL_OJ_CAPABILITIES
00007ffb409ed300 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_ROW_COUNTS
00007ffb409ed320 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_SELECTS
00007ffb409ecb20 (__DATA_CONST,__const) non-external __mask_SQL_POSITIONED_STATEMENTS
00007ffb409ecaf0 (__DATA_CONST,__const) non-external __mask_SQL_POS_OPERATIONS
00007ffb409ed340 (__DATA_CONST,__const) non-external __mask_SQL_SCHEMA_USAGE
00007ffb409ec6b0 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_CONCURRENCY
