00007ff802954960 (__TEXT,__text) external _APL_dgemm
00007ff80287b3b8 (__TEXT,__text) external _SAXPY_
00007ff80287b250 (__TEXT,__text) external _SCASUM
00007ff80287b250 (__TEXT,__text) external _SCASUM_
00007ff80287b263 (__TEXT,__text) external _SCNRM2
00007ff80287b263 (__TEXT,__text) external _SCNRM2_
00007ff80287b3db (__TEXT,__text) external _SCOPY
00007ff80287b3db (__TEXT,__text) external _SCOPY_
00007ff80287b3ef (__TEXT,__text) external _SDOT
00007ff80287b3ef (__TEXT,__text) external _SDOT_
00007ff80287b405 (__TEXT,__text) external _SDSDOT
00007ff80287b405 (__TEXT,__text) external _SDSDOT_
00007ff8028782ef (__TEXT,__text) external _SGBMV
00007ff8028782ef (__TEXT,__text) external _SGBMV_
00007ff8028762d9 (__TEXT,__text) external _SGEMM
00007ff8028762d9 (__TEXT,__text) external _SGEMM_
00007ff802878249 (__TEXT,__text) external _SGEMV
00007ff802878249 (__TEXT,__text) external _SGEMV_
00007ff802878b71 (__TEXT,__text) external _SGER
00007ff802878b71 (__TEXT,__text) external _SGER_
00007ff80287b42a (__TEXT,__text) external _SNRM2
00007ff80287b42a (__TEXT,__text) external _SNRM2_
00007ff80287b43d (__TEXT,__text) external _SROT
00007ff80287b45e (__TEXT,__text) external _SROTG
00007ff80287b45e (__TEXT,__text) external _SROTG_
00007ff80287b46b (__TEXT,__text) external _SROTM
00007ff80287b47f (__TEXT,__text) external _SROTMG
00007ff80287b47f (__TEXT,__text) external _SROTMG_
00007ff80287b46b (__TEXT,__text) external _SROTM_
00007ff80287b43d (__TEXT,__text) external _SROT_
00007ff802878446 (__TEXT,__text) external _SSBMV
00007ff802878446 (__TEXT,__text) external _SSBMV_
00007ff80287b493 (__TEXT,__text) external _SSCAL
00007ff80287b493 (__TEXT,__text) external _SSCAL_
00007ff8028784db (__TEXT,__text) external _SSPMV
00007ff8028784db (__TEXT,__text) external _SSPMV_
00007ff802878ca7 (__TEXT,__text) external _SSPR
00007ff802878d0e (__TEXT,__text) external _SSPR2
00007ff802878d0e (__TEXT,__text) external _SSPR2_
00007ff802878ca7 (__TEXT,__text) external _SSPR_
00007ff80287b4ad (__TEXT,__text) external _SSWAP
00007ff80287b4ad (__TEXT,__text) external _SSWAP_
00007ff8028763e9 (__TEXT,__text) external _SSYMM
00007ff8028763e9 (__TEXT,__text) external _SSYMM_
00007ff8028783bc (__TEXT,__text) external _SSYMV
00007ff8028783bc (__TEXT,__text) external _SSYMV_
00007ff802878bb6 (__TEXT,__text) external _SSYR
00007ff802878c26 (__TEXT,__text) external _SSYR2
00007ff802876838 (__TEXT,__text) external _SSYR2K
00007ff802876838 (__TEXT,__text) external _SSYR2K_
00007ff802878c26 (__TEXT,__text) external _SSYR2_
00007ff80287675b (__TEXT,__text) external _SSYRK
00007ff80287675b (__TEXT,__text) external _SSYRK_
00007ff802878bb6 (__TEXT,__text) external _SSYR_
00007ff802878664 (__TEXT,__text) external _STBMV
00007ff802878664 (__TEXT,__text) external _STBMV_
00007ff80287896f (__TEXT,__text) external _STBSV
00007ff80287896f (__TEXT,__text) external _STBSV_
00007ff802878770 (__TEXT,__text) external _STPMV
00007ff802878770 (__TEXT,__text) external _STPMV_
00007ff802878a7b (__TEXT,__text) external _STPSV
00007ff802878a7b (__TEXT,__text) external _STPSV_
00007ff8028764bf (__TEXT,__text) external _STRMM
00007ff8028764bf (__TEXT,__text) external _STRMM_
00007ff80287855b (__TEXT,__text) external _STRMV
00007ff80287855b (__TEXT,__text) external _STRMV_
00007ff80287660d (__TEXT,__text) external _STRSM
00007ff80287660d (__TEXT,__text) external _STRSM_
00007ff802878866 (__TEXT,__text) external _STRSV
00007ff802878866 (__TEXT,__text) external _STRSV_
00007ff802a3e23c (__TEXT,__text) external _SetBLASParamErrorProc
00007ff802a0f007 (__TEXT,__text) external _SetBLASParamErrorProc$NEWLAPACK
00007ff802a20158 (__TEXT,__text) external _SetBLASParamErrorProc$NEWLAPACK$ILP64
00007ff802a36c7b (__TEXT,__text) external _XERBLA
00007ff802a36c7b (__TEXT,__text) external _XERBLA_
00007ff80287b4f8 (__TEXT,__text) external _ZAXPY
00007ff80287b4f8 (__TEXT,__text) external _ZAXPY_
00007ff80287b50c (__TEXT,__text) external _ZCOPY
00007ff80287b50c (__TEXT,__text) external _ZCOPY_
00007ff80287b520 (__TEXT,__text) external _ZDOTC
00007ff80287b520 (__TEXT,__text) external _ZDOTC_
00007ff80287b542 (__TEXT,__text) external _ZDOTU
00007ff80287b542 (__TEXT,__text) external _ZDOTU_
00007ff80287b582 (__TEXT,__text) external _ZDROT
00007ff80287b582 (__TEXT,__text) external _ZDROT_
00007ff80287b5a3 (__TEXT,__text) external _ZDSCAL
00007ff80287b5a3 (__TEXT,__text) external _ZDSCAL_
00007ff80287a5ce (__TEXT,__text) external _ZGBMV
00007ff80287a5ce (__TEXT,__text) external _ZGBMV_
00007ff8028778da (__TEXT,__text) external _ZGEMM
00007ff8028778da (__TEXT,__text) external _ZGEMM_
00007ff80287a50c (__TEXT,__text) external _ZGEMV
00007ff80287a50c (__TEXT,__text) external _ZGEMV_
00007ff80287aeeb (__TEXT,__text) external _ZGERC
00007ff80287aeeb (__TEXT,__text) external _ZGERC_
00007ff80287af32 (__TEXT,__text) external _ZGERU
00007ff80287af32 (__TEXT,__text) external _ZGERU_
00007ff80287a73c (__TEXT,__text) external _ZHBMV
00007ff80287a73c (__TEXT,__text) external _ZHBMV_
00007ff8028779ff (__TEXT,__text) external _ZHEMM
00007ff8028779ff (__TEXT,__text) external _ZHEMM_
00007ff80287a6a9 (__TEXT,__text) external _ZHEMV
00007ff80287a6a9 (__TEXT,__text) external _ZHEMV_
00007ff80287af79 (__TEXT,__text) external _ZHER
00007ff80287afe9 (__TEXT,__text) external _ZHER2
00007ff802878044 (__TEXT,__text) external _ZHER2K
00007ff802878044 (__TEXT,__text) external _ZHER2K_
00007ff80287afe9 (__TEXT,__text) external _ZHER2_
00007ff802877e5d (__TEXT,__text) external _ZHERK
00007ff802877e5d (__TEXT,__text) external _ZHERK_
00007ff80287af79 (__TEXT,__text) external _ZHER_
00007ff80287a7d3 (__TEXT,__text) external _ZHPMV
00007ff80287a7d3 (__TEXT,__text) external _ZHPMV_
00007ff80287b075 (__TEXT,__text) external _ZHPR
00007ff80287b0dc (__TEXT,__text) external _ZHPR2
00007ff80287b0dc (__TEXT,__text) external _ZHPR2_
00007ff80287b075 (__TEXT,__text) external _ZHPR_
00007ff80287b564 (__TEXT,__text) external _ZROTG
00007ff80287b564 (__TEXT,__text) external _ZROTG_
00007ff80287b571 (__TEXT,__text) external _ZSCAL
00007ff80287b571 (__TEXT,__text) external _ZSCAL_
00007ff80287b5bd (__TEXT,__text) external _ZSWAP
00007ff80287b5bd (__TEXT,__text) external _ZSWAP_
00007ff802877ad3 (__TEXT,__text) external _ZSYMM
00007ff802877ad3 (__TEXT,__text) external _ZSYMM_
00007ff802878147 (__TEXT,__text) external _ZSYR2K
00007ff802878147 (__TEXT,__text) external _ZSYR2K_
00007ff802877f53 (__TEXT,__text) external _ZSYRK
00007ff802877f53 (__TEXT,__text) external _ZSYRK_
00007ff80287a972 (__TEXT,__text) external _ZTBMV
00007ff80287a972 (__TEXT,__text) external _ZTBMV_
00007ff80287acbe (__TEXT,__text) external _ZTBSV
00007ff80287acbe (__TEXT,__text) external _ZTBSV_
00007ff80287aa93 (__TEXT,__text) external _ZTPMV
00007ff80287aa93 (__TEXT,__text) external _ZTPMV_
00007ff80287addf (__TEXT,__text) external _ZTPSV
00007ff80287addf (__TEXT,__text) external _ZTPSV_
00007ff802877ba7 (__TEXT,__text) external _ZTRMM
00007ff802877ba7 (__TEXT,__text) external _ZTRMM_
00007ff80287a853 (__TEXT,__text) external _ZTRMV
00007ff80287a853 (__TEXT,__text) external _ZTRMV_
00007ff802877d02 (__TEXT,__text) external _ZTRSM
00007ff802877d02 (__TEXT,__text) external _ZTRSM_
00007ff80287ab9f (__TEXT,__text) external _ZTRSV
00007ff80287ab9f (__TEXT,__text) external _ZTRSV_
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external __tlv_bootstrap (from libSystem)
00007ff802a30a80 (__TEXT,__text) external _appleblas_dgeadd
00007ff8029ff090 (__TEXT,__text) external _appleblas_dgeadd$NEWLAPACK
00007ff802a10720 (__TEXT,__text) external _appleblas_dgeadd$NEWLAPACK$ILP64
00007ff802a32f5f (__TEXT,__text) external _appleblas_sgeadd
00007ff8029ff3d8 (__TEXT,__text) external _appleblas_sgeadd$NEWLAPACK
00007ff802a10a5f (__TEXT,__text) external _appleblas_sgeadd$NEWLAPACK$ILP64
00007ff802a20298 (__TEXT,__text) external _catlas_caxpby
00007ff80289048e (__TEXT,__text) external _catlas_caxpby$NEWLAPACK
00007ff8029e9016 (__TEXT,__text) external _catlas_caxpby$NEWLAPACK$ILP64
00007ff802a2cd3a (__TEXT,__text) external _catlas_cset
00007ff8029b7345 (__TEXT,__text) external _catlas_cset$NEWLAPACK
00007ff8029fb871 (__TEXT,__text) external _catlas_cset$NEWLAPACK$ILP64
00007ff802a27279 (__TEXT,__text) external _catlas_daxpby
00007ff802957c2d (__TEXT,__text) external _catlas_daxpby$NEWLAPACK
00007ff8029f3956 (__TEXT,__text) external _catlas_daxpby$NEWLAPACK$ILP64
00007ff802a27399 (__TEXT,__text) external _catlas_dset
00007ff802957d81 (__TEXT,__text) external _catlas_dset$NEWLAPACK
00007ff8029f3a88 (__TEXT,__text) external _catlas_dset$NEWLAPACK$ILP64
00007ff802a214a2 (__TEXT,__text) external _catlas_saxpby
00007ff80289bb70 (__TEXT,__text) external _catlas_saxpby$NEWLAPACK
00007ff8029ea1fe (__TEXT,__text) external _catlas_saxpby$NEWLAPACK$ILP64
00007ff802a215f6 (__TEXT,__text) external _catlas_sset
00007ff80289bcc4 (__TEXT,__text) external _catlas_sset$NEWLAPACK
00007ff8029ea330 (__TEXT,__text) external _catlas_sset$NEWLAPACK$ILP64
00007ff802a28b9c (__TEXT,__text) external _catlas_zaxpby
00007ff802965ce7 (__TEXT,__text) external _catlas_zaxpby$NEWLAPACK
00007ff8029f7163 (__TEXT,__text) external _catlas_zaxpby$NEWLAPACK$ILP64
00007ff802a231f5 (__TEXT,__text) external _catlas_zset
00007ff8028de120 (__TEXT,__text) external _catlas_zset$NEWLAPACK
00007ff8029ef00b (__TEXT,__text) external _catlas_zset$NEWLAPACK$ILP64
00007ff80299b6bc (__TEXT,__text) external _caxpby$NEWLAPACK
00007ff8029fa365 (__TEXT,__text) external _caxpby$NEWLAPACK$ILP64
00007ff80287b15c (__TEXT,__text) external _caxpy
00007ff80299b64e (__TEXT,__text) external _caxpy$NEWLAPACK
00007ff8029fa2ed (__TEXT,__text) external _caxpy$NEWLAPACK$ILP64
00007ff80287b15c (__TEXT,__text) external _caxpy_
00007ff802a28825 (__TEXT,__text) external _cblas_caxpy
00007ff802965970 (__TEXT,__text) external _cblas_caxpy$NEWLAPACK
00007ff8029f6df1 (__TEXT,__text) external _cblas_caxpy$NEWLAPACK$ILP64
00007ff802a21d78 (__TEXT,__text) external _cblas_ccopy
00007ff8028ad30a (__TEXT,__text) external _cblas_ccopy$NEWLAPACK
00007ff8029eaa7c (__TEXT,__text) external _cblas_ccopy$NEWLAPACK$ILP64
00007ff802a239b7 (__TEXT,__text) external _cblas_cdotc_sub
00007ff8028eb2f2 (__TEXT,__text) external _cblas_cdotc_sub$NEWLAPACK
00007ff8029ef825 (__TEXT,__text) external _cblas_cdotc_sub$NEWLAPACK$ILP64
00007ff802a24088 (__TEXT,__text) external _cblas_cdotu_sub
00007ff80290b72f (__TEXT,__text) external _cblas_cdotu_sub$NEWLAPACK
00007ff8029efede (__TEXT,__text) external _cblas_cdotu_sub$NEWLAPACK$ILP64
00007ff802a2ec9e (__TEXT,__text) external _cblas_cgbmv
00007ff8029fdb11 (__TEXT,__text) external _cblas_cgbmv$NEWLAPACK
00007ff802a0f147 (__TEXT,__text) external _cblas_cgbmv$NEWLAPACK$ILP64
00007ff802a24922 (__TEXT,__text) external _cblas_cgemm
00007ff8029281c4 (__TEXT,__text) external _cblas_cgemm$NEWLAPACK
00007ff8029f07b2 (__TEXT,__text) external _cblas_cgemm$NEWLAPACK$ILP64
00007ff802a2fca0 (__TEXT,__text) external _cblas_cgemv
00007ff8029fe2b0 (__TEXT,__text) external _cblas_cgemv$NEWLAPACK
00007ff802a0f900 (__TEXT,__text) external _cblas_cgemv$NEWLAPACK$ILP64
00007ff802a2b085 (__TEXT,__text) external _cblas_cgerc
00007ff80299612b (__TEXT,__text) external _cblas_cgerc$NEWLAPACK
00007ff8029f9640 (__TEXT,__text) external _cblas_cgerc$NEWLAPACK$ILP64
00007ff802a25de7 (__TEXT,__text) external _cblas_cgeru
00007ff80293cf70 (__TEXT,__text) external _cblas_cgeru$NEWLAPACK
00007ff8029f1d09 (__TEXT,__text) external _cblas_cgeru$NEWLAPACK$ILP64
00007ff802a33eb6 (__TEXT,__text) external _cblas_chbmv
00007ff802a00284 (__TEXT,__text) external _cblas_chbmv$NEWLAPACK
00007ff802a11903 (__TEXT,__text) external _cblas_chbmv$NEWLAPACK$ILP64
00007ff802a28f46 (__TEXT,__text) external _cblas_chemm
00007ff8029691ed (__TEXT,__text) external _cblas_chemm$NEWLAPACK
00007ff8029f74ea (__TEXT,__text) external _cblas_chemm$NEWLAPACK$ILP64
00007ff802a342cd (__TEXT,__text) external _cblas_chemv
00007ff802a00a18 (__TEXT,__text) external _cblas_chemv$NEWLAPACK
00007ff802a120a2 (__TEXT,__text) external _cblas_chemv$NEWLAPACK$ILP64
00007ff802a2a01b (__TEXT,__text) external _cblas_cher
00007ff80298d6df (__TEXT,__text) external _cblas_cher$NEWLAPACK
00007ff8029f85d8 (__TEXT,__text) external _cblas_cher$NEWLAPACK$ILP64
00007ff802a34b37 (__TEXT,__text) external _cblas_cher2
00007ff802a01784 (__TEXT,__text) external _cblas_cher2$NEWLAPACK
00007ff802a12ea3 (__TEXT,__text) external _cblas_cher2$NEWLAPACK$ILP64
00007ff802a2c9fd (__TEXT,__text) external _cblas_cher2k
00007ff8029b7008 (__TEXT,__text) external _cblas_cher2k$NEWLAPACK
00007ff8029fb522 (__TEXT,__text) external _cblas_cher2k$NEWLAPACK$ILP64
00007ff802a26551 (__TEXT,__text) external _cblas_cherk
00007ff80294cc2b (__TEXT,__text) external _cblas_cherk$NEWLAPACK
00007ff8029f2c30 (__TEXT,__text) external _cblas_cherk$NEWLAPACK$ILP64
00007ff802a354a7 (__TEXT,__text) external _cblas_chpmv
00007ff802a020f4 (__TEXT,__text) external _cblas_chpmv$NEWLAPACK
00007ff802a13827 (__TEXT,__text) external _cblas_chpmv$NEWLAPACK$ILP64
00007ff802a35f6f (__TEXT,__text) external _cblas_chpr
00007ff802a030d0 (__TEXT,__text) external _cblas_chpr$NEWLAPACK
00007ff802a1431e (__TEXT,__text) external _cblas_chpr$NEWLAPACK$ILP64
00007ff802a35697 (__TEXT,__text) external _cblas_chpr2
00007ff802a027f8 (__TEXT,__text) external _cblas_chpr2$NEWLAPACK
00007ff802a13a27 (__TEXT,__text) external _cblas_chpr2$NEWLAPACK$ILP64
00007ff802a3845c (__TEXT,__text) external _cblas_crotg
00007ff802a070b3 (__TEXT,__text) external _cblas_crotg$NEWLAPACK
00007ff802a18467 (__TEXT,__text) external _cblas_crotg$NEWLAPACK$ILP64
00007ff802a2aafe (__TEXT,__text) external _cblas_cscal
00007ff802994a84 (__TEXT,__text) external _cblas_cscal$NEWLAPACK
00007ff8029f9092 (__TEXT,__text) external _cblas_cscal$NEWLAPACK$ILP64
00007ff802a29dc4 (__TEXT,__text) external _cblas_csrot
00007ff8029802da (__TEXT,__text) external _cblas_csrot$NEWLAPACK
00007ff8029f8381 (__TEXT,__text) external _cblas_csrot$NEWLAPACK$ILP64
00007ff802a23145 (__TEXT,__text) external _cblas_csscal
00007ff8028dd390 (__TEXT,__text) external _cblas_csscal$NEWLAPACK
00007ff8029eef57 (__TEXT,__text) external _cblas_csscal$NEWLAPACK$ILP64
00007ff802a23d04 (__TEXT,__text) external _cblas_cswap
00007ff8028ec6ff (__TEXT,__text) external _cblas_cswap$NEWLAPACK
00007ff8029efb62 (__TEXT,__text) external _cblas_cswap$NEWLAPACK$ILP64
00007ff802a27f8b (__TEXT,__text) external _cblas_csymm
00007ff80295fcea (__TEXT,__text) external _cblas_csymm$NEWLAPACK
00007ff8029f6551 (__TEXT,__text) external _cblas_csymm$NEWLAPACK$ILP64
00007ff802a279d2 (__TEXT,__text) external _cblas_csyr2k
00007ff80295de80 (__TEXT,__text) external _cblas_csyr2k$NEWLAPACK
00007ff8029f5f86 (__TEXT,__text) external _cblas_csyr2k$NEWLAPACK$ILP64
00007ff802a2200c (__TEXT,__text) external _cblas_csyrk
00007ff8028b93b3 (__TEXT,__text) external _cblas_csyrk$NEWLAPACK
00007ff8029ead09 (__TEXT,__text) external _cblas_csyrk$NEWLAPACK$ILP64
00007ff802a360a3 (__TEXT,__text) external _cblas_ctbmv
00007ff802a0349c (__TEXT,__text) external _cblas_ctbmv$NEWLAPACK
00007ff802a146ee (__TEXT,__text) external _cblas_ctbmv$NEWLAPACK$ILP64
00007ff802a362ea (__TEXT,__text) external _cblas_ctbsv
00007ff802a03d94 (__TEXT,__text) external _cblas_ctbsv$NEWLAPACK
00007ff802a15027 (__TEXT,__text) external _cblas_ctbsv$NEWLAPACK$ILP64
00007ff802a36531 (__TEXT,__text) external _cblas_ctpmv
00007ff802a047f7 (__TEXT,__text) external _cblas_ctpmv$NEWLAPACK
00007ff802a15acb (__TEXT,__text) external _cblas_ctpmv$NEWLAPACK$ILP64
00007ff802a36736 (__TEXT,__text) external _cblas_ctpsv
