                 (undefined) external _OSSpinLockLock (from libsystem_platform)
                 (undefined) external _OSSpinLockUnlock (from libsystem_platform)
                 (undefined) external __Unwind_GetIP (from libunwind)
                 (undefined) external __Unwind_GetLanguageSpecificData (from libunwind)
                 (undefined) external __Unwind_GetRegionStart (from libunwind)
                 (undefined) external __Unwind_SetGR (from libunwind)
                 (undefined) external __Unwind_SetIP (from libunwind)
                 (undefined) external ____chkstk_darwin (from libsystem_pthread)
00007ff80c8d8091 (__TEXT,__text) external ___absvdi2
00007ff80c8db4c8 (__TEXT,__text) external ___lshrdi3
00007ff80c8db4f6 (__TEXT,__text) external ___lshrti3
00007ff80c8d7fb5 (__TEXT,__text) external ___moddi3
00007ff80c8db51e (__TEXT,__text) external ___modti3
00007ff80c8db586 (__TEXT,__text) external ___muldc3
00007ff80c8db74a (__TEXT,__text) external ___muldi3
00007ff80c8db7c4 (__TEXT,__text) external ___mulodi4
00007ff80c8db853 (__TEXT,__text) external ___mulosi4
00007ff80c8db8c6 (__TEXT,__text) external ___muloti4
00007ff80c8db9cf (__TEXT,__text) external ___mulsc3
00007ff80c8dbc12 (__TEXT,__text) external ___multi3
00007ff80c8dbc71 (__TEXT,__text) external ___mulvdi3
00007ff80c8dbd70 (__TEXT,__text) external ___mulvsi3
00007ff80c8dbe4c (__TEXT,__text) external ___mulvti3
00007ff80c8dbfd3 (__TEXT,__text) external ___mulxc3
00007ff80c8dc330 (__TEXT,__text) external ___negdi2
00007ff80c8dc337 (__TEXT,__text) external ___negti2
00007ff80c8dc343 (__TEXT,__text) external ___negvdi2
00007ff80c8dc372 (__TEXT,__text) external ___negvsi2
00007ff80c8dc398 (__TEXT,__text) external ___negvti2
00007ff80c8dc3ca (__TEXT,__text) external ___paritydi2
00007ff80c8dc3fc (__TEXT,__text) external ___paritysi2
00007ff80c8dc424 (__TEXT,__text) external ___parityti2
00007ff80c8dc459 (__TEXT,__text) external ___popcountdi2
00007ff80c8dc4bb (__TEXT,__text) external ___popcountsi2
00007ff80c8dc4f4 (__TEXT,__text) external ___popcountti2
00007ff80c8dc582 (__TEXT,__text) external ___powidf2
00007ff80c8dc5e6 (__TEXT,__text) external ___powisf2
00007ff80c8dc645 (__TEXT,__text) external ___powixf2
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
00007ff80c8dc695 (__TEXT,__text) external ___subvdi3
00007ff80c8dc6dd (__TEXT,__text) external ___subvsi3
00007ff80c8dc720 (__TEXT,__text) external ___subvti3
00007ff80c8dc774 (__TEXT,__text) external ___truncdfhf2
00007ff80c8dc8a1 (__TEXT,__text) external ___truncsfhf2
00007ff80c8dc992 (__TEXT,__text) external ___ucmpdi2
00007ff80c8dc9be (__TEXT,__text) external ___ucmpti2
00007ff80c8d7df6 (__TEXT,__text) external ___udivdi3
00007ff80c8dc9df (__TEXT,__text) external ___udivmoddi4
00007ff80c8d7d34 (__TEXT,__text) external ___udivmodti4
00007ff80c8d7d2c (__TEXT,__text) external ___udivti3
00007ff80c8d7e79 (__TEXT,__text) external ___umoddi3
00007ff80c8dcc3a (__TEXT,__text) external ___umodti3
00007ff80c8d933c (__TEXT,__text) external _atomic_flag_clear
00007ff80c8d9341 (__TEXT,__text) external _atomic_flag_clear_explicit
00007ff80c8d9354 (__TEXT,__text) external _atomic_flag_test_and_set
00007ff80c8d935c (__TEXT,__text) external _atomic_flag_test_and_set_explicit
00007ff80c8d9390 (__TEXT,__text) external _atomic_signal_fence
00007ff80c8d93bc (__TEXT,__text) external _atomic_thread_fence
                 (undefined) external _fmaxl (from libsystem_m)
00007ff8425e4b80 (__DATA,__bss) non-external _locks
                 (undefined) external _logbl (from libsystem_m)
                 (undefined) external _memcmp (from libsystem_c)
                 (undefined) external _memcpy (from libsystem_c)
                 (undefined) external _mprotect (from libsystem_kernel)
00007ff80c8db3b3 (__TEXT,__text) non-external _readEncodedPointer
                 (undefined) external _scalbnl (from libsystem_m)
00007ff80c8dd760 (__TEXT,__const) non-external two
00007ff80c8dd730 (__TEXT,__const) non-external twop52
00007ff80c8dd770 (__TEXT,__const) non-external twop64
00007ff80c8dd750 (__TEXT,__const) non-external twop84
00007ff80c8dd740 (__TEXT,__const) non-external twop84_plus_twop52
