00007fff26d9b5e0 (__TEXT,__const) non-external _A1_Table
00007fff80002940 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_SetAlphaHint
00007fff80002920 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_SetChromaSiting
00007fff80002910 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_SetColorSpace
00007fff80002960 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_SetUserData
00007fff2648ff30 (__TEXT,__text) non-external (was a private external) _CacheTable_Destroy
00007fff80c19798 (__DATA,__data) non-external _CacheTable_GetCache.gCacheTable
00007fff80c197a0 (__DATA,__data) non-external _CacheTable_GetCache.predicate
00007fff26481810 (__TEXT,__text) non-external (was a private external) _CacheTable_Init
00007fff26dcea50 (__TEXT,__const) non-external _CacheTable_Init.elementSize
00007fff26481b00 (__TEXT,__text) non-external _CacheTable_key_hash
00007fff26483750 (__TEXT,__text) non-external _CacheTable_key_is_equal
00007fff26d0ff90 (__TEXT,__text) non-external _CacheTable_key_release
00007fff264836f0 (__TEXT,__text) non-external _CacheTable_key_retain
00007fff26481a80 (__TEXT,__text) non-external _CacheTable_setup
00007fff264afc50 (__TEXT,__text) non-external _CacheTable_value_make_nonpurgeable
00007fff264a50d0 (__TEXT,__text) non-external _CacheTable_value_make_purgeable
00007fff26d0ffa0 (__TEXT,__text) non-external _CacheTable_value_release
00007fff26587560 (__TEXT,__text) non-external (was a private external) _CalculateEdgePixel_Truncate
00007fff80c19780 (__DATA,__data) non-external _CalculateNumThreads.cpuCount
00007fff26761220 (__TEXT,__text) non-external _ChunkyToPlanar16U
00007fff2647a1e0 (__TEXT,__text) non-external _ChunkyToPlanar8
00007fff267614c0 (__TEXT,__text) non-external _ChunkyToPlanarF
00007fff26754d00 (__TEXT,__text) non-external _ChunkyToPlanarPass_Print
00007fff265ae2f0 (__TEXT,__text) non-external (was a private external) _ColorFill_ARGB8888
00007fff265a2330 (__TEXT,__text) non-external (was a private external) _ColorFill_ARGBFFFF
00007fff264e6e70 (__TEXT,__text) non-external (was a private external) _ColorFill_Planar8
00007fff2659dd00 (__TEXT,__text) non-external (was a private external) _ColorFill_PlanarF
00007fff2675b150 (__TEXT,__text) non-external _CompressPassesToLUT
00007fff87581d50 (__DATA_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_8to64U_vtbl
00007fff87581cf0 (__DATA_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_Planar8toPlanar128_vtbl
00007fff87581b10 (__DATA_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_Planar8toPlanar16_vtbl
00007fff87581b70 (__DATA_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_Planar8toPlanar24_vtbl
00007fff87581c30 (__DATA_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_Planar8toPlanar48_vtbl
00007fff87581c90 (__DATA_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_Planar8toPlanar96_vtbl
00007fff87581bd0 (__DATA_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_Planar8toPlanarF_vtbl
00007fff87581ab0 (__DATA_CONST,__const) non-external _CompressPassesToLUT.LUTPass_TableLookup_Planar8_vtbl
00007fff264f4270 (__TEXT,__text) non-external _ComputeTileSize
00007fff26d10150 (__TEXT,__text) non-external _ComputeTileSize.cold.1
00007fff266075b0 (__TEXT,__text) non-external (was a private external) _ContrastStretch_ARGBFFFF_AVX
00007fff26605900 (__TEXT,__text) non-external (was a private external) _ContrastStretch_PlanarF_AVX
00007fff267579a0 (__TEXT,__text) non-external _Convert10ToF
00007fff26756eb0 (__TEXT,__text) non-external _Convert10toSomethingPass_Print
00007fff26757ae0 (__TEXT,__text) non-external _Convert11ToF
00007fff26757c20 (__TEXT,__text) non-external _Convert12ToF
00007fff26757d60 (__TEXT,__text) non-external _Convert13ToF
00007fff26757ea0 (__TEXT,__text) non-external _Convert14ToF
00007fff26757fe0 (__TEXT,__text) non-external _Convert15ToF
00007fff264c5320 (__TEXT,__text) non-external (was a private external) _Convert16UToF
00007fff26758120 (__TEXT,__text) non-external _Convert17ToF
00007fff26758260 (__TEXT,__text) non-external _Convert18ToF
00007fff267583a0 (__TEXT,__text) non-external _Convert19ToF
00007fff267555d0 (__TEXT,__text) non-external _Convert1To8Bit
00007fff267584e0 (__TEXT,__text) non-external _Convert20ToF
00007fff26758620 (__TEXT,__text) non-external _Convert21ToF
00007fff26758760 (__TEXT,__text) non-external _Convert22ToF
00007fff267588a0 (__TEXT,__text) non-external _Convert23ToF
00007fff267589e0 (__TEXT,__text) non-external _Convert24ToF
00007fff26758b20 (__TEXT,__text) non-external _Convert25ToF
00007fff26758c60 (__TEXT,__text) non-external _Convert26ToF
00007fff26758da0 (__TEXT,__text) non-external _Convert27ToF
00007fff26758ee0 (__TEXT,__text) non-external _Convert28ToF
00007fff26759020 (__TEXT,__text) non-external _Convert29ToF
00007fff267556e0 (__TEXT,__text) non-external _Convert2To8Bit
00007fff26759160 (__TEXT,__text) non-external _Convert30ToF
00007fff267592a0 (__TEXT,__text) non-external _Convert31ToF
00007fff267593e0 (__TEXT,__text) non-external _Convert32ToF
00007fff26755c00 (__TEXT,__text) non-external _Convert3To8Bit
00007fff267557f0 (__TEXT,__text) non-external _Convert4To8Bit
00007fff26755d20 (__TEXT,__text) non-external _Convert5To8Bit
00007fff26755e40 (__TEXT,__text) non-external _Convert6To8Bit
00007fff26755f60 (__TEXT,__text) non-external _Convert7To8Bit
00007fff26755900 (__TEXT,__text) non-external _Convert8To1Bit
00007fff26755a00 (__TEXT,__text) non-external _Convert8To2Bit
00007fff26756080 (__TEXT,__text) non-external _Convert8To3Bit
00007fff26755b00 (__TEXT,__text) non-external _Convert8To4Bit
00007fff26756170 (__TEXT,__text) non-external _Convert8To5Bit
00007fff26756260 (__TEXT,__text) non-external _Convert8To6Bit
00007fff26756350 (__TEXT,__text) non-external _Convert8To7Bit
00007fff26757860 (__TEXT,__text) non-external _Convert9ToF
00007fff26470380 (__TEXT,__text) non-external _ConvertByteOrderingToDefault
00007fff8757f0b0 (__DATA_CONST,__const) non-external _ConvertDirectToIndexed.Convert_Planar8toIndexed1_vtbl
00007fff8757f110 (__DATA_CONST,__const) non-external _ConvertDirectToIndexed.Convert_Planar8toIndexed2_vtbl
00007fff8757f170 (__DATA_CONST,__const) non-external _ConvertDirectToIndexed.Convert_Planar8toIndexed4_vtbl
00007fff8757f1d0 (__DATA_CONST,__const) non-external _ConvertDirectToIndexed.Convert_TableLookUp_Planar8toIndexed_vtbl
00007fff26759620 (__TEXT,__text) non-external _ConvertFTo10
00007fff26759720 (__TEXT,__text) non-external _ConvertFTo11
00007fff26759820 (__TEXT,__text) non-external _ConvertFTo12
00007fff26759920 (__TEXT,__text) non-external _ConvertFTo13
00007fff26759a20 (__TEXT,__text) non-external _ConvertFTo14
00007fff26759b20 (__TEXT,__text) non-external _ConvertFTo15
00007fff26759c20 (__TEXT,__text) non-external _ConvertFTo17
00007fff26759d20 (__TEXT,__text) non-external _ConvertFTo18
00007fff26759e20 (__TEXT,__text) non-external _ConvertFTo19
00007fff26759f20 (__TEXT,__text) non-external _ConvertFTo20
00007fff2675a020 (__TEXT,__text) non-external _ConvertFTo21
00007fff2675a120 (__TEXT,__text) non-external _ConvertFTo22
00007fff2675a220 (__TEXT,__text) non-external _ConvertFTo23
00007fff2675a320 (__TEXT,__text) non-external _ConvertFTo24
00007fff2675a420 (__TEXT,__text) non-external _ConvertFTo25
00007fff2675a520 (__TEXT,__text) non-external _ConvertFTo26
00007fff2675a620 (__TEXT,__text) non-external _ConvertFTo27
00007fff2675a720 (__TEXT,__text) non-external _ConvertFTo28
00007fff2675a820 (__TEXT,__text) non-external _ConvertFTo29
00007fff2675a920 (__TEXT,__text) non-external _ConvertFTo30
00007fff2675aa20 (__TEXT,__text) non-external _ConvertFTo31
00007fff2675ab20 (__TEXT,__text) non-external _ConvertFTo32
00007fff26759520 (__TEXT,__text) non-external _ConvertFTo9
00007fff2675afb0 (__TEXT,__text) non-external _ConvertFloatToHalf
00007fff87587b90 (__DATA_CONST,__const) non-external _ConvertFromCVRGB101010.Convert_CVRGB101010toARGB16Q12_vtbl
00007fff87587bf0 (__DATA_CONST,__const) non-external _ConvertFromCVRGB101010.Convert_CVRGB101010toARGB16U_vtbl
00007fff87587b30 (__DATA_CONST,__const) non-external _ConvertFromCVRGB101010.Convert_CVRGB101010toARGB8888_vtbl
00007fff2675aee0 (__TEXT,__text) non-external _ConvertHalfToFloat
00007fff8757ee10 (__DATA_CONST,__const) non-external _ConvertIndexedToDirect.Convert_Indexed1toPlanar8_vtbl
00007fff8757ee70 (__DATA_CONST,__const) non-external _ConvertIndexedToDirect.Convert_Indexed2toPlanar8_vtbl
00007fff8757eed0 (__DATA_CONST,__const) non-external _ConvertIndexedToDirect.Convert_Indexed4toPlanar8_vtbl
00007fff8757ef90 (__DATA_CONST,__const) non-external _ConvertIndexedToDirect.Convert_Planar8ToChunky_vtbl
00007fff8757f050 (__DATA_CONST,__const) non-external _ConvertIndexedToDirect.Convert_Planar8toARGB888_vtbl
00007fff8757eff0 (__DATA_CONST,__const) non-external _ConvertIndexedToDirect.Convert_Planar8toRGB888_vtbl
00007fff8757ef30 (__DATA_CONST,__const) non-external _ConvertIndexedToDirect.Convert_TableLookUp_Planar8_vtbl
00007fff2648eff0 (__TEXT,__text) non-external (was a private external) _ConvertPass_Delete
00007fff266b7ac0 (__TEXT,__text) non-external (was a private external) _ConvertPass_Print
00007fff2648f070 (__TEXT,__text) non-external (was a private external) _ConvertPass_StandardDeallocator
00007fff87586ab0 (__DATA_CONST,__const) non-external _ConvertToCVRGB101010.Convert_ARGB16Q12toCVRGB101010_vtbl
00007fff87586b10 (__DATA_CONST,__const) non-external _ConvertToCVRGB101010.Convert_ARGB16UtoCVRGB101010_vtbl
00007fff87586a50 (__DATA_CONST,__const) non-external _ConvertToCVRGB101010.Convert_ARGB8888toCVRGB101010_vtbl
00007fff2675ac20 (__TEXT,__text) non-external _Convert_12UTo16U
00007fff2674ed20 (__TEXT,__text) non-external (was a private external) _Convert_16Q12to16U
00007fff2674eb60 (__TEXT,__text) non-external (was a private external) _Convert_16Q12to8
00007fff2674eee0 (__TEXT,__text) non-external (was a private external) _Convert_16Q12toF
00007fff2675ad20 (__TEXT,__text) non-external _Convert_16UTo12U
00007fff2674e8c0 (__TEXT,__text) non-external (was a private external) _Convert_16UToF
00007fff2674e760 (__TEXT,__text) non-external (was a private external) _Convert_16UToPlanar8
00007fff2674ec40 (__TEXT,__text) non-external (was a private external) _Convert_16Uto16Q12
00007fff26763380 (__TEXT,__text) non-external _Convert_420Yp8_Cb8_Cr8ToARGB8888
00007fff267633f0 (__TEXT,__text) non-external _Convert_420Yp8_CbCr8ToARGB8888
00007fff26763290 (__TEXT,__text) non-external _Convert_422CbYpCrYp16ToARGB16U
00007fff26763260 (__TEXT,__text) non-external _Convert_422CbYpCrYp16ToARGB8888
00007fff26763180 (__TEXT,__text) non-external _Convert_422CbYpCrYp8ToARGB8888
00007fff267633c0 (__TEXT,__text) non-external _Convert_422CbYpCrYp8_AA8ToARGB8888
00007fff267632f0 (__TEXT,__text) non-external _Convert_422CrYpCbYpCbYpCbYpCrYpCrYp10ToARGB16Q12
00007fff267632c0 (__TEXT,__text) non-external _Convert_422CrYpCbYpCbYpCbYpCrYpCrYp10ToARGB8888
00007fff26763430 (__TEXT,__text) non-external _Convert_422YpCbYpCr8ToARGB8888
00007fff26763210 (__TEXT,__text) non-external _Convert_444AYpCbCr16ToARGB16U
00007fff267631f0 (__TEXT,__text) non-external _Convert_444AYpCbCr16ToARGB8888
00007fff267631d0 (__TEXT,__text) non-external _Convert_444AYpCbCr8ToARGB8888
00007fff267631b0 (__TEXT,__text) non-external _Convert_444CbYpCrA8ToARGB8888
00007fff26763350 (__TEXT,__text) non-external _Convert_444CrYpCb10ToARGB16Q12
00007fff26763320 (__TEXT,__text) non-external _Convert_444CrYpCb10ToARGB8888
00007fff26763230 (__TEXT,__text) non-external _Convert_444CrYpCb8ToARGB8888
00007fff264b22b0 (__TEXT,__text) non-external (was a private external) _Convert_8to16Q12
00007fff26756440 (__TEXT,__text) non-external _Convert_ARGB1555toARGB8888
00007fff267564b0 (__TEXT,__text) non-external _Convert_ARGB1555toBGRA8888
00007fff26763000 (__TEXT,__text) non-external _Convert_ARGB16Q12To422CrYpCbYpCbYpCbYpCrYpCrYp10
00007fff26763040 (__TEXT,__text) non-external _Convert_ARGB16Q12To444CrYpCb10
00007fff26762e70 (__TEXT,__text) non-external _Convert_ARGB16Q12toCVRGB101010
00007fff26762fc0 (__TEXT,__text) non-external _Convert_ARGB16UTo422CbYpCrYp16
00007fff26762f60 (__TEXT,__text) non-external _Convert_ARGB16UTo444AYpCbCr16
00007fff2674e840 (__TEXT,__text) non-external (was a private external) _Convert_ARGB16UToARGB8888
00007fff26da0d70 (__TEXT,__const) non-external _Convert_ARGB16UToARGB8888.black
00007fff26762eb0 (__TEXT,__text) non-external _Convert_ARGB16UtoCVRGB101010
00007fff2674df50 (__TEXT,__text) non-external (was a private external) _Convert_ARGB16UtoRGB16U
00007fff26763060 (__TEXT,__text) non-external _Convert_ARGB8888To420Yp8_Cb8_Cr8
00007fff267630b0 (__TEXT,__text) non-external _Convert_ARGB8888To420Yp8_CbCr8
00007fff26762fa0 (__TEXT,__text) non-external _Convert_ARGB8888To422CbYpCrYp16
00007fff26762ee0 (__TEXT,__text) non-external _Convert_ARGB8888To422CbYpCrYp8
00007fff26763090 (__TEXT,__text) non-external _Convert_ARGB8888To422CbYpCrYp8_AA8
00007fff26762fe0 (__TEXT,__text) non-external _Convert_ARGB8888To422CrYpCbYpCbYpCbYpCrYpCrYp10
00007fff267630d0 (__TEXT,__text) non-external _Convert_ARGB8888To422YpCbYpCr8
00007fff26762f40 (__TEXT,__text) non-external _Convert_ARGB8888To444AYpCbCr16
00007fff26762f20 (__TEXT,__text) non-external _Convert_ARGB8888To444AYpCbCr8
00007fff26762f00 (__TEXT,__text) non-external _Convert_ARGB8888To444CbYpCrA8
00007fff26763020 (__TEXT,__text) non-external _Convert_ARGB8888To444CrYpCb10
00007fff26762f80 (__TEXT,__text) non-external _Convert_ARGB8888To444CrYpCb8
00007fff2674e580 (__TEXT,__text) non-external (was a private external) _Convert_ARGB8888ToARGB16U
00007fff26da0d60 (__TEXT,__const) non-external _Convert_ARGB8888ToARGB16U.backColor
00007fff2674e600 (__TEXT,__text) non-external (was a private external) _Convert_ARGB8888ToRGB16U
00007fff26da0d68 (__TEXT,__const) non-external _Convert_ARGB8888ToRGB16U.backColor
00007fff26756860 (__TEXT,__text) non-external _Convert_ARGB8888toARGB1555
00007fff80c1a4d8 (__DATA,__bss) non-external _Convert_ARGB8888toARGB1555.vConvert_ARGB8888toARGB1555_DitherOrdered
00007fff26762e40 (__TEXT,__text) non-external _Convert_ARGB8888toCVRGB101010
00007fff26757170 (__TEXT,__text) non-external _Convert_ARGB8888toRGB101010
00007fff26756980 (__TEXT,__text) non-external _Convert_ARGB8888toRGB565
00007fff80c1a4e0 (__DATA,__bss) non-external _Convert_ARGB8888toRGB565.vConvert_ARGB8888toRGB565_DitherOrdered
00007fff2674def0 (__TEXT,__text) non-external (was a private external) _Convert_ARGB8888toRGB888
00007fff2674dfb0 (__TEXT,__text) non-external (was a private external) _Convert_ARGBFFFFtoRGBFFF
00007fff267532d0 (__TEXT,__text) non-external _Convert_BGR888toRGB888
00007fff26da1040 (__TEXT,__const) non-external _Convert_BGR888toRGB888.permuteMap
00007fff267571f0 (__TEXT,__text) non-external _Convert_BGRA8888toRGB101010
00007fff26756bc0 (__TEXT,__text) non-external _Convert_BGRA8888toRGB565
00007fff80c1a4f8 (__DATA,__bss) non-external _Convert_BGRA8888toRGB565.vConvert_BGRA8888toRGB565_DitherOrdered
00007fff2674ded0 (__TEXT,__text) non-external (was a private external) _Convert_BGRA8888toRGB888
00007fff26763120 (__TEXT,__text) non-external _Convert_CVRGB101010toARGB16Q12
00007fff26763150 (__TEXT,__text) non-external _Convert_CVRGB101010toARGB16U
00007fff267630f0 (__TEXT,__text) non-external _Convert_CVRGB101010toARGB8888
00007fff2674ea80 (__TEXT,__text) non-external (was a private external) _Convert_FTo16U
00007fff2674ee00 (__TEXT,__text) non-external (was a private external) _Convert_Fto16Q12
00007fff26754850 (__TEXT,__text) non-external _Convert_Indexed1toPlanar8
00007fff26754b80 (__TEXT,__text) non-external _Convert_Indexed2toPlanar8
00007fff26754c00 (__TEXT,__text) non-external _Convert_Indexed4toPlanar8
00007fff2675ae10 (__TEXT,__text) non-external _Convert_Planar16FtoPlanar16Q12
00007fff264b86f0 (__TEXT,__text) non-external _Convert_Planar16FtoPlanar16U
00007fff264b28a0 (__TEXT,__text) non-external _Convert_Planar16Q12toPlanar16F
00007fff2675b080 (__TEXT,__text) non-external _Convert_Planar16UtoPlanar16F
00007fff2674e4a0 (__TEXT,__text) non-external (was a private external) _Convert_Planar8To16U
00007fff26754e40 (__TEXT,__text) non-external _Convert_Planar8toARGB8888
00007fff26754e70 (__TEXT,__text) non-external _Convert_Planar8toIndexed1
00007fff26754ef0 (__TEXT,__text) non-external _Convert_Planar8toIndexed2
00007fff26754f70 (__TEXT,__text) non-external _Convert_Planar8toIndexed4
00007fff2674e680 (__TEXT,__text) non-external (was a private external) _Convert_Planar8toPlanarF
00007fff26754e20 (__TEXT,__text) non-external _Convert_Planar8toRGB888
00007fff2674e9a0 (__TEXT,__text) non-external (was a private external) _Convert_PlanarFtoPlanar8
00007fff26756f20 (__TEXT,__text) non-external _Convert_RGB101010toARGB8888
00007fff26756fd0 (__TEXT,__text) non-external _Convert_RGB101010toBGRA8888
00007fff26757440 (__TEXT,__text) non-external _Convert_RGB101010toRGB16U
00007fff26757080 (__TEXT,__text) non-external _Convert_RGB101010toRGB888
00007fff267572e0 (__TEXT,__text) non-external _Convert_RGB101010toRGBA16Q12
00007fff26757390 (__TEXT,__text) non-external _Convert_RGB101010toRGBA16U
00007fff26756e00 (__TEXT,__text) non-external _Convert_RGB101010toRGBA8888
00007fff26757630 (__TEXT,__text) non-external _Convert_RGB101010toRGBAFFFF
00007fff267576e0 (__TEXT,__text) non-external _Convert_RGB101010toRGBFFF
00007fff2674de70 (__TEXT,__text) non-external (was a private external) _Convert_RGB16UtoARGB16U
00007fff267575c0 (__TEXT,__text) non-external _Convert_RGB16UtoRGB101010
00007fff264b7450 (__TEXT,__text) non-external (was a private external) _Convert_RGB16UtoRGBA16U
00007fff26756760 (__TEXT,__text) non-external _Convert_RGB565toABGR8888
00007fff267565b0 (__TEXT,__text) non-external _Convert_RGB565toARGB8888
00007fff267566f0 (__TEXT,__text) non-external _Convert_RGB565toBGRA8888
00007fff267567f0 (__TEXT,__text) non-external _Convert_RGB565toRGB888
00007fff26756680 (__TEXT,__text) non-external _Convert_RGB565toRGBA8888
00007fff2674de50 (__TEXT,__text) non-external (was a private external) _Convert_RGB888toARGB8888
00007fff2649e340 (__TEXT,__text) non-external (was a private external) _Convert_RGB888toBGRA8888
00007fff26757270 (__TEXT,__text) non-external _Convert_RGB888toRGB101010
00007fff26756ce0 (__TEXT,__text) non-external _Convert_RGB888toRGB565
00007fff80c1a500 (__DATA,__bss) non-external _Convert_RGB888toRGB565.vConvert_RGB888toRGB565_DitherOrdered
00007fff264a64a0 (__TEXT,__text) non-external (was a private external) _Convert_RGB888toRGBA8888
00007fff267574b0 (__TEXT,__text) non-external _Convert_RGBA16Q12toRGB101010
00007fff26757540 (__TEXT,__text) non-external _Convert_RGBA16UtoRGB101010
00007fff2674df40 (__TEXT,__text) non-external (was a private external) _Convert_RGBA16UtoRGB16U
00007fff26756540 (__TEXT,__text) non-external _Convert_RGBA5551toRGBA8888
00007fff267570f0 (__TEXT,__text) non-external _Convert_RGBA8888toRGB101010
00007fff264e5680 (__TEXT,__text) non-external _Convert_RGBA8888toRGB565
00007fff80c1a4e8 (__DATA,__bss) non-external _Convert_RGBA8888toRGB565.vConvert_RGBA8888toRGB565_DitherOrdered
00007fff2674dee0 (__TEXT,__text) non-external (was a private external) _Convert_RGBA8888toRGB888
00007fff26756aa0 (__TEXT,__text) non-external _Convert_RGBA8888toRGBA5551
00007fff80c1a4f0 (__DATA,__bss) non-external _Convert_RGBA8888toRGBA5551.vConvert_RGBA8888toRGBA5551_DitherOrdered
00007fff26757760 (__TEXT,__text) non-external _Convert_RGBAFFFFtoRGB101010
00007fff2674dfa0 (__TEXT,__text) non-external (was a private external) _Convert_RGBAFFFFtoRGBFFF
00007fff2674deb0 (__TEXT,__text) non-external (was a private external) _Convert_RGBFFFtoARGBFFFF
00007fff267577e0 (__TEXT,__text) non-external _Convert_RGBFFFtoRGB101010
00007fff2674de90 (__TEXT,__text) non-external (was a private external) _Convert_RGBFFFtoRGBAFFFF
00007fff264a4990 (__TEXT,__text) non-external (was a private external) _CopyImageTilingInfo
00007fff265ad800 (__TEXT,__text) non-external (was a private external) _CopyInPlace_ARGB8888
00007fff265a1c10 (__TEXT,__text) non-external (was a private external) _CopyInPlace_ARGBFFFF
00007fff265a7cd0 (__TEXT,__text) non-external (was a private external) _CopyInPlace_Planar8
00007fff2659cbf0 (__TEXT,__text) non-external (was a private external) _CopyInPlace_PlanarF
00007fff264a5310 (__TEXT,__text) non-external (was a private external) _Copy_Convert
00007fff2675c580 (__TEXT,__text) non-external _CorrectWithinColorspace
00007fff87586ed0 (__DATA_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB16Q12To422CrYpCbYpCbYpCbYpCrYpCrYp10_vtbl
00007fff87586f90 (__DATA_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB16Q12To444CrYpCb10_vtbl
00007fff87586e10 (__DATA_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB16UTo422CbYpCrYp16_vtbl
00007fff87586cf0 (__DATA_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB16UTo444AYpCbCr16_vtbl
00007fff87586ff0 (__DATA_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB8888To420Yp8_Cb8_Cr8_vtbl
00007fff875870b0 (__DATA_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB8888To420Yp8_CbCr8_vtbl
00007fff87586db0 (__DATA_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB8888To422CbYpCrYp16_vtbl
