000000018d6c4308 (__TEXT,__const) non-external _KW_ANY
000000018d6ac91c (__TEXT,__text) external _XML_FreeContentModel
000000018d6abe3c (__TEXT,__text) external _XML_GetBase
000000018d6ac27c (__TEXT,__text) external _XML_GetBuffer
000000018d6ac800 (__TEXT,__text) external _XML_GetCurrentByteCount
000000018d6ac7dc (__TEXT,__text) external _XML_GetCurrentByteIndex
000000018d6ac8c4 (__TEXT,__text) external _XML_GetCurrentColumnNumber
000000018d6ac868 (__TEXT,__text) external _XML_GetCurrentLineNumber
000000018d6ac7c8 (__TEXT,__text) external _XML_GetErrorCode
000000018d6acae0 (__TEXT,__text) external _XML_GetFeatureList
00000001d42b6448 (__DATA_CONST,__const) non-external _XML_GetFeatureList.features
000000018d6abe5c (__TEXT,__text) external _XML_GetIdAttributeIndex
000000018d6ac828 (__TEXT,__text) external _XML_GetInputContext
000000018d6ac7a0 (__TEXT,__text) external _XML_GetParsingStatus
000000018d6c33f0 (__TEXT,__text) non-external _XML_GetParsingStatus.cold.1
000000018d6abe48 (__TEXT,__text) external _XML_GetSpecifiedAttributeCount
000000018d6ac95c (__TEXT,__text) external _XML_MemFree
000000018d6ac930 (__TEXT,__text) external _XML_MemMalloc
000000018d6ac944 (__TEXT,__text) external _XML_MemRealloc
000000018d6ac038 (__TEXT,__text) external _XML_Parse
000000018d6ac4dc (__TEXT,__text) external _XML_ParseBuffer
000000018d6aa8d8 (__TEXT,__text) external _XML_ParserCreate
000000018d6aa8f0 (__TEXT,__text) external _XML_ParserCreateNS
000000018d6aa8e8 (__TEXT,__text) external _XML_ParserCreate_MM
000000018d6ab8f0 (__TEXT,__text) external _XML_ParserFree
000000018d6aab90 (__TEXT,__text) external _XML_ParserReset
000000018d6ac6b0 (__TEXT,__text) external _XML_ResumeParser
000000018d6abfb8 (__TEXT,__text) external _XML_SetAttlistDeclHandler
000000018d6abd8c (__TEXT,__text) external _XML_SetBase
000000018d6acb1c (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionActivationThreshold
000000018d6acaec (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionMaximumAmplification
000000018d6abeb8 (__TEXT,__text) external _XML_SetCdataSectionHandler
000000018d6abe94 (__TEXT,__text) external _XML_SetCharacterDataHandler
000000018d6abeac (__TEXT,__text) external _XML_SetCommentHandler
000000018d6abedc (__TEXT,__text) external _XML_SetDefaultHandler
000000018d6abeec (__TEXT,__text) external _XML_SetDefaultHandlerExpand
000000018d6abf00 (__TEXT,__text) external _XML_SetDoctypeDeclHandler
000000018d6abfac (__TEXT,__text) external _XML_SetElementDeclHandler
000000018d6abe70 (__TEXT,__text) external _XML_SetElementHandler
000000018d6ab070 (__TEXT,__text) external _XML_SetEncoding
000000018d6abed0 (__TEXT,__text) external _XML_SetEndCdataSectionHandler
000000018d6abf18 (__TEXT,__text) external _XML_SetEndDoctypeDeclHandler
000000018d6abe88 (__TEXT,__text) external _XML_SetEndElementHandler
000000018d6abf54 (__TEXT,__text) external _XML_SetEndNamespaceDeclHandler
000000018d6abfc4 (__TEXT,__text) external _XML_SetEntityDeclHandler
000000018d6abf6c (__TEXT,__text) external _XML_SetExternalEntityRefHandler
000000018d6abf78 (__TEXT,__text) external _XML_SetExternalEntityRefHandlerArg
000000018d6ac004 (__TEXT,__text) external _XML_SetHashSalt
000000018d6abf3c (__TEXT,__text) external _XML_SetNamespaceDeclHandler
000000018d6abf60 (__TEXT,__text) external _XML_SetNotStandaloneHandler
000000018d6abf30 (__TEXT,__text) external _XML_SetNotationDeclHandler
000000018d6abfdc (__TEXT,__text) external _XML_SetParamEntityParsing
000000018d6abea0 (__TEXT,__text) external _XML_SetProcessingInstructionHandler
000000018d6abd44 (__TEXT,__text) external _XML_SetReturnNSTriplet
000000018d6abf90 (__TEXT,__text) external _XML_SetSkippedEntityHandler
000000018d6abec4 (__TEXT,__text) external _XML_SetStartCdataSectionHandler
000000018d6abf0c (__TEXT,__text) external _XML_SetStartDoctypeDeclHandler
000000018d6abe7c (__TEXT,__text) external _XML_SetStartElementHandler
000000018d6abf48 (__TEXT,__text) external _XML_SetStartNamespaceDeclHandler
000000018d6abf9c (__TEXT,__text) external _XML_SetUnknownEncodingHandler
000000018d6abf24 (__TEXT,__text) external _XML_SetUnparsedEntityDeclHandler
000000018d6abd6c (__TEXT,__text) external _XML_SetUserData
000000018d6abfd0 (__TEXT,__text) external _XML_SetXmlDeclHandler
000000018d6ac63c (__TEXT,__text) external _XML_StopParser
000000018d6abd10 (__TEXT,__text) external _XML_UseForeignDTD
000000018d6abd04 (__TEXT,__text) external _XML_UseParserAsHandlerArg
000000018d6b660c (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncoding
000000018d6b6bb0 (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncodingNS
000000018d6b6600 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncoding
000000018d6b6ba4 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncodingNS
000000018d6b6618 (__TEXT,__text) non-external (was a private external) _XmlInitEncoding
000000018d6b6bbc (__TEXT,__text) non-external (was a private external) _XmlInitEncodingNS
000000018d6b6054 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncoding
000000018d6b6ddc (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncodingNS
000000018d6b6744 (__TEXT,__text) non-external (was a private external) _XmlParseXmlDecl
000000018d6b6c78 (__TEXT,__text) non-external (was a private external) _XmlParseXmlDeclNS
000000018d6b3e1c (__TEXT,__text) non-external (was a private external) _XmlPrologStateInit
000000018d6b3f5c (__TEXT,__text) non-external (was a private external) _XmlPrologStateInitExternalEntity
000000018d6b604c (__TEXT,__text) non-external (was a private external) _XmlSizeOfUnknownEncoding
000000018d6b5ffc (__TEXT,__text) non-external (was a private external) _XmlUtf16Encode
000000018d6b5f40 (__TEXT,__text) non-external (was a private external) _XmlUtf8Encode
000000018d6b5e94 (__TEXT,__text) non-external (was a private external) __INTERNAL_trim_to_complete_utf8_characters
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
000000018d6ae6cc (__TEXT,__text) non-external _accountingDiffTolerated
000000018d6c3448 (__TEXT,__text) non-external _accountingDiffTolerated.cold.1
000000018d6b031c (__TEXT,__text) non-external _accountingGetCurrentAmplification
000000018d6c3474 (__TEXT,__text) non-external _accountingGetCurrentAmplification.cold.1
000000018d6b0360 (__TEXT,__text) non-external _accountingReportStats
000000018d6b2920 (__TEXT,__text) non-external _addBinding
000000018d6c40f2 (__TEXT,__cstring) non-external _addBinding.xmlNamespace
000000018d6c4117 (__TEXT,__cstring) non-external _addBinding.xmlnsNamespace
000000018d6b2e0c (__TEXT,__text) non-external _appendAttributeValue
                 (undefined) external _arc4random_buf (from libSystem)
00000001dd88fb28 (__AUTH_CONST,__const) non-external _ascii_encoding
00000001dd890438 (__AUTH_CONST,__const) non-external _ascii_encoding_ns
000000018d6bf138 (__TEXT,__text) non-external _ascii_toUtf8
000000018d6b45f0 (__TEXT,__text) non-external _attlist0
000000018d6b4fbc (__TEXT,__text) non-external _attlist1
000000018d6b5060 (__TEXT,__text) non-external _attlist2
00000001d42b6e60 (__DATA_CONST,__const) non-external _attlist2.types
000000018d6b5310 (__TEXT,__text) non-external _attlist3
000000018d6b54a8 (__TEXT,__text) non-external _attlist4
000000018d6b52bc (__TEXT,__text) non-external _attlist5
000000018d6b53d8 (__TEXT,__text) non-external _attlist6
000000018d6b5438 (__TEXT,__text) non-external _attlist7
000000018d6b5180 (__TEXT,__text) non-external _attlist8
000000018d6b5378 (__TEXT,__text) non-external _attlist9
000000018d6c091c (__TEXT,__text) non-external _big2_attributeValueTok
000000018d6c04b4 (__TEXT,__text) non-external _big2_cdataSectionTok
000000018d6c1154 (__TEXT,__text) non-external _big2_charRefNumber
000000018d6c2540 (__TEXT,__text) non-external _big2_checkPiTarget
000000018d6bf978 (__TEXT,__text) non-external _big2_contentTok
00000001dd88f788 (__AUTH_CONST,__const) non-external _big2_encoding
00000001dd890098 (__AUTH_CONST,__const) non-external _big2_encoding_ns
000000018d6c0a84 (__TEXT,__text) non-external _big2_entityValueTok
000000018d6c0d34 (__TEXT,__text) non-external _big2_getAtts
000000018d6c0750 (__TEXT,__text) non-external _big2_ignoreSectionTok
000000018d6c1484 (__TEXT,__text) non-external _big2_isPublicId
000000018d6c0c50 (__TEXT,__text) non-external _big2_nameLength
000000018d6c0c04 (__TEXT,__text) non-external _big2_nameMatchesAscii
000000018d6c1234 (__TEXT,__text) non-external _big2_predefinedEntityName
000000018d6bf184 (__TEXT,__text) non-external _big2_prologTok
000000018d6c2914 (__TEXT,__text) non-external _big2_scanAtts
000000018d6c4a4b (__TEXT,__const) non-external _big2_scanCdataSection.CDATA_LSQB
000000018d6c23a8 (__TEXT,__text) non-external _big2_scanComment
000000018d6c18d8 (__TEXT,__text) non-external _big2_scanDecl
000000018d6c1760 (__TEXT,__text) non-external _big2_scanLit
000000018d6c1ebc (__TEXT,__text) non-external _big2_scanPercent
000000018d6c1a58 (__TEXT,__text) non-external _big2_scanPi
000000018d6c2138 (__TEXT,__text) non-external _big2_scanPoundName
000000018d6c25dc (__TEXT,__text) non-external _big2_scanRef
000000018d6c0cf0 (__TEXT,__text) non-external _big2_skipS
000000018d6c16cc (__TEXT,__text) non-external _big2_toUtf16
000000018d6c1538 (__TEXT,__text) non-external _big2_toUtf8
000000018d6c1388 (__TEXT,__text) non-external _big2_updatePosition
                 (undefined) external _bzero (from libSystem)
000000018d6b2728 (__TEXT,__text) non-external _cdataSectionProcessor
000000018d6b62ec (__TEXT,__text) non-external _checkCharRefNumber
000000018d6b4c18 (__TEXT,__text) non-external _condSect0
000000018d6b4cf0 (__TEXT,__text) non-external _condSect1
000000018d6b4d60 (__TEXT,__text) non-external _condSect2
000000018d6af044 (__TEXT,__text) non-external _contentProcessor
000000018d6b3c60 (__TEXT,__text) non-external _copyEntityTable
000000018d6ab0e0 (__TEXT,__text) non-external _copyString
000000018d6b4a98 (__TEXT,__text) non-external _declClose
000000018d6af3d4 (__TEXT,__text) non-external _defineAttribute
000000018d6b2444 (__TEXT,__text) non-external _doCdataSection
000000018d6b0710 (__TEXT,__text) non-external _doContent
000000018d6afbd0 (__TEXT,__text) non-external _doIgnoreSection
000000018d6b67a0 (__TEXT,__text) non-external _doParseXmlDecl
000000018d6ace74 (__TEXT,__text) non-external _doProlog
000000018d6c4202 (__TEXT,__const) non-external _doProlog.atypeCDATA
000000018d6c421f (__TEXT,__const) non-external _doProlog.atypeENTITIES
000000018d6c4218 (__TEXT,__const) non-external _doProlog.atypeENTITY
000000018d6c4208 (__TEXT,__const) non-external _doProlog.atypeID
000000018d6c420b (__TEXT,__const) non-external _doProlog.atypeIDREF
000000018d6c4211 (__TEXT,__const) non-external _doProlog.atypeIDREFS
000000018d6c4228 (__TEXT,__const) non-external _doProlog.atypeNMTOKEN
000000018d6c4230 (__TEXT,__const) non-external _doProlog.atypeNMTOKENS
000000018d6c341c (__TEXT,__text) non-external _doProlog.cold.1
000000018d6c3fe7 (__TEXT,__cstring) non-external _doProlog.enumValueSep
000000018d6c3fe9 (__TEXT,__cstring) non-external _doProlog.enumValueStart
000000018d6c3fdd (__TEXT,__cstring) non-external _doProlog.notationPrefix
000000018d6b409c (__TEXT,__text) non-external _doctype0
000000018d6b4108 (__TEXT,__text) non-external _doctype1
000000018d6b4520 (__TEXT,__text) non-external _doctype2
000000018d6b44c0 (__TEXT,__text) non-external _doctype3
000000018d6b5e18 (__TEXT,__text) non-external _doctype4
000000018d6b4718 (__TEXT,__text) non-external _doctype5
000000018d6b4654 (__TEXT,__text) non-external _element0
000000018d6b5518 (__TEXT,__text) non-external _element1
000000018d6b5638 (__TEXT,__text) non-external _element2
000000018d6b579c (__TEXT,__text) non-external _element3
000000018d6b5af0 (__TEXT,__text) non-external _element4
000000018d6b5b54 (__TEXT,__text) non-external _element5
000000018d6b584c (__TEXT,__text) non-external _element6
000000018d6b596c (__TEXT,__text) non-external _element7
00000001d42b6ed0 (__DATA_CONST,__const) non-external _encodings
00000001d42b6f08 (__DATA_CONST,__const) non-external _encodingsNS
000000018d6b4580 (__TEXT,__text) non-external _entity0
000000018d6b4778 (__TEXT,__text) non-external _entity1
000000018d6b4b0c (__TEXT,__text) non-external _entity10
000000018d6b47d8 (__TEXT,__text) non-external _entity2
000000018d6b4e20 (__TEXT,__text) non-external _entity3
000000018d6b4dc0 (__TEXT,__text) non-external _entity4
000000018d6b4e80 (__TEXT,__text) non-external _entity5
000000018d6b4f54 (__TEXT,__text) non-external _entity6
000000018d6b48d8 (__TEXT,__text) non-external _entity7
000000018d6b4a38 (__TEXT,__text) non-external _entity8
000000018d6b49d8 (__TEXT,__text) non-external _entity9
000000018d6b00e8 (__TEXT,__text) non-external _entityTrackingOnOpen
000000018d6b3508 (__TEXT,__text) non-external _entityTrackingReportStats
000000018d6c34a0 (__TEXT,__text) non-external _entityTrackingReportStats.cold.1
000000018d6b3830 (__TEXT,__text) non-external _entityValueInitProcessor
000000018d6b3b2c (__TEXT,__text) non-external _entityValueProcessor
000000018d6b2240 (__TEXT,__text) non-external _epilogProcessor
000000018d6b4100 (__TEXT,__text) non-external _error
000000018d6ac274 (__TEXT,__text) non-external _errorProcessor
000000018d6b2da8 (__TEXT,__text) non-external _externalEntityContentProcessor
000000018d6abb58 (__TEXT,__text) non-external _externalEntityInitProcessor
000000018d6b3604 (__TEXT,__text) non-external _externalEntityInitProcessor2
000000018d6b3720 (__TEXT,__text) non-external _externalEntityInitProcessor3
000000018d6abbd4 (__TEXT,__text) non-external _externalParEntInitProcessor
000000018d6b39f4 (__TEXT,__text) non-external _externalParEntProcessor
000000018d6b3f74 (__TEXT,__text) non-external _externalSubset0
000000018d6b4b88 (__TEXT,__text) non-external _externalSubset1
000000018d6b6a9c (__TEXT,__text) non-external _findEncoding
000000018d6b6cd4 (__TEXT,__text) non-external _findEncodingNS
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
000000018d6b21e0 (__TEXT,__text) non-external _freeBindings
                 (undefined) external _fwrite (from libSystem)
000000018d6af138 (__TEXT,__text) non-external _getAttributeId
000000018d6b141c (__TEXT,__text) non-external _getContext
000000018d6acbe4 (__TEXT,__text) non-external _getDebugLevel
000000018d6af0a8 (__TEXT,__text) non-external _getElementType
000000018d6b6694 (__TEXT,__text) non-external _getEncodingIndex
00000001d42b6ea0 (__DATA_CONST,__const) non-external _getEncodingIndex.encodingNames
                 (undefined) external _getenv (from libSystem)
000000018d6acd68 (__TEXT,__text) non-external _handleUnknownEncoding
000000018d6b03d8 (__TEXT,__text) non-external _hash
000000018d6b3bf4 (__TEXT,__text) non-external _hashTableDestroy
000000018d6afd74 (__TEXT,__text) non-external _ignoreSectionProcessor
000000018d6c4239 (__TEXT,__const) non-external _implicitContext
000000018d6bef3c (__TEXT,__text) non-external _initScan
000000018d6b6718 (__TEXT,__text) non-external _initScanContent
000000018d6b6c58 (__TEXT,__text) non-external _initScanContentNS
000000018d6b66f8 (__TEXT,__text) non-external _initScanProlog
000000018d6b6c38 (__TEXT,__text) non-external _initScanPrologNS
000000018d6b6738 (__TEXT,__text) non-external _initUpdatePosition
000000018d6acc5c (__TEXT,__text) non-external _initializeEncoding
000000018d6b32ac (__TEXT,__text) non-external _internalEntityProcessor
000000018d6b4220 (__TEXT,__text) non-external _internalSubset
00000001dd88f048 (__AUTH_CONST,__const) non-external _internal_little2_encoding
00000001dd88f3e8 (__AUTH_CONST,__const) non-external _internal_little2_encoding_ns
00000001dd88ee78 (__AUTH_CONST,__const) non-external _internal_utf8_encoding
00000001dd88f218 (__AUTH_CONST,__const) non-external _internal_utf8_encoding_ns
000000018d6baed8 (__TEXT,__text) non-external _isNever
00000001dd88eca8 (__AUTH_CONST,__const) non-external _latin1_encoding
00000001dd88fcf8 (__AUTH_CONST,__const) non-external _latin1_encoding_ns
000000018d6b94f8 (__TEXT,__text) non-external _latin1_toUtf16
000000018d6b9460 (__TEXT,__text) non-external _latin1_toUtf8
000000018d6bc818 (__TEXT,__text) non-external _little2_attributeValueTok
000000018d6bc3b0 (__TEXT,__text) non-external _little2_cdataSectionTok
000000018d6bd05c (__TEXT,__text) non-external _little2_charRefNumber
000000018d6be438 (__TEXT,__text) non-external _little2_checkPiTarget
000000018d6bb8a8 (__TEXT,__text) non-external _little2_contentTok
00000001dd88f958 (__AUTH_CONST,__const) non-external _little2_encoding
00000001dd890268 (__AUTH_CONST,__const) non-external _little2_encoding_ns
000000018d6bc980 (__TEXT,__text) non-external _little2_entityValueTok
000000018d6bcc3c (__TEXT,__text) non-external _little2_getAtts
000000018d6bc64c (__TEXT,__text) non-external _little2_ignoreSectionTok
000000018d6bd388 (__TEXT,__text) non-external _little2_isPublicId
000000018d6bcb4c (__TEXT,__text) non-external _little2_nameLength
000000018d6bcb00 (__TEXT,__text) non-external _little2_nameMatchesAscii
000000018d6bd138 (__TEXT,__text) non-external _little2_predefinedEntityName
000000018d6bb0b4 (__TEXT,__text) non-external _little2_prologTok
000000018d6be80c (__TEXT,__text) non-external _little2_scanAtts
000000018d6be2a0 (__TEXT,__text) non-external _little2_scanComment
000000018d6bd7d4 (__TEXT,__text) non-external _little2_scanDecl
000000018d6bd65c (__TEXT,__text) non-external _little2_scanLit
000000018d6bddb0 (__TEXT,__text) non-external _little2_scanPercent
000000018d6bd954 (__TEXT,__text) non-external _little2_scanPi
000000018d6be030 (__TEXT,__text) non-external _little2_scanPoundName
000000018d6be4d4 (__TEXT,__text) non-external _little2_scanRef
000000018d6bcbec (__TEXT,__text) non-external _little2_skipS
000000018d6bd5d0 (__TEXT,__text) non-external _little2_toUtf16
000000018d6bd43c (__TEXT,__text) non-external _little2_toUtf8
000000018d6bd28c (__TEXT,__text) non-external _little2_updatePosition
000000018d6aec74 (__TEXT,__text) non-external _lookup
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
000000018d6c4918 (__TEXT,__const) non-external _namePages
000000018d6c4318 (__TEXT,__const) non-external _namingBitmap
000000018d6afe24 (__TEXT,__text) non-external _nextScaffoldPart
000000018d6c4818 (__TEXT,__const) non-external _nmstrtPages
000000018d6b8a40 (__TEXT,__text) non-external _normal_attributeValueTok
000000018d6b85ac (__TEXT,__text) non-external _normal_cdataSectionTok
000000018d6b9104 (__TEXT,__text) non-external _normal_charRefNumber
000000018d6ba124 (__TEXT,__text) non-external _normal_checkPiTarget
000000018d6b7944 (__TEXT,__text) non-external _normal_contentTok
000000018d6b8ba8 (__TEXT,__text) non-external _normal_entityValueTok
000000018d6b8dd0 (__TEXT,__text) non-external _normal_getAtts
000000018d6b8868 (__TEXT,__text) non-external _normal_ignoreSectionTok
000000018d6b93b4 (__TEXT,__text) non-external _normal_isPublicId
000000018d6b8d48 (__TEXT,__text) non-external _normal_nameLength
000000018d6b8d04 (__TEXT,__text) non-external _normal_nameMatchesAscii
000000018d6b91e0 (__TEXT,__text) non-external _normal_predefinedEntityName
000000018d6b6e00 (__TEXT,__text) non-external _normal_prologTok
000000018d6ba4fc (__TEXT,__text) non-external _normal_scanAtts
000000018d6b9f78 (__TEXT,__text) non-external _normal_scanComment
000000018d6b96fc (__TEXT,__text) non-external _normal_scanDecl
000000018d6b954c (__TEXT,__text) non-external _normal_scanLit
000000018d6b9cb8 (__TEXT,__text) non-external _normal_scanPercent
000000018d6b985c (__TEXT,__text) non-external _normal_scanPi
000000018d6ba1a8 (__TEXT,__text) non-external _normal_scanRef
000000018d6b8d94 (__TEXT,__text) non-external _normal_skipS
000000018d6b92c8 (__TEXT,__text) non-external _normal_updatePosition
000000018d6b35ac (__TEXT,__text) non-external _normalizeLines
000000018d6aefbc (__TEXT,__text) non-external _normalizePublicId
000000018d6b46b8 (__TEXT,__text) non-external _notation0
000000018d6b5bd4 (__TEXT,__text) non-external _notation1
000000018d6b5d14 (__TEXT,__text) non-external _notation2
000000018d6b5cac (__TEXT,__text) non-external _notation3
000000018d6b5d74 (__TEXT,__text) non-external _notation4
000000018d6c3010 (__TEXT,__text) non-external _parsePseudoAttribute
000000018d6aa924 (__TEXT,__text) non-external _parserCreate
000000018d6aaf38 (__TEXT,__text) non-external _parserInit
000000018d6af350 (__TEXT,__text) non-external _poolAppend
000000018d6abdd4 (__TEXT,__text) non-external _poolCopyString
000000018d6abca4 (__TEXT,__text) non-external _poolDestroy
000000018d6af504 (__TEXT,__text) non-external _poolGrow
000000018d6aec18 (__TEXT,__text) non-external _poolStoreString
000000018d6aff2c (__TEXT,__text) non-external _processInternalEntity
000000018d6ae8fc (__TEXT,__text) non-external _processXmlDecl
000000018d6b3e40 (__TEXT,__text) non-external _prolog0
000000018d6b3f98 (__TEXT,__text) non-external _prolog1
000000018d6b4408 (__TEXT,__text) non-external _prolog2
000000018d6acb68 (__TEXT,__text) non-external _prologInitProcessor
000000018d6acce0 (__TEXT,__text) non-external _prologProcessor
                 (undefined) external _realloc (from libSystem)
000000018d6b0264 (__TEXT,__text) non-external _reportComment
000000018d6ac9a4 (__TEXT,__text) non-external _reportDefault
000000018d6b0134 (__TEXT,__text) non-external _reportProcessingInstruction
000000018d6ab688 (__TEXT,__text) non-external _setContext
000000018d6b2824 (__TEXT,__text) non-external _setElementTypePrefix
000000018d6b05b8 (__TEXT,__text) non-external _sip24_final
000000018d6b04c8 (__TEXT,__text) non-external _sip24_update
000000018d6b06c4 (__TEXT,__text) non-external _sip_round
000000018d6ac1cc (__TEXT,__text) non-external _startParsing
000000018d6af6b8 (__TEXT,__text) non-external _storeAttributeValue
000000018d6b175c (__TEXT,__text) non-external _storeAtts
000000018d6af748 (__TEXT,__text) non-external _storeEntityValue
000000018d6b1330 (__TEXT,__text) non-external _storeRawNames
000000018d6beee4 (__TEXT,__text) non-external _streqci
                 (undefined) external _strtoul (from libSystem)
000000018d6acb3c (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesDirect
000000018d6acb48 (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesIndirect
000000018d6b6400 (__TEXT,__text) non-external _unknown_isInvalid
000000018d6b6338 (__TEXT,__text) non-external _unknown_isName
000000018d6b639c (__TEXT,__text) non-external _unknown_isNmstrt
000000018d6b6534 (__TEXT,__text) non-external _unknown_toUtf16
000000018d6b6434 (__TEXT,__text) non-external _unknown_toUtf8
000000018d6acb54 (__TEXT,__text) non-external (was a private external) _unsignedCharToPrintable
00000001dd88f5b8 (__AUTH_CONST,__const) non-external _utf8_encoding
00000001dd88fec8 (__AUTH_CONST,__const) non-external _utf8_encoding_ns
000000018d6baf74 (__TEXT,__text) non-external _utf8_isInvalid2
000000018d6bafa8 (__TEXT,__text) non-external _utf8_isInvalid3
000000018d6bb038 (__TEXT,__text) non-external _utf8_isInvalid4
000000018d6bae44 (__TEXT,__text) non-external _utf8_isName2
000000018d6bae88 (__TEXT,__text) non-external _utf8_isName3
000000018d6baee0 (__TEXT,__text) non-external _utf8_isNmstrt2
000000018d6baf24 (__TEXT,__text) non-external _utf8_isNmstrt3
000000018d6bacfc (__TEXT,__text) non-external _utf8_toUtf16
000000018d6bac4c (__TEXT,__text) non-external _utf8_toUtf8
