00007ff8400f6df0 (__DATA,__data) external _NDR_record
00007ff8010caf24 (__TEXT,__text) external ___lstat64_extended
00007ff8010caf3c (__TEXT,__text) external ___lstat_extended
00007ff8010caf54 (__TEXT,__text) external ___mac_execve
00007ff8010caf6c (__TEXT,__text) external ___mac_get_fd
00007ff8010caf84 (__TEXT,__text) external ___mac_get_file
00007ff8010caf9c (__TEXT,__text) external ___mac_get_link
00007ff8010cafb4 (__TEXT,__text) external ___mac_get_mount
00007ff8010cafcc (__TEXT,__text) external ___mac_get_pid
00007ff8010cafe4 (__TEXT,__text) external ___mac_get_proc
00007ff8010caffc (__TEXT,__text) external ___mac_getfsstat
00007ff8010cb014 (__TEXT,__text) external ___mac_mount
00007ff8010cb02c (__TEXT,__text) external ___mac_set_fd
00007ff8010cb044 (__TEXT,__text) external ___mac_set_file
00007ff8010cb05c (__TEXT,__text) external ___mac_set_link
00007ff8010cb074 (__TEXT,__text) external ___mac_set_proc
00007ff8010cb08c (__TEXT,__text) external ___mac_syscall
00007ff8010cb0a4 (__TEXT,__text) external ___mach_bridge_remote_time
00007ff8010cb0bc (__TEXT,__text) external ___mach_eventlink_signal
00007ff8010cb0d4 (__TEXT,__text) external ___mach_eventlink_signal_wait_until
00007ff8010cb0ec (__TEXT,__text) external ___mach_eventlink_wait_until
00007ff8010cb104 (__TEXT,__text) external ___map_with_linking_np
00007ff8010cb11c (__TEXT,__text) external ___memorystatus_available_memory
00007ff8010cb134 (__TEXT,__text) external ___microstackshot
00007ff8010cb14c (__TEXT,__text) external ___mkdir_extended
00007ff8010cb164 (__TEXT,__text) external ___mkfifo_extended
00007ff8010cb17c (__TEXT,__text) external ___mmap
00007ff8010cb194 (__TEXT,__text) external ___mprotect
00007ff8010cb1ac (__TEXT,__text) external ___msgctl
00007ff8010cb1c4 (__TEXT,__text) external ___msgrcv_nocancel
00007ff8010cb1dc (__TEXT,__text) external ___msgsnd_nocancel
00007ff8010cb1f4 (__TEXT,__text) external ___msgsys
00007ff8010cb20c (__TEXT,__text) external ___msync
00007ff8010cb224 (__TEXT,__text) external ___msync_nocancel
00007ff8010cb23c (__TEXT,__text) external ___munmap
00007ff8010cb254 (__TEXT,__text) external ___nexus_create
00007ff8010cb26c (__TEXT,__text) external ___nexus_deregister
00007ff8010cb284 (__TEXT,__text) external ___nexus_destroy
00007ff8010cb29c (__TEXT,__text) external ___nexus_get_opt
00007ff8010cb2b4 (__TEXT,__text) external ___nexus_open
00007ff8010cb2cc (__TEXT,__text) external ___nexus_register
00007ff8010cb2e4 (__TEXT,__text) external ___nexus_set_opt
00007ff8010cb2fc (__TEXT,__text) external ___open
00007ff8010cb314 (__TEXT,__text) external ___open_dprotected_np
00007ff8010cb32c (__TEXT,__text) external ___open_extended
00007ff8010cb344 (__TEXT,__text) external ___open_nocancel
00007ff8010cb35c (__TEXT,__text) external ___openat
00007ff8010cb374 (__TEXT,__text) external ___openat_dprotected_np
00007ff8010cb38c (__TEXT,__text) external ___openat_nocancel
00007ff8400f6f68 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
00007ff8010da433 (__TEXT,__text) non-external ___os_nexus_config_flow
00007ff8010da2d5 (__TEXT,__text) external ___os_nexus_flow_add
00007ff8010da348 (__TEXT,__text) external ___os_nexus_flow_del
00007ff8010da4a1 (__TEXT,__text) external ___os_nexus_get_llink_info
00007ff8010da0fb (__TEXT,__text) external ___os_nexus_ifattach
00007ff8010da20c (__TEXT,__text) external ___os_nexus_ifdetach
00007ff8010cb3a4 (__TEXT,__text) external ___oslog_coproc
00007ff8010cb3bc (__TEXT,__text) external ___oslog_coproc_reg
00007ff8010cb3d4 (__TEXT,__text) external ___persona
00007ff8010cb3ec (__TEXT,__text) external ___pipe
00007ff8010cb408 (__TEXT,__text) external ___poll_nocancel
00007ff8010cb420 (__TEXT,__text) external ___posix_spawn
00007ff8010cb438 (__TEXT,__text) external ___pread_nocancel
00007ff8010cb450 (__TEXT,__text) external ___preadv_nocancel
00007ff8010cb468 (__TEXT,__text) external ___proc_info
00007ff8010cb480 (__TEXT,__text) external ___proc_info_extended_id
00007ff8010cb498 (__TEXT,__text) external ___process_policy
00007ff8010cb4b0 (__TEXT,__text) external ___pselect
00007ff8010cb4c8 (__TEXT,__text) external ___pselect_nocancel
00007ff8010cb4e0 (__TEXT,__text) external ___psynch_cvbroad
00007ff8010cb4f8 (__TEXT,__text) external ___psynch_cvclrprepost
00007ff8010cb510 (__TEXT,__text) external ___psynch_cvsignal
00007ff8010cb528 (__TEXT,__text) external ___psynch_cvwait
00007ff8010cb540 (__TEXT,__text) external ___psynch_mutexdrop
00007ff8010cb558 (__TEXT,__text) external ___psynch_mutexwait
00007ff8010cb570 (__TEXT,__text) external ___psynch_rw_downgrade
00007ff8010cb588 (__TEXT,__text) external ___psynch_rw_longrdlock
00007ff8010cb5a0 (__TEXT,__text) external ___psynch_rw_rdlock
00007ff8010cb5b8 (__TEXT,__text) external ___psynch_rw_unlock
00007ff8010cb5d0 (__TEXT,__text) external ___psynch_rw_unlock2
00007ff8010cb5e8 (__TEXT,__text) external ___psynch_rw_upgrade
00007ff8010cb600 (__TEXT,__text) external ___psynch_rw_wrlock
00007ff8010cb618 (__TEXT,__text) external ___psynch_rw_yieldwrlock
00007ff8010cb630 (__TEXT,__text) external ___pthread_canceled
00007ff8010cb648 (__TEXT,__text) external ___pthread_chdir
00007ff8010cb660 (__TEXT,__text) external ___pthread_fchdir
00007ff8010cb678 (__TEXT,__text) external ___pthread_kill
00007ff8010cb690 (__TEXT,__text) external ___pthread_markcancel
00007ff8010cb6a8 (__TEXT,__text) external ___pthread_sigmask
00007ff8010cb6c0 (__TEXT,__text) external ___ptrace
00007ff8010cb6e4 (__TEXT,__text) external ___pwrite_nocancel
00007ff8010cb6fc (__TEXT,__text) external ___pwritev_nocancel
00007ff8010cb714 (__TEXT,__text) external ___read_nocancel
00007ff8010cb72c (__TEXT,__text) external ___readv_nocancel
00007ff8010cb744 (__TEXT,__text) external ___reboot
00007ff8010cb75c (__TEXT,__text) external ___record_system_event
00007ff8010cb774 (__TEXT,__text) external ___recvfrom
00007ff8010cb78c (__TEXT,__text) external ___recvfrom_nocancel
00007ff8010cb7a4 (__TEXT,__text) external ___recvmsg
00007ff8010cb7bc (__TEXT,__text) external ___recvmsg_nocancel
00007ff8400f6f88 (__DATA,__bss) non-external ___remove_counter
00007ff8010cb7d4 (__TEXT,__text) external ___rename
00007ff8010cb7ec (__TEXT,__text) external ___renameat
00007ff8010cb804 (__TEXT,__text) external ___renameatx_np
00007ff8010cb81c (__TEXT,__text) external ___rmdir
00007ff8010caf54 (__TEXT,__text) external ___sandbox_me
00007ff8010cb014 (__TEXT,__text) external ___sandbox_mm
00007ff8010cb08c (__TEXT,__text) external ___sandbox_ms
00007ff8010cb074 (__TEXT,__text) external ___sandbox_msp
00007ff8010cb834 (__TEXT,__text) external ___select
00007ff8010cb84c (__TEXT,__text) external ___select_nocancel
00007ff8010cb864 (__TEXT,__text) external ___sem_open
00007ff8010cb87c (__TEXT,__text) external ___sem_wait_nocancel
00007ff8010cb894 (__TEXT,__text) external ___semctl
00007ff8010cb8ac (__TEXT,__text) external ___semsys
00007ff8010cb8c4 (__TEXT,__text) external ___semwait_signal
00007ff8010cb8dc (__TEXT,__text) external ___semwait_signal_nocancel
00007ff8010cb8f4 (__TEXT,__text) external ___sendmsg
00007ff8010cb90c (__TEXT,__text) external ___sendmsg_nocancel
00007ff8010cb924 (__TEXT,__text) external ___sendto
00007ff8010cb93c (__TEXT,__text) external ___sendto_nocancel
00007ff8010cb954 (__TEXT,__text) external ___setattrlist
00007ff8010cb96c (__TEXT,__text) external ___setlogin
00007ff8010cb984 (__TEXT,__text) external ___setpriority
00007ff8010cb99c (__TEXT,__text) external ___setregid
00007ff8010cb9b4 (__TEXT,__text) external ___setreuid
00007ff8010cb9cc (__TEXT,__text) external ___setrlimit
00007ff8010cb9e4 (__TEXT,__text) external ___setsgroups
00007ff8010cb9fc (__TEXT,__text) external ___settid
00007ff8010cba14 (__TEXT,__text) external ___settid_with_pid
00007ff8010cba2c (__TEXT,__text) external ___settimeofday
00007ff8010cba44 (__TEXT,__text) external ___setwgroups
00007ff8010cba5c (__TEXT,__text) external ___sfi_ctl
00007ff8010cba74 (__TEXT,__text) external ___sfi_pidctl
00007ff8010cba8c (__TEXT,__text) external ___shared_region_check_np
00007ff8010cbaa4 (__TEXT,__text) external ___shared_region_map_and_slide_2_np
00007ff8010cbabc (__TEXT,__text) external ___shm_open
00007ff8010cbad4 (__TEXT,__text) external ___shmctl
00007ff8010cbaec (__TEXT,__text) external ___shmsys
00007ff8010cbb04 (__TEXT,__text) external ___sigaction
00007ff8010cbb1c (__TEXT,__text) external ___sigaltstack
00007ff8010cbb34 (__TEXT,__text) external ___sigreturn
00007ff8010cbb4c (__TEXT,__text) external ___sigsuspend
00007ff8010cbb64 (__TEXT,__text) external ___sigsuspend_nocancel
00007ff8010cbb7c (__TEXT,__text) external ___sigwait
00007ff8010cbb94 (__TEXT,__text) external ___socketpair
00007ff8010cbbac (__TEXT,__text) external ___stack_snapshot_with_config
00007ff8010cbbc4 (__TEXT,__text) external ___stat64_extended
00007ff8010cbbdc (__TEXT,__text) external ___stat_extended
00007ff8010d31b4 (__TEXT,__text) non-external ___statfs_ext_impl
00007ff8010cbbf4 (__TEXT,__text) external ___syscall
00007ff8400f7620 (__DATA,__common) external ___syscall_logger
00007ff8010cbc0c (__TEXT,__text) external ___sysctl
00007ff8010cbc24 (__TEXT,__text) external ___sysctlbyname
00007ff8010cbc3c (__TEXT,__text) external ___telemetry
00007ff8010cbc54 (__TEXT,__text) external ___terminate_with_payload
00007ff8010cbc6c (__TEXT,__text) external ___thread_selfid
00007ff8010cbc84 (__TEXT,__text) external ___thread_selfusage
00007ff8010cbc9c (__TEXT,__text) external ___ulock_wait
00007ff8010cbcb4 (__TEXT,__text) external ___ulock_wait2
00007ff8010cbccc (__TEXT,__text) external ___ulock_wake
00007ff8010cbce4 (__TEXT,__text) external ___umask_extended
00007ff8010cbcfc (__TEXT,__text) external ___unlink
00007ff8010cbd14 (__TEXT,__text) external ___unlinkat
00007ff8010cbd2c (__TEXT,__text) external ___vfork
00007ff8010cbd84 (__TEXT,__text) external ___wait4
00007ff8010cbd9c (__TEXT,__text) external ___wait4_nocancel
00007ff8010cbdb4 (__TEXT,__text) external ___waitid_nocancel
00007ff8010cbdcc (__TEXT,__text) external ___work_interval_ctl
00007ff8010cbde4 (__TEXT,__text) external ___workq_kernreturn
00007ff8010cbdfc (__TEXT,__text) external ___workq_open
00007ff8010cbe14 (__TEXT,__text) external ___write_nocancel
00007ff8010cbe2c (__TEXT,__text) external ___writev_nocancel
00007ff8400f6fdc (__DATA,__common) external __cpu_capabilities
00007ff8400f6fd8 (__DATA,__common) external __cpu_has_altivec
00007ff8400f6c10 (__DATA,__data) non-external (was a private external) __current_pid
00007ff8400f6f48 (__DATA,__bss) non-external __dlsym
00007ff8010ca2b0 (__TEXT,__text) external __exclaves_ctl_trap
00007ff8010cab30 (__TEXT,__text) external __exit
00007ff8010ca820 (__TEXT,__text) external __get_cpu_capabilities
00007ff8400f6f60 (__DATA,__bss) non-external __gethostuuid_callback
00007ff8010d2761 (__TEXT,__text) external __getprivatesystemidentifier
00007ff8010e06e5 (__TEXT,__text) external __host_page_size
00007ff8010daec6 (__TEXT,__text) external __init_cpu_capabilities
00007ff8010e1ba1 (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
00007ff8010e3059 (__TEXT,__text) external __kernelrpc_mach_port_allocate
00007ff8010e43ab (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
00007ff8010e2f6a (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
00007ff8010e425a (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
00007ff8010ca094 (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
00007ff8010e5d72 (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
00007ff8010e50ba (__TEXT,__text) external __kernelrpc_mach_port_construct
00007ff8010ca0e8 (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
00007ff8010e3279 (__TEXT,__text) external __kernelrpc_mach_port_deallocate
00007ff8010ca0a0 (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
00007ff8010e318b (__TEXT,__text) external __kernelrpc_mach_port_destroy
00007ff8010e51f4 (__TEXT,__text) external __kernelrpc_mach_port_destruct
00007ff8010ca0f4 (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
00007ff8010e490d (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
00007ff8010e4c74 (__TEXT,__text) external __kernelrpc_mach_port_extract_member
00007ff8010ca0dc (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
00007ff8010e3cfb (__TEXT,__text) external __kernelrpc_mach_port_extract_right
00007ff8010e3f39 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
00007ff8010ca19c (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
00007ff8010e4d63 (__TEXT,__text) external __kernelrpc_mach_port_get_context
00007ff8010e3367 (__TEXT,__text) external __kernelrpc_mach_port_get_refs
00007ff8010e5c00 (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
00007ff8010e3889 (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
00007ff8010e45fb (__TEXT,__text) external __kernelrpc_mach_port_get_srights
00007ff8010e52df (__TEXT,__text) external __kernelrpc_mach_port_guard
00007ff8010ca1a8 (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
00007ff8010e570f (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
00007ff8010e4b85 (__TEXT,__text) external __kernelrpc_mach_port_insert_member
00007ff8010ca0d0 (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
00007ff8010e3bfe (__TEXT,__text) external __kernelrpc_mach_port_insert_right
00007ff8010ca0c4 (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
00007ff8010e5ac8 (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
00007ff8010e4a49 (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
00007ff8010e4f73 (__TEXT,__text) external __kernelrpc_mach_port_kobject
00007ff8010e58e5 (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
00007ff8010e3495 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
00007ff8010ca0ac (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
00007ff8010e39d3 (__TEXT,__text) external __kernelrpc_mach_port_move_member
00007ff8010ca0b8 (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
00007ff8010e2bd1 (__TEXT,__text) external __kernelrpc_mach_port_names
00007ff8010e3580 (__TEXT,__text) external __kernelrpc_mach_port_peek
00007ff8010e2e7b (__TEXT,__text) external __kernelrpc_mach_port_rename
00007ff8010e3ac2 (__TEXT,__text) external __kernelrpc_mach_port_request_notification
00007ff8010ca2a4 (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
00007ff8010e410e (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
00007ff8010e4e8c (__TEXT,__text) external __kernelrpc_mach_port_set_context
00007ff8010e379a (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
00007ff8010e3e4a (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
00007ff8010e54b1 (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
00007ff8010e472d (__TEXT,__text) external __kernelrpc_mach_port_space_info
00007ff8010e55dd (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
00007ff8010e57fa (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
00007ff8010e2d49 (__TEXT,__text) external __kernelrpc_mach_port_type
00007ff8010ca298 (__TEXT,__text) external __kernelrpc_mach_port_type_trap
00007ff8010e53ca (__TEXT,__text) external __kernelrpc_mach_port_unguard
00007ff8010ca1b4 (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
00007ff8010ea7eb (__TEXT,__text) external __kernelrpc_mach_ports_lookup3
00007ff8010ea6e4 (__TEXT,__text) external __kernelrpc_mach_ports_register3
00007ff8010ee782 (__TEXT,__text) external __kernelrpc_mach_task_is_self
00007ff8010e5ebe (__TEXT,__text) external __kernelrpc_mach_vm_allocate
00007ff8010ca04c (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
00007ff8010e5fea (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
00007ff8010ca064 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
00007ff8010e6a59 (__TEXT,__text) external __kernelrpc_mach_vm_map
00007ff8010ca088 (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
00007ff8010e60d1 (__TEXT,__text) external __kernelrpc_mach_vm_protect
00007ff8010ca07c (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
00007ff8010e755d (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
00007ff8010ca058 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
00007ff8010e62ab (__TEXT,__text) external __kernelrpc_mach_vm_read
00007ff8010e8424 (__TEXT,__text) external __kernelrpc_mach_vm_reallocate
00007ff8010e6d04 (__TEXT,__text) external __kernelrpc_mach_vm_remap
00007ff8010e79bb (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
00007ff8010e80a4 (__TEXT,__text) external __kernelrpc_mach_vm_update_pointers_with_remote_tags
00007ff8010f45f9 (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
00007ff8010e450d (__TEXT,__text) external __kernelrpc_task_set_port_space
00007ff8010f0ae2 (__TEXT,__text) external __kernelrpc_thread_policy
00007ff8010f0c2c (__TEXT,__text) external __kernelrpc_thread_policy_set
00007ff8010f145d (__TEXT,__text) external __kernelrpc_thread_set_policy
00007ff8010f29c1 (__TEXT,__text) external __kernelrpc_vm_map
00007ff8010f34c5 (__TEXT,__text) external __kernelrpc_vm_purgable_control
00007ff8010f2213 (__TEXT,__text) external __kernelrpc_vm_read
00007ff8010f378f (__TEXT,__text) external __kernelrpc_vm_reallocate
00007ff8010f2c6c (__TEXT,__text) external __kernelrpc_vm_remap
00007ff8010f35ee (__TEXT,__text) external __kernelrpc_vm_remap_new
00007ff8010cd52b (__TEXT,__text) non-external __libkernel_bzero
00007ff8400f6f40 (__DATA,__bss) non-external __libkernel_functions
00007ff8400b45d0 (__DATA_CONST,__const) non-external __libkernel_generic_string_functions
00007ff8010cd5b4 (__TEXT,__text) non-external __libkernel_memmove
00007ff8010cd535 (__TEXT,__text) non-external __libkernel_memset
00007ff8010cd4f2 (__TEXT,__text) non-external __libkernel_strchr
00007ff8010cd510 (__TEXT,__text) non-external __libkernel_strcmp
00007ff8010cd701 (__TEXT,__text) non-external __libkernel_strcpy
00007ff8400f6c20 (__DATA,__data) non-external __libkernel_string_functions
00007ff8010cd729 (__TEXT,__text) non-external __libkernel_strlcpy
00007ff8010cd3d2 (__TEXT,__text) non-external __libkernel_strlen
00007ff8400f6c28 (__DATA,__data) non-external __libkernel_voucher_functions
00007ff8010f4f70 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
00007ff8010ce2e8 (__TEXT,__text) non-external __mach_continuous_time
00007ff8400b5870 (__DATA_CONST,__const) external __mach_errors
00007ff8010ceab4 (__TEXT,__text) external __mach_fork_child
00007ff8010d04b6 (__TEXT,__text) external __mach_snprintf
00007ff8010d032e (__TEXT,__text) external __mach_vsnprintf
00007ff8400f6fe0 (__DATA,__common) external __os_alloc_once_table
00007ff8010d40e2 (__TEXT,__text) non-external __posix_spawn_file_actions_grow
00007ff8010d4bec (__TEXT,__text) non-external __posix_spawnattr_get_posix_creds_info
00007ff8010d2766 (__TEXT,__text) external __register_gethostuuid_callback
00007ff8400f6f54 (__DATA,__bss) non-external __task_reply_port
00007ff8010cd33c (__TEXT,__text) external __thread_set_tsd_base
00007ff8010f4e0f (__TEXT,__text) non-external _abort
00007ff8010f4e0f (__TEXT,__text) non-external _abort.342
00007ff8010f4e0f (__TEXT,__text) non-external _abort.387
00007ff8010f4e0f (__TEXT,__text) non-external _abort.405
00007ff8010f4f14 (__TEXT,__text) external _abort_with_payload
00007ff8010f4e99 (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
00007ff8010f4e86 (__TEXT,__text) external _abort_with_reason
00007ff8010ca860 (__TEXT,__text) external _accept
00007ff8010ca878 (__TEXT,__text) external _accept$NOCANCEL
00007ff8010cbe44 (__TEXT,__text) external _access
00007ff8010ca890 (__TEXT,__text) external _accessx_np
00007ff8010cbe5c (__TEXT,__text) external _acct
00007ff8010ef57c (__TEXT,__text) external _act_get_state
00007ff8010ef765 (__TEXT,__text) external _act_set_state
00007ff8010cbe74 (__TEXT,__text) external _adjtime
00007ff8010cbe8c (__TEXT,__text) external _aio_cancel
00007ff8010cbea4 (__TEXT,__text) external _aio_error
00007ff8010cbebc (__TEXT,__text) external _aio_fsync
00007ff8010cbed4 (__TEXT,__text) external _aio_read
00007ff8010cbeec (__TEXT,__text) external _aio_return
00007ff8010cbf04 (__TEXT,__text) external _aio_suspend
00007ff8010ca8a8 (__TEXT,__text) external _aio_suspend$NOCANCEL
00007ff8010cbf1c (__TEXT,__text) external _aio_write
00007ff8010cbf34 (__TEXT,__text) external _audit
00007ff8010cbf4c (__TEXT,__text) external _audit_session_join
00007ff8010cbf64 (__TEXT,__text) external _audit_session_port
00007ff8010cbf7c (__TEXT,__text) external _audit_session_self
00007ff8010cbf94 (__TEXT,__text) external _auditctl
00007ff8010cbfac (__TEXT,__text) external _auditon
00007ff8010ca8c0 (__TEXT,__text) external _bind
00007ff8400f6f9c (__DATA,__common) external _bootstrap_port
00007ff8010d073a (__TEXT,__text) external _cerror
00007ff8010d0715 (__TEXT,__text) external _cerror_nocancel
00007ff8010cbfc4 (__TEXT,__text) external _change_fdguard_np
00007ff8010cbfdc (__TEXT,__text) external _chdir
00007ff8010cbff4 (__TEXT,__text) external _chflags
00007ff8010d347f (__TEXT,__text) external _chmod
00007ff8010cc00c (__TEXT,__text) external _chown
