                 (undefined) external _CFArrayAppendValue (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutable (from CoreFoundation)
                 (undefined) external _CFBundleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormatAndArguments (from CoreFoundation)
                 (undefined) external _CFStringGetBytes (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetCStringPtr (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
                 (undefined) external _CFStringGetMaximumSizeForEncoding (from CoreFoundation)
                 (undefined) external _CFURLCopyScheme (from CoreFoundation)
                 (undefined) external _CFURLCreateWithBytes (from CoreFoundation)
00007ff812df46e4 (__TEXT,__text) external _CMCloneProfileRef
00007ff84381ecd8 (__DATA,__bss) non-external _CMNewProfile.func
00007ff84381ece0 (__DATA,__bss) non-external _CMNewProfile.predicate
00007ff812df1d03 (__TEXT,__text) external _CMOpenProfile
00007ff84381ecc8 (__DATA,__bss) non-external _CMOpenProfile.func
00007ff84381ecd0 (__DATA,__bss) non-external _CMOpenProfile.predicate
00007ff812df4be6 (__TEXT,__text) external _CMPostLegacyDeviceNotification
00007ff84381f070 (__DATA,__bss) non-external _CMPostLegacyDeviceNotification.func
00007ff812df1c15 (__TEXT,__text) external _CMProfileCopyICCData
00007ff84381ecb8 (__DATA,__bss) non-external _CMProfileCopyICCData.func
00007ff84381ecc0 (__DATA,__bss) non-external _CMProfileCopyICCData.predicate
00007ff812df1b24 (__TEXT,__text) external _CMProfileElementExists
00007ff84381eca8 (__DATA,__bss) non-external _CMProfileElementExists.func
00007ff84381ecb0 (__DATA,__bss) non-external _CMProfileElementExists.predicate
00007ff812df1a9e (__TEXT,__text) external _CMProfileModified
00007ff84381ec98 (__DATA,__bss) non-external _CMProfileModified.func
00007ff84381eca0 (__DATA,__bss) non-external _CMProfileModified.predicate
00007ff812df4ba4 (__TEXT,__text) external _CMProfileWriteToFile
00007ff84381f068 (__DATA,__bss) non-external _CMProfileWriteToFile.func
00007ff812df1a00 (__TEXT,__text) external _CMRegisterColorDevice
00007ff84381ec88 (__DATA,__bss) non-external _CMRegisterColorDevice.func
00007ff84381ec90 (__DATA,__bss) non-external _CMRegisterColorDevice.predicate
00007ff812df197c (__TEXT,__text) external _CMRemoveProfileElement
00007ff84381ec78 (__DATA,__bss) non-external _CMRemoveProfileElement.func
00007ff84381ec80 (__DATA,__bss) non-external _CMRemoveProfileElement.predicate
00007ff812df18f8 (__TEXT,__text) external _CMSetDefaultDevice
00007ff84381ec68 (__DATA,__bss) non-external _CMSetDefaultDevice.func
00007ff84381ec70 (__DATA,__bss) non-external _CMSetDefaultDevice.predicate
00007ff812df185f (__TEXT,__text) external _CMSetDeviceDefaultProfileID
00007ff84381ec58 (__DATA,__bss) non-external _CMSetDeviceDefaultProfileID.func
00007ff84381ec60 (__DATA,__bss) non-external _CMSetDeviceDefaultProfileID.predicate
00007ff812df17c1 (__TEXT,__text) external _CMSetDeviceFactoryProfiles
00007ff84381ec48 (__DATA,__bss) non-external _CMSetDeviceFactoryProfiles.func
00007ff84381ec50 (__DATA,__bss) non-external _CMSetDeviceFactoryProfiles.predicate
00007ff812df170e (__TEXT,__text) external _CMSetDeviceProfile
00007ff84381ec38 (__DATA,__bss) non-external _CMSetDeviceProfile.func
00007ff84381ec40 (__DATA,__bss) non-external _CMSetDeviceProfile.predicate
00007ff812df1675 (__TEXT,__text) external _CMSetDeviceState
00007ff84381ec28 (__DATA,__bss) non-external _CMSetDeviceState.func
00007ff84381ec30 (__DATA,__bss) non-external _CMSetDeviceState.predicate
00007ff812df15dc (__TEXT,__text) external _CMSetDeviceTrackingByUse
00007ff84381ec18 (__DATA,__bss) non-external _CMSetDeviceTrackingByUse.func
00007ff84381ec20 (__DATA,__bss) non-external _CMSetDeviceTrackingByUse.predicate
00007ff812df1556 (__TEXT,__text) external _CMSetGammaByAVID
00007ff84381ec08 (__DATA,__bss) non-external _CMSetGammaByAVID.func
00007ff84381ec10 (__DATA,__bss) non-external _CMSetGammaByAVID.predicate
00007ff812df14a3 (__TEXT,__text) external _CMSetPartialProfileElement
00007ff84381ebf8 (__DATA,__bss) non-external _CMSetPartialProfileElement.func
00007ff84381ec00 (__DATA,__bss) non-external _CMSetPartialProfileElement.predicate
00007ff812df141d (__TEXT,__text) external _CMSetProfileByAVID
00007ff84381ebe8 (__DATA,__bss) non-external _CMSetProfileByAVID.func
00007ff84381ebf0 (__DATA,__bss) non-external _CMSetProfileByAVID.predicate
00007ff812df1361 (__TEXT,__text) external _CMSetProfileDescriptions
00007ff84381ebd8 (__DATA,__bss) non-external _CMSetProfileDescriptions.func
00007ff84381ebe0 (__DATA,__bss) non-external _CMSetProfileDescriptions.predicate
00007ff812df12c3 (__TEXT,__text) external _CMSetProfileElement
00007ff84381ebc8 (__DATA,__bss) non-external _CMSetProfileElement.func
00007ff84381ebd0 (__DATA,__bss) non-external _CMSetProfileElement.predicate
00007ff812df122a (__TEXT,__text) external _CMSetProfileElementReference
00007ff84381ebb8 (__DATA,__bss) non-external _CMSetProfileElementReference.func
00007ff84381ebc0 (__DATA,__bss) non-external _CMSetProfileElementReference.predicate
00007ff812df1191 (__TEXT,__text) external _CMSetProfileElementSize
00007ff84381eba8 (__DATA,__bss) non-external _CMSetProfileElementSize.func
00007ff84381ebb0 (__DATA,__bss) non-external _CMSetProfileElementSize.predicate
00007ff812df110b (__TEXT,__text) external _CMSetProfileHeader
00007ff84381eb98 (__DATA,__bss) non-external _CMSetProfileHeader.func
00007ff84381eba0 (__DATA,__bss) non-external _CMSetProfileHeader.predicate
00007ff812df1070 (__TEXT,__text) external _CMSetProfileLocalizedStringDictionary
00007ff84381eb88 (__DATA,__bss) non-external _CMSetProfileLocalizedStringDictionary.func
00007ff84381eb90 (__DATA,__bss) non-external _CMSetProfileLocalizedStringDictionary.predicate
00007ff812df0fed (__TEXT,__text) external _CMSetSystemProfile
00007ff84381eb78 (__DATA,__bss) non-external _CMSetSystemProfile.func
00007ff84381eb80 (__DATA,__bss) non-external _CMSetSystemProfile.predicate
00007ff812df4b23 (__TEXT,__text) external _CMSetSystemProfileAVID
00007ff84381f058 (__DATA,__bss) non-external _CMSetSystemProfileAVID.func
00007ff84381f060 (__DATA,__bss) non-external _CMSetSystemProfileAVID.predicate
00007ff812df0f69 (__TEXT,__text) external _CMUnregisterColorDevice
00007ff84381eb68 (__DATA,__bss) non-external _CMUnregisterColorDevice.func
00007ff84381eb70 (__DATA,__bss) non-external _CMUnregisterColorDevice.predicate
00007ff812df0eca (__TEXT,__text) external _CMUpdateProfile
00007ff84381eb58 (__DATA,__bss) non-external _CMUpdateProfile.func
00007ff84381eb60 (__DATA,__bss) non-external _CMUpdateProfile.predicate
00007ff812df0dd9 (__TEXT,__text) external _CMValidateProfile
00007ff84381eb48 (__DATA,__bss) non-external _CMValidateProfile.func
00007ff84381eb50 (__DATA,__bss) non-external _CMValidateProfile.predicate
00007ff812df0d26 (__TEXT,__text) external _CWCheckBitmap
00007ff84381eb38 (__DATA,__bss) non-external _CWCheckBitmap.func
00007ff84381eb40 (__DATA,__bss) non-external _CWCheckBitmap.predicate
00007ff812df0c88 (__TEXT,__text) external _CWCheckColors
00007ff84381eb28 (__DATA,__bss) non-external _CWCheckColors.func
00007ff84381eb30 (__DATA,__bss) non-external _CWCheckColors.predicate
00007ff812df00f3 (__TEXT,__text) external _CWColorWorldGetProperty
00007ff84381ea58 (__DATA,__bss) non-external _CWColorWorldGetProperty.func
00007ff84381ea60 (__DATA,__bss) non-external _CWColorWorldGetProperty.predicate
00007ff812df005d (__TEXT,__text) external _CWColorWorldSetProperty
00007ff84381ea48 (__DATA,__bss) non-external _CWColorWorldSetProperty.func
00007ff84381ea50 (__DATA,__bss) non-external _CWColorWorldSetProperty.predicate
00007ff812df0b10 (__TEXT,__text) external _CWConcatColorWorld
00007ff84381eb18 (__DATA,__bss) non-external _CWConcatColorWorld.func
00007ff84381eb20 (__DATA,__bss) non-external _CWConcatColorWorld.predicate
00007ff812df0a92 (__TEXT,__text) external _CWDisposeColorWorld
00007ff84381eb08 (__DATA,__bss) non-external _CWDisposeColorWorld.func
00007ff84381eb10 (__DATA,__bss) non-external _CWDisposeColorWorld.predicate
00007ff812df09df (__TEXT,__text) external _CWFillLookupTexture
00007ff84381eaf8 (__DATA,__bss) non-external _CWFillLookupTexture.func
00007ff84381eb00 (__DATA,__bss) non-external _CWFillLookupTexture.predicate
00007ff812df095f (__TEXT,__text) external _CWGetCMMSignature
00007ff84381eae8 (__DATA,__bss) non-external _CWGetCMMSignature.func
00007ff84381eaf0 (__DATA,__bss) non-external _CWGetCMMSignature.predicate
00007ff812df08ac (__TEXT,__text) external _CWMatchBitmap
00007ff84381ead8 (__DATA,__bss) non-external _CWMatchBitmap.func
00007ff84381eae0 (__DATA,__bss) non-external _CWMatchBitmap.predicate
00007ff812df0811 (__TEXT,__text) external _CWMatchColors
00007ff84381eac8 (__DATA,__bss) non-external _CWMatchColors.func
00007ff84381ead0 (__DATA,__bss) non-external _CWMatchColors.predicate
00007ff812df0691 (__TEXT,__text) external _CWNewLinkProfile
00007ff84381eab8 (__DATA,__bss) non-external _CWNewLinkProfile.func
00007ff84381eac0 (__DATA,__bss) non-external _CWNewLinkProfile.predicate
00007ff812df5278 (__TEXT,__const) non-external (was a private external) _ColorSyncLegacyVersionNumber
00007ff812df5240 (__TEXT,__const) non-external (was a private external) _ColorSyncLegacyVersionString
00007ff812defaea (__TEXT,__text) non-external (was a private external) _ColorSyncLoadLegacyFunction
00007ff84381ea20 (__DATA,__bss) non-external _ColorSyncLoadLegacyFunction.handle
00007ff84381e9d0 (__DATA,__data) non-external _ColorSyncLoadLegacyFunction.mtx
00007ff812df4c7e (__TEXT,__text) non-external (was a private external) _ColorSyncLog
00007ff812df50cc (__TEXT,__text) non-external _ColorSyncLog.cold.1
00007ff84381f4a0 (__DATA,__bss) non-external _ColorSyncLog.log
00007ff84381f4a8 (__DATA,__bss) non-external _ColorSyncLog.predicate
                 (undefined) external _ColorSyncProfileGetTypeID (from ColorSync)
00007ff812df022c (__TEXT,__text) external _CreateCMProfileFromColorSyncProfile
00007ff84381f080 (__DATA,__bss) non-external _CreateCMProfileFromColorSyncProfile.func
00007ff812df4c3d (__TEXT,__text) external _CreateColorSyncProfileFromCMProfile
00007ff84381f078 (__DATA,__bss) non-external _CreateColorSyncProfileFromCMProfile.func
00007ff812df04e6 (__TEXT,__text) external _DisposeCMBitmapCallBackUPP
00007ff812df068b (__TEXT,__text) external _DisposeCMConcatCallBackUPP
00007ff812df0685 (__TEXT,__text) external _DisposeCMFlattenUPP
00007ff812df067f (__TEXT,__text) external _DisposeCMMIterateUPP
00007ff812df0679 (__TEXT,__text) external _DisposeCMProfileAccessUPP
00007ff812df0673 (__TEXT,__text) external _DisposeCMProfileIterateUPP
00007ff812df066c (__TEXT,__text) external _InvokeCMBitmapCallBackUPP
00007ff812df0665 (__TEXT,__text) external _InvokeCMConcatCallBackUPP
00007ff812df065d (__TEXT,__text) external _InvokeCMFlattenUPP
00007ff812df0656 (__TEXT,__text) external _InvokeCMMIterateUPP
00007ff812df064e (__TEXT,__text) external _InvokeCMProfileAccessUPP
00007ff812df0647 (__TEXT,__text) external _InvokeCMProfileIterateUPP
00007ff812df48fc (__TEXT,__text) external _NCMGetProfileLocation
00007ff84381f038 (__DATA,__bss) non-external _NCMGetProfileLocation.func
00007ff84381f040 (__DATA,__bss) non-external _NCMGetProfileLocation.predicate
00007ff812df4997 (__TEXT,__text) external _NCWConcatColorWorld
00007ff84381f048 (__DATA,__bss) non-external _NCWConcatColorWorld.func
00007ff84381f050 (__DATA,__bss) non-external _NCWConcatColorWorld.predicate
00007ff812df04ec (__TEXT,__text) external _NCWNewColorWorld
00007ff84381eaa8 (__DATA,__bss) non-external _NCWNewColorWorld.func
00007ff84381eab0 (__DATA,__bss) non-external _NCWNewColorWorld.predicate
00007ff812df4767 (__TEXT,__text) external _NCWNewLinkProfile
00007ff84381f028 (__DATA,__bss) non-external _NCWNewLinkProfile.func
00007ff84381f030 (__DATA,__bss) non-external _NCWNewLinkProfile.predicate
00007ff812df04dd (__TEXT,__text) external _NewCMBitmapCallBackUPP
00007ff812df04d4 (__TEXT,__text) external _NewCMConcatCallBackUPP
00007ff812df04cb (__TEXT,__text) external _NewCMFlattenUPP
00007ff812df04c2 (__TEXT,__text) external _NewCMMIterateUPP
00007ff812df04b9 (__TEXT,__text) external _NewCMProfileAccessUPP
00007ff812df04b0 (__TEXT,__text) external _NewCMProfileIterateUPP
                 (undefined) external __CFBundleCopyInfoDictionaryInResourceFork (from CoreFoundation)
                 (undefined) external __CFBundleGetMainBundleIfLooksLikeBundle (from CoreFoundation)
                 (undefined) external __CFProcessPath (from CoreFoundation)
00007ff812df0411 (__TEXT,__text) external __CMGetProfileOfSuite
00007ff84381ea98 (__DATA,__bss) non-external __CMGetProfileOfSuite.func
00007ff84381eaa0 (__DATA,__bss) non-external __CMGetProfileOfSuite.predicate
00007ff812df0390 (__TEXT,__text) external __CMLoadProfileLutsByAVID
00007ff84381ea88 (__DATA,__bss) non-external __CMLoadProfileLutsByAVID.func
00007ff84381ea90 (__DATA,__bss) non-external __CMLoadProfileLutsByAVID.predicate
00007ff812df02a5 (__TEXT,__text) external __CMProfileGetProperty
00007ff84381ea78 (__DATA,__bss) non-external __CMProfileGetProperty.func
00007ff84381ea80 (__DATA,__bss) non-external __CMProfileGetProperty.predicate
00007ff812df0176 (__TEXT,__text) external __CMProfileSetProperty
00007ff84381ea68 (__DATA,__bss) non-external __CMProfileSetProperty.func
00007ff84381ea70 (__DATA,__bss) non-external __CMProfileSetProperty.predicate
00007ff812deffda (__TEXT,__text) external __CWColorWorldGetProperty
00007ff84381ea38 (__DATA,__bss) non-external __CWColorWorldGetProperty.func
00007ff84381ea40 (__DATA,__bss) non-external __CWColorWorldGetProperty.predicate
00007ff812deff44 (__TEXT,__text) external __CWColorWorldSetProperty
00007ff84381ea28 (__DATA,__bss) non-external __CWColorWorldSetProperty.func
00007ff84381ea30 (__DATA,__bss) non-external __CWColorWorldSetProperty.predicate
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00007ff812df472f (__TEXT,__text) non-external ___CMCloneProfileRef_block_invoke
00007ff812df46ac (__TEXT,__text) non-external ___CMCloseProfile_block_invoke
00007ff812df4629 (__TEXT,__text) non-external ___CMConvertDoubleXYZToD50_block_invoke
