0000000180467b5c (__TEXT,__text) external _OSAtomicAdd32
0000000180464bf0 (__TEXT,__text) external __platform_strncmp
00000001804658e0 (__TEXT,__text) external __platform_strncpy
0000000180464d20 (__TEXT,__text) external __platform_strnlen
0000000180465858 (__TEXT,__text) external __platform_strstr
0000000180469fd8 (__TEXT,__text) non-external (was a private external) __setcontext
0000000180465a54 (__TEXT,__text) external __setjmp
00000001804679ec (__TEXT,__text) non-external (was a private external) __sigtramp
0000000180467ea8 (__TEXT,__text) non-external (was a private external) __sigunaltstack
0000000180468f34 (__TEXT,__text) non-external __simple_asl_connect
00000001804669ac (__TEXT,__text) non-external __simple_asl_connect_once
0000000180466674 (__TEXT,__text) non-external __simple_asl_escape_key
00000001804666e8 (__TEXT,__text) non-external __simple_asl_escape_val
0000000180468fe4 (__TEXT,__text) external __simple_asl_get_fd
0000000180467454 (__TEXT,__text) non-external (was a private external) __simple_asl_init
000000018046762c (__TEXT,__text) non-external __simple_asl_init_context
00000001804663f0 (__TEXT,__text) external __simple_asl_log
0000000180466474 (__TEXT,__text) external __simple_asl_log_prog
00000001804664b4 (__TEXT,__text) external __simple_asl_msg_new
0000000180466500 (__TEXT,__text) external __simple_asl_msg_set
00000001804667e4 (__TEXT,__text) external __simple_asl_send
00000001804691e0 (__TEXT,__text) external __simple_dprintf
0000000180468760 (__TEXT,__text) external __simple_esappend
0000000180466644 (__TEXT,__text) external __simple_esprintf
0000000180467270 (__TEXT,__text) external __simple_getenv
000000018046934c (__TEXT,__text) external __simple_put
0000000180469354 (__TEXT,__text) external __simple_putline
0000000180465c3c (__TEXT,__text) external __simple_salloc
0000000180466748 (__TEXT,__text) external __simple_sappend
000000018046605c (__TEXT,__text) external __simple_sfree
0000000180465ce8 (__TEXT,__text) external __simple_sprintf
00000001804667b0 (__TEXT,__text) external __simple_sresize
000000018046604c (__TEXT,__text) external __simple_string
000000018046907c (__TEXT,__text) external __simple_vdprintf
0000000180467ee0 (__TEXT,__text) external __simple_vesprintf
0000000180465cc0 (__TEXT,__text) external __simple_vsprintf
00000001804679b8 (__TEXT,__text) external __spin_lock
00000001804699c0 (__TEXT,__text) external __spin_lock_try
00000001804679d4 (__TEXT,__text) external __spin_unlock
                 (undefined) external _close (from libsystem_kernel)
00000001d65fd858 (__DATA_DIRTY,__common) non-external (was a private external) _commpage_pfz_base
                 (undefined) external _connect (from libsystem_kernel)
00000001804698cc (__TEXT,__text) non-external _cpus_that_need_dsb_for_ic_ivau
00000001804660f0 (__TEXT,__text) non-external _dec
                 (undefined) external _fcntl (from libsystem_kernel)
0000000180464f44 (__TEXT,__text) external _ffs
0000000180464f5c (__TEXT,__text) external _ffsl
0000000180464f5c (__TEXT,__text) external _ffsll
0000000180464f74 (__TEXT,__text) external _fls
0000000180464f84 (__TEXT,__text) external _flsl
0000000180464f84 (__TEXT,__text) external _flsll
00000001d54a00b8 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
000000018046a09c (__TEXT,__text) external _getcontext
                 (undefined) external _getgid (from libsystem_kernel)
                 (undefined) external _getpid (from libsystem_kernel)
                 (undefined) external _getrlimit (from libsystem_kernel)
                 (undefined) external _getuid (from libsystem_kernel)
0000000180465d20 (__TEXT,__text) non-external _hex
0000000180465b64 (__TEXT,__text) external _longjmp
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_continuous_time (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _mach_timebase_info (from libsystem_kernel)
                 (undefined) external _mach_vm_deallocate (from libsystem_kernel)
                 (undefined) external _mach_vm_map (from libsystem_kernel)
0000000180469db4 (__TEXT,__text) external _makecontext
0000000180469bb0 (__TEXT,__text) non-external (was a private external) _memset
000000018046939c (__TEXT,__text) non-external _oct
0000000180467a3c (__TEXT,__text) external _os_lock_lock
0000000180467da0 (__TEXT,__text) external _os_lock_trylock
0000000180467a6c (__TEXT,__text) external _os_lock_unlock
00000001804688d0 (__TEXT,__text) external _os_log_simple_now
00000001804688d4 (__TEXT,__text) external _os_log_simple_type_from_asl
000000018046a698 (__TEXT,__const) non-external _os_log_simple_type_from_asl._level2ostype
00000001804655c0 (__TEXT,__text) external _os_unfair_lock_assert_not_owner
000000018046a310 (__TEXT,__text) non-external _os_unfair_lock_assert_not_owner.cold.1
0000000180464f14 (__TEXT,__text) external _os_unfair_lock_assert_owner
000000018046a2e8 (__TEXT,__text) non-external _os_unfair_lock_assert_owner.cold.1
0000000180464ef0 (__TEXT,__text) external _os_unfair_lock_lock
00000001804699f4 (__TEXT,__text) external _os_unfair_lock_lock_no_tsd
0000000180464a00 (__TEXT,__text) external _os_unfair_lock_lock_with_options
0000000180465960 (__TEXT,__text) external _os_unfair_lock_trylock
0000000180464a20 (__TEXT,__text) external _os_unfair_lock_unlock
0000000180469a0c (__TEXT,__text) external _os_unfair_lock_unlock_no_tsd
0000000180464a3c (__TEXT,__text) external _os_unfair_recursive_lock_lock_with_options
0000000180469a20 (__TEXT,__text) external _os_unfair_recursive_lock_owned
0000000180466bf8 (__TEXT,__text) external _os_unfair_recursive_lock_trylock
00000001804659d4 (__TEXT,__text) external _os_unfair_recursive_lock_tryunlock4objc
0000000180464b68 (__TEXT,__text) external _os_unfair_recursive_lock_unlock
0000000180469a3c (__TEXT,__text) external _os_unfair_recursive_lock_unlock_forked_child
000000018046a338 (__TEXT,__text) non-external _os_unfair_recursive_lock_unlock_forked_child.cold.1
0000000180469ed4 (__TEXT,__text) non-external (was a private external) _populate_signal_stack_context
                 (undefined) external _proc_pidinfo (from libsystem_kernel)
                 (undefined) external _semaphore_create (from libsystem_kernel)
                 (undefined) external _semaphore_destroy (from libsystem_kernel)
                 (undefined) external _semaphore_signal (from libsystem_kernel)
                 (undefined) external _semaphore_wait (from libsystem_kernel)
0000000180469f70 (__TEXT,__text) external _setcontext
0000000180465b24 (__TEXT,__text) external _setjmp
0000000180465b58 (__TEXT,__text) external _siglongjmp
                 (undefined) external _sigprocmask (from libsystem_kernel)
0000000180465b18 (__TEXT,__text) external _sigsetjmp
                 (undefined) external _socket (from libsystem_kernel)
00000001804679b8 (__TEXT,__text) external _spin_lock
00000001804699c0 (__TEXT,__text) external _spin_lock_try
00000001804679d4 (__TEXT,__text) external _spin_unlock
0000000180469cf8 (__TEXT,__text) external _swapcontext
00000001804697d4 (__TEXT,__text) external _sys_cache_control
00000001804698ec (__TEXT,__text) external _sys_dcache_flush
0000000180469820 (__TEXT,__text) external _sys_icache_invalidate
                 (undefined) external _thread_switch (from libsystem_kernel)
0000000180466a18 (__TEXT,__text) non-external _udec
                 (undefined) external _vm_allocate (from libsystem_kernel)
                 (undefined) external _vm_deallocate (from libsystem_kernel)
                 (undefined) external _vm_page_size (from libsystem_kernel)
                 (undefined) external _write (from libsystem_kernel)
0000000180469558 (__TEXT,__text) non-external _ydec
