00000001ca2bf684 (__TEXT,__text) non-external +[NFPromise new]
00000001ca2bd22c (__TEXT,__text) non-external -[NFEventManager handleAlwaysTrigger:event:]
00000001ca2bd024 (__TEXT,__text) non-external -[NFEventManager handleOnceTrigger:event:]
00000001ca2bc7a4 (__TEXT,__text) non-external -[NFEventManager init]
00000001ca2bca14 (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:]
00000001ca2c4868 (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:].cold.1
00000001ca2bcd70 (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:]
00000001ca2c4a78 (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:].cold.1
00000001ca2bccb4 (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:]
00000001ca2c49c8 (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:].cold.1
00000001ca2bc8c4 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:]
00000001ca2c47b8 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:].cold.1
00000001ca2bcb64 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:]
00000001ca2c4918 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:].cold.1
00000001ca2bd3f8 (__TEXT,__text) non-external -[NFEventManager triggers]
00000001ca2bd55c (__TEXT,__text) non-external -[NFEventTrigger .cxx_destruct]
00000001ca2bd544 (__TEXT,__text) non-external -[NFEventTrigger block]
00000001ca2bd53c (__TEXT,__text) non-external -[NFEventTrigger events]
00000001ca2bd554 (__TEXT,__text) non-external -[NFEventTrigger fireOnAny]
00000001ca2bd54c (__TEXT,__text) non-external -[NFEventTrigger fireOnce]
00000001ca2bd444 (__TEXT,__text) non-external -[NFEventTrigger initWithKey:fireOnce:fireOnAny:events:block:]
00000001ca2bd534 (__TEXT,__text) non-external -[NFEventTrigger key]
00000001ca2bee80 (__TEXT,__text) non-external -[NFLazy .cxx_destruct]
00000001ca2bee70 (__TEXT,__text) non-external -[NFLazy constructor]
00000001ca2beca4 (__TEXT,__text) non-external -[NFLazy initWithConstructor:]
00000001ca2bee78 (__TEXT,__text) non-external -[NFLazy lock]
00000001ca2bedfc (__TEXT,__text) non-external -[NFLazy reset]
00000001ca2bed44 (__TEXT,__text) non-external -[NFLazy value]
00000001ca2c4374 (__TEXT,__text) non-external -[NFMultiDelegate .cxx_destruct]
00000001ca2c3d9c (__TEXT,__text) non-external -[NFMultiDelegate addDelegate:]
00000001ca2c4364 (__TEXT,__text) non-external -[NFMultiDelegate children]
00000001ca2c3ee4 (__TEXT,__text) non-external -[NFMultiDelegate conformsToProtocol:]
00000001ca2c436c (__TEXT,__text) non-external -[NFMultiDelegate delegateProtocol]
00000001ca2c3d98 (__TEXT,__text) non-external -[NFMultiDelegate delegate]
00000001ca2c4228 (__TEXT,__text) non-external -[NFMultiDelegate forwardInvocation:]
00000001ca2c3cd4 (__TEXT,__text) non-external -[NFMultiDelegate initWithDelegate:delegateProtocol:]
00000001ca2c40bc (__TEXT,__text) non-external -[NFMultiDelegate methodSignatureForSelector:]
00000001ca2c3e08 (__TEXT,__text) non-external -[NFMultiDelegate removeDelegate:]
00000001ca2c3e74 (__TEXT,__text) non-external -[NFMultiDelegate replaceDelegate:withDelegate:]
00000001ca2c3f78 (__TEXT,__text) non-external -[NFMultiDelegate respondsToSelector:]
00000001ca2c2680 (__TEXT,__text) non-external -[NFMutexLock dealloc]
00000001ca2c25e0 (__TEXT,__text) non-external -[NFMutexLock initWithOptions:]
00000001ca2c25d8 (__TEXT,__text) non-external -[NFMutexLock init]
00000001ca2c2730 (__TEXT,__text) non-external -[NFMutexLock lock]
00000001ca2c26cc (__TEXT,__text) non-external -[NFMutexLock performWithLockSync:]
00000001ca2c2738 (__TEXT,__text) non-external -[NFMutexLock unlock]
00000001ca2bc754 (__TEXT,__text) non-external -[NFPendingPromise .cxx_destruct]
00000001ca2bc5b0 (__TEXT,__text) non-external -[NFPendingPromise init]
00000001ca2bc720 (__TEXT,__text) non-external -[NFPendingPromise promise]
00000001ca2bc744 (__TEXT,__text) non-external -[NFPendingPromise reject]
00000001ca2bc734 (__TEXT,__text) non-external -[NFPendingPromise resolve]
00000001ca2bc728 (__TEXT,__text) non-external -[NFPendingPromise setPromise:]
00000001ca2bc74c (__TEXT,__text) non-external -[NFPendingPromise setReject:]
00000001ca2bc73c (__TEXT,__text) non-external -[NFPendingPromise setResolve:]
00000001ca2c0bac (__TEXT,__text) non-external -[NFPromise .cxx_destruct]
00000001ca2bf7a4 (__TEXT,__text) non-external -[NFPromise always:]
00000001ca2bfe3c (__TEXT,__text) non-external -[NFPromise alwaysOn:always:]
00000001ca2bf738 (__TEXT,__text) non-external -[NFPromise dealloc]
00000001ca2c0a2c (__TEXT,__text) non-external -[NFPromise delayOn]
00000001ca2c0910 (__TEXT,__text) non-external -[NFPromise delay]
00000001ca2bf794 (__TEXT,__text) non-external -[NFPromise error:]
00000001ca2bfdb0 (__TEXT,__text) non-external -[NFPromise errorOn:error:]
00000001ca2c0368 (__TEXT,__text) non-external -[NFPromise errorOn]
00000001ca2c0268 (__TEXT,__text) non-external -[NFPromise error]
00000001ca2bf6b0 (__TEXT,__text) non-external -[NFPromise initWithError:]
00000001ca2bf3f0 (__TEXT,__text) non-external -[NFPromise initWithResolver:]
00000001ca2bf5fc (__TEXT,__text) non-external -[NFPromise initWithValue:]
00000001ca2bf2c0 (__TEXT,__text) non-external -[NFPromise init]
00000001ca2c0114 (__TEXT,__text) non-external -[NFPromise pipeOn]
00000001ca2bffd0 (__TEXT,__text) non-external -[NFPromise pipe]
00000001ca2c06c4 (__TEXT,__text) non-external -[NFPromise resolveOn]
00000001ca2c03f4 (__TEXT,__text) non-external -[NFPromise resolve]
00000001ca2c0b98 (__TEXT,__text) non-external -[NFPromise seal]
00000001ca2c0ba0 (__TEXT,__text) non-external -[NFPromise setSeal:]
00000001ca2bf784 (__TEXT,__text) non-external -[NFPromise then:]
00000001ca2bf7b4 (__TEXT,__text) non-external -[NFPromise thenOn:then:]
00000001ca2bff44 (__TEXT,__text) non-external -[NFPromise thenOn]
00000001ca2bfebc (__TEXT,__text) non-external -[NFPromise then]
00000001ca2c2b9c (__TEXT,__text) non-external -[NFPromise(Timeout) timeoutAfter:]
00000001ca2c2c10 (__TEXT,__text) non-external -[NFPromise(Timeout) timeoutAfter:on:]
00000001ca2c1fa8 (__TEXT,__text) non-external -[NFPromiseSeal .cxx_destruct]
00000001ca2c1a5c (__TEXT,__text) non-external -[NFPromiseSeal alwaysOn:always:]
00000001ca2c1680 (__TEXT,__text) non-external -[NFPromiseSeal dealloc]
00000001ca2c4d38 (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.1
00000001ca2c4de8 (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.2
00000001ca2c1f68 (__TEXT,__text) non-external -[NFPromiseSeal error]
00000001ca2c1f8c (__TEXT,__text) non-external -[NFPromiseSeal handlers]
00000001ca2c15fc (__TEXT,__text) non-external -[NFPromiseSeal initWithError:]
00000001ca2c1578 (__TEXT,__text) non-external -[NFPromiseSeal initWithValue:]
00000001ca2c14f0 (__TEXT,__text) non-external -[NFPromiseSeal init]
00000001ca2c1fa0 (__TEXT,__text) non-external -[NFPromiseSeal lock]
00000001ca2c1bc4 (__TEXT,__text) non-external -[NFPromiseSeal registerHandler:]
00000001ca2c1760 (__TEXT,__text) non-external -[NFPromiseSeal reject:]
00000001ca2c1754 (__TEXT,__text) non-external -[NFPromiseSeal resolve:]
00000001ca2c1770 (__TEXT,__text) non-external -[NFPromiseSeal resolveOn:reject:resolve:]
00000001ca2c1d08 (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:]
00000001ca2c4e98 (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:].cold.1
00000001ca2c1f70 (__TEXT,__text) non-external -[NFPromiseSeal setError:]
00000001ca2c1f94 (__TEXT,__text) non-external -[NFPromiseSeal setHandlers:]
00000001ca2c1f84 (__TEXT,__text) non-external -[NFPromiseSeal setState:]
00000001ca2c1f5c (__TEXT,__text) non-external -[NFPromiseSeal setValue:]
00000001ca2c1f7c (__TEXT,__text) non-external -[NFPromiseSeal state]
00000001ca2c1f54 (__TEXT,__text) non-external -[NFPromiseSeal value]
00000001ca2c2588 (__TEXT,__text) non-external -[NFReachability .cxx_destruct]
00000001ca2c2474 (__TEXT,__text) non-external -[NFReachability _statusFromNetworkPath:]
00000001ca2c236c (__TEXT,__text) non-external -[NFReachability _updateCurrentNetworkPath:]
00000001ca2c2574 (__TEXT,__text) non-external -[NFReachability currentNetworkPath]
00000001ca2c253c (__TEXT,__text) non-external -[NFReachability currentReachabilityStatus]
00000001ca2c2320 (__TEXT,__text) non-external -[NFReachability dealloc]
00000001ca2c2170 (__TEXT,__text) non-external -[NFReachability init]
00000001ca2c2560 (__TEXT,__text) non-external -[NFReachability networkPathMonitor]
00000001ca2c254c (__TEXT,__text) non-external -[NFReachability observationQueue]
00000001ca2c257c (__TEXT,__text) non-external -[NFReachability setCurrentNetworkPath:]
00000001ca2c2544 (__TEXT,__text) non-external -[NFReachability setCurrentReachabilityStatus:]
00000001ca2c2568 (__TEXT,__text) non-external -[NFReachability setNetworkPathMonitor:]
00000001ca2c2554 (__TEXT,__text) non-external -[NFReachability setObservationQueue:]
00000001ca2beb34 (__TEXT,__text) non-external -[NFStateMachine .cxx_destruct]
00000001ca2bddac (__TEXT,__text) non-external -[NFStateMachine activateIfNeeded]
00000001ca2bdd3c (__TEXT,__text) non-external -[NFStateMachine activate]
00000001ca2bdfe4 (__TEXT,__text) non-external -[NFStateMachine addEvent:]
00000001ca2c4bd8 (__TEXT,__text) non-external -[NFStateMachine addEvent:].cold.1
00000001ca2bded8 (__TEXT,__text) non-external -[NFStateMachine addState:]
00000001ca2c4b28 (__TEXT,__text) non-external -[NFStateMachine addState:].cold.1
00000001ca2bde7c (__TEXT,__text) non-external -[NFStateMachine deactivateIfNeeded]
00000001ca2bde08 (__TEXT,__text) non-external -[NFStateMachine deactivate]
00000001ca2bdc50 (__TEXT,__text) non-external -[NFStateMachine debugDescription]
00000001ca2bdbb4 (__TEXT,__text) non-external -[NFStateMachine description]
00000001ca2beafc (__TEXT,__text) non-external -[NFStateMachine events]
00000001ca2be0f0 (__TEXT,__text) non-external -[NFStateMachine fireEventWithName:withContext:]
00000001ca2bda7c (__TEXT,__text) non-external -[NFStateMachine initWithState:withOwner:]
00000001ca2beb10 (__TEXT,__text) non-external -[NFStateMachine lock]
00000001ca2beab0 (__TEXT,__text) non-external -[NFStateMachine owner]
00000001ca2beb04 (__TEXT,__text) non-external -[NFStateMachine setEvents:]
00000001ca2beb18 (__TEXT,__text) non-external -[NFStateMachine setLock:]
00000001ca2beadc (__TEXT,__text) non-external -[NFStateMachine setOwner:]
00000001ca2beaa4 (__TEXT,__text) non-external -[NFStateMachine setState:]
00000001ca2beaf0 (__TEXT,__text) non-external -[NFStateMachine setStates:]
00000001ca2bea94 (__TEXT,__text) non-external -[NFStateMachine setStatus:]
00000001ca2beb2c (__TEXT,__text) non-external -[NFStateMachine setStatusToken:]
00000001ca2bea9c (__TEXT,__text) non-external -[NFStateMachine state]
00000001ca2beae8 (__TEXT,__text) non-external -[NFStateMachine states]
00000001ca2beb24 (__TEXT,__text) non-external -[NFStateMachine statusToken]
00000001ca2bea8c (__TEXT,__text) non-external -[NFStateMachine status]
00000001ca2c2b40 (__TEXT,__text) non-external -[NFStateMachineEvent .cxx_destruct]
00000001ca2c292c (__TEXT,__text) non-external -[NFStateMachineEvent description]
00000001ca2c2b1c (__TEXT,__text) non-external -[NFStateMachineEvent destinationState]
00000001ca2c2b30 (__TEXT,__text) non-external -[NFStateMachineEvent fireBlock]
00000001ca2c2a1c (__TEXT,__text) non-external -[NFStateMachineEvent fired:withOwner:]
00000001ca2c2814 (__TEXT,__text) non-external -[NFStateMachineEvent hash]
00000001ca2c2740 (__TEXT,__text) non-external -[NFStateMachineEvent initWithName:transitionFromStates:toState:]
00000001ca2c2854 (__TEXT,__text) non-external -[NFStateMachineEvent isEqual:]
00000001ca2c2af8 (__TEXT,__text) non-external -[NFStateMachineEvent name]
00000001ca2c29f4 (__TEXT,__text) non-external -[NFStateMachineEvent onFire:]
00000001ca2c2b24 (__TEXT,__text) non-external -[NFStateMachineEvent setDestinationState:]
00000001ca2c2b38 (__TEXT,__text) non-external -[NFStateMachineEvent setFireBlock:]
00000001ca2c2b00 (__TEXT,__text) non-external -[NFStateMachineEvent setName:]
00000001ca2c2b10 (__TEXT,__text) non-external -[NFStateMachineEvent setStates:]
00000001ca2c2b08 (__TEXT,__text) non-external -[NFStateMachineEvent states]
00000001ca2c38a0 (__TEXT,__text) non-external -[NFStateMachineState .cxx_destruct]
00000001ca2c3850 (__TEXT,__text) non-external -[NFStateMachineState canTryBlock]
00000001ca2c36f4 (__TEXT,__text) non-external -[NFStateMachineState description]
00000001ca2c3890 (__TEXT,__text) non-external -[NFStateMachineState didEnterBlock]
00000001ca2c3880 (__TEXT,__text) non-external -[NFStateMachineState didExitBlock]
00000001ca2c35dc (__TEXT,__text) non-external -[NFStateMachineState hash]
00000001ca2c3560 (__TEXT,__text) non-external -[NFStateMachineState initWithName:]
00000001ca2c361c (__TEXT,__text) non-external -[NFStateMachineState isEqual:]
00000001ca2c3840 (__TEXT,__text) non-external -[NFStateMachineState name]
00000001ca2c3778 (__TEXT,__text) non-external -[NFStateMachineState onCanTry:]
00000001ca2c3818 (__TEXT,__text) non-external -[NFStateMachineState onDidEnter:]
00000001ca2c37c8 (__TEXT,__text) non-external -[NFStateMachineState onDidExit:]
00000001ca2c37f0 (__TEXT,__text) non-external -[NFStateMachineState onWillEnter:]
00000001ca2c37a0 (__TEXT,__text) non-external -[NFStateMachineState onWillExit:]
00000001ca2c3858 (__TEXT,__text) non-external -[NFStateMachineState setCanTryBlock:]
00000001ca2c3898 (__TEXT,__text) non-external -[NFStateMachineState setDidEnterBlock:]
00000001ca2c3888 (__TEXT,__text) non-external -[NFStateMachineState setDidExitBlock:]
00000001ca2c3848 (__TEXT,__text) non-external -[NFStateMachineState setName:]
00000001ca2c3878 (__TEXT,__text) non-external -[NFStateMachineState setWillEnterBlock:]
00000001ca2c3868 (__TEXT,__text) non-external -[NFStateMachineState setWillExitBlock:]
00000001ca2c3870 (__TEXT,__text) non-external -[NFStateMachineState willEnterBlock]
00000001ca2c3860 (__TEXT,__text) non-external -[NFStateMachineState willExitBlock]
00000001ca2c3914 (__TEXT,__text) non-external -[NFStateMachineState(Private) canTry:withOwner:]
00000001ca2c3bf8 (__TEXT,__text) non-external -[NFStateMachineState(Private) didEnter:withOwner:]
00000001ca2c3b1c (__TEXT,__text) non-external -[NFStateMachineState(Private) didExit:withOwner:]
00000001ca2c3a70 (__TEXT,__text) non-external -[NFStateMachineState(Private) willEnter:withOwner:]
00000001ca2c39c4 (__TEXT,__text) non-external -[NFStateMachineState(Private) willExit:withOwner:]
00000001ca2bc548 (__TEXT,__text) non-external -[NFStateMachineTransition .cxx_destruct]
00000001ca2bc534 (__TEXT,__text) non-external -[NFStateMachineTransition context]
00000001ca2bc3fc (__TEXT,__text) non-external -[NFStateMachineTransition description]
00000001ca2bc4f8 (__TEXT,__text) non-external -[NFStateMachineTransition event]
00000001ca2bc50c (__TEXT,__text) non-external -[NFStateMachineTransition fromState]
00000001ca2bc2d8 (__TEXT,__text) non-external -[NFStateMachineTransition initWithStateMachine:event:fromState:toState:context:]
00000001ca2bc53c (__TEXT,__text) non-external -[NFStateMachineTransition setContext:]
00000001ca2bc500 (__TEXT,__text) non-external -[NFStateMachineTransition setEvent:]
00000001ca2bc514 (__TEXT,__text) non-external -[NFStateMachineTransition setFromState:]
00000001ca2bc4ec (__TEXT,__text) non-external -[NFStateMachineTransition setStateMachine:]
00000001ca2bc528 (__TEXT,__text) non-external -[NFStateMachineTransition setToState:]
00000001ca2bc4e4 (__TEXT,__text) non-external -[NFStateMachineTransition stateMachine]
00000001ca2bc520 (__TEXT,__text) non-external -[NFStateMachineTransition toState]
00000001ca2bc2c8 (__TEXT,__text) non-external -[NFUnfairLock assertLocked]
00000001ca2bc2d0 (__TEXT,__text) non-external -[NFUnfairLock assertNotLocked]
00000001ca2bc1ec (__TEXT,__text) non-external -[NFUnfairLock initWithOptions:]
00000001ca2bc248 (__TEXT,__text) non-external -[NFUnfairLock init]
00000001ca2bc2b0 (__TEXT,__text) non-external -[NFUnfairLock lock]
00000001ca2bc250 (__TEXT,__text) non-external -[NFUnfairLock performWithLockSync:]
00000001ca2bc2c0 (__TEXT,__text) non-external -[NFUnfairLock unlock]
00000001ca2c0bc8 (__TEXT,__text) non-external -[NFVoid copyWithZone:]
00000001ca2bda0c (__TEXT,__text) non-external -[NSError(NFStateMachine) fc_isStateMachineError:]
00000001ca2befe4 (__TEXT,__text) non-external -[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:]
00000001ca2c1250 (__TEXT,__text) non-external -[NSString(NFAdditions) nf_sha1]
00000001ca2c1350 (__TEXT,__text) non-external -[NSString(NFAdditions) nf_stringByReversingString]
00000001ca2bebfc (__TEXT,__text) non-external -[NSUserDefaults(NFAdditions) nf_migrateObjectForKey:toKey:]
00000001ca2c450c (__TEXT,__text) non-external -[NSValue(NFAdditions) nf_CGRectValue]
00000001ca2c6c6c (__TEXT,__gcc_except_tab) non-external GCC_except_table19
00000001ca2c6cc8 (__TEXT,__gcc_except_tab) non-external GCC_except_table2
00000001ca2c6ce4 (__TEXT,__gcc_except_tab) non-external GCC_except_table2
                 (undefined) external _BOMCopierCopyWithOptions (from Bom)
                 (undefined) external _BOMCopierFree (from Bom)
                 (undefined) external _BOMCopierNew (from Bom)
                 (undefined) external _BOMCopierSetCopyFileFinishedHandler (from Bom)
                 (undefined) external _BOMCopierSetUserData (from Bom)
                 (undefined) external _BOMCopierUserData (from Bom)
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _MGCopyAnswer (from libMobileGestalt)
00000001ca2bd780 (__TEXT,__text) non-external _NFArchiverCopyFileFinishedHandler
00000001ca2c46b4 (__TEXT,__text) external _NFDeviceHasExtendedColorDisplay
00000001d68d8d60 (__DATA,__bss) non-external _NFDeviceHasExtendedColorDisplay.hasExtendedColorDisplay
00000001d68d8d68 (__DATA,__bss) non-external _NFDeviceHasExtendedColorDisplay.onceToken
00000001ca2c4540 (__TEXT,__text) external _NFDeviceIsA7
00000001ca2c4548 (__TEXT,__text) external _NFDeviceIsA8
00000001ca2c4680 (__TEXT,__text) external _NFDeviceModelString
00000001ca2c464c (__TEXT,__text) external _NFDeviceOSVersion
00000001ca2c4550 (__TEXT,__text) external _NFDevicePlatform
00000001d7047350 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.onceToken
00000001d7047348 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.s_platformString
00000001ca2c4640 (__TEXT,__text) external _NFGeneralDeviceString
00000001ca2bc0e4 (__TEXT,__text) external _NFInternalBuild
00000001d68d8d58 (__DATA,__bss) non-external _NFInternalBuild.internalBuild
00000001d7047308 (__DATA_DIRTY,__bss) non-external _NFInternalBuild.onceToken
00000001ca2c2068 (__TEXT,__text) external _NFLockSync
00000001ca2c1424 (__TEXT,__text) external _NFPromiseInvokeOnQueue
00000001ca2bc150 (__TEXT,__text) external _NFSeedBuild
00000001df96dae0 (__DATA_CONST,__const) external _NFStateMachineErrorDomain
00000001ca2bc158 (__TEXT,__text) external _NFStoreDemoMode
00000001d7047310 (__DATA_DIRTY,__bss) non-external _NFStoreDemoMode.onceToken
00000001d68d8d59 (__DATA,__bss) non-external _NFStoreDemoMode.storeDemoMode
                 (undefined) external _NSGetSizeAndAlignment (from CoreFoundation)
                 (undefined) external _NSInternalInconsistencyException (from CoreFoundation)
                 (undefined) external _NSKeyedArchiveRootObjectKey (from Foundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
00000001ca2c5ff0 (__TEXT,__const) external _NewsFoundationVersionNumber
00000001ca2c5fb0 (__TEXT,__const) external _NewsFoundationVersionString
00000001d7dc2ac0 (__AUTH,__objc_data) external _OBJC_CLASS_$_NFArchiver
00000001d7047038 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventManager
00000001d7047060 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventTrigger
00000001d70470d8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFLazy
00000001d70472b8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMultiDelegate
00000001d7047268 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMutexLock
00000001d7dc2a48 (__AUTH,__objc_data) external _OBJC_CLASS_$_NFPendingPromise
00000001d7047128 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromise
00000001d70471c8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromiseSeal
00000001d7047218 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFReachability
00000001d7dc2ae8 (__AUTH,__objc_data) external _OBJC_CLASS_$_NFStateMachine
00000001d7dc2b38 (__AUTH,__objc_data) external _OBJC_CLASS_$_NFStateMachineEvent
00000001d7dc2b88 (__AUTH,__objc_data) external _OBJC_CLASS_$_NFStateMachineState
00000001d7dc29f8 (__AUTH,__objc_data) external _OBJC_CLASS_$_NFStateMachineTransition
00000001d7046fe8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFUnfairLock
00000001d70471a0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFVoid
                 (undefined) external _OBJC_CLASS_$_NSBlock (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSHashTable (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedUnarchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSValue (from Foundation)
                 (undefined) external _OBJC_EHTYPE_$_NSException (from CoreFoundation)
00000001d68d8ac0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._events
00000001d68d8ac4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._triggers
00000001d68d8ad8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._block
00000001d68d8ad4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._events
00000001d68d8acc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnAny
00000001d68d8ac8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnce
00000001d68d8ad0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._key
00000001d68d8afc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._constructor
00000001d68d8b00 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._lock
00000001d68d8af8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._value
00000001d68d8b58 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMultiDelegate._children
00000001d68d8b5c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMultiDelegate._delegateProtocol
00000001d68d8b2c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMutexLock._lock
00000001d68d8ab4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPendingPromise._promise
00000001d68d8abc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPendingPromise._reject
00000001d68d8ab8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPendingPromise._resolve
