00000001c25b2f00 (__TEXT,__text) external _CGLGetCurrentContext
00000001c25b2d88 (__TEXT,__text) external _glBlendEquationSeparateATI
00000001c25b1b50 (__TEXT,__text) external _glBlendEquationSeparateEXT
00000001c25aeb9c (__TEXT,__text) external _glBlendEquationSeparatei
00000001c25b148c (__TEXT,__text) external _glBlendEquationSeparateiARB
00000001c25aeb7c (__TEXT,__text) external _glBlendEquationi
00000001c25b146c (__TEXT,__text) external _glBlendEquationiARB
00000001c25a8594 (__TEXT,__text) external _glBlendFunc
00000001c25abed4 (__TEXT,__text) external _glBlendFuncSeparate
00000001c25b1aa0 (__TEXT,__text) external _glBlendFuncSeparateEXT
00000001c25aebe4 (__TEXT,__text) external _glBlendFuncSeparatei
00000001c25b14d4 (__TEXT,__text) external _glBlendFuncSeparateiARB
00000001c25aebc0 (__TEXT,__text) external _glBlendFunci
00000001c25b14b0 (__TEXT,__text) external _glBlendFunciARB
00000001c25ad390 (__TEXT,__text) external _glBlitFramebuffer
00000001c25b1dc4 (__TEXT,__text) external _glBlitFramebufferEXT
00000001c25ac298 (__TEXT,__text) external _glBufferData
00000001c25b0cec (__TEXT,__text) external _glBufferDataARB
00000001c25b2c18 (__TEXT,__text) external _glBufferParameteriAPPLE
00000001c25ac2c0 (__TEXT,__text) external _glBufferSubData
00000001c25b0d14 (__TEXT,__text) external _glBufferSubDataARB
00000001c25a85b4 (__TEXT,__text) external _glCallList
00000001c25a85d0 (__TEXT,__text) external _glCallLists
00000001c25ad280 (__TEXT,__text) external _glCheckFramebufferStatus
00000001c25b1cb4 (__TEXT,__text) external _glCheckFramebufferStatusEXT
00000001c25ad6c0 (__TEXT,__text) external _glClampColor
00000001c25b13c0 (__TEXT,__text) external _glClampColorARB
00000001c25a85f4 (__TEXT,__text) external _glClear
00000001c25a8610 (__TEXT,__text) external _glClearAccum
00000001c25adcc8 (__TEXT,__text) external _glClearBufferfi
00000001c25adca4 (__TEXT,__text) external _glClearBufferfv
00000001c25adc5c (__TEXT,__text) external _glClearBufferiv
00000001c25adc80 (__TEXT,__text) external _glClearBufferuiv
00000001c25a8628 (__TEXT,__text) external _glClearColor
00000001c25b255c (__TEXT,__text) external _glClearColorIiEXT
00000001c25b2584 (__TEXT,__text) external _glClearColorIuiEXT
00000001c25a8640 (__TEXT,__text) external _glClearDepth
00000001c25aec94 (__TEXT,__text) external _glClearDepthf
00000001c25a8658 (__TEXT,__text) external _glClearIndex
00000001c25a8670 (__TEXT,__text) external _glClearStencil
00000001c25ab4dc (__TEXT,__text) external _glClientActiveTexture
00000001c25b0288 (__TEXT,__text) external _glClientActiveTextureARB
00000001c25ae018 (__TEXT,__text) external _glClientWaitSync
00000001c25a868c (__TEXT,__text) external _glClipPlane
00000001c25a86ac (__TEXT,__text) external _glColor3b
00000001c25a86d0 (__TEXT,__text) external _glColor3bv
00000001c25a86ec (__TEXT,__text) external _glColor3d
00000001c25a8704 (__TEXT,__text) external _glColor3dv
00000001c25a8720 (__TEXT,__text) external _glColor3f
00000001c25a8738 (__TEXT,__text) external _glColor3fv
00000001c25a8754 (__TEXT,__text) external _glColor3i
00000001c25a8778 (__TEXT,__text) external _glColor3iv
00000001c25a8794 (__TEXT,__text) external _glColor3s
00000001c25a87b8 (__TEXT,__text) external _glColor3sv
00000001c25a87d4 (__TEXT,__text) external _glColor3ub
00000001c25a87f8 (__TEXT,__text) external _glColor3ubv
00000001c25a8814 (__TEXT,__text) external _glColor3ui
00000001c25a8838 (__TEXT,__text) external _glColor3uiv
00000001c25a8854 (__TEXT,__text) external _glColor3us
00000001c25a8878 (__TEXT,__text) external _glColor3usv
00000001c25a8894 (__TEXT,__text) external _glColor4b
00000001c25a88bc (__TEXT,__text) external _glColor4bv
00000001c25a88d8 (__TEXT,__text) external _glColor4d
00000001c25a88f0 (__TEXT,__text) external _glColor4dv
00000001c25a890c (__TEXT,__text) external _glColor4f
00000001c25a8924 (__TEXT,__text) external _glColor4fv
00000001c25a8940 (__TEXT,__text) external _glColor4i
00000001c25a8968 (__TEXT,__text) external _glColor4iv
00000001c25a8984 (__TEXT,__text) external _glColor4s
00000001c25a89ac (__TEXT,__text) external _glColor4sv
00000001c25a89c8 (__TEXT,__text) external _glColor4ub
00000001c25a89f0 (__TEXT,__text) external _glColor4ubv
00000001c25a8a0c (__TEXT,__text) external _glColor4ui
00000001c25a8a34 (__TEXT,__text) external _glColor4uiv
00000001c25a8a50 (__TEXT,__text) external _glColor4us
00000001c25a8a78 (__TEXT,__text) external _glColor4usv
00000001c25a8a94 (__TEXT,__text) external _glColorMask
00000001c25b263c (__TEXT,__text) external _glColorMaskIndexedEXT
00000001c25ad50c (__TEXT,__text) external _glColorMaski
00000001c25a8abc (__TEXT,__text) external _glColorMaterial
00000001c25a8adc (__TEXT,__text) external _glColorPointer
00000001c25ab0d0 (__TEXT,__text) external _glColorSubTable
00000001c25b1734 (__TEXT,__text) external _glColorSubTableEXT
00000001c25aafbc (__TEXT,__text) external _glColorTable
00000001c25b1704 (__TEXT,__text) external _glColorTableEXT
00000001c25aafec (__TEXT,__text) external _glColorTableParameterfv
00000001c25ab010 (__TEXT,__text) external _glColorTableParameteriv
00000001c25b2ea8 (__TEXT,__text) external _glCombinerInputNV
00000001c25b2eac (__TEXT,__text) external _glCombinerOutputNV
00000001c25b2e9c (__TEXT,__text) external _glCombinerParameterfNV
00000001c25b2e98 (__TEXT,__text) external _glCombinerParameterfvNV
00000001c25b2ea4 (__TEXT,__text) external _glCombinerParameteriNV
00000001c25b2ea0 (__TEXT,__text) external _glCombinerParameterivNV
00000001c25b2ecc (__TEXT,__text) external _glCombinerStageParameterfvNV
00000001c25ac9d4 (__TEXT,__text) external _glCompileShader
00000001c25b0e84 (__TEXT,__text) external _glCompileShaderARB
00000001c25b154c (__TEXT,__text) external _glCompileShaderIncludeARB
00000001c25aba4c (__TEXT,__text) external _glCompressedTexImage1D
00000001c25b07f8 (__TEXT,__text) external _glCompressedTexImage1DARB
00000001c25ab9f4 (__TEXT,__text) external _glCompressedTexImage2D
00000001c25b07a0 (__TEXT,__text) external _glCompressedTexImage2DARB
00000001c25ab994 (__TEXT,__text) external _glCompressedTexImage3D
00000001c25b0740 (__TEXT,__text) external _glCompressedTexImage3DARB
00000001c25abb48 (__TEXT,__text) external _glCompressedTexSubImage1D
00000001c25b08f4 (__TEXT,__text) external _glCompressedTexSubImage1DARB
00000001c25abae8 (__TEXT,__text) external _glCompressedTexSubImage2D
00000001c25b0894 (__TEXT,__text) external _glCompressedTexSubImage2DARB
00000001c25aba80 (__TEXT,__text) external _glCompressedTexSubImage3D
00000001c25b082c (__TEXT,__text) external _glCompressedTexSubImage3DARB
00000001c25ab12c (__TEXT,__text) external _glConvolutionFilter1D
00000001c25ab15c (__TEXT,__text) external _glConvolutionFilter2D
00000001c25ab190 (__TEXT,__text) external _glConvolutionParameterf
00000001c25ab1b0 (__TEXT,__text) external _glConvolutionParameterfv
00000001c25ab1d4 (__TEXT,__text) external _glConvolutionParameteri
00000001c25ab1f8 (__TEXT,__text) external _glConvolutionParameteriv
00000001c25add0c (__TEXT,__text) external _glCopyBufferSubData
00000001c25ab100 (__TEXT,__text) external _glCopyColorSubTable
00000001c25ab034 (__TEXT,__text) external _glCopyColorTable
00000001c25ab21c (__TEXT,__text) external _glCopyConvolutionFilter1D
00000001c25ab248 (__TEXT,__text) external _glCopyConvolutionFilter2D
00000001c25a8b04 (__TEXT,__text) external _glCopyPixels
00000001c25a8b30 (__TEXT,__text) external _glCopyTexImage1D
00000001c25a8b64 (__TEXT,__text) external _glCopyTexImage2D
00000001c25a8bbc (__TEXT,__text) external _glCopyTexSubImage1D
00000001c25a8bec (__TEXT,__text) external _glCopyTexSubImage2D
00000001c25aaf60 (__TEXT,__text) external _glCopyTexSubImage3D
00000001c25ac9f4 (__TEXT,__text) external _glCreateProgram
00000001c25b0ea0 (__TEXT,__text) external _glCreateProgramObjectARB
00000001c25ac978 (__TEXT,__text) external _glCreateShader
00000001c25b0e40 (__TEXT,__text) external _glCreateShaderObjectARB
00000001c25aed68 (__TEXT,__text) external _glCreateShaderProgramv
00000001c25a8c44 (__TEXT,__text) external _glCullFace
00000001c25ac23c (__TEXT,__text) external _glDeleteBuffers
00000001c25b0c90 (__TEXT,__text) external _glDeleteBuffersARB
00000001c25b2960 (__TEXT,__text) external _glDeleteFencesAPPLE
00000001c25ad240 (__TEXT,__text) external _glDeleteFramebuffers
00000001c25b1c74 (__TEXT,__text) external _glDeleteFramebuffersEXT
00000001c25a8c60 (__TEXT,__text) external _glDeleteLists
00000001c25b152c (__TEXT,__text) external _glDeleteNamedStringARB
00000001c25b0de8 (__TEXT,__text) external _glDeleteObjectARB
00000001c25aca88 (__TEXT,__text) external _glDeleteProgram
00000001c25aeda8 (__TEXT,__text) external _glDeleteProgramPipelines
00000001c25af90c (__TEXT,__text) external _glDeleteProgramsARB
00000001c25ac138 (__TEXT,__text) external _glDeleteQueries
00000001c25b0b8c (__TEXT,__text) external _glDeleteQueriesARB
00000001c25ad178 (__TEXT,__text) external _glDeleteRenderbuffers
00000001c25b1bac (__TEXT,__text) external _glDeleteRenderbuffersEXT
00000001c25ae22c (__TEXT,__text) external _glDeleteSamplers
00000001c25ac930 (__TEXT,__text) external _glDeleteShader
00000001c25adffc (__TEXT,__text) external _glDeleteSync
00000001c25a8c80 (__TEXT,__text) external _glDeleteTextures
00000001c25aea28 (__TEXT,__text) external _glDeleteTransformFeedbacks
00000001c25ad4b0 (__TEXT,__text) external _glDeleteVertexArrays
00000001c25b2aac (__TEXT,__text) external _glDeleteVertexArraysAPPLE
00000001c25b16ec (__TEXT,__text) external _glDepthBoundsEXT
00000001c25a8ca0 (__TEXT,__text) external _glDepthFunc
00000001c25a8cbc (__TEXT,__text) external _glDepthMask
00000001c25a8cd8 (__TEXT,__text) external _glDepthRange
00000001c25af864 (__TEXT,__text) external _glDepthRangeArrayv
00000001c25af888 (__TEXT,__text) external _glDepthRangeIndexed
00000001c25aec7c (__TEXT,__text) external _glDepthRangef
00000001c25b0e20 (__TEXT,__text) external _glDetachObjectARB
00000001c25ac950 (__TEXT,__text) external _glDetachShader
00000001c25a8cf0 (__TEXT,__text) external _glDisable
00000001c25a8d0c (__TEXT,__text) external _glDisableClientState
00000001c25b2688 (__TEXT,__text) external _glDisableIndexedEXT
00000001c25b27f8 (__TEXT,__text) external _glDisableVertexAttribAPPLE
00000001c25ac884 (__TEXT,__text) external _glDisableVertexAttribArray
00000001c25afe38 (__TEXT,__text) external _glDisableVertexAttribArrayARB
00000001c25ad5a0 (__TEXT,__text) external _glDisablei
00000001c25a8d28 (__TEXT,__text) external _glDrawArrays
00000001c25ae5b4 (__TEXT,__text) external _glDrawArraysIndirect
00000001c25ade50 (__TEXT,__text) external _glDrawArraysInstanced
00000001c25b1400 (__TEXT,__text) external _glDrawArraysInstancedARB
00000001c25a8d4c (__TEXT,__text) external _glDrawBuffer
00000001c25ac394 (__TEXT,__text) external _glDrawBuffers
00000001c25b13a0 (__TEXT,__text) external _glDrawBuffersARB
00000001c25b2b28 (__TEXT,__text) external _glDrawElementArrayAPPLE
00000001c25a8d68 (__TEXT,__text) external _glDrawElements
00000001c25adee4 (__TEXT,__text) external _glDrawElementsBaseVertex
00000001c25ae5d4 (__TEXT,__text) external _glDrawElementsIndirect
00000001c25ade78 (__TEXT,__text) external _glDrawElementsInstanced
00000001c25b1428 (__TEXT,__text) external _glDrawElementsInstancedARB
00000001c25adf44 (__TEXT,__text) external _glDrawElementsInstancedBaseVertex
00000001c25a8d90 (__TEXT,__text) external _glDrawPixels
00000001c25b2b4c (__TEXT,__text) external _glDrawRangeElementArrayAPPLE
00000001c25aae80 (__TEXT,__text) external _glDrawRangeElements
00000001c25adf10 (__TEXT,__text) external _glDrawRangeElementsBaseVertex
00000001c25b1a70 (__TEXT,__text) external _glDrawRangeElementsEXT
00000001c25aeab4 (__TEXT,__text) external _glDrawTransformFeedback
00000001c25aead4 (__TEXT,__text) external _glDrawTransformFeedbackStream
00000001c25a8dbc (__TEXT,__text) external _glEdgeFlag
00000001c25a8dd8 (__TEXT,__text) external _glEdgeFlagPointer
00000001c25a8df8 (__TEXT,__text) external _glEdgeFlagv
00000001c25b2b08 (__TEXT,__text) external _glElementPointerAPPLE
00000001c25a8e14 (__TEXT,__text) external _glEnable
00000001c25a8e30 (__TEXT,__text) external _glEnableClientState
00000001c25b2668 (__TEXT,__text) external _glEnableIndexedEXT
00000001c25b27d8 (__TEXT,__text) external _glEnableVertexAttribAPPLE
00000001c25ac868 (__TEXT,__text) external _glEnableVertexAttribArray
00000001c25afe1c (__TEXT,__text) external _glEnableVertexAttribArrayARB
00000001c25ad580 (__TEXT,__text) external _glEnablei
00000001c25a8e4c (__TEXT,__text) external _glEnd
00000001c25ad700 (__TEXT,__text) external _glEndConditionalRender
00000001c25b2e28 (__TEXT,__text) external _glEndConditionalRenderNV
00000001c25a8e64 (__TEXT,__text) external _glEndList
00000001c25ac194 (__TEXT,__text) external _glEndQuery
00000001c25b0be8 (__TEXT,__text) external _glEndQueryARB
00000001c25aeb1c (__TEXT,__text) external _glEndQueryIndexed
00000001c25ad5fc (__TEXT,__text) external _glEndTransformFeedback
00000001c25b1f88 (__TEXT,__text) external _glEndTransformFeedbackEXT
00000001c25a8e7c (__TEXT,__text) external _glEvalCoord1d
00000001c25a8e94 (__TEXT,__text) external _glEvalCoord1dv
00000001c25a8eb0 (__TEXT,__text) external _glEvalCoord1f
00000001c25a8ec8 (__TEXT,__text) external _glEvalCoord1fv
00000001c25a8ee4 (__TEXT,__text) external _glEvalCoord2d
00000001c25a8efc (__TEXT,__text) external _glEvalCoord2dv
00000001c25a8f18 (__TEXT,__text) external _glEvalCoord2f
00000001c25a8f30 (__TEXT,__text) external _glEvalCoord2fv
00000001c25a8f4c (__TEXT,__text) external _glEvalMesh1
00000001c25a8f70 (__TEXT,__text) external _glEvalMesh2
00000001c25a8f9c (__TEXT,__text) external _glEvalPoint1
00000001c25a8fb8 (__TEXT,__text) external _glEvalPoint2
00000001c25a8fd8 (__TEXT,__text) external _glFeedbackBuffer
00000001c25adfc0 (__TEXT,__text) external _glFenceSync
00000001c25b2eb0 (__TEXT,__text) external _glFinalCombinerInputNV
00000001c25a8ffc (__TEXT,__text) external _glFinish
00000001c25b29d4 (__TEXT,__text) external _glFinishFenceAPPLE
00000001c25b2a10 (__TEXT,__text) external _glFinishObjectAPPLE
00000001c25b2be8 (__TEXT,__text) external _glFinishRenderAPPLE
00000001c25a9014 (__TEXT,__text) external _glFlush
00000001c25ad470 (__TEXT,__text) external _glFlushMappedBufferRange
00000001c25b2c3c (__TEXT,__text) external _glFlushMappedBufferRangeAPPLE
00000001c25b2bd0 (__TEXT,__text) external _glFlushRenderAPPLE
00000001c25b2a50 (__TEXT,__text) external _glFlushVertexArrayRangeAPPLE
00000001c25abc24 (__TEXT,__text) external _glFogCoordPointer
00000001c25b1a4c (__TEXT,__text) external _glFogCoordPointerEXT
00000001c25abbf0 (__TEXT,__text) external _glFogCoordd
00000001c25b1a18 (__TEXT,__text) external _glFogCoorddEXT
00000001c25abc08 (__TEXT,__text) external _glFogCoorddv
00000001c25b1a30 (__TEXT,__text) external _glFogCoorddvEXT
00000001c25abbbc (__TEXT,__text) external _glFogCoordf
00000001c25b19e4 (__TEXT,__text) external _glFogCoordfEXT
00000001c25abbd4 (__TEXT,__text) external _glFogCoordfv
00000001c25b19fc (__TEXT,__text) external _glFogCoordfvEXT
00000001c25a902c (__TEXT,__text) external _glFogf
00000001c25a9048 (__TEXT,__text) external _glFogfv
00000001c25a9068 (__TEXT,__text) external _glFogi
00000001c25a9088 (__TEXT,__text) external _glFogiv
00000001c25ad324 (__TEXT,__text) external _glFramebufferRenderbuffer
00000001c25b1d58 (__TEXT,__text) external _glFramebufferRenderbufferEXT
00000001c25ae19c (__TEXT,__text) external _glFramebufferTexture
00000001c25ad29c (__TEXT,__text) external _glFramebufferTexture1D
00000001c25b1cd0 (__TEXT,__text) external _glFramebufferTexture1DEXT
00000001c25ad2c8 (__TEXT,__text) external _glFramebufferTexture2D
00000001c25b1cfc (__TEXT,__text) external _glFramebufferTexture2DEXT
00000001c25ad2f4 (__TEXT,__text) external _glFramebufferTexture3D
00000001c25b1d28 (__TEXT,__text) external _glFramebufferTexture3DEXT
00000001c25b1e74 (__TEXT,__text) external _glFramebufferTextureEXT
00000001c25b1ec8 (__TEXT,__text) external _glFramebufferTextureFaceEXT
00000001c25ad41c (__TEXT,__text) external _glFramebufferTextureLayer
00000001c25b1e9c (__TEXT,__text) external _glFramebufferTextureLayerEXT
00000001c25a90a8 (__TEXT,__text) external _glFrontFace
00000001c25a90c4 (__TEXT,__text) external _glFrustum
00000001c25ac25c (__TEXT,__text) external _glGenBuffers
00000001c25b0cb0 (__TEXT,__text) external _glGenBuffersARB
00000001c25b2940 (__TEXT,__text) external _glGenFencesAPPLE
00000001c25ad260 (__TEXT,__text) external _glGenFramebuffers
00000001c25b1c94 (__TEXT,__text) external _glGenFramebuffersEXT
00000001c25a90dc (__TEXT,__text) external _glGenLists
00000001c25aedc8 (__TEXT,__text) external _glGenProgramPipelines
00000001c25af92c (__TEXT,__text) external _glGenProgramsARB
00000001c25ac118 (__TEXT,__text) external _glGenQueries
00000001c25b0b6c (__TEXT,__text) external _glGenQueriesARB
00000001c25ad198 (__TEXT,__text) external _glGenRenderbuffers
00000001c25b1bcc (__TEXT,__text) external _glGenRenderbuffersEXT
00000001c25ae20c (__TEXT,__text) external _glGenSamplers
00000001c25a90f8 (__TEXT,__text) external _glGenTextures
00000001c25aea48 (__TEXT,__text) external _glGenTransformFeedbacks
00000001c25ad4d0 (__TEXT,__text) external _glGenVertexArrays
00000001c25b2acc (__TEXT,__text) external _glGenVertexArraysAPPLE
00000001c25ad374 (__TEXT,__text) external _glGenerateMipmap
00000001c25b1da8 (__TEXT,__text) external _glGenerateMipmapEXT
00000001c25acf60 (__TEXT,__text) external _glGetActiveAttrib
00000001c25b134c (__TEXT,__text) external _glGetActiveAttribARB
00000001c25ae928 (__TEXT,__text) external _glGetActiveSubroutineName
00000001c25ae8f8 (__TEXT,__text) external _glGetActiveSubroutineUniformName
00000001c25ae8cc (__TEXT,__text) external _glGetActiveSubroutineUniformiv
00000001c25ace84 (__TEXT,__text) external _glGetActiveUniform
00000001c25b1284 (__TEXT,__text) external _glGetActiveUniformARB
00000001c25ade00 (__TEXT,__text) external _glGetActiveUniformBlockName
00000001c25addd8 (__TEXT,__text) external _glGetActiveUniformBlockiv
00000001c25add8c (__TEXT,__text) external _glGetActiveUniformName
00000001c25add60 (__TEXT,__text) external _glGetActiveUniformsiv
00000001c25b123c (__TEXT,__text) external _glGetAttachedObjectsARB
00000001c25acde8 (__TEXT,__text) external _glGetAttachedShaders
00000001c25acf98 (__TEXT,__text) external _glGetAttribLocation
00000001c25b1380 (__TEXT,__text) external _glGetAttribLocationARB
00000001c25b2020 (__TEXT,__text) external _glGetBooleanIndexedvEXT
00000001c25ad538 (__TEXT,__text) external _glGetBooleani_v
00000001c25a9118 (__TEXT,__text) external _glGetBooleanv
00000001c25ae178 (__TEXT,__text) external _glGetBufferParameteri64v
00000001c25ac34c (__TEXT,__text) external _glGetBufferParameteriv
00000001c25b0da0 (__TEXT,__text) external _glGetBufferParameterivARB
00000001c25ac370 (__TEXT,__text) external _glGetBufferPointerv
00000001c25b0dc4 (__TEXT,__text) external _glGetBufferPointervARB
00000001c25ac2e8 (__TEXT,__text) external _glGetBufferSubData
00000001c25b0d3c (__TEXT,__text) external _glGetBufferSubDataARB
00000001c25a9138 (__TEXT,__text) external _glGetClipPlane
00000001c25ab060 (__TEXT,__text) external _glGetColorTable
00000001c25b1764 (__TEXT,__text) external _glGetColorTableEXT
00000001c25ab088 (__TEXT,__text) external _glGetColorTableParameterfv
00000001c25b178c (__TEXT,__text) external _glGetColorTableParameterfvEXT
00000001c25ab0ac (__TEXT,__text) external _glGetColorTableParameteriv
00000001c25b17b0 (__TEXT,__text) external _glGetColorTableParameterivEXT
00000001c25b2eb4 (__TEXT,__text) external _glGetCombinerInputParameterfvNV
00000001c25b2eb8 (__TEXT,__text) external _glGetCombinerInputParameterivNV
00000001c25b2ebc (__TEXT,__text) external _glGetCombinerOutputParameterfvNV
00000001c25b2ec0 (__TEXT,__text) external _glGetCombinerOutputParameterivNV
00000001c25b2ed0 (__TEXT,__text) external _glGetCombinerStageParameterfvNV
00000001c25abb7c (__TEXT,__text) external _glGetCompressedTexImage
00000001c25b0928 (__TEXT,__text) external _glGetCompressedTexImageARB
00000001c25ab278 (__TEXT,__text) external _glGetConvolutionFilter
00000001c25ab2a0 (__TEXT,__text) external _glGetConvolutionParameterfv
00000001c25ab2c4 (__TEXT,__text) external _glGetConvolutionParameteriv
00000001c25af8c8 (__TEXT,__text) external _glGetDoublei_v
00000001c25a9158 (__TEXT,__text) external _glGetDoublev
00000001c25a9178 (__TEXT,__text) external _glGetError
00000001c25b2ec4 (__TEXT,__text) external _glGetFinalCombinerInputParameterfvNV
00000001c25b2ec8 (__TEXT,__text) external _glGetFinalCombinerInputParameterivNV
00000001c25af8a4 (__TEXT,__text) external _glGetFloati_v
00000001c25a9190 (__TEXT,__text) external _glGetFloatv
00000001c25ae1ec (__TEXT,__text) external _glGetFragDataIndex
00000001c25ada84 (__TEXT,__text) external _glGetFragDataLocation
00000001c25b253c (__TEXT,__text) external _glGetFragDataLocationEXT
00000001c25ad34c (__TEXT,__text) external _glGetFramebufferAttachmentParameteriv
00000001c25b1d80 (__TEXT,__text) external _glGetFramebufferAttachmentParameterivEXT
00000001c25b0e04 (__TEXT,__text) external _glGetHandleARB
00000001c25ab370 (__TEXT,__text) external _glGetHistogram
00000001c25ab39c (__TEXT,__text) external _glGetHistogramParameterfv
00000001c25ab3c0 (__TEXT,__text) external _glGetHistogramParameteriv
00000001c25b1214 (__TEXT,__text) external _glGetInfoLogARB
00000001c25ae154 (__TEXT,__text) external _glGetInteger64i_v
00000001c25ae060 (__TEXT,__text) external _glGetInteger64v
00000001c25b1ffc (__TEXT,__text) external _glGetIntegerIndexedvEXT
00000001c25ad55c (__TEXT,__text) external _glGetIntegeri_v
00000001c25a91b0 (__TEXT,__text) external _glGetIntegerv
00000001c25b15e8 (__TEXT,__text) external _glGetInternalformativ
00000001c25a91d0 (__TEXT,__text) external _glGetLightfv
00000001c25a91f4 (__TEXT,__text) external _glGetLightiv
00000001c25a9218 (__TEXT,__text) external _glGetMapdv
00000001c25a923c (__TEXT,__text) external _glGetMapfv
00000001c25a9260 (__TEXT,__text) external _glGetMapiv
00000001c25a9284 (__TEXT,__text) external _glGetMaterialfv
00000001c25a92a8 (__TEXT,__text) external _glGetMaterialiv
00000001c25ab3e4 (__TEXT,__text) external _glGetMinmax
00000001c25ab410 (__TEXT,__text) external _glGetMinmaxParameterfv
00000001c25ab434 (__TEXT,__text) external _glGetMinmaxParameteriv
00000001c25ae110 (__TEXT,__text) external _glGetMultisamplefv
00000001c25b1594 (__TEXT,__text) external _glGetNamedStringARB
00000001c25b15c0 (__TEXT,__text) external _glGetNamedStringivARB
00000001c25b2754 (__TEXT,__text) external _glGetObjectLabelEXT
00000001c25b11cc (__TEXT,__text) external _glGetObjectParameterfvARB
00000001c25b2ca8 (__TEXT,__text) external _glGetObjectParameterivAPPLE
00000001c25b11f0 (__TEXT,__text) external _glGetObjectParameterivARB
00000001c25a92cc (__TEXT,__text) external _glGetPixelMapfv
00000001c25a92ec (__TEXT,__text) external _glGetPixelMapuiv
00000001c25a930c (__TEXT,__text) external _glGetPixelMapusv
00000001c25a932c (__TEXT,__text) external _glGetPointerv
00000001c25a934c (__TEXT,__text) external _glGetPolygonStipple
00000001c25aecac (__TEXT,__text) external _glGetProgramBinary
00000001c25b0044 (__TEXT,__text) external _glGetProgramEnvParameterdvARB
00000001c25b0068 (__TEXT,__text) external _glGetProgramEnvParameterfvARB
00000001c25ace38 (__TEXT,__text) external _glGetProgramInfoLog
00000001c25b008c (__TEXT,__text) external _glGetProgramLocalParameterdvARB
00000001c25b00b0 (__TEXT,__text) external _glGetProgramLocalParameterfvARB
00000001c25aee44 (__TEXT,__text) external _glGetProgramPipelineInfoLog
00000001c25aee04 (__TEXT,__text) external _glGetProgramPipelineiv
00000001c25ae9a0 (__TEXT,__text) external _glGetProgramStageiv
00000001c25b00fc (__TEXT,__text) external _glGetProgramStringARB
00000001c25acdc4 (__TEXT,__text) external _glGetProgramiv
00000001c25b0120 (__TEXT,__text) external _glGetProgramivARB
