00007ffb025a7cb2 (__TEXT,__text) non-external _DiToMD5
00007ffb0259044d (__TEXT,__text) external _IOLockTryLock
00007ffb02590457 (__TEXT,__text) external _IOLockUnlock
00007ffb0258d480 (__TEXT,__text) external _IOLog
00007ffb0258d340 (__TEXT,__text) external _IOLogBuffer
00007ffb0258d51e (__TEXT,__text) external _IOLogv
00007ffb0258d627 (__TEXT,__text) external _IOMalloc
00007ffb0258d687 (__TEXT,__text) external _IOMallocData
00007ffb0258d647 (__TEXT,__text) external _IOMallocTyped
00007ffb0258d651 (__TEXT,__text) external _IOMallocZero
00007ffb0258d69b (__TEXT,__text) external _IOMallocZeroData
00007ffb0258d668 (__TEXT,__text) external _IOMallocZeroTyped
00007ffb40304d20 (__DATA_CONST,__const) external _IOMemoryDescriptor_Class
00007ffb40304ed0 (__DATA_CONST,__const) external _IOMemoryMap_Class
00007ffb0258d764 (__TEXT,__text) external _IOParseBootArgNumber
00007ffb0258dbd8 (__TEXT,__text) external _IOParseBootArgString
00007ffb0258f62d (__TEXT,__text) external _IORPCMessageFromMach
00007ffb025b845d (__TEXT,__text) non-external _IORPCMessageFromMach.cold.1
00007ffb025b8492 (__TEXT,__text) non-external _IORPCMessageFromMach.cold.2
00007ffb02590674 (__TEXT,__text) external _IORWLockAlloc
00007ffb025b87da (__TEXT,__text) non-external _IORWLockAlloc.cold.1
00007ffb025906b7 (__TEXT,__text) external _IORWLockFree
00007ffb025906de (__TEXT,__text) external _IORWLockRead
00007ffb025b87fd (__TEXT,__text) non-external _IORWLockRead.cold.1
00007ffb0259070a (__TEXT,__text) external _IORWLockUnlock
00007ffb025b8843 (__TEXT,__text) non-external _IORWLockUnlock.cold.1
00007ffb025906f4 (__TEXT,__text) external _IORWLockWrite
00007ffb025b8820 (__TEXT,__text) non-external _IORWLockWrite.cold.1
00007ffb025904e4 (__TEXT,__text) external _IORecursiveConditionLockAlloc
00007ffb0259051a (__TEXT,__text) external _IORecursiveConditionLockFree
00007ffb025905dc (__TEXT,__text) external _IORecursiveConditionLockHaveLock
00007ffb025b8771 (__TEXT,__text) non-external _IORecursiveConditionLockHaveLock.cold.1
00007ffb02590530 (__TEXT,__text) external _IORecursiveConditionLockLock
00007ffb025b86e5 (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.1
00007ffb025b8708 (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.2
00007ffb02590610 (__TEXT,__text) external _IORecursiveConditionLockTryLock
00007ffb025b8794 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.1
00007ffb025b87b7 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.2
00007ffb02590588 (__TEXT,__text) external _IORecursiveConditionLockUnlock
00007ffb025b872b (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.1
00007ffb025b874e (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.2
00007ffb0259047e (__TEXT,__text) external _IORecursiveLockAlloc
00007ffb025904a4 (__TEXT,__text) external _IORecursiveLockFree
00007ffb025904d0 (__TEXT,__text) external _IORecursiveLockHaveLock
00007ffb025904ba (__TEXT,__text) external _IORecursiveLockLock
00007ffb025904da (__TEXT,__text) external _IORecursiveLockTryLock
00007ffb025904c6 (__TEXT,__text) external _IORecursiveLockUnlock
00007ffb40305300 (__DATA_CONST,__const) external _IOReportLegend_Class
00007ffb40305080 (__DATA_CONST,__const) external _IOReporter_Class
00007ffb40305930 (__DATA_CONST,__const) external _IOServiceNotificationDispatchSource_Class
00007ffb40305ae0 (__DATA_CONST,__const) external _IOServiceStateNotificationDispatchSource_Class
00007ffb40305780 (__DATA_CONST,__const) external _IOService_Class
00007ffb40305120 (__DATA_CONST,__const) external _IOSimpleReporter_Class
00007ffb0258d6c1 (__TEXT,__text) external _IOSleep
00007ffb403051c0 (__DATA_CONST,__const) external _IOStateReporter_Class
00007ffb02590797 (__TEXT,__text) external _IOThreadLocalStorageGet
00007ffb02590732 (__TEXT,__text) external _IOThreadLocalStorageKeyCreate
00007ffb02590761 (__TEXT,__text) external _IOThreadLocalStorageKeyDelete
00007ffb02590776 (__TEXT,__text) external _IOThreadLocalStorageSet
00007ffb403078e0 (__DATA_CONST,__const) external _IOThread_Class
00007ffb40305c90 (__DATA_CONST,__const) external _IOTimerDispatchSource_Class
00007ffb40305e40 (__DATA_CONST,__const) external _IOUserClient_Class
00007ffb02590dff (__TEXT,__text) external _IOUserServerMain
00007ffb025b8aed (__TEXT,__text) non-external _IOUserServerMain.cold.1
00007ffb025b8c28 (__TEXT,__text) non-external _IOUserServerMain.cold.10
00007ffb025b8b10 (__TEXT,__text) non-external _IOUserServerMain.cold.2
00007ffb025b8b33 (__TEXT,__text) non-external _IOUserServerMain.cold.3
00007ffb025b8b56 (__TEXT,__text) non-external _IOUserServerMain.cold.4
00007ffb025b8b79 (__TEXT,__text) non-external _IOUserServerMain.cold.5
00007ffb025b8b9c (__TEXT,__text) non-external _IOUserServerMain.cold.6
00007ffb025b8bbf (__TEXT,__text) non-external _IOUserServerMain.cold.7
00007ffb025b8be2 (__TEXT,__text) non-external _IOUserServerMain.cold.8
00007ffb025b8c05 (__TEXT,__text) non-external _IOUserServerMain.cold.9
00007ffb403061c0 (__DATA_CONST,__const) external _IOUserServer_Class
00007ffb426fd650 (__DATA_DIRTY,__common) external _IOVMPageSize
00007ffb40306370 (__DATA_CONST,__const) external _IOWorkGroup_Class
00007ffb025a7e1b (__TEXT,__text) external _MD5Final
00007ffb025a7c30 (__TEXT,__text) external _MD5Init
00007ffb025a7daf (__TEXT,__text) non-external _MD5ToDi
00007ffb025a7d0b (__TEXT,__text) external _MD5Update
                 (undefined) external _NDR_record (from libSystem)
00007ffb40306520 (__DATA_CONST,__const) external _OSAction_Class
00007ffb40305ee0 (__DATA_CONST,__const) external _OSAction_IOUserClient_KernelCompletion_Class
00007ffb40307620 (__DATA_CONST,__const) external _OSAction__IOBlockStorageDevice_KernelCompletion_Class
00007ffb02599d47 (__TEXT,__text) external _OSArrayAppendValue
00007ffb025999b2 (__TEXT,__text) external _OSArrayApply
00007ffb02599961 (__TEXT,__text) external _OSArrayCreate
00007ffb0259901b (__TEXT,__text) external _OSArrayGetCount
00007ffb02599dd5 (__TEXT,__text) external _OSArrayGetStringValue
00007ffb02599e45 (__TEXT,__text) external _OSArrayGetUInt64Value
00007ffb02599d7b (__TEXT,__text) external _OSArrayGetValue
00007ffb02599d38 (__TEXT,__text) external _OSArrayReplaceValue
00007ffb02599e00 (__TEXT,__text) external _OSArraySetStringValue
00007ffb02599f0b (__TEXT,__text) external _OSArraySetUInt64Value
00007ffb02599b93 (__TEXT,__text) external _OSArraySetValue
00007ffb403066d0 (__DATA_CONST,__const) external _OSArray_Class
00007ffb403067c8 (__DATA_CONST,__const) external _OSBoolean_Class
00007ffb403068c0 (__DATA_CONST,__const) external _OSBundle_Class
00007ffb02597cc3 (__TEXT,__text) external _OSCollectionTypeID
00007ffb025b9784 (__TEXT,__text) non-external _OSCollectionTypeID.cold.1
00007ffb02597c40 (__TEXT,__text) external _OSCollectionTypeName
00007ffb025b9740 (__TEXT,__text) non-external _OSCollectionTypeName.cold.1
00007ffb403069b8 (__DATA_CONST,__const) external _OSCollection_Class
00007ffb0259c5a4 (__TEXT,__text) external _OSCollectionsInitialize
00007ffb40306ab0 (__DATA_CONST,__const) external _OSContainer_Class
00007ffb02597d27 (__TEXT,__text) external _OSCreateObjectFromSerialization
00007ffb025b97ca (__TEXT,__text) non-external _OSCreateObjectFromSerialization.cold.1
00007ffb0259a84f (__TEXT,__text) external _OSCreateSerializationFromBytes
00007ffb025b9cf8 (__TEXT,__text) non-external _OSCreateSerializationFromBytes.cold.1
00007ffb0259a754 (__TEXT,__text) external _OSCreateSerializationFromObject
00007ffb02598ea0 (__TEXT,__text) external _OSDataAppendBytes
00007ffb02598e05 (__TEXT,__text) external _OSDataCreate
00007ffb025b996a (__TEXT,__text) non-external _OSDataCreate.cold.1
00007ffb02598db1 (__TEXT,__text) external _OSDataGetBytes
00007ffb02598d68 (__TEXT,__text) external _OSDataGetBytesPtr
00007ffb02598da0 (__TEXT,__text) external _OSDataGetLength
00007ffb40306c10 (__DATA_CONST,__const) external _OSData_Class
00007ffb02599028 (__TEXT,__text) external _OSDictionaryApply
00007ffb02598fbd (__TEXT,__text) external _OSDictionaryCreate
00007ffb0259900e (__TEXT,__text) external _OSDictionaryGetCount
00007ffb025996e0 (__TEXT,__text) external _OSDictionaryGetStringValue
00007ffb02599887 (__TEXT,__text) external _OSDictionaryGetUInt64Value
00007ffb0259965b (__TEXT,__text) external _OSDictionaryGetValue
00007ffb02599842 (__TEXT,__text) external _OSDictionarySetStringValue
00007ffb02599923 (__TEXT,__text) external _OSDictionarySetUInt64Value
00007ffb025992e8 (__TEXT,__text) external _OSDictionarySetValue
00007ffb40306d08 (__DATA_CONST,__const) external _OSDictionary_Class
00007ffb40306e00 (__DATA_CONST,__const) external _OSMappedFile_Class
00007ffb02598f62 (__TEXT,__text) external _OSNumberCreateWithUInt64Value
00007ffb02598f41 (__TEXT,__text) external _OSNumberGetUInt64Value
00007ffb40306ef8 (__DATA_CONST,__const) external _OSNumber_Class
00007ffb0259adde (__TEXT,__text) external _OSObjectLog
00007ffb02597c7b (__TEXT,__text) external _OSObjectRelease
00007ffb02597c70 (__TEXT,__text) external _OSObjectRetain
00007ffb40306ff0 (__DATA_CONST,__const) external _OSObject_Class
00007ffb403071a0 (__DATA_CONST,__const) external _OSOrderedSet_Class
00007ffb0258dbe7 (__TEXT,__text) external _OSReportWithBacktrace
00007ffb0259a97e (__TEXT,__text) external _OSSerializationGetBytes
00007ffb40307298 (__DATA_CONST,__const) external _OSSerialization_Class
00007ffb40307390 (__DATA_CONST,__const) external _OSSet_Class
00007ffb025987f2 (__TEXT,__text) external _OSStringCreate
00007ffb025b9879 (__TEXT,__text) non-external _OSStringCreate.cold.1
00007ffb025b989c (__TEXT,__text) non-external _OSStringCreate.cold.2
00007ffb025b98bd (__TEXT,__text) non-external _OSStringCreate.cold.3
00007ffb025987a7 (__TEXT,__text) external _OSStringGetLength
00007ffb0259876e (__TEXT,__text) external _OSStringGetStringPtr
00007ffb40307488 (__DATA_CONST,__const) external _OSString_Class
00007ffb0258d6db (__TEXT,__text) external _OSSynchronizeIO
00007ffb42854620 (__DATA,__bss) non-external _OSUniqueStrings
00007ffb0258df10 (__TEXT,__text) external _PE_i_can_has_debugger
00007ffb025a809b (__TEXT,__text) external _SHA1Final
00007ffb025a7eb0 (__TEXT,__text) external _SHA1Init
00007ffb025a8038 (__TEXT,__text) non-external _SHA1ToDi
00007ffb025a7f93 (__TEXT,__text) external _SHA1Update
00007ffb025a889e (__TEXT,__text) external _SHA256_Final
00007ffb025a882b (__TEXT,__text) external _SHA256_Init
00007ffb025ba470 (__TEXT,__text) non-external _SHA256_Init.cold.1
00007ffb025a886b (__TEXT,__text) external _SHA256_Update
00007ffb025a893c (__TEXT,__text) external _SHA384_Final
00007ffb025a88c3 (__TEXT,__text) external _SHA384_Init
00007ffb025ba489 (__TEXT,__text) non-external _SHA384_Init.cold.1
00007ffb025a8909 (__TEXT,__text) external _SHA384_Update
00007ffb025a89da (__TEXT,__text) external _SHA512_Final
00007ffb025a8961 (__TEXT,__text) external _SHA512_Init
00007ffb025ba4a2 (__TEXT,__text) non-external _SHA512_Init.cold.1
00007ffb025a89a7 (__TEXT,__text) external _SHA512_Update
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
00007ffb0258eaca (__TEXT,__text) non-external __GLOBAL__sub_I_IOLib.cpp
00007ffb025a89ff (__TEXT,__text) non-external __GLOBAL__sub_I_ObjectIntrospection.mm
00007ffb40307580 (__DATA_CONST,__const) external __IOBlockStorageDevice_Class
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSGetExecutablePath (from libSystem)
00007ffb0258ee49 (__TEXT,__text) non-external (was a private external) __Z11OSFindClassP18IOUserServer_IVarsPKc
00007ffb025b8217 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.1
00007ffb025b823a (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.2
00007ffb025907a1 (__TEXT,__text) non-external (was a private external) __Z11ThreadStartPFPvS_ES_
00007ffb025b8866 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.1
00007ffb025b8889 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.2
00007ffb025b88ac (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.3
00007ffb025b88cf (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.4
00007ffb025b88f2 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.5
00007ffb0258f86b (__TEXT,__text) non-external (was a private external) __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC
00007ffb025b8541 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.1
00007ffb025b8564 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.2
00007ffb025b8587 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.3
00007ffb025b85aa (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.4
00007ffb0258f104 (__TEXT,__text) non-external (was a private external) __Z12OSObjectFreeP15OSMetaClassBase
00007ffb025b82c6 (__TEXT,__text) non-external __Z12OSObjectFreeP15OSMetaClassBase.cold.1
00007ffb02599d5d (__TEXT,__text) non-external (was a private external) __Z15OSArrayGetEntryP7OSArraym
00007ffb0259c54a (__TEXT,__text) non-external (was a private external) __Z15OSBooleanCreatev
00007ffb0258ec7d (__TEXT,__text) non-external (was a private external) __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass
00007ffb025b81ae (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.1
00007ffb025b81d1 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.2
00007ffb025b81f4 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.3
00007ffb02599e70 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetStringP7OSArraym
00007ffb02599ee0 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetUInt64P7OSArraym
00007ffb02599e9b (__TEXT,__text) non-external (was a private external) __Z16OSArraySetStringP7OSArraymPKc
00007ffb0258ee9e (__TEXT,__text) external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject
00007ffb0259a268 (__TEXT,__text) non-external (was a private external) __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry
00007ffb025b9be0 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.1
00007ffb025b9c03 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.2
00007ffb025b9c26 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.3
00007ffb025b9c49 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.4
00007ffb025b9c6c (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.5
00007ffb025b9c8f (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.6
00007ffb0258d1ee (__TEXT,__text) external __Z16OSUnserializeXMLPKcPP8OSString
00007ffb0258d2f0 (__TEXT,__text) external __Z16OSUnserializeXMLPKcmPP8OSString
00007ffb0258f3c2 (__TEXT,__text) external __Z17OSObjectTryRetainP8OSObject
00007ffb025b830a (__TEXT,__text) non-external __Z17OSObjectTryRetainP8OSObject.cold.1
00007ffb0258f4b8 (__TEXT,__text) non-external (was a private external) __Z17SearchMethodArrayyPKyjPy
00007ffb02590bcb (__TEXT,__text) non-external (was a private external) __Z18OSLoadBundleByPathP18IOUserServer_IVarsPKc
00007ffb0258ebf0 (__TEXT,__text) non-external (was a private external) __Z18OSStringArrayIndexP10IOPStringsPKc
00007ffb0258eb53 (__TEXT,__text) non-external (was a private external) __Z19OSCopyInStringArrayPKcj
00007ffb0259a99c (__TEXT,__text) non-external (was a private external) __Z19OSObjectLogInternalP8OSObjectj
00007ffb025b9d1b (__TEXT,__text) non-external __Z19OSObjectLogInternalP8OSObjectj.cold.1
00007ffb0258f008 (__TEXT,__text) non-external (was a private external) __Z20OSObjectPortFinalizeP15OSMetaClassBase
00007ffb025b8280 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.1
00007ffb025b82a3 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.2
00007ffb02597cf0 (__TEXT,__text) non-external (was a private external) __Z20OSSerializationValueP15OSSerializationj
00007ffb025b97a7 (__TEXT,__text) non-external __Z20OSSerializationValueP15OSSerializationj.cold.1
00007ffb02597c86 (__TEXT,__text) non-external (was a private external) __Z21OSSerializationTypeIDj
00007ffb025b9761 (__TEXT,__text) non-external __Z21OSSerializationTypeIDj.cold.1
00007ffb0258c060 (__TEXT,__text) non-external (was a private external) __Z21OSUnserializeXMLparsePv
00007ffb02598d18 (__TEXT,__text) non-external (was a private external) __Z23OSSerializationGetBytesPKjPvmm
00007ffb02599f49 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationAppendBytesP15OSSerializationPKvm
00007ffb025b99f6 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.1
00007ffb025b9a19 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.2
00007ffb025b9a3c (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.3
00007ffb025b9a5f (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.4
00007ffb025b9a82 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.5
00007ffb02598ce4 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationGetBytesPtrPKjmm
00007ffb02598f25 (__TEXT,__text) non-external (was a private external) __Z29OSSerializationGetUInt64ValuePKj
00007ffb0259a080 (__TEXT,__text) non-external (was a private external) __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry
00007ffb025b9aa5 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.1
00007ffb025b9ac8 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.2
00007ffb025b9aeb (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.3
00007ffb02590b9e (__TEXT,__text) non-external (was a private external) __Z7astrcpyPKc
00007ffb02590276 (__TEXT,__text) non-external __ZL10IORPCAsyncPv
00007ffb025b6ee0 (__TEXT,__text) non-external __ZL10OSData_NewP11OSMetaClass
00007ffb0258d0fe (__TEXT,__text) non-external __ZL10buildArrayP12parser_stateP6object
00007ffb0258e365 (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj
00007ffb025b8123 (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj.cold.1
00007ffb025977ea (__TEXT,__text) non-external __ZL10uiomessagePv
00007ffb025b6df4 (__TEXT,__text) non-external __ZL11OSArray_NewP11OSMetaClass
00007ffb0259ba42 (__TEXT,__text) non-external __ZL11OSSetCreatev
00007ffb025ba970 (__TEXT,__const) non-external __ZL11yytranslate
00007ffb025b7eec (__TEXT,__text) non-external __ZL12IOThread_NewP11OSMetaClass
00007ffb025b681c (__TEXT,__text) non-external __ZL12OSAction_NewP11OSMetaClass
00007ffb025b6e62 (__TEXT,__text) non-external __ZL12OSBundle_NewP11OSMetaClass
00007ffb025b6f7e (__TEXT,__text) non-external __ZL12OSNumber_NewP11OSMetaClass
00007ffb025b6fae (__TEXT,__text) non-external __ZL12OSObject_NewP11OSMetaClass
00007ffb02598ace (__TEXT,__text) non-external __ZL12OSStringFindjU13block_pointerFbP8OSStringE
00007ffb02598a8c (__TEXT,__text) non-external __ZL12OSStringHashPKcm
00007ffb025b98e0 (__TEXT,__text) non-external __ZL12OSStringHashPKcm.cold.1
00007ffb025b75dc (__TEXT,__text) non-external __ZL12OSString_NewP11OSMetaClass
00007ffb025a8ea4 (__TEXT,__text) non-external __ZL13IOCommand_NewP11OSMetaClass
00007ffb025ae096 (__TEXT,__text) non-external __ZL13IOService_NewP11OSMetaClass
00007ffb025965df (__TEXT,__text) non-external __ZL13IOThreadStartPv
00007ffb025b94e2 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.1
00007ffb025b9505 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.2
00007ffb025b9528 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.3
00007ffb025b6e32 (__TEXT,__text) non-external __ZL13OSBoolean_NewP11OSMetaClass
00007ffb025adfa6 (__TEXT,__text) non-external __ZL14IOReporter_NewP11OSMetaClass
00007ffb02592040 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si
00007ffb025b8f6e (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.1
00007ffb025b8f91 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.2
00007ffb025b8fb4 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.3
00007ffb025b8fd7 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.4
00007ffb025ab56a (__TEXT,__text) non-external __ZL15IOEventLink_NewP11OSMetaClass
00007ffb025add2e (__TEXT,__text) non-external __ZL15IOMemoryMap_NewP11OSMetaClass
00007ffb025b61d2 (__TEXT,__text) non-external __ZL15IOWorkGroup_NewP11OSMetaClass
00007ffb025b6eb0 (__TEXT,__text) non-external __ZL15OSContainer_NewP11OSMetaClass
00007ffb02590a02 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00007ffb025b8a0a (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00007ffb025b8a2d (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00007ffb025b8a50 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
00007ffb025b8a73 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
00007ffb0259175f (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc
00007ffb025b8d73 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.1
00007ffb025b8d96 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.2
00007ffb025b8db9 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.3
00007ffb025b8ddc (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.4
00007ffb025971f1 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject
00007ffb025b95d7 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.1
00007ffb025b95fa (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.2
00007ffb025b961d (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.3
00007ffb025b9640 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.4
00007ffb025b9663 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.5
00007ffb025b9686 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.6
00007ffb025b96a9 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.7
00007ffb428545f8 (__DATA,__bss) non-external __ZL15gIOThreadTLSKey
00007ffb025a8f12 (__TEXT,__text) non-external __ZL16IODMACommand_NewP11OSMetaClass
00007ffb025b4a52 (__TEXT,__text) non-external __ZL16IOUserClient_NewP11OSMetaClass
00007ffb025b5936 (__TEXT,__text) non-external __ZL16IOUserServer_NewP11OSMetaClass
