0000000182765150 (__DATA,__data) non-external _C
00000001805ff5dc (__TEXT,__text) external ___bt_cmp
00000001805ff6a8 (__TEXT,__text) external ___bt_defcmp
00000001805ff6ec (__TEXT,__text) external ___bt_defpfx
00000001805fbd00 (__TEXT,__text) external ___bt_delete
00000001805fc370 (__TEXT,__text) external ___bt_dleaf
00000001805fd160 (__TEXT,__text) external ___bt_fd
00000001805fe1c4 (__TEXT,__text) non-external ___bt_first
00000001805fd564 (__TEXT,__text) external ___bt_free
00000001805fc9fc (__TEXT,__text) external ___bt_get
00000001805fd58c (__TEXT,__text) external ___bt_new
00000001805fcaf0 (__TEXT,__text) external ___bt_open
00000001805fc750 (__TEXT,__text) non-external ___bt_pdelete
00000001805fba24 (__TEXT,__text) external ___bt_pgin
00000001805fbba8 (__TEXT,__text) external ___bt_pgout
00000001805fd608 (__TEXT,__text) external ___bt_put
00000001805fc96c (__TEXT,__text) non-external ___bt_relink
00000001805ff448 (__TEXT,__text) external ___bt_ret
00000001805fdb18 (__TEXT,__text) external ___bt_search
00000001805fdd70 (__TEXT,__text) external ___bt_seq
00000001805fe168 (__TEXT,__text) external ___bt_setcur
00000001805fe3dc (__TEXT,__text) external ___bt_split
00000001805fc000 (__TEXT,__text) non-external ___bt_stkacq
00000001805fb948 (__TEXT,__text) external ___bt_sync
0000000180601b38 (__TEXT,__text) external ___buf_free
0000000180601b08 (__TEXT,__text) non-external (was a private external) ___buf_init
0000000182765158 (__DATA,__data) non-external ___c_locale
00000001806463e8 (__TEXT,__text) non-external ___calc_left_pad
00000001806005cc (__TEXT,__text) external ___call_hash
0000000182765fd8 (__DATA,__data) non-external (was a private external) ___chk_assert_no_overlap
00000001806528f0 (__TEXT,__text) non-external (was a private external) ___chk_fail_overflow
000000018065290c (__TEXT,__text) non-external (was a private external) ___chk_fail_overlap
00000001806528ec (__TEXT,__text) non-external (was a private external) ___chk_init
0000000180652928 (__TEXT,__text) non-external (was a private external) ___chk_overlap
0000000182771bb0 (__DATA,__common) external ___cleanup
0000000180608304 (__TEXT,__text) external ___cmp_D2A
000000018061399c (__TEXT,__text) non-external (was a private external) ___collate_collating_symbol
0000000180613b58 (__TEXT,__text) non-external (was a private external) ___collate_equiv_class
0000000180613cc4 (__TEXT,__text) external ___collate_equiv_match
0000000180613fd4 (__TEXT,__text) non-external (was a private external) ___collate_equiv_value
0000000180613134 (__TEXT,__text) non-external (was a private external) ___collate_err
0000000182765818 (__DATA,__data) external ___collate_load_error
00000001806127c0 (__TEXT,__text) non-external (was a private external) ___collate_load_tables
0000000182766f20 (__DATA,__bss) non-external ___collate_load_tables.cache
00000001806134a8 (__TEXT,__text) external ___collate_lookup
00000001806131f0 (__TEXT,__text) external ___collate_lookup_l
0000000180613678 (__TEXT,__text) non-external (was a private external) ___collate_lookup_which
0000000180613584 (__TEXT,__text) non-external (was a private external) ___collate_mbstowcs
0000000180614108 (__TEXT,__text) non-external (was a private external) ___collate_range_cmp
0000000182766f28 (__DATA,__bss) non-external ___collate_range_cmp.s1
0000000182766f30 (__DATA,__bss) non-external ___collate_range_cmp.s2
0000000180612ef8 (__TEXT,__text) non-external (was a private external) ___collate_substitute
00000001806130e0 (__TEXT,__text) non-external (was a private external) ___collate_wcsdup
0000000180613758 (__TEXT,__text) non-external (was a private external) ___collate_xfrm
                 (undefined) external ___commpage_gettimeofday (from libsystem_kernel)
00000001805f0b5c (__TEXT,__text) non-external (was a private external) ___confstr_init
00000001806088b4 (__TEXT,__text) external ___copybits_D2A
00000001806401f0 (__TEXT,__text) non-external ___cvt
0000000182771ae8 (__DATA,__bss) non-external ___cvt.s
00000001806385b0 (__TEXT,__text) external ___cxa_atexit
00000001806388bc (__TEXT,__text) external ___cxa_finalize
00000001806385e4 (__TEXT,__text) external ___cxa_finalize_ranges
00000001806085a8 (__TEXT,__text) external ___d2b_D2A
0000000182771b68 (__DATA,__common) non-external (was a private external) ___darwin_altzone
00000001805ff854 (__TEXT,__text) non-external ___dberr
00000001805ff7fc (__TEXT,__text) external ___dbpanic
000000018277a868 (__AUTH,__data) external ___default_hash
0000000180601d48 (__TEXT,__text) external ___delpair
0000000180617b2c (__TEXT,__text) non-external (was a private external) ___detect_path_locale
000000018060835c (__TEXT,__text) external ___diff_D2A
0000000182766c78 (__DATA,__bss) non-external ___dirhelper_func
0000000180605a90 (__TEXT,__text) external ___dtoa
0000000182771bd0 (__DATA,__common) non-external (was a private external) ___env_owned
0000000180638cac (__TEXT,__text) non-external (was a private external) ___environ_lock_fork_child
0000000182771a7c (__DATA,__bss) non-external ___environ_lock_obj
                 (undefined) external ___error (from libsystem_kernel)
000000018063513c (__TEXT,__text) non-external (was a private external) ___errstr
000000018061fa38 (__TEXT,__text) non-external ___evpinit
                 (undefined) external ___exit (from libsystem_kernel)
0000000180600468 (__TEXT,__text) external ___expand_table
0000000182768998 (__DATA,__bss) non-external ___fallback_evp
                 (undefined) external ___fcntl (from libsystem_kernel)
                 (undefined) external ___fcntl_nocancel (from libsystem_kernel)
000000018061c59c (__TEXT,__text) external ___fflush
000000018061ca34 (__TEXT,__text) external ___fgetwc
0000000180620438 (__TEXT,__text) non-external (was a private external) ___find_arguments
0000000180600f14 (__TEXT,__text) external ___find_bigpair
000000018060103c (__TEXT,__text) external ___find_last_page
0000000180621264 (__TEXT,__text) non-external (was a private external) ___find_warguments
0000000180638bd8 (__TEXT,__text) non-external (was a private external) ___findenv_locked
0000000180614684 (__TEXT,__text) external ___fix_locale_grouping_str
0000000180614748 (__TEXT,__text) non-external (was a private external) ___fix_nogrouping
                 (undefined) external ___fork (from libsystem_kernel)
                 (undefined) external ___fpclassifyd (from libsystem_m)
000000018061d818 (__TEXT,__text) non-external (was a private external) ___fputwc
000000018061ddb0 (__TEXT,__text) external ___fread
0000000180603234 (__TEXT,__text) external ___free_ovflpage
0000000180605940 (__TEXT,__text) external ___freedtoa
0000000182765fdc (__DATA,__data) non-external (was a private external) ___ftell_conformance_fix
00000001805f1868 (__TEXT,__text) non-external ___fts_open
00000001806068ec (__TEXT,__text) external ___gdtoa
0000000182771b18 (__DATA,__common) external ___gdtoa_locks
0000000180601768 (__TEXT,__text) external ___get_buf
0000000180615374 (__TEXT,__text) non-external (was a private external) ___get_current_messages_locale
000000018061593c (__TEXT,__text) non-external (was a private external) ___get_current_monetary_locale
0000000180615ce8 (__TEXT,__text) non-external (was a private external) ___get_current_numeric_locale
0000000180634734 (__TEXT,__text) non-external (was a private external) ___get_current_time_locale
00000001806178fc (__TEXT,__text) non-external (was a private external) ___get_locale_env
0000000180602ca4 (__TEXT,__text) external ___get_page
000000018060ca94 (__TEXT,__text) non-external ___getcwd
                 (undefined) external ___getdirentries64 (from libsystem_kernel)
0000000182768980 (__DATA,__bss) non-external ___getevp.predicate
                 (undefined) external ___gettimeofday (from libsystem_kernel)
0000000182764b80 (__DATA,__data) non-external (was a private external) ___global_locale
000000018063814c (__TEXT,__text) non-external (was a private external) ___guard_setup
00000001805ff85c (__TEXT,__text) external ___hash_open
0000000180605518 (__TEXT,__text) external ___hdtoa
00000001806409bc (__TEXT,__text) non-external (was a private external) ___heapsort_r
0000000180607f10 (__TEXT,__text) external ___hi0bits_D2A
0000000180605888 (__TEXT,__text) external ___hldtoa
0000000180607f88 (__TEXT,__text) external ___i2b_D2A
0000000180603174 (__TEXT,__text) external ___ibitmap
000000018063dca0 (__TEXT,__text) non-external (was a private external) ___init__env_owned_locked
0000000180616e94 (__TEXT,__text) external ___isctype
0000000180616e54 (__TEXT,__text) external ___istype
0000000180616fe0 (__TEXT,__text) external ___istype_l
0000000182765791 (__DATA,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
                 (undefined) external ___kill (from libsystem_kernel)
0000000180615014 (__TEXT,__text) non-external (was a private external) ___ldpart_free_extra
0000000180640c88 (__TEXT,__text) external ___ldtoa
00000001805fac0c (__TEXT,__text) external ___libc_init
0000000180607da4 (__TEXT,__text) external ___lo0bits_D2A
000000018061fa80 (__TEXT,__text) non-external ___loadevp
0000000182765148 (__DATA,__data) non-external (was a private external) ___locale_key
0000000180601d18 (__TEXT,__text) external ___log2
0000000180656a00 (__TEXT,__const) non-external (was a private external) ___lowercase_hex
0000000180608204 (__TEXT,__text) external ___lshift_D2A
0000000180616df4 (__TEXT,__text) external ___maskrune
0000000180616f78 (__TEXT,__text) external ___maskrune_l
0000000180608870 (__TEXT,__text) external ___match_D2A
0000000182765820 (__DATA,__data) external ___mb_cur_max
0000000182765824 (__DATA,__data) external ___mb_sb_limit
000000018062b2cc (__TEXT,__text) non-external ___mbsconv
000000018061621c (__TEXT,__text) non-external (was a private external) ___mbsnrtowcs_std
0000000180652b98 (__TEXT,__text) external ___memccpy_chk
0000000180652ed0 (__TEXT,__text) external ___memcpy_chk
0000000180652b04 (__TEXT,__text) external ___memmove_chk
000000018065296c (__TEXT,__text) external ___memset_chk
0000000180615024 (__TEXT,__text) non-external (was a private external) ___messages_load_locale
0000000182766f38 (__DATA,__bss) non-external ___messages_load_locale.cache
0000000180615394 (__TEXT,__text) non-external (was a private external) ___monetary_load_locale
0000000182766f48 (__DATA,__bss) non-external ___monetary_load_locale.cache
0000000180607fb8 (__TEXT,__text) external ___mult_D2A
0000000180607e58 (__TEXT,__text) external ___multadd_D2A
000000018061be20 (__TEXT,__text) non-external ___nls_free_resources
00000001806564f1 (__TEXT,__const) non-external ___nogrouping
00000001806058e8 (__TEXT,__text) external ___nrv_alloc_D2A
00000001805f81d0 (__TEXT,__text) non-external (was a private external) ___numeric_ctype
000000018061595c (__TEXT,__text) non-external (was a private external) ___numeric_load_locale
0000000182766f58 (__DATA,__bss) non-external ___numeric_load_locale.cache
                 (undefined) external ___open (from libsystem_kernel)
                 (undefined) external ___open_nocancel (from libsystem_kernel)
0000000180617bd4 (__TEXT,__text) non-external (was a private external) ___open_path_locale
000000018060d3e8 (__TEXT,__text) external ___opendir2
000000018060d508 (__TEXT,__text) non-external ___opendir_common
00000001805fd498 (__TEXT,__text) external ___ovfl_delete
00000001805fd2b0 (__TEXT,__text) external ___ovfl_get
00000001805fd398 (__TEXT,__text) external ___ovfl_put
00000001806286c0 (__TEXT,__text) non-external (was a private external) ___parsefloat_buf
00000001827689c0 (__DATA,__bss) non-external ___parsefloat_buf.bsiz
00000001827689b8 (__DATA,__bss) non-external ___parsefloat_buf.parsefloat_tsd_key
0000000182765c20 (__DATA,__data) non-external ___parsefloat_buf.parsefloat_tsd_lock
0000000180614dc8 (__TEXT,__text) non-external (was a private external) ___part_load_locale
                 (undefined) external ___platform_sigaction (from libsystem_platform)
0000000182771b38 (__DATA,__common) non-external (was a private external) ___popen_pidlist
0000000182765798 (__DATA,__data) non-external (was a private external) ___popen_pidlist_mutex
00000001806080ec (__TEXT,__text) external ___pow5mult_D2A
0000000180655d90 (__TEXT,__const) non-external ___pow5mult_D2A.p05
00000001806438fc (__TEXT,__text) non-external (was a private external) ___printf_arginfo_chr
0000000180654840 (__TEXT,__text) non-external ___printf_arginfo_chr.cold.1
0000000180641ce8 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_errno
0000000180654664 (__TEXT,__text) non-external ___printf_arginfo_errno.cold.1
0000000180641e28 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_float
0000000180654690 (__TEXT,__text) non-external ___printf_arginfo_float.cold.1
000000018064287c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_hexdump
00000001806546e8 (__TEXT,__text) non-external ___printf_arginfo_hexdump.cold.1
0000000180642af8 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_int
0000000180654714 (__TEXT,__text) non-external ___printf_arginfo_int.cold.1
0000000180644104 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_n
00000001806548c4 (__TEXT,__text) non-external ___printf_arginfo_n.cold.1
00000001806440ec (__TEXT,__text) non-external (was a private external) ___printf_arginfo_pct
0000000180643294 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_ptr
00000001806547bc (__TEXT,__text) non-external ___printf_arginfo_ptr.cold.1
0000000180643360 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_quote
00000001806547e8 (__TEXT,__text) non-external ___printf_arginfo_quote.cold.1
000000018064364c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_str
0000000180654814 (__TEXT,__text) non-external ___printf_arginfo_str.cold.1
0000000180643a98 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_time
000000018065486c (__TEXT,__text) non-external ___printf_arginfo_time.cold.1
0000000180643d94 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_vis
0000000180654898 (__TEXT,__text) non-external ___printf_arginfo_vis.cold.1
00000001806441ac (__TEXT,__text) non-external (was a private external) ___printf_comp
000000018064492c (__TEXT,__text) non-external (was a private external) ___printf_exec
0000000180643ef0 (__TEXT,__text) non-external (was a private external) ___printf_flush
000000018062392c (__TEXT,__text) non-external (was a private external) ___printf_is_memory_read_only
0000000180644038 (__TEXT,__text) non-external (was a private external) ___printf_out
0000000180643f94 (__TEXT,__text) non-external (was a private external) ___printf_pad
0000000180643f28 (__TEXT,__text) non-external (was a private external) ___printf_puts
0000000180643948 (__TEXT,__text) non-external (was a private external) ___printf_render_chr
0000000180641d10 (__TEXT,__text) non-external (was a private external) ___printf_render_errno
0000000180641e78 (__TEXT,__text) non-external (was a private external) ___printf_render_float
00000001806546bc (__TEXT,__text) non-external ___printf_render_float.cold.1
00000001806428ac (__TEXT,__text) non-external (was a private external) ___printf_render_hexdump
0000000180642b90 (__TEXT,__text) non-external (was a private external) ___printf_render_int
0000000180654740 (__TEXT,__text) non-external ___printf_render_int.cold.1
0000000180654790 (__TEXT,__text) non-external ___printf_render_int.cold.2
000000018064412c (__TEXT,__text) non-external (was a private external) ___printf_render_n
00000001806440f4 (__TEXT,__text) non-external (was a private external) ___printf_render_pct
00000001806432cc (__TEXT,__text) non-external (was a private external) ___printf_render_ptr
0000000180643388 (__TEXT,__text) non-external (was a private external) ___printf_render_quote
000000018064368c (__TEXT,__text) non-external (was a private external) ___printf_render_str
0000000180643ac0 (__TEXT,__text) non-external (was a private external) ___printf_render_time
0000000180643dbc (__TEXT,__text) non-external (was a private external) ___printf_render_vis
000000018060c5f0 (__TEXT,__text) non-external (was a private external) ___private_getcwd
0000000182766e00 (__DATA,__bss) non-external ___progname_pointer
                 (undefined) external ___pthread_workqueue_setkill (from libsystem_pthread)
0000000180602e84 (__TEXT,__text) external ___put_page
0000000180656584 (__TEXT,__const) non-external (was a private external) ___puts_null__
0000000180605954 (__TEXT,__text) external ___quorem_D2A
00000001806087d0 (__TEXT,__text) external ___ratio_D2A
0000000180603c28 (__TEXT,__text) external ___rec_close
0000000180603f24 (__TEXT,__text) external ___rec_delete
0000000180604070 (__TEXT,__text) external ___rec_dleaf
0000000180604a80 (__TEXT,__text) external ___rec_fd
00000001806044ec (__TEXT,__text) external ___rec_fmap
00000001806042ac (__TEXT,__text) external ___rec_fpipe
00000001806041a0 (__TEXT,__text) external ___rec_get
0000000180604da8 (__TEXT,__text) external ___rec_iput
00000001806046dc (__TEXT,__text) external ___rec_open
0000000180604ad8 (__TEXT,__text) external ___rec_put
00000001806053b8 (__TEXT,__text) external ___rec_ret
0000000180604fe8 (__TEXT,__text) external ___rec_search
00000001806051bc (__TEXT,__text) external ___rec_seq
0000000180603ce0 (__TEXT,__text) external ___rec_sync
0000000180604600 (__TEXT,__text) external ___rec_vmap
00000001806043c4 (__TEXT,__text) external ___rec_vpipe
0000000180601c10 (__TEXT,__text) external ___reclaim_buf
                 (undefined) external ___recvfrom (from libsystem_kernel)
                 (undefined) external ___recvfrom_nocancel (from libsystem_kernel)
0000000180607a60 (__TEXT,__text) external ___rshift_D2A
000000018060588c (__TEXT,__text) external ___rv_alloc_D2A
00000001806086e4 (__TEXT,__text) external ___s2b_D2A
000000018277a870 (__AUTH,__data) external ___sF
0000000182765910 (__DATA,__data) non-external ___sFX
00000001806229bc (__TEXT,__text) external ___sclose
0000000182767180 (__DATA,__bss) non-external ___scounted
0000000182771b50 (__DATA,__common) external ___sdidinit
                 (undefined) external ___semwait_signal (from libsystem_kernel)
                 (undefined) external ___semwait_signal_nocancel (from libsystem_kernel)
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sendto_nocancel (from libsystem_kernel)
000000018063dd18 (__TEXT,__text) non-external (was a private external) ___setenv_locked
0000000180617cf4 (__TEXT,__text) non-external (was a private external) ___setrunelocale
0000000182767130 (__DATA,__bss) non-external ___setrunelocale.CachedRuneLocale
0000000182767138 (__DATA,__bss) non-external ___setrunelocale.cache_lock
                 (undefined) external ___settimeofday (from libsystem_kernel)
00000001806464a4 (__TEXT,__text) non-external ___setup_vars
000000018061d404 (__TEXT,__text) external ___sflags
000000018061c428 (__TEXT,__text) external ___sflush
000000018061cf14 (__TEXT,__text) external ___sfp
000000018061d2e8 (__TEXT,__text) non-external (was a private external) ___sfprelease
000000018061eb44 (__TEXT,__text) external ___sfvwrite
0000000182765bb0 (__DATA,__data) external ___sglue
                 (undefined) external ___sigaltstack (from libsystem_kernel)
000000018061d0fc (__TEXT,__text) external ___sinit
000000018061c634 (__TEXT,__text) external ___slbexpand
000000018061f73c (__TEXT,__text) external ___smakebuf
0000000180652bfc (__TEXT,__text) external ___snprintf_chk
0000000180652c3c (__TEXT,__text) external ___snprintf_object_size_chk
0000000180601ec4 (__TEXT,__text) external ___split_page
000000018062b930 (__TEXT,__text) non-external ___sprint
0000000180652df4 (__TEXT,__text) external ___sprintf_chk
0000000180652e64 (__TEXT,__text) external ___sprintf_object_size_chk
0000000180622974 (__TEXT,__text) external ___sread
0000000180622344 (__TEXT,__text) external ___srefill
000000018062212c (__TEXT,__text) non-external (was a private external) ___srefill0
00000001806222d4 (__TEXT,__text) non-external (was a private external) ___srefill1
0000000180622494 (__TEXT,__text) external ___srget
00000001806229b4 (__TEXT,__text) external ___sseek
00000001806382b4 (__TEXT,__text) external ___stack_chk_fail
0000000182771b70 (__DATA,__common) external ___stack_chk_guard
0000000182765b90 (__DATA,__data) external ___stderrp
0000000182765b80 (__DATA,__data) external ___stdinp
0000000180652f9c (__TEXT,__text) non-external (was a private external) ___stdio_init
0000000182768988 (__DATA,__bss) non-external ___stdout_evp
0000000182765b88 (__DATA,__data) external ___stdoutp
0000000180652d84 (__TEXT,__text) external ___stpcpy_chk
0000000180652ef8 (__TEXT,__text) external ___stpncpy_chk
0000000180652c84 (__TEXT,__text) external ___strcat_chk
00000001806086c4 (__TEXT,__text) external ___strcp_D2A
0000000180652b2c (__TEXT,__text) external ___strcpy_chk
0000000182767188 (__DATA,__bss) non-external ___stream_max
0000000182771a50 (__DATA,__bss) non-external ___strerror_ebuf
0000000180652810 (__TEXT,__text) external ___strlcat_chk
0000000180652994 (__TEXT,__text) external ___strlcpy_chk
00000001806529f4 (__TEXT,__text) external ___strncat_chk
0000000180652a94 (__TEXT,__text) external ___strncpy_chk
0000000180608994 (__TEXT,__text) external ___sum_D2A
0000000180628694 (__TEXT,__text) external ___svfscanf
0000000180626d74 (__TEXT,__text) non-external (was a private external) ___svfscanf_l
00000001806565cc (__TEXT,__const) non-external ___svfscanf_l.basefix
000000018062df6c (__TEXT,__text) external ___swbuf
000000018061f960 (__TEXT,__text) external ___swhatbuf
0000000180622994 (__TEXT,__text) external ___swrite
000000018062e1a4 (__TEXT,__text) external ___swsetup
                 (undefined) external ___sysctl (from libsystem_kernel)
0000000182765eb0 (__DATA,__data) non-external ___systemfn_mutex
0000000182765f98 (__DATA,__data) non-external ___systemfn_mutex
0000000180655df0 (__TEXT,__const) external ___tens_D2A
                 (undefined) external ___thread_selfusage (from libsystem_kernel)
00000001805f5310 (__TEXT,__text) non-external ___thread_stack_async_pcs
00000001805f50e0 (__TEXT,__text) non-external ___thread_stack_pcs
0000000180634754 (__TEXT,__text) non-external (was a private external) ___time_load_locale
0000000182771a48 (__DATA,__bss) non-external ___time_load_locale.cache
0000000180655dc8 (__TEXT,__const) external ___tinytens_D2A
0000000180616efc (__TEXT,__text) external ___tolower
0000000180617044 (__TEXT,__text) external ___tolower_l
0000000180616ec0 (__TEXT,__text) external ___toupper
0000000180617024 (__TEXT,__text) external ___toupper_l
0000000180607b34 (__TEXT,__text) external ___trailz_D2A
0000000180608adc (__TEXT,__text) external ___ulp_D2A
0000000180626908 (__TEXT,__text) non-external ___ultoa
000000018062b57c (__TEXT,__text) non-external ___ultoa
0000000180623184 (__TEXT,__text) external ___ungetc
000000018062331c (__TEXT,__text) external ___ungetwc
                 (undefined) external ___unix_conforming (from libsystem_pthread)
000000018063e09c (__TEXT,__text) non-external (was a private external) ___unsetenv_locked
0000000180656a11 (__TEXT,__const) non-external (was a private external) ___uppercase_hex
0000000180644d14 (__TEXT,__text) non-external (was a private external) ___v2printf
000000018062399c (__TEXT,__text) non-external (was a private external) ___vfprintf
00000001806541d4 (__TEXT,__text) non-external ___vfprintf.cold.1
000000018065658b (__TEXT,__const) non-external ___vfprintf.xdigs_lower
000000018065659b (__TEXT,__const) non-external ___vfprintf.xdigs_upper
0000000180628a14 (__TEXT,__text) non-external (was a private external) ___vfwprintf
00000001806565f0 (__TEXT,__const) non-external ___vfwprintf.xdigs_lower
0000000180656600 (__TEXT,__const) non-external ___vfwprintf.xdigs_upper
000000018062bb24 (__TEXT,__text) non-external (was a private external) ___vfwscanf
00000001806566ec (__TEXT,__const) non-external ___vfwscanf.basefix
0000000180652f6c (__TEXT,__text) external ___vsnprintf_chk
0000000180652d14 (__TEXT,__text) external ___vsprintf_chk
                 (undefined) external ___wait4 (from libsystem_kernel)
                 (undefined) external ___wait4_nocancel (from libsystem_kernel)
0000000180619150 (__TEXT,__text) non-external (was a private external) ___wcs_end_offset
0000000180618eb8 (__TEXT,__text) non-external (was a private external) ___wcsnrtombs_std
0000000180616f38 (__TEXT,__text) external ___wcwidth
0000000180617064 (__TEXT,__text) external ___wcwidth_l
000000018061836c (__TEXT,__text) non-external (was a private external) ___wrap_setrunelocale
00000001805f85cc (__TEXT,__text) non-external (was a private external) ___xlocale_init
00000001805f8604 (__TEXT,__text) non-external ___xlocale_release
00000001805f95b0 (__TEXT,__text) non-external (was a private external) ___xprintf_domain_init
00000001806533a8 (__TEXT,__text) non-external ___xprintf_domain_init.cold.1
