                 (undefined) external _XML_ErrorString (from libexpat)
                 (undefined) external _XML_GetErrorCode (from libexpat)
                 (undefined) external _XML_Parse (from libexpat)
                 (undefined) external _XML_ParserCreate (from libexpat)
                 (undefined) external _XML_ParserFree (from libexpat)
                 (undefined) external _XML_SetCharacterDataHandler (from libexpat)
                 (undefined) external _XML_SetElementHandler (from libexpat)
                 (undefined) external _XML_SetEntityDeclHandler (from libexpat)
                 (undefined) external _XML_SetUserData (from libexpat)
                 (undefined) external _XML_StopParser (from libexpat)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcat_chk (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
00007ffe069174ac (__TEXT,__text) external __crypt_blowfish_rn
00007ffe069133b7 (__TEXT,__text) external _apr_brigade_putstrs
00007ffe0691298a (__TEXT,__text) external _apr_brigade_split
00007ffe069128c5 (__TEXT,__text) external _apr_brigade_split_ex
00007ffe06912c0f (__TEXT,__text) external _apr_brigade_split_line
00007ffe06912ed4 (__TEXT,__text) external _apr_brigade_to_iovec
00007ffe069134df (__TEXT,__text) external _apr_brigade_vprintf
00007ffe06912f6b (__TEXT,__text) external _apr_brigade_vputstrs
00007ffe06912d7a (__TEXT,__text) external _apr_brigade_write
00007ffe0691306b (__TEXT,__text) external _apr_brigade_writev
00007ffe06913756 (__TEXT,__text) external _apr_bucket_alloc
00007ffe06913653 (__TEXT,__text) external _apr_bucket_alloc_create
00007ffe069136c8 (__TEXT,__text) external _apr_bucket_alloc_create_ex
00007ffe06913723 (__TEXT,__text) external _apr_bucket_alloc_destroy
00007ffe06913642 (__TEXT,__text) external _apr_bucket_copy_notimpl
00007ffe0691364d (__TEXT,__text) external _apr_bucket_destroy_noop
00007ffe06913864 (__TEXT,__text) external _apr_bucket_eos_create
00007ffe06913841 (__TEXT,__text) external _apr_bucket_eos_make
00007ffe06913926 (__TEXT,__text) external _apr_bucket_file_create
00007ffe069139b2 (__TEXT,__text) external _apr_bucket_file_enable_mmap
00007ffe069138c1 (__TEXT,__text) external _apr_bucket_file_make
00007ffe06913cfd (__TEXT,__text) external _apr_bucket_flush_create
00007ffe06913cda (__TEXT,__text) external _apr_bucket_flush_make
00007ffe0691380c (__TEXT,__text) external _apr_bucket_free
00007ffe06913e00 (__TEXT,__text) external _apr_bucket_heap_create
00007ffe06913d5a (__TEXT,__text) external _apr_bucket_heap_make
00007ffe0691455f (__TEXT,__text) external _apr_bucket_immortal_create
00007ffe0691453b (__TEXT,__text) external _apr_bucket_immortal_make
00007ffe06913f22 (__TEXT,__text) external _apr_bucket_mmap_create
00007ffe06913e9f (__TEXT,__text) external _apr_bucket_mmap_make
00007ffe069140ac (__TEXT,__text) external _apr_bucket_pipe_create
00007ffe0691408b (__TEXT,__text) external _apr_bucket_pipe_make
00007ffe06914348 (__TEXT,__text) external _apr_bucket_pool_create
00007ffe06914271 (__TEXT,__text) external _apr_bucket_pool_make
00007ffe06913624 (__TEXT,__text) external _apr_bucket_setaside_noop
00007ffe0691362c (__TEXT,__text) external _apr_bucket_setaside_notimpl
00007ffe06914447 (__TEXT,__text) external _apr_bucket_shared_copy
00007ffe06914461 (__TEXT,__text) external _apr_bucket_shared_destroy
00007ffe0691446e (__TEXT,__text) external _apr_bucket_shared_make
00007ffe0691442b (__TEXT,__text) external _apr_bucket_shared_split
00007ffe06914489 (__TEXT,__text) external _apr_bucket_simple_copy
00007ffe069144d0 (__TEXT,__text) external _apr_bucket_simple_split
00007ffe069146a3 (__TEXT,__text) external _apr_bucket_socket_create
00007ffe06914682 (__TEXT,__text) external _apr_bucket_socket_make
00007ffe06913637 (__TEXT,__text) external _apr_bucket_split_notimpl
00007ffe069145df (__TEXT,__text) external _apr_bucket_transient_create
00007ffe069145bb (__TEXT,__text) external _apr_bucket_transient_make
00007ffe411be810 (__DATA_CONST,__const) external _apr_bucket_type_eos
00007ffe411be848 (__DATA_CONST,__const) external _apr_bucket_type_file
00007ffe411be880 (__DATA_CONST,__const) external _apr_bucket_type_flush
00007ffe411be8b8 (__DATA_CONST,__const) external _apr_bucket_type_heap
00007ffe411be998 (__DATA_CONST,__const) external _apr_bucket_type_immortal
00007ffe411be8f0 (__DATA_CONST,__const) external _apr_bucket_type_mmap
00007ffe411be928 (__DATA_CONST,__const) external _apr_bucket_type_pipe
00007ffe411be960 (__DATA_CONST,__const) external _apr_bucket_type_pool
00007ffe411bea08 (__DATA_CONST,__const) external _apr_bucket_type_socket
00007ffe411be9d0 (__DATA_CONST,__const) external _apr_bucket_type_transient
                 (undefined) external _apr_cpystrn (from libapr-1)
00007ffe433ccb78 (__DATA,__common) external _apr_current_hooking_module
00007ffe0691f648 (__TEXT,__text) external _apr_date_checkmask
00007ffe0691f760 (__TEXT,__text) external _apr_date_parse_http
00007ffe0691fb0f (__TEXT,__text) external _apr_date_parse_rfc
00007ffe0691a1a4 (__TEXT,__text) external _apr_dbd_check_conn
00007ffe0691a1c5 (__TEXT,__text) external _apr_dbd_close
00007ffe0691aa8f (__TEXT,__text) external _apr_dbd_datum_get
00007ffe0691a1b5 (__TEXT,__text) external _apr_dbd_error
00007ffe0691a328 (__TEXT,__text) external _apr_dbd_escape
00007ffe0691a106 (__TEXT,__text) external _apr_dbd_get_driver
00007ffe0691a305 (__TEXT,__text) external _apr_dbd_get_entry
00007ffe0691a315 (__TEXT,__text) external _apr_dbd_get_name
00007ffe0691a2ee (__TEXT,__text) external _apr_dbd_get_row
00007ffe06919ff6 (__TEXT,__text) external _apr_dbd_init
00007ffe06919fd4 (__TEXT,__text) external _apr_dbd_mutex_lock
00007ffe06919fe5 (__TEXT,__text) external _apr_dbd_mutex_unlock
00007ffe0691a279 (__TEXT,__text) external _apr_dbd_name
00007ffe0691a282 (__TEXT,__text) external _apr_dbd_native_handle
00007ffe0691a2d2 (__TEXT,__text) external _apr_dbd_num_cols
00007ffe0691a2e0 (__TEXT,__text) external _apr_dbd_num_tuples
00007ffe0691a1d3 (__TEXT,__text) external _apr_dbd_open
00007ffe0691a139 (__TEXT,__text) external _apr_dbd_open_ex
00007ffe0691a90a (__TEXT,__text) external _apr_dbd_pbquery
00007ffe0691a927 (__TEXT,__text) external _apr_dbd_pbselect
00007ffe0691a780 (__TEXT,__text) external _apr_dbd_pquery
00007ffe0691a33f (__TEXT,__text) external _apr_dbd_prepare
00007ffe0691a7a2 (__TEXT,__text) external _apr_dbd_pselect
00007ffe0691a94c (__TEXT,__text) external _apr_dbd_pvbquery
00007ffe0691a9ee (__TEXT,__text) external _apr_dbd_pvbselect
00007ffe0691a7c7 (__TEXT,__text) external _apr_dbd_pvquery
00007ffe0691a869 (__TEXT,__text) external _apr_dbd_pvselect
00007ffe0691a2a4 (__TEXT,__text) external _apr_dbd_query
00007ffe0691a2b8 (__TEXT,__text) external _apr_dbd_select
00007ffe0691a290 (__TEXT,__text) external _apr_dbd_set_dbname
00007ffe411bebf0 (__DATA_CONST,__const) external _apr_dbd_sqlite3_driver
00007ffe0691a22c (__TEXT,__text) external _apr_dbd_transaction_end
00007ffe0691a255 (__TEXT,__text) external _apr_dbd_transaction_mode_get
00007ffe0691a266 (__TEXT,__text) external _apr_dbd_transaction_mode_set
00007ffe0691a1e0 (__TEXT,__text) external _apr_dbd_transaction_start
00007ffe0691abe1 (__TEXT,__text) external _apr_dbm_close
00007ffe0691ac0b (__TEXT,__text) external _apr_dbm_delete
00007ffe0691ac1a (__TEXT,__text) external _apr_dbm_exists
00007ffe0691abed (__TEXT,__text) external _apr_dbm_fetch
00007ffe0691ac29 (__TEXT,__text) external _apr_dbm_firstkey
00007ffe0691ac47 (__TEXT,__text) external _apr_dbm_freedatum
00007ffe0691acdb (__TEXT,__text) external _apr_dbm_get_usednames
00007ffe0691ac8c (__TEXT,__text) external _apr_dbm_get_usednames_ex
00007ffe0691ac56 (__TEXT,__text) external _apr_dbm_geterror
00007ffe0691ac38 (__TEXT,__text) external _apr_dbm_nextkey
00007ffe0691ab7a (__TEXT,__text) external _apr_dbm_open
00007ffe0691aaa7 (__TEXT,__text) external _apr_dbm_open_ex
00007ffe0691abfc (__TEXT,__text) external _apr_dbm_store
00007ffe411bea40 (__DATA_CONST,__const) external _apr_dbm_type_sdbm
00007ffe433ccb70 (__DATA,__common) external _apr_debug_module_hooks
00007ffe0691cae1 (__TEXT,__text) external _apr_dynamic_fn_register
00007ffe0691caad (__TEXT,__text) external _apr_dynamic_fn_retrieve
                 (undefined) external _apr_file_close (from libapr-1)
                 (undefined) external _apr_file_flags_get (from libapr-1)
                 (undefined) external _apr_file_info_get$INODE64 (from libapr-1)
                 (undefined) external _apr_file_lock (from libapr-1)
                 (undefined) external _apr_file_name_get (from libapr-1)
                 (undefined) external _apr_file_open (from libapr-1)
                 (undefined) external _apr_file_pipe_timeout_get (from libapr-1)
                 (undefined) external _apr_file_pipe_timeout_set (from libapr-1)
                 (undefined) external _apr_file_pool_get (from libapr-1)
                 (undefined) external _apr_file_read (from libapr-1)
                 (undefined) external _apr_file_read_full (from libapr-1)
                 (undefined) external _apr_file_seek (from libapr-1)
                 (undefined) external _apr_file_setaside (from libapr-1)
                 (undefined) external _apr_file_unlock (from libapr-1)
                 (undefined) external _apr_file_write_full (from libapr-1)
                 (undefined) external _apr_generate_random_bytes (from libapr-1)
00007ffe433ccb68 (__DATA,__common) external _apr_global_hook_pool
                 (undefined) external _apr_hash_count (from libapr-1)
                 (undefined) external _apr_hash_first (from libapr-1)
                 (undefined) external _apr_hash_get (from libapr-1)
                 (undefined) external _apr_hash_make (from libapr-1)
                 (undefined) external _apr_hash_next (from libapr-1)
                 (undefined) external _apr_hash_set (from libapr-1)
                 (undefined) external _apr_hash_this (from libapr-1)
00007ffe433ccb60 (__DATA,__common) external _apr_hook_debug_current
00007ffe433ccb58 (__DATA,__common) external _apr_hook_debug_enabled
00007ffe0691c858 (__TEXT,__text) external _apr_hook_debug_show
00007ffe0691c807 (__TEXT,__text) external _apr_hook_deregister_all
00007ffe433ccb50 (__DATA,__common) external _apr_hook_global_pool
00007ffe0691c34c (__TEXT,__text) external _apr_hook_sort_all
00007ffe0691c302 (__TEXT,__text) external _apr_hook_sort_register
00007ffe069257b8 (__TEXT,__text) external _apr_ldap_get_option
00007ffe06925787 (__TEXT,__text) external _apr_ldap_info
00007ffe069256e2 (__TEXT,__text) external _apr_ldap_init
00007ffe0691cb42 (__TEXT,__text) external _apr_ldap_is_ldap_url
00007ffe0691cc72 (__TEXT,__text) external _apr_ldap_is_ldapi_url
00007ffe0691cc30 (__TEXT,__text) external _apr_ldap_is_ldaps_url
00007ffe06925b10 (__TEXT,__text) external _apr_ldap_rebind_add
00007ffe06925ab4 (__TEXT,__text) external _apr_ldap_rebind_init
00007ffe06925bf6 (__TEXT,__text) external _apr_ldap_rebind_remove
00007ffe06925840 (__TEXT,__text) external _apr_ldap_set_option
00007ffe069256da (__TEXT,__text) external _apr_ldap_ssl_deinit
00007ffe06925630 (__TEXT,__text) external _apr_ldap_ssl_init
00007ffe0691d39a (__TEXT,__text) external _apr_ldap_url_parse
00007ffe0691ccb4 (__TEXT,__text) external _apr_ldap_url_parse_ext
00007ffe0691502c (__TEXT,__text) external _apr_md4
00007ffe06914f6d (__TEXT,__text) external _apr_md4_final
00007ffe06914851 (__TEXT,__text) external _apr_md4_init
00007ffe0691486d (__TEXT,__text) external _apr_md4_set_xlate
00007ffe069148aa (__TEXT,__text) external _apr_md4_update
00007ffe06915392 (__TEXT,__text) external _apr_md5
00007ffe069153fc (__TEXT,__text) external _apr_md5_encode
00007ffe069152c9 (__TEXT,__text) external _apr_md5_final
00007ffe06915094 (__TEXT,__text) external _apr_md5_init
00007ffe069150b0 (__TEXT,__text) external _apr_md5_set_xlate
00007ffe069150ed (__TEXT,__text) external _apr_md5_update
00007ffe0691dc58 (__TEXT,__text) external _apr_memcache_add
00007ffe0691e591 (__TEXT,__text) external _apr_memcache_add_multget_key
00007ffe0691d3db (__TEXT,__text) external _apr_memcache_add_server
00007ffe0691d8e2 (__TEXT,__text) external _apr_memcache_create
00007ffe0691e44e (__TEXT,__text) external _apr_memcache_decr
00007ffe0691e0c3 (__TEXT,__text) external _apr_memcache_delete
00007ffe0691d623 (__TEXT,__text) external _apr_memcache_disable_server
00007ffe0691d60e (__TEXT,__text) external _apr_memcache_enable_server
00007ffe0691d5af (__TEXT,__text) external _apr_memcache_find_server
00007ffe0691d408 (__TEXT,__text) external _apr_memcache_find_server_hash
00007ffe0691d427 (__TEXT,__text) external _apr_memcache_find_server_hash_default
00007ffe0691dcb2 (__TEXT,__text) external _apr_memcache_getp
00007ffe0691d9c9 (__TEXT,__text) external _apr_memcache_hash
00007ffe0691d943 (__TEXT,__text) external _apr_memcache_hash_crc32
00007ffe0691d982 (__TEXT,__text) external _apr_memcache_hash_default
00007ffe0691e26b (__TEXT,__text) external _apr_memcache_incr
00007ffe0691e61a (__TEXT,__text) external _apr_memcache_multgetp
00007ffe0691dc85 (__TEXT,__text) external _apr_memcache_replace
00007ffe0691d657 (__TEXT,__text) external _apr_memcache_server_create
00007ffe0691da20 (__TEXT,__text) external _apr_memcache_set
00007ffe0691ef13 (__TEXT,__text) external _apr_memcache_stats
00007ffe0691e467 (__TEXT,__text) external _apr_memcache_version
                 (undefined) external _apr_mmap_create (from libapr-1)
                 (undefined) external _apr_mmap_delete (from libapr-1)
                 (undefined) external _apr_mmap_dup (from libapr-1)
                 (undefined) external _apr_mmap_offset (from libapr-1)
00007ffe0691c993 (__TEXT,__text) external _apr_optional_hook_add
00007ffe0691c959 (__TEXT,__text) external _apr_optional_hook_get
                 (undefined) external _apr_os_default_encoding (from libapr-1)
                 (undefined) external _apr_os_locale_encoding (from libapr-1)
                 (undefined) external _apr_os_thread_current (from libapr-1)
                 (undefined) external _apr_os_thread_equal (from libapr-1)
                 (undefined) external _apr_os_thread_get (from libapr-1)
                 (undefined) external _apr_os_uuid_get (from libapr-1)
                 (undefined) external _apr_palloc (from libapr-1)
00007ffe069162bc (__TEXT,__text) external _apr_password_validate
                 (undefined) external _apr_pollset_add (from libapr-1)
                 (undefined) external _apr_pollset_create (from libapr-1)
                 (undefined) external _apr_pollset_destroy (from libapr-1)
                 (undefined) external _apr_pollset_poll (from libapr-1)
                 (undefined) external _apr_pollset_remove (from libapr-1)
                 (undefined) external _apr_pool_abort_get (from libapr-1)
                 (undefined) external _apr_pool_allocator_get (from libapr-1)
                 (undefined) external _apr_pool_cleanup_kill (from libapr-1)
                 (undefined) external _apr_pool_cleanup_null (from libapr-1)
                 (undefined) external _apr_pool_cleanup_register (from libapr-1)
                 (undefined) external _apr_pool_cleanup_run (from libapr-1)
                 (undefined) external _apr_pool_clear (from libapr-1)
                 (undefined) external _apr_pool_create_ex (from libapr-1)
                 (undefined) external _apr_pool_destroy (from libapr-1)
                 (undefined) external _apr_pool_is_ancestor (from libapr-1)
                 (undefined) external _apr_pool_parent_get (from libapr-1)
                 (undefined) external _apr_pool_pre_cleanup_register (from libapr-1)
00007ffe0691ad39 (__TEXT,__text) external _apr_posix_perms2mode
                 (undefined) external _apr_proc_mutex_lock (from libapr-1)
                 (undefined) external _apr_proc_mutex_unlock (from libapr-1)
                 (undefined) external _apr_psprintf (from libapr-1)
                 (undefined) external _apr_pstrcat (from libapr-1)
                 (undefined) external _apr_pstrdup (from libapr-1)
                 (undefined) external _apr_pstrmemdup (from libapr-1)
                 (undefined) external _apr_pstrndup (from libapr-1)
00007ffe06920389 (__TEXT,__text) external _apr_queue_create
00007ffe0692078e (__TEXT,__text) external _apr_queue_interrupt_all
00007ffe0692060a (__TEXT,__text) external _apr_queue_pop
00007ffe06920480 (__TEXT,__text) external _apr_queue_push
00007ffe06920601 (__TEXT,__text) external _apr_queue_size
00007ffe069207cc (__TEXT,__text) external _apr_queue_term
00007ffe069206e8 (__TEXT,__text) external _apr_queue_trypop
00007ffe0692055c (__TEXT,__text) external _apr_queue_trypush
00007ffe06920bb2 (__TEXT,__text) external _apr_reslist_acquire
00007ffe06920e02 (__TEXT,__text) external _apr_reslist_acquired_count
00007ffe06920e71 (__TEXT,__text) external _apr_reslist_cleanup_order_set
00007ffe06920989 (__TEXT,__text) external _apr_reslist_create
00007ffe06920b9b (__TEXT,__text) external _apr_reslist_destroy
00007ffe06920e2e (__TEXT,__text) external _apr_reslist_invalidate
00007ffe0692080b (__TEXT,__text) external _apr_reslist_maintain
00007ffe06920d3e (__TEXT,__text) external _apr_reslist_release
00007ffe06920df8 (__TEXT,__text) external _apr_reslist_timeout_set
00007ffe0692166f (__TEXT,__text) external _apr_rmm_addr_get
00007ffe06921178 (__TEXT,__text) external _apr_rmm_attach
00007ffe069214d2 (__TEXT,__text) external _apr_rmm_calloc
00007ffe06921048 (__TEXT,__text) external _apr_rmm_destroy
00007ffe069211f0 (__TEXT,__text) external _apr_rmm_detach
00007ffe0692167c (__TEXT,__text) external _apr_rmm_free
00007ffe06920ec0 (__TEXT,__text) external _apr_rmm_init
00007ffe069211f8 (__TEXT,__text) external _apr_rmm_malloc
00007ffe06921662 (__TEXT,__text) external _apr_rmm_offset_get
00007ffe069217f4 (__TEXT,__text) external _apr_rmm_overhead_get
00007ffe069215c8 (__TEXT,__text) external _apr_rmm_realloc
00007ffe0691b1ce (__TEXT,__text) external _apr_sdbm_close
00007ffe0691b44f (__TEXT,__text) external _apr_sdbm_delete
00007ffe0691b220 (__TEXT,__text) external _apr_sdbm_fetch
00007ffe0691b8f7 (__TEXT,__text) external _apr_sdbm_firstkey
00007ffe0691bb64 (__TEXT,__text) external _apr_sdbm_lock
00007ffe0691b9ce (__TEXT,__text) external _apr_sdbm_nextkey
00007ffe0691b03e (__TEXT,__text) external _apr_sdbm_open
00007ffe0691b502 (__TEXT,__text) external _apr_sdbm_rdonly
00007ffe0691b558 (__TEXT,__text) external _apr_sdbm_store
00007ffe0691bc2f (__TEXT,__text) external _apr_sdbm_unlock
00007ffe069173d1 (__TEXT,__text) external _apr_sha1_base64
00007ffe069172dd (__TEXT,__text) external _apr_sha1_final
00007ffe06916490 (__TEXT,__text) external _apr_sha1_init
00007ffe069172d3 (__TEXT,__text) external _apr_sha1_update
00007ffe069164b1 (__TEXT,__text) external _apr_sha1_update_binary
                 (undefined) external _apr_sleep (from libapr-1)
                 (undefined) external _apr_snprintf (from libapr-1)
                 (undefined) external _apr_sockaddr_info_get (from libapr-1)
                 (undefined) external _apr_socket_close (from libapr-1)
                 (undefined) external _apr_socket_connect (from libapr-1)
                 (undefined) external _apr_socket_create (from libapr-1)
                 (undefined) external _apr_socket_recv (from libapr-1)
                 (undefined) external _apr_socket_sendv (from libapr-1)
                 (undefined) external _apr_socket_timeout_get (from libapr-1)
                 (undefined) external _apr_socket_timeout_set (from libapr-1)
00007ffe06922793 (__TEXT,__text) external _apr_strmatch_precompile
                 (undefined) external _apr_strtok (from libapr-1)
00007ffe06923c9b (__TEXT,__text) external _apr_text_append
                 (undefined) external _apr_thread_cond_broadcast (from libapr-1)
                 (undefined) external _apr_thread_cond_create (from libapr-1)
                 (undefined) external _apr_thread_cond_destroy (from libapr-1)
                 (undefined) external _apr_thread_cond_signal (from libapr-1)
                 (undefined) external _apr_thread_cond_timedwait (from libapr-1)
                 (undefined) external _apr_thread_cond_wait (from libapr-1)
                 (undefined) external _apr_thread_create (from libapr-1)
                 (undefined) external _apr_thread_data_get (from libapr-1)
                 (undefined) external _apr_thread_data_set (from libapr-1)
                 (undefined) external _apr_thread_detach (from libapr-1)
                 (undefined) external _apr_thread_exit (from libapr-1)
                 (undefined) external _apr_thread_join (from libapr-1)
                 (undefined) external _apr_thread_mutex_create (from libapr-1)
                 (undefined) external _apr_thread_mutex_destroy (from libapr-1)
                 (undefined) external _apr_thread_mutex_lock (from libapr-1)
                 (undefined) external _apr_thread_mutex_unlock (from libapr-1)
00007ffe069222f9 (__TEXT,__text) external _apr_thread_pool_busy_count
00007ffe06921805 (__TEXT,__text) external _apr_thread_pool_create
00007ffe06921e19 (__TEXT,__text) external _apr_thread_pool_destroy
00007ffe06922307 (__TEXT,__text) external _apr_thread_pool_idle_count
00007ffe06922339 (__TEXT,__text) external _apr_thread_pool_idle_max_get
00007ffe0692234d (__TEXT,__text) external _apr_thread_pool_idle_max_set
00007ffe06922343 (__TEXT,__text) external _apr_thread_pool_idle_wait_get
00007ffe06922427 (__TEXT,__text) external _apr_thread_pool_idle_wait_set
00007ffe06921e29 (__TEXT,__text) external _apr_thread_pool_push
00007ffe06922044 (__TEXT,__text) external _apr_thread_pool_schedule
00007ffe069222e5 (__TEXT,__text) external _apr_thread_pool_scheduled_tasks_count
00007ffe069224c2 (__TEXT,__text) external _apr_thread_pool_task_owner_get
00007ffe06922157 (__TEXT,__text) external _apr_thread_pool_tasks_cancel
00007ffe069222db (__TEXT,__text) external _apr_thread_pool_tasks_count
00007ffe0692231b (__TEXT,__text) external _apr_thread_pool_tasks_high_count
00007ffe06922311 (__TEXT,__text) external _apr_thread_pool_tasks_run_count
00007ffe06922435 (__TEXT,__text) external _apr_thread_pool_thread_max_get
00007ffe0692243f (__TEXT,__text) external _apr_thread_pool_thread_max_set
00007ffe069222ef (__TEXT,__text) external _apr_thread_pool_threads_count
00007ffe06922325 (__TEXT,__text) external _apr_thread_pool_threads_high_count
00007ffe0692232f (__TEXT,__text) external _apr_thread_pool_threads_idle_timeout_count
00007ffe069224aa (__TEXT,__text) external _apr_thread_pool_threshold_get
00007ffe069224b4 (__TEXT,__text) external _apr_thread_pool_threshold_set
00007ffe06922147 (__TEXT,__text) external _apr_thread_pool_top
                 (undefined) external _apr_thread_rwlock_rdlock (from libapr-1)
                 (undefined) external _apr_thread_rwlock_unlock (from libapr-1)
                 (undefined) external _apr_thread_rwlock_wrlock (from libapr-1)
                 (undefined) external _apr_time_exp_get (from libapr-1)
                 (undefined) external _apr_time_exp_gmt_get (from libapr-1)
                 (undefined) external _apr_time_now (from libapr-1)
00007ffe06922c95 (__TEXT,__text) external _apr_uri_parse
00007ffe069230a3 (__TEXT,__text) external _apr_uri_parse_hostinfo
00007ffe069229e2 (__TEXT,__text) external _apr_uri_port_of_scheme
00007ffe06922a2c (__TEXT,__text) external _apr_uri_unparse
00007ffe06919b8b (__TEXT,__text) external _apr_uuid_format
00007ffe06919a40 (__TEXT,__text) external _apr_uuid_get
00007ffe06919c33 (__TEXT,__text) external _apr_uuid_parse
                 (undefined) external _apr_vformatter (from libapr-1)
00007ffe06923521 (__TEXT,__text) external _apr_xlate_close
00007ffe06923450 (__TEXT,__text) external _apr_xlate_conv_buffer
00007ffe06923504 (__TEXT,__text) external _apr_xlate_conv_byte
00007ffe0692319c (__TEXT,__text) external _apr_xlate_open
00007ffe0692343c (__TEXT,__text) external _apr_xlate_sb_get
00007ffe069244ed (__TEXT,__text) external _apr_xml_empty_elem
00007ffe06923626 (__TEXT,__text) external _apr_xml_insert_uri
00007ffe06923bfb (__TEXT,__text) external _apr_xml_parse_file
00007ffe06923538 (__TEXT,__text) external _apr_xml_parser_create
00007ffe06923afd (__TEXT,__text) external _apr_xml_parser_done
00007ffe06923a9e (__TEXT,__text) external _apr_xml_parser_feed
00007ffe06923b57 (__TEXT,__text) external _apr_xml_parser_geterror
00007ffe06923dbf (__TEXT,__text) external _apr_xml_quote_elem
00007ffe06923cdd (__TEXT,__text) external _apr_xml_quote_string
00007ffe06923e56 (__TEXT,__text) external _apr_xml_to_text
00007ffe0691c00e (__TEXT,__text) external _apu__sdbm_chkpage
00007ffe0691be3d (__TEXT,__text) external _apu__sdbm_delpair
00007ffe0691bdc2 (__TEXT,__text) external _apu__sdbm_duppair
00007ffe0691bc68 (__TEXT,__text) external _apu__sdbm_fitpair
00007ffe0691bde5 (__TEXT,__text) external _apu__sdbm_getnkey
00007ffe0691bd04 (__TEXT,__text) external _apu__sdbm_getpair
00007ffe0691ba84 (__TEXT,__text) external _apu__sdbm_hash
00007ffe06928b70 (__TEXT,__const) external _apu__sdbm_nullitem
00007ffe0691bc93 (__TEXT,__text) external _apu__sdbm_putpair
00007ffe0691bee5 (__TEXT,__text) external _apu__sdbm_splpage
00007ffe06922776 (__TEXT,__text) external _apu_version
00007ffe06922786 (__TEXT,__text) external _apu_version_string
                 (undefined) external _atof (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _atol (from libSystem)
                 (undefined) external _crypt (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fputs (from libSystem)
