00000001a512cd78 (__TEXT,__text) non-external +[AMFI isAvailable]
00000001a512f294 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.3
00000001a512f2c8 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.4
00000001a51278e0 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:]
00000001a512f530 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:].cold.1
00000001a512f5b4 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:].cold.2
00000001a51277c8 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:]
00000001a512f450 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:].cold.1
00000001a512f4d4 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:].cold.2
00000001a512bfe0 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:]
00000001a512fb08 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.1
00000001a512fb70 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.2
00000001a5122828 (__TEXT,__text) non-external +[SPExecutionHistoryItem executionHistoryItemWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00000001a5122968 (__TEXT,__text) non-external +[SPExecutionHistoryItem supportsSecureCoding]
00000001a5120fcc (__TEXT,__text) non-external +[SPExecutionPolicyItem supportsSecureCoding]
00000001a511c578 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:]
00000001a512d764 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:].cold.1
00000001a512d838 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:].cold.2
00000001a511c2cc (__TEXT,__text) non-external +[SPFilePolicy getAllowedPaths]
00000001a5126cd0 (__TEXT,__text) non-external +[SPKernelExtensionHistoryItem supportsSecureCoding]
00000001a5122ff8 (__TEXT,__text) non-external +[SPKernelExtensionPolicy findBundledKernelExtensions:]
00000001a511ac18 (__TEXT,__text) non-external +[SPKernelExtensionPolicyItem supportsSecureCoding]
00000001a51222b0 (__TEXT,__text) non-external +[SPLog exec]
00000001a51225f8 (__TEXT,__text) non-external +[SPLog generateSignpostID]
00000001a5122178 (__TEXT,__text) non-external +[SPLog generic]
00000001a5122214 (__TEXT,__text) non-external +[SPLog kext]
00000001a512234c (__TEXT,__text) non-external +[SPLog measurements]
00000001a51225ec (__TEXT,__text) non-external +[SPLog setVerboseLogging:]
00000001a51223e8 (__TEXT,__text) non-external +[SPLog signposts]
00000001a5122484 (__TEXT,__text) non-external +[SPLog verboseLoggingEnabled]
00000001a5129990 (__TEXT,__text) non-external +[SPMigration createGatekeeperMigrationData:]
00000001a51293c4 (__TEXT,__text) non-external +[SPMigration createKernelExtensionMigrationData:]
00000001a51288e0 (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:]
00000001a512f74c (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:].cold.1
00000001a5128734 (__TEXT,__text) non-external +[SPMigration gatekeeperMigrationDataPath:]
00000001a5128720 (__TEXT,__text) non-external +[SPMigration kernelExtensionMigrationDataPath:]
00000001a5128cd4 (__TEXT,__text) non-external +[SPMigration readKernelExtensionMigrationPolicy:]
00000001a5128898 (__TEXT,__text) non-external +[SPMigration volumeRequiresGatekeeperMigration:]
00000001a5128748 (__TEXT,__text) non-external +[SPMigration volumeRequiresKernelExtensionMigration:]
00000001a512b7ec (__TEXT,__text) non-external +[SPProvenanceMetadata supportsSecureCoding]
00000001a511be20 (__TEXT,__text) non-external -[AKELData .cxx_destruct]
00000001a511bd48 (__TEXT,__text) non-external -[AKELData findLegacyKextBundleID:]
00000001a511bbec (__TEXT,__text) non-external -[AKELData initWithURL:]
00000001a511ba78 (__TEXT,__text) non-external -[AKELData init]
00000001a511bde4 (__TEXT,__text) non-external -[AKELData isKextAllowedWithoutSecureTimestamp:]
00000001a511bd0c (__TEXT,__text) non-external -[AKELData isLegacyKextAllowed:]
00000001a511b854 (__TEXT,__text) non-external -[AKELData loadFromBundleData:]
00000001a511bd04 (__TEXT,__text) non-external -[AKELData reloadIfNecessary]
00000001a512d008 (__TEXT,__text) non-external -[AppWrapperPolicyResult description]
00000001a512cf5c (__TEXT,__text) non-external -[AppWrapperPolicyResult initWithValid:withSignerCategory:withModified:]
00000001a512d01c (__TEXT,__text) non-external -[AppWrapperPolicyResult isModified]
00000001a512d00c (__TEXT,__text) non-external -[AppWrapperPolicyResult isValid]
00000001a512cfc0 (__TEXT,__text) non-external -[AppWrapperPolicyResult redactedDescription]
00000001a512d014 (__TEXT,__text) non-external -[AppWrapperPolicyResult signerCategory]
00000001a5120be8 (__TEXT,__text) non-external -[BundleData .cxx_destruct]
00000001a5120380 (__TEXT,__text) non-external -[BundleData dealloc]
00000001a512e978 (__TEXT,__text) non-external -[BundleData dealloc].cold.1
00000001a5120854 (__TEXT,__text) non-external -[BundleData doReload]
00000001a5120bbc (__TEXT,__text) non-external -[BundleData forceReload]
00000001a512041c (__TEXT,__text) non-external -[BundleData initWithURL:withReloadBlock:watchForUpdates:]
00000001a5120364 (__TEXT,__text) non-external -[BundleData init]
00000001a5120bc8 (__TEXT,__text) non-external -[BundleData isSigned]
00000001a51208b0 (__TEXT,__text) non-external -[BundleData loadInternalData:]
00000001a5120b50 (__TEXT,__text) non-external -[BundleData reloadIfNecessary]
00000001a5120574 (__TEXT,__text) non-external -[BundleData setupFSStream]
00000001a512e9e8 (__TEXT,__text) non-external -[BundleData setupFSStream].cold.1
00000001a512ea58 (__TEXT,__text) non-external -[BundleData setupFSStream].cold.2
00000001a5120be0 (__TEXT,__text) non-external -[BundleData timestamp]
00000001a5120bc0 (__TEXT,__text) non-external -[BundleData url]
00000001a5120bd8 (__TEXT,__text) non-external -[BundleData versionNumber]
00000001a5120bd0 (__TEXT,__text) non-external -[BundleData version]
00000001a5121610 (__TEXT,__text) non-external -[GKScanResult .cxx_destruct]
00000001a51215ec (__TEXT,__text) non-external -[GKScanResult allowed]
00000001a5121560 (__TEXT,__text) non-external -[GKScanResult encodeWithCoder:]
00000001a51215fc (__TEXT,__text) non-external -[GKScanResult gkError]
00000001a51214b0 (__TEXT,__text) non-external -[GKScanResult initWithCoder:]
00000001a51215f4 (__TEXT,__text) non-external -[GKScanResult setAllowed:]
00000001a5121604 (__TEXT,__text) non-external -[GKScanResult setGkError:]
00000001a512c190 (__TEXT,__text) non-external -[NSData(Strings) hexString]
00000001a511c988 (__TEXT,__text) non-external -[PolicyCacheMeta .cxx_destruct]
00000001a511c950 (__TEXT,__text) non-external -[PolicyCacheMeta forEntry]
00000001a511c93c (__TEXT,__text) non-external -[PolicyCacheMeta lastMiss]
00000001a511c914 (__TEXT,__text) non-external -[PolicyCacheMeta metaId]
00000001a511c928 (__TEXT,__text) non-external -[PolicyCacheMeta missCount]
00000001a511c974 (__TEXT,__text) non-external -[PolicyCacheMeta resolvedEntry]
00000001a511c958 (__TEXT,__text) non-external -[PolicyCacheMeta setForEntry:]
00000001a511c944 (__TEXT,__text) non-external -[PolicyCacheMeta setLastMiss:]
00000001a511c91c (__TEXT,__text) non-external -[PolicyCacheMeta setMetaId:]
00000001a511c930 (__TEXT,__text) non-external -[PolicyCacheMeta setMissCount:]
00000001a511c97c (__TEXT,__text) non-external -[PolicyCacheMeta setResolvedEntry:]
00000001a511c96c (__TEXT,__text) non-external -[PolicyCacheMeta setSourceTable:]
00000001a511c964 (__TEXT,__text) non-external -[PolicyCacheMeta sourceTable]
00000001a512b69c (__TEXT,__text) non-external -[PolicyScanTarget .cxx_destruct]
00000001a512b60c (__TEXT,__text) non-external -[PolicyScanTarget blockDevice]
00000001a512acb4 (__TEXT,__text) non-external -[PolicyScanTarget bundleID]
00000001a512ad70 (__TEXT,__text) non-external -[PolicyScanTarget bundleVersion]
00000001a512b0f4 (__TEXT,__text) non-external -[PolicyScanTarget cdhashData]
00000001a512b190 (__TEXT,__text) non-external -[PolicyScanTarget cdhashDigestAlgorithm]
00000001a512b030 (__TEXT,__text) non-external -[PolicyScanTarget cdhash]
00000001a512b634 (__TEXT,__text) non-external -[PolicyScanTarget checkValidity]
00000001a512a52c (__TEXT,__text) non-external -[PolicyScanTarget dealloc]
00000001a512b504 (__TEXT,__text) non-external -[PolicyScanTarget description]
00000001a512afa4 (__TEXT,__text) non-external -[PolicyScanTarget entitlements]
00000001a512b61c (__TEXT,__text) non-external -[PolicyScanTarget fsTypeName]
00000001a512ae88 (__TEXT,__text) non-external -[PolicyScanTarget infoPlist]
00000001a512a590 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:]
00000001a512f808 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.1
00000001a512f898 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.2
00000001a512f910 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.3
00000001a512f954 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.4
00000001a512f998 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.5
00000001a512fa10 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.6
00000001a512a510 (__TEXT,__text) non-external -[PolicyScanTarget init]
00000001a512b644 (__TEXT,__text) non-external -[PolicyScanTarget isAppWrapper]
00000001a512b674 (__TEXT,__text) non-external -[PolicyScanTarget isBundled]
00000001a512b3f0 (__TEXT,__text) non-external -[PolicyScanTarget isNotarized]
00000001a512fa94 (__TEXT,__text) non-external -[PolicyScanTarget isNotarized].cold.1
00000001a512b65c (__TEXT,__text) non-external -[PolicyScanTarget isQuarantinedMount]
00000001a512b368 (__TEXT,__text) non-external -[PolicyScanTarget isQuarantined]
00000001a512b664 (__TEXT,__text) non-external -[PolicyScanTarget isScript]
00000001a512b3ac (__TEXT,__text) non-external -[PolicyScanTarget isUserApproved]
00000001a512ac18 (__TEXT,__text) non-external -[PolicyScanTarget mainExecutableURL]
00000001a512b62c (__TEXT,__text) non-external -[PolicyScanTarget modTime]
00000001a512b694 (__TEXT,__text) non-external -[PolicyScanTarget mountTime]
00000001a512b614 (__TEXT,__text) non-external -[PolicyScanTarget objectID]
00000001a512b5f4 (__TEXT,__text) non-external -[PolicyScanTarget originalURL]
00000001a512b604 (__TEXT,__text) non-external -[PolicyScanTarget pathOnVolume]
00000001a512b684 (__TEXT,__text) non-external -[PolicyScanTarget pid]
00000001a512b4b4 (__TEXT,__text) non-external -[PolicyScanTarget redactedDescription]
00000001a512b59c (__TEXT,__text) non-external -[PolicyScanTarget reloadSigningInfo]
00000001a512b63c (__TEXT,__text) non-external -[PolicyScanTarget setCheckValidity:]
00000001a512b67c (__TEXT,__text) non-external -[PolicyScanTarget setIsBundled:]
00000001a512b66c (__TEXT,__text) non-external -[PolicyScanTarget setIsScript:]
00000001a512b68c (__TEXT,__text) non-external -[PolicyScanTarget setPid:]
00000001a512b654 (__TEXT,__text) non-external -[PolicyScanTarget setTriggeredByLibraryLoad:]
00000001a512b2cc (__TEXT,__text) non-external -[PolicyScanTarget signingID]
00000001a512af68 (__TEXT,__text) non-external -[PolicyScanTarget signingInfo]
00000001a512aec0 (__TEXT,__text) non-external -[PolicyScanTarget staticCodeRef]
00000001a512b230 (__TEXT,__text) non-external -[PolicyScanTarget teamID]
00000001a512b64c (__TEXT,__text) non-external -[PolicyScanTarget triggeredByLibraryLoad]
00000001a512b5ec (__TEXT,__text) non-external -[PolicyScanTarget url]
00000001a512b624 (__TEXT,__text) non-external -[PolicyScanTarget volumePath]
00000001a512b5fc (__TEXT,__text) non-external -[PolicyScanTarget volumeUUID]
00000001a512d5e0 (__TEXT,__text) non-external -[SPDeveloperPolicy .cxx_destruct]
00000001a512d56c (__TEXT,__text) non-external -[SPDeveloperPolicy createLocalDevelopmentCertificateForUser:error:]
00000001a512d434 (__TEXT,__text) non-external -[SPDeveloperPolicy dealloc]
00000001a512d380 (__TEXT,__text) non-external -[SPDeveloperPolicy init]
00000001a512d480 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperModeEnabled]
00000001a512d554 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperToolEnvironmentWithError:]
00000001a512d5d0 (__TEXT,__text) non-external -[SPDeveloperPolicy registerDevelopmentTeamWithIdentifier:error:]
00000001a512d5c8 (__TEXT,__text) non-external -[SPDeveloperPolicy removeLocalDevelopmentCertificateForUser:error:]
00000001a512d49c (__TEXT,__text) non-external -[SPDeveloperPolicy setDeveloperModeEnabled:error:]
00000001a512d5d8 (__TEXT,__text) non-external -[SPDeveloperPolicy unregisterDevelopmentTeamWithIdentifier:error:]
00000001a5122d8c (__TEXT,__text) non-external -[SPExecutionHistoryItem .cxx_destruct]
00000001a5122d6c (__TEXT,__text) non-external -[SPExecutionHistoryItem cdHash]
00000001a5122d7c (__TEXT,__text) non-external -[SPExecutionHistoryItem developerName]
00000001a5122b84 (__TEXT,__text) non-external -[SPExecutionHistoryItem encodeWithCoder:]
00000001a5122d4c (__TEXT,__text) non-external -[SPExecutionHistoryItem execPath]
00000001a5122970 (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithCoder:]
00000001a512265c (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00000001a5122640 (__TEXT,__text) non-external -[SPExecutionHistoryItem init]
00000001a5122d84 (__TEXT,__text) non-external -[SPExecutionHistoryItem lastSeen]
00000001a5122d54 (__TEXT,__text) non-external -[SPExecutionHistoryItem mmapPath]
00000001a5122d74 (__TEXT,__text) non-external -[SPExecutionHistoryItem responsiblePath]
00000001a5122d5c (__TEXT,__text) non-external -[SPExecutionHistoryItem signingID]
00000001a5122d64 (__TEXT,__text) non-external -[SPExecutionHistoryItem teamID]
00000001a5125200 (__TEXT,__text) non-external -[SPExecutionPolicy .cxx_destruct]
00000001a5124c8c (__TEXT,__text) non-external -[SPExecutionPolicy addBlockedSoftwareOverride:error:]
00000001a5124b9c (__TEXT,__text) non-external -[SPExecutionPolicy addGatekeeperUserIntent:error:]
00000001a5124b30 (__TEXT,__text) non-external -[SPExecutionPolicy blockedExecutionPolicyItems]
00000001a5124918 (__TEXT,__text) non-external -[SPExecutionPolicy connection]
00000001a512466c (__TEXT,__text) non-external -[SPExecutionPolicy dealloc]
00000001a512481c (__TEXT,__text) non-external -[SPExecutionPolicy doGatekeeperProgressUpdate:withTotal:]
00000001a5124e78 (__TEXT,__text) non-external -[SPExecutionPolicy getBlockedSoftwareOverride:error:]
00000001a5125130 (__TEXT,__text) non-external -[SPExecutionPolicy getStrictGatekeeperEnabledForDomain:error:]
00000001a51245ec (__TEXT,__text) non-external -[SPExecutionPolicy init]
00000001a5124f68 (__TEXT,__text) non-external -[SPExecutionPolicy isBlockedSoftware:error:]
00000001a5124b24 (__TEXT,__text) non-external -[SPExecutionPolicy legacyExecutionHistory]
00000001a51246c0 (__TEXT,__text) non-external -[SPExecutionPolicy myProgressHandler]
00000001a51246b8 (__TEXT,__text) non-external -[SPExecutionPolicy progressBlock]
00000001a5124d7c (__TEXT,__text) non-external -[SPExecutionPolicy setBlockedSoftwareOverride:isEnabled:error:]
00000001a51246ec (__TEXT,__text) non-external -[SPExecutionPolicy setProgressHandler:]
00000001a5125058 (__TEXT,__text) non-external -[SPExecutionPolicy setStrictGatekeeperEnabled:forDomain:error:]
00000001a5121dcc (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) notifyInstalledContent:withInstallationType:error:]
00000001a512161c (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:]
00000001a512eb58 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.1
00000001a512eb9c (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.2
00000001a512ec28 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.3
00000001a512ec94 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.4
00000001a512ed20 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.5
00000001a512ed64 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.6
00000001a512edf8 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.7
00000001a5121ec0 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperScan:withScanOptions:withProgressHandler:error:]
00000001a5121440 (__TEXT,__text) non-external -[SPExecutionPolicyItem .cxx_destruct]
00000001a5121438 (__TEXT,__text) non-external -[SPExecutionPolicyItem blockedReasonDescription]
00000001a5121418 (__TEXT,__text) non-external -[SPExecutionPolicyItem cdHash]
00000001a5121204 (__TEXT,__text) non-external -[SPExecutionPolicyItem encodeWithCoder:]
00000001a5120fd4 (__TEXT,__text) non-external -[SPExecutionPolicyItem initWithCoder:]
00000001a5120e74 (__TEXT,__text) non-external -[SPExecutionPolicyItem initWithItemPath:signingID:teamID:cdHash:needsApproval:needsOverride:knownMalware:blockedReasonDescription:]
00000001a5120e58 (__TEXT,__text) non-external -[SPExecutionPolicyItem init]
00000001a5121400 (__TEXT,__text) non-external -[SPExecutionPolicyItem itemPath]
00000001a5121430 (__TEXT,__text) non-external -[SPExecutionPolicyItem knownMalware]
00000001a5121420 (__TEXT,__text) non-external -[SPExecutionPolicyItem needsApproval]
00000001a5121428 (__TEXT,__text) non-external -[SPExecutionPolicyItem needsOverride]
00000001a5121408 (__TEXT,__text) non-external -[SPExecutionPolicyItem signingID]
00000001a5121410 (__TEXT,__text) non-external -[SPExecutionPolicyItem teamID]
00000001a512a4cc (__TEXT,__text) non-external -[SPInstallationPolicy .cxx_destruct]
00000001a512a1cc (__TEXT,__text) non-external -[SPInstallationPolicy canInstallPackage:withUserConsent:withHash:evaluateOnly:synchronousPrompt:error:]
00000001a512a180 (__TEXT,__text) non-external -[SPInstallationPolicy dealloc]
00000001a512a0b0 (__TEXT,__text) non-external -[SPInstallationPolicy init]
00000001a512a32c (__TEXT,__text) non-external -[SPInstallationPolicy trustPackagePayload:withDestinationTarget:withHashMap:withUserConsent:error:]
00000001a512a318 (__TEXT,__text) non-external -[SPInstallationPolicy trustPackagePayload:withDestinationTarget:withUserConsent:error:]
00000001a5122fb4 (__TEXT,__text) non-external -[SPKernelExtensionHistory .cxx_destruct]
00000001a5122f4c (__TEXT,__text) non-external -[SPKernelExtensionHistory dealloc]
00000001a5122e18 (__TEXT,__text) non-external -[SPKernelExtensionHistory init]
00000001a5122f98 (__TEXT,__text) non-external -[SPKernelExtensionHistory kernelExtensionHistory]
00000001a5127090 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem .cxx_destruct]
00000001a5127050 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem bundleID]
00000001a5127060 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem cdHash]
00000001a5126ea0 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem encodeWithCoder:]
00000001a5126cd8 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem initWithCoder:]
00000001a5126b58 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem initWithPath:teamID:bundleID:cdHash:isNotarized:isDeprecated:isUnsupported:isCodeless:lastUsed:]
00000001a5126b3c (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem init]
00000001a5127080 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isCodeless]
00000001a5127070 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isDeprecated]
00000001a5127068 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isNotarized]
00000001a5127078 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isUnsupported]
00000001a5127088 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem lastUsed]
00000001a5127048 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem path]
00000001a5127058 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem teamID]
00000001a5124134 (__TEXT,__text) non-external -[SPKernelExtensionPolicy .cxx_destruct]
00000001a5123ab8 (__TEXT,__text) non-external -[SPKernelExtensionPolicy areKernelExtensionsApproved:withError:]
00000001a51234c8 (__TEXT,__text) non-external -[SPKernelExtensionPolicy canLoadKernelExtension:error:]
00000001a51235a0 (__TEXT,__text) non-external -[SPKernelExtensionPolicy canLoadKernelExtensionInCache:error:]
00000001a5123478 (__TEXT,__text) non-external -[SPKernelExtensionPolicy clearConnection]
00000001a5123470 (__TEXT,__text) non-external -[SPKernelExtensionPolicy connection]
00000001a5123a80 (__TEXT,__text) non-external -[SPKernelExtensionPolicy currentPolicy]
00000001a512412c (__TEXT,__text) non-external -[SPKernelExtensionPolicy currentUAKL]
00000001a5123424 (__TEXT,__text) non-external -[SPKernelExtensionPolicy dealloc]
00000001a5123f24 (__TEXT,__text) non-external -[SPKernelExtensionPolicy getCurrentUAKLHash:withError:]
00000001a51230f0 (__TEXT,__text) non-external -[SPKernelExtensionPolicy init]
00000001a5123750 (__TEXT,__text) non-external -[SPKernelExtensionPolicy isKernelExtensionApprovedByUser:withBundleID:error:]
00000001a5123d58 (__TEXT,__text) non-external -[SPKernelExtensionPolicy notifyLoadedKernelExtension:withPath:]
00000001a5123e4c (__TEXT,__text) non-external -[SPKernelExtensionPolicy notifyUnsupportedKernelExtension:error:]
00000001a5123a9c (__TEXT,__text) non-external -[SPKernelExtensionPolicy pendingApprovals]
00000001a5123ba4 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requestKernelExtensionApprovals:withError:]
00000001a5124110 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresAdministratorToApproveUpdates]
00000001a51240f4 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresAuthenticationOnUpdates]
00000001a51240d8 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresRebootForInstallation]
00000001a51240bc (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresSecurityDowngrade]
00000001a5123678 (__TEXT,__text) non-external -[SPKernelExtensionPolicy teamIdentifierIsAllowed:error:]
00000001a5123c7c (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerKernelCollectionRebuildFlow:withKernelExtensions:withError:]
00000001a51240a4 (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerPanicMedicWithError:]
00000001a512408c (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerRecoveryJumpToSecurityStartupUtilityWithError:]
00000001a5123fb4 (__TEXT,__text) non-external -[SPKernelExtensionPolicy updateLastUsedTimes:withError:]
00000001a51239a4 (__TEXT,__text) non-external -[SPKernelExtensionPolicy updatePolicyItems:error:]
00000001a5123898 (__TEXT,__text) non-external -[SPKernelExtensionPolicy updatePolicyItems:withExternalContext:error:]
00000001a5126a4c (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) enableKernelExtensionManagementForMDM:error:]
00000001a51265e0 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) installMDMPayload:withTeams:withExtensions:withContext:error:]
00000001a5126804 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) removeMDMPayload:withContext:error:]
00000001a5126510 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) setApprovalRequiresAdministrator:error:]
00000001a5126440 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) setUserApprovalAllowed:error:]
00000001a5126928 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) triggerKernelCollectionRebuildForMDM:withContext:error:]
00000001a511afd4 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem .cxx_destruct]
00000001a511af8c (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem applicationName]
00000001a511af94 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem applicationPath]
00000001a511afac (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem bundleIDs]
00000001a511af88 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem description]
00000001a511af9c (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem developerName]
00000001a511ae3c (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem encodeWithCoder:]
00000001a511a9b0 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithApplication:path:developerName:teamID:bundleIDs:allowed:rebootRequired:isPendingUpgrade:]
00000001a511ac34 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithCoder:]
00000001a511ab08 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithDeveloper:teamID:bundleIDs:allowed:rebootRequired:isPendingUpgrade:]
00000001a511a994 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem init]
00000001a511afb4 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isAllowed]
00000001a511ac20 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isModified]
00000001a511afcc (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isPendingUpgrade]
