000000018e911070 (__TEXT,__text) non-external _Annihilate
000000018e947388 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl15
000000018e947bc8 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl16
000000018e9484dc (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl17
000000018e9439c8 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl8
000000018e944208 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl9
000000018e921068 (__TEXT,__text) non-external (was a private external) _BrotliConvertBitDepthsToSymbols
000000018e935b40 (__TEXT,__text) non-external (was a private external) _BrotliCreateBackwardReferences
000000018e92a06c (__TEXT,__text) non-external (was a private external) _BrotliCreateHqZopfliBackwardReferences
000000018e920628 (__TEXT,__text) non-external (was a private external) _BrotliCreateHuffmanTree
000000018e929f0c (__TEXT,__text) non-external (was a private external) _BrotliCreateZopfliBackwardReferences
000000018e916b1c (__TEXT,__text) non-external (was a private external) _BrotliDecoderCreateInstance
000000018e916c3c (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompress
000000018e916d5c (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompressStream
000000018e916bdc (__TEXT,__text) non-external (was a private external) _BrotliDecoderDestroyInstance
000000018e91abb0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderErrorString
000000018e91aba8 (__TEXT,__text) non-external (was a private external) _BrotliDecoderGetErrorCode
000000018e91aa58 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHasMoreOutput
000000018e91cd00 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHuffmanTreeGroupInit
000000018e91ab5c (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsFinished
000000018e91ab3c (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsUsed
000000018e916ac8 (__TEXT,__text) non-external (was a private external) _BrotliDecoderSetParameter
000000018e91ccbc (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanup
000000018e91cc3c (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanupAfterMetablock
000000018e91cb0c (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateInit
000000018e91cbf0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateMetablockBegin
000000018e91aa90 (__TEXT,__text) non-external (was a private external) _BrotliDecoderTakeOutput
000000018e909b80 (__TEXT,__text) non-external (was a private external) _BrotliDecoderVersion
000000018e916854 (__TEXT,__text) non-external (was a private external) _BrotliDefaultAllocFunc
000000018e91685c (__TEXT,__text) non-external (was a private external) _BrotliDefaultFreeFunc
000000018e9125b4 (__TEXT,__text) non-external (was a private external) _BrotliDestroyBlockSplit
000000018e9059a0 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompress
000000018e9071b8 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompressStream
000000018e905788 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCreateInstance
000000018e90589c (__TEXT,__text) non-external (was a private external) _BrotliEncoderDestroyInstance
000000018e909b0c (__TEXT,__text) non-external (was a private external) _BrotliEncoderHasMoreOutput
000000018e907f38 (__TEXT,__text) non-external (was a private external) _BrotliEncoderIsFinished
000000018e90597c (__TEXT,__text) non-external (was a private external) _BrotliEncoderMaxCompressedSize
000000018e905694 (__TEXT,__text) non-external (was a private external) _BrotliEncoderSetParameter
000000018e909b1c (__TEXT,__text) non-external (was a private external) _BrotliEncoderTakeOutput
000000018e909b80 (__TEXT,__text) non-external (was a private external) _BrotliEncoderVersion
000000018e9194d4 (__TEXT,__text) non-external _BrotliEnsureRingBuffer
000000018e91f7f4 (__TEXT,__text) non-external (was a private external) _BrotliEstimateBitCostsForLiterals
000000018e9414e8 (__TEXT,__text) non-external (was a private external) _BrotliFindAllStaticDictionaryMatches
000000018e955d70 (__TEXT,__text) non-external _BrotliFindAllStaticDictionaryMatches.cold.1
000000018e955d70 (__TEXT,__text) non-external _BrotliFindAllStaticDictionaryMatches.cold.2
000000018e910f30 (__TEXT,__text) non-external (was a private external) _BrotliFree
000000018e911524 (__TEXT,__text) non-external (was a private external) _BrotliGetDictionary
000000018e92cd1c (__TEXT,__text) non-external (was a private external) _BrotliGetTransforms
000000018e926ba0 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceCommand
000000018e92779c (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceDistance
000000018e925fa4 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceLiteral
000000018e9268c4 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineCommand
000000018e9274c0 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineDistance
000000018e925cc8 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineLiteral
000000018e926db0 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexCommand
000000018e9279ac (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexDistance
000000018e9261b4 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexLiteral
000000018e926c38 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapCommand
000000018e927834 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapDistance
000000018e92603c (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapLiteral
000000018e91692c (__TEXT,__text) non-external (was a private external) _BrotliInitBitReader
000000018e9125a4 (__TEXT,__text) non-external (was a private external) _BrotliInitBlockSplit
000000018e94c218 (__TEXT,__text) non-external (was a private external) _BrotliInitDistanceParams
000000018e92cca8 (__TEXT,__text) non-external (was a private external) _BrotliInitEncoderDictionary
000000018e910db8 (__TEXT,__text) non-external (was a private external) _BrotliInitMemoryManager
000000018e92865c (__TEXT,__text) non-external (was a private external) _BrotliInitZopfliNodes
000000018e9430b8 (__TEXT,__text) non-external (was a private external) _BrotliIsMostlyUTF8
000000018e94d214 (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHistograms
000000018e9208dc (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHuffmanCountsForRle
000000018e932384 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostCommand
000000018e932774 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostDistance
000000018e931fac (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostLiteral
000000018e9767a8 (__TEXT,__const) non-external _BrotliReverseBits.kLut
000000018e91698c (__TEXT,__text) non-external (was a private external) _BrotliSafeReadBits32Slow
000000018e920568 (__TEXT,__text) non-external (was a private external) _BrotliSetDepth
000000018e911530 (__TEXT,__text) non-external (was a private external) _BrotliSetDictionaryData
000000018e9125f4 (__TEXT,__text) non-external (was a private external) _BrotliSplitBlock
000000018e92dfb4 (__TEXT,__text) non-external (was a private external) _BrotliStoreHuffmanTree
000000018e9aab38 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeBitLengths
000000018e9aab32 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeSymbols
000000018e9aab20 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kStorageOrder
000000018e92e978 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlock
000000018e930d50 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockFast
000000018e910798 (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
000000018e910798 (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
000000018e9303dc (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockTrivial
000000018e931114 (__TEXT,__text) non-external (was a private external) _BrotliStoreUncompressedMetaBlock
000000018e92cd28 (__TEXT,__text) non-external (was a private external) _BrotliTransformDictionaryWord
000000018e91693c (__TEXT,__text) non-external (was a private external) _BrotliWarmupBitReader
000000018e910f8c (__TEXT,__text) non-external (was a private external) _BrotliWipeOutMemoryManager
000000018e920c64 (__TEXT,__text) non-external (was a private external) _BrotliWriteHuffmanTree
000000018e928990 (__TEXT,__text) non-external (was a private external) _BrotliZopfliComputeShortestPath
000000018e92868c (__TEXT,__text) non-external (was a private external) _BrotliZopfliCreateCommands
000000018e92f438 (__TEXT,__text) non-external _BuildAndStoreBlockSwitchEntropyCodes
000000018e910c04 (__TEXT,__text) non-external _BuildAndStoreCommandPrefixCode
000000018e92ffd8 (__TEXT,__text) non-external _BuildAndStoreEntropyCodesDistance
000000018e9306e0 (__TEXT,__text) non-external _BuildAndStoreHuffmanTree
000000018e910840 (__TEXT,__text) non-external _BuildAndStoreLiteralPrefixCode
000000018e93063c (__TEXT,__text) non-external _BuildHistograms
000000018e9565b0 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapContinuation
000000018e9566b0 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapSimpleUTF8
000000018e909b8c (__TEXT,__text) non-external _ChooseDistanceParams
000000018e910e64 (__TEXT,__text) non-external _CollectGarbagePointers
000000018e94ca38 (__TEXT,__text) non-external _ComputeDistanceCost
000000018e929e94 (__TEXT,__text) non-external _ComputeShortestPathFromNodes
000000018e94debc (__TEXT,__text) non-external _ContextBlockSplitterFinishBlock
000000018e918f04 (__TEXT,__text) non-external _CopyUncompressedBlockToOutput
000000018e935cec (__TEXT,__text) non-external _CreateBackwardReferencesNH2
000000018e93697c (__TEXT,__text) non-external _CreateBackwardReferencesNH3
000000018e93e49c (__TEXT,__text) non-external _CreateBackwardReferencesNH35
000000018e937420 (__TEXT,__text) non-external _CreateBackwardReferencesNH4
000000018e93a584 (__TEXT,__text) non-external _CreateBackwardReferencesNH40
000000018e93b6cc (__TEXT,__text) non-external _CreateBackwardReferencesNH41
000000018e93c810 (__TEXT,__text) non-external _CreateBackwardReferencesNH42
000000018e938264 (__TEXT,__text) non-external _CreateBackwardReferencesNH5
000000018e93d9e4 (__TEXT,__text) non-external _CreateBackwardReferencesNH54
000000018e93f220 (__TEXT,__text) non-external _CreateBackwardReferencesNH55
000000018e9393a8 (__TEXT,__text) non-external _CreateBackwardReferencesNH6
000000018e940034 (__TEXT,__text) non-external _CreateBackwardReferencesNH65
000000018e90ac58 (__TEXT,__text) non-external _DecideOverLiteralContextModeling
000000018e9564a0 (__TEXT,__const) non-external _DecideOverLiteralContextModeling.lut
000000018e91b0e4 (__TEXT,__text) non-external _DecodeCommandBlockSwitch
000000018e9190b0 (__TEXT,__text) non-external _DecodeContextMap
000000018e91bb10 (__TEXT,__text) non-external _DecodeDistanceBlockSwitch
000000018e91b5f4 (__TEXT,__text) non-external _DecodeLiteralBlockSwitch
000000018e917ee4 (__TEXT,__text) non-external _DecodeMetaBlockLength
000000018e918418 (__TEXT,__text) non-external _DecodeVarLenUint8
000000018e9106fc (__TEXT,__text) non-external _EmitUncompressedMetaBlock
000000018e92f8d8 (__TEXT,__text) non-external _EncodeContextMap
000000018e908094 (__TEXT,__text) non-external _EncodeData
000000018e929cf0 (__TEXT,__text) non-external _EvaluateNode
000000018e90a5bc (__TEXT,__text) non-external _ExtendLastCommand
000000018e976848 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
000000018e9b3f38 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
000000018e90a41c (__TEXT,__text) non-external _GetBrotliStorage
000000018e90a48c (__TEXT,__text) non-external _GetHashTable
000000018e94d4cc (__TEXT,__text) non-external _InitBlockSplitterCommand
000000018e94d674 (__TEXT,__text) non-external _InitBlockSplitterDistance
000000018e94d328 (__TEXT,__text) non-external _InitBlockSplitterLiteral
000000018e9563a0 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandBits
000000018e9ccafc (__TEXT,__cstring) non-external _InitCommandPrefixCodes.kDefaultCommandCode
000000018e956320 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandDepths
000000018e929424 (__TEXT,__text) non-external _InitZopfliCostModel
000000018e909dd0 (__TEXT,__text) non-external _InitializeH5
000000018e909e10 (__TEXT,__text) non-external _InitializeH6
000000018e907f5c (__TEXT,__text) non-external _InjectFlushOrPushOutput
000000018e91ac78 (__TEXT,__text) non-external _InverseMoveToFrontTransform
000000018e922294 (__TEXT,__text) non-external _LZFSEIBootBufferCopy
000000018e922244 (__TEXT,__text) non-external _LZFSEIBootBufferPush
000000018e92215c (__TEXT,__text) non-external _LZFSEIBootBufferPushN
000000018e94f29c (__TEXT,__text) non-external _MapStaticContexts
000000018e90a128 (__TEXT,__text) non-external _PrepareH35
000000018e909e68 (__TEXT,__text) non-external _PrepareH4
000000018e909f78 (__TEXT,__text) non-external _PrepareH40
000000018e909f78 (__TEXT,__text) non-external _PrepareH41
000000018e90a014 (__TEXT,__text) non-external _PrepareH42
000000018e909ec8 (__TEXT,__text) non-external _PrepareH5
000000018e90a0c4 (__TEXT,__text) non-external _PrepareH54
000000018e90a23c (__TEXT,__text) non-external _PrepareH55
000000018e909f18 (__TEXT,__text) non-external _PrepareH6
000000018e90a2f8 (__TEXT,__text) non-external _PrepareH65
000000018e91958c (__TEXT,__text) non-external _ProcessCommands
000000018e9185c8 (__TEXT,__text) non-external _ReadHuffmanCode
000000018e91adcc (__TEXT,__text) non-external _SafeDecodeCommandBlockSwitch
000000018e91b7e4 (__TEXT,__text) non-external _SafeDecodeDistanceBlockSwitch
000000018e91b294 (__TEXT,__text) non-external _SafeDecodeLiteralBlockSwitch
000000018e91abd8 (__TEXT,__text) non-external _SafeDecodeSymbol
000000018e919f28 (__TEXT,__text) non-external _SafeProcessCommands
000000018e917d88 (__TEXT,__text) non-external _SaveErrorCode
000000018e92b06c (__TEXT,__text) non-external _SetCost
000000018e92cfa8 (__TEXT,__text) non-external _Shift
000000018e909be4 (__TEXT,__text) non-external _ShouldCompress
000000018e948df0 (__TEXT,__text) non-external _ShouldCompress
000000018e910a4c (__TEXT,__text) non-external _ShouldMergeBlock
000000018e9564b0 (__TEXT,__const) non-external _ShouldUseComplexStaticContextMap.kStaticContextMapComplexUTF8
000000018e910fe8 (__TEXT,__text) non-external _SortPointers
000000018e956a48 (__TEXT,__const) non-external _SortPointers.gaps
000000018e948f9c (__TEXT,__text) non-external _StoreCommands
000000018e9ab860 (__TEXT,__const) non-external _StoreCommands.kInsertOffset
000000018e9ab660 (__TEXT,__const) non-external _StoreCommands.kNumExtraBits
000000018e92f300 (__TEXT,__text) non-external _StoreCompressedMetaBlockHeader
000000018e930ac4 (__TEXT,__text) non-external _StoreDataWithHuffmanCodes
000000018e9300bc (__TEXT,__text) non-external _StoreSymbol
000000018e930248 (__TEXT,__text) non-external _StoreSymbolWithContext
000000018e92f6bc (__TEXT,__text) non-external _StoreTrivialContextMap
000000018e9312a4 (__TEXT,__text) non-external _StoreVarLenUint8
000000018e910ba4 (__TEXT,__text) non-external _UpdateBits
000000018e90a574 (__TEXT,__text) non-external _UpdateLastProcessedPos
000000018e9295bc (__TEXT,__text) non-external _UpdateNodes
000000018e91aa10 (__TEXT,__text) non-external _WrapRingBuffer
000000018e90a800 (__TEXT,__text) non-external _WriteMetaBlockInternal
000000018e917d9c (__TEXT,__text) non-external _WriteRingBuffer
000000018e9294a0 (__TEXT,__text) non-external _ZopfliCostModelSetFromLiteralCosts
                 (undefined) external __NSConcreteStackBlock (from libSystem)
000000018e9cca40 (__TEXT,__const) non-external __ZL21counter_get_quantizerPK12cosl_counter.lut
000000018e976c50 (__TEXT,__const) non-external __ZL22lzma_copy_with_patternPhjj.repeat_off
000000018e976b60 (__TEXT,__const) non-external __ZL22lzma_copy_with_patternPhjj.repeat_perm
00000001e85a9598 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
000000018e91e3c0 (__TEXT,__text) non-external ___yzip_jobs_process_block_invoke
000000018e9b2928 (__TEXT,__const) non-external (was a private external) __dist_code
000000018e9aae50 (__TEXT,__const) non-external (was a private external) __kBrotliContextLookupTable
000000018e9567e0 (__TEXT,__const) non-external (was a private external) __kBrotliPrefixCodeRanges
000000018e9b2b28 (__TEXT,__const) non-external (was a private external) __length_code
000000018e94bf04 (__TEXT,__text) non-external (was a private external) __tr_align
000000018e8ff76c (__TEXT,__text) non-external (was a private external) __tr_flush_block
000000018e8fdeb4 (__TEXT,__text) non-external (was a private external) __tr_init
000000018e94bdbc (__TEXT,__text) non-external (was a private external) __tr_stored_block
000000018e94c178 (__TEXT,__text) non-external (was a private external) __tr_tally
000000018e8fdd78 (__TEXT,__text) non-external (was a private external) _adler32
000000018e951980 (__TEXT,__text) non-external (was a private external) _adler32_vec
000000018e9b32e0 (__TEXT,__const) non-external _base_dist
000000018e9b326c (__TEXT,__const) non-external _base_length
000000018e94c0e8 (__TEXT,__text) non-external _bi_flush
000000018e900b88 (__TEXT,__text) non-external _bi_windup
000000018e9b3258 (__TEXT,__const) non-external _bl_order
000000018e9aabd8 (__TEXT,__const) non-external _breverse.brev8
000000018e94a0c4 (__TEXT,__text) non-external (was a private external) _brotli_decode_buffer
000000018e94a10c (__TEXT,__text) non-external (was a private external) _brotli_encode_buffer
000000018e94a2e8 (__TEXT,__text) non-external (was a private external) _brotli_stream_end
000000018e94a218 (__TEXT,__text) non-external (was a private external) _brotli_stream_init
000000018e94a158 (__TEXT,__text) non-external (was a private external) _brotli_stream_process
000000018e8ffcbc (__TEXT,__text) non-external _build_tree
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
000000018e94a024 (__TEXT,__text) non-external (was a private external) _codecGetFooterID
000000018e9496a0 (__TEXT,__text) non-external (was a private external) _codecReadHeader
000000018e949f88 (__TEXT,__text) non-external (was a private external) _codecResetModel
000000018e949b34 (__TEXT,__text) non-external (was a private external) _codecWriteHeader
000000018e9007d0 (__TEXT,__text) non-external _compress_block
000000018e90239c (__TEXT,__text) external _compression_decode_buffer
000000018e9022a8 (__TEXT,__text) external _compression_decode_scratch_buffer_size
000000018e943378 (__TEXT,__text) external _compression_encode_buffer
000000018e943230 (__TEXT,__text) external _compression_encode_scratch_buffer_size
000000018e900d8c (__TEXT,__text) external _compression_stream_destroy
000000018e91f6dc (__TEXT,__text) external _compression_stream_get_decode_state_size
000000018e91f68c (__TEXT,__text) external _compression_stream_get_encode_state_size
000000018e91f63c (__TEXT,__text) external _compression_stream_get_state_size
000000018e91f5a8 (__TEXT,__text) external _compression_stream_identify_algorithm
000000018e8fd7c0 (__TEXT,__text) external _compression_stream_init
000000018e91f568 (__TEXT,__text) external _compression_stream_init_with_state_buffer
000000018e91f72c (__TEXT,__text) external _compression_stream_is_state_valid
000000018e8fdf04 (__TEXT,__text) external _compression_stream_process
000000018e902d00 (__TEXT,__text) external _compression_stream_reinit
00000001f058ca08 (__AUTH_CONST,__const) non-external _configuration_table
000000018e925740 (__TEXT,__text) non-external _convert_row_16to8
000000018e9256c8 (__TEXT,__text) non-external _convert_row_8to16
000000018e925568 (__TEXT,__text) non-external _convert_row_GUVAtoRGBA8888
000000018e925264 (__TEXT,__text) non-external _convert_row_GUVtoRGB888
000000018e9259f0 (__TEXT,__text) non-external _convert_row_PlanarRGtoRG
000000018e9257c0 (__TEXT,__text) non-external _convert_row_RG88toRG
000000018e9250f4 (__TEXT,__text) non-external _convert_row_RGB888toGUV
000000018e9253fc (__TEXT,__text) non-external _convert_row_RGBA8888toGUVA
000000018e925940 (__TEXT,__text) non-external _convert_row_RGtoPlanarRG
000000018e925880 (__TEXT,__text) non-external _convert_row_RGtoRG88
000000018e9257b8 (__TEXT,__text) non-external _convert_row_copy16
000000018e9246b8 (__TEXT,__text) non-external (was a private external) _convert_row_to_lsb
000000018e924658 (__TEXT,__text) non-external (was a private external) _convert_row_to_msb
000000018e924f18 (__TEXT,__text) non-external _convert_rows_from_bayer16
000000018e924d00 (__TEXT,__text) non-external _convert_rows_from_bayer8
000000018e924890 (__TEXT,__text) non-external _convert_rows_from_quadra8
000000018e925008 (__TEXT,__text) non-external _convert_rows_to_bayer16
000000018e924e0c (__TEXT,__text) non-external _convert_rows_to_bayer8
000000018e924ad0 (__TEXT,__text) non-external _convert_rows_to_quadra8
000000018e953468 (__TEXT,__text) external _cosl_codec_decode
000000018e952b3c (__TEXT,__text) external _cosl_codec_encode
000000018e953360 (__TEXT,__text) external _cosl_codec_get_decoded_size
000000018e954030 (__TEXT,__text) external _cosl_codec_get_id
000000018e953dd0 (__TEXT,__text) external _cosl_codec_map
000000018e953fcc (__TEXT,__text) external _cosl_codec_unmap
000000018e953954 (__TEXT,__text) external _cosl_model_create
000000018e953a88 (__TEXT,__text) external _cosl_model_destroy
000000018e953ad0 (__TEXT,__text) external _cosl_model_save_codec
000000018e952760 (__TEXT,__text) external _cosl_model_update
000000018e9339f8 (__TEXT,__text) external _cosmix_codec_decode
000000018e933104 (__TEXT,__text) external _cosmix_codec_encode
000000018e933908 (__TEXT,__text) external _cosmix_codec_get_decoded_size
000000018e934468 (__TEXT,__text) external _cosmix_codec_get_id
000000018e9342b4 (__TEXT,__text) external _cosmix_codec_map
000000018e934408 (__TEXT,__text) external _cosmix_codec_unmap
000000018e933ecc (__TEXT,__text) external _cosmix_model_create
000000018e934008 (__TEXT,__text) external _cosmix_model_destroy
000000018e934050 (__TEXT,__text) external _cosmix_model_save_codec
000000018e932b64 (__TEXT,__text) external _cosmix_model_update
000000018e9493c4 (__TEXT,__text) non-external (was a private external) _crc32
000000018e9b41d4 (__TEXT,__const) non-external _crc32_lut4
000000018e9ab8c0 (__TEXT,__const) non-external _crc_table
000000018e922e70 (__TEXT,__text) non-external _create_rectangle_within_image
000000018e916864 (__TEXT,__text) non-external (was a private external) _create_thread
000000018e8fe380 (__TEXT,__text) non-external (was a private external) _deflate
000000018e950d1c (__TEXT,__text) non-external (was a private external) _deflateBound
000000018e9512d0 (__TEXT,__text) non-external (was a private external) _deflateCopy
000000018e900c90 (__TEXT,__text) non-external (was a private external) _deflateEnd
000000018e8fd984 (__TEXT,__text) non-external (was a private external) _deflateInit2_
000000018e950a68 (__TEXT,__text) non-external (was a private external) _deflateInit_
000000018e950c10 (__TEXT,__text) non-external (was a private external) _deflateParams
000000018e950be0 (__TEXT,__text) non-external (was a private external) _deflatePrime
000000018e8fdc3c (__TEXT,__text) non-external (was a private external) _deflateReset
000000018e950a84 (__TEXT,__text) non-external (was a private external) _deflateSetDictionary
000000018e950bb4 (__TEXT,__text) non-external (was a private external) _deflateSetHeader
000000018e950cf8 (__TEXT,__text) non-external (was a private external) _deflateTune
000000018e9b4188 (__TEXT,__const) non-external (was a private external) _deflate_copyright
000000018e951630 (__TEXT,__text) non-external _deflate_fast
000000018e950e10 (__TEXT,__text) non-external _deflate_huff
000000018e950f7c (__TEXT,__text) non-external _deflate_rle
000000018e8feeac (__TEXT,__text) non-external _deflate_slow
000000018e951484 (__TEXT,__text) non-external _deflate_stored
                 (undefined) external _dispatch_apply (from libSystem)
000000018e92d8dc (__TEXT,__text) non-external _emitMatch
000000018e9b320c (__TEXT,__const) non-external _extra_blbits
000000018e9b3194 (__TEXT,__const) non-external _extra_dbits
000000018e9b3120 (__TEXT,__const) non-external _extra_lbits
                 (undefined) external _fclose (from libSystem)
000000018e8ff300 (__TEXT,__text) non-external _fill_window
000000018e900bfc (__TEXT,__text) non-external _flush_pending
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _free (from libSystem)
000000018e950a08 (__TEXT,__text) non-external _fse_adjust_freqs
                 (undefined) external _fstat (from libSystem)
                 (undefined) external _fwrite (from libSystem)
000000018e9b3e34 (__TEXT,__const) non-external _getDSymbolFromValue.sym
000000018e934c64 (__TEXT,__text) non-external _getDecoderTable
000000018e9b33c0 (__TEXT,__const) non-external _getLSymbolFromValue.sym
000000018e9b34fc (__TEXT,__const) non-external _getMSymbolFromValue.sym
000000018e92471c (__TEXT,__text) non-external (was a private external) _get_conversion_set
000000018e9493b8 (__TEXT,__text) non-external (was a private external) _get_crc_table
000000018e9285c4 (__TEXT,__text) non-external (was a private external) _get_default_nthreads
000000018e922560 (__TEXT,__text) non-external _get_format_bits
000000018e922384 (__TEXT,__text) non-external (was a private external) _get_format_bytes_per_pixel
000000018e9223b8 (__TEXT,__text) non-external (was a private external) _get_format_components
000000018e92241c (__TEXT,__text) non-external (was a private external) _get_format_convert_at_once
000000018e922704 (__TEXT,__text) non-external _get_format_plane_count
000000018e922438 (__TEXT,__text) non-external (was a private external) _get_format_process_at_once
000000018e91d2f0 (__TEXT,__text) non-external (was a private external) _get_max_payload_size
000000018e91d334 (__TEXT,__text) non-external (was a private external) _get_plane_max_rice_size
000000018e91d380 (__TEXT,__text) non-external (was a private external) _get_pool_size
000000018e92857c (__TEXT,__text) non-external (was a private external) _get_real_time
000000018e91d364 (__TEXT,__text) non-external (was a private external) _get_slice_height
000000018e91d348 (__TEXT,__text) non-external (was a private external) _get_slice_width
