00007ff80cb61ee0 (__TEXT,__const) non-external _DOWNCASE_TBL
00007ff80cb54d0a (__TEXT,__text) non-external _frame_pack_headers_shared
                 (undefined) external _free (from libSystem)
00007ff80cb5a99e (__TEXT,__text) non-external _get_error_code_from_lib_error_code
00007ff80cb5731e (__TEXT,__text) non-external _hd_context_free
00007ff80cb5575d (__TEXT,__text) non-external _hd_context_shrink_table_size
00007ff80cb58209 (__TEXT,__text) non-external _hd_get_table_entry
00007ff80cb566cf (__TEXT,__text) non-external _hd_inflate_commit_indname
00007ff80cb56792 (__TEXT,__text) non-external _hd_inflate_commit_newname
00007ff80cb565df (__TEXT,__text) non-external _hd_inflate_read_huff
00007ff80cb564c0 (__TEXT,__text) non-external _hd_inflate_read_len
00007ff80cb57383 (__TEXT,__text) non-external _hd_ringbuf_get
00007ff80cb5ce90 (__TEXT,__const) non-external _huff_decode_table
00007ff80cb5c680 (__TEXT,__const) non-external _huff_sym_table
00007ff80cb52fdc (__TEXT,__text) non-external _insert
00007ff80cb5795c (__TEXT,__text) non-external _insert_link_dep
00007ff80cb53972 (__TEXT,__text) non-external _lookup_token
                 (undefined) external _malloc (from libSystem)
00007ff8425f83f0 (__DATA,__data) non-external _mem_default
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00007ff80cb50587 (__TEXT,__text) non-external _nghttp2_adjust_local_window_size
00007ff80cb4fd96 (__TEXT,__text) non-external _nghttp2_bufs_add
00007ff80cb54cc8 (__TEXT,__text) non-external _nghttp2_bufs_addb
00007ff80cb5741b (__TEXT,__text) non-external _nghttp2_bufs_free
00007ff80cb5c413 (__TEXT,__text) external _nghttp2_check_authority
00007ff80cb4ee50 (__TEXT,__text) external _nghttp2_check_header_name
00007ff80cb4ee91 (__TEXT,__text) external _nghttp2_check_header_value
00007ff80cb5c361 (__TEXT,__text) external _nghttp2_check_header_value_rfc9113
00007ff80cb5c3b5 (__TEXT,__text) external _nghttp2_check_method
00007ff80cb5c3e3 (__TEXT,__text) external _nghttp2_check_path
00007ff80cb54e7c (__TEXT,__text) non-external _nghttp2_frame_add_pad
00007ff80cb57c0d (__TEXT,__text) non-external _nghttp2_frame_pack_altsvc
00007ff80cb53195 (__TEXT,__text) non-external _nghttp2_frame_pack_headers
00007ff80cb57b49 (__TEXT,__text) non-external _nghttp2_frame_pack_push_promise
00007ff80cb53169 (__TEXT,__text) external _nghttp2_hd_deflate_bound
00007ff80cb5571e (__TEXT,__text) external _nghttp2_hd_deflate_change_table_size
00007ff80cb580cc (__TEXT,__text) external _nghttp2_hd_deflate_del
00007ff80cb58250 (__TEXT,__text) external _nghttp2_hd_deflate_get_dynamic_table_size
00007ff80cb5825a (__TEXT,__text) external _nghttp2_hd_deflate_get_max_dynamic_table_size
00007ff80cb581f1 (__TEXT,__text) external _nghttp2_hd_deflate_get_num_table_entries
00007ff80cb581ff (__TEXT,__text) external _nghttp2_hd_deflate_get_table_entry
00007ff80cb57da1 (__TEXT,__text) external _nghttp2_hd_deflate_hd
00007ff80cb532a4 (__TEXT,__text) non-external _nghttp2_hd_deflate_hd_bufs
00007ff80cb57ea1 (__TEXT,__text) external _nghttp2_hd_deflate_hd_vec
00007ff80cb4f7f8 (__TEXT,__text) non-external _nghttp2_hd_deflate_init2
00007ff80cb58054 (__TEXT,__text) external _nghttp2_hd_deflate_new
00007ff80cb58060 (__TEXT,__text) external _nghttp2_hd_deflate_new2
00007ff80cb57d52 (__TEXT,__text) external _nghttp2_hd_inflate_change_table_size
00007ff80cb581ce (__TEXT,__text) external _nghttp2_hd_inflate_del
00007ff80cb5683e (__TEXT,__text) external _nghttp2_hd_inflate_end_headers
00007ff80cb573bd (__TEXT,__text) non-external _nghttp2_hd_inflate_free
00007ff80cb5827c (__TEXT,__text) external _nghttp2_hd_inflate_get_dynamic_table_size
00007ff80cb58286 (__TEXT,__text) external _nghttp2_hd_inflate_get_max_dynamic_table_size
00007ff80cb58264 (__TEXT,__text) external _nghttp2_hd_inflate_get_num_table_entries
00007ff80cb58272 (__TEXT,__text) external _nghttp2_hd_inflate_get_table_entry
00007ff80cb580ef (__TEXT,__text) external _nghttp2_hd_inflate_hd
00007ff80cb580f9 (__TEXT,__text) external _nghttp2_hd_inflate_hd2
00007ff80cb55cf4 (__TEXT,__text) non-external _nghttp2_hd_inflate_hd_nv
00007ff80cb4f89f (__TEXT,__text) non-external _nghttp2_hd_inflate_init
00007ff80cb5815c (__TEXT,__text) external _nghttp2_hd_inflate_new
00007ff80cb58168 (__TEXT,__text) external _nghttp2_hd_inflate_new2
00007ff80cb5488c (__TEXT,__text) non-external _nghttp2_hd_table_get
00007ff80cb5c443 (__TEXT,__text) external _nghttp2_http2_strerror
00007ff80cb58cd3 (__TEXT,__text) non-external _nghttp2_http_on_request_headers
00007ff80cb5688b (__TEXT,__text) non-external _nghttp2_http_on_response_headers
00007ff80cb585d0 (__TEXT,__text) non-external _nghttp2_http_parse_priority
00007ff80cb530b3 (__TEXT,__text) non-external _nghttp2_http_record_request_method
00007ff80cb5c053 (__TEXT,__text) non-external _nghttp2_increase_local_window_size
00007ff80cb597dd (__TEXT,__text) external _nghttp2_is_fatal
00007ff80cb501e0 (__TEXT,__text) non-external _nghttp2_iv_check
00007ff80cb504f9 (__TEXT,__text) non-external _nghttp2_map_find
00007ff80cb508ce (__TEXT,__text) non-external _nghttp2_nv_array_copy
00007ff80cb57d01 (__TEXT,__text) external _nghttp2_nv_compare_name
00007ff80cb4abe1 (__TEXT,__text) external _nghttp2_option_del
00007ff80cb4ab02 (__TEXT,__text) external _nghttp2_option_new
00007ff80cb57722 (__TEXT,__text) external _nghttp2_option_set_builtin_recv_extension_type
00007ff80cb5776e (__TEXT,__text) external _nghttp2_option_set_max_deflate_dynamic_table_size
00007ff80cb57789 (__TEXT,__text) external _nghttp2_option_set_max_outbound_ack
00007ff80cb576ef (__TEXT,__text) external _nghttp2_option_set_max_reserved_remote_streams
00007ff80cb57761 (__TEXT,__text) external _nghttp2_option_set_max_send_header_block_length
00007ff80cb57797 (__TEXT,__text) external _nghttp2_option_set_max_settings
00007ff80cb57754 (__TEXT,__text) external _nghttp2_option_set_no_auto_ping_ack
00007ff80cb4ab3b (__TEXT,__text) external _nghttp2_option_set_no_auto_window_update
00007ff80cb4ab7c (__TEXT,__text) external _nghttp2_option_set_no_closed_streams
00007ff80cb4ab62 (__TEXT,__text) external _nghttp2_option_set_no_http_messaging
00007ff80cb4ab6f (__TEXT,__text) external _nghttp2_option_set_no_http_semantics
00007ff80cb576d5 (__TEXT,__text) external _nghttp2_option_set_no_recv_client_magic
00007ff80cb577b2 (__TEXT,__text) external _nghttp2_option_set_no_rfc9113_leading_and_trailing_ws_validation
00007ff80cb4ab48 (__TEXT,__text) external _nghttp2_option_set_peer_max_concurrent_streams
00007ff80cb577a5 (__TEXT,__text) external _nghttp2_option_set_server_fallback_rfc7540_priorities
00007ff80cb576fc (__TEXT,__text) external _nghttp2_option_set_user_recv_extension_type
00007ff80cb4fb0a (__TEXT,__text) non-external _nghttp2_outbound_item_free
00007ff80cb59689 (__TEXT,__text) external _nghttp2_pack_settings_payload
00007ff80cb58298 (__TEXT,__text) non-external _nghttp2_pq_push
00007ff80cb5840e (__TEXT,__text) non-external _nghttp2_pq_remove
00007ff80cb584d8 (__TEXT,__text) external _nghttp2_priority_spec_check_default
00007ff80cb508b1 (__TEXT,__text) external _nghttp2_priority_spec_default_init
00007ff80cb4f1f0 (__TEXT,__text) external _nghttp2_priority_spec_init
00007ff80cb4e8f4 (__TEXT,__text) external _nghttp2_rcbuf_decref
00007ff80cb58d6b (__TEXT,__text) external _nghttp2_rcbuf_get_buf
00007ff80cb54921 (__TEXT,__text) external _nghttp2_rcbuf_incref
00007ff80cb58d79 (__TEXT,__text) external _nghttp2_rcbuf_is_static
00007ff80cb5493e (__TEXT,__text) non-external _nghttp2_rcbuf_new
00007ff80cb57550 (__TEXT,__text) external _nghttp2_select_next_protocol
00007ff80cb56fed (__TEXT,__text) non-external _nghttp2_session_add_goaway
00007ff80cb50273 (__TEXT,__text) non-external _nghttp2_session_add_item
00007ff80cb5aab3 (__TEXT,__text) non-external _nghttp2_session_add_ping
00007ff80cb59db1 (__TEXT,__text) non-external _nghttp2_session_add_rst_stream
00007ff80cb4fe1c (__TEXT,__text) non-external _nghttp2_session_add_settings
00007ff80cb50626 (__TEXT,__text) non-external _nghttp2_session_add_window_update
00007ff80cb5a069 (__TEXT,__text) non-external _nghttp2_session_adjust_closed_stream
00007ff80cb520d5 (__TEXT,__text) non-external _nghttp2_session_adjust_idle_stream
00007ff80cb4abce (__TEXT,__text) external _nghttp2_session_callbacks_del
00007ff80cb4aa1f (__TEXT,__text) external _nghttp2_session_callbacks_new
00007ff80cb4aa59 (__TEXT,__text) external _nghttp2_session_callbacks_set_before_frame_send_callback
00007ff80cb5767d (__TEXT,__text) external _nghttp2_session_callbacks_set_data_source_read_length_callback
00007ff80cb576c8 (__TEXT,__text) external _nghttp2_session_callbacks_set_error_callback
00007ff80cb4eb05 (__TEXT,__text) external _nghttp2_session_callbacks_set_error_callback2
00007ff80cb57687 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_begin_frame_callback
00007ff80cb4aa81 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_begin_headers_callback
00007ff80cb4aa9f (__TEXT,__text) external _nghttp2_session_callbacks_set_on_data_chunk_recv_callback
00007ff80cb576bb (__TEXT,__text) external _nghttp2_session_callbacks_set_on_extension_chunk_recv_callback
00007ff80cb4eadd (__TEXT,__text) external _nghttp2_session_callbacks_set_on_frame_not_send_callback
00007ff80cb4aa8b (__TEXT,__text) external _nghttp2_session_callbacks_set_on_frame_recv_callback
00007ff80cb4aac3 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_frame_send_callback
00007ff80cb4aa6b (__TEXT,__text) external _nghttp2_session_callbacks_set_on_header_callback
00007ff80cb57655 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_header_callback2
00007ff80cb4eac5 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_invalid_frame_recv_callback
00007ff80cb4eaef (__TEXT,__text) external _nghttp2_session_callbacks_set_on_invalid_header_callback
00007ff80cb57669 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_invalid_header_callback2
00007ff80cb4aab7 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_stream_close_callback
00007ff80cb576a1 (__TEXT,__text) external _nghttp2_session_callbacks_set_pack_extension_callback
00007ff80cb4eab1 (__TEXT,__text) external _nghttp2_session_callbacks_set_recv_callback
00007ff80cb57673 (__TEXT,__text) external _nghttp2_session_callbacks_set_select_padding_callback
00007ff80cb4aad8 (__TEXT,__text) external _nghttp2_session_callbacks_set_send_callback
00007ff80cb4aae4 (__TEXT,__text) external _nghttp2_session_callbacks_set_send_data_callback
00007ff80cb576ae (__TEXT,__text) external _nghttp2_session_callbacks_set_unpack_extension_callback
00007ff80cb5bfb8 (__TEXT,__text) external _nghttp2_session_change_extpri_stream_priority
00007ff80cb5be32 (__TEXT,__text) external _nghttp2_session_change_stream_priority
00007ff80cb5a13c (__TEXT,__text) external _nghttp2_session_check_request_allowed
00007ff80cb5be25 (__TEXT,__text) external _nghttp2_session_check_server_session
00007ff80cb598df (__TEXT,__text) external _nghttp2_session_client_new
00007ff80cb4ab98 (__TEXT,__text) external _nghttp2_session_client_new2
00007ff80cb59942 (__TEXT,__text) external _nghttp2_session_client_new3
00007ff80cb56a32 (__TEXT,__text) non-external _nghttp2_session_close_stream
00007ff80cb5b75b (__TEXT,__text) external _nghttp2_session_consume
00007ff80cb4e801 (__TEXT,__text) external _nghttp2_session_consume_connection
00007ff80cb4ea0f (__TEXT,__text) external _nghttp2_session_consume_stream
00007ff80cb5beb9 (__TEXT,__text) external _nghttp2_session_create_idle_stream
00007ff80cb4efa9 (__TEXT,__text) external _nghttp2_session_del
00007ff80cb56c00 (__TEXT,__text) non-external _nghttp2_session_destroy_stream
00007ff80cb5be04 (__TEXT,__text) external _nghttp2_session_find_stream
00007ff80cb5b912 (__TEXT,__text) external _nghttp2_session_get_effective_local_window_size
00007ff80cb5b8ff (__TEXT,__text) external _nghttp2_session_get_effective_recv_data_length
00007ff80cb5bf9e (__TEXT,__text) external _nghttp2_session_get_hd_deflate_dynamic_table_size
00007ff80cb5bf91 (__TEXT,__text) external _nghttp2_session_get_hd_inflate_dynamic_table_size
00007ff80cb5bdf8 (__TEXT,__text) external _nghttp2_session_get_last_proc_stream_id
00007ff80cb5b9dc (__TEXT,__text) external _nghttp2_session_get_local_settings
00007ff80cb5b91e (__TEXT,__text) external _nghttp2_session_get_local_window_size
00007ff80cb4ec1c (__TEXT,__text) external _nghttp2_session_get_next_stream_id
00007ff80cb5b842 (__TEXT,__text) external _nghttp2_session_get_outbound_queue_size
00007ff80cb5b932 (__TEXT,__text) external _nghttp2_session_get_remote_settings
00007ff80cb4ae16 (__TEXT,__text) external _nghttp2_session_get_remote_window_size
00007ff80cb5be1b (__TEXT,__text) external _nghttp2_session_get_root_stream
00007ff80cb5b893 (__TEXT,__text) external _nghttp2_session_get_stream_effective_local_window_size
00007ff80cb5b85d (__TEXT,__text) external _nghttp2_session_get_stream_effective_recv_data_length
00007ff80cb5bd87 (__TEXT,__text) external _nghttp2_session_get_stream_local_close
00007ff80cb5b8c3 (__TEXT,__text) external _nghttp2_session_get_stream_local_window_size
00007ff80cb5bdbd (__TEXT,__text) external _nghttp2_session_get_stream_remote_close
00007ff80cb4ade0 (__TEXT,__text) external _nghttp2_session_get_stream_remote_window_size
00007ff80cb4ed06 (__TEXT,__text) external _nghttp2_session_get_stream_user_data
00007ff80cb4aec1 (__TEXT,__text) external _nghttp2_session_mem_recv
00007ff80cb5a178 (__TEXT,__text) external _nghttp2_session_mem_send
00007ff80cb50aa2 (__TEXT,__text) non-external _nghttp2_session_mem_send_internal
00007ff80cb56931 (__TEXT,__text) non-external _nghttp2_session_on_data_received
00007ff80cb54f38 (__TEXT,__text) non-external _nghttp2_session_on_settings_received
00007ff80cb52842 (__TEXT,__text) non-external _nghttp2_session_open_stream
00007ff80cb5a430 (__TEXT,__text) non-external _nghttp2_session_pack_data
00007ff80cb5a321 (__TEXT,__text) non-external _nghttp2_session_predicate_data_send
00007ff80cb4ed6b (__TEXT,__text) external _nghttp2_session_recv
00007ff80cb59a31 (__TEXT,__text) non-external _nghttp2_session_reprioritize_stream
00007ff80cb4f183 (__TEXT,__text) external _nghttp2_session_resume_data
00007ff80cb4ae2b (__TEXT,__text) external _nghttp2_session_send
00007ff80cb5997e (__TEXT,__text) external _nghttp2_session_server_new
00007ff80cb599f0 (__TEXT,__text) external _nghttp2_session_server_new2
00007ff80cb599b7 (__TEXT,__text) external _nghttp2_session_server_new3
00007ff80cb4ac07 (__TEXT,__text) external _nghttp2_session_set_local_window_size
00007ff80cb4ec36 (__TEXT,__text) external _nghttp2_session_set_next_stream_id
00007ff80cb4eec3 (__TEXT,__text) external _nghttp2_session_set_stream_user_data
00007ff80cb5bfab (__TEXT,__text) external _nghttp2_session_set_user_data
00007ff80cb4ef8e (__TEXT,__text) external _nghttp2_session_terminate_session
00007ff80cb598d3 (__TEXT,__text) external _nghttp2_session_terminate_session2
00007ff80cb5a1ed (__TEXT,__text) non-external _nghttp2_session_update_recv_connection_window_size
00007ff80cb5a27e (__TEXT,__text) non-external _nghttp2_session_update_recv_stream_window_size
00007ff80cb5ba84 (__TEXT,__text) external _nghttp2_session_upgrade
00007ff80cb5bd0b (__TEXT,__text) external _nghttp2_session_upgrade2
00007ff80cb5baec (__TEXT,__text) non-external _nghttp2_session_upgrade_internal
00007ff80cb4ed33 (__TEXT,__text) external _nghttp2_session_want_read
00007ff80cb4ad57 (__TEXT,__text) external _nghttp2_session_want_write
00007ff80cb4aaf8 (__TEXT,__text) external _nghttp2_set_debug_vprintf_callback
00007ff80cb579a2 (__TEXT,__text) non-external _nghttp2_stream_dep_add_subtree
00007ff80cb56d91 (__TEXT,__text) non-external _nghttp2_stream_dep_remove
00007ff80cb57a07 (__TEXT,__text) non-external _nghttp2_stream_dep_remove_subtree
00007ff80cb57b17 (__TEXT,__text) external _nghttp2_stream_get_first_child
00007ff80cb57b03 (__TEXT,__text) external _nghttp2_stream_get_next_sibling
00007ff80cb57af9 (__TEXT,__text) external _nghttp2_stream_get_parent
00007ff80cb57b0d (__TEXT,__text) external _nghttp2_stream_get_previous_sibling
00007ff80cb57a99 (__TEXT,__text) external _nghttp2_stream_get_state
00007ff80cb57b39 (__TEXT,__text) external _nghttp2_stream_get_stream_id
00007ff80cb57b2d (__TEXT,__text) external _nghttp2_stream_get_sum_dependency_weight
00007ff80cb57b21 (__TEXT,__text) external _nghttp2_stream_get_weight
00007ff80cb5c0b2 (__TEXT,__text) external _nghttp2_strerror
00007ff80cb590eb (__TEXT,__text) external _nghttp2_submit_altsvc
00007ff80cb4e941 (__TEXT,__text) external _nghttp2_submit_data
00007ff80cb59701 (__TEXT,__text) external _nghttp2_submit_extension
00007ff80cb58f05 (__TEXT,__text) external _nghttp2_submit_goaway
00007ff80cb4e85b (__TEXT,__text) external _nghttp2_submit_headers
00007ff80cb592a7 (__TEXT,__text) external _nghttp2_submit_origin
00007ff80cb58ddd (__TEXT,__text) external _nghttp2_submit_ping
00007ff80cb58dea (__TEXT,__text) external _nghttp2_submit_priority
00007ff80cb594c2 (__TEXT,__text) external _nghttp2_submit_priority_update
00007ff80cb58f6c (__TEXT,__text) external _nghttp2_submit_push_promise
00007ff80cb4ec73 (__TEXT,__text) external _nghttp2_submit_request
00007ff80cb59632 (__TEXT,__text) external _nghttp2_submit_response
00007ff80cb58eec (__TEXT,__text) external _nghttp2_submit_rst_stream
00007ff80cb4abf0 (__TEXT,__text) external _nghttp2_submit_settings
00007ff80cb58f29 (__TEXT,__text) external _nghttp2_submit_shutdown_notice
00007ff80cb58da1 (__TEXT,__text) external _nghttp2_submit_trailer
00007ff80cb4eb20 (__TEXT,__text) external _nghttp2_submit_window_update
00007ff80cb58d88 (__TEXT,__text) external _nghttp2_version
00007ff80cb572cd (__TEXT,__text) non-external _ob_q_free
00007ff80cb5856e (__TEXT,__text) non-external _parse_uint
                 (undefined) external _realloc (from libSystem)
00007ff80cb575b3 (__TEXT,__text) non-external _select_next_protocol
00007ff80cb521b8 (__TEXT,__text) non-external _session_after_frame_sent1
00007ff80cb5267c (__TEXT,__text) non-external _session_after_frame_sent2
00007ff80cb5ac04 (__TEXT,__text) non-external _session_call_error_callback
00007ff80cb54e20 (__TEXT,__text) non-external _session_call_select_padding
00007ff80cb57180 (__TEXT,__text) non-external _session_close_stream_on_goaway
00007ff80cb5a3b4 (__TEXT,__text) non-external _session_defer_stream_item
00007ff80cb59f4d (__TEXT,__text) non-external _session_detach_stream_item
00007ff80cb5a8d4 (__TEXT,__text) non-external _session_handle_invalid_connection
00007ff80cb5a93b (__TEXT,__text) non-external _session_handle_invalid_stream2
00007ff80cb54dbb (__TEXT,__text) non-external _session_headers_add_pad
00007ff80cb4fbd3 (__TEXT,__text) non-external _session_inbound_frame_reset
00007ff80cb5275f (__TEXT,__text) non-external _session_is_closing
00007ff80cb4f205 (__TEXT,__text) non-external _session_new
00007ff80cb597f0 (__TEXT,__text) non-external _session_ob_data_push
00007ff80cb59fbe (__TEXT,__text) non-external _session_ob_data_remove
00007ff80cb55862 (__TEXT,__text) non-external _session_process_headers_frame
00007ff80cb5b291 (__TEXT,__text) non-external _session_process_ping_frame
00007ff80cb5adc8 (__TEXT,__text) non-external _session_process_priority_frame
00007ff80cb5b53b (__TEXT,__text) non-external _session_process_priority_update_frame
00007ff80cb5b083 (__TEXT,__text) non-external _session_process_push_promise_frame
00007ff80cb5af8e (__TEXT,__text) non-external _session_process_rst_stream_frame
00007ff80cb5b33a (__TEXT,__text) non-external _session_process_window_update_frame
00007ff80cb5aa34 (__TEXT,__text) non-external _session_resume_deferred_stream_item
00007ff80cb56f72 (__TEXT,__text) non-external _session_terminate_session
00007ff80cb527b1 (__TEXT,__text) non-external _session_update_consumed_size
00007ff80cb5aba4 (__TEXT,__text) non-external _session_update_stream_priority
00007ff80cb5890d (__TEXT,__text) non-external _sf_parse_bare_item
00007ff80cb588c0 (__TEXT,__text) non-external _sf_parse_item
00007ff80cb587c3 (__TEXT,__text) non-external _sf_parse_key
00007ff80cb58819 (__TEXT,__text) non-external _sf_parse_params
00007ff80cb58c5c (__TEXT,__text) non-external _sf_parse_token
00007ff8425f6500 (__DATA,__const) non-external _static_table
00007ff80cb577c1 (__TEXT,__text) non-external _stream_less
00007ff80cb5991c (__TEXT,__text) non-external _stream_less.191
00007ff80cb5791a (__TEXT,__text) non-external _stream_obq_move
00007ff80cb577e8 (__TEXT,__text) non-external _stream_obq_push
00007ff80cb57884 (__TEXT,__text) non-external _stream_obq_remove
                 (undefined) external _strlen (from libSystem)
00007ff80cb506d4 (__TEXT,__text) non-external _submit_headers_shared_nva
00007ff8425f8418 (__DATA,__data) non-external _version
                 (undefined) external _vsnprintf (from libSystem)
