00000001d35f95b4 (__TEXT,__text) non-external +[Cube initialize]
00000001d353d998 (__TEXT,__text) non-external +[MCMotionTriggerScalar motionTriggerForTargetPlugObjectID:withKey:duration:andValue:]
00000001d355192c (__TEXT,__text) non-external +[MCObject objectWithImprint:andMontage:]
00000001d35516b0 (__TEXT,__text) non-external +[MCObjectBase addArrayElement:toXMLElement:forName:]
00000001d3551488 (__TEXT,__text) non-external +[MCObjectBase addDictionaryElement:toXMLElement:forName:]
00000001d3551334 (__TEXT,__text) non-external +[MCObjectBase addDoubleAttribute:toXMLElement:forName:]
00000001d355128c (__TEXT,__text) non-external +[MCObjectBase addFloatAttribute:toXMLElement:forName:]
00000001d35513ec (__TEXT,__text) non-external +[MCObjectBase addIntegerAttribute:toXMLElement:forName:]
00000001d3551210 (__TEXT,__text) non-external +[MCObjectBase addStringAttribute:toXMLElement:forName:]
00000001d355107c (__TEXT,__text) non-external +[MCObjectBase initialize]
00000001d355187c (__TEXT,__text) non-external +[MCObjectLight objectWithImprint:]
00000001d35523fc (__TEXT,__text) non-external +[MCPlug keyPathsForValuesAffectingValueForKey:]
00000001d3554ba0 (__TEXT,__text) non-external +[MCPlugParallel keyPathsForValuesAffectingValueForKey:]
00000001d355914c (__TEXT,__text) non-external +[MCPlugSerial keyPathsForValuesAffectingValueForKey:]
00000001d35599cc (__TEXT,__text) non-external +[MCSlide keyPathsForValuesAffectingValueForKey:]
00000001d355e750 (__TEXT,__text) non-external +[MCSong keyPathsForValuesAffectingValueForKey:]
00000001d353c8ac (__TEXT,__text) non-external +[MCStateOperation stateOperationForTargetPlugObjectID:withStateKey:]
00000001d353d164 (__TEXT,__text) non-external +[MCStateOperationExpression stateOperationForTargetPlugObjectID:withStateKey:andExpression:]
00000001d353cc0c (__TEXT,__text) non-external +[MCStateOperationScalarSet stateOperationForTargetPlugObjectID:withStateKey:andScalar:]
00000001d353ce90 (__TEXT,__text) non-external +[MCStateOperationStringSet stateOperationForTargetPlugObjectID:withStateKey:andString:]
00000001d3567a64 (__TEXT,__text) non-external +[MCTextConversion attributedStringWithCTAttributesFromStringAttributes:]
00000001d35682b0 (__TEXT,__text) non-external +[MCTextConversion attributedStringWithNSAttributesFromStringAttributes:]
00000001d35667c0 (__TEXT,__text) non-external +[MCTextConversion ligatureFromString:]
00000001d3566858 (__TEXT,__text) non-external +[MCTextConversion shadowFromTextFormat:]
00000001d35666b8 (__TEXT,__text) non-external +[MCTextConversion stretchForFontDisplayName:andFamilyName:]
00000001d35678a0 (__TEXT,__text) non-external +[MCTextConversion stringAttributesWithAttributedString:]
00000001d3566834 (__TEXT,__text) non-external +[MCTextConversion stringFromLigature:]
00000001d356679c (__TEXT,__text) non-external +[MCTextConversion stringFromTextAlignment:]
00000001d356656c (__TEXT,__text) non-external +[MCTextConversion styleForFontDisplayName:andFamilyName:]
00000001d3566728 (__TEXT,__text) non-external +[MCTextConversion textAlignmentFromString:]
00000001d3566a20 (__TEXT,__text) non-external +[MCTextConversion textFormatFromShadow:]
00000001d3566c40 (__TEXT,__text) non-external +[MCTextConversion textFormatFromUnderlineStyle:]
00000001d3566d20 (__TEXT,__text) non-external +[MCTextConversion textFormatWithCTAttributesForText:attributes:]
00000001d3567394 (__TEXT,__text) non-external +[MCTextConversion textFormatWithNSAttributesForText:attributes:]
00000001d3566af4 (__TEXT,__text) non-external +[MCTextConversion underlineStyleFromTextFormat:]
00000001d3566610 (__TEXT,__text) non-external +[MCTextConversion weightForFontDisplayName:andFamilyName:]
00000001d353bc58 (__TEXT,__text) non-external +[MCTransitionTrigger transitionForTargetPlugObjectID:withTransitionID:]
00000001d35cc9ec (__TEXT,__text) non-external +[MEAudioSupport _addAudioPlaylistsFromPlug:toComposition:atTime:forTotalDuration:withID:forExport:fadingTimVols:duckingTimVols:assetManagementDelegate:]
00000001d35cc750 (__TEXT,__text) non-external +[MEAudioSupport _getShowTime:andShowDuration:forPlug:andSlideIndex:]
00000001d35cd738 (__TEXT,__text) non-external +[MEAudioSupport _insertAudioTracksFromAsset:toComposition:atTime:withSongStartTime:songDuration:]
00000001d35cda88 (__TEXT,__text) non-external +[MEAudioSupport _makeAVAudioMixForComposition:withDuration:andFadeOutDuration:fadingInfos:duckingInfos:]
00000001d35cc4c8 (__TEXT,__text) non-external +[MEAudioSupport compositionForExportForStartTime:andDuration:withDocument:forExport:audioMix:]
00000001d355fca8 (__TEXT,__text) non-external +[MEExporter copyWebRendererToPath:useDebug:]
00000001d355fe80 (__TEXT,__text) non-external +[MEExporter postProcessWebRendererAtPath:]
00000001d35605e8 (__TEXT,__text) non-external +[MEExporter(Private) createErrorWithCode:andDescription:andSuggestion:andUnderlyingError:outError:]
00000001d35606c0 (__TEXT,__text) non-external +[MEExporter(Private) createErrorWithCode:andDescription:outError:]
00000001d35606d8 (__TEXT,__text) non-external +[MEExporter(Private) createNotEnoughSpaceErrorForFreeSpace:andNeededSpace:outError:]
00000001d35604b8 (__TEXT,__text) non-external +[MEExporter(Private) createTemporaryDirectoryForPath:error:]
00000001d3560834 (__TEXT,__text) non-external +[MEExporter(Private) localizedString:]
00000001d3560b14 (__TEXT,__text) non-external +[MEExporterManager releaseSharedManager]
00000001d3560aa4 (__TEXT,__text) non-external +[MEExporterManager sharedManager]
00000001d35c0e84 (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:loadedImage:size:andDestinationPath:]
00000001d35c0e20 (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:size:andDestinationPath:]
00000001d35c0dac (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:size:blackWhite:andDestinationPath:]
00000001d356188c (__TEXT,__text) non-external +[MEPluginHTML5 matchesOptions:]
00000001d3561810 (__TEXT,__text) non-external +[MEPluginHTML5 registerPluginsToLoader:]
00000001d35b1744 (__TEXT,__text) non-external +[MEPluginPDF matchesOptions:]
00000001d35b16c8 (__TEXT,__text) non-external +[MEPluginPDF registerPluginsToLoader:]
00000001d361b50c (__TEXT,__text) non-external +[MEPluginVideoAVFoundation matchesOptions:]
00000001d361b474 (__TEXT,__text) non-external +[MEPluginVideoAVFoundation registerPluginsToLoader:]
00000001d361d3a0 (__TEXT,__text) non-external +[MEPluginVideoImageSequence matchesOptions:]
00000001d361d308 (__TEXT,__text) non-external +[MEPluginVideoImageSequence registerPluginsToLoader:]
00000001d33ff648 (__TEXT,__text) non-external +[MPAction action]
00000001d33ff640 (__TEXT,__text) non-external +[MPAction supportsSecureCoding]
00000001d3401e4c (__TEXT,__text) non-external +[MPActionGroup actionGroup]
00000001d3401e7c (__TEXT,__text) non-external +[MPActionGroup supportsSecureCoding]
00000001d3400988 (__TEXT,__text) non-external +[MPActionTrigger actionTrigger]
00000001d3400980 (__TEXT,__text) non-external +[MPActionTrigger supportsSecureCoding]
00000001d3402b20 (__TEXT,__text) non-external +[MPAnimatedSet supportsSecureCoding]
00000001d34053a0 (__TEXT,__text) non-external +[MPAnimationKeyframe supportsSecureCoding]
00000001d3405864 (__TEXT,__text) non-external +[MPAnimationKeyframe1D keyframe1DWithScalar:atTime:]
00000001d34058ac (__TEXT,__text) non-external +[MPAnimationKeyframe1D keyframe1DWithScalar:atTime:offsetType:]
00000001d340585c (__TEXT,__text) non-external +[MPAnimationKeyframe1D supportsSecureCoding]
00000001d3405ccc (__TEXT,__text) non-external +[MPAnimationKeyframe2D keyframe2DWithPoint:atTime:]
00000001d3405d24 (__TEXT,__text) non-external +[MPAnimationKeyframe2D keyframe2DWithPoint:atTime:offsetType:]
00000001d3405cc4 (__TEXT,__text) non-external +[MPAnimationKeyframe2D supportsSecureCoding]
00000001d3407104 (__TEXT,__text) non-external +[MPAnimationKeyframeFunction keyframeFunctionWithFunction:atTime:offsetType:withDuration:]
00000001d34070ac (__TEXT,__text) non-external +[MPAnimationKeyframeFunction keyframeFunctionWithFunction:atTime:withDuration:]
00000001d34070a4 (__TEXT,__text) non-external +[MPAnimationKeyframeFunction supportsSecureCoding]
00000001d3406bf0 (__TEXT,__text) non-external +[MPAnimationKeyframeVector keyframeVectorWithVector:atTime:]
00000001d3406c40 (__TEXT,__text) non-external +[MPAnimationKeyframeVector keyframeVectorWithVector:atTime:offsetType:]
00000001d3406be8 (__TEXT,__text) non-external +[MPAnimationKeyframeVector supportsSecureCoding]
00000001d3407e88 (__TEXT,__text) non-external +[MPAnimationManager releaseSharedManager]
00000001d3407e14 (__TEXT,__text) non-external +[MPAnimationManager sharedManager]
00000001d3407f64 (__TEXT,__text) non-external +[MPAnimationManager(Private) loadAnimationManagerWithPaths:]
00000001d34082f8 (__TEXT,__text) non-external +[MPAnimationPath animationPath]
00000001d34082f0 (__TEXT,__text) non-external +[MPAnimationPath supportsSecureCoding]
00000001d3408558 (__TEXT,__text) non-external +[MPAnimationPathCombo animationPath]
00000001d3408550 (__TEXT,__text) non-external +[MPAnimationPathCombo supportsSecureCoding]
00000001d3408d9c (__TEXT,__text) non-external +[MPAnimationPathKeyframed animationPath]
00000001d3408d94 (__TEXT,__text) non-external +[MPAnimationPathKeyframed supportsSecureCoding]
00000001d3400468 (__TEXT,__text) non-external +[MPAnimationTrigger animationTrigger]
00000001d3400460 (__TEXT,__text) non-external +[MPAnimationTrigger supportsSecureCoding]
00000001d340b598 (__TEXT,__text) non-external +[MPAssetManager releaseSharedManager]
00000001d340b58c (__TEXT,__text) non-external +[MPAssetManager setInhibitSharedManagerInit:]
00000001d33eef30 (__TEXT,__text) non-external +[MPAssetManager sharedManager]
00000001d340bf8c (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBuffer:]
00000001d340c2ac (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBufferUsingDataProvider:]
00000001d340c154 (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBufferUsingRGBDevice:]
00000001d340c484 (__TEXT,__text) non-external +[MPAudioPlaylist audioPlaylist]
00000001d340c454 (__TEXT,__text) non-external +[MPAudioPlaylist automaticallyNotifiesObserversForKey:]
00000001d340c47c (__TEXT,__text) non-external +[MPAudioPlaylist supportsSecureCoding]
00000001d340de74 (__TEXT,__text) non-external +[MPAuthoringController releaseSharedController]
00000001d340de08 (__TEXT,__text) non-external +[MPAuthoringController sharedController]
00000001d3434bc8 (__TEXT,__text) non-external +[MPAuthoringUtilities alignToBeatsFromOptions:]
00000001d3437068 (__TEXT,__text) non-external +[MPAuthoringUtilities alwaysIncludeLastTransitionFromOptions:]
00000001d3435614 (__TEXT,__text) non-external +[MPAuthoringUtilities aspectRatioFromOptions:]
00000001d3437810 (__TEXT,__text) non-external +[MPAuthoringUtilities aspectRatioMatchesDefault:withOptions:]
00000001d3434450 (__TEXT,__text) non-external +[MPAuthoringUtilities audioDurationFactorFromOptions:]
00000001d3434408 (__TEXT,__text) non-external +[MPAuthoringUtilities audioDurationFromOptions:]
00000001d3434498 (__TEXT,__text) non-external +[MPAuthoringUtilities audioScalingModeFromOptions:]
00000001d3434e2c (__TEXT,__text) non-external +[MPAuthoringUtilities backgroundColorFromOptions:]
00000001d34374fc (__TEXT,__text) non-external +[MPAuthoringUtilities baseBreakAspectRatioFromOptions:]
00000001d3437570 (__TEXT,__text) non-external +[MPAuthoringUtilities basePortraitBreakAspectRatioFromOptions:]
00000001d3434ddc (__TEXT,__text) non-external +[MPAuthoringUtilities beatFactorFromOptions:]
00000001d3437414 (__TEXT,__text) non-external +[MPAuthoringUtilities breakDurationScaleFromOptions:]
00000001d3436e28 (__TEXT,__text) non-external +[MPAuthoringUtilities canAdjustPhaseDurations:]
00000001d3436b14 (__TEXT,__text) non-external +[MPAuthoringUtilities canHaveTransitionsFromOptions:]
00000001d34350d8 (__TEXT,__text) non-external +[MPAuthoringUtilities canRepeatEffectWithPreset:]
00000001d3435220 (__TEXT,__text) non-external +[MPAuthoringUtilities canRepeatPreset:]
00000001d3435780 (__TEXT,__text) non-external +[MPAuthoringUtilities collectVersionInformationFromOptions:]
00000001d34369a4 (__TEXT,__text) non-external +[MPAuthoringUtilities colorSchemeFromOptions:]
00000001d3434c5c (__TEXT,__text) non-external +[MPAuthoringUtilities createBeatsFromOptions:]
00000001d3434568 (__TEXT,__text) non-external +[MPAuthoringUtilities croppingModeForFitMoviesFromOptions:]
00000001d34344dc (__TEXT,__text) non-external +[MPAuthoringUtilities croppingModeFromOptions:]
00000001d34372d8 (__TEXT,__text) non-external +[MPAuthoringUtilities customDurationsFromOptions:]
00000001d3437a30 (__TEXT,__text) non-external +[MPAuthoringUtilities distanceBetween:andPoint:]
00000001d3434fa4 (__TEXT,__text) non-external +[MPAuthoringUtilities durationPerEffectFromOptions:]
00000001d3434938 (__TEXT,__text) non-external +[MPAuthoringUtilities easeKenBurnsPanFromOptions:]
00000001d3436900 (__TEXT,__text) non-external +[MPAuthoringUtilities effectDecidesTransitionFromOptions:]
00000001d3435654 (__TEXT,__text) non-external +[MPAuthoringUtilities effectListFromOptions:]
00000001d343517c (__TEXT,__text) non-external +[MPAuthoringUtilities effectNeedsPreviousAttributesFromOptions:]
00000001d3436260 (__TEXT,__text) non-external +[MPAuthoringUtilities effectPadding:]
00000001d3436374 (__TEXT,__text) non-external +[MPAuthoringUtilities exportTransitionDurationFromOptions:]
00000001d3436308 (__TEXT,__text) non-external +[MPAuthoringUtilities exportTransitionIDFromOptions:]
00000001d3436fd8 (__TEXT,__text) non-external +[MPAuthoringUtilities fadeOutAudioFromOptions:]
00000001d34372ec (__TEXT,__text) non-external +[MPAuthoringUtilities fadeOutDurationFromOptions:]
00000001d3435554 (__TEXT,__text) non-external +[MPAuthoringUtilities fitMoviesWhenPossibleFromOptions:]
00000001d34377fc (__TEXT,__text) non-external +[MPAuthoringUtilities gapInformationFromOptions:]
00000001d3435e74 (__TEXT,__text) non-external +[MPAuthoringUtilities idFromPresetID:]
00000001d3434148 (__TEXT,__text) non-external +[MPAuthoringUtilities ignoreClusteringForImages:withOptions:]
00000001d3435870 (__TEXT,__text) non-external +[MPAuthoringUtilities ignoreTransitionListFromOptions:]
00000001d34359d8 (__TEXT,__text) non-external +[MPAuthoringUtilities introDurationFromOptions:]
00000001d3435cdc (__TEXT,__text) non-external +[MPAuthoringUtilities introEffectIDFromOptions:]
00000001d3437778 (__TEXT,__text) non-external +[MPAuthoringUtilities isLayerEffectAuthoredFromOptions:]
00000001d343795c (__TEXT,__text) non-external +[MPAuthoringUtilities kbCenterPointFromRect:]
00000001d3434830 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsAlwaysZoomInFromOptions:]
00000001d34348b4 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsBreaksFromOptions:]
00000001d34347bc (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsEndZoomLevelFromOptions:]
00000001d34349bc (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsLevelFromOptions:]
00000001d34345d0 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsLikelihoodFromOptions:]
00000001d3434a4c (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsOffsetTypeFromOptions:]
00000001d34346b8 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsPanFactorFromOptions:]
00000001d3434748 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsStartZoomLevelFromOptions:]
00000001d34356ec (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsZoomFactorFromOptions:]
00000001d3436070 (__TEXT,__text) non-external +[MPAuthoringUtilities lastPresetFromOptions:]
00000001d3434ad4 (__TEXT,__text) non-external +[MPAuthoringUtilities layerCanSkipScaleCalculation:withOptions:]
00000001d34363e4 (__TEXT,__text) non-external +[MPAuthoringUtilities layerDescriptionForLayerWithZIndex:forStyle:]
00000001d3436530 (__TEXT,__text) non-external +[MPAuthoringUtilities layerHasImagesFromOptions:]
00000001d34343c4 (__TEXT,__text) non-external +[MPAuthoringUtilities layerIndexFromOptions:]
00000001d3435050 (__TEXT,__text) non-external +[MPAuthoringUtilities layerOffsetFromOptions:]
00000001d3434d44 (__TEXT,__text) non-external +[MPAuthoringUtilities layerTimeScaleFromOptions:]
00000001d3437128 (__TEXT,__text) non-external +[MPAuthoringUtilities layerTypeFromOptions:]
00000001d3434ca0 (__TEXT,__text) non-external +[MPAuthoringUtilities lockTransitionDurationFromOptions:]
00000001d343629c (__TEXT,__text) non-external +[MPAuthoringUtilities loopTransitionIDFromOptions:]
00000001d34376f4 (__TEXT,__text) non-external +[MPAuthoringUtilities matchEffectsUsingTagsFromOptions:]
00000001d3434f00 (__TEXT,__text) non-external +[MPAuthoringUtilities matchPhasesWithTransitionFromOptions:]
00000001d343467c (__TEXT,__text) non-external +[MPAuthoringUtilities maxKenBurnsZoomFromOptions:]
00000001d3435c94 (__TEXT,__text) non-external +[MPAuthoringUtilities maxNumberOfSlidesToPreloadFromOptions:]
00000001d34366e8 (__TEXT,__text) non-external +[MPAuthoringUtilities maximumTransitionDurationFromOptions:]
00000001d3436794 (__TEXT,__text) non-external +[MPAuthoringUtilities minimumEffectDurationFromOptions:]
00000001d3435c50 (__TEXT,__text) non-external +[MPAuthoringUtilities minimumNumberOfDynamicSlidesToAddFromOptions:]
00000001d3436640 (__TEXT,__text) non-external +[MPAuthoringUtilities minimumTransitionDurationFromOptions:]
00000001d34368c4 (__TEXT,__text) non-external +[MPAuthoringUtilities movieVolumeFromOptions:]
00000001d3437a4c (__TEXT,__text) non-external +[MPAuthoringUtilities multilineSizeFactorFromOptions:]
00000001d3436bf4 (__TEXT,__text) non-external +[MPAuthoringUtilities needsFitMovieAttributeFromOptions:]
00000001d34365d8 (__TEXT,__text) non-external +[MPAuthoringUtilities numberOfLayersFromOptions:]
00000001d3435b04 (__TEXT,__text) non-external +[MPAuthoringUtilities outroDurationFromOptions:]
00000001d343591c (__TEXT,__text) non-external +[MPAuthoringUtilities outroEffectIDFromOptions:]
00000001d3436880 (__TEXT,__text) non-external +[MPAuthoringUtilities padTextOnlyEffects:]
00000001d343725c (__TEXT,__text) non-external +[MPAuthoringUtilities performFaceDetectionFromOptions:]
00000001d3436d0c (__TEXT,__text) non-external +[MPAuthoringUtilities pickEffectsEvenlyByIDWithOptions:]
00000001d3436c5c (__TEXT,__text) non-external +[MPAuthoringUtilities pickTransitionsEvenlyByIDWithOptions:]
00000001d3437488 (__TEXT,__text) non-external +[MPAuthoringUtilities portraitBreakDurationScaleFromOptions:]
00000001d34370ac (__TEXT,__text) non-external +[MPAuthoringUtilities presentationOrderFromOptions:]
00000001d3435ee8 (__TEXT,__text) non-external +[MPAuthoringUtilities presetIDFromPresetID:]
00000001d3435598 (__TEXT,__text) non-external +[MPAuthoringUtilities randomSeedFromOptions:]
00000001d3437198 (__TEXT,__text) non-external +[MPAuthoringUtilities reconfigureRangeFromOptions:]
00000001d343792c (__TEXT,__text) non-external +[MPAuthoringUtilities rectToFitIn:withAspectRatio:]
00000001d34371e0 (__TEXT,__text) non-external +[MPAuthoringUtilities regionOfInterestPickModeFromOptions:]
00000001d3436a5c (__TEXT,__text) non-external +[MPAuthoringUtilities reorderModeFromOptions:]
00000001d34357c8 (__TEXT,__text) non-external +[MPAuthoringUtilities repeatTransitionsFromOptions:]
00000001d3434de4 (__TEXT,__text) non-external +[MPAuthoringUtilities replaceAudioPlaylistFromOptions:]
00000001d3436ee0 (__TEXT,__text) non-external +[MPAuthoringUtilities requestGeneratedImagesFromOptions:]
00000001d3437374 (__TEXT,__text) non-external +[MPAuthoringUtilities scaleEffectsForPanoramasFromOptions:]
00000001d3435bac (__TEXT,__text) non-external +[MPAuthoringUtilities scaleOutroEffectFromOptions:]
00000001d34375e4 (__TEXT,__text) non-external +[MPAuthoringUtilities screenSizeFromOptions:]
00000001d3435f50 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeFramesFromOptions:]
00000001d34361b8 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeLoopTransitionFromOptions:]
00000001d343610c (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeSlideFiltersFromOptions:]
00000001d3435fc0 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeTransitionsFromOptions:]
00000001d3437020 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldDuckMoviesFromOptions:]
00000001d343438c (__TEXT,__text) non-external +[MPAuthoringUtilities styleFromOptions:]
00000001d34372c4 (__TEXT,__text) non-external +[MPAuthoringUtilities subtitlesFromOptions:]
00000001d3435d78 (__TEXT,__text) non-external +[MPAuthoringUtilities titleEffectFromOptions:]
00000001d34352c8 (__TEXT,__text) non-external +[MPAuthoringUtilities transitionDurationFromOptions:]
00000001d3435884 (__TEXT,__text) non-external +[MPAuthoringUtilities transitionListFromOptions:]
00000001d3434278 (__TEXT,__text) non-external +[MPAuthoringUtilities urlsFromPaths:]
00000001d3435390 (__TEXT,__text) non-external +[MPAuthoringUtilities useBestAspectRatioFromOptions:]
00000001d343550c (__TEXT,__text) non-external +[MPAuthoringUtilities useDefaultAudioFromOptions:]
00000001d34354c8 (__TEXT,__text) non-external +[MPAuthoringUtilities useImageOnlyTitleEffectFromOptions:]
00000001d3435a80 (__TEXT,__text) non-external +[MPAuthoringUtilities useIntroTransition:]
00000001d3437670 (__TEXT,__text) non-external +[MPAuthoringUtilities useLargestEffectsFromOptions:]
