0000000294631c90 (__DATA,__data) non-external _.compoundliteral
00000002262d174c (__TEXT,__text) non-external (was a private external) _PPParserParseSourceSwizzle
00000002262d23cc (__TEXT,__text) non-external (was a private external) _PPParserParseSourceVar
00000002262d5138 (__TEXT,__text) non-external (was a private external) _PPParserParseStatement
00000002262d28c8 (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleCode
00000002262d2710 (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleSourceVar
00000002262ce4d4 (__TEXT,__text) non-external (was a private external) _PPParserParseTempDeclaration
00000002262d2bd8 (__TEXT,__text) non-external (was a private external) _PPParserParseTextureSourceVar
00000002262d4f20 (__TEXT,__text) non-external (was a private external) _PPParserParseVersion
00000002262cb454 (__TEXT,__text) non-external (was a private external) _PPParserPreprocessString
00000002262cca6c (__TEXT,__text) non-external (was a private external) _PPParserReturnCharacter
00000002262ccca4 (__TEXT,__text) non-external (was a private external) _PPParserReturnPart
00000002262cbefc (__TEXT,__text) non-external (was a private external) _PPParserScopeAddIdentifier
00000002262cb2d0 (__TEXT,__text) non-external (was a private external) _PPParserScopeCreate
00000002262cbe4c (__TEXT,__text) non-external (was a private external) _PPParserScopeCreateFromScope
00000002262cbff8 (__TEXT,__text) non-external (was a private external) _PPParserScopeFindIdentifier
00000002262cc040 (__TEXT,__text) non-external (was a private external) _PPParserScopeFindMacro
00000002262cbf58 (__TEXT,__text) non-external (was a private external) _PPParserScopeFree
00000002262d5da8 (__TEXT,__text) external _PPParserSetLimits
00000002262d5d98 (__TEXT,__text) external _PPParserSetPrefs
00000002262cc108 (__TEXT,__text) non-external (was a private external) _PPParserShutdown
00000002262cdef8 (__TEXT,__text) non-external _PPParserValidateName
00000002263d42d0 (__TEXT,__text) external _PPStreamAddAddressUsage
00000002263d442c (__TEXT,__text) external _PPStreamAddAttribBinding
00000002263d4984 (__TEXT,__text) external _PPStreamAddConstant
00000002263d487c (__TEXT,__text) external _PPStreamAddLabel
00000002263d4588 (__TEXT,__text) external _PPStreamAddOperation
00000002263d4a84 (__TEXT,__text) external _PPStreamAddOption
00000002263d44a0 (__TEXT,__text) external _PPStreamAddOutputBinding
00000002263d4344 (__TEXT,__text) external _PPStreamAddParamBinding
00000002263d43b8 (__TEXT,__text) external _PPStreamAddParamBindingArray
00000002263d4a10 (__TEXT,__text) external _PPStreamAddRasterOp
00000002263d4020 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs0
00000002263d4090 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs1
00000002263d41e0 (__TEXT,__text) external _PPStreamAddTempUsage
00000002263d4254 (__TEXT,__text) external _PPStreamAddTempUsageArray
00000002263d4514 (__TEXT,__text) external _PPStreamAddTexImage
00000002263d54c8 (__TEXT,__text) external _PPStreamAttachStream
00000002263d36f8 (__TEXT,__text) external _PPStreamAttribBindingIsEqual
00000002263d5cc4 (__TEXT,__text) non-external (was a private external) _PPStreamChangeBranchTargets
00000002263d37e0 (__TEXT,__text) non-external (was a private external) _PPStreamChunkCompare
00000002263d41b0 (__TEXT,__text) non-external _PPStreamChunkCreate
00000002263d3720 (__TEXT,__text) non-external (was a private external) _PPStreamChunkGetStream
00000002263d39e4 (__TEXT,__text) external _PPStreamChunkListAddChunk
00000002263d3d20 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListChunkAtIndex
00000002263d3d9c (__TEXT,__text) non-external (was a private external) _PPStreamChunkListCompare
00000002263d389c (__TEXT,__text) external _PPStreamChunkListCreate
00000002263d38cc (__TEXT,__text) external _PPStreamChunkListCreateFromChunkList
00000002263d3a1c (__TEXT,__text) non-external (was a private external) _PPStreamChunkListFree
00000002263d3e10 (__TEXT,__text) external _PPStreamChunkListGetNextIndex
00000002263d3c30 (__TEXT,__text) external _PPStreamChunkListGetStream
00000002263d3ae0 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkAfterChunk
00000002263d3a7c (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkBeforeChunk
00000002263d3b34 (__TEXT,__text) external _PPStreamChunkListRemoveChunk
00000002263d3b8c (__TEXT,__text) external _PPStreamChunkListSort
00000002263d5b8c (__TEXT,__text) external _PPStreamCompare
00000002263d3f3c (__TEXT,__text) external _PPStreamCreate
00000002263d4104 (__TEXT,__text) external _PPStreamFree
00000002263d4af4 (__TEXT,__text) external _PPStreamGetStream
00000002263d5498 (__TEXT,__text) external _PPStreamGetTexOperationCount
00000002263d4788 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationAfterChunk
00000002263d4670 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationBeforeChunk
00000002263d370c (__TEXT,__text) external _PPStreamOutputBindingIsEqual
00000002263d5d80 (__TEXT,__text) non-external (was a private external) _PPStreamPackIndices
00000002263d36e4 (__TEXT,__text) external _PPStreamParamBindingIsEqual
00000002263d492c (__TEXT,__text) non-external (was a private external) _PPStreamRemoveLabelsAtOperationIndex
00000002263d63d8 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveOperation
00000002263d62bc (__TEXT,__text) non-external (was a private external) _PPStreamResolveBranches
00000002262d6fc4 (__TEXT,__text) external _PPStreamTokenAddBlockInfo
00000002262d7b5c (__TEXT,__text) external _PPStreamTokenAddRasterOps
00000002263d5378 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRasterRequirements
00000002263d4e6c (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRequirements
00000002262d7cfc (__TEXT,__text) external _PPStreamTokenAddTexImages
00000002262d7c64 (__TEXT,__text) external _PPStreamTokenAddTexUnitInfo
00000002263d546c (__TEXT,__text) external _PPStreamTokenAlloc
00000002262d80b4 (__TEXT,__text) external _PPStreamTokenConvertAttribBindings
00000002262d849c (__TEXT,__text) external _PPStreamTokenConvertOutputBindings
00000002262d82e8 (__TEXT,__text) external _PPStreamTokenConvertParamBindings
00000002262d83e0 (__TEXT,__text) external _PPStreamTokenConvertParamBindingsToGeneric
00000002263d5494 (__TEXT,__text) external _PPStreamTokenFree
00000002262d6f84 (__TEXT,__text) external _PPStreamTokenGetProgramOptions
00000002262d6f20 (__TEXT,__text) external _PPStreamTokenIsTrivialPassThrough
00000002263ff9b8 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.ARBFP
00000002263ffa78 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL1
00000002263ffb48 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL2
000000028fb7cda8 (__DATA_CONST,__const) non-external _PPStreamTokenIsTrivialPassThrough.streams
00000002262d856c (__TEXT,__text) external _PPStreamTokenValidateOptions
000000028fb7dae0 (__DATA_CONST,__const) non-external _PROMOTIONS
0000000226400c2c (__TEXT,__const) non-external _PROMOTIONS_110
0000000226400c30 (__TEXT,__const) non-external _PROMOTIONS_120
0000000226400c68 (__TEXT,__const) non-external _PROMOTIONS_400
0000000226400c40 (__TEXT,__const) non-external _PROMOTIONS_FP64
00000002263de590 (__TEXT,__text) non-external (was a private external) _ProgramFree
00000002263de4e8 (__TEXT,__text) non-external (was a private external) _ProgramNew
00000002263947ec (__TEXT,__text) non-external (was a private external) _ReadFromTokenStream
0000000226394184 (__TEXT,__text) non-external (was a private external) _ReadToken
00000002263e61dc (__TEXT,__text) non-external _RecordFunctionCall
000000022639400c (__TEXT,__text) non-external (was a private external) _RecordToken
00000002263dcfb0 (__TEXT,__text) non-external (was a private external) _RegisterAdd
00000002263dceec (__TEXT,__text) non-external (was a private external) _RegisterCanMerge
00000002263dbaf0 (__TEXT,__text) non-external (was a private external) _RegisterVectorCanMerge
00000002263dba64 (__TEXT,__text) non-external (was a private external) _RegisterVectorIsFixed
00000002263ddba0 (__TEXT,__text) non-external (was a private external) _Registerify
00000002263dcc80 (__TEXT,__text) non-external (was a private external) _RegistersCleanup
00000002263ddd3c (__TEXT,__text) non-external (was a private external) _RegistersFree
00000002263ddb40 (__TEXT,__text) non-external (was a private external) _RegistersInitialize
00000002263db7e8 (__TEXT,__text) non-external (was a private external) _RegistersMerge
00000002263dbb6c (__TEXT,__text) non-external (was a private external) _RegistersReInterfere
00000002263dbbfc (__TEXT,__text) non-external (was a private external) _RegistersReplace
00000002263e2a9c (__TEXT,__text) non-external (was a private external) _RepifyConstantLoopSimple
00000002262d5e3c (__TEXT,__text) non-external _ResizeGLDAttribBindings
0000000226394170 (__TEXT,__text) non-external (was a private external) _RewindTokenStream
0000000226392f44 (__TEXT,__text) non-external (was a private external) _ScanFromIncludeString
0000000226393158 (__TEXT,__text) non-external (was a private external) _ScanFromSimpleString
0000000226391e40 (__TEXT,__text) non-external (was a private external) _ScanFromString
000000022639335c (__TEXT,__text) non-external (was a private external) _ScanFromTokenPastedString
0000000226378c18 (__TEXT,__text) non-external (was a private external) _SetAddressRegister
0000000226384fec (__TEXT,__text) external _ShAttributeBindingRequest
0000000226384f3c (__TEXT,__text) external _ShCleanup
00000002263849a4 (__TEXT,__text) external _ShCompile
00000002263845bc (__TEXT,__text) external _ShConstructCompiler
0000000226384650 (__TEXT,__text) external _ShConstructLinker
0000000226384718 (__TEXT,__text) external _ShDestruct
000000022638499c (__TEXT,__text) external _ShFinalize
00000002263860ac (__TEXT,__text) external _ShFragDataBindingRequest
0000000226385830 (__TEXT,__text) external _ShGetActiveAttrib
00000002263854cc (__TEXT,__text) external _ShGetActiveBindableUniformBufferIndexOffsetFromLocation
00000002263854b4 (__TEXT,__text) external _ShGetActiveBindableUniformBufferSizeTable
0000000226385474 (__TEXT,__text) external _ShGetActiveNonbindableUniformsSize
0000000226387104 (__TEXT,__text) external _ShGetActiveSamplerLocations
00000002263876d4 (__TEXT,__text) external _ShGetActiveSubroutineName
0000000226387628 (__TEXT,__text) external _ShGetActiveSubroutineUniformName
00000002263874cc (__TEXT,__text) external _ShGetActiveSubroutineUniformiv
0000000226386f60 (__TEXT,__text) external _ShGetActiveUniform
000000022638680c (__TEXT,__text) external _ShGetActiveUniformBlockName
000000022638659c (__TEXT,__text) external _ShGetActiveUniformBlockiv
0000000226386a38 (__TEXT,__text) external _ShGetActiveUniformIndex
0000000226386cb0 (__TEXT,__text) external _ShGetActiveUniformName
00000002263859b4 (__TEXT,__text) external _ShGetAttribLocation
0000000226385730 (__TEXT,__text) external _ShGetBindableUniformTypeInfo
0000000226387778 (__TEXT,__text) external _ShGetCachedUniformIndexTable
0000000226387790 (__TEXT,__text) external _ShGetCachedUniformIndexTableSize
0000000226385a64 (__TEXT,__text) external _ShGetContextStateUniforms
0000000226386250 (__TEXT,__text) external _ShGetFragDataLocation
0000000226384f4c (__TEXT,__text) external _ShGetInfoLog
00000002263877a8 (__TEXT,__text) external _ShGetInteger
0000000226385d24 (__TEXT,__text) external _ShGetLinkerPPStream
0000000226387200 (__TEXT,__text) external _ShGetMaxActiveSubroutineLength
0000000226387268 (__TEXT,__text) external _ShGetMaxActiveSubroutineUniformLength
000000022638645c (__TEXT,__text) external _ShGetMaxActiveUniformBlockLength
0000000226386e78 (__TEXT,__text) external _ShGetMaxActiveUniformLength
00000002263857ac (__TEXT,__text) external _ShGetMaxAttributeLength
0000000226385fa0 (__TEXT,__text) external _ShGetMaxTransformFeedbackVaryingLength
000000022638518c (__TEXT,__text) external _ShGetNumActiveAttributes
00000002263869b4 (__TEXT,__text) non-external _ShGetNumActiveNonbindableUniforms
00000002263871f0 (__TEXT,__text) external _ShGetNumActiveSubroutineUniformLocations
000000022638716c (__TEXT,__text) external _ShGetNumActiveSubroutineUniforms
0000000226387144 (__TEXT,__text) external _ShGetNumActiveSubroutines
00000002263863ac (__TEXT,__text) external _ShGetNumActiveUniformBlocks
0000000226386d9c (__TEXT,__text) external _ShGetNumActiveUniforms
000000022638609c (__TEXT,__text) external _ShGetNumActiveVaryingsComponents
000000022638548c (__TEXT,__text) external _ShGetNumBindableUniformBuffers
0000000226385d04 (__TEXT,__text) external _ShGetPPStreamManager
0000000226385d14 (__TEXT,__text) external _ShGetShaderByteCode
000000022638741c (__TEXT,__text) external _ShGetSubroutineIndex
00000002263872ec (__TEXT,__text) external _ShGetSubroutineUniformLocation
0000000226386004 (__TEXT,__text) external _ShGetTransformFeedbackVarying
00000002263864e4 (__TEXT,__text) external _ShGetUniformBlockIndex
00000002263868c0 (__TEXT,__text) external _ShGetUniformIndex
0000000226385a74 (__TEXT,__text) external _ShGetUniformLocation
00000002263857a4 (__TEXT,__text) external _ShGetUniformPartitionInfo
0000000226384588 (__TEXT,__text) external _ShInitialize
0000000226387b24 (__TEXT,__text) external _ShInitializeLibrary
0000000226384ac8 (__TEXT,__text) external _ShLink
0000000226385c40 (__TEXT,__text) external _ShSetInitialUniformValue
0000000226387b28 (__TEXT,__text) external _ShTerminateLibrary
