000000020c78db4c (__TEXT,__text) non-external _Done_iODBC
000000020c7ac4d4 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
000000020c79289c (__TEXT,__text) external _SQLDrivers
000000020c7929e4 (__TEXT,__text) external _SQLDriversA
000000020c792b2c (__TEXT,__text) external _SQLDriversW
000000020c7924b8 (__TEXT,__text) non-external _SQLDrivers_Internal
000000021b0cbe1c (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
000000021b0cbe48 (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
000000021b0cbe50 (__DATA,__bss) non-external _SQLDrivers_Internal.sect
000000020c79d018 (__TEXT,__text) external _SQLEndTran
000000020c78e2cc (__TEXT,__text) external _SQLError
000000020c78e3f4 (__TEXT,__text) external _SQLErrorA
000000020c78e51c (__TEXT,__text) external _SQLErrorW
000000020c78a390 (__TEXT,__text) external _SQLExecDirect
000000020c78a4e0 (__TEXT,__text) external _SQLExecDirectA
000000020c78a630 (__TEXT,__text) external _SQLExecDirectW
000000020c78a134 (__TEXT,__text) non-external _SQLExecDirect_Internal
000000020c789e6c (__TEXT,__text) external _SQLExecute
000000020c78b578 (__TEXT,__text) external _SQLExtendedFetch
000000020c78b2c0 (__TEXT,__text) external _SQLFetch
000000020c79d2c8 (__TEXT,__text) external _SQLFetchScroll
000000020c78b104 (__TEXT,__text) non-external _SQLFetch_Internal
000000020c782e28 (__TEXT,__text) external _SQLForeignKeys
000000020c7830e4 (__TEXT,__text) external _SQLForeignKeysA
000000020c7833a0 (__TEXT,__text) external _SQLForeignKeysW
000000020c782ad4 (__TEXT,__text) non-external _SQLForeignKeys_Internal
000000020c78c23c (__TEXT,__text) external _SQLFreeConnect
000000020c78c18c (__TEXT,__text) non-external _SQLFreeConnect_Internal
000000020c78daa0 (__TEXT,__text) external _SQLFreeEnv
000000020c78da14 (__TEXT,__text) non-external _SQLFreeEnv_Internal
000000020c797b14 (__TEXT,__text) external _SQLFreeHandle
000000020c790a08 (__TEXT,__text) external _SQLFreeStmt
000000020c790800 (__TEXT,__text) non-external _SQLFreeStmt_Internal
000000020c7a907c (__TEXT,__text) non-external _SQLGetConfigMode
000000020c79a438 (__TEXT,__text) external _SQLGetConnectAttr
000000020c79a8e8 (__TEXT,__text) external _SQLGetConnectAttrA
000000020c79aa3c (__TEXT,__text) external _SQLGetConnectAttrW
000000020c79a58c (__TEXT,__text) non-external _SQLGetConnectAttr_Internal
000000020c78d050 (__TEXT,__text) external _SQLGetConnectOption
000000020c78d17c (__TEXT,__text) external _SQLGetConnectOptionA
000000020c78d2a8 (__TEXT,__text) external _SQLGetConnectOptionW
000000020c795af0 (__TEXT,__text) external _SQLGetCursorName
000000020c795c58 (__TEXT,__text) external _SQLGetCursorNameA
000000020c795dc0 (__TEXT,__text) external _SQLGetCursorNameW
000000020c7958fc (__TEXT,__text) non-external _SQLGetCursorName_Internal
000000020c78b6fc (__TEXT,__text) external _SQLGetData
000000020c79adfc (__TEXT,__text) external _SQLGetDescField
000000020c79af70 (__TEXT,__text) external _SQLGetDescFieldA
000000020c79b0e4 (__TEXT,__text) external _SQLGetDescFieldW
000000020c79ab90 (__TEXT,__text) non-external _SQLGetDescField_Internal
000000020c79ba00 (__TEXT,__text) external _SQLGetDescRec
000000020c79bc34 (__TEXT,__text) external _SQLGetDescRecA
000000020c79be68 (__TEXT,__text) external _SQLGetDescRecW
000000020c79b808 (__TEXT,__text) non-external _SQLGetDescRec_Internal
000000020c78fde0 (__TEXT,__text) external _SQLGetDiagField
000000020c78feec (__TEXT,__text) external _SQLGetDiagFieldA
000000020c78fff8 (__TEXT,__text) external _SQLGetDiagFieldW
000000020c78ef84 (__TEXT,__text) non-external _SQLGetDiagField_Internal
000000020c78ec24 (__TEXT,__text) external _SQLGetDiagRec
000000020c78ed44 (__TEXT,__text) external _SQLGetDiagRecA
000000020c78ee64 (__TEXT,__text) external _SQLGetDiagRecW
000000020c78e644 (__TEXT,__text) non-external _SQLGetDiagRec_Internal
000000020c798254 (__TEXT,__text) external _SQLGetEnvAttr
000000020c79374c (__TEXT,__text) external _SQLGetFunctions
000000020c793350 (__TEXT,__text) external _SQLGetInfo
000000020c7934a4 (__TEXT,__text) external _SQLGetInfoA
000000020c7935f8 (__TEXT,__text) external _SQLGetInfoW
000000020c792d4c (__TEXT,__text) non-external _SQLGetInfo_Internal
000000020c7abef0 (__TEXT,__text) non-external _SQLGetKeywordValue
000000020c7abf3c (__TEXT,__text) non-external _SQLGetKeywordValueW
000000020c7aba34 (__TEXT,__text) non-external _SQLGetPrivateProfileString
000000020c7abc34 (__TEXT,__text) non-external _SQLGetPrivateProfileStringW
000000020c798acc (__TEXT,__text) external _SQLGetStmtAttr
000000020c798c44 (__TEXT,__text) external _SQLGetStmtAttrA
000000020c798dbc (__TEXT,__text) external _SQLGetStmtAttrW
000000020c798438 (__TEXT,__text) non-external _SQLGetStmtAttr_Internal
000000020c791250 (__TEXT,__text) external _SQLGetStmtOption
000000020c79139c (__TEXT,__text) external _SQLGetStmtOptionA
000000020c791070 (__TEXT,__text) non-external _SQLGetStmtOption_Internal
000000020c77fce8 (__TEXT,__text) external _SQLGetTypeInfo
000000020c77fe28 (__TEXT,__text) external _SQLGetTypeInfoA
000000020c77ff68 (__TEXT,__text) external _SQLGetTypeInfoW
000000020c77fb28 (__TEXT,__text) non-external _SQLGetTypeInfo_Internal
000000020c78ba74 (__TEXT,__text) external _SQLMoreResults
000000020c789564 (__TEXT,__text) external _SQLNativeSql
000000020c7896d0 (__TEXT,__text) external _SQLNativeSqlA
000000020c78983c (__TEXT,__text) external _SQLNativeSqlW
000000020c7892f0 (__TEXT,__text) non-external _SQLNativeSql_Internal
000000020c78ac80 (__TEXT,__text) external _SQLNumParams
000000020c79620c (__TEXT,__text) external _SQLNumResultCols
000000020c78a9f8 (__TEXT,__text) external _SQLParamData
000000020c794e54 (__TEXT,__text) external _SQLParamOptions
000000020c7940c0 (__TEXT,__text) external _SQLPrepare
000000020c794210 (__TEXT,__text) external _SQLPrepareA
000000020c794360 (__TEXT,__text) external _SQLPrepareW
000000020c793eac (__TEXT,__text) non-external _SQLPrepare_Internal
000000020c78388c (__TEXT,__text) external _SQLPrimaryKeys
000000020c783a34 (__TEXT,__text) external _SQLPrimaryKeysA
000000020c783bdc (__TEXT,__text) external _SQLPrimaryKeysW
000000020c78365c (__TEXT,__text) non-external _SQLPrimaryKeys_Internal
000000020c784018 (__TEXT,__text) external _SQLProcedureColumns
000000020c7841fc (__TEXT,__text) external _SQLProcedureColumnsA
000000020c7843e0 (__TEXT,__text) external _SQLProcedureColumnsW
000000020c783d84 (__TEXT,__text) non-external _SQLProcedureColumns_Internal
000000020c7847f4 (__TEXT,__text) external _SQLProcedures
000000020c78499c (__TEXT,__text) external _SQLProceduresA
000000020c784b44 (__TEXT,__text) external _SQLProceduresW
000000020c7845c4 (__TEXT,__text) non-external _SQLProcedures_Internal
000000020c78a780 (__TEXT,__text) external _SQLPutData
000000020c7a8770 (__TEXT,__text) non-external _SQLReadFileDSN
000000020c7a88f8 (__TEXT,__text) non-external _SQLReadFileDSNW
000000020c795f28 (__TEXT,__text) external _SQLRowCount
000000020c7abf88 (__TEXT,__text) non-external _SQLSetConfigMode
000000020c799e44 (__TEXT,__text) external _SQLSetConnectAttr
000000020c79a1b0 (__TEXT,__text) external _SQLSetConnectAttrA
000000020c79a2f4 (__TEXT,__text) external _SQLSetConnectAttrW
000000020c799f88 (__TEXT,__text) non-external _SQLSetConnectAttr_Internal
000000020c78c8dc (__TEXT,__text) external _SQLSetConnectOption
000000020c78ca08 (__TEXT,__text) external _SQLSetConnectOptionA
000000020c78cb34 (__TEXT,__text) external _SQLSetConnectOptionW
000000020c794664 (__TEXT,__text) external _SQLSetCursorName
000000020c7947b4 (__TEXT,__text) external _SQLSetCursorNameA
000000020c794904 (__TEXT,__text) external _SQLSetCursorNameW
000000020c7944b0 (__TEXT,__text) non-external _SQLSetCursorName_Internal
000000020c79b3f4 (__TEXT,__text) external _SQLSetDescField
000000020c79b550 (__TEXT,__text) external _SQLSetDescFieldA
000000020c79b6ac (__TEXT,__text) external _SQLSetDescFieldW
000000020c79b258 (__TEXT,__text) non-external _SQLSetDescField_Internal
000000020c79c09c (__TEXT,__text) external _SQLSetDescRec
000000020c798040 (__TEXT,__text) external _SQLSetEnvAttr
000000020c798160 (__TEXT,__text) non-external _SQLSetEnvAttr_Internal
000000020c7ac438 (__TEXT,__text) non-external _SQLSetKeywordValue
000000020c7ac444 (__TEXT,__text) non-external _SQLSetKeywordValueW
000000020c795568 (__TEXT,__text) external _SQLSetParam
000000020c78be74 (__TEXT,__text) external _SQLSetPos
000000020c795104 (__TEXT,__text) external _SQLSetScrollOptions
000000020c799a0c (__TEXT,__text) external _SQLSetStmtAttr
000000020c799b74 (__TEXT,__text) external _SQLSetStmtAttrA
000000020c799cdc (__TEXT,__text) external _SQLSetStmtAttrW
000000020c798f34 (__TEXT,__text) non-external _SQLSetStmtAttr_Internal
000000020c790b54 (__TEXT,__text) external _SQLSetStmtOption
000000020c790f24 (__TEXT,__text) external _SQLSetStmtOptionA
000000020c790ca0 (__TEXT,__text) non-external _SQLSetStmtOption_Internal
000000020c780338 (__TEXT,__text) external _SQLSpecialColumns
000000020c780578 (__TEXT,__text) external _SQLSpecialColumnsA
000000020c7807b8 (__TEXT,__text) external _SQLSpecialColumnsW
000000020c7800a8 (__TEXT,__text) non-external _SQLSpecialColumns_Internal
000000020c780c68 (__TEXT,__text) external _SQLStatistics
000000020c780e4c (__TEXT,__text) external _SQLStatisticsA
000000020c781030 (__TEXT,__text) external _SQLStatisticsW
000000020c7809f8 (__TEXT,__text) non-external _SQLStatistics_Internal
000000020c784f1c (__TEXT,__text) external _SQLTablePrivileges
000000020c7850c4 (__TEXT,__text) external _SQLTablePrivilegesA
000000020c78526c (__TEXT,__text) external _SQLTablePrivilegesW
000000020c784cec (__TEXT,__text) non-external _SQLTablePrivileges_Internal
000000020c7814a8 (__TEXT,__text) external _SQLTables
000000020c78168c (__TEXT,__text) external _SQLTablesA
000000020c781870 (__TEXT,__text) external _SQLTablesW
000000020c781214 (__TEXT,__text) non-external _SQLTables_Internal
000000020c78d6e0 (__TEXT,__text) external _SQLTransact
000000020c78d3d4 (__TEXT,__text) non-external _SQLTransact_Internal
000000020c7a9188 (__TEXT,__text) non-external _SQLValidDSN
000000020c7a9210 (__TEXT,__text) non-external _SQLValidDSNW
000000020c7a8534 (__TEXT,__text) non-external _SQLWriteFileDSN
000000020c7a85f0 (__TEXT,__text) non-external _SQLWriteFileDSNW
000000020c7ac120 (__TEXT,__text) non-external _SQLWritePrivateProfileString
000000020c7ac2b8 (__TEXT,__text) non-external _SQLWritePrivateProfileStringW
000000020c791f9c (__TEXT,__text) non-external _SectSorter
000000020c7a90d0 (__TEXT,__text) non-external _ValidDSN
000000020c7a9130 (__TEXT,__text) non-external _ValidDSNW
000000020c7abfe8 (__TEXT,__text) non-external _WritePrivateProfileString
                 (undefined) external __DefaultRuneLocale (from libSystem)
000000020c797f00 (__TEXT,__text) non-external __SQLFreeHandle_DESC
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
000000020c7aa364 (__TEXT,__text) non-external ___iodbcdm_cfg_poolalloc
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___toupper (from libSystem)
000000021b0cbe88 (__DATA,__common) non-external __iodbc_env_counter
000000020c7a8ab0 (__TEXT,__text) non-external __iodbcadm_getinifile
000000020c79197c (__TEXT,__text) non-external __iodbcdm_BindColumn
000000020c791a7c (__TEXT,__text) non-external __iodbcdm_ConvBindData
000000020c78b3f4 (__TEXT,__text) non-external __iodbcdm_ExtendedFetch
000000020c7907ac (__TEXT,__text) non-external __iodbcdm_FreeStmtParams
000000020c78cc60 (__TEXT,__text) non-external __iodbcdm_GetConnectOption
000000020c7960e4 (__TEXT,__text) non-external __iodbcdm_NumResultCols
000000020c7909cc (__TEXT,__text) non-external __iodbcdm_RemoveBind
000000020c78c324 (__TEXT,__text) non-external __iodbcdm_SetConnectOption
000000020c785660 (__TEXT,__text) non-external __iodbcdm_SetConnectOption_init
000000020c78bd10 (__TEXT,__text) non-external __iodbcdm_SetPos
000000020c791a14 (__TEXT,__text) non-external __iodbcdm_UnBindColumn
000000020c7916f8 (__TEXT,__text) non-external __iodbcdm_alloc_param
000000021b0cbe90 (__DATA,__common) non-external __iodbcdm_attr_connection_pooling
000000020c791b44 (__TEXT,__text) non-external __iodbcdm_bindConv_A2W
000000020c77fc10 (__TEXT,__text) non-external __iodbcdm_cata_state_ok
000000020c77fc84 (__TEXT,__text) non-external __iodbcdm_cata_state_tr
000000020c7aaa28 (__TEXT,__text) non-external __iodbcdm_cfg_commit
000000020c7a9cb8 (__TEXT,__text) non-external __iodbcdm_cfg_done
000000020c7aa508 (__TEXT,__text) non-external __iodbcdm_cfg_find
000000020c7aa194 (__TEXT,__text) non-external __iodbcdm_cfg_freeimage
000000020c7a9c0c (__TEXT,__text) non-external __iodbcdm_cfg_init
000000020c793c68 (__TEXT,__text) non-external __iodbcdm_cfg_init_str
000000020c7aaca8 (__TEXT,__text) non-external __iodbcdm_cfg_next_section
000000020c7aa43c (__TEXT,__text) non-external __iodbcdm_cfg_nextentry
000000020c793cec (__TEXT,__text) non-external __iodbcdm_cfg_parse_str
000000020c793b38 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str_Internal
000000020c7a9cfc (__TEXT,__text) non-external __iodbcdm_cfg_refresh
000000020c7aa410 (__TEXT,__text) non-external __iodbcdm_cfg_rewind
000000020c7880a8 (__TEXT,__text) non-external __iodbcdm_cfg_savefile
000000020c7aacf0 (__TEXT,__text) non-external __iodbcdm_cfg_search_init
000000020c7aa274 (__TEXT,__text) non-external __iodbcdm_cfg_storeentry
000000020c793d64 (__TEXT,__text) non-external __iodbcdm_cfg_to_string
000000020c7aa5fc (__TEXT,__text) non-external __iodbcdm_cfg_write
000000020c7a8d04 (__TEXT,__text) non-external __iodbcdm_check_for_string
000000020c787e48 (__TEXT,__text) non-external __iodbcdm_con_settracing
000000020c79179c (__TEXT,__text) non-external __iodbcdm_conv_param_A2W
000000020c79188c (__TEXT,__text) non-external __iodbcdm_conv_param_W2A
000000020c787f6c (__TEXT,__text) non-external __iodbcdm_dbcdelayset
000000020c789d54 (__TEXT,__text) non-external __iodbcdm_dllclose
000000020c789dc4 (__TEXT,__text) non-external __iodbcdm_dllerror
000000020c789c9c (__TEXT,__text) non-external __iodbcdm_dllopen
000000020c789c98 (__TEXT,__text) non-external __iodbcdm_dllproc
000000020c789df8 (__TEXT,__text) non-external __iodbcdm_do_cursoropen
000000020c7858cc (__TEXT,__text) non-external __iodbcdm_driverload
000000020c785f24 (__TEXT,__text) non-external __iodbcdm_driverunload
000000020c7906ac (__TEXT,__text) non-external __iodbcdm_dropstmt
000000020c78c860 (__TEXT,__text) non-external __iodbcdm_drvopt_store
000000020c785480 (__TEXT,__text) non-external __iodbcdm_finish_disconnect
000000020c78db50 (__TEXT,__text) non-external __iodbcdm_freesqlerrlist
000000020c789b4c (__TEXT,__text) non-external __iodbcdm_getInfo_init
000000020c7a8ddc (__TEXT,__text) non-external __iodbcdm_getdsnfile
000000020c789c38 (__TEXT,__text) non-external __iodbcdm_getproc
000000021b0cbe30 (__DATA,__bss) non-external __iodbcdm_initialized
000000020c7aaf08 (__TEXT,__text) non-external __iodbcdm_list_entries
000000020c7aae3c (__TEXT,__text) non-external __iodbcdm_list_sections
000000020c7963b4 (__TEXT,__text) non-external __iodbcdm_map_c_type
000000020c796348 (__TEXT,__text) non-external __iodbcdm_map_sql_type
000000020c7899a8 (__TEXT,__text) non-external __iodbcdm_pool_conn_dead
000000020c785414 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn
000000020c7ac450 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn.cold.1
000000020c787c0c (__TEXT,__text) non-external __iodbcdm_pool_get_conn
000000020c7882e8 (__TEXT,__text) non-external __iodbcdm_pool_put_conn
000000020c78554c (__TEXT,__text) non-external __iodbcdm_pool_reset_conn_attrs
000000020c78822c (__TEXT,__text) non-external __iodbcdm_pool_set_retry_wait
000000020c78db80 (__TEXT,__text) non-external __iodbcdm_pushsqlerr
000000020c7a8d68 (__TEXT,__text) non-external __iodbcdm_remove_quotes
000000020c789dc8 (__TEXT,__text) non-external __iodbcdm_safe_unload
000000020c78dbf8 (__TEXT,__text) non-external __iodbcdm_sqlerror
000000020c7a8fe0 (__TEXT,__text) non-external __iodbcdm_strlcat
000000020c7a8f84 (__TEXT,__text) non-external __iodbcdm_strlcpy
000000020c78d4d4 (__TEXT,__text) non-external __iodbcdm_transact
0000000217bce728 (__DATA_CONST,__const) non-external __mask_CONVERT
0000000217bcf300 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES1
0000000217bcf3a8 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES2
0000000217bce7e8 (__DATA_CONST,__const) non-external __mask_CURSOR_BEHAVIOR
0000000217bce878 (__DATA_CONST,__const) non-external __mask_IDENTIFIER_CASE
0000000217bceeb0 (__DATA_CONST,__const) non-external __mask_SQL_AGGREGATE_FUNCTIONS
0000000217bceee8 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_DOMAIN
0000000217bcebe8 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_TABLE
0000000217bcef38 (__DATA_CONST,__const) non-external __mask_SQL_ASYNC_MODE
0000000217bcef50 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_ROW_COUNT
0000000217bcef70 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_SUPPORT
0000000217bcec90 (__DATA_CONST,__const) non-external __mask_SQL_BOOKMARK_PERSISTENCE
0000000217bcef98 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_LOCATION
0000000217bcefb0 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_USAGE
0000000217bce700 (__DATA_CONST,__const) non-external __mask_SQL_CONCAT_NULL_BEHAVIOR
0000000217bce710 (__DATA_CONST,__const) non-external __mask_SQL_CONVERT_FUNCTIONS
0000000217bcebc0 (__DATA_CONST,__const) non-external __mask_SQL_CORRELATION_NAME
0000000217bcefe0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_ASSERTION
0000000217bcf028 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_CHARACTER_SET
0000000217bcf048 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_COLLATION
0000000217bcf058 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_DOMAIN
0000000217bcf0a8 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_SCHEMA
0000000217bcf0c8 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TABLE
0000000217bcf140 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TRANSLATION
0000000217bcf150 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_VIEW
0000000217bcf178 (__DATA_CONST,__const) non-external __mask_SQL_CURSOR_SENSITIVITY
0000000217bcf190 (__DATA_CONST,__const) non-external __mask_SQL_DATETIME_LITERALS
0000000217bcf210 (__DATA_CONST,__const) non-external __mask_SQL_DDL_INDEX
0000000217bcf240 (__DATA_CONST,__const) non-external __mask_SQL_DROP_ASSERTION
0000000217bcf250 (__DATA_CONST,__const) non-external __mask_SQL_DROP_CHARACTER_SET
0000000217bcf260 (__DATA_CONST,__const) non-external __mask_SQL_DROP_COLLATION
0000000217bcf270 (__DATA_CONST,__const) non-external __mask_SQL_DROP_DOMAIN
0000000217bcf290 (__DATA_CONST,__const) non-external __mask_SQL_DROP_SCHEMA
0000000217bcf2b0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TABLE
0000000217bcf2d0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TRANSLATION
0000000217bcf2e0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_VIEW
0000000217bcf228 (__DATA_CONST,__const) non-external __mask_SQL_DTC_TRANSITION_COST
0000000217bce830 (__DATA_CONST,__const) non-external __mask_SQL_FETCH_DIRECTION
0000000217bced18 (__DATA_CONST,__const) non-external __mask_SQL_FILE_USAGE
0000000217bcecd0 (__DATA_CONST,__const) non-external __mask_SQL_GETDATA_EXTENSIONS
0000000217bcecf8 (__DATA_CONST,__const) non-external __mask_SQL_GROUP_BY
0000000217bcf438 (__DATA_CONST,__const) non-external __mask_SQL_INDEX_KEYWORDS
0000000217bcf450 (__DATA_CONST,__const) non-external __mask_SQL_INFO_SCHEMA_VIEWS
0000000217bcf510 (__DATA_CONST,__const) non-external __mask_SQL_INSERT_STATEMENT
0000000217bced30 (__DATA_CONST,__const) non-external __mask_SQL_LOCK_TYPES
0000000217bcebd8 (__DATA_CONST,__const) non-external __mask_SQL_NON_NULLABLE_COLUMNS
0000000217bced50 (__DATA_CONST,__const) non-external __mask_SQL_NULL_COLLATION
0000000217bce8a0 (__DATA_CONST,__const) non-external __mask_SQL_NUMERIC_FUNCTIONS
0000000217bce968 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_API_CONFORMANCE
0000000217bcf530 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_INTERFACE_CONFORMANCE
0000000217bce980 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SAG_CLI_CONFORMANCE
0000000217bce990 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SQL_CONFORMANCE
0000000217bced68 (__DATA_CONST,__const) non-external __mask_SQL_OJ_CAPABILITIES
0000000217bcf550 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_ROW_COUNTS
0000000217bcf568 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_SELECTS
0000000217bcedd8 (__DATA_CONST,__const) non-external __mask_SQL_POSITIONED_STATEMENTS
0000000217bceda8 (__DATA_CONST,__const) non-external __mask_SQL_POS_OPERATIONS
0000000217bcf588 (__DATA_CONST,__const) non-external __mask_SQL_SCHEMA_USAGE
0000000217bce9a8 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_CONCURRENCY
0000000217bce9d0 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_OPTIONS
0000000217bcf5e0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_DATETIME_FUNCTIONS
0000000217bcf600 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_DELETE_RULE
0000000217bcf628 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_UPDATE_RULE
0000000217bcf650 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_GRANT
0000000217bcf6c0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_NUMERIC_VALUE_FUNCTIONS
0000000217bcf6f8 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_PREDICATES
0000000217bcf770 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_RELATIONAL_JOIN_OPERATORS
0000000217bcf7c8 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_REVOKE
0000000217bcf848 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_ROW_VALUE_CONSTRUCTOR
0000000217bcf870 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_STRING_FUNCTIONS
0000000217bcf8b8 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_VALUE_EXPRESSIONS
