000000023644ba78 (__TEXT,__text) non-external +[CBOR cborFalse]
0000000294fcfb44 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._initializationVector
0000000294fcfb40 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._keyIdentifier
0000000294fcfb48 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._partialInitializationVector
0000000294fcfb30 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._protectedHeadererDictionary
0000000294fcfb2c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._type
0000000294fcfb68 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._algorithm
0000000294fcfb74 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._baseInitializationVector
0000000294fcfb50 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._cborObj
0000000294fcfb54 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._curveID
0000000294fcfb6c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._identifier
0000000294fcfb70 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._operations
0000000294fcfb60 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramD
0000000294fcfb58 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramX
0000000294fcfb5c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramY
0000000294fcfb78 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._symmetricKey
0000000294fcfb64 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._type
0000000294fcfb4c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE_Mac0._mac
000000029864b9e0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_CBOR
000000029864ba30 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_COSE
000000029864bb20 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_COSEKey
000000029864bad0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_COSE_Mac0
000000029864ba80 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_COSE_Sign1
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
000000029864be70 (__DATA_DIRTY,__data) non-external (was a private external) _OBJC_METACLASS_$__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
                 (undefined) external _OBJC_METACLASS_$__TtCs12_SwiftObject (from libswiftCore)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
000000029afd9738 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibrary11CBORDecoder
000000029afd99d8 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibrary11CBOREncoder
000000029afd9ad0 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
000000029864b890 (__DATA_DIRTY,__objc_data) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
000000029afd9ba8 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
000000029afd9830 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
0000000236451048 (__TEXT,__objc_methlist) non-external __INSTANCE_METHODS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
000000029afd9710 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibrary11CBORDecoder
000000029afd9970 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibrary11CBOREncoder
000000029afd9a68 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
000000029afd98c0 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
000000029afd9b60 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
000000029afd97c8 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
000000029afd96c8 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibrary11CBORDecoder
000000029afd9928 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibrary11CBOREncoder
000000029afd9a20 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
000000029afd9878 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
000000029afd9b18 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
000000029afd9780 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
                 (undefined) external __NSConcreteStackBlock (from libSystem)
000000029afd9bf0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSData_$_CBOR
0000000236451068 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CBOR(Decoder|Decoder_Private|COSE|COSEKey)
00000002364511d0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NSData(CBOR|COSE|COSEKey)
0000000236451208 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CBOR(Decoder|Decoder_Private|COSE|COSEKey)
00000002364513b8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE
0000000236451480 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSEKey
0000000236451570 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE_Mac0
00000002364515c0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE_Sign1
000000029afd9d80 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CBOR
000000029afda030 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSE
000000029afda478 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSEKey
000000029afda3a8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSE_Mac0
000000029afd9e48 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CBOR
000000029afda158 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE
000000029afda5e0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSEKey
000000029afda3d0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE_Mac0
000000029afda2b0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE_Sign1
000000029afd9c30 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
0000000236451638 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
0000000236451650 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
0000000236451740 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
000000029afd9d18 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
000000029afd9c78 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
000000029afd9d20 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CBOR
000000029afd9fa0 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CBOR
000000029afda220 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE
000000029afda6b8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSEKey
000000029afda3e8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE_Mac0
000000029afda318 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE_Sign1
000000028f746210 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSCopying
000000028f746208 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSObject
000000029afd9d38 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CBOR
000000029afd9fe8 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE
000000029afda430 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSEKey
000000029afda360 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE_Mac0
000000029afda268 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE_Sign1
0000000294fcfe38 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSCopying
0000000294fcfdd8 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
000000028f746830 (__DATA_CONST,__objc_protorefs) non-external (was a private external) __OBJC_PROTOCOL_REFERENCE_$_NSObject
                 (undefined) external __Unwind_Resume (from libSystem)
000000023644cee4 (__TEXT,__text) non-external ___30-[COSE _searchForHeaderLabel:]_block_invoke
000000023644d0a4 (__TEXT,__text) non-external ___30-[COSE _searchForHeaderLabel:]_block_invoke.62
00000002364466f8 (__TEXT,__text) non-external ___51+[CBOR(Encoder) encodeMajorType5:encodingKeyOrder:]_block_invoke
000000023644cecc (__TEXT,__text) non-external ___Block_byref_object_copy_
000000023644cedc (__TEXT,__text) non-external ___Block_byref_object_dispose_
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) external ___NSDictionary0__struct (from CoreFoundation)
                 (undefined) external ___assert_rtn (from libSystem)
000000028f746188 (__DATA_CONST,__const) non-external ___block_descriptor_40_e23_q24?0"CBOR"8"CBOR"16l
000000029afd8e58 (__AUTH_CONST,__const) non-external ___block_descriptor_56_e8_32s40r48r_e27_v32?0"CBOR"8"CBOR"16^B24l
                 (undefined) external ___chkstk_darwin (from libSystem)
000000023644d000 (__TEXT,__text) non-external ___copy_helper_block_e8_32s40r48r
000000023644d058 (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40r48r
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___strlcpy_chk (from libSystem)
0000000236432848 (__TEXT,__text) non-external ___swift_allocate_boxed_opaque_existential_1Tm
0000000236432d3c (__TEXT,__text) non-external (was a private external) ___swift_allocate_value_buffer
00000002364327b4 (__TEXT,__text) non-external (was a private external) ___swift_deallocate_boxed_opaque_existential_1
0000000236432a2c (__TEXT,__text) non-external (was a private external) ___swift_destroy_boxed_opaque_existential_1
0000000236432a2c (__TEXT,__text) non-external ___swift_destroy_boxed_opaque_existential_1Tm
00000002364328d8 (__TEXT,__text) non-external (was a private external) ___swift_instantiateConcreteTypeFromMangledNameAbstractV2
0000000236430ba0 (__TEXT,__text) non-external (was a private external) ___swift_instantiateConcreteTypeFromMangledNameV2
0000000236433de8 (__TEXT,__text) non-external (was a private external) ___swift_instantiateGenericMetadata
00000002364462bc (__TEXT,__text) non-external (was a private external) ___swift_memcpy16_8
0000000236444168 (__TEXT,__text) non-external (was a private external) ___swift_memcpy17_8
000000023643b5f4 (__TEXT,__text) non-external (was a private external) ___swift_memcpy1_1
0000000236432ea8 (__TEXT,__text) non-external (was a private external) ___swift_memcpy24_8
000000023643bbec (__TEXT,__text) non-external (was a private external) ___swift_memcpy25_8
0000000236432f44 (__TEXT,__text) non-external (was a private external) ___swift_memcpy32_8
000000023643b468 (__TEXT,__text) non-external (was a private external) ___swift_memcpy8_8
0000000236433cf4 (__TEXT,__text) non-external (was a private external) ___swift_mutable_project_boxed_opaque_existential_1
000000023643b600 (__TEXT,__text) non-external (was a private external) ___swift_noop_void_return
0000000236432804 (__TEXT,__text) non-external (was a private external) ___swift_project_boxed_opaque_existential_1
0000000236430bf4 (__TEXT,__text) non-external (was a private external) ___swift_project_value_buffer
0000000236451ec0 (__TEXT,__const) non-external (was a private external) ___swift_reflection_version
0000000236452f50 (__TEXT,__const) non-external ___unnamed_2
00000002364529b8 (__TEXT,__const) non-external ___unnamed_34
0000000236451a38 (__TEXT,__const) non-external ___unnamed_9
000000023644a958 (__TEXT,__text) non-external __getRFC3339DateFormatter
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_fault_impl (from libSystem)
                 (undefined) external __swiftEmptyArrayStorage (from libswiftCore)
                 (undefined) external __swiftEmptyDictionarySingleton (from libswiftCore)
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftCoreFoundation (from libswiftCoreFoundation)
000000028f746130 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftCoreFoundation_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftDispatch (from libswiftDispatch)
000000028f746120 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftDispatch_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftFoundation (from Foundation)
