00007ffb0b30a5c3 (__TEXT,__text) external _CGLGetCurrentContext
00007ffb0b307b93 (__TEXT,__text) external _glClientActiveTextureARB
00007ffb0b305b2c (__TEXT,__text) external _glClientWaitSync
00007ffb0b3005ef (__TEXT,__text) external _glClipPlane
00007ffb0b30060e (__TEXT,__text) external _glColor3b
00007ffb0b30062e (__TEXT,__text) external _glColor3bv
00007ffb0b30064b (__TEXT,__text) external _glColor3d
00007ffb0b300665 (__TEXT,__text) external _glColor3dv
00007ffb0b300682 (__TEXT,__text) external _glColor3f
00007ffb0b30069c (__TEXT,__text) external _glColor3fv
00007ffb0b3006b9 (__TEXT,__text) external _glColor3i
00007ffb0b3006d9 (__TEXT,__text) external _glColor3iv
00007ffb0b3006f6 (__TEXT,__text) external _glColor3s
00007ffb0b300716 (__TEXT,__text) external _glColor3sv
00007ffb0b300733 (__TEXT,__text) external _glColor3ub
00007ffb0b300753 (__TEXT,__text) external _glColor3ubv
00007ffb0b300770 (__TEXT,__text) external _glColor3ui
00007ffb0b300790 (__TEXT,__text) external _glColor3uiv
00007ffb0b3007ad (__TEXT,__text) external _glColor3us
00007ffb0b3007cd (__TEXT,__text) external _glColor3usv
00007ffb0b3007ea (__TEXT,__text) external _glColor4b
00007ffb0b30080d (__TEXT,__text) external _glColor4bv
00007ffb0b30082a (__TEXT,__text) external _glColor4d
00007ffb0b300844 (__TEXT,__text) external _glColor4dv
00007ffb0b300861 (__TEXT,__text) external _glColor4f
00007ffb0b30087b (__TEXT,__text) external _glColor4fv
00007ffb0b300898 (__TEXT,__text) external _glColor4i
00007ffb0b3008bb (__TEXT,__text) external _glColor4iv
00007ffb0b3008d8 (__TEXT,__text) external _glColor4s
00007ffb0b3008fb (__TEXT,__text) external _glColor4sv
00007ffb0b300918 (__TEXT,__text) external _glColor4ub
00007ffb0b30093b (__TEXT,__text) external _glColor4ubv
00007ffb0b300958 (__TEXT,__text) external _glColor4ui
00007ffb0b30097b (__TEXT,__text) external _glColor4uiv
00007ffb0b300998 (__TEXT,__text) external _glColor4us
00007ffb0b3009bb (__TEXT,__text) external _glColor4usv
00007ffb0b3009d8 (__TEXT,__text) external _glColorMask
00007ffb0b309d53 (__TEXT,__text) external _glColorMaskIndexedEXT
00007ffb0b3050c9 (__TEXT,__text) external _glColorMaski
00007ffb0b3009fb (__TEXT,__text) external _glColorMaterial
00007ffb0b300a19 (__TEXT,__text) external _glColorPointer
00007ffb0b302eba (__TEXT,__text) external _glColorSubTable
00007ffb0b308f16 (__TEXT,__text) external _glColorSubTableEXT
00007ffb0b302db3 (__TEXT,__text) external _glColorTable
00007ffb0b308ee2 (__TEXT,__text) external _glColorTableEXT
00007ffb0b302de7 (__TEXT,__text) external _glColorTableParameterfv
00007ffb0b302e09 (__TEXT,__text) external _glColorTableParameteriv
00007ffb0b30a558 (__TEXT,__text) external _glCombinerInputNV
00007ffb0b30a55e (__TEXT,__text) external _glCombinerOutputNV
00007ffb0b30a546 (__TEXT,__text) external _glCombinerParameterfNV
00007ffb0b30a540 (__TEXT,__text) external _glCombinerParameterfvNV
00007ffb0b30a552 (__TEXT,__text) external _glCombinerParameteriNV
00007ffb0b30a54c (__TEXT,__text) external _glCombinerParameterivNV
00007ffb0b30a58e (__TEXT,__text) external _glCombinerStageParameterfvNV
00007ffb0b30465d (__TEXT,__text) external _glCompileShader
00007ffb0b3086ce (__TEXT,__text) external _glCompileShaderARB
00007ffb0b308d40 (__TEXT,__text) external _glCompileShaderIncludeARB
00007ffb0b30378b (__TEXT,__text) external _glCompressedTexImage1D
00007ffb0b30809b (__TEXT,__text) external _glCompressedTexImage1DARB
00007ffb0b303751 (__TEXT,__text) external _glCompressedTexImage2D
00007ffb0b308061 (__TEXT,__text) external _glCompressedTexImage2DARB
00007ffb0b303713 (__TEXT,__text) external _glCompressedTexImage3D
00007ffb0b308023 (__TEXT,__text) external _glCompressedTexImage3DARB
00007ffb0b30384a (__TEXT,__text) external _glCompressedTexSubImage1D
00007ffb0b30815a (__TEXT,__text) external _glCompressedTexSubImage1DARB
00007ffb0b30380c (__TEXT,__text) external _glCompressedTexSubImage2D
00007ffb0b30811c (__TEXT,__text) external _glCompressedTexSubImage2DARB
00007ffb0b3037bb (__TEXT,__text) external _glCompressedTexSubImage3D
00007ffb0b3080cb (__TEXT,__text) external _glCompressedTexSubImage3DARB
00007ffb0b302f15 (__TEXT,__text) external _glConvolutionFilter1D
00007ffb0b302f49 (__TEXT,__text) external _glConvolutionFilter2D
00007ffb0b302f79 (__TEXT,__text) external _glConvolutionParameterf
00007ffb0b302f97 (__TEXT,__text) external _glConvolutionParameterfv
00007ffb0b302fb9 (__TEXT,__text) external _glConvolutionParameteri
00007ffb0b302fda (__TEXT,__text) external _glConvolutionParameteriv
00007ffb0b305846 (__TEXT,__text) external _glCopyBufferSubData
00007ffb0b302eee (__TEXT,__text) external _glCopyColorSubTable
00007ffb0b302e2b (__TEXT,__text) external _glCopyColorTable
00007ffb0b302ffc (__TEXT,__text) external _glCopyConvolutionFilter1D
00007ffb0b303023 (__TEXT,__text) external _glCopyConvolutionFilter2D
00007ffb0b300a3c (__TEXT,__text) external _glCopyPixels
00007ffb0b300a62 (__TEXT,__text) external _glCopyTexImage1D
00007ffb0b300a95 (__TEXT,__text) external _glCopyTexImage2D
00007ffb0b300ad4 (__TEXT,__text) external _glCopyTexSubImage1D
00007ffb0b300b08 (__TEXT,__text) external _glCopyTexSubImage2D
00007ffb0b302d70 (__TEXT,__text) external _glCopyTexSubImage3D
00007ffb0b30467c (__TEXT,__text) external _glCreateProgram
00007ffb0b3086eb (__TEXT,__text) external _glCreateProgramObjectARB
00007ffb0b304619 (__TEXT,__text) external _glCreateShader
00007ffb0b30868c (__TEXT,__text) external _glCreateShaderObjectARB
00007ffb0b3067b8 (__TEXT,__text) external _glCreateShaderProgramv
00007ffb0b300b47 (__TEXT,__text) external _glCullFace
00007ffb0b303f1e (__TEXT,__text) external _glDeleteBuffers
00007ffb0b3084e9 (__TEXT,__text) external _glDeleteBuffersARB
00007ffb0b30a03f (__TEXT,__text) external _glDeleteFencesAPPLE
00007ffb0b304e2a (__TEXT,__text) external _glDeleteFramebuffers
00007ffb0b30943a (__TEXT,__text) external _glDeleteFramebuffersEXT
00007ffb0b300b63 (__TEXT,__text) external _glDeleteLists
00007ffb0b308d21 (__TEXT,__text) external _glDeleteNamedStringARB
00007ffb0b308633 (__TEXT,__text) external _glDeleteObjectARB
00007ffb0b3046f6 (__TEXT,__text) external _glDeleteProgram
00007ffb0b3067f6 (__TEXT,__text) external _glDeleteProgramPipelines
00007ffb0b30727b (__TEXT,__text) external _glDeleteProgramsARB
00007ffb0b303e25 (__TEXT,__text) external _glDeleteQueries
00007ffb0b3083f0 (__TEXT,__text) external _glDeleteQueriesARB
00007ffb0b304d6c (__TEXT,__text) external _glDeleteRenderbuffers
00007ffb0b30937c (__TEXT,__text) external _glDeleteRenderbuffersEXT
00007ffb0b305d2b (__TEXT,__text) external _glDeleteSamplers
00007ffb0b3045d5 (__TEXT,__text) external _glDeleteShader
00007ffb0b305b0f (__TEXT,__text) external _glDeleteSync
00007ffb0b300b81 (__TEXT,__text) external _glDeleteTextures
00007ffb0b3064a8 (__TEXT,__text) external _glDeleteTransformFeedbacks
00007ffb0b30506f (__TEXT,__text) external _glDeleteVertexArrays
00007ffb0b30a182 (__TEXT,__text) external _glDeleteVertexArraysAPPLE
00007ffb0b308ec8 (__TEXT,__text) external _glDepthBoundsEXT
00007ffb0b300ba0 (__TEXT,__text) external _glDepthFunc
00007ffb0b300bbc (__TEXT,__text) external _glDepthMask
00007ffb0b300bd8 (__TEXT,__text) external _glDepthRange
00007ffb0b3071db (__TEXT,__text) external _glDepthRangeArrayv
00007ffb0b3071fd (__TEXT,__text) external _glDepthRangeIndexed
00007ffb0b3066d7 (__TEXT,__text) external _glDepthRangef
00007ffb0b30866c (__TEXT,__text) external _glDetachObjectARB
00007ffb0b3045f4 (__TEXT,__text) external _glDetachShader
00007ffb0b300bf2 (__TEXT,__text) external _glDisable
00007ffb0b300c0e (__TEXT,__text) external _glDisableClientState
00007ffb0b309d98 (__TEXT,__text) external _glDisableIndexedEXT
00007ffb0b309ef2 (__TEXT,__text) external _glDisableVertexAttribAPPLE
00007ffb0b304531 (__TEXT,__text) external _glDisableVertexAttribArray
00007ffb0b30777f (__TEXT,__text) external _glDisableVertexAttribArrayARB
00007ffb0b305152 (__TEXT,__text) external _glDisablei
00007ffb0b300c2a (__TEXT,__text) external _glDrawArrays
00007ffb0b306073 (__TEXT,__text) external _glDrawArraysIndirect
00007ffb0b30596d (__TEXT,__text) external _glDrawArraysInstanced
00007ffb0b308c0d (__TEXT,__text) external _glDrawArraysInstancedARB
00007ffb0b300c4b (__TEXT,__text) external _glDrawBuffer
00007ffb0b304068 (__TEXT,__text) external _glDrawBuffers
00007ffb0b308bb2 (__TEXT,__text) external _glDrawBuffersARB
00007ffb0b30a1fb (__TEXT,__text) external _glDrawElementArrayAPPLE
00007ffb0b300c67 (__TEXT,__text) external _glDrawElements
00007ffb0b3059f5 (__TEXT,__text) external _glDrawElementsBaseVertex
00007ffb0b306092 (__TEXT,__text) external _glDrawElementsIndirect
00007ffb0b305991 (__TEXT,__text) external _glDrawElementsInstanced
00007ffb0b308c31 (__TEXT,__text) external _glDrawElementsInstancedARB
00007ffb0b305a4f (__TEXT,__text) external _glDrawElementsInstancedBaseVertex
00007ffb0b300c8b (__TEXT,__text) external _glDrawPixels
00007ffb0b30a21c (__TEXT,__text) external _glDrawRangeElementArrayAPPLE
00007ffb0b302ca1 (__TEXT,__text) external _glDrawRangeElements
00007ffb0b305a1c (__TEXT,__text) external _glDrawRangeElementsBaseVertex
00007ffb0b309248 (__TEXT,__text) external _glDrawRangeElementsEXT
00007ffb0b306530 (__TEXT,__text) external _glDrawTransformFeedback
00007ffb0b30654e (__TEXT,__text) external _glDrawTransformFeedbackStream
00007ffb0b300cb2 (__TEXT,__text) external _glEdgeFlag
00007ffb0b300cce (__TEXT,__text) external _glEdgeFlagPointer
00007ffb0b300ced (__TEXT,__text) external _glEdgeFlagv
00007ffb0b30a1dc (__TEXT,__text) external _glElementPointerAPPLE
00007ffb0b300d0a (__TEXT,__text) external _glEnable
00007ffb0b300d26 (__TEXT,__text) external _glEnableClientState
00007ffb0b309d7a (__TEXT,__text) external _glEnableIndexedEXT
00007ffb0b309ed4 (__TEXT,__text) external _glEnableVertexAttribAPPLE
00007ffb0b304515 (__TEXT,__text) external _glEnableVertexAttribArray
00007ffb0b307763 (__TEXT,__text) external _glEnableVertexAttribArrayARB
00007ffb0b305134 (__TEXT,__text) external _glEnablei
00007ffb0b300d42 (__TEXT,__text) external _glEnd
00007ffb0b30529a (__TEXT,__text) external _glEndConditionalRender
00007ffb0b30a4d5 (__TEXT,__text) external _glEndConditionalRenderNV
00007ffb0b300d59 (__TEXT,__text) external _glEndList
00007ffb0b303e7e (__TEXT,__text) external _glEndQuery
00007ffb0b308449 (__TEXT,__text) external _glEndQueryARB
00007ffb0b306590 (__TEXT,__text) external _glEndQueryIndexed
00007ffb0b3051aa (__TEXT,__text) external _glEndTransformFeedback
00007ffb0b30970e (__TEXT,__text) external _glEndTransformFeedbackEXT
00007ffb0b300d70 (__TEXT,__text) external _glEvalCoord1d
00007ffb0b300d8a (__TEXT,__text) external _glEvalCoord1dv
00007ffb0b300da7 (__TEXT,__text) external _glEvalCoord1f
00007ffb0b300dc1 (__TEXT,__text) external _glEvalCoord1fv
00007ffb0b300dde (__TEXT,__text) external _glEvalCoord2d
00007ffb0b300df8 (__TEXT,__text) external _glEvalCoord2dv
00007ffb0b300e15 (__TEXT,__text) external _glEvalCoord2f
00007ffb0b300e2f (__TEXT,__text) external _glEvalCoord2fv
00007ffb0b300e4c (__TEXT,__text) external _glEvalMesh1
00007ffb0b300e6d (__TEXT,__text) external _glEvalMesh2
00007ffb0b300e94 (__TEXT,__text) external _glEvalPoint1
00007ffb0b300eb0 (__TEXT,__text) external _glEvalPoint2
00007ffb0b300ece (__TEXT,__text) external _glFeedbackBuffer
00007ffb0b305ad4 (__TEXT,__text) external _glFenceSync
00007ffb0b30a564 (__TEXT,__text) external _glFinalCombinerInputNV
00007ffb0b300ef0 (__TEXT,__text) external _glFinish
00007ffb0b30a0b2 (__TEXT,__text) external _glFinishFenceAPPLE
00007ffb0b30a0ec (__TEXT,__text) external _glFinishObjectAPPLE
00007ffb0b30a2b4 (__TEXT,__text) external _glFinishRenderAPPLE
00007ffb0b300f07 (__TEXT,__text) external _glFlush
00007ffb0b305030 (__TEXT,__text) external _glFlushMappedBufferRange
00007ffb0b30a303 (__TEXT,__text) external _glFlushMappedBufferRangeAPPLE
00007ffb0b30a29d (__TEXT,__text) external _glFlushRenderAPPLE
00007ffb0b30a129 (__TEXT,__text) external _glFlushVertexArrayRangeAPPLE
00007ffb0b303926 (__TEXT,__text) external _glFogCoordPointer
00007ffb0b309226 (__TEXT,__text) external _glFogCoordPointerEXT
00007ffb0b3038ef (__TEXT,__text) external _glFogCoordd
00007ffb0b3091ef (__TEXT,__text) external _glFogCoorddEXT
00007ffb0b303909 (__TEXT,__text) external _glFogCoorddv
00007ffb0b309209 (__TEXT,__text) external _glFogCoorddvEXT
00007ffb0b3038b8 (__TEXT,__text) external _glFogCoordf
00007ffb0b3091b8 (__TEXT,__text) external _glFogCoordfEXT
00007ffb0b3038d2 (__TEXT,__text) external _glFogCoordfv
00007ffb0b3091d2 (__TEXT,__text) external _glFogCoordfvEXT
00007ffb0b300f1e (__TEXT,__text) external _glFogf
00007ffb0b300f3a (__TEXT,__text) external _glFogfv
00007ffb0b300f59 (__TEXT,__text) external _glFogi
00007ffb0b300f77 (__TEXT,__text) external _glFogiv
00007ffb0b304f06 (__TEXT,__text) external _glFramebufferRenderbuffer
00007ffb0b309516 (__TEXT,__text) external _glFramebufferRenderbufferEXT
00007ffb0b305ca5 (__TEXT,__text) external _glFramebufferTexture
00007ffb0b304e84 (__TEXT,__text) external _glFramebufferTexture1D
00007ffb0b309494 (__TEXT,__text) external _glFramebufferTexture1DEXT
00007ffb0b304eab (__TEXT,__text) external _glFramebufferTexture2D
00007ffb0b3094bb (__TEXT,__text) external _glFramebufferTexture2DEXT
00007ffb0b304ed2 (__TEXT,__text) external _glFramebufferTexture3D
00007ffb0b3094e2 (__TEXT,__text) external _glFramebufferTexture3DEXT
00007ffb0b309614 (__TEXT,__text) external _glFramebufferTextureEXT
00007ffb0b30965f (__TEXT,__text) external _glFramebufferTextureFaceEXT
00007ffb0b304fe3 (__TEXT,__text) external _glFramebufferTextureLayer
00007ffb0b309638 (__TEXT,__text) external _glFramebufferTextureLayerEXT
00007ffb0b300f96 (__TEXT,__text) external _glFrontFace
00007ffb0b300fb2 (__TEXT,__text) external _glFrustum
00007ffb0b303f3d (__TEXT,__text) external _glGenBuffers
00007ffb0b308508 (__TEXT,__text) external _glGenBuffersARB
00007ffb0b30a020 (__TEXT,__text) external _glGenFencesAPPLE
00007ffb0b304e49 (__TEXT,__text) external _glGenFramebuffers
00007ffb0b309459 (__TEXT,__text) external _glGenFramebuffersEXT
00007ffb0b300fcc (__TEXT,__text) external _glGenLists
00007ffb0b306815 (__TEXT,__text) external _glGenProgramPipelines
00007ffb0b30729a (__TEXT,__text) external _glGenProgramsARB
00007ffb0b303e06 (__TEXT,__text) external _glGenQueries
00007ffb0b3083d1 (__TEXT,__text) external _glGenQueriesARB
00007ffb0b304d8b (__TEXT,__text) external _glGenRenderbuffers
00007ffb0b30939b (__TEXT,__text) external _glGenRenderbuffersEXT
00007ffb0b305d0c (__TEXT,__text) external _glGenSamplers
00007ffb0b300fe8 (__TEXT,__text) external _glGenTextures
00007ffb0b3064c7 (__TEXT,__text) external _glGenTransformFeedbacks
00007ffb0b30508e (__TEXT,__text) external _glGenVertexArrays
00007ffb0b30a1a1 (__TEXT,__text) external _glGenVertexArraysAPPLE
00007ffb0b304f4e (__TEXT,__text) external _glGenerateMipmap
00007ffb0b30955e (__TEXT,__text) external _glGenerateMipmapEXT
00007ffb0b304b81 (__TEXT,__text) external _glGetActiveAttrib
00007ffb0b308b61 (__TEXT,__text) external _glGetActiveAttribARB
00007ffb0b3063b1 (__TEXT,__text) external _glGetActiveSubroutineName
00007ffb0b30637d (__TEXT,__text) external _glGetActiveSubroutineUniformName
00007ffb0b306356 (__TEXT,__text) external _glGetActiveSubroutineUniformiv
00007ffb0b304ab7 (__TEXT,__text) external _glGetActiveUniform
00007ffb0b308aa1 (__TEXT,__text) external _glGetActiveUniformARB
00007ffb0b305925 (__TEXT,__text) external _glGetActiveUniformBlockName
00007ffb0b305901 (__TEXT,__text) external _glGetActiveUniformBlockiv
00007ffb0b3058bb (__TEXT,__text) external _glGetActiveUniformName
00007ffb0b305893 (__TEXT,__text) external _glGetActiveUniformsiv
00007ffb0b308a5b (__TEXT,__text) external _glGetAttachedObjectsARB
00007ffb0b304a26 (__TEXT,__text) external _glGetAttachedShaders
00007ffb0b304bb4 (__TEXT,__text) external _glGetAttribLocation
00007ffb0b308b92 (__TEXT,__text) external _glGetAttribLocationARB
00007ffb0b30979c (__TEXT,__text) external _glGetBooleanIndexedvEXT
00007ffb0b3050f0 (__TEXT,__text) external _glGetBooleani_v
00007ffb0b301007 (__TEXT,__text) external _glGetBooleanv
00007ffb0b305c83 (__TEXT,__text) external _glGetBufferParameteri64v
00007ffb0b304024 (__TEXT,__text) external _glGetBufferParameteriv
00007ffb0b3085ef (__TEXT,__text) external _glGetBufferParameterivARB
00007ffb0b304046 (__TEXT,__text) external _glGetBufferPointerv
00007ffb0b308611 (__TEXT,__text) external _glGetBufferPointervARB
00007ffb0b303fc4 (__TEXT,__text) external _glGetBufferSubData
00007ffb0b30858f (__TEXT,__text) external _glGetBufferSubDataARB
00007ffb0b301026 (__TEXT,__text) external _glGetClipPlane
00007ffb0b302e52 (__TEXT,__text) external _glGetColorTable
00007ffb0b308f4a (__TEXT,__text) external _glGetColorTableEXT
00007ffb0b302e76 (__TEXT,__text) external _glGetColorTableParameterfv
00007ffb0b308f6e (__TEXT,__text) external _glGetColorTableParameterfvEXT
00007ffb0b302e98 (__TEXT,__text) external _glGetColorTableParameteriv
00007ffb0b308f90 (__TEXT,__text) external _glGetColorTableParameterivEXT
00007ffb0b30a56a (__TEXT,__text) external _glGetCombinerInputParameterfvNV
00007ffb0b30a570 (__TEXT,__text) external _glGetCombinerInputParameterivNV
00007ffb0b30a576 (__TEXT,__text) external _glGetCombinerOutputParameterfvNV
00007ffb0b30a57c (__TEXT,__text) external _glGetCombinerOutputParameterivNV
00007ffb0b30a594 (__TEXT,__text) external _glGetCombinerStageParameterfvNV
00007ffb0b30387a (__TEXT,__text) external _glGetCompressedTexImage
00007ffb0b30818a (__TEXT,__text) external _glGetCompressedTexImageARB
00007ffb0b303057 (__TEXT,__text) external _glGetConvolutionFilter
00007ffb0b30307b (__TEXT,__text) external _glGetConvolutionParameterfv
00007ffb0b30309d (__TEXT,__text) external _glGetConvolutionParameteriv
00007ffb0b30723b (__TEXT,__text) external _glGetDoublei_v
00007ffb0b301045 (__TEXT,__text) external _glGetDoublev
00007ffb0b301064 (__TEXT,__text) external _glGetError
00007ffb0b30a582 (__TEXT,__text) external _glGetFinalCombinerInputParameterfvNV
00007ffb0b30a588 (__TEXT,__text) external _glGetFinalCombinerInputParameterivNV
00007ffb0b307219 (__TEXT,__text) external _glGetFloati_v
00007ffb0b30107b (__TEXT,__text) external _glGetFloatv
00007ffb0b305ced (__TEXT,__text) external _glGetFragDataIndex
00007ffb0b3055e8 (__TEXT,__text) external _glGetFragDataLocation
00007ffb0b309c64 (__TEXT,__text) external _glGetFragDataLocationEXT
00007ffb0b304f2a (__TEXT,__text) external _glGetFramebufferAttachmentParameteriv
00007ffb0b30953a (__TEXT,__text) external _glGetFramebufferAttachmentParameterivEXT
00007ffb0b308650 (__TEXT,__text) external _glGetHandleARB
00007ffb0b303130 (__TEXT,__text) external _glGetHistogram
00007ffb0b303157 (__TEXT,__text) external _glGetHistogramParameterfv
00007ffb0b303179 (__TEXT,__text) external _glGetHistogramParameteriv
00007ffb0b308a35 (__TEXT,__text) external _glGetInfoLogARB
00007ffb0b305c61 (__TEXT,__text) external _glGetInteger64i_v
00007ffb0b305b72 (__TEXT,__text) external _glGetInteger64v
00007ffb0b30977a (__TEXT,__text) external _glGetIntegerIndexedvEXT
00007ffb0b305112 (__TEXT,__text) external _glGetIntegeri_v
00007ffb0b30109a (__TEXT,__text) external _glGetIntegerv
00007ffb0b308dd1 (__TEXT,__text) external _glGetInternalformativ
00007ffb0b3010b9 (__TEXT,__text) external _glGetLightfv
00007ffb0b3010db (__TEXT,__text) external _glGetLightiv
00007ffb0b3010fd (__TEXT,__text) external _glGetMapdv
00007ffb0b30111f (__TEXT,__text) external _glGetMapfv
00007ffb0b301141 (__TEXT,__text) external _glGetMapiv
00007ffb0b301163 (__TEXT,__text) external _glGetMaterialfv
00007ffb0b301185 (__TEXT,__text) external _glGetMaterialiv
00007ffb0b30319b (__TEXT,__text) external _glGetMinmax
00007ffb0b3031c2 (__TEXT,__text) external _glGetMinmaxParameterfv
00007ffb0b3031e4 (__TEXT,__text) external _glGetMinmaxParameteriv
00007ffb0b305c21 (__TEXT,__text) external _glGetMultisamplefv
00007ffb0b308d84 (__TEXT,__text) external _glGetNamedStringARB
00007ffb0b308dac (__TEXT,__text) external _glGetNamedStringivARB
00007ffb0b309e58 (__TEXT,__text) external _glGetObjectLabelEXT
00007ffb0b3089ef (__TEXT,__text) external _glGetObjectParameterfvARB
00007ffb0b30a368 (__TEXT,__text) external _glGetObjectParameterivAPPLE
00007ffb0b308a12 (__TEXT,__text) external _glGetObjectParameterivARB
00007ffb0b3011a7 (__TEXT,__text) external _glGetPixelMapfv
00007ffb0b3011c6 (__TEXT,__text) external _glGetPixelMapuiv
