00000001bf709be0 (__TEXT,__text) non-external +[NFPromise new]
00000001bf70df44 (__TEXT,__text) non-external -[NFMultiDelegate initWithDelegate:delegateProtocol:]
00000001bf70e3b0 (__TEXT,__text) non-external -[NFMultiDelegate methodSignatureForSelector:]
00000001bf70e0a4 (__TEXT,__text) non-external -[NFMultiDelegate removeDelegate:]
00000001bf70e12c (__TEXT,__text) non-external -[NFMultiDelegate replaceDelegate:withDelegate:]
00000001bf70e24c (__TEXT,__text) non-external -[NFMultiDelegate respondsToSelector:]
00000001bf70d14c (__TEXT,__text) non-external -[NFMutexLock dealloc]
00000001bf70d0ac (__TEXT,__text) non-external -[NFMutexLock initWithOptions:]
00000001bf70d09c (__TEXT,__text) non-external -[NFMutexLock init]
00000001bf70d20c (__TEXT,__text) non-external -[NFMutexLock lock]
00000001bf70d198 (__TEXT,__text) non-external -[NFMutexLock performWithLockSync:]
00000001bf70d214 (__TEXT,__text) non-external -[NFMutexLock unlock]
00000001bf7065c0 (__TEXT,__text) non-external -[NFPendingPromise .cxx_destruct]
00000001bf706414 (__TEXT,__text) non-external -[NFPendingPromise init]
00000001bf70658c (__TEXT,__text) non-external -[NFPendingPromise promise]
00000001bf7065b0 (__TEXT,__text) non-external -[NFPendingPromise reject]
00000001bf7065a0 (__TEXT,__text) non-external -[NFPendingPromise resolve]
00000001bf706594 (__TEXT,__text) non-external -[NFPendingPromise setPromise:]
00000001bf7065b8 (__TEXT,__text) non-external -[NFPendingPromise setReject:]
00000001bf7065a8 (__TEXT,__text) non-external -[NFPendingPromise setResolve:]
00000001bf70b308 (__TEXT,__text) non-external -[NFPromise .cxx_destruct]
00000001bf709db8 (__TEXT,__text) non-external -[NFPromise always:]
00000001bf70a4e4 (__TEXT,__text) non-external -[NFPromise alwaysOn:always:]
00000001bf709ca4 (__TEXT,__text) non-external -[NFPromise dealloc]
00000001bf70b16c (__TEXT,__text) non-external -[NFPromise delayOn]
00000001bf70b040 (__TEXT,__text) non-external -[NFPromise delay]
00000001bf709d58 (__TEXT,__text) non-external -[NFPromise error:]
00000001bf70a444 (__TEXT,__text) non-external -[NFPromise errorOn:error:]
00000001bf70aa5c (__TEXT,__text) non-external -[NFPromise errorOn]
00000001bf70a954 (__TEXT,__text) non-external -[NFPromise error]
00000001bf709c14 (__TEXT,__text) non-external -[NFPromise initWithError:]
00000001bf70990c (__TEXT,__text) non-external -[NFPromise initWithResolver:]
00000001bf709b50 (__TEXT,__text) non-external -[NFPromise initWithValue:]
00000001bf7097c4 (__TEXT,__text) non-external -[NFPromise init]
00000001bf70a7f4 (__TEXT,__text) non-external -[NFPromise pipeOn]
00000001bf70a69c (__TEXT,__text) non-external -[NFPromise pipe]
00000001bf70addc (__TEXT,__text) non-external -[NFPromise resolveOn]
00000001bf70aaf0 (__TEXT,__text) non-external -[NFPromise resolve]
00000001bf70b2f4 (__TEXT,__text) non-external -[NFPromise seal]
00000001bf70b2fc (__TEXT,__text) non-external -[NFPromise setSeal:]
00000001bf709cf8 (__TEXT,__text) non-external -[NFPromise then:]
00000001bf709e18 (__TEXT,__text) non-external -[NFPromise thenOn:then:]
00000001bf70a608 (__TEXT,__text) non-external -[NFPromise thenOn]
00000001bf70a578 (__TEXT,__text) non-external -[NFPromise then]
00000001bf70c9f8 (__TEXT,__text) non-external -[NFPromiseSeal .cxx_destruct]
00000001bf70c37c (__TEXT,__text) non-external -[NFPromiseSeal alwaysOn:always:]
00000001bf70bf50 (__TEXT,__text) non-external -[NFPromiseSeal dealloc]
00000001bf70f0d4 (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.1
00000001bf70f188 (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.2
00000001bf70c9b8 (__TEXT,__text) non-external -[NFPromiseSeal error]
00000001bf70c9dc (__TEXT,__text) non-external -[NFPromiseSeal handlers]
00000001bf70becc (__TEXT,__text) non-external -[NFPromiseSeal initWithError:]
00000001bf70be48 (__TEXT,__text) non-external -[NFPromiseSeal initWithValue:]
00000001bf70bdc0 (__TEXT,__text) non-external -[NFPromiseSeal init]
00000001bf70c9f0 (__TEXT,__text) non-external -[NFPromiseSeal lock]
00000001bf70c538 (__TEXT,__text) non-external -[NFPromiseSeal registerHandler:]
00000001bf70c060 (__TEXT,__text) non-external -[NFPromiseSeal reject:]
00000001bf70c04c (__TEXT,__text) non-external -[NFPromiseSeal resolve:]
00000001bf70c078 (__TEXT,__text) non-external -[NFPromiseSeal resolveOn:reject:resolve:]
00000001bf70c6c8 (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:]
00000001bf70f23c (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:].cold.1
00000001bf70c9c0 (__TEXT,__text) non-external -[NFPromiseSeal setError:]
00000001bf70c9e4 (__TEXT,__text) non-external -[NFPromiseSeal setHandlers:]
00000001bf70c9d4 (__TEXT,__text) non-external -[NFPromiseSeal setState:]
00000001bf70c9ac (__TEXT,__text) non-external -[NFPromiseSeal setValue:]
00000001bf70c9cc (__TEXT,__text) non-external -[NFPromiseSeal state]
00000001bf70c9a4 (__TEXT,__text) non-external -[NFPromiseSeal value]
00000001bf70d04c (__TEXT,__text) non-external -[NFReachability .cxx_destruct]
00000001bf70cf38 (__TEXT,__text) non-external -[NFReachability _statusFromNetworkPath:]
00000001bf70cdf4 (__TEXT,__text) non-external -[NFReachability _updateCurrentNetworkPath:]
00000001bf70d038 (__TEXT,__text) non-external -[NFReachability currentNetworkPath]
00000001bf70d000 (__TEXT,__text) non-external -[NFReachability currentReachabilityStatus]
00000001bf70cda8 (__TEXT,__text) non-external -[NFReachability dealloc]
00000001bf70cbf0 (__TEXT,__text) non-external -[NFReachability init]
00000001bf70d024 (__TEXT,__text) non-external -[NFReachability networkPathMonitor]
00000001bf70d010 (__TEXT,__text) non-external -[NFReachability observationQueue]
00000001bf70d040 (__TEXT,__text) non-external -[NFReachability setCurrentNetworkPath:]
00000001bf70d008 (__TEXT,__text) non-external -[NFReachability setCurrentReachabilityStatus:]
00000001bf70d02c (__TEXT,__text) non-external -[NFReachability setNetworkPathMonitor:]
00000001bf70d018 (__TEXT,__text) non-external -[NFReachability setObservationQueue:]
00000001bf708f58 (__TEXT,__text) non-external -[NFStateMachine .cxx_destruct]
00000001bf707f80 (__TEXT,__text) non-external -[NFStateMachine activateIfNeeded]
00000001bf707ee8 (__TEXT,__text) non-external -[NFStateMachine activate]
00000001bf708250 (__TEXT,__text) non-external -[NFStateMachine addEvent:]
00000001bf70ef6c (__TEXT,__text) non-external -[NFStateMachine addEvent:].cold.1
00000001bf708104 (__TEXT,__text) non-external -[NFStateMachine addState:]
00000001bf70eeb8 (__TEXT,__text) non-external -[NFStateMachine addState:].cold.1
00000001bf708090 (__TEXT,__text) non-external -[NFStateMachine deactivateIfNeeded]
00000001bf707ff4 (__TEXT,__text) non-external -[NFStateMachine deactivate]
00000001bf707dcc (__TEXT,__text) non-external -[NFStateMachine debugDescription]
00000001bf707d10 (__TEXT,__text) non-external -[NFStateMachine description]
00000001bf708f20 (__TEXT,__text) non-external -[NFStateMachine events]
00000001bf70839c (__TEXT,__text) non-external -[NFStateMachine fireEventWithName:withContext:]
00000001bf707bc0 (__TEXT,__text) non-external -[NFStateMachine initWithState:withOwner:]
00000001bf708f34 (__TEXT,__text) non-external -[NFStateMachine lock]
00000001bf708ed4 (__TEXT,__text) non-external -[NFStateMachine owner]
00000001bf708f28 (__TEXT,__text) non-external -[NFStateMachine setEvents:]
00000001bf708f3c (__TEXT,__text) non-external -[NFStateMachine setLock:]
00000001bf708f00 (__TEXT,__text) non-external -[NFStateMachine setOwner:]
00000001bf708ec8 (__TEXT,__text) non-external -[NFStateMachine setState:]
00000001bf708f14 (__TEXT,__text) non-external -[NFStateMachine setStates:]
00000001bf708eb8 (__TEXT,__text) non-external -[NFStateMachine setStatus:]
00000001bf708f50 (__TEXT,__text) non-external -[NFStateMachine setStatusToken:]
00000001bf708ec0 (__TEXT,__text) non-external -[NFStateMachine state]
00000001bf708f0c (__TEXT,__text) non-external -[NFStateMachine states]
00000001bf708f48 (__TEXT,__text) non-external -[NFStateMachine statusToken]
00000001bf708eb0 (__TEXT,__text) non-external -[NFStateMachine status]
00000001bf70d68c (__TEXT,__text) non-external -[NFStateMachineEvent .cxx_destruct]
00000001bf70d430 (__TEXT,__text) non-external -[NFStateMachineEvent description]
00000001bf70d668 (__TEXT,__text) non-external -[NFStateMachineEvent destinationState]
00000001bf70d67c (__TEXT,__text) non-external -[NFStateMachineEvent fireBlock]
00000001bf70d548 (__TEXT,__text) non-external -[NFStateMachineEvent fired:withOwner:]
00000001bf70d2f0 (__TEXT,__text) non-external -[NFStateMachineEvent hash]
00000001bf70d21c (__TEXT,__text) non-external -[NFStateMachineEvent initWithName:transitionFromStates:toState:]
00000001bf70d340 (__TEXT,__text) non-external -[NFStateMachineEvent isEqual:]
00000001bf70d644 (__TEXT,__text) non-external -[NFStateMachineEvent name]
00000001bf70d518 (__TEXT,__text) non-external -[NFStateMachineEvent onFire:]
00000001bf70d670 (__TEXT,__text) non-external -[NFStateMachineEvent setDestinationState:]
00000001bf70d684 (__TEXT,__text) non-external -[NFStateMachineEvent setFireBlock:]
00000001bf70d64c (__TEXT,__text) non-external -[NFStateMachineEvent setName:]
00000001bf70d65c (__TEXT,__text) non-external -[NFStateMachineEvent setStates:]
00000001bf70d654 (__TEXT,__text) non-external -[NFStateMachineEvent states]
00000001bf70da88 (__TEXT,__text) non-external -[NFStateMachineState .cxx_destruct]
00000001bf70da38 (__TEXT,__text) non-external -[NFStateMachineState canTryBlock]
00000001bf70d8a4 (__TEXT,__text) non-external -[NFStateMachineState description]
00000001bf70da78 (__TEXT,__text) non-external -[NFStateMachineState didEnterBlock]
00000001bf70da68 (__TEXT,__text) non-external -[NFStateMachineState didExitBlock]
00000001bf70d764 (__TEXT,__text) non-external -[NFStateMachineState hash]
00000001bf70d6e8 (__TEXT,__text) non-external -[NFStateMachineState initWithName:]
00000001bf70d7b4 (__TEXT,__text) non-external -[NFStateMachineState isEqual:]
00000001bf70da28 (__TEXT,__text) non-external -[NFStateMachineState name]
00000001bf70d938 (__TEXT,__text) non-external -[NFStateMachineState onCanTry:]
00000001bf70d9f8 (__TEXT,__text) non-external -[NFStateMachineState onDidEnter:]
00000001bf70d998 (__TEXT,__text) non-external -[NFStateMachineState onDidExit:]
00000001bf70d9c8 (__TEXT,__text) non-external -[NFStateMachineState onWillEnter:]
00000001bf70d968 (__TEXT,__text) non-external -[NFStateMachineState onWillExit:]
00000001bf70da40 (__TEXT,__text) non-external -[NFStateMachineState setCanTryBlock:]
00000001bf70da80 (__TEXT,__text) non-external -[NFStateMachineState setDidEnterBlock:]
00000001bf70da70 (__TEXT,__text) non-external -[NFStateMachineState setDidExitBlock:]
00000001bf70da30 (__TEXT,__text) non-external -[NFStateMachineState setName:]
00000001bf70da60 (__TEXT,__text) non-external -[NFStateMachineState setWillEnterBlock:]
00000001bf70da50 (__TEXT,__text) non-external -[NFStateMachineState setWillExitBlock:]
00000001bf70da58 (__TEXT,__text) non-external -[NFStateMachineState willEnterBlock]
00000001bf70da48 (__TEXT,__text) non-external -[NFStateMachineState willExitBlock]
00000001bf70dafc (__TEXT,__text) non-external -[NFStateMachineState(Private) canTry:withOwner:]
00000001bf70de48 (__TEXT,__text) non-external -[NFStateMachineState(Private) didEnter:withOwner:]
00000001bf70dd4c (__TEXT,__text) non-external -[NFStateMachineState(Private) didExit:withOwner:]
00000001bf70dc88 (__TEXT,__text) non-external -[NFStateMachineState(Private) willEnter:withOwner:]
00000001bf70dbc4 (__TEXT,__text) non-external -[NFStateMachineState(Private) willExit:withOwner:]
00000001bf7063ac (__TEXT,__text) non-external -[NFStateMachineTransition .cxx_destruct]
00000001bf706398 (__TEXT,__text) non-external -[NFStateMachineTransition context]
00000001bf706238 (__TEXT,__text) non-external -[NFStateMachineTransition description]
00000001bf70635c (__TEXT,__text) non-external -[NFStateMachineTransition event]
00000001bf706370 (__TEXT,__text) non-external -[NFStateMachineTransition fromState]
00000001bf706114 (__TEXT,__text) non-external -[NFStateMachineTransition initWithStateMachine:event:fromState:toState:context:]
00000001bf7063a0 (__TEXT,__text) non-external -[NFStateMachineTransition setContext:]
00000001bf706364 (__TEXT,__text) non-external -[NFStateMachineTransition setEvent:]
00000001bf706378 (__TEXT,__text) non-external -[NFStateMachineTransition setFromState:]
00000001bf706350 (__TEXT,__text) non-external -[NFStateMachineTransition setStateMachine:]
00000001bf70638c (__TEXT,__text) non-external -[NFStateMachineTransition setToState:]
00000001bf706348 (__TEXT,__text) non-external -[NFStateMachineTransition stateMachine]
00000001bf706384 (__TEXT,__text) non-external -[NFStateMachineTransition toState]
00000001bf706014 (__TEXT,__text) non-external -[NFUnfairLock initWithOptions:]
00000001bf706070 (__TEXT,__text) non-external -[NFUnfairLock init]
00000001bf7060fc (__TEXT,__text) non-external -[NFUnfairLock lock]
00000001bf706080 (__TEXT,__text) non-external -[NFUnfairLock performWithLockSync:]
00000001bf70610c (__TEXT,__text) non-external -[NFUnfairLock unlock]
00000001bf70b324 (__TEXT,__text) non-external -[NFVoid copyWithZone:]
00000001bf707b38 (__TEXT,__text) non-external -[NSError(NFStateMachine) fc_isStateMachineError:]
00000001bf7094b4 (__TEXT,__text) non-external -[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:]
00000001bf70baac (__TEXT,__text) non-external -[NSString(NFAdditions) nf_sha1]
00000001bf70bbd0 (__TEXT,__text) non-external -[NSString(NFAdditions) nf_stringByReversingString]
00000001bf709034 (__TEXT,__text) non-external -[NSUserDefaults(NFAdditions) nf_migrateObjectForKey:toKey:]
00000001bf70e87c (__TEXT,__text) non-external -[NSValue(NFAdditions) nf_CGRectValue]
00000001bf710f84 (__TEXT,__gcc_except_tab) non-external GCC_except_table19
00000001bf710ff0 (__TEXT,__gcc_except_tab) non-external GCC_except_table2
                 (undefined) external _BOMCopierCopyWithOptions (from Bom)
                 (undefined) external _BOMCopierFree (from Bom)
                 (undefined) external _BOMCopierNew (from Bom)
                 (undefined) external _BOMCopierSetCopyFileFinishedHandler (from Bom)
                 (undefined) external _BOMCopierSetUserData (from Bom)
                 (undefined) external _BOMCopierUserData (from Bom)
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _MGCopyAnswer (from libMobileGestalt)
00000001bf707868 (__TEXT,__text) non-external _NFArchiverCopyFileFinishedHandler
00000001bf70ea2c (__TEXT,__text) external _NFDeviceHasExtendedColorDisplay
00000001d80101d8 (__DATA,__bss) non-external _NFDeviceHasExtendedColorDisplay.hasExtendedColorDisplay
00000001d80101e0 (__DATA,__bss) non-external _NFDeviceHasExtendedColorDisplay.onceToken
00000001bf70e8b0 (__TEXT,__text) external _NFDeviceIsA7
00000001bf70e8b8 (__TEXT,__text) external _NFDeviceIsA8
00000001bf70e9f8 (__TEXT,__text) external _NFDeviceModelString
00000001bf70e9c4 (__TEXT,__text) external _NFDeviceOSVersion
00000001bf70e8c0 (__TEXT,__text) external _NFDevicePlatform
00000001d8f4bce0 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.onceToken
00000001d8f4bcd8 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.s_platformString
00000001bf70e9b8 (__TEXT,__text) external _NFGeneralDeviceString
00000001bf705f04 (__TEXT,__text) external _NFInternalBuild
00000001d80101d0 (__DATA,__bss) non-external _NFInternalBuild.internalBuild
00000001d8f4bc98 (__DATA_DIRTY,__bss) non-external _NFInternalBuild.onceToken
00000001bf70cacc (__TEXT,__text) external _NFLockSync
00000001bf70bce0 (__TEXT,__text) external _NFPromiseInvokeOnQueue
00000001bf705f70 (__TEXT,__text) external _NFSeedBuild
00000001d3e39b88 (__DATA_CONST,__const) external _NFStateMachineErrorDomain
00000001bf705f78 (__TEXT,__text) external _NFStoreDemoMode
00000001d8f4bca0 (__DATA_DIRTY,__bss) non-external _NFStoreDemoMode.onceToken
00000001d80101d1 (__DATA,__bss) non-external _NFStoreDemoMode.storeDemoMode
                 (undefined) external _NSGetSizeAndAlignment (from CoreFoundation)
                 (undefined) external _NSInternalInconsistencyException (from CoreFoundation)
                 (undefined) external _NSKeyedArchiveRootObjectKey (from Foundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
00000001bf710318 (__TEXT,__const) external _NewsFoundationVersionNumber
00000001bf7102d8 (__TEXT,__const) external _NewsFoundationVersionString
00000001d97f5400 (__AUTH,__objc_data) external _OBJC_CLASS_$_NFArchiver
00000001d8f4b9c8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventManager
00000001d8f4b9f0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventTrigger
00000001d8f4ba68 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFLazy
00000001d8f4bc48 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMultiDelegate
00000001d8f4bbf8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMutexLock
00000001d97f5388 (__AUTH,__objc_data) external _OBJC_CLASS_$_NFPendingPromise
00000001d8f4bab8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromise
00000001d8f4bb58 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromiseSeal
00000001d8f4bba8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFReachability
00000001d97f5428 (__AUTH,__objc_data) external _OBJC_CLASS_$_NFStateMachine
00000001d97f5478 (__AUTH,__objc_data) external _OBJC_CLASS_$_NFStateMachineEvent
00000001d97f54c8 (__AUTH,__objc_data) external _OBJC_CLASS_$_NFStateMachineState
00000001d97f5338 (__AUTH,__objc_data) external _OBJC_CLASS_$_NFStateMachineTransition
00000001d8f4b978 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFUnfairLock
00000001d8f4bb30 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFVoid
                 (undefined) external _OBJC_CLASS_$_NSBlock (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSHashTable (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedUnarchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSValue (from Foundation)
                 (undefined) external _OBJC_EHTYPE_$_NSException (from CoreFoundation)
00000001d800ff40 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._events
00000001d800ff44 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._triggers
00000001d800ff58 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._block
00000001d800ff54 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._events
00000001d800ff4c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnAny
00000001d800ff48 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnce
00000001d800ff50 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._key
00000001d800ff7c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._constructor
00000001d800ff80 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._lock
00000001d800ff78 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._value
00000001d800ffd8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMultiDelegate._children
00000001d800ffdc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMultiDelegate._delegateProtocol
00000001d800ffac (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMutexLock._lock
00000001d800ff34 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPendingPromise._promise
00000001d800ff3c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPendingPromise._reject
00000001d800ff38 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPendingPromise._resolve
00000001d800ff84 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromise._seal
00000001d800ff8c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._error
00000001d800ff94 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._handlers
00000001d800ff98 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._lock
00000001d800ff90 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._state
00000001d800ff88 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._value
00000001d800ffa8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFReachability._currentNetworkPath
00000001d800ff9c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFReachability._currentReachabilityStatus
