00007fff6e81f5fa (__TEXT,__text) external _DriverExecutableMain
00007fff6e839227 (__TEXT,__text) non-external _IOUserServerMain.cold.9
00007fff8d1ac910 (__DATA_CONST,__const) external _IOUserServer_Class
00007fff80075840 (__DATA_DIRTY,__common) external _IOVMPageSize
                 (undefined) external _NDR_record (from libSystem)
00007fff8d1acac0 (__DATA_CONST,__const) external _OSAction_Class
00007fff8d1ac6d0 (__DATA_CONST,__const) external _OSAction_IOUserClient_KernelCompletion_Class
00007fff8d1ad7e0 (__DATA_CONST,__const) external _OSAction__IOBlockStorageDevice_KernelCompletion_Class
00007fff6e824a0a (__TEXT,__text) external _OSArrayAppendValue
00007fff6e824743 (__TEXT,__text) external _OSArrayApply
00007fff6e82444a (__TEXT,__text) external _OSArrayCreate
00007fff6e823c37 (__TEXT,__text) external _OSArrayGetCount
00007fff6e824a98 (__TEXT,__text) external _OSArrayGetStringValue
00007fff6e824b08 (__TEXT,__text) external _OSArrayGetUInt64Value
00007fff6e824a3e (__TEXT,__text) external _OSArrayGetValue
00007fff6e8249fb (__TEXT,__text) external _OSArrayReplaceValue
00007fff6e824ac3 (__TEXT,__text) external _OSArraySetStringValue
00007fff6e824bce (__TEXT,__text) external _OSArraySetUInt64Value
00007fff6e82486e (__TEXT,__text) external _OSArraySetValue
00007fff8d1acc70 (__DATA_CONST,__const) external _OSArray_Class
00007fff8d1acd68 (__DATA_CONST,__const) external _OSBoolean_Class
00007fff6e823396 (__TEXT,__text) external _OSCollectionTypeID
00007fff6e839984 (__TEXT,__text) non-external _OSCollectionTypeID.cold.1
00007fff6e82331c (__TEXT,__text) external _OSCollectionTypeName
00007fff6e839940 (__TEXT,__text) non-external _OSCollectionTypeName.cold.1
00007fff8d1ace60 (__DATA_CONST,__const) external _OSCollection_Class
00007fff6e826cd8 (__TEXT,__text) external _OSCollectionsInitialize
00007fff8d1acf58 (__DATA_CONST,__const) external _OSContainer_Class
00007fff6e8233f7 (__TEXT,__text) external _OSCreateObjectFromSerialization
00007fff6e825394 (__TEXT,__text) external _OSCreateSerializationFromBytes
00007fff6e839cef (__TEXT,__text) non-external _OSCreateSerializationFromBytes.cold.1
00007fff6e825297 (__TEXT,__text) external _OSCreateSerializationFromObject
00007fff6e823aaf (__TEXT,__text) external _OSDataAppendBytes
00007fff6e823a25 (__TEXT,__text) external _OSDataCreate
00007fff6e8239d6 (__TEXT,__text) external _OSDataGetBytes
00007fff6e823990 (__TEXT,__text) external _OSDataGetBytesPtr
00007fff6e8239c5 (__TEXT,__text) external _OSDataGetLength
00007fff8d1ad0b8 (__DATA_CONST,__const) external _OSData_Class
00007fff6e823c44 (__TEXT,__text) external _OSDictionaryApply
00007fff6e823bce (__TEXT,__text) external _OSDictionaryCreate
00007fff6e823c2a (__TEXT,__text) external _OSDictionaryGetCount
00007fff6e824258 (__TEXT,__text) external _OSDictionaryGetStringValue
00007fff6e82436a (__TEXT,__text) external _OSDictionaryGetUInt64Value
00007fff6e8241bb (__TEXT,__text) external _OSDictionaryGetValue
00007fff6e824325 (__TEXT,__text) external _OSDictionarySetStringValue
00007fff6e82440c (__TEXT,__text) external _OSDictionarySetUInt64Value
00007fff6e823f08 (__TEXT,__text) external _OSDictionarySetValue
00007fff8d1ad1b0 (__DATA_CONST,__const) external _OSDictionary_Class
00007fff6e823b64 (__TEXT,__text) external _OSNumberCreateWithUInt64Value
00007fff6e823b43 (__TEXT,__text) external _OSNumberGetUInt64Value
00007fff8d1ad2a8 (__DATA_CONST,__const) external _OSNumber_Class
00007fff6e825974 (__TEXT,__text) external _OSObjectLog
00007fff6e823352 (__TEXT,__text) external _OSObjectRelease
00007fff6e823347 (__TEXT,__text) external _OSObjectRetain
00007fff8d1ad3a0 (__DATA_CONST,__const) external _OSObject_Class
00007fff6e81d331 (__TEXT,__text) external _OSReportWithBacktrace
00007fff6e82546c (__TEXT,__text) external _OSSerializationGetBytes
00007fff8d1ad550 (__DATA_CONST,__const) external _OSSerialization_Class
00007fff6e8236ac (__TEXT,__text) external _OSStringCreate
00007fff6e839a56 (__TEXT,__text) non-external _OSStringCreate.cold.1
00007fff6e82366b (__TEXT,__text) external _OSStringGetLength
00007fff6e839a33 (__TEXT,__text) non-external _OSStringGetLength.cold.1
00007fff6e823633 (__TEXT,__text) external _OSStringGetStringPtr
00007fff8d1ad648 (__DATA_CONST,__const) external _OSString_Class
00007fff6e81cddd (__TEXT,__text) external _OSSynchronizeIO
00007fff85d82450 (__DATA,__bss) non-external _OSUniqueStrings
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
00007fff6e81d614 (__TEXT,__text) non-external __GLOBAL__sub_I_IOLib.cpp
00007fff8d1ad740 (__DATA_CONST,__const) external __IOBlockStorageDevice_Class
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007fff6e81d90a (__TEXT,__text) non-external (was a private external) __Z11OSFindClassP18IOUserServer_IVarsPKc
00007fff6e838a1a (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.1
00007fff6e838a3d (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.2
00007fff6e81eca6 (__TEXT,__text) non-external (was a private external) __Z11ThreadStartPFPvS_ES_
00007fff6e838e65 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.1
00007fff6e838e88 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.2
00007fff6e838eab (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.3
00007fff6e838ece (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.4
00007fff6e838ef1 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.5
00007fff6e81e0f4 (__TEXT,__text) non-external (was a private external) __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC
00007fff6e838c39 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.1
00007fff6e838c5c (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.2
00007fff6e838c7f (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.3
00007fff6e838ca2 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.4
00007fff6e838ce4 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.5
00007fff6e81db38 (__TEXT,__text) non-external (was a private external) __Z12OSObjectFreeP15OSMetaClassBase
00007fff6e838ac9 (__TEXT,__text) non-external __Z12OSObjectFreeP15OSMetaClassBase.cold.1
00007fff6e824a20 (__TEXT,__text) non-external (was a private external) __Z15OSArrayGetEntryP7OSArraym
00007fff6e826c6e (__TEXT,__text) non-external (was a private external) __Z15OSBooleanCreatev
00007fff6e81d785 (__TEXT,__text) non-external (was a private external) __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass
00007fff6e8389b1 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.1
00007fff6e8389d4 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.2
00007fff6e8389f7 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.3
00007fff6e824b33 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetStringP7OSArraym
00007fff6e824ba3 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetUInt64P7OSArraym
00007fff6e824b5e (__TEXT,__text) non-external (was a private external) __Z16OSArraySetStringP7OSArraymPKc
00007fff6e81d962 (__TEXT,__text) external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject
00007fff6e838a60 (__TEXT,__text) non-external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject.cold.1
00007fff6e838a83 (__TEXT,__text) non-external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject.cold.2
00007fff6e824ef8 (__TEXT,__text) non-external (was a private external) __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry
00007fff6e839ca9 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.1
00007fff6e839ccc (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.2
00007fff6e81de10 (__TEXT,__text) non-external (was a private external) __Z17SearchMethodArrayyPKyjPy
00007fff6e81f424 (__TEXT,__text) non-external (was a private external) __Z18OSLoadBundleByPathP18IOUserServer_IVarsPKc
00007fff6e81d6fc (__TEXT,__text) non-external (was a private external) __Z18OSStringArrayIndexP10IOPStringsPKc
00007fff6e81d667 (__TEXT,__text) non-external (was a private external) __Z19OSCopyInStringArrayPKcj
00007fff6e82548a (__TEXT,__text) non-external (was a private external) __Z19OSObjectLogInternalP8OSObjectj
00007fff6e839d12 (__TEXT,__text) non-external __Z19OSObjectLogInternalP8OSObjectj.cold.1
00007fff6e81da80 (__TEXT,__text) non-external (was a private external) __Z20OSObjectPortFinalizeP15OSMetaClassBase
00007fff6e838aa6 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.1
00007fff6e8233c4 (__TEXT,__text) non-external (was a private external) __Z20OSSerializationValueP15OSSerializationj
00007fff6e8399a7 (__TEXT,__text) non-external __Z20OSSerializationValueP15OSSerializationj.cold.1
00007fff6e82335d (__TEXT,__text) non-external (was a private external) __Z21OSSerializationTypeIDj
00007fff6e839961 (__TEXT,__text) non-external __Z21OSSerializationTypeIDj.cold.1
00007fff6e823947 (__TEXT,__text) non-external (was a private external) __Z23OSSerializationGetBytesPKjPvmm
00007fff6e824c0c (__TEXT,__text) non-external (was a private external) __Z26OSSerializationAppendBytesP15OSSerializationPKvm
00007fff6e839b05 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.1
00007fff6e839b28 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.2
00007fff6e839b4b (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.3
00007fff6e839b6e (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.4
00007fff6e823916 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationGetBytesPtrPKjmm
00007fff6e82450d (__TEXT,__text) non-external (was a private external) __Z27OSCollectionEntryArrayApplyP15OSSerialization17OSCollectionEntryU13block_pointerFbmS0_S1_E
00007fff6e8244a6 (__TEXT,__text) non-external (was a private external) __Z27OSCollectionEntryArrayCountP15OSSerialization17OSCollectionEntry
00007fff6e839a79 (__TEXT,__text) non-external __Z27OSCollectionEntryArrayCountP15OSSerialization17OSCollectionEntry.cold.1
00007fff6e823b27 (__TEXT,__text) non-external (was a private external) __Z29OSSerializationGetUInt64ValuePKj
00007fff6e824d38 (__TEXT,__text) non-external (was a private external) __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry
00007fff6e839b91 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.1
00007fff6e839bb4 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.2
00007fff6e81eda7 (__TEXT,__text) non-external (was a private external) __Z6ServerPvP17mach_msg_header_tS1_
00007fff6e838f14 (__TEXT,__text) non-external __Z6ServerPvP17mach_msg_header_tS1_.cold.1
00007fff6e838f37 (__TEXT,__text) non-external __Z6ServerPvP17mach_msg_header_tS1_.cold.2
00007fff6e81f3fc (__TEXT,__text) non-external (was a private external) __Z7astrcpyPKc
00007fff6e81e9dc (__TEXT,__text) non-external __ZL10IORPCAsyncPv
00007fff6e8378ac (__TEXT,__text) non-external __ZL10OSData_NewP11OSMetaClass
00007fff6e83779e (__TEXT,__text) non-external __ZL11OSArray_NewP11OSMetaClass
00007fff6e837222 (__TEXT,__text) non-external __ZL12OSAction_NewP11OSMetaClass
00007fff6e837948 (__TEXT,__text) non-external __ZL12OSNumber_NewP11OSMetaClass
00007fff6e837990 (__TEXT,__text) non-external __ZL12OSObject_NewP11OSMetaClass
00007fff6e8238a2 (__TEXT,__text) non-external __ZL12OSStringFindjPKcm
00007fff6e837f62 (__TEXT,__text) non-external __ZL12OSString_NewP11OSMetaClass
00007fff6e8329ca (__TEXT,__text) non-external __ZL13IOService_NewP11OSMetaClass
00007fff6e8377f2 (__TEXT,__text) non-external __ZL13OSBoolean_NewP11OSMetaClass
00007fff6e820498 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si
00007fff6e839504 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.1
00007fff6e839527 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.2
00007fff6e83954a (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.3
00007fff6e8326de (__TEXT,__text) non-external __ZL15IOMemoryMap_NewP11OSMetaClass
00007fff6e837864 (__TEXT,__text) non-external __ZL15OSContainer_NewP11OSMetaClass
00007fff6e81f0b6 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00007fff6e838f5a (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00007fff6e838f7d (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00007fff6e838fa0 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
00007fff6e838fc3 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
00007fff6e81fe0e (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc
00007fff6e839372 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.1
00007fff6e839395 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.2
00007fff6e8393b8 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.3
00007fff6e8393db (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.4
00007fff6e822cd3 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject
00007fff6e839802 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.1
00007fff6e839825 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.2
00007fff6e839848 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.3
00007fff6e83986b (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.4
00007fff6e83988e (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.5
00007fff6e8398b1 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.6
00007fff6e8398d4 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.7
00007fff6e82ed14 (__TEXT,__text) non-external __ZL16IODMACommand_NewP11OSMetaClass
00007fff6e835eb2 (__TEXT,__text) non-external __ZL16IOUserClient_NewP11OSMetaClass
00007fff6e836afe (__TEXT,__text) non-external __ZL16IOUserServer_NewP11OSMetaClass
00007fff6e83783a (__TEXT,__text) non-external __ZL16OSCollection_NewP11OSMetaClass
00007fff6e81f261 (__TEXT,__text) non-external __ZL16OSConsumeObjectsP16IORPCMessageMachb
00007fff6e81f2aa (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00007fff6e838fe6 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00007fff6e839009 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00007fff6e83902c (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
00007fff6e83904f (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
00007fff6e839072 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.5
00007fff6e839095 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.6
00007fff6e8378f4 (__TEXT,__text) non-external __ZL16OSDictionary_NewP11OSMetaClass
00007fff6e8307e2 (__TEXT,__text) non-external __ZL19IODispatchQueue_NewP11OSMetaClass
00007fff6e8247a0 (__TEXT,__text) non-external __ZL19OSArrayContainerizeP7OSArray
00007fff6e824e14 (__TEXT,__text) non-external __ZL19OSSerializationSizeP15OSSerializationj
00007fff6e839bd7 (__TEXT,__text) non-external __ZL19OSSerializationSizeP15OSSerializationj.cold.1
00007fff6e839bfa (__TEXT,__text) non-external __ZL19OSSerializationSizeP15OSSerializationj.cold.2
00007fff6e824e54 (__TEXT,__text) non-external __ZL19OSSerializationSizePKjj
00007fff6e839c1d (__TEXT,__text) non-external __ZL19OSSerializationSizePKjj.cold.1
00007fff6e839c40 (__TEXT,__text) non-external __ZL19OSSerializationSizePKjj.cold.2
00007fff6e839c63 (__TEXT,__text) non-external __ZL19OSSerializationSizePKjj.cold.3
00007fff6e839c86 (__TEXT,__text) non-external __ZL19OSSerializationSizePKjj.cold.4
00007fff6e837f1a (__TEXT,__text) non-external __ZL19OSSerialization_NewP11OSMetaClass
00007fff85d82440 (__DATA,__bss) non-external __ZL19OSUniqueStringsLock
00007fff85d82430 (__DATA,__bss) non-external __ZL19gIODispatchQueueKey
00007fff6e830c8c (__TEXT,__text) non-external __ZL20IODispatchSource_NewP11OSMetaClass
00007fff6e824698 (__TEXT,__text) non-external __ZL20OSArrayInternalApplyP7OSArrayjU13block_pointerFbmP15OSSerialization17OSCollectionEntryE
00007fff6e824291 (__TEXT,__text) non-external __ZL20OSDictionaryGetEntryP12OSDictionaryP8OSObjectPKcPm
00007fff6e81f509 (__TEXT,__text) non-external __ZL20OSScanClassesInMachOP18IOUserServer_IVarsPK14mach_header_64
00007fff6e8390b8 (__TEXT,__text) non-external __ZL20OSScanClassesInMachOP18IOUserServer_IVarsPK14mach_header_64.cold.1
00007fff6e8390db (__TEXT,__text) non-external __ZL20OSScanClassesInMachOP18IOUserServer_IVarsPK14mach_header_64.cold.2
00007fff6e82649b (__TEXT,__text) non-external __ZL21OSArrayIterateObjectsP7OSArrayjU13block_pointerFbP8OSObjectE
00007fff6e831d90 (__TEXT,__text) non-external __ZL22IOMemoryDescriptor_NewP11OSMetaClass
00007fff6e82487a (__TEXT,__text) non-external __ZL23OSArraySetValueInternalP7OSArraymP8OSObjectb
00007fff6e823c9f (__TEXT,__text) non-external __ZL24OSDictionaryContainerizeP12OSDictionary
00007fff6e8355fa (__TEXT,__text) non-external __ZL25IOTimerDispatchSource_NewP11OSMetaClass
00007fff6e83d0f8 (__TEXT,__const) non-external __ZL25OSClassDescription_OSData
00007fff6e823d1a (__TEXT,__text) non-external __ZL25OSDictionaryInternalApplyP12OSDictionaryU13block_pointerFbmP15OSSerialization17OSCollectionEntryS3_E
00007fff6e8245a3 (__TEXT,__text) non-external __ZL25OSSerializationArrayApplyP15OSSerializationjjU13block_pointerFbmyE
00007fff6e839a9c (__TEXT,__text) non-external __ZL25OSSerializationArrayApplyP15OSSerializationjjU13block_pointerFbmyE.cold.1
00007fff6e839abf (__TEXT,__text) non-external __ZL25OSSerializationArrayApplyP15OSSerializationjjU13block_pointerFbmyE.cold.2
00007fff6e839ae2 (__TEXT,__text) non-external __ZL25OSSerializationArrayApplyP15OSSerializationjjU13block_pointerFbmyE.cold.3
00007fff6e837faa (__TEXT,__text) non-external __ZL25_IOBlockStorageDevice_NewP11OSMetaClass
00007fff6e83cb70 (__TEXT,__const) non-external __ZL26OSClassDescription_OSArray
00007fff6e83ca18 (__TEXT,__const) non-external __ZL27OSClassDescription_OSAction
00007fff6e83d3a8 (__TEXT,__const) non-external __ZL27OSClassDescription_OSNumber
00007fff6e83d568 (__TEXT,__const) non-external __ZL27OSClassDescription_OSObject
00007fff6e83d820 (__TEXT,__const) non-external __ZL27OSClassDescription_OSString
00007fff6e81ce72 (__TEXT,__text) non-external __ZL27PE_parse_boot_argn_internalPKcPvib
00007fff6e82e8b0 (__TEXT,__text) non-external __ZL28IOBufferMemoryDescriptor_NewP11OSMetaClass
00007fff6e820708 (__TEXT,__text) non-external __ZL28IODispatchQueueBlockFunctionPv
00007fff6e83be30 (__TEXT,__const) non-external __ZL28OSClassDescription_IOService
00007fff6e83ccc8 (__TEXT,__const) non-external __ZL28OSClassDescription_OSBoolean
00007fff6e8241ca (__TEXT,__text) non-external __ZL28OSDictionaryGetValueInternalP12OSDictionaryP8OSObjectPKc
00007fff6e823f1a (__TEXT,__text) non-external __ZL28OSDictionarySetValueInternalP12OSDictionaryP8OSObjectPKcS2_
00007fff6e82f850 (__TEXT,__text) non-external __ZL29IODataQueueDispatchSource_NewP11OSMetaClass
00007fff6e831572 (__TEXT,__text) non-external __ZL29IOInterruptDispatchSource_NewP11OSMetaClass
00007fff6e823e70 (__TEXT,__text) non-external __ZL29OSCollectionEntryGetStringPtrP15OSSerialization17OSCollectionEntry
00007fff6e83ba98 (__TEXT,__const) non-external __ZL30OSClassDescription_IOMemoryMap
00007fff6e83cf78 (__TEXT,__const) non-external __ZL30OSClassDescription_OSContainer
00007fff6e826e3f (__TEXT,__text) non-external __ZL30OSSerializationDictionaryApplyP15OSSerializationjU13block_pointerFbmyyE
00007fff6e839d7b (__TEXT,__text) non-external __ZL30OSSerializationDictionaryApplyP15OSSerializationjU13block_pointerFbmyyE.cold.1
00007fff6e839d9e (__TEXT,__text) non-external __ZL30OSSerializationDictionaryApplyP15OSSerializationjU13block_pointerFbmyyE.cold.2
