00000001804fb85c (__TEXT,__text) external _OSAtomicAdd32
00000001804fd680 (__TEXT,__text) external __simple_dprintf
00000001804fc4ec (__TEXT,__text) external __simple_esappend
00000001804fa348 (__TEXT,__text) external __simple_esprintf
00000001804faf80 (__TEXT,__text) external __simple_getenv
00000001804fd7e8 (__TEXT,__text) external __simple_put
00000001804fd7f0 (__TEXT,__text) external __simple_putline
00000001804f9928 (__TEXT,__text) external __simple_salloc
00000001804fa44c (__TEXT,__text) external __simple_sappend
00000001804f9d5c (__TEXT,__text) external __simple_sfree
00000001804fd908 (__TEXT,__text) external __simple_snprintf
00000001804f99d0 (__TEXT,__text) external __simple_sprintf
00000001804fa4b8 (__TEXT,__text) external __simple_sresize
00000001804f9d4c (__TEXT,__text) external __simple_string
00000001804fd578 (__TEXT,__text) external __simple_vdprintf
00000001804fbbd0 (__TEXT,__text) external __simple_vesprintf
00000001804fd838 (__TEXT,__text) external __simple_vsnprintf
00000001804ff510 (__TEXT,__text) non-external __simple_vsnprintf.cold.1
00000001804f99a8 (__TEXT,__text) external __simple_vsprintf
00000001804fd8e8 (__TEXT,__text) non-external __snprintf_out_of_space
00000001804fb6d8 (__TEXT,__text) external __spin_lock
00000001804fe278 (__TEXT,__text) external __spin_lock_try
00000001804fb6f4 (__TEXT,__text) external __spin_unlock
00000001804febc4 (__TEXT,__text) non-external _approx_timebase
                 (undefined) external _close (from libsystem_kernel)
00000001ec718060 (__DATA_DIRTY,__common) non-external (was a private external) _commpage_pfz_base
                 (undefined) external _connect (from libsystem_kernel)
00000001804fc6e8 (__TEXT,__text) non-external _cpus_that_need_dsb_for_ic_ivau
00000001804f9df0 (__TEXT,__text) non-external _dec
                 (undefined) external _fcntl (from libsystem_kernel)
00000001804f8c3c (__TEXT,__text) external _ffs
00000001804f8c54 (__TEXT,__text) external _ffsl
00000001804f8c54 (__TEXT,__text) external _ffsll
00000001804f8c6c (__TEXT,__text) external _fls
00000001804f8c7c (__TEXT,__text) external _flsl
00000001804f8c7c (__TEXT,__text) external _flsll
00000001e9c5c000 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
00000001804fcd50 (__TEXT,__text) external _getcontext
                 (undefined) external _getgid (from libsystem_kernel)
                 (undefined) external _getpid (from libsystem_kernel)
                 (undefined) external _getrlimit (from libsystem_kernel)
                 (undefined) external _getuid (from libsystem_kernel)
00000001804f9a08 (__TEXT,__text) non-external _hex
00000001804f9850 (__TEXT,__text) external _longjmp
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_continuous_time (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _mach_timebase_info (from libsystem_kernel)
                 (undefined) external _mach_vm_deallocate (from libsystem_kernel)
                 (undefined) external _mach_vm_map (from libsystem_kernel)
                 (undefined) external _mach_vm_protect (from libsystem_kernel)
00000001804ff210 (__TEXT,__text) external _makecontext
00000001804fed3c (__TEXT,__text) non-external (was a private external) _memset
00000001804fd934 (__TEXT,__text) non-external _oct
00000001804fe874 (__TEXT,__text) external _os_apt_msg_async_task_running_4swift
00000001804fe9a0 (__TEXT,__text) non-external _os_apt_msg_async_task_running_4swift_dev
00000001804fe8d4 (__TEXT,__text) non-external _os_apt_msg_async_task_running_4swift_dev_prodel0
00000001804fe9e0 (__TEXT,__text) non-external _os_apt_msg_async_task_running_4swift_nop
00000001804fe940 (__TEXT,__text) non-external _os_apt_msg_async_task_running_4swift_prodel0
00000001804fe9e4 (__TEXT,__text) external _os_apt_msg_async_task_stopped_4swift
00000001804feaa4 (__TEXT,__text) non-external _os_apt_msg_async_task_stopped_4swift_dev
00000001804fea44 (__TEXT,__text) non-external _os_apt_msg_async_task_stopped_4swift_dev_prodel0
00000001804fead0 (__TEXT,__text) non-external _os_apt_msg_async_task_stopped_4swift_nop
00000001804fea78 (__TEXT,__text) non-external _os_apt_msg_async_task_stopped_4swift_prodel0
00000001804fead4 (__TEXT,__text) external _os_apt_msg_async_task_waiting_on_4swift
00000001804feb94 (__TEXT,__text) non-external _os_apt_msg_async_task_waiting_on_4swift_dev
00000001804feb34 (__TEXT,__text) non-external _os_apt_msg_async_task_waiting_on_4swift_dev_prodel0
00000001804febc0 (__TEXT,__text) non-external _os_apt_msg_async_task_waiting_on_4swift_nop
00000001804feb68 (__TEXT,__text) non-external _os_apt_msg_async_task_waiting_on_4swift_prodel0
00000001804fb75c (__TEXT,__text) external _os_lock_lock
00000001804fba98 (__TEXT,__text) external _os_lock_trylock
00000001804fb78c (__TEXT,__text) external _os_lock_unlock
00000001804fcdd8 (__TEXT,__text) external _os_log_simple_now
00000001804fcddc (__TEXT,__text) external _os_log_simple_type_from_asl
00000001804ffe50 (__TEXT,__const) non-external _os_log_simple_type_from_asl._level2ostype
00000001e9c58000 (__DATA,__script_config) external _os_script_config_storage
00000001804fe0b4 (__TEXT,__text) external _os_security_config_get
00000001804fe0d8 (__TEXT,__text) external _os_security_config_get_for_proc
00000001804fe154 (__TEXT,__text) external _os_security_config_get_for_task
00000001804fe6d4 (__TEXT,__text) external _os_sync_wait_on_address
00000001804fe538 (__TEXT,__text) external _os_sync_wait_on_address_with_deadline
00000001804fe634 (__TEXT,__text) external _os_sync_wait_on_address_with_timeout
00000001804fe7ec (__TEXT,__text) external _os_sync_wake_by_address_all
00000001804fe764 (__TEXT,__text) external _os_sync_wake_by_address_any
00000001804f92a0 (__TEXT,__text) external _os_unfair_lock_assert_not_owner
00000001804ff794 (__TEXT,__text) non-external _os_unfair_lock_assert_not_owner.cold.1
00000001804f8c10 (__TEXT,__text) external _os_unfair_lock_assert_owner
00000001804ff76c (__TEXT,__text) non-external _os_unfair_lock_assert_owner.cold.1
00000001804f8be8 (__TEXT,__text) external _os_unfair_lock_lock
00000001804fe3c4 (__TEXT,__text) external _os_unfair_lock_lock_no_tsd
00000001804fe3f8 (__TEXT,__text) external _os_unfair_lock_lock_with_flags
00000001804f88a0 (__TEXT,__text) external _os_unfair_lock_lock_with_options
00000001804f9640 (__TEXT,__text) external _os_unfair_lock_trylock
00000001804fe2ac (__TEXT,__text) external _os_unfair_lock_trylock_with_options
00000001804f88c4 (__TEXT,__text) external _os_unfair_lock_unlock
00000001804fe3e4 (__TEXT,__text) external _os_unfair_lock_unlock_no_tsd
00000001804f88e0 (__TEXT,__text) external _os_unfair_recursive_lock_lock_with_options
00000001804fe41c (__TEXT,__text) external _os_unfair_recursive_lock_owned
00000001804fa90c (__TEXT,__text) external _os_unfair_recursive_lock_trylock
00000001804f96b4 (__TEXT,__text) external _os_unfair_recursive_lock_tryunlock4objc
00000001804ff7bc (__TEXT,__text) non-external _os_unfair_recursive_lock_tryunlock4objc.cold.1
00000001804f8954 (__TEXT,__text) external _os_unfair_recursive_lock_unlock
00000001804fe438 (__TEXT,__text) external _os_unfair_recursive_lock_unlock_forked_child
00000001804ff7d0 (__TEXT,__text) non-external _os_unfair_recursive_lock_unlock_forked_child.cold.1
00000001804ff338 (__TEXT,__text) non-external (was a private external) _populate_signal_stack_context
                 (undefined) external _proc_pidinfo (from libsystem_kernel)
                 (undefined) external _semaphore_create (from libsystem_kernel)
                 (undefined) external _semaphore_destroy (from libsystem_kernel)
                 (undefined) external _semaphore_signal (from libsystem_kernel)
                 (undefined) external _semaphore_wait (from libsystem_kernel)
00000001804ff3d4 (__TEXT,__text) external _setcontext
00000001804f97f4 (__TEXT,__text) external _setjmp
00000001804f9844 (__TEXT,__text) external _siglongjmp
                 (undefined) external _sigprocmask (from libsystem_kernel)
00000001804f97e8 (__TEXT,__text) external _sigsetjmp
                 (undefined) external _socket (from libsystem_kernel)
00000001804fb6d8 (__TEXT,__text) external _spin_lock
00000001804fe278 (__TEXT,__text) external _spin_lock_try
00000001804fb6f4 (__TEXT,__text) external _spin_unlock
00000001804ff158 (__TEXT,__text) external _swapcontext
00000001804fde10 (__TEXT,__text) external _sys_cache_control
00000001804fc708 (__TEXT,__text) external _sys_dcache_flush
00000001804fc654 (__TEXT,__text) external _sys_icache_invalidate
                 (undefined) external _task_info (from libsystem_kernel)
                 (undefined) external _thread_switch (from libsystem_kernel)
00000001804ff43c (__TEXT,__text) external _timingsafe_enable_if_supported
00000001804ff450 (__TEXT,__text) external _timingsafe_restore_if_supported
00000001804fa720 (__TEXT,__text) non-external _udec
                 (undefined) external _vm_allocate (from libsystem_kernel)
                 (undefined) external _vm_deallocate (from libsystem_kernel)
                 (undefined) external _vm_page_size (from libsystem_kernel)
                 (undefined) external _write (from libsystem_kernel)
00000001804fdaf8 (__TEXT,__text) non-external _ydec
