00007ff8400abd80 (__DATA,__data) non-external _C
00007ff800b57c69 (__TEXT,__text) non-external __EUC_KR_mbrtowc
00007ff800b57caf (__TEXT,__text) non-external __EUC_KR_mbsnrtowcs
00007ff800b57c8d (__TEXT,__text) non-external __EUC_KR_wcrtomb
00007ff800b57cb9 (__TEXT,__text) non-external __EUC_KR_wcsnrtombs
00007ff800b57df8 (__TEXT,__text) non-external (was a private external) __EUC_TW_init
00007ff800b57e5e (__TEXT,__text) non-external __EUC_TW_mbrtowc
00007ff800b57eb0 (__TEXT,__text) non-external __EUC_TW_mbsnrtowcs
00007ff800b57e88 (__TEXT,__text) non-external __EUC_TW_wcrtomb
00007ff800b57eba (__TEXT,__text) non-external __EUC_TW_wcsnrtombs
00007ff800b57d92 (__TEXT,__text) non-external (was a private external) __EUC_init
00007ff800b57ec4 (__TEXT,__text) non-external __EUC_mbrtowc_impl
00007ff800b57be9 (__TEXT,__text) non-external __EUC_mbsinit
00007ff800b57fe1 (__TEXT,__text) non-external __EUC_wcrtomb_impl
00007ff800b7f7b4 (__TEXT,__text) external __Exit
00007ff800b581a4 (__TEXT,__text) non-external (was a private external) __GB18030_init
00007ff800b581db (__TEXT,__text) non-external __GB18030_mbrtowc
00007ff800b58415 (__TEXT,__text) non-external __GB18030_mbsinit
00007ff800b58324 (__TEXT,__text) non-external __GB18030_wcrtomb
00007ff800b5842e (__TEXT,__text) non-external (was a private external) __GB2312_init
00007ff800b58465 (__TEXT,__text) non-external __GB2312_mbrtowc
00007ff800b585a6 (__TEXT,__text) non-external __GB2312_mbsinit
00007ff800b58567 (__TEXT,__text) non-external __GB2312_wcrtomb
00007ff800b585bf (__TEXT,__text) non-external (was a private external) __GBK_init
00007ff800b585f6 (__TEXT,__text) non-external __GBK_mbrtowc
00007ff800b586f6 (__TEXT,__text) non-external __GBK_mbsinit
00007ff800b586b7 (__TEXT,__text) non-external __GBK_wcrtomb
00007ff800b59cc9 (__TEXT,__text) non-external (was a private external) __MSKanji_init
00007ff800b59d00 (__TEXT,__text) non-external __MSKanji_mbrtowc
00007ff800b59f2c (__TEXT,__text) non-external __MSKanji_mbsinit
00007ff800b59dcf (__TEXT,__text) non-external __MSKanji_wcrtomb
00007ff800b3e24a (__TEXT,__text) external __NSGetArgc
00007ff800b3e23d (__TEXT,__text) external __NSGetArgv
00007ff800b3e257 (__TEXT,__text) external __NSGetEnviron
00007ff800b3e271 (__TEXT,__text) external __NSGetMachExecuteHeader
00007ff800b3e264 (__TEXT,__text) external __NSGetProgname
00007ff8400b8b08 (__DATA,__common) external __PathLocale
00007ff800b889e4 (__TEXT,__text) external __Read_RuneMagi
00007ff800b7f007 (__TEXT,__text) non-external (was a private external) __UTF2_init
00007ff800b7f054 (__TEXT,__text) non-external __UTF2_mbrtowc
00007ff800b7f239 (__TEXT,__text) non-external __UTF2_mbsinit
00007ff800b7f253 (__TEXT,__text) non-external __UTF2_mbsnrtowcs
00007ff800b7f1b2 (__TEXT,__text) non-external __UTF2_wcrtomb
00007ff800b7f3ce (__TEXT,__text) non-external __UTF2_wcsnrtombs
00007ff800b5b987 (__TEXT,__text) non-external (was a private external) __UTF8_init
00007ff800b5b9d4 (__TEXT,__text) non-external __UTF8_mbrtowc
00007ff800b5bc63 (__TEXT,__text) non-external __UTF8_mbsinit
00007ff800b5bc7d (__TEXT,__text) non-external __UTF8_mbsnrtowcs
00007ff800b5bbb7 (__TEXT,__text) non-external __UTF8_wcrtomb
00007ff800b5bdf8 (__TEXT,__text) non-external __UTF8_wcsnrtombs
00007ff800b4af0a (__TEXT,__text) external ___Balloc_D2A
00007ff800b4b053 (__TEXT,__text) external ___Bfree_D2A
00007ff800b3bd4d (__TEXT,__text) external ____mb_cur_max
00007ff800b3bd7b (__TEXT,__text) external ____mb_cur_max_l
00007ff800b5aa58 (__TEXT,__text) external ____runetype
00007ff800b5a9a7 (__TEXT,__text) external ____runetype_l
00007ff800b5b88d (__TEXT,__text) external ____tolower
00007ff800b5b7e3 (__TEXT,__text) external ____tolower_l
00007ff800b5b95f (__TEXT,__text) external ____toupper
00007ff800b5b8b5 (__TEXT,__text) external ____toupper_l
00007ff800b9e93f (__TEXT,__text) non-external (was a private external) ___abort
00007ff800b45acf (__TEXT,__text) external ___add_ovflpage
00007ff800b4584b (__TEXT,__text) external ___addel
00007ff800b4bb20 (__TEXT,__text) external ___any_on_D2A
00007ff800b9dc2a (__TEXT,__text) external ___assert_rtn
00007ff8400b89f8 (__DATA,__bss) non-external ___atexit
00007ff800b7f7ca (__TEXT,__text) non-external (was a private external) ___atexit_init
00007ff8400b8a00 (__DATA,__bss) non-external ___atexit_new_registration
00007ff800b4b6df (__TEXT,__text) external ___b2d_D2A
00007ff800b4416a (__TEXT,__text) external ___big_delete
00007ff800b43eac (__TEXT,__text) external ___big_insert
00007ff800b44797 (__TEXT,__text) external ___big_keydata
00007ff800b44431 (__TEXT,__text) external ___big_return
00007ff800b44906 (__TEXT,__text) external ___big_split
00007ff800ba03a0 (__TEXT,__const) external ___bigtens_D2A
00007ff800b3ed96 (__TEXT,__text) external ___bt_close
00007ff800b42aca (__TEXT,__text) external ___bt_cmp
00007ff800b42b6a (__TEXT,__text) external ___bt_defcmp
00007ff800b42bb1 (__TEXT,__text) external ___bt_defpfx
00007ff800b3f1fd (__TEXT,__text) external ___bt_delete
00007ff800b3f857 (__TEXT,__text) external ___bt_dleaf
00007ff800b406dd (__TEXT,__text) external ___bt_fd
00007ff800b4172a (__TEXT,__text) non-external ___bt_first
00007ff800b40a9f (__TEXT,__text) external ___bt_free
00007ff800b3feb5 (__TEXT,__text) external ___bt_get
00007ff800b40ad0 (__TEXT,__text) external ___bt_new
00007ff800b3ff92 (__TEXT,__text) external ___bt_open
00007ff800b3fc21 (__TEXT,__text) non-external ___bt_pdelete
00007ff800b3ef30 (__TEXT,__text) external ___bt_pgin
00007ff800b3f0b8 (__TEXT,__text) external ___bt_pgout
00007ff800b40b23 (__TEXT,__text) external ___bt_put
00007ff800b3fe2c (__TEXT,__text) non-external ___bt_relink
00007ff800b42918 (__TEXT,__text) external ___bt_ret
00007ff800b410a0 (__TEXT,__text) external ___bt_search
00007ff800b41304 (__TEXT,__text) external ___bt_seq
00007ff800b416e0 (__TEXT,__text) external ___bt_setcur
00007ff800b41901 (__TEXT,__text) external ___bt_split
00007ff800b3f4fe (__TEXT,__text) non-external ___bt_stkacq
00007ff800b3ee62 (__TEXT,__text) external ___bt_sync
00007ff800b44eda (__TEXT,__text) external ___buf_free
00007ff800b44ea2 (__TEXT,__text) non-external (was a private external) ___buf_init
00007ff8400abd88 (__DATA,__data) non-external ___c_locale
00007ff800b8ee61 (__TEXT,__text) non-external ___calc_left_pad
00007ff800b439fc (__TEXT,__text) external ___call_hash
00007ff8400ace50 (__DATA,__data) non-external (was a private external) ___chk_assert_no_overlap
00007ff800b9cd09 (__TEXT,__text) non-external (was a private external) ___chk_fail_overflow
00007ff800b9cd1b (__TEXT,__text) non-external (was a private external) ___chk_fail_overlap
00007ff800b4be5f (__TEXT,__text) non-external (was a private external) ___chk_init
00007ff800b9cd2d (__TEXT,__text) non-external (was a private external) ___chk_overlap
00007ff8400b8b70 (__DATA,__common) external ___cleanup
00007ff800b4b583 (__TEXT,__text) external ___cmp_D2A
00007ff800b57163 (__TEXT,__text) non-external (was a private external) ___collate_collating_symbol
00007ff800b57360 (__TEXT,__text) non-external (was a private external) ___collate_equiv_class
00007ff800b57526 (__TEXT,__text) external ___collate_equiv_match
00007ff800b579c3 (__TEXT,__text) non-external (was a private external) ___collate_equiv_value
00007ff800b5686e (__TEXT,__text) non-external (was a private external) ___collate_err
00007ff8400ac448 (__DATA,__data) external ___collate_load_error
00007ff800b55ba6 (__TEXT,__text) non-external (was a private external) ___collate_load_tables
00007ff8400ade60 (__DATA,__bss) non-external ___collate_load_tables.cache
00007ff800b5607e (__TEXT,__text) non-external ___collate_load_tables_legacy
00007ff800b56c4f (__TEXT,__text) external ___collate_lookup
00007ff800b56929 (__TEXT,__text) external ___collate_lookup_l
00007ff800b56e1f (__TEXT,__text) non-external (was a private external) ___collate_lookup_which
00007ff800b56d10 (__TEXT,__text) non-external (was a private external) ___collate_mbstowcs
00007ff800b57b05 (__TEXT,__text) non-external (was a private external) ___collate_range_cmp
00007ff8400ade68 (__DATA,__bss) non-external ___collate_range_cmp.s1
00007ff8400ade70 (__DATA,__bss) non-external ___collate_range_cmp.s2
00007ff800b56653 (__TEXT,__text) non-external (was a private external) ___collate_substitute
00007ff800b5681c (__TEXT,__text) non-external (was a private external) ___collate_wcsdup
00007ff800b56f15 (__TEXT,__text) non-external (was a private external) ___collate_xfrm
                 (undefined) external ___commpage_gettimeofday (from libsystem_kernel)
00007ff800b34d9c (__TEXT,__text) non-external (was a private external) ___confstr_init
00007ff800b4baa7 (__TEXT,__text) external ___copybits_D2A
00007ff800b87eb1 (__TEXT,__text) non-external ___cvt
00007ff8400b8a70 (__DATA,__bss) non-external ___cvt.s
00007ff800b7f97b (__TEXT,__text) external ___cxa_atexit
00007ff800b7fbaa (__TEXT,__text) external ___cxa_finalize
00007ff800b7f9ae (__TEXT,__text) external ___cxa_finalize_ranges
00007ff800b4b7ae (__TEXT,__text) external ___d2b_D2A
00007ff8400b8b28 (__DATA,__common) non-external (was a private external) ___darwin_altzone
00007ff800b42c9a (__TEXT,__text) non-external ___dberr
00007ff800b42c75 (__TEXT,__text) external ___dbpanic
00007ff8400ac358 (__DATA,__data) external ___default_hash
00007ff800b450f4 (__TEXT,__text) external ___delpair
00007ff800b5b0a7 (__TEXT,__text) non-external (was a private external) ___detect_path_locale
00007ff800b4b5cb (__TEXT,__text) external ___diff_D2A
00007ff8400adbb0 (__DATA,__bss) non-external ___dirhelper_func
00007ff800b48c5c (__TEXT,__text) external ___dtoa
00007ff8400b8b90 (__DATA,__common) non-external (was a private external) ___env_owned
00007ff800b7fee4 (__TEXT,__text) non-external (was a private external) ___environ_lock_fork_child
00007ff8400b8a04 (__DATA,__bss) non-external ___environ_lock_obj
                 (undefined) external ___error (from libsystem_kernel)
00007ff800b7c61b (__TEXT,__text) non-external (was a private external) ___errstr
00007ff800b62fcb (__TEXT,__text) non-external ___evpinit
                 (undefined) external ___exit (from libsystem_kernel)
00007ff800b438a7 (__TEXT,__text) external ___expand_table
00007ff8400af910 (__DATA,__bss) non-external ___fallback_evp
                 (undefined) external ___fcntl (from libsystem_kernel)
                 (undefined) external ___fcntl_nocancel (from libsystem_kernel)
00007ff800b5f97b (__TEXT,__text) external ___fflush
00007ff800b5fdae (__TEXT,__text) external ___fgetwc
00007ff800b638b4 (__TEXT,__text) non-external (was a private external) ___find_arguments
00007ff800b442a5 (__TEXT,__text) external ___find_bigpair
00007ff800b443bb (__TEXT,__text) external ___find_last_page
00007ff800b64980 (__TEXT,__text) non-external (was a private external) ___find_warguments
00007ff800b7fe20 (__TEXT,__text) non-external (was a private external) ___findenv_locked
00007ff800b580c7 (__TEXT,__text) external ___fix_locale_grouping_str
00007ff800b58183 (__TEXT,__text) non-external (was a private external) ___fix_nogrouping
                 (undefined) external ___fork (from libsystem_kernel)
                 (undefined) external ___fpclassifyd (from libsystem_m)
                 (undefined) external ___fpclassifyl (from libsystem_m)
00007ff800b60b0d (__TEXT,__text) non-external (was a private external) ___fputwc
00007ff800b61013 (__TEXT,__text) external ___fread
00007ff800b463b8 (__TEXT,__text) external ___free_ovflpage
00007ff800b48b02 (__TEXT,__text) external ___freedtoa
00007ff8400ace54 (__DATA,__data) non-external (was a private external) ___ftell_conformance_fix
00007ff800b35a3d (__TEXT,__text) non-external ___fts_open
00007ff800b49bc8 (__TEXT,__text) external ___gdtoa
00007ff8400b8ad8 (__DATA,__common) external ___gdtoa_locks
00007ff800b44a94 (__TEXT,__text) external ___get_buf
00007ff800b58bc0 (__TEXT,__text) non-external (was a private external) ___get_current_messages_locale
00007ff800b590a2 (__TEXT,__text) non-external (was a private external) ___get_current_monetary_locale
00007ff800b5930c (__TEXT,__text) non-external (was a private external) ___get_current_numeric_locale
00007ff800b7be47 (__TEXT,__text) non-external (was a private external) ___get_current_time_locale
00007ff800b5aee2 (__TEXT,__text) non-external (was a private external) ___get_locale_env
00007ff800b45e72 (__TEXT,__text) external ___get_page
00007ff800b503bf (__TEXT,__text) non-external ___getcwd
                 (undefined) external ___getdirentries64 (from libsystem_kernel)
00007ff8400af8d0 (__DATA,__bss) non-external ___getevp.predicate
                 (undefined) external ___gettimeofday (from libsystem_kernel)
00007ff8400ab7b8 (__DATA,__data) non-external (was a private external) ___global_locale
00007ff800b7f547 (__TEXT,__text) non-external (was a private external) ___guard_setup
00007ff800b42ca8 (__TEXT,__text) external ___hash_open
00007ff800b484a8 (__TEXT,__text) external ___hdtoa
00007ff800b88592 (__TEXT,__text) non-external (was a private external) ___heapsort_r
00007ff800b4b1c6 (__TEXT,__text) external ___hi0bits_D2A
00007ff800b4881e (__TEXT,__text) external ___hldtoa
00007ff800b4b232 (__TEXT,__text) external ___i2b_D2A
00007ff800b462ed (__TEXT,__text) external ___ibitmap
00007ff800b85d31 (__TEXT,__text) non-external (was a private external) ___init__env_owned_locked
00007ff800b5a5ec (__TEXT,__text) external ___isctype
00007ff800b5a582 (__TEXT,__text) external ___istype
00007ff800b5a74f (__TEXT,__text) external ___istype_l
00007ff8400ac3c1 (__DATA,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
                 (undefined) external ___kill (from libsystem_kernel)
00007ff800b88830 (__TEXT,__text) external ___ldtoa
00007ff800b3e1ba (__TEXT,__text) external ___libc_init
00007ff800b4b09e (__TEXT,__text) external ___lo0bits_D2A
00007ff800b63061 (__TEXT,__text) non-external ___loadevp
00007ff8400abd78 (__DATA,__data) non-external (was a private external) ___locale_key
00007ff800b450d8 (__TEXT,__text) external ___log2
00007ff800ba1170 (__TEXT,__const) non-external (was a private external) ___lowercase_hex
00007ff800b4b489 (__TEXT,__text) external ___lshift_D2A
00007ff800b5a530 (__TEXT,__text) external ___maskrune
00007ff800b5a6fa (__TEXT,__text) external ___maskrune_l
00007ff800b4ba6a (__TEXT,__text) external ___match_D2A
00007ff8400ac51c (__DATA,__data) external ___mb_cur_max
00007ff8400ac520 (__DATA,__data) external ___mb_sb_limit
00007ff800b72276 (__TEXT,__text) non-external ___mbsconv
00007ff800b598a1 (__TEXT,__text) non-external (was a private external) ___mbsnrtowcs_std
00007ff800b9cefd (__TEXT,__text) external ___memccpy_chk
00007ff800b9d35f (__TEXT,__text) external ___memcpy_chk
00007ff800b9ce98 (__TEXT,__text) external ___memmove_chk
00007ff800b9cd59 (__TEXT,__text) external ___memset_chk
00007ff800b589b9 (__TEXT,__text) non-external (was a private external) ___messages_load_locale
00007ff8400ade78 (__DATA,__bss) non-external ___messages_load_locale.cache
00007ff800b58be3 (__TEXT,__text) non-external (was a private external) ___monetary_load_locale
00007ff8400ade88 (__DATA,__bss) non-external ___monetary_load_locale.cache
00007ff800b4b255 (__TEXT,__text) external ___mult_D2A
00007ff800b4b12d (__TEXT,__text) external ___multadd_D2A
00007ff800b5f109 (__TEXT,__text) non-external ___nls_free_resources
00007ff800ba0a7d (__TEXT,__const) non-external ___nogrouping
00007ff800b48abf (__TEXT,__text) external ___nrv_alloc_D2A
00007ff800b3bb3c (__TEXT,__text) non-external (was a private external) ___numeric_ctype
00007ff800b590c5 (__TEXT,__text) non-external (was a private external) ___numeric_load_locale
00007ff8400ade98 (__DATA,__bss) non-external ___numeric_load_locale.cache
                 (undefined) external ___open (from libsystem_kernel)
                 (undefined) external ___open_nocancel (from libsystem_kernel)
00007ff800b5b13a (__TEXT,__text) non-external (was a private external) ___open_path_locale
00007ff800b50c2b (__TEXT,__text) external ___opendir2
00007ff800b50d3a (__TEXT,__text) non-external ___opendir_common
00007ff800b409dd (__TEXT,__text) external ___ovfl_delete
00007ff800b4080a (__TEXT,__text) external ___ovfl_get
00007ff800b408e5 (__TEXT,__text) external ___ovfl_put
00007ff800b6e1fa (__TEXT,__text) non-external (was a private external) ___parsefloat_buf
00007ff8400af938 (__DATA,__bss) non-external ___parsefloat_buf.bsiz
00007ff8400af930 (__DATA,__bss) non-external ___parsefloat_buf.parsefloat_tsd_key
00007ff8400acb00 (__DATA,__data) non-external ___parsefloat_buf.parsefloat_tsd_lock
00007ff800b5870f (__TEXT,__text) non-external (was a private external) ___part_load_locale
                 (undefined) external ___platform_sigaction (from libsystem_platform)
00007ff8400b8af8 (__DATA,__common) non-external (was a private external) ___popen_pidlist
00007ff8400ac3c8 (__DATA,__data) non-external (was a private external) ___popen_pidlist_mutex
00007ff800b4b382 (__TEXT,__text) external ___pow5mult_D2A
00007ff800ba0390 (__TEXT,__const) non-external ___pow5mult_D2A.p05
00007ff800b8be4e (__TEXT,__text) non-external (was a private external) ___printf_arginfo_chr
00007ff800b9ec83 (__TEXT,__text) non-external ___printf_arginfo_chr.cold.1
00007ff800b8a114 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_errno
00007ff800b9eb12 (__TEXT,__text) non-external ___printf_arginfo_errno.cold.1
00007ff800b8a204 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_float
00007ff800b9eb34 (__TEXT,__text) non-external ___printf_arginfo_float.cold.1
00007ff800b8adf0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_hexdump
00007ff800b9eb7a (__TEXT,__text) non-external ___printf_arginfo_hexdump.cold.1
00007ff800b8b064 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_int
00007ff800b9eb9b (__TEXT,__text) non-external ___printf_arginfo_int.cold.1
00007ff800b8c5d6 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_n
00007ff800b9eceb (__TEXT,__text) non-external ___printf_arginfo_n.cold.1
00007ff800b8c5b8 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_pct
00007ff800b8b80a (__TEXT,__text) non-external (was a private external) ___printf_arginfo_ptr
00007ff800b9ec1e (__TEXT,__text) non-external ___printf_arginfo_ptr.cold.1
00007ff800b8b8af (__TEXT,__text) non-external (was a private external) ___printf_arginfo_quote
00007ff800b9ec41 (__TEXT,__text) non-external ___printf_arginfo_quote.cold.1
00007ff800b8bb4b (__TEXT,__text) non-external (was a private external) ___printf_arginfo_str
00007ff800b9ec62 (__TEXT,__text) non-external ___printf_arginfo_str.cold.1
00007ff800b8bfd3 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_time
00007ff800b9eca6 (__TEXT,__text) non-external ___printf_arginfo_time.cold.1
00007ff800b8c2e0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_vis
00007ff800b9ecc7 (__TEXT,__text) non-external ___printf_arginfo_vis.cold.1
00007ff800b8c6d3 (__TEXT,__text) non-external (was a private external) ___printf_comp
00007ff800b8ce7c (__TEXT,__text) non-external (was a private external) ___printf_exec
00007ff800b8c404 (__TEXT,__text) non-external (was a private external) ___printf_flush
00007ff800b67461 (__TEXT,__text) non-external (was a private external) ___printf_is_memory_read_only
00007ff800b8c533 (__TEXT,__text) non-external (was a private external) ___printf_out
00007ff800b8c4b2 (__TEXT,__text) non-external (was a private external) ___printf_pad
00007ff800b8c437 (__TEXT,__text) non-external (was a private external) ___printf_puts
00007ff800b8be91 (__TEXT,__text) non-external (was a private external) ___printf_render_chr
00007ff800b8a133 (__TEXT,__text) non-external (was a private external) ___printf_render_errno
00007ff800b8a240 (__TEXT,__text) non-external (was a private external) ___printf_render_float
00007ff800b9eb57 (__TEXT,__text) non-external ___printf_render_float.cold.1
00007ff800b8ae17 (__TEXT,__text) non-external (was a private external) ___printf_render_hexdump
00007ff800b8b0e5 (__TEXT,__text) non-external (was a private external) ___printf_render_int
00007ff800b9ebbe (__TEXT,__text) non-external ___printf_render_int.cold.1
00007ff800b9ebfb (__TEXT,__text) non-external ___printf_render_int.cold.2
00007ff800b8c5f5 (__TEXT,__text) non-external (was a private external) ___printf_render_n
00007ff800b8c5c0 (__TEXT,__text) non-external (was a private external) ___printf_render_pct
00007ff800b8b837 (__TEXT,__text) non-external (was a private external) ___printf_render_ptr
00007ff800b8b8ce (__TEXT,__text) non-external (was a private external) ___printf_render_quote
00007ff800b8bb81 (__TEXT,__text) non-external (was a private external) ___printf_render_str
00007ff800b8bff2 (__TEXT,__text) non-external (was a private external) ___printf_render_time
00007ff800b8c2ff (__TEXT,__text) non-external (was a private external) ___printf_render_vis
00007ff800b4fe22 (__TEXT,__text) non-external (was a private external) ___private_getcwd
00007ff8400add38 (__DATA,__bss) non-external ___progname_pointer
                 (undefined) external ___pthread_workqueue_setkill (from libsystem_pthread)
00007ff800b4600b (__TEXT,__text) external ___put_page
00007ff800ba0b5f (__TEXT,__const) non-external (was a private external) ___puts_null__
00007ff800b48b23 (__TEXT,__text) external ___quorem_D2A
00007ff800b4b9be (__TEXT,__text) external ___ratio_D2A
00007ff800b46c5a (__TEXT,__text) external ___rec_close
00007ff800b46f61 (__TEXT,__text) external ___rec_delete
00007ff800b47071 (__TEXT,__text) external ___rec_dleaf
00007ff800b47a52 (__TEXT,__text) external ___rec_fd
00007ff800b474d8 (__TEXT,__text) external ___rec_fmap
00007ff800b47268 (__TEXT,__text) external ___rec_fpipe
00007ff800b47184 (__TEXT,__text) external ___rec_get
00007ff800b47d78 (__TEXT,__text) external ___rec_iput
00007ff800b476ae (__TEXT,__text) external ___rec_open
00007ff800b47aa0 (__TEXT,__text) external ___rec_put
00007ff800b4831c (__TEXT,__text) external ___rec_ret
00007ff800b47fc8 (__TEXT,__text) external ___rec_search
00007ff800b48168 (__TEXT,__text) external ___rec_seq
00007ff800b46d19 (__TEXT,__text) external ___rec_sync
00007ff800b475eb (__TEXT,__text) external ___rec_vmap
00007ff800b47396 (__TEXT,__text) external ___rec_vpipe
00007ff800b44fbd (__TEXT,__text) external ___reclaim_buf
                 (undefined) external ___recvfrom (from libsystem_kernel)
                 (undefined) external ___recvfrom_nocancel (from libsystem_kernel)
00007ff800b4ae08 (__TEXT,__text) external ___rshift_D2A
00007ff800b48a84 (__TEXT,__text) external ___rv_alloc_D2A
00007ff800b4b8f2 (__TEXT,__text) external ___s2b_D2A
00007ff8400ac620 (__DATA,__data) external ___sF
00007ff8400ac7f0 (__DATA,__data) non-external ___sFX
00007ff800b6639d (__TEXT,__text) external ___sclose
00007ff8400ae0d0 (__DATA,__bss) non-external ___scounted
00007ff8400b8b10 (__DATA,__common) external ___sdidinit
                 (undefined) external ___semwait_signal (from libsystem_kernel)
                 (undefined) external ___semwait_signal_nocancel (from libsystem_kernel)
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sendto_nocancel (from libsystem_kernel)
00007ff800b85d94 (__TEXT,__text) non-external (was a private external) ___setenv_locked
00007ff800b5b242 (__TEXT,__text) non-external (was a private external) ___setrunelocale
00007ff8400ae078 (__DATA,__bss) non-external ___setrunelocale.CachedRuneLocale
00007ff8400ae080 (__DATA,__bss) non-external ___setrunelocale.cache_lock
                 (undefined) external ___settimeofday (from libsystem_kernel)
00007ff800b8eefb (__TEXT,__text) non-external ___setup_vars
00007ff800b60681 (__TEXT,__text) external ___sflags
00007ff800b5f811 (__TEXT,__text) external ___sflush
00007ff800b601f6 (__TEXT,__text) external ___sfp
00007ff800b605c0 (__TEXT,__text) non-external (was a private external) ___sfprelease
00007ff800b61f48 (__TEXT,__text) external ___sfvwrite
00007ff8400aca90 (__DATA,__data) external ___sglue
                 (undefined) external ___sigaltstack (from libsystem_kernel)
00007ff800b603c0 (__TEXT,__text) external ___sinit
00007ff800b5f9e5 (__TEXT,__text) external ___slbexpand
00007ff800b62c64 (__TEXT,__text) external ___smakebuf
00007ff800b9cf4a (__TEXT,__text) external ___snprintf_chk
00007ff800b9cfee (__TEXT,__text) external ___snprintf_object_size_chk
00007ff800b45231 (__TEXT,__text) external ___split_page
00007ff800b7295f (__TEXT,__text) non-external ___sprint
00007ff800b9d1b8 (__TEXT,__text) external ___sprintf_chk
00007ff800b9d28b (__TEXT,__text) external ___sprintf_object_size_chk
00007ff800b6636d (__TEXT,__text) external ___sread
00007ff800b659dd (__TEXT,__text) external ___srefill
00007ff800b6582c (__TEXT,__text) non-external (was a private external) ___srefill0
00007ff800b65984 (__TEXT,__text) non-external (was a private external) ___srefill1
00007ff800b65ad9 (__TEXT,__text) external ___srget
00007ff800b6638f (__TEXT,__text) external ___sseek
00007ff800b7f6ba (__TEXT,__text) external ___stack_chk_fail
00007ff8400b8b30 (__DATA,__common) external ___stack_chk_guard
00007ff8400af900 (__DATA,__bss) non-external ___stderr_evp
00007ff8400aca70 (__DATA,__data) external ___stderrp
00007ff8400af8e0 (__DATA,__bss) non-external ___stdin_evp
00007ff8400aca60 (__DATA,__data) external ___stdinp
00007ff800b4be5f (__TEXT,__text) non-external (was a private external) ___stdio_init
00007ff8400af8f0 (__DATA,__bss) non-external ___stdout_evp
00007ff8400aca68 (__DATA,__data) external ___stdoutp
00007ff800b9d163 (__TEXT,__text) external ___stpcpy_chk
00007ff800b9d371 (__TEXT,__text) external ___stpncpy_chk
00007ff800b9d09f (__TEXT,__text) external ___strcat_chk
00007ff800b4b8cf (__TEXT,__text) external ___strcp_D2A
00007ff800b9ceaa (__TEXT,__text) external ___strcpy_chk
00007ff8400b89d8 (__DATA,__bss) non-external ___strerror_ebuf
00007ff800b9cc3d (__TEXT,__text) external ___strlcat_chk
00007ff800b9cd6b (__TEXT,__text) external ___strlcpy_chk
00007ff800b9cdb6 (__TEXT,__text) external ___strncat_chk
00007ff800b9ce40 (__TEXT,__text) external ___strncpy_chk
00007ff800b4bb7e (__TEXT,__text) external ___sum_D2A
00007ff800b6e1cc (__TEXT,__text) external ___svfscanf
