00000001a6ebcd90 (__TEXT,__text) non-external +[AMFI isAvailable]
00000001a6eaabd8 (__TEXT,__text) non-external -[AKELData .cxx_destruct]
00000001a6eaab00 (__TEXT,__text) non-external -[AKELData findLegacyKextBundleID:]
00000001a6eaa9a4 (__TEXT,__text) non-external -[AKELData initWithURL:]
00000001a6eaa830 (__TEXT,__text) non-external -[AKELData init]
00000001a6eaab9c (__TEXT,__text) non-external -[AKELData isKextAllowedWithoutSecureTimestamp:]
00000001a6eaaac4 (__TEXT,__text) non-external -[AKELData isLegacyKextAllowed:]
00000001a6eaa60c (__TEXT,__text) non-external -[AKELData loadFromBundleData:]
00000001a6eaaabc (__TEXT,__text) non-external -[AKELData reloadIfNecessary]
00000001a6ebd020 (__TEXT,__text) non-external -[AppWrapperPolicyResult description]
00000001a6ebcf74 (__TEXT,__text) non-external -[AppWrapperPolicyResult initWithValid:withSignerCategory:withModified:]
00000001a6ebd034 (__TEXT,__text) non-external -[AppWrapperPolicyResult isModified]
00000001a6ebd024 (__TEXT,__text) non-external -[AppWrapperPolicyResult isValid]
00000001a6ebcfd8 (__TEXT,__text) non-external -[AppWrapperPolicyResult redactedDescription]
00000001a6ebd02c (__TEXT,__text) non-external -[AppWrapperPolicyResult signerCategory]
00000001a6eafacc (__TEXT,__text) non-external -[BundleData .cxx_destruct]
00000001a6eaf264 (__TEXT,__text) non-external -[BundleData dealloc]
00000001a6ebe558 (__TEXT,__text) non-external -[BundleData dealloc].cold.1
00000001a6eaf738 (__TEXT,__text) non-external -[BundleData doReload]
00000001a6eafaa0 (__TEXT,__text) non-external -[BundleData forceReload]
00000001a6eaf300 (__TEXT,__text) non-external -[BundleData initWithURL:withReloadBlock:watchForUpdates:]
00000001a6eaf248 (__TEXT,__text) non-external -[BundleData init]
00000001a6eafaac (__TEXT,__text) non-external -[BundleData isSigned]
00000001a6eaf794 (__TEXT,__text) non-external -[BundleData loadInternalData:]
00000001a6eafa34 (__TEXT,__text) non-external -[BundleData reloadIfNecessary]
00000001a6eaf458 (__TEXT,__text) non-external -[BundleData setupFSStream]
00000001a6ebe5d4 (__TEXT,__text) non-external -[BundleData setupFSStream].cold.1
00000001a6ebe650 (__TEXT,__text) non-external -[BundleData setupFSStream].cold.2
00000001a6eafac4 (__TEXT,__text) non-external -[BundleData timestamp]
00000001a6eafaa4 (__TEXT,__text) non-external -[BundleData url]
00000001a6eafabc (__TEXT,__text) non-external -[BundleData versionNumber]
00000001a6eafab4 (__TEXT,__text) non-external -[BundleData version]
00000001a6ebc98c (__TEXT,__text) non-external -[GKScanResult .cxx_destruct]
00000001a6ebc968 (__TEXT,__text) non-external -[GKScanResult allowed]
00000001a6ebc8dc (__TEXT,__text) non-external -[GKScanResult encodeWithCoder:]
00000001a6ebc978 (__TEXT,__text) non-external -[GKScanResult gkError]
00000001a6ebc82c (__TEXT,__text) non-external -[GKScanResult initWithCoder:]
00000001a6ebc970 (__TEXT,__text) non-external -[GKScanResult setAllowed:]
00000001a6ebc980 (__TEXT,__text) non-external -[GKScanResult setGkError:]
00000001a6ebbe18 (__TEXT,__text) non-external -[NSData(Strings) hexString]
00000001a6eab7bc (__TEXT,__text) non-external -[PolicyCacheMeta .cxx_destruct]
00000001a6eab784 (__TEXT,__text) non-external -[PolicyCacheMeta forEntry]
00000001a6eab770 (__TEXT,__text) non-external -[PolicyCacheMeta lastMiss]
00000001a6eab748 (__TEXT,__text) non-external -[PolicyCacheMeta metaId]
00000001a6eab75c (__TEXT,__text) non-external -[PolicyCacheMeta missCount]
00000001a6eab7a8 (__TEXT,__text) non-external -[PolicyCacheMeta resolvedEntry]
00000001a6eab78c (__TEXT,__text) non-external -[PolicyCacheMeta setForEntry:]
00000001a6eab778 (__TEXT,__text) non-external -[PolicyCacheMeta setLastMiss:]
00000001a6eab750 (__TEXT,__text) non-external -[PolicyCacheMeta setMetaId:]
00000001a6eab764 (__TEXT,__text) non-external -[PolicyCacheMeta setMissCount:]
00000001a6eab7b0 (__TEXT,__text) non-external -[PolicyCacheMeta setResolvedEntry:]
00000001a6eab7a0 (__TEXT,__text) non-external -[PolicyCacheMeta setSourceTable:]
00000001a6eab798 (__TEXT,__text) non-external -[PolicyCacheMeta sourceTable]
00000001a6ebb340 (__TEXT,__text) non-external -[PolicyScanTarget .cxx_destruct]
00000001a6ebb270 (__TEXT,__text) non-external -[PolicyScanTarget blockDevice]
00000001a6eba6c8 (__TEXT,__text) non-external -[PolicyScanTarget bundleID]
00000001a6eba784 (__TEXT,__text) non-external -[PolicyScanTarget bundleVersion]
00000001a6ebab08 (__TEXT,__text) non-external -[PolicyScanTarget cdhashData]
00000001a6ebaba4 (__TEXT,__text) non-external -[PolicyScanTarget cdhashDigestAlgorithm]
00000001a6ebaa44 (__TEXT,__text) non-external -[PolicyScanTarget cdhash]
00000001a6ebb298 (__TEXT,__text) non-external -[PolicyScanTarget checkValidity]
00000001a6eb9f30 (__TEXT,__text) non-external -[PolicyScanTarget dealloc]
00000001a6ebafbc (__TEXT,__text) non-external -[PolicyScanTarget description]
00000001a6eba9b8 (__TEXT,__text) non-external -[PolicyScanTarget entitlements]
00000001a6ebb280 (__TEXT,__text) non-external -[PolicyScanTarget fsTypeName]
00000001a6ebb1e0 (__TEXT,__text) non-external -[PolicyScanTarget hasResourceDirectorySlot]
00000001a6eba89c (__TEXT,__text) non-external -[PolicyScanTarget infoPlist]
00000001a6eb9f94 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:]
00000001a6ebf760 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.1
00000001a6ebf7f0 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.2
00000001a6ebf870 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.3
00000001a6ebf8b4 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.4
00000001a6ebf8f8 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.5
00000001a6ebf978 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.6
00000001a6eb9f14 (__TEXT,__text) non-external -[PolicyScanTarget init]
00000001a6ebb2a8 (__TEXT,__text) non-external -[PolicyScanTarget isAppWrapper]
00000001a6ebb2d8 (__TEXT,__text) non-external -[PolicyScanTarget isBundled]
00000001a6ebb308 (__TEXT,__text) non-external -[PolicyScanTarget isMovedToTrash]
00000001a6ebae04 (__TEXT,__text) non-external -[PolicyScanTarget isNotarized]
00000001a6ebfa04 (__TEXT,__text) non-external -[PolicyScanTarget isNotarized].cold.1
00000001a6ebb2c0 (__TEXT,__text) non-external -[PolicyScanTarget isQuarantinedMount]
00000001a6ebad7c (__TEXT,__text) non-external -[PolicyScanTarget isQuarantined]
00000001a6ebb2c8 (__TEXT,__text) non-external -[PolicyScanTarget isScript]
00000001a6ebadc0 (__TEXT,__text) non-external -[PolicyScanTarget isUserApproved]
00000001a6eba62c (__TEXT,__text) non-external -[PolicyScanTarget mainExecutableURL]
00000001a6ebb290 (__TEXT,__text) non-external -[PolicyScanTarget modTime]
00000001a6ebb300 (__TEXT,__text) non-external -[PolicyScanTarget mountTime]
00000001a6ebb278 (__TEXT,__text) non-external -[PolicyScanTarget objectID]
00000001a6ebb258 (__TEXT,__text) non-external -[PolicyScanTarget originalURL]
00000001a6ebb268 (__TEXT,__text) non-external -[PolicyScanTarget pathOnVolume]
00000001a6ebb2f0 (__TEXT,__text) non-external -[PolicyScanTarget pid]
00000001a6ebaec8 (__TEXT,__text) non-external -[PolicyScanTarget redactedDescription]
00000001a6ebb054 (__TEXT,__text) non-external -[PolicyScanTarget reloadSigningInfo]
00000001a6ebb2a0 (__TEXT,__text) non-external -[PolicyScanTarget setCheckValidity:]
00000001a6ebb2e8 (__TEXT,__text) non-external -[PolicyScanTarget setHasResourceDirectorySlot:]
00000001a6ebb2e0 (__TEXT,__text) non-external -[PolicyScanTarget setIsBundled:]
00000001a6ebb310 (__TEXT,__text) non-external -[PolicyScanTarget setIsMovedToTrash:]
00000001a6ebb2d0 (__TEXT,__text) non-external -[PolicyScanTarget setIsScript:]
00000001a6ebb2f8 (__TEXT,__text) non-external -[PolicyScanTarget setPid:]
00000001a6ebb320 (__TEXT,__text) non-external -[PolicyScanTarget setTrashedURL:]
00000001a6ebb2b8 (__TEXT,__text) non-external -[PolicyScanTarget setTriggeredByLibraryLoad:]
00000001a6ebb334 (__TEXT,__text) non-external -[PolicyScanTarget setValidationCategory:]
00000001a6ebace0 (__TEXT,__text) non-external -[PolicyScanTarget signingID]
00000001a6eba97c (__TEXT,__text) non-external -[PolicyScanTarget signingInfo]
00000001a6eba8d4 (__TEXT,__text) non-external -[PolicyScanTarget staticCodeRef]
00000001a6ebac44 (__TEXT,__text) non-external -[PolicyScanTarget teamID]
00000001a6ebb0a4 (__TEXT,__text) non-external -[PolicyScanTarget trashedMainExe]
00000001a6ebb318 (__TEXT,__text) non-external -[PolicyScanTarget trashedURL]
00000001a6ebb2b0 (__TEXT,__text) non-external -[PolicyScanTarget triggeredByLibraryLoad]
00000001a6ebb250 (__TEXT,__text) non-external -[PolicyScanTarget url]
00000001a6ebb32c (__TEXT,__text) non-external -[PolicyScanTarget validationCategory]
00000001a6ebb288 (__TEXT,__text) non-external -[PolicyScanTarget volumePath]
00000001a6ebb260 (__TEXT,__text) non-external -[PolicyScanTarget volumeUUID]
00000001a6ea96c0 (__TEXT,__text) non-external -[ProvenanceEntry .cxx_destruct]
00000001a6ea9274 (__TEXT,__text) non-external -[ProvenanceEntry attributes]
00000001a6ea96ac (__TEXT,__text) non-external -[ProvenanceEntry bundleID]
00000001a6ea9698 (__TEXT,__text) non-external -[ProvenanceEntry cdhash]
00000001a6ea94bc (__TEXT,__text) non-external -[ProvenanceEntry createMetadata]
00000001a6ea93e8 (__TEXT,__text) non-external -[ProvenanceEntry description]
00000001a6ea9634 (__TEXT,__text) non-external -[ProvenanceEntry flags]
00000001a6ea92f8 (__TEXT,__text) non-external -[ProvenanceEntry redactedDescription]
00000001a6ea9648 (__TEXT,__text) non-external -[ProvenanceEntry rootID]
00000001a6ea96b4 (__TEXT,__text) non-external -[ProvenanceEntry setBundleID:]
00000001a6ea96a0 (__TEXT,__text) non-external -[ProvenanceEntry setCdhash:]
00000001a6ea963c (__TEXT,__text) non-external -[ProvenanceEntry setFlags:]
00000001a6ea9650 (__TEXT,__text) non-external -[ProvenanceEntry setRootID:]
00000001a6ea968c (__TEXT,__text) non-external -[ProvenanceEntry setSigningID:]
00000001a6ea9678 (__TEXT,__text) non-external -[ProvenanceEntry setTeamID:]
00000001a6ea9628 (__TEXT,__text) non-external -[ProvenanceEntry setUniqueID:]
00000001a6ea9664 (__TEXT,__text) non-external -[ProvenanceEntry setUrl:]
00000001a6ea9684 (__TEXT,__text) non-external -[ProvenanceEntry signingID]
00000001a6ea9670 (__TEXT,__text) non-external -[ProvenanceEntry teamID]
00000001a6ea9620 (__TEXT,__text) non-external -[ProvenanceEntry uniqueID]
00000001a6ea965c (__TEXT,__text) non-external -[ProvenanceEntry url]
00000001a6ebd5c0 (__TEXT,__text) non-external -[SPDeveloperPolicy .cxx_destruct]
00000001a6ebd54c (__TEXT,__text) non-external -[SPDeveloperPolicy createLocalDevelopmentCertificateForUser:error:]
00000001a6ebd414 (__TEXT,__text) non-external -[SPDeveloperPolicy dealloc]
00000001a6ebd360 (__TEXT,__text) non-external -[SPDeveloperPolicy init]
00000001a6ebd460 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperModeEnabled]
00000001a6ebd534 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperToolEnvironmentWithError:]
00000001a6ebd5b0 (__TEXT,__text) non-external -[SPDeveloperPolicy registerDevelopmentTeamWithIdentifier:error:]
00000001a6ebd5a8 (__TEXT,__text) non-external -[SPDeveloperPolicy removeLocalDevelopmentCertificateForUser:error:]
00000001a6ebd47c (__TEXT,__text) non-external -[SPDeveloperPolicy setDeveloperModeEnabled:error:]
00000001a6ebd5b8 (__TEXT,__text) non-external -[SPDeveloperPolicy unregisterDevelopmentTeamWithIdentifier:error:]
00000001a6eb1b64 (__TEXT,__text) non-external -[SPExecutionHistoryItem .cxx_destruct]
00000001a6eb1b44 (__TEXT,__text) non-external -[SPExecutionHistoryItem cdHash]
00000001a6eb1b54 (__TEXT,__text) non-external -[SPExecutionHistoryItem developerName]
00000001a6eb195c (__TEXT,__text) non-external -[SPExecutionHistoryItem encodeWithCoder:]
00000001a6eb1b24 (__TEXT,__text) non-external -[SPExecutionHistoryItem execPath]
00000001a6eb1748 (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithCoder:]
00000001a6eb1434 (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00000001a6eb1418 (__TEXT,__text) non-external -[SPExecutionHistoryItem init]
00000001a6eb1b5c (__TEXT,__text) non-external -[SPExecutionHistoryItem lastSeen]
00000001a6eb1b2c (__TEXT,__text) non-external -[SPExecutionHistoryItem mmapPath]
00000001a6eb1b4c (__TEXT,__text) non-external -[SPExecutionHistoryItem responsiblePath]
00000001a6eb1b34 (__TEXT,__text) non-external -[SPExecutionHistoryItem signingID]
00000001a6eb1b3c (__TEXT,__text) non-external -[SPExecutionHistoryItem teamID]
00000001a6eb4bb4 (__TEXT,__text) non-external -[SPExecutionPolicy .cxx_destruct]
00000001a6eb3fe8 (__TEXT,__text) non-external -[SPExecutionPolicy addBlockedSoftwareOverride:error:]
00000001a6eb3ef8 (__TEXT,__text) non-external -[SPExecutionPolicy addGatekeeperUserIntent:error:]
00000001a6eb4ae4 (__TEXT,__text) non-external -[SPExecutionPolicy allowGatekeeperPolicy:error:]
00000001a6eb3e8c (__TEXT,__text) non-external -[SPExecutionPolicy blockedExecutionPolicyItems]
00000001a6eb3c28 (__TEXT,__text) non-external -[SPExecutionPolicy connection]
00000001a6eb397c (__TEXT,__text) non-external -[SPExecutionPolicy dealloc]
00000001a6eb3b2c (__TEXT,__text) non-external -[SPExecutionPolicy doGatekeeperProgressUpdate:withTotal:]
00000001a6eb41d4 (__TEXT,__text) non-external -[SPExecutionPolicy getBlockedSoftwareOverride:error:]
00000001a6eb46bc (__TEXT,__text) non-external -[SPExecutionPolicy getGatekeeperInsightEnabled:]
00000001a6eb49a0 (__TEXT,__text) non-external -[SPExecutionPolicy getGatekeeperPolicyWithError:]
00000001a6eb448c (__TEXT,__text) non-external -[SPExecutionPolicy getStrictGatekeeperEnabledForDomain:error:]
00000001a6eb38fc (__TEXT,__text) non-external -[SPExecutionPolicy init]
00000001a6eb42c4 (__TEXT,__text) non-external -[SPExecutionPolicy isBlockedSoftware:error:]
00000001a6eb478c (__TEXT,__text) non-external -[SPExecutionPolicy isFastGatekeeperOverrideModeEnabled]
00000001a6eb4a14 (__TEXT,__text) non-external -[SPExecutionPolicy isGatekeeperPolicyAllowed:error:]
00000001a6eb3e80 (__TEXT,__text) non-external -[SPExecutionPolicy legacyExecutionHistory]
00000001a6eb47e0 (__TEXT,__text) non-external -[SPExecutionPolicy logGatekeeperOverrideForURL:withError:]
00000001a6eb39d0 (__TEXT,__text) non-external -[SPExecutionPolicy myProgressHandler]
00000001a6eb39c8 (__TEXT,__text) non-external -[SPExecutionPolicy progressBlock]
00000001a6eb40d8 (__TEXT,__text) non-external -[SPExecutionPolicy setBlockedSoftwareOverride:isEnabled:error:]
00000001a6eb4780 (__TEXT,__text) non-external -[SPExecutionPolicy setGatekeeperInsightDefault:]
00000001a6eb455c (__TEXT,__text) non-external -[SPExecutionPolicy setGatekeeperInsightEnabled:error:]
00000001a6eb48d0 (__TEXT,__text) non-external -[SPExecutionPolicy setGatekeeperPolicy:error:]
00000001a6eb39fc (__TEXT,__text) non-external -[SPExecutionPolicy setProgressHandler:]
00000001a6eb43b4 (__TEXT,__text) non-external -[SPExecutionPolicy setStrictGatekeeperEnabled:forDomain:error:]
00000001a6eb0b24 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) notifyInstalledContent:withInstallationType:error:]
00000001a6eb0378 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:]
00000001a6ebe750 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.1
00000001a6ebe794 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.2
00000001a6ebe82c (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.3
00000001a6ebe8a4 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.4
00000001a6ebe93c (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.5
00000001a6ebe980 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.6
00000001a6ebea20 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.7
00000001a6eb0c18 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperScan:withScanOptions:withProgressHandler:error:]
00000001a6eb0310 (__TEXT,__text) non-external -[SPExecutionPolicyItem .cxx_destruct]
00000001a6eb0308 (__TEXT,__text) non-external -[SPExecutionPolicyItem blockedReasonDescription]
00000001a6eb02e8 (__TEXT,__text) non-external -[SPExecutionPolicyItem cdHash]
00000001a6eb00d4 (__TEXT,__text) non-external -[SPExecutionPolicyItem encodeWithCoder:]
00000001a6eafea4 (__TEXT,__text) non-external -[SPExecutionPolicyItem initWithCoder:]
00000001a6eafd44 (__TEXT,__text) non-external -[SPExecutionPolicyItem initWithItemPath:signingID:teamID:cdHash:needsApproval:needsOverride:knownMalware:blockedReasonDescription:]
00000001a6eafd28 (__TEXT,__text) non-external -[SPExecutionPolicyItem init]
00000001a6eb02d0 (__TEXT,__text) non-external -[SPExecutionPolicyItem itemPath]
00000001a6eb0300 (__TEXT,__text) non-external -[SPExecutionPolicyItem knownMalware]
00000001a6eb02f0 (__TEXT,__text) non-external -[SPExecutionPolicyItem needsApproval]
00000001a6eb02f8 (__TEXT,__text) non-external -[SPExecutionPolicyItem needsOverride]
00000001a6eb02d8 (__TEXT,__text) non-external -[SPExecutionPolicyItem signingID]
00000001a6eb02e0 (__TEXT,__text) non-external -[SPExecutionPolicyItem teamID]
00000001a6eb9ed0 (__TEXT,__text) non-external -[SPInstallationPolicy .cxx_destruct]
00000001a6eb9bd0 (__TEXT,__text) non-external -[SPInstallationPolicy canInstallPackage:withUserConsent:withHash:evaluateOnly:synchronousPrompt:error:]
00000001a6eb9b84 (__TEXT,__text) non-external -[SPInstallationPolicy dealloc]
00000001a6eb9ab4 (__TEXT,__text) non-external -[SPInstallationPolicy init]
00000001a6eb9d30 (__TEXT,__text) non-external -[SPInstallationPolicy trustPackagePayload:withDestinationTarget:withHashMap:withUserConsent:error:]
00000001a6eb9d1c (__TEXT,__text) non-external -[SPInstallationPolicy trustPackagePayload:withDestinationTarget:withUserConsent:error:]
00000001a6eb1d8c (__TEXT,__text) non-external -[SPKernelExtensionHistory .cxx_destruct]
00000001a6eb1d24 (__TEXT,__text) non-external -[SPKernelExtensionHistory dealloc]
00000001a6eb1bf0 (__TEXT,__text) non-external -[SPKernelExtensionHistory init]
00000001a6eb1d70 (__TEXT,__text) non-external -[SPKernelExtensionHistory kernelExtensionHistory]
00000001a6eb6b78 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem .cxx_destruct]
00000001a6eb6b38 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem bundleID]
00000001a6eb6b48 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem cdHash]
00000001a6eb6988 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem encodeWithCoder:]
00000001a6eb67c0 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem initWithCoder:]
00000001a6eb6640 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem initWithPath:teamID:bundleID:cdHash:isNotarized:isDeprecated:isUnsupported:isCodeless:lastUsed:]
00000001a6eb6624 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem init]
00000001a6eb6b68 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isCodeless]
00000001a6eb6b58 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isDeprecated]
00000001a6eb6b50 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isNotarized]
00000001a6eb6b60 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isUnsupported]
00000001a6eb6b70 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem lastUsed]
00000001a6eb6b30 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem path]
00000001a6eb6b40 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem teamID]
00000001a6eb2f0c (__TEXT,__text) non-external -[SPKernelExtensionPolicy .cxx_destruct]
