00000001d5a9ffd0 (__DATA,__data) external _NDR_record
00000001803fe2c8 (__TEXT,__text) external ___open
0000000180403268 (__TEXT,__text) external ___open_dprotected_np
0000000180409ef4 (__TEXT,__text) external ___open_extended
00000001803fe458 (__TEXT,__text) external ___open_nocancel
00000001803ff0dc (__TEXT,__text) external ___openat
000000018040b1a0 (__TEXT,__text) external ___openat_dprotected_np
00000001804033c8 (__TEXT,__text) external ___openat_nocancel
00000001d5aa0078 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
0000000180418c00 (__TEXT,__text) external ___os_nexus_flow_add
0000000180418c88 (__TEXT,__text) external ___os_nexus_flow_del
0000000180418dd8 (__TEXT,__text) external ___os_nexus_get_llink_info
0000000180418a20 (__TEXT,__text) external ___os_nexus_ifattach
0000000180418b40 (__TEXT,__text) external ___os_nexus_ifdetach
00000001804017ac (__TEXT,__text) external ___persona
0000000180403de4 (__TEXT,__text) external ___pipe
000000018040b1cc (__TEXT,__text) external ___poll_nocancel
0000000180404b2c (__TEXT,__text) external ___posix_spawn
000000018040b1f8 (__TEXT,__text) external ___pread_nocancel
000000018040b224 (__TEXT,__text) external ___preadv_nocancel
00000001803fec24 (__TEXT,__text) external ___proc_info
000000018040b250 (__TEXT,__text) external ___proc_info_extended_id
0000000180405548 (__TEXT,__text) external ___process_policy
0000000180403b44 (__TEXT,__text) external ___pselect
000000018040b27c (__TEXT,__text) external ___pselect_nocancel
0000000180401090 (__TEXT,__text) external ___psynch_cvbroad
0000000180401710 (__TEXT,__text) external ___psynch_cvclrprepost
00000001804024c0 (__TEXT,__text) external ___psynch_cvsignal
0000000180401064 (__TEXT,__text) external ___psynch_cvwait
00000001804006ec (__TEXT,__text) external ___psynch_mutexdrop
000000018040051c (__TEXT,__text) external ___psynch_mutexwait
000000018040b2a8 (__TEXT,__text) external ___psynch_rw_downgrade
000000018040b2d4 (__TEXT,__text) external ___psynch_rw_longrdlock
0000000180402ce4 (__TEXT,__text) external ___psynch_rw_rdlock
0000000180402cb8 (__TEXT,__text) external ___psynch_rw_unlock
000000018040b300 (__TEXT,__text) external ___psynch_rw_unlock2
000000018040b32c (__TEXT,__text) external ___psynch_rw_upgrade
0000000180402c8c (__TEXT,__text) external ___psynch_rw_wrlock
000000018040b358 (__TEXT,__text) external ___psynch_rw_yieldwrlock
0000000180409bd0 (__TEXT,__text) external ___pthread_canceled
00000001804048ac (__TEXT,__text) external ___pthread_chdir
0000000180404880 (__TEXT,__text) external ___pthread_fchdir
00000001804060d4 (__TEXT,__text) external ___pthread_kill
000000018040b384 (__TEXT,__text) external ___pthread_markcancel
0000000180404f54 (__TEXT,__text) external ___pthread_sigmask
0000000180406558 (__TEXT,__text) external ___ptrace
000000018040b3b0 (__TEXT,__text) external ___pwrite_nocancel
000000018040b3dc (__TEXT,__text) external ___pwritev_nocancel
00000001803ff7d8 (__TEXT,__text) external ___read_nocancel
000000018040b408 (__TEXT,__text) external ___readv_nocancel
000000018040b434 (__TEXT,__text) external ___reboot
000000018040b460 (__TEXT,__text) external ___record_system_event
0000000180401df8 (__TEXT,__text) external ___recvfrom
0000000180401cc0 (__TEXT,__text) external ___recvfrom_nocancel
0000000180402228 (__TEXT,__text) external ___recvmsg
000000018040b48c (__TEXT,__text) external ___recvmsg_nocancel
00000001d6c27d58 (__DATA_DIRTY,__bss) non-external ___remove_counter
00000001804013e4 (__TEXT,__text) external ___rename
000000018040b4b8 (__TEXT,__text) external ___renameat
000000018040b4e4 (__TEXT,__text) external ___renameatx_np
0000000180401450 (__TEXT,__text) external ___rmdir
000000018040abf4 (__TEXT,__text) external ___sandbox_me
000000018040ad54 (__TEXT,__text) external ___sandbox_mm
00000001803ff25c (__TEXT,__text) external ___sandbox_ms
000000018040612c (__TEXT,__text) external ___sandbox_msp
00000001804089cc (__TEXT,__text) external ___select
0000000180401c94 (__TEXT,__text) external ___select_nocancel
0000000180407254 (__TEXT,__text) external ___sem_open
000000018040b510 (__TEXT,__text) external ___sem_wait_nocancel
000000018040b53c (__TEXT,__text) external ___semctl
000000018040b568 (__TEXT,__text) external ___semsys
0000000180400e60 (__TEXT,__text) external ___semwait_signal
0000000180404f80 (__TEXT,__text) external ___semwait_signal_nocancel
00000001804033f4 (__TEXT,__text) external ___sendmsg
0000000180401d18 (__TEXT,__text) external ___sendmsg_nocancel
0000000180401dcc (__TEXT,__text) external ___sendto
0000000180401c34 (__TEXT,__text) external ___sendto_nocancel
0000000180400fe0 (__TEXT,__text) external ___setattrlist
000000018040988c (__TEXT,__text) external ___setlogin
0000000180405c04 (__TEXT,__text) external ___setpriority
000000018040b594 (__TEXT,__text) external ___setregid
000000018040b5c0 (__TEXT,__text) external ___setreuid
0000000180400550 (__TEXT,__text) external ___setrlimit
000000018040b5ec (__TEXT,__text) external ___setsgroups
0000000180406fd8 (__TEXT,__text) external ___settid
000000018040b618 (__TEXT,__text) external ___settid_with_pid
000000018040b644 (__TEXT,__text) external ___settimeofday
000000018040b670 (__TEXT,__text) external ___setwgroups
00000001804072ec (__TEXT,__text) external ___sfi_ctl
000000018040b69c (__TEXT,__text) external ___sfi_pidctl
000000018040b6c8 (__TEXT,__text) external ___shared_region_check_np
000000018040b6f4 (__TEXT,__text) external ___shared_region_map_and_slide_2_np
00000001803ff084 (__TEXT,__text) external ___shm_open
000000018040b720 (__TEXT,__text) external ___shmctl
000000018040b74c (__TEXT,__text) external ___shmsys
0000000180403e74 (__TEXT,__text) external ___sigaction
0000000180400f5c (__TEXT,__text) external ___sigaltstack
000000018040931c (__TEXT,__text) external ___sigreturn
000000018040b778 (__TEXT,__text) external ___sigsuspend
0000000180404fb8 (__TEXT,__text) external ___sigsuspend_nocancel
0000000180409374 (__TEXT,__text) external ___sigwait
0000000180401cec (__TEXT,__text) external ___socketpair
000000018040b7a4 (__TEXT,__text) external ___stack_snapshot_with_config
000000018040cbac (__TEXT,__text) external ___stat
0000000180403188 (__TEXT,__text) external ___stat64_extended
000000018040b7d0 (__TEXT,__text) external ___stat_extended
000000018040cbd8 (__TEXT,__text) external ___statfs
00000001803ffc54 (__TEXT,__text) external ___syscall
00000001d5aa0048 (__DATA,__common) external ___syscall_logger
00000001803fef84 (__TEXT,__text) external ___sysctl
00000001803ff1b8 (__TEXT,__text) external ___sysctlbyname
000000018040b7fc (__TEXT,__text) external ___telemetry
0000000180408148 (__TEXT,__text) external ___terminate_with_payload
00000001803ff5f8 (__TEXT,__text) external ___thread_selfid
000000018040b828 (__TEXT,__text) external ___thread_selfusage
00000001803ff624 (__TEXT,__text) external ___ulock_wait
000000018040b854 (__TEXT,__text) external ___ulock_wait2
00000001803ff6f8 (__TEXT,__text) external ___ulock_wake
000000018040b880 (__TEXT,__text) external ___umask_extended
0000000180401804 (__TEXT,__text) external ___unlink
000000018040762c (__TEXT,__text) external ___unlinkat
000000018040b8ac (__TEXT,__text) external ___vfork
0000000180404ed4 (__TEXT,__text) external ___wait4
0000000180409ec8 (__TEXT,__text) external ___wait4_nocancel
000000018040b91c (__TEXT,__text) external ___waitid_nocancel
0000000180406738 (__TEXT,__text) external ___work_interval_ctl
00000001803ff51c (__TEXT,__text) external ___workq_kernreturn
00000001803ff548 (__TEXT,__text) external ___workq_open
000000018040173c (__TEXT,__text) external ___write_nocancel
000000018040b948 (__TEXT,__text) external ___writev_nocancel
00000001d5aa003c (__DATA,__common) external __cpu_capabilities
00000001d5aa0040 (__DATA,__common) external __cpu_has_altivec
00000001d6c27688 (__DATA_DIRTY,__data) external __current_pid
00000001d6c27d30 (__DATA_DIRTY,__bss) non-external __dlsym
00000001803fd920 (__TEXT,__text) external __exclaves_ctl_trap
000000018040de04 (__TEXT,__text) non-external __execve_with_filter
0000000180404fe4 (__TEXT,__text) external __exit
00000001804036c8 (__TEXT,__text) external __get_cpu_capabilities
00000001d5aa0060 (__DATA,__bss) non-external __gethostuuid_callback
00000001804118c0 (__TEXT,__text) external __getprivatesystemidentifier
000000018041e4dc (__TEXT,__text) external __host_page_size
00000001804036c4 (__TEXT,__text) external __init_cpu_capabilities
000000018041f6b8 (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
0000000180420a90 (__TEXT,__text) external __kernelrpc_mach_port_allocate
0000000180421764 (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
0000000180420970 (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
00000001804215f0 (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
00000001803fd710 (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
0000000180423328 (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
00000001804223e8 (__TEXT,__text) external __kernelrpc_mach_port_construct
00000001803fd764 (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
0000000180420d08 (__TEXT,__text) external __kernelrpc_mach_port_deallocate
00000001803fd71c (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
0000000180420be8 (__TEXT,__text) external __kernelrpc_mach_port_destroy
000000018042255c (__TEXT,__text) external __kernelrpc_mach_port_destruct
00000001803fd770 (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
0000000180421d68 (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
0000000180422158 (__TEXT,__text) external __kernelrpc_mach_port_extract_member
00000001803fd758 (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
0000000180407b5c (__TEXT,__text) external __kernelrpc_mach_port_extract_right
0000000180408594 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
00000001803fd818 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
0000000180402d7c (__TEXT,__text) external __kernelrpc_mach_port_get_context
0000000180400d0c (__TEXT,__text) external __kernelrpc_mach_port_get_refs
000000018042314c (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
0000000180409a38 (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
0000000180421a10 (__TEXT,__text) external __kernelrpc_mach_port_get_srights
000000018042267c (__TEXT,__text) external __kernelrpc_mach_port_guard
00000001803fd824 (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
0000000180422b6c (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
0000000180422038 (__TEXT,__text) external __kernelrpc_mach_port_insert_member
00000001803fd74c (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
00000001804213a0 (__TEXT,__text) external __kernelrpc_mach_port_insert_right
00000001803fd740 (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
0000000180422ff4 (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
0000000180421ed0 (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
0000000180422278 (__TEXT,__text) external __kernelrpc_mach_port_kobject
0000000180422db4 (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
0000000180420e28 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
00000001803fd728 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
0000000180421280 (__TEXT,__text) external __kernelrpc_mach_port_move_member
00000001803fd734 (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
000000018042068c (__TEXT,__text) external __kernelrpc_mach_port_names
0000000180420f48 (__TEXT,__text) external __kernelrpc_mach_port_peek
0000000180420850 (__TEXT,__text) external __kernelrpc_mach_port_rename
000000018040185c (__TEXT,__text) external __kernelrpc_mach_port_request_notification
00000001803fd914 (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
0000000180400240 (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
0000000180409914 (__TEXT,__text) external __kernelrpc_mach_port_set_context
0000000180421160 (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
00000001804214d0 (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
00000001804228c0 (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
0000000180421b68 (__TEXT,__text) external __kernelrpc_mach_port_space_info
0000000180422a14 (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
0000000180422c90 (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
0000000180406838 (__TEXT,__text) external __kernelrpc_mach_port_type
00000001803fd908 (__TEXT,__text) external __kernelrpc_mach_port_type_trap
00000001804227a0 (__TEXT,__text) external __kernelrpc_mach_port_unguard
00000001803fd830 (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
000000018042afd0 (__TEXT,__text) external __kernelrpc_mach_task_is_self
0000000180423494 (__TEXT,__text) external __kernelrpc_mach_vm_allocate
00000001803fd6c8 (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
00000001804235f0 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
00000001803fd6e0 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
00000001803fec50 (__TEXT,__text) external __kernelrpc_mach_vm_map
00000001803fd704 (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
0000000180423710 (__TEXT,__text) external __kernelrpc_mach_vm_protect
00000001803fd6f8 (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
00000001804245ec (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
00000001803fd6d4 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
0000000180423958 (__TEXT,__text) external __kernelrpc_mach_vm_read
000000018042414c (__TEXT,__text) external __kernelrpc_mach_vm_remap
0000000180424a8c (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
000000018042f774 (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
00000001804218f0 (__TEXT,__text) external __kernelrpc_task_set_port_space
0000000180402acc (__TEXT,__text) external __kernelrpc_thread_policy
0000000180403c58 (__TEXT,__text) external __kernelrpc_thread_policy_set
000000018042d5d8 (__TEXT,__text) external __kernelrpc_thread_set_policy
0000000180409ca0 (__TEXT,__text) external __kernelrpc_vm_map
000000018042eb28 (__TEXT,__text) external __kernelrpc_vm_purgable_control
00000001804070c8 (__TEXT,__text) external __kernelrpc_vm_read
00000001803ffe40 (__TEXT,__text) external __kernelrpc_vm_remap
000000018042ec80 (__TEXT,__text) external __kernelrpc_vm_remap_new
000000018040d248 (__TEXT,__text) non-external __libkernel_bzero
00000001d6c27d28 (__DATA_DIRTY,__bss) non-external __libkernel_functions
00000001daad7fa8 (__AUTH_CONST,__const) non-external __libkernel_generic_string_functions
000000018040d2dc (__TEXT,__text) non-external __libkernel_memmove
000000018040d254 (__TEXT,__text) non-external __libkernel_memset
000000018040d210 (__TEXT,__text) non-external __libkernel_strchr
00000001804036dc (__TEXT,__text) non-external __libkernel_strcmp
000000018040d6b4 (__TEXT,__text) non-external __libkernel_strcpy
00000001d6c27690 (__DATA_DIRTY,__data) non-external __libkernel_string_functions
000000018040df40 (__TEXT,__text) non-external __libkernel_strlcpy
000000018040cfcc (__TEXT,__text) non-external __libkernel_strlen
00000001d6c27698 (__DATA_DIRTY,__data) non-external __libkernel_voucher_functions
0000000180430990 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
000000018040f614 (__TEXT,__text) non-external __mach_continuous_time
00000001d3915070 (__DATA_CONST,__const) external __mach_errors
000000018040fb70 (__TEXT,__text) external __mach_fork_child
0000000180410184 (__TEXT,__text) external __mach_snprintf
0000000180410010 (__TEXT,__text) external __mach_vsnprintf
00000001d6c276e0 (__DATA_DIRTY,__common) external __os_alloc_once_table
00000001d5aa0018 (__DATA,__common) external __os_xbs_chrooted
00000001804043e4 (__TEXT,__text) non-external __posix_spawn_file_actions_grow
000000018040d6fc (__TEXT,__text) non-external __posix_spawn_with_filter
00000001804118c4 (__TEXT,__text) external __register_gethostuuid_callback
000000018040d3f4 (__TEXT,__text) non-external __system_version_compat_check_path_suffix
000000018040d4a0 (__TEXT,__text) non-external __system_version_compat_open_shim
00000001d6c27d3c (__DATA_DIRTY,__bss) non-external __task_reply_port
000000018040cec4 (__TEXT,__text) external __thread_set_tsd_base
000000018042fe70 (__TEXT,__text) non-external _abort
000000018042fe94 (__TEXT,__text) non-external _abort.561
000000018042feb8 (__TEXT,__text) non-external _abort.563
000000018042fedc (__TEXT,__text) non-external _abort.580
000000018042ffac (__TEXT,__text) external _abort_with_payload
000000018042ff20 (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
000000018042ff00 (__TEXT,__text) external _abort_with_reason
00000001804061b8 (__TEXT,__text) external _accept
000000018040a750 (__TEXT,__text) external _accept$NOCANCEL
00000001803fe29c (__TEXT,__text) external _access
000000018040a77c (__TEXT,__text) external _accessx_np
000000018040b974 (__TEXT,__text) external _acct
000000018042bf0c (__TEXT,__text) external _act_get_state
000000018042c158 (__TEXT,__text) external _act_set_state
000000018040b9a0 (__TEXT,__text) external _adjtime
000000018040b9cc (__TEXT,__text) external _aio_cancel
000000018040b9f8 (__TEXT,__text) external _aio_error
000000018040ba24 (__TEXT,__text) external _aio_fsync
000000018040ba50 (__TEXT,__text) external _aio_read
000000018040ba7c (__TEXT,__text) external _aio_return
000000018040baa8 (__TEXT,__text) external _aio_suspend
000000018040a7a8 (__TEXT,__text) external _aio_suspend$NOCANCEL
000000018040bad4 (__TEXT,__text) external _aio_write
000000018040bb00 (__TEXT,__text) external _audit
0000000180409348 (__TEXT,__text) external _audit_session_join
0000000180409138 (__TEXT,__text) external _audit_session_port
0000000180401ad4 (__TEXT,__text) external _audit_session_self
000000018040bb2c (__TEXT,__text) external _auditctl
00000001804072ac (__TEXT,__text) external _auditon
0000000180405608 (__TEXT,__text) external _bind
00000001d6c276a4 (__DATA_DIRTY,__common) external _bootstrap_port
000000018040cfac (__TEXT,__text) non-external _bzero
00000001803ff108 (__TEXT,__text) external _cerror
00000001803fe230 (__TEXT,__text) external _cerror_nocancel
0000000180401a10 (__TEXT,__text) external _change_fdguard_np
00000001803ff288 (__TEXT,__text) external _chdir
0000000180405b1c (__TEXT,__text) external _chflags
000000018040147c (__TEXT,__text) external _chmod
00000001804055dc (__TEXT,__text) external _chown
000000018040bb58 (__TEXT,__text) external _chroot
000000018041b144 (__TEXT,__text) external _clock_alarm
000000018041af10 (__TEXT,__text) external _clock_alarm_reply
000000018041af78 (__TEXT,__text) external _clock_get_attributes
0000000180402f88 (__TEXT,__text) external _clock_get_time
000000018041adb8 (__TEXT,__text) external _clock_set_attributes
000000018041ac9c (__TEXT,__text) external _clock_set_time
0000000180409bfc (__TEXT,__text) external _clock_sleep
00000001803fd8e4 (__TEXT,__text) external _clock_sleep_trap
0000000180407a08 (__TEXT,__text) external _clonefile
000000018040277c (__TEXT,__text) external _clonefileat
00000001803fe400 (__TEXT,__text) external _close
00000001803ff0b0 (__TEXT,__text) external _close$NOCANCEL
00000001804173a4 (__TEXT,__text) external _coalition_create
000000018041744c (__TEXT,__text) external _coalition_info_debug_info
0000000180417414 (__TEXT,__text) external _coalition_info_resource_usage
00000001804174bc (__TEXT,__text) external _coalition_info_set_efficiency
0000000180417484 (__TEXT,__text) external _coalition_info_set_name
00000001804174f8 (__TEXT,__text) external _coalition_ledger_set_logical_writes_limit
00000001804173e4 (__TEXT,__text) external _coalition_reap
00000001804173b4 (__TEXT,__text) external _coalition_terminate
0000000180401da0 (__TEXT,__text) external _connect
0000000180401c08 (__TEXT,__text) external _connect$NOCANCEL
0000000180401e24 (__TEXT,__text) external _connectx
00000001803ff408 (__TEXT,__text) external _csops
00000001803fe204 (__TEXT,__text) external _csops_audittoken
00000001803fe2f4 (__TEXT,__text) external _csr_check
0000000180406548 (__TEXT,__text) external _csr_get_active_config
00000001803fd980 (__TEXT,__text) external _debug_control_port_for_pid
00000001804176e8 (__TEXT,__text) external _debug_syscall_reject
00000001804175d8 (__TEXT,__text) external _debug_syscall_reject_config
00000001d5a9ffc8 (__DATA,__data) external _denap_boost_assertion_token
000000018040bb84 (__TEXT,__text) external _disconnectx
00000001804041b0 (__TEXT,__text) non-external _do_compat
0000000180401ed4 (__TEXT,__text) external _dup
00000001804062a8 (__TEXT,__text) external _dup2
00000001d3914510 (__DATA_CONST,__const) non-external _err_codes_auth
00000001d39143a0 (__DATA_CONST,__const) non-external _err_codes_env_mgr
