00007ff90d0974ef (__TEXT,__text) non-external +[AMFI isAvailable]
00007ff90d081522 (__TEXT,__text) non-external -[AKELData reloadIfNecessary]
00007ff90d097953 (__TEXT,__text) non-external -[AppWrapperPolicyResult description]
00007ff90d0978cb (__TEXT,__text) non-external -[AppWrapperPolicyResult initWithValid:withSignerCategory:withModified:]
00007ff90d097979 (__TEXT,__text) non-external -[AppWrapperPolicyResult isModified]
00007ff90d097965 (__TEXT,__text) non-external -[AppWrapperPolicyResult isValid]
00007ff90d09791d (__TEXT,__text) non-external -[AppWrapperPolicyResult redactedDescription]
00007ff90d09796f (__TEXT,__text) non-external -[AppWrapperPolicyResult signerCategory]
00007ff90d087c11 (__TEXT,__text) non-external -[BundleData .cxx_destruct]
00007ff90d087316 (__TEXT,__text) non-external -[BundleData dealloc]
00007ff90d099575 (__TEXT,__text) non-external -[BundleData dealloc].cold.1
00007ff90d087823 (__TEXT,__text) non-external -[BundleData doReload]
00007ff90d087bcd (__TEXT,__text) non-external -[BundleData forceReload]
00007ff90d0873b1 (__TEXT,__text) non-external -[BundleData initWithURL:withReloadBlock:watchForUpdates:]
00007ff90d087308 (__TEXT,__text) non-external -[BundleData init]
00007ff90d087be9 (__TEXT,__text) non-external -[BundleData isSigned]
00007ff90d08785f (__TEXT,__text) non-external -[BundleData loadInternalData:]
00007ff90d087b6b (__TEXT,__text) non-external -[BundleData reloadIfNecessary]
00007ff90d087518 (__TEXT,__text) non-external -[BundleData setupFSStream]
00007ff90d0995d3 (__TEXT,__text) non-external -[BundleData setupFSStream].cold.1
00007ff90d099607 (__TEXT,__text) non-external -[BundleData setupFSStream].cold.2
00007ff90d087c07 (__TEXT,__text) non-external -[BundleData timestamp]
00007ff90d087bdf (__TEXT,__text) non-external -[BundleData url]
00007ff90d087bfd (__TEXT,__text) non-external -[BundleData versionNumber]
00007ff90d087bf3 (__TEXT,__text) non-external -[BundleData version]
00007ff90d0972b1 (__TEXT,__text) non-external -[GKScanResult .cxx_destruct]
00007ff90d097283 (__TEXT,__text) non-external -[GKScanResult allowed]
00007ff90d0971ef (__TEXT,__text) non-external -[GKScanResult encodeWithCoder:]
00007ff90d097296 (__TEXT,__text) non-external -[GKScanResult gkError]
00007ff90d09713e (__TEXT,__text) non-external -[GKScanResult initWithCoder:]
00007ff90d09728d (__TEXT,__text) non-external -[GKScanResult setAllowed:]
00007ff90d0972a0 (__TEXT,__text) non-external -[GKScanResult setGkError:]
00007ff90d096704 (__TEXT,__text) non-external -[NSData(Strings) hexString]
00007ff90d082ddf (__TEXT,__text) non-external -[PolicyCacheMeta .cxx_destruct]
00007ff90d082d95 (__TEXT,__text) non-external -[PolicyCacheMeta forEntry]
00007ff90d082d7a (__TEXT,__text) non-external -[PolicyCacheMeta lastMiss]
00007ff90d082d44 (__TEXT,__text) non-external -[PolicyCacheMeta metaId]
00007ff90d082d5f (__TEXT,__text) non-external -[PolicyCacheMeta missCount]
00007ff90d082dc4 (__TEXT,__text) non-external -[PolicyCacheMeta resolvedEntry]
00007ff90d082d9f (__TEXT,__text) non-external -[PolicyCacheMeta setForEntry:]
00007ff90d082d84 (__TEXT,__text) non-external -[PolicyCacheMeta setLastMiss:]
00007ff90d082d4e (__TEXT,__text) non-external -[PolicyCacheMeta setMetaId:]
00007ff90d082d69 (__TEXT,__text) non-external -[PolicyCacheMeta setMissCount:]
00007ff90d082dce (__TEXT,__text) non-external -[PolicyCacheMeta setResolvedEntry:]
00007ff90d082dba (__TEXT,__text) non-external -[PolicyCacheMeta setSourceTable:]
00007ff90d082db0 (__TEXT,__text) non-external -[PolicyCacheMeta sourceTable]
00007ff90d095c00 (__TEXT,__text) non-external -[PolicyScanTarget .cxx_destruct]
00007ff90d095666 (__TEXT,__text) non-external -[PolicyScanTarget backingStore]
00007ff90d095a8f (__TEXT,__text) non-external -[PolicyScanTarget blockDevice]
00007ff90d0948f8 (__TEXT,__text) non-external -[PolicyScanTarget bundleID]
00007ff90d09499c (__TEXT,__text) non-external -[PolicyScanTarget bundleVersion]
00007ff90d094d3b (__TEXT,__text) non-external -[PolicyScanTarget cdhashData]
00007ff90d094df0 (__TEXT,__text) non-external -[PolicyScanTarget cdhashDigestAlgorithm]
00007ff90d094c5b (__TEXT,__text) non-external -[PolicyScanTarget cdhash]
00007ff90d095ac1 (__TEXT,__text) non-external -[PolicyScanTarget checkValidity]
00007ff90d09505f (__TEXT,__text) non-external -[PolicyScanTarget createdTime]
00007ff90d0958ed (__TEXT,__text) non-external -[PolicyScanTarget csflags]
00007ff90d09aa01 (__TEXT,__text) non-external -[PolicyScanTarget csflags].cold.1
00007ff90d093f4b (__TEXT,__text) non-external -[PolicyScanTarget dealloc]
00007ff90d095341 (__TEXT,__text) non-external -[PolicyScanTarget description]
00007ff90d094bc9 (__TEXT,__text) non-external -[PolicyScanTarget entitlements]
00007ff90d095aa3 (__TEXT,__text) non-external -[PolicyScanTarget fsTypeName]
00007ff90d0955df (__TEXT,__text) non-external -[PolicyScanTarget hasPowerfulEntitlements]
00007ff90d09557f (__TEXT,__text) non-external -[PolicyScanTarget hasResourceDirectorySlot]
00007ff90d094a93 (__TEXT,__text) non-external -[PolicyScanTarget infoPlist]
00007ff90d093fb4 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:]
00007ff90d09a757 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.1
00007ff90d09a7e0 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.2
00007ff90d09a85b (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.3
00007ff90d09a88e (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.4
00007ff90d09a8c1 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.5
00007ff90d09a93c (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.6
00007ff90d093f3d (__TEXT,__text) non-external -[PolicyScanTarget init]
00007ff90d095ad4 (__TEXT,__text) non-external -[PolicyScanTarget isAppWrapper]
00007ff90d09597d (__TEXT,__text) non-external -[PolicyScanTarget isBackingDMGNotarized]
00007ff90d095ae1 (__TEXT,__text) non-external -[PolicyScanTarget isBadAppWrapper]
00007ff90d095b39 (__TEXT,__text) non-external -[PolicyScanTarget isBundled]
00007ff90d095ba5 (__TEXT,__text) non-external -[PolicyScanTarget isMovedToTrash]
00007ff90d095155 (__TEXT,__text) non-external -[PolicyScanTarget isNotarized]
00007ff90d095b13 (__TEXT,__text) non-external -[PolicyScanTarget isQuarantinedMount]
00007ff90d09501a (__TEXT,__text) non-external -[PolicyScanTarget isQuarantined]
00007ff90d095b20 (__TEXT,__text) non-external -[PolicyScanTarget isScript]
00007ff90d0950cc (__TEXT,__text) non-external -[PolicyScanTarget isUserApproved]
00007ff90d094869 (__TEXT,__text) non-external -[PolicyScanTarget mainExecutableURL]
00007ff90d095ab7 (__TEXT,__text) non-external -[PolicyScanTarget modTime]
00007ff90d095b9b (__TEXT,__text) non-external -[PolicyScanTarget mountTime]
00007ff90d095a99 (__TEXT,__text) non-external -[PolicyScanTarget objectID]
00007ff90d095a71 (__TEXT,__text) non-external -[PolicyScanTarget originalURL]
00007ff90d095a85 (__TEXT,__text) non-external -[PolicyScanTarget pathOnVolume]
00007ff90d095b77 (__TEXT,__text) non-external -[PolicyScanTarget pid]
00007ff90d095111 (__TEXT,__text) non-external -[PolicyScanTarget quarantineFlags]
00007ff90d095229 (__TEXT,__text) non-external -[PolicyScanTarget redactedDescription]
00007ff90d0953d1 (__TEXT,__text) non-external -[PolicyScanTarget reloadSigningInfo]
00007ff90d095b6a (__TEXT,__text) non-external -[PolicyScanTarget setBackingStore:]
00007ff90d095acb (__TEXT,__text) non-external -[PolicyScanTarget setCheckValidity:]
00007ff90d095b8f (__TEXT,__text) non-external -[PolicyScanTarget setCsflags:]
00007ff90d095b5e (__TEXT,__text) non-external -[PolicyScanTarget setHasPowerfulEntitlements:]
00007ff90d095b52 (__TEXT,__text) non-external -[PolicyScanTarget setHasResourceDirectorySlot:]
00007ff90d095aee (__TEXT,__text) non-external -[PolicyScanTarget setIsBadAppWrapper:]
00007ff90d095b46 (__TEXT,__text) non-external -[PolicyScanTarget setIsBundled:]
00007ff90d095bb2 (__TEXT,__text) non-external -[PolicyScanTarget setIsMovedToTrash:]
00007ff90d095b2d (__TEXT,__text) non-external -[PolicyScanTarget setIsScript:]
00007ff90d095b83 (__TEXT,__text) non-external -[PolicyScanTarget setPid:]
00007ff90d095bcb (__TEXT,__text) non-external -[PolicyScanTarget setTrashedURL:]
00007ff90d095b07 (__TEXT,__text) non-external -[PolicyScanTarget setTriggeredByLibraryLoad:]
00007ff90d095bec (__TEXT,__text) non-external -[PolicyScanTarget setValidationCategory:]
00007ff90d094f65 (__TEXT,__text) non-external -[PolicyScanTarget signingID]
00007ff90d094b98 (__TEXT,__text) non-external -[PolicyScanTarget signingInfo]
00007ff90d094ac0 (__TEXT,__text) non-external -[PolicyScanTarget staticCodeRef]
00007ff90d094eb0 (__TEXT,__text) non-external -[PolicyScanTarget teamID]
00007ff90d09540d (__TEXT,__text) non-external -[PolicyScanTarget trashedMainExe]
00007ff90d095bbe (__TEXT,__text) non-external -[PolicyScanTarget trashedURL]
00007ff90d095afa (__TEXT,__text) non-external -[PolicyScanTarget triggeredByLibraryLoad]
00007ff90d095a67 (__TEXT,__text) non-external -[PolicyScanTarget url]
00007ff90d095bdf (__TEXT,__text) non-external -[PolicyScanTarget validationCategory]
00007ff90d095aad (__TEXT,__text) non-external -[PolicyScanTarget volumePath]
00007ff90d095a7b (__TEXT,__text) non-external -[PolicyScanTarget volumeUUID]
00007ff90d07f7b0 (__TEXT,__text) non-external -[ProvenanceEntry .cxx_destruct]
00007ff90d07f2e1 (__TEXT,__text) non-external -[ProvenanceEntry attributes]
00007ff90d07f795 (__TEXT,__text) non-external -[ProvenanceEntry bundleID]
00007ff90d07f77a (__TEXT,__text) non-external -[ProvenanceEntry cdhash]
00007ff90d07f552 (__TEXT,__text) non-external -[ProvenanceEntry createMetadata]
00007ff90d07f473 (__TEXT,__text) non-external -[ProvenanceEntry description]
00007ff90d07f6f3 (__TEXT,__text) non-external -[ProvenanceEntry flags]
00007ff90d07f36a (__TEXT,__text) non-external -[ProvenanceEntry redactedDescription]
00007ff90d07f70e (__TEXT,__text) non-external -[ProvenanceEntry rootID]
00007ff90d07f79f (__TEXT,__text) non-external -[ProvenanceEntry setBundleID:]
00007ff90d07f784 (__TEXT,__text) non-external -[ProvenanceEntry setCdhash:]
00007ff90d07f6fd (__TEXT,__text) non-external -[ProvenanceEntry setFlags:]
00007ff90d07f718 (__TEXT,__text) non-external -[ProvenanceEntry setRootID:]
00007ff90d07f769 (__TEXT,__text) non-external -[ProvenanceEntry setSigningID:]
00007ff90d07f74e (__TEXT,__text) non-external -[ProvenanceEntry setTeamID:]
00007ff90d07f6e2 (__TEXT,__text) non-external -[ProvenanceEntry setUniqueID:]
00007ff90d07f733 (__TEXT,__text) non-external -[ProvenanceEntry setUrl:]
00007ff90d07f75f (__TEXT,__text) non-external -[ProvenanceEntry signingID]
00007ff90d07f744 (__TEXT,__text) non-external -[ProvenanceEntry teamID]
00007ff90d07f6d8 (__TEXT,__text) non-external -[ProvenanceEntry uniqueID]
00007ff90d07f729 (__TEXT,__text) non-external -[ProvenanceEntry url]
00007ff90d0978a3 (__TEXT,__text) non-external -[SPBundleProtection .cxx_destruct]
00007ff90d097791 (__TEXT,__text) non-external -[SPBundleProtection dealloc]
00007ff90d0976c0 (__TEXT,__text) non-external -[SPBundleProtection init]
00007ff90d0977d3 (__TEXT,__text) non-external -[SPBundleProtection sendMetricFromTCCWithURL:withPID:withError:]
00007ff90d098168 (__TEXT,__text) non-external -[SPDeveloperPolicy .cxx_destruct]
00007ff90d0980fa (__TEXT,__text) non-external -[SPDeveloperPolicy createLocalDevelopmentCertificateForUser:error:]
00007ff90d097fd0 (__TEXT,__text) non-external -[SPDeveloperPolicy dealloc]
00007ff90d097eff (__TEXT,__text) non-external -[SPDeveloperPolicy init]
00007ff90d098012 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperModeEnabled]
00007ff90d0980d0 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperToolEnvironmentWithError:]
00007ff90d098155 (__TEXT,__text) non-external -[SPDeveloperPolicy registerDevelopmentTeamWithIdentifier:error:]
00007ff90d09814a (__TEXT,__text) non-external -[SPDeveloperPolicy removeLocalDevelopmentCertificateForUser:error:]
00007ff90d09803e (__TEXT,__text) non-external -[SPDeveloperPolicy setDeveloperModeEnabled:error:]
00007ff90d09815d (__TEXT,__text) non-external -[SPDeveloperPolicy unregisterDevelopmentTeamWithIdentifier:error:]
00007ff90d08a03a (__TEXT,__text) non-external -[SPExecutionHistoryItem .cxx_destruct]
00007ff90d08a012 (__TEXT,__text) non-external -[SPExecutionHistoryItem cdHash]
00007ff90d08a026 (__TEXT,__text) non-external -[SPExecutionHistoryItem developerName]
00007ff90d089e02 (__TEXT,__text) non-external -[SPExecutionHistoryItem encodeWithCoder:]
00007ff90d089fea (__TEXT,__text) non-external -[SPExecutionHistoryItem execPath]
00007ff90d089bf8 (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithCoder:]
00007ff90d089921 (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00007ff90d089913 (__TEXT,__text) non-external -[SPExecutionHistoryItem init]
00007ff90d08a030 (__TEXT,__text) non-external -[SPExecutionHistoryItem lastSeen]
00007ff90d089ff4 (__TEXT,__text) non-external -[SPExecutionHistoryItem mmapPath]
00007ff90d08a01c (__TEXT,__text) non-external -[SPExecutionHistoryItem responsiblePath]
00007ff90d089ffe (__TEXT,__text) non-external -[SPExecutionHistoryItem signingID]
00007ff90d08a008 (__TEXT,__text) non-external -[SPExecutionHistoryItem teamID]
00007ff90d08daf6 (__TEXT,__text) non-external -[SPExecutionPolicy .cxx_destruct]
00007ff90d08c7a6 (__TEXT,__text) non-external -[SPExecutionPolicy addBlockedSoftwareOverride:error:]
00007ff90d08c6bd (__TEXT,__text) non-external -[SPExecutionPolicy addGatekeeperUserIntent:error:]
00007ff90d08d24a (__TEXT,__text) non-external -[SPExecutionPolicy allowGatekeeperPolicy:error:]
00007ff90d08c658 (__TEXT,__text) non-external -[SPExecutionPolicy blockedExecutionPolicyItems]
00007ff90d08c3a7 (__TEXT,__text) non-external -[SPExecutionPolicy connection]
00007ff90d08c12d (__TEXT,__text) non-external -[SPExecutionPolicy dealloc]
00007ff90d08c2b7 (__TEXT,__text) non-external -[SPExecutionPolicy doGatekeeperProgressUpdate:withTotal:]
00007ff90d08c983 (__TEXT,__text) non-external -[SPExecutionPolicy getBlockedSoftwareOverride:error:]
00007ff90d08ce1b (__TEXT,__text) non-external -[SPExecutionPolicy getGatekeeperInsightEnabled:]
00007ff90d08d104 (__TEXT,__text) non-external -[SPExecutionPolicy getGatekeeperPolicyWithError:]
00007ff90d08cc17 (__TEXT,__text) non-external -[SPExecutionPolicy getStrictGatekeeperEnabledForDomain:error:]
00007ff90d08c088 (__TEXT,__text) non-external -[SPExecutionPolicy init]
00007ff90d08ca6c (__TEXT,__text) non-external -[SPExecutionPolicy isBlockedSoftware:error:]
00007ff90d08cf06 (__TEXT,__text) non-external -[SPExecutionPolicy isFastGatekeeperOverrideModeEnabled]
00007ff90d08d18f (__TEXT,__text) non-external -[SPExecutionPolicy isGatekeeperPolicyAllowed:error:]
00007ff90d08c64b (__TEXT,__text) non-external -[SPExecutionPolicy legacyExecutionHistory]
00007ff90d08cf60 (__TEXT,__text) non-external -[SPExecutionPolicy logGatekeeperOverrideForURL:withError:]
00007ff90d08c177 (__TEXT,__text) non-external -[SPExecutionPolicy myProgressHandler]
00007ff90d08c16f (__TEXT,__text) non-external -[SPExecutionPolicy progressBlock]
00007ff90d08c88f (__TEXT,__text) non-external -[SPExecutionPolicy setBlockedSoftwareOverride:isEnabled:error:]
00007ff90d08d305 (__TEXT,__text) non-external -[SPExecutionPolicy setDownloadURL:andDataURL:forURL:]
00007ff90d08ceec (__TEXT,__text) non-external -[SPExecutionPolicy setGatekeeperInsightDefault:]
00007ff90d08ccd2 (__TEXT,__text) non-external -[SPExecutionPolicy setGatekeeperInsightEnabled:error:]
00007ff90d08d049 (__TEXT,__text) non-external -[SPExecutionPolicy setGatekeeperPolicy:error:]
00007ff90d08c18d (__TEXT,__text) non-external -[SPExecutionPolicy setProgressHandler:]
00007ff90d08cb55 (__TEXT,__text) non-external -[SPExecutionPolicy setStrictGatekeeperEnabled:forDomain:error:]
00007ff90d0891f5 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) notifyInstalledContent:withInstallationType:error:]
00007ff90d0887fe (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:]
00007ff90d099664 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.1
00007ff90d0996eb (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.2
00007ff90d099772 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.3
00007ff90d09980b (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.4
00007ff90d0998a4 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.5
00007ff90d0998fe (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.6
00007ff90d099932 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.7
00007ff90d08953d (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperScan:withScanOptions:withProgressHandler:error:]
00007ff90d0892e9 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperScan:withScanOptions:withShouldOverridePolicy:withPolicy:withProgressHandler:error:]
00007ff90d08c07a (__TEXT,__text) non-external -[SPExecutionPolicyExportedObject .cxx_destruct]
00007ff90d08c00e (__TEXT,__text) non-external -[SPExecutionPolicyExportedObject doGatekeeperProgressUpdate:withTotal:]
00007ff90d08bfaa (__TEXT,__text) non-external -[SPExecutionPolicyExportedObject initWithParent:]
00007ff90d08c053 (__TEXT,__text) non-external -[SPExecutionPolicyExportedObject parent]
00007ff90d08c069 (__TEXT,__text) non-external -[SPExecutionPolicyExportedObject setParent:]
00007ff90d0887b5 (__TEXT,__text) non-external -[SPExecutionPolicyItem .cxx_destruct]
00007ff90d0887ab (__TEXT,__text) non-external -[SPExecutionPolicyItem blockedReasonDescription]
00007ff90d088783 (__TEXT,__text) non-external -[SPExecutionPolicyItem cdHash]
00007ff90d08852a (__TEXT,__text) non-external -[SPExecutionPolicyItem encodeWithCoder:]
00007ff90d0882db (__TEXT,__text) non-external -[SPExecutionPolicyItem initWithCoder:]
00007ff90d0881b1 (__TEXT,__text) non-external -[SPExecutionPolicyItem initWithItemPath:signingID:teamID:cdHash:needsApproval:needsOverride:knownMalware:blockedReasonDescription:]
00007ff90d0881a3 (__TEXT,__text) non-external -[SPExecutionPolicyItem init]
