000000018d6a9308 (__TEXT,__const) non-external _KW_ANY
000000018d6917c8 (__TEXT,__text) external _XML_GetErrorCode
000000018d691ae0 (__TEXT,__text) external _XML_GetFeatureList
00000001d46e3a18 (__DATA_CONST,__const) non-external _XML_GetFeatureList.features
000000018d690e5c (__TEXT,__text) external _XML_GetIdAttributeIndex
000000018d691828 (__TEXT,__text) external _XML_GetInputContext
000000018d6917a0 (__TEXT,__text) external _XML_GetParsingStatus
000000018d6a83f0 (__TEXT,__text) non-external _XML_GetParsingStatus.cold.1
000000018d690e48 (__TEXT,__text) external _XML_GetSpecifiedAttributeCount
000000018d69195c (__TEXT,__text) external _XML_MemFree
000000018d691930 (__TEXT,__text) external _XML_MemMalloc
000000018d691944 (__TEXT,__text) external _XML_MemRealloc
000000018d691038 (__TEXT,__text) external _XML_Parse
000000018d6914dc (__TEXT,__text) external _XML_ParseBuffer
000000018d68f8d8 (__TEXT,__text) external _XML_ParserCreate
000000018d68f8f0 (__TEXT,__text) external _XML_ParserCreateNS
000000018d68f8e8 (__TEXT,__text) external _XML_ParserCreate_MM
000000018d6908f0 (__TEXT,__text) external _XML_ParserFree
000000018d68fb90 (__TEXT,__text) external _XML_ParserReset
000000018d6916b0 (__TEXT,__text) external _XML_ResumeParser
000000018d690fb8 (__TEXT,__text) external _XML_SetAttlistDeclHandler
000000018d690d8c (__TEXT,__text) external _XML_SetBase
000000018d691b1c (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionActivationThreshold
000000018d691aec (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionMaximumAmplification
000000018d690eb8 (__TEXT,__text) external _XML_SetCdataSectionHandler
000000018d690e94 (__TEXT,__text) external _XML_SetCharacterDataHandler
000000018d690eac (__TEXT,__text) external _XML_SetCommentHandler
000000018d690edc (__TEXT,__text) external _XML_SetDefaultHandler
000000018d690eec (__TEXT,__text) external _XML_SetDefaultHandlerExpand
000000018d690f00 (__TEXT,__text) external _XML_SetDoctypeDeclHandler
000000018d690fac (__TEXT,__text) external _XML_SetElementDeclHandler
000000018d690e70 (__TEXT,__text) external _XML_SetElementHandler
000000018d690070 (__TEXT,__text) external _XML_SetEncoding
000000018d690ed0 (__TEXT,__text) external _XML_SetEndCdataSectionHandler
000000018d690f18 (__TEXT,__text) external _XML_SetEndDoctypeDeclHandler
000000018d690e88 (__TEXT,__text) external _XML_SetEndElementHandler
000000018d690f54 (__TEXT,__text) external _XML_SetEndNamespaceDeclHandler
000000018d690fc4 (__TEXT,__text) external _XML_SetEntityDeclHandler
000000018d690f6c (__TEXT,__text) external _XML_SetExternalEntityRefHandler
000000018d690f78 (__TEXT,__text) external _XML_SetExternalEntityRefHandlerArg
000000018d691004 (__TEXT,__text) external _XML_SetHashSalt
000000018d690f3c (__TEXT,__text) external _XML_SetNamespaceDeclHandler
000000018d690f60 (__TEXT,__text) external _XML_SetNotStandaloneHandler
000000018d690f30 (__TEXT,__text) external _XML_SetNotationDeclHandler
000000018d690fdc (__TEXT,__text) external _XML_SetParamEntityParsing
000000018d690ea0 (__TEXT,__text) external _XML_SetProcessingInstructionHandler
000000018d690d44 (__TEXT,__text) external _XML_SetReturnNSTriplet
000000018d690f90 (__TEXT,__text) external _XML_SetSkippedEntityHandler
000000018d690ec4 (__TEXT,__text) external _XML_SetStartCdataSectionHandler
000000018d690f0c (__TEXT,__text) external _XML_SetStartDoctypeDeclHandler
000000018d690e7c (__TEXT,__text) external _XML_SetStartElementHandler
000000018d690f48 (__TEXT,__text) external _XML_SetStartNamespaceDeclHandler
000000018d690f9c (__TEXT,__text) external _XML_SetUnknownEncodingHandler
000000018d690f24 (__TEXT,__text) external _XML_SetUnparsedEntityDeclHandler
000000018d690d6c (__TEXT,__text) external _XML_SetUserData
000000018d690fd0 (__TEXT,__text) external _XML_SetXmlDeclHandler
000000018d69163c (__TEXT,__text) external _XML_StopParser
000000018d690d10 (__TEXT,__text) external _XML_UseForeignDTD
000000018d690d04 (__TEXT,__text) external _XML_UseParserAsHandlerArg
000000018d69b60c (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncoding
000000018d69bbb0 (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncodingNS
000000018d69b600 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncoding
000000018d69bba4 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncodingNS
000000018d69b618 (__TEXT,__text) non-external (was a private external) _XmlInitEncoding
000000018d69bbbc (__TEXT,__text) non-external (was a private external) _XmlInitEncodingNS
000000018d69b054 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncoding
000000018d69bddc (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncodingNS
000000018d69b744 (__TEXT,__text) non-external (was a private external) _XmlParseXmlDecl
000000018d69bc78 (__TEXT,__text) non-external (was a private external) _XmlParseXmlDeclNS
000000018d698e1c (__TEXT,__text) non-external (was a private external) _XmlPrologStateInit
000000018d698f5c (__TEXT,__text) non-external (was a private external) _XmlPrologStateInitExternalEntity
000000018d69b04c (__TEXT,__text) non-external (was a private external) _XmlSizeOfUnknownEncoding
000000018d69affc (__TEXT,__text) non-external (was a private external) _XmlUtf16Encode
000000018d69af40 (__TEXT,__text) non-external (was a private external) _XmlUtf8Encode
000000018d69ae94 (__TEXT,__text) non-external (was a private external) __INTERNAL_trim_to_complete_utf8_characters
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
000000018d6936cc (__TEXT,__text) non-external _accountingDiffTolerated
000000018d6a8448 (__TEXT,__text) non-external _accountingDiffTolerated.cold.1
000000018d69531c (__TEXT,__text) non-external _accountingGetCurrentAmplification
000000018d6a8474 (__TEXT,__text) non-external _accountingGetCurrentAmplification.cold.1
000000018d695360 (__TEXT,__text) non-external _accountingReportStats
000000018d697920 (__TEXT,__text) non-external _addBinding
000000018d6a90f2 (__TEXT,__cstring) non-external _addBinding.xmlNamespace
000000018d6a9117 (__TEXT,__cstring) non-external _addBinding.xmlnsNamespace
000000018d697e0c (__TEXT,__text) non-external _appendAttributeValue
                 (undefined) external _arc4random_buf (from libSystem)
00000001ddcba898 (__AUTH_CONST,__const) non-external _ascii_encoding
00000001ddcbb1a8 (__AUTH_CONST,__const) non-external _ascii_encoding_ns
000000018d6a4138 (__TEXT,__text) non-external _ascii_toUtf8
000000018d6995f0 (__TEXT,__text) non-external _attlist0
000000018d699fbc (__TEXT,__text) non-external _attlist1
000000018d69a060 (__TEXT,__text) non-external _attlist2
00000001d46e4430 (__DATA_CONST,__const) non-external _attlist2.types
000000018d69a310 (__TEXT,__text) non-external _attlist3
000000018d69a4a8 (__TEXT,__text) non-external _attlist4
000000018d69a2bc (__TEXT,__text) non-external _attlist5
000000018d69a3d8 (__TEXT,__text) non-external _attlist6
000000018d69a438 (__TEXT,__text) non-external _attlist7
000000018d69a180 (__TEXT,__text) non-external _attlist8
000000018d69a378 (__TEXT,__text) non-external _attlist9
000000018d6a591c (__TEXT,__text) non-external _big2_attributeValueTok
000000018d6a54b4 (__TEXT,__text) non-external _big2_cdataSectionTok
000000018d6a6154 (__TEXT,__text) non-external _big2_charRefNumber
000000018d6a7540 (__TEXT,__text) non-external _big2_checkPiTarget
000000018d6a4978 (__TEXT,__text) non-external _big2_contentTok
00000001ddcba4f8 (__AUTH_CONST,__const) non-external _big2_encoding
00000001ddcbae08 (__AUTH_CONST,__const) non-external _big2_encoding_ns
000000018d6a5a84 (__TEXT,__text) non-external _big2_entityValueTok
000000018d6a5d34 (__TEXT,__text) non-external _big2_getAtts
000000018d6a5750 (__TEXT,__text) non-external _big2_ignoreSectionTok
000000018d6a6484 (__TEXT,__text) non-external _big2_isPublicId
000000018d6a5c50 (__TEXT,__text) non-external _big2_nameLength
000000018d6a5c04 (__TEXT,__text) non-external _big2_nameMatchesAscii
000000018d6a6234 (__TEXT,__text) non-external _big2_predefinedEntityName
000000018d6a4184 (__TEXT,__text) non-external _big2_prologTok
000000018d6a7914 (__TEXT,__text) non-external _big2_scanAtts
000000018d6a9a4b (__TEXT,__const) non-external _big2_scanCdataSection.CDATA_LSQB
000000018d6a73a8 (__TEXT,__text) non-external _big2_scanComment
000000018d6a68d8 (__TEXT,__text) non-external _big2_scanDecl
000000018d6a6760 (__TEXT,__text) non-external _big2_scanLit
000000018d6a6ebc (__TEXT,__text) non-external _big2_scanPercent
000000018d6a6a58 (__TEXT,__text) non-external _big2_scanPi
000000018d6a7138 (__TEXT,__text) non-external _big2_scanPoundName
000000018d6a75dc (__TEXT,__text) non-external _big2_scanRef
000000018d6a5cf0 (__TEXT,__text) non-external _big2_skipS
000000018d6a66cc (__TEXT,__text) non-external _big2_toUtf16
000000018d6a6538 (__TEXT,__text) non-external _big2_toUtf8
000000018d6a6388 (__TEXT,__text) non-external _big2_updatePosition
                 (undefined) external _bzero (from libSystem)
000000018d697728 (__TEXT,__text) non-external _cdataSectionProcessor
000000018d69b2ec (__TEXT,__text) non-external _checkCharRefNumber
000000018d699c18 (__TEXT,__text) non-external _condSect0
000000018d699cf0 (__TEXT,__text) non-external _condSect1
000000018d699d60 (__TEXT,__text) non-external _condSect2
000000018d694044 (__TEXT,__text) non-external _contentProcessor
000000018d698c60 (__TEXT,__text) non-external _copyEntityTable
000000018d6900e0 (__TEXT,__text) non-external _copyString
000000018d699a98 (__TEXT,__text) non-external _declClose
000000018d6943d4 (__TEXT,__text) non-external _defineAttribute
000000018d697444 (__TEXT,__text) non-external _doCdataSection
000000018d695710 (__TEXT,__text) non-external _doContent
000000018d694bd0 (__TEXT,__text) non-external _doIgnoreSection
000000018d69b7a0 (__TEXT,__text) non-external _doParseXmlDecl
000000018d691e74 (__TEXT,__text) non-external _doProlog
000000018d6a9202 (__TEXT,__const) non-external _doProlog.atypeCDATA
000000018d6a921f (__TEXT,__const) non-external _doProlog.atypeENTITIES
000000018d6a9218 (__TEXT,__const) non-external _doProlog.atypeENTITY
000000018d6a9208 (__TEXT,__const) non-external _doProlog.atypeID
000000018d6a920b (__TEXT,__const) non-external _doProlog.atypeIDREF
000000018d6a9211 (__TEXT,__const) non-external _doProlog.atypeIDREFS
000000018d6a9228 (__TEXT,__const) non-external _doProlog.atypeNMTOKEN
000000018d6a9230 (__TEXT,__const) non-external _doProlog.atypeNMTOKENS
000000018d6a841c (__TEXT,__text) non-external _doProlog.cold.1
000000018d6a8fe7 (__TEXT,__cstring) non-external _doProlog.enumValueSep
000000018d6a8fe9 (__TEXT,__cstring) non-external _doProlog.enumValueStart
000000018d6a8fdd (__TEXT,__cstring) non-external _doProlog.notationPrefix
000000018d69909c (__TEXT,__text) non-external _doctype0
000000018d699108 (__TEXT,__text) non-external _doctype1
000000018d699520 (__TEXT,__text) non-external _doctype2
000000018d6994c0 (__TEXT,__text) non-external _doctype3
000000018d69ae18 (__TEXT,__text) non-external _doctype4
000000018d699718 (__TEXT,__text) non-external _doctype5
000000018d699654 (__TEXT,__text) non-external _element0
000000018d69a518 (__TEXT,__text) non-external _element1
000000018d69a638 (__TEXT,__text) non-external _element2
000000018d69a79c (__TEXT,__text) non-external _element3
000000018d69aaf0 (__TEXT,__text) non-external _element4
000000018d69ab54 (__TEXT,__text) non-external _element5
000000018d69a84c (__TEXT,__text) non-external _element6
000000018d69a96c (__TEXT,__text) non-external _element7
00000001d46e44a0 (__DATA_CONST,__const) non-external _encodings
00000001d46e44d8 (__DATA_CONST,__const) non-external _encodingsNS
000000018d699580 (__TEXT,__text) non-external _entity0
000000018d699778 (__TEXT,__text) non-external _entity1
000000018d699b0c (__TEXT,__text) non-external _entity10
000000018d6997d8 (__TEXT,__text) non-external _entity2
000000018d699e20 (__TEXT,__text) non-external _entity3
000000018d699dc0 (__TEXT,__text) non-external _entity4
000000018d699e80 (__TEXT,__text) non-external _entity5
000000018d699f54 (__TEXT,__text) non-external _entity6
000000018d6998d8 (__TEXT,__text) non-external _entity7
000000018d699a38 (__TEXT,__text) non-external _entity8
000000018d6999d8 (__TEXT,__text) non-external _entity9
000000018d6950e8 (__TEXT,__text) non-external _entityTrackingOnOpen
000000018d698508 (__TEXT,__text) non-external _entityTrackingReportStats
000000018d6a84a0 (__TEXT,__text) non-external _entityTrackingReportStats.cold.1
000000018d698830 (__TEXT,__text) non-external _entityValueInitProcessor
000000018d698b2c (__TEXT,__text) non-external _entityValueProcessor
000000018d697240 (__TEXT,__text) non-external _epilogProcessor
000000018d699100 (__TEXT,__text) non-external _error
000000018d691274 (__TEXT,__text) non-external _errorProcessor
000000018d697da8 (__TEXT,__text) non-external _externalEntityContentProcessor
000000018d690b58 (__TEXT,__text) non-external _externalEntityInitProcessor
000000018d698604 (__TEXT,__text) non-external _externalEntityInitProcessor2
000000018d698720 (__TEXT,__text) non-external _externalEntityInitProcessor3
000000018d690bd4 (__TEXT,__text) non-external _externalParEntInitProcessor
000000018d6989f4 (__TEXT,__text) non-external _externalParEntProcessor
000000018d698f74 (__TEXT,__text) non-external _externalSubset0
000000018d699b88 (__TEXT,__text) non-external _externalSubset1
000000018d69ba9c (__TEXT,__text) non-external _findEncoding
000000018d69bcd4 (__TEXT,__text) non-external _findEncodingNS
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
000000018d6971e0 (__TEXT,__text) non-external _freeBindings
                 (undefined) external _fwrite (from libSystem)
000000018d694138 (__TEXT,__text) non-external _getAttributeId
000000018d69641c (__TEXT,__text) non-external _getContext
000000018d691be4 (__TEXT,__text) non-external _getDebugLevel
000000018d6940a8 (__TEXT,__text) non-external _getElementType
000000018d69b694 (__TEXT,__text) non-external _getEncodingIndex
00000001d46e4470 (__DATA_CONST,__const) non-external _getEncodingIndex.encodingNames
                 (undefined) external _getenv (from libSystem)
000000018d691d68 (__TEXT,__text) non-external _handleUnknownEncoding
000000018d6953d8 (__TEXT,__text) non-external _hash
000000018d698bf4 (__TEXT,__text) non-external _hashTableDestroy
000000018d694d74 (__TEXT,__text) non-external _ignoreSectionProcessor
000000018d6a9239 (__TEXT,__const) non-external _implicitContext
000000018d6a3f3c (__TEXT,__text) non-external _initScan
000000018d69b718 (__TEXT,__text) non-external _initScanContent
000000018d69bc58 (__TEXT,__text) non-external _initScanContentNS
000000018d69b6f8 (__TEXT,__text) non-external _initScanProlog
000000018d69bc38 (__TEXT,__text) non-external _initScanPrologNS
000000018d69b738 (__TEXT,__text) non-external _initUpdatePosition
000000018d691c5c (__TEXT,__text) non-external _initializeEncoding
000000018d6982ac (__TEXT,__text) non-external _internalEntityProcessor
000000018d699220 (__TEXT,__text) non-external _internalSubset
00000001ddcb9db8 (__AUTH_CONST,__const) non-external _internal_little2_encoding
00000001ddcba158 (__AUTH_CONST,__const) non-external _internal_little2_encoding_ns
00000001ddcb9be8 (__AUTH_CONST,__const) non-external _internal_utf8_encoding
00000001ddcb9f88 (__AUTH_CONST,__const) non-external _internal_utf8_encoding_ns
000000018d69fed8 (__TEXT,__text) non-external _isNever
00000001ddcb9a18 (__AUTH_CONST,__const) non-external _latin1_encoding
00000001ddcbaa68 (__AUTH_CONST,__const) non-external _latin1_encoding_ns
000000018d69e4f8 (__TEXT,__text) non-external _latin1_toUtf16
000000018d69e460 (__TEXT,__text) non-external _latin1_toUtf8
000000018d6a1818 (__TEXT,__text) non-external _little2_attributeValueTok
000000018d6a13b0 (__TEXT,__text) non-external _little2_cdataSectionTok
000000018d6a205c (__TEXT,__text) non-external _little2_charRefNumber
000000018d6a3438 (__TEXT,__text) non-external _little2_checkPiTarget
000000018d6a08a8 (__TEXT,__text) non-external _little2_contentTok
00000001ddcba6c8 (__AUTH_CONST,__const) non-external _little2_encoding
00000001ddcbafd8 (__AUTH_CONST,__const) non-external _little2_encoding_ns
000000018d6a1980 (__TEXT,__text) non-external _little2_entityValueTok
000000018d6a1c3c (__TEXT,__text) non-external _little2_getAtts
000000018d6a164c (__TEXT,__text) non-external _little2_ignoreSectionTok
000000018d6a2388 (__TEXT,__text) non-external _little2_isPublicId
000000018d6a1b4c (__TEXT,__text) non-external _little2_nameLength
000000018d6a1b00 (__TEXT,__text) non-external _little2_nameMatchesAscii
000000018d6a2138 (__TEXT,__text) non-external _little2_predefinedEntityName
000000018d6a00b4 (__TEXT,__text) non-external _little2_prologTok
000000018d6a380c (__TEXT,__text) non-external _little2_scanAtts
000000018d6a32a0 (__TEXT,__text) non-external _little2_scanComment
000000018d6a27d4 (__TEXT,__text) non-external _little2_scanDecl
000000018d6a265c (__TEXT,__text) non-external _little2_scanLit
000000018d6a2db0 (__TEXT,__text) non-external _little2_scanPercent
000000018d6a2954 (__TEXT,__text) non-external _little2_scanPi
000000018d6a3030 (__TEXT,__text) non-external _little2_scanPoundName
000000018d6a34d4 (__TEXT,__text) non-external _little2_scanRef
000000018d6a1bec (__TEXT,__text) non-external _little2_skipS
000000018d6a25d0 (__TEXT,__text) non-external _little2_toUtf16
000000018d6a243c (__TEXT,__text) non-external _little2_toUtf8
000000018d6a228c (__TEXT,__text) non-external _little2_updatePosition
000000018d693c74 (__TEXT,__text) non-external _lookup
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
000000018d6a9918 (__TEXT,__const) non-external _namePages
000000018d6a9318 (__TEXT,__const) non-external _namingBitmap
000000018d694e24 (__TEXT,__text) non-external _nextScaffoldPart
000000018d6a9818 (__TEXT,__const) non-external _nmstrtPages
000000018d69da40 (__TEXT,__text) non-external _normal_attributeValueTok
000000018d69d5ac (__TEXT,__text) non-external _normal_cdataSectionTok
000000018d69e104 (__TEXT,__text) non-external _normal_charRefNumber
000000018d69f124 (__TEXT,__text) non-external _normal_checkPiTarget
000000018d69c944 (__TEXT,__text) non-external _normal_contentTok
000000018d69dba8 (__TEXT,__text) non-external _normal_entityValueTok
000000018d69ddd0 (__TEXT,__text) non-external _normal_getAtts
000000018d69d868 (__TEXT,__text) non-external _normal_ignoreSectionTok
000000018d69e3b4 (__TEXT,__text) non-external _normal_isPublicId
000000018d69dd48 (__TEXT,__text) non-external _normal_nameLength
000000018d69dd04 (__TEXT,__text) non-external _normal_nameMatchesAscii
000000018d69e1e0 (__TEXT,__text) non-external _normal_predefinedEntityName
000000018d69be00 (__TEXT,__text) non-external _normal_prologTok
000000018d69f4fc (__TEXT,__text) non-external _normal_scanAtts
000000018d69ef78 (__TEXT,__text) non-external _normal_scanComment
000000018d69e6fc (__TEXT,__text) non-external _normal_scanDecl
000000018d69e54c (__TEXT,__text) non-external _normal_scanLit
000000018d69ecb8 (__TEXT,__text) non-external _normal_scanPercent
000000018d69e85c (__TEXT,__text) non-external _normal_scanPi
000000018d69f1a8 (__TEXT,__text) non-external _normal_scanRef
000000018d69dd94 (__TEXT,__text) non-external _normal_skipS
000000018d69e2c8 (__TEXT,__text) non-external _normal_updatePosition
000000018d6985ac (__TEXT,__text) non-external _normalizeLines
000000018d693fbc (__TEXT,__text) non-external _normalizePublicId
000000018d6996b8 (__TEXT,__text) non-external _notation0
000000018d69abd4 (__TEXT,__text) non-external _notation1
000000018d69ad14 (__TEXT,__text) non-external _notation2
000000018d69acac (__TEXT,__text) non-external _notation3
000000018d69ad74 (__TEXT,__text) non-external _notation4
000000018d6a8010 (__TEXT,__text) non-external _parsePseudoAttribute
000000018d68f924 (__TEXT,__text) non-external _parserCreate
000000018d68ff38 (__TEXT,__text) non-external _parserInit
000000018d694350 (__TEXT,__text) non-external _poolAppend
000000018d690dd4 (__TEXT,__text) non-external _poolCopyString
000000018d690ca4 (__TEXT,__text) non-external _poolDestroy
000000018d694504 (__TEXT,__text) non-external _poolGrow
000000018d693c18 (__TEXT,__text) non-external _poolStoreString
000000018d694f2c (__TEXT,__text) non-external _processInternalEntity
000000018d6938fc (__TEXT,__text) non-external _processXmlDecl
000000018d698e40 (__TEXT,__text) non-external _prolog0
000000018d698f98 (__TEXT,__text) non-external _prolog1
000000018d699408 (__TEXT,__text) non-external _prolog2
000000018d691b68 (__TEXT,__text) non-external _prologInitProcessor
000000018d691ce0 (__TEXT,__text) non-external _prologProcessor
                 (undefined) external _realloc (from libSystem)
000000018d695264 (__TEXT,__text) non-external _reportComment
000000018d6919a4 (__TEXT,__text) non-external _reportDefault
000000018d695134 (__TEXT,__text) non-external _reportProcessingInstruction
000000018d690688 (__TEXT,__text) non-external _setContext
000000018d697824 (__TEXT,__text) non-external _setElementTypePrefix
000000018d6955b8 (__TEXT,__text) non-external _sip24_final
000000018d6954c8 (__TEXT,__text) non-external _sip24_update
000000018d6956c4 (__TEXT,__text) non-external _sip_round
000000018d6911cc (__TEXT,__text) non-external _startParsing
000000018d6946b8 (__TEXT,__text) non-external _storeAttributeValue
000000018d69675c (__TEXT,__text) non-external _storeAtts
000000018d694748 (__TEXT,__text) non-external _storeEntityValue
000000018d696330 (__TEXT,__text) non-external _storeRawNames
000000018d6a3ee4 (__TEXT,__text) non-external _streqci
                 (undefined) external _strtoul (from libSystem)
000000018d691b3c (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesDirect
000000018d691b48 (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesIndirect
000000018d69b400 (__TEXT,__text) non-external _unknown_isInvalid
000000018d69b338 (__TEXT,__text) non-external _unknown_isName
000000018d69b39c (__TEXT,__text) non-external _unknown_isNmstrt
000000018d69b534 (__TEXT,__text) non-external _unknown_toUtf16
000000018d69b434 (__TEXT,__text) non-external _unknown_toUtf8
000000018d691b54 (__TEXT,__text) non-external (was a private external) _unsignedCharToPrintable
00000001ddcba328 (__AUTH_CONST,__const) non-external _utf8_encoding
00000001ddcbac38 (__AUTH_CONST,__const) non-external _utf8_encoding_ns
000000018d69ff74 (__TEXT,__text) non-external _utf8_isInvalid2
000000018d69ffa8 (__TEXT,__text) non-external _utf8_isInvalid3
000000018d6a0038 (__TEXT,__text) non-external _utf8_isInvalid4
000000018d69fe44 (__TEXT,__text) non-external _utf8_isName2
000000018d69fe88 (__TEXT,__text) non-external _utf8_isName3
000000018d69fee0 (__TEXT,__text) non-external _utf8_isNmstrt2
000000018d69ff24 (__TEXT,__text) non-external _utf8_isNmstrt3
000000018d69fcfc (__TEXT,__text) non-external _utf8_toUtf16
000000018d69fc4c (__TEXT,__text) non-external _utf8_toUtf8
