                 (undefined) external _AVMediaTypeAudio (from AVFoundation)
                 (undefined) external _AVURLAssetPreferPreciseDurationAndTimingKey (from AVFoundation)
                 (undefined) external _AudioFileClose (from AudioToolbox)
                 (undefined) external _AudioFileGetProperty (from AudioToolbox)
                 (undefined) external _AudioFileGetPropertyInfo (from AudioToolbox)
                 (undefined) external _AudioFileOpenURL (from AudioToolbox)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CMTimeAdd (from CoreMedia)
                 (undefined) external _CMTimeCompare (from CoreMedia)
                 (undefined) external _CMTimeConvertScale (from CoreMedia)
                 (undefined) external _CMTimeGetSeconds (from CoreMedia)
                 (undefined) external _CMTimeMake (from CoreMedia)
                 (undefined) external _CMTimeMakeWithSeconds (from CoreMedia)
                 (undefined) external _CMTimeMultiply (from CoreMedia)
                 (undefined) external _CMTimeMultiplyByFloat64 (from CoreMedia)
                 (undefined) external _CMTimeRangeContainsTime (from CoreMedia)
                 (undefined) external _CMTimeRangeMake (from CoreMedia)
                 (undefined) external _CMTimeSubtract (from CoreMedia)
                 (undefined) external _ExtAudioFileDispose (from AudioToolbox)
                 (undefined) external _ExtAudioFileGetProperty (from AudioToolbox)
                 (undefined) external _ExtAudioFileOpenURL (from AudioToolbox)
000000023d18a4e0 (__TEXT,__const) external _FMSampleRateUnknown
000000028c3e0898 (__DATA_CONST,__const) external _FMSong_Option_MinLengthForEarlyFade
000000028c3e0888 (__DATA_CONST,__const) external _FMSong_Option_OutroCanBeShortened
000000028c3e0880 (__DATA_CONST,__const) external _FMSong_SegmentMarker_OutroEarlyFade
000000028c3e0878 (__DATA_CONST,__const) external _FMSong_SegmentMarker_OutroStinger
000000028c3e0548 (__DATA_CONST,__const) external _FMTagID_Arousal_Prefix
000000028c3e0538 (__DATA_CONST,__const) external _FMTagID_Genre_Prefix
000000028c3e0530 (__DATA_CONST,__const) external _FMTagID_MoodAlt_Prefix
000000028c3e0520 (__DATA_CONST,__const) external _FMTagID_Mood_Prefix
000000028c3e0560 (__DATA_CONST,__const) external _FMTagID_Region_Prefix
000000028c3e0528 (__DATA_CONST,__const) external _FMTagID_SongPace_Prefix
000000028c3e0540 (__DATA_CONST,__const) external _FMTagID_Style_Prefix
000000028c3e0550 (__DATA_CONST,__const) external _FMTagID_Valence_Prefix
000000028c3e0558 (__DATA_CONST,__const) external _FMTagID_VisualTempo_Prefix
000000028c3e09e8 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierBar
000000028c3e09f0 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierBarKeyBarIndex
000000028c3e09f8 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierBarKeyBeatsPerBar
000000028c3e0a00 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierBeat
000000028c3e0a08 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierBeatKeyBarIndex
000000028c3e0a10 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierBeatKeyBeatIndex
000000028c3e0a20 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierLoopPoints
000000028c3e0a18 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierOnset
000000028c3e0958 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSection
000000028c3e0968 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSectionKeyBodyNumber
000000028c3e0980 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSectionKeyFadeToBlackTime
000000028c3e0978 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSectionKeyOutroEarlyFade
000000028c3e0970 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSectionKeyOutroStinger
000000028c3e0960 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSectionKeyType
000000028c3e0988 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegment
000000028c3e09b0 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyBarsUsed
000000028c3e09a8 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyBodyLetter
000000028c3e09a0 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyBodyNumber
000000028c3e09b8 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyEnergy
000000028c3e09e0 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyFadeToBlackTime
000000028c3e09d8 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyLoudness
000000028c3e09c8 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyOutroEarlyFade
000000028c3e09c0 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyOutroStinger
000000028c3e09d0 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyPeakValue
000000028c3e0998 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyPriority
000000028c3e0990 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyType
000000023d162808 (__TEXT,__text) external _FlexCheckedDynamicCast
000000028c3e0948 (__DATA_CONST,__const) external _FlexDBGenreEntityName
000000028c3e0950 (__DATA_CONST,__const) external _FlexDBRegionEntityName
000000028c3e0940 (__DATA_CONST,__const) external _FlexDBSongEntityName
000000023d162798 (__TEXT,__text) external _FlexDynamicCast
000000028c3e02b0 (__DATA_CONST,__const) external _FlexLocalDBArousalField
000000028c3e0260 (__DATA_CONST,__const) external _FlexLocalDBArtistNameField
000000028c3e0290 (__DATA_CONST,__const) external _FlexLocalDBArtworkLocalURLField
000000028c3e0270 (__DATA_CONST,__const) external _FlexLocalDBArtworkVersionField
000000028c3e02e8 (__DATA_CONST,__const) external _FlexLocalDBAudioEncoderPresetNameField
000000028c3e0280 (__DATA_CONST,__const) external _FlexLocalDBCKRecordIDField
000000028c3e0278 (__DATA_CONST,__const) external _FlexLocalDBCompatibilityVersionField
000000028c3e02e0 (__DATA_CONST,__const) external _FlexLocalDBFormatField
000000028c3e02d0 (__DATA_CONST,__const) external _FlexLocalDBGenreStringsField
000000028c3e02f0 (__DATA_CONST,__const) external _FlexLocalDBHiddenField
000000028c3e02a0 (__DATA_CONST,__const) external _FlexLocalDBMoodAltField
000000028c3e0298 (__DATA_CONST,__const) external _FlexLocalDBMoodField
000000028c3e02a8 (__DATA_CONST,__const) external _FlexLocalDBPaceField
000000028c3e02f8 (__DATA_CONST,__const) external _FlexLocalDBRecalledField
000000028c3e02d8 (__DATA_CONST,__const) external _FlexLocalDBRegionsField
000000028c3e0288 (__DATA_CONST,__const) external _FlexLocalDBSongBundleLocalURLField
000000028c3e0258 (__DATA_CONST,__const) external _FlexLocalDBSongNameField
000000028c3e0268 (__DATA_CONST,__const) external _FlexLocalDBSongVersionField
000000028c3e02c8 (__DATA_CONST,__const) external _FlexLocalDBStyleField
000000028c3e02b8 (__DATA_CONST,__const) external _FlexLocalDBValenceField
000000028c3e02c0 (__DATA_CONST,__const) external _FlexLocalDBVisualTempoField
000000023d162380 (__TEXT,__text) external _FlexLogForCategory
000000028c3e0340 (__DATA_CONST,__const) external _FlexMLArtistNameKey
000000028c3e0358 (__DATA_CONST,__const) external _FlexMLAudioEncoderPresetKey
000000028c3e0398 (__DATA_CONST,__const) external _FlexMLAudioFileExtensionKey
000000028c3e03f8 (__DATA_CONST,__const) external _FlexMLBarTimesKey
000000028c3e03f0 (__DATA_CONST,__const) external _FlexMLBeatTimesKey
000000028c3e0378 (__DATA_CONST,__const) external _FlexMLCompatibilityVersionKey
000000028c3e0370 (__DATA_CONST,__const) external _FlexMLContentVersionKey
000000028c3e0360 (__DATA_CONST,__const) external _FlexMLCustomOptionsKey
000000028c3e0418 (__DATA_CONST,__const) external _FlexMLGainFunctionGainKey
000000028c3e0410 (__DATA_CONST,__const) external _FlexMLGainFunctionKey
000000028c3e0420 (__DATA_CONST,__const) external _FlexMLLoopTimesKey
000000028c3e0400 (__DATA_CONST,__const) external _FlexMLLoudnessKey
000000028c3e0408 (__DATA_CONST,__const) external _FlexMLPeakKey
000000028c3e0428 (__DATA_CONST,__const) external _FlexMLPlistRuntimeVersionKey
000000028c3e03c0 (__DATA_CONST,__const) external _FlexMLSampleRateKey
000000028c3e03a8 (__DATA_CONST,__const) external _FlexMLSegmentDurationKey
000000028c3e0388 (__DATA_CONST,__const) external _FlexMLSegmentTimeKey
000000028c3e03b8 (__DATA_CONST,__const) external _FlexMLSegmentsKey
000000028c3e03c8 (__DATA_CONST,__const) external _FlexMLSongBeatsKey
000000028c3e0350 (__DATA_CONST,__const) external _FlexMLSongFileKey
000000028c3e0348 (__DATA_CONST,__const) external _FlexMLSongIDKey
000000028c3e0320 (__DATA_CONST,__const) external _FlexMLSongMetadataFileExtension
000000028c3e0338 (__DATA_CONST,__const) external _FlexMLSongNameKey
000000028c3e0330 (__DATA_CONST,__const) external _FlexMLSongSummariesFolderName
000000028c3e0328 (__DATA_CONST,__const) external _FlexMLSongSummaryFileExtension
000000028c3e03a0 (__DATA_CONST,__const) external _FlexMLSummaryDurationKey
000000028c3e0368 (__DATA_CONST,__const) external _FlexMLSummaryMappingKey
000000028c3e0380 (__DATA_CONST,__const) external _FlexMLSummaryTimeKey
000000028c3e0390 (__DATA_CONST,__const) external _FlexMLTagIDs
000000028c3e03b0 (__DATA_CONST,__const) external _FlexMLTrackTimeKey
000000028c3e03e8 (__DATA_CONST,__const) external _FlexMLVideoCuesFadeToBlackKey
000000028c3e03e0 (__DATA_CONST,__const) external _FlexMLVideoCuesGoodCuesKey
000000028c3e03d8 (__DATA_CONST,__const) external _FlexMLVideoCuesGreatCuesKey
000000028c3e03d0 (__DATA_CONST,__const) external _FlexMLVideoCuesKey
000000028c3e04a0 (__DATA_CONST,__const) external _FlexMobileAssetAttributeArtistName
000000028c3e0470 (__DATA_CONST,__const) external _FlexMobileAssetAttributeAssetType
000000028c3e04d8 (__DATA_CONST,__const) external _FlexMobileAssetAttributeAudioEncoderPresetName
000000028c3e04c0 (__DATA_CONST,__const) external _FlexMobileAssetAttributeClientIDs
000000028c3e04c8 (__DATA_CONST,__const) external _FlexMobileAssetAttributeHiddenIDs
000000028c3e04b0 (__DATA_CONST,__const) external _FlexMobileAssetAttributeKeywords
000000028c3e04d0 (__DATA_CONST,__const) external _FlexMobileAssetAttributeRecalled
000000028c3e04e0 (__DATA_CONST,__const) external _FlexMobileAssetAttributeSongBundleFormat
000000028c3e0498 (__DATA_CONST,__const) external _FlexMobileAssetAttributeSongName
000000028c3e04a8 (__DATA_CONST,__const) external _FlexMobileAssetAttributeSongTags
000000028c3e0490 (__DATA_CONST,__const) external _FlexMobileAssetAttributeUUID
000000028c3e04b8 (__DATA_CONST,__const) external _FlexMobileAssetAttributeWeightedKeywords
000000028c3e04f0 (__DATA_CONST,__const) external _FlexMobileAssetCompatibilityVersion
000000028c3e04e8 (__DATA_CONST,__const) external _FlexMobileAssetContentVersion
000000028c3e0460 (__DATA_CONST,__const) external _FlexMobileAssetJettyClientID
000000028c3e0458 (__DATA_CONST,__const) external _FlexMobileAssetMiroClientID
000000028c3e0480 (__DATA_CONST,__const) external _FlexMobileAssetPropertyArtwork
000000028c3e0488 (__DATA_CONST,__const) external _FlexMobileAssetPropertyMetadata
000000028c3e0478 (__DATA_CONST,__const) external _FlexMobileAssetPropertySongBundle
000000028c3e0468 (__DATA_CONST,__const) external _FlexMobileAssetiMovieClientID
000000023d18a65c (__TEXT,__const) external _FlexSegment_MaxBodySegmentPriority
000000023d18a658 (__TEXT,__const) external _FlexSegment_MinBodySegmentPriority
000000023d18a650 (__TEXT,__const) external _FlexSegment_UseCustomBarMarkers
                 (undefined) external _NSDebugDescriptionErrorKey (from Foundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSLocalizedFailureReasonErrorKey (from Foundation)
                 (undefined) external _NSStringFromClass (from Foundation)
                 (undefined) external _NSURLIsDirectoryKey (from CoreFoundation)
                 (undefined) external _NSURLNameKey (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_AVMutableAudioMix (from AVFoundation)
                 (undefined) external _OBJC_CLASS_$_AVMutableAudioMixInputParameters (from AVFoundation)
                 (undefined) external _OBJC_CLASS_$_AVMutableComposition (from AVFoundation)
                 (undefined) external _OBJC_CLASS_$_AVURLAsset (from AVFoundation)
                 (undefined) external _OBJC_CLASS_$_CKRecordID (from CloudKit)
0000000295054c10 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FMClip
00000002950544b8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FMDownloadOptions
00000002950542d8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FMFetchOptions
0000000295054468 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FMKeyFrame
0000000295054a58 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FMMixParameters
00000002950546e8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FMSong
0000000295054698 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FMSongAsset
0000000295054558 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FMSongLibrary
0000000295e8b618 (__AUTH,__objc_data) external _OBJC_CLASS_$_FMSongMetadata
0000000295054508 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FMSongRendition
0000000295054b48 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FMTimedMetadataItem
0000000295054738 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FMTrack
00000002950543c8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexCloudManager
0000000295054af8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexCloudSongAsset
0000000295054c38 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexLegacySongRendition
0000000295e8b708 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexLocalDBController
0000000295e8b780 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexLocalDBGenre
0000000295e8b6e0 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexLocalDBLastCloudUpdate
0000000295e8b820 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexLocalDBRegion
0000000295e8b870 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexLocalDBSong
0000000295e8b5c8 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexLocalDBSongData
00000002950547b0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexMLGainValue
00000002950547d8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexMLSegment
00000002950545a8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexMLSong
0000000295054878 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexMLSongRendition
0000000295054788 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexMLSummary
00000002950545f8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexMLSummaryManager
00000002950548c8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexMarker
0000000295054940 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexMobileAssetManagerV2
0000000295054378 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexReachability
0000000295054b98 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexSegment
0000000295054350 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexSegmentAssemblyInfo
0000000295e8b8c0 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexSegmentAudioFileInfo
0000000295054a08 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexSong
0000000295e8b668 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexSongAssetProvider_V1
0000000295054648 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexSongAssetProvider_V2
0000000295054238 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexSongBackend
0000000295054440 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexSongMetaDataReader_V2
0000000295e8b5a0 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexSongMetadataReaderUtils
00000002950549b8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexSongProxy
0000000295e8b7a8 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexTestingContext
0000000295054288 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexTransition
0000000295054aa8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexUtilities
                 (undefined) external _OBJC_CLASS_$_MAAsset (from MobileAsset)
                 (undefined) external _OBJC_CLASS_$_MAAssetQuery (from MobileAsset)
                 (undefined) external _OBJC_CLASS_$_MADownloadOptions (from MobileAsset)
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCharacterSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCountedSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSEntityDescription (from CoreData)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSFetchRequest (from CoreData)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSJSONSerialization (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedArchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedUnarchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSManagedObject (from CoreData)
                 (undefined) external _OBJC_CLASS_$_NSManagedObjectModel (from CoreData)
                 (undefined) external _OBJC_CLASS_$_NSMapTable (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableIndexSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableOrderedSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumberFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSPersistentContainer (from CoreData)
                 (undefined) external _OBJC_CLASS_$_NSPersistentStoreDescription (from CoreData)
                 (undefined) external _OBJC_CLASS_$_NSPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSScanner (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURL (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSValue (from Foundation)
0000000295054be8 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FMClip
00000002950544e0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FMDownloadOptions
0000000295054300 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FMFetchOptions
0000000295054490 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FMKeyFrame
0000000295054a80 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FMMixParameters
0000000295054710 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FMSong
00000002950546c0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FMSongAsset
0000000295054580 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FMSongLibrary
0000000295e8b640 (__AUTH,__objc_data) external _OBJC_METACLASS_$_FMSongMetadata
0000000295054530 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FMSongRendition
0000000295054b70 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FMTimedMetadataItem
0000000295054760 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FMTrack
00000002950543f0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FlexCloudManager
0000000295054b20 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FlexCloudSongAsset
0000000295054c60 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FlexLegacySongRendition
0000000295e8b730 (__AUTH,__objc_data) external _OBJC_METACLASS_$_FlexLocalDBController
0000000295e8b758 (__AUTH,__objc_data) external _OBJC_METACLASS_$_FlexLocalDBGenre
0000000295e8b6b8 (__AUTH,__objc_data) external _OBJC_METACLASS_$_FlexLocalDBLastCloudUpdate
0000000295e8b7f8 (__AUTH,__objc_data) external _OBJC_METACLASS_$_FlexLocalDBRegion
0000000295e8b848 (__AUTH,__objc_data) external _OBJC_METACLASS_$_FlexLocalDBSong
0000000295e8b5f0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_FlexLocalDBSongData
0000000295054850 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FlexMLGainValue
0000000295054828 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FlexMLSegment
00000002950545d0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FlexMLSong
00000002950548a0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FlexMLSongRendition
0000000295054800 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FlexMLSummary
0000000295054620 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FlexMLSummaryManager
00000002950548f0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FlexMarker
0000000295054990 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FlexMobileAssetManagerV2
00000002950543a0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FlexReachability
0000000295054bc0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FlexSegment
