00007ffd0aa21048 (__TEXT,__text) non-external _Done_iODBC
00007ffd0aa2ae9f (__TEXT,__text) external _SQLColAttributes
00007ffd0aa2b049 (__TEXT,__text) external _SQLColAttributesA
00007ffd0aa2b1f3 (__TEXT,__text) external _SQLColAttributesW
00007ffd0aa2a9eb (__TEXT,__text) non-external _SQLColAttributes_Internal
00007ffd0aa14849 (__TEXT,__text) external _SQLColumnPrivileges
00007ffd0aa14a1a (__TEXT,__text) external _SQLColumnPrivilegesA
00007ffd0aa14beb (__TEXT,__text) external _SQLColumnPrivilegesW
00007ffd0aa14569 (__TEXT,__text) non-external _SQLColumnPrivileges_Internal
00007ffd0aa1509c (__TEXT,__text) external _SQLColumns
00007ffd0aa1526d (__TEXT,__text) external _SQLColumnsA
00007ffd0aa1543e (__TEXT,__text) external _SQLColumnsW
00007ffd0aa14dbc (__TEXT,__text) non-external _SQLColumns_Internal
00007ffd0aa18f64 (__TEXT,__text) external _SQLConnect
00007ffd0aa1987f (__TEXT,__text) external _SQLConnectA
00007ffd0aa19a03 (__TEXT,__text) external _SQLConnectW
00007ffd0aa190e8 (__TEXT,__text) non-external _SQLConnect_Internal
00007ffd0aa3ebf9 (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
00007ffd0aa30270 (__TEXT,__text) external _SQLCopyDesc
00007ffd0aa25b19 (__TEXT,__text) external _SQLDataSources
00007ffd0aa25c41 (__TEXT,__text) external _SQLDataSourcesA
00007ffd0aa25d69 (__TEXT,__text) external _SQLDataSourcesW
00007ffd0aa256a0 (__TEXT,__text) non-external _SQLDataSources_Internal
00007ffd4313e9f0 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
00007ffd4313ea10 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
00007ffd4313ea18 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
00007ffd0aa2a445 (__TEXT,__text) external _SQLDescribeCol
00007ffd0aa2a627 (__TEXT,__text) external _SQLDescribeColA
00007ffd0aa2a809 (__TEXT,__text) external _SQLDescribeColW
00007ffd0aa2a18d (__TEXT,__text) non-external _SQLDescribeCol_Internal
00007ffd0aa1e2a7 (__TEXT,__text) external _SQLDescribeParam
00007ffd0aa1c556 (__TEXT,__text) external _SQLDisconnect
00007ffd0aa1b5d4 (__TEXT,__text) external _SQLDriverConnect
00007ffd0aa1b767 (__TEXT,__text) external _SQLDriverConnectA
00007ffd0aa1b8fa (__TEXT,__text) external _SQLDriverConnectW
00007ffd0aa19b87 (__TEXT,__text) non-external _SQLDriverConnect_Internal
00007ffd0aa3ec1c (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
00007ffd0aa3ec3f (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
00007ffd0aa263f5 (__TEXT,__text) external _SQLDrivers
00007ffd0aa2651d (__TEXT,__text) external _SQLDriversA
00007ffd0aa26645 (__TEXT,__text) external _SQLDriversW
00007ffd0aa25fc0 (__TEXT,__text) non-external _SQLDrivers_Internal
00007ffd4313e9f4 (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
00007ffd4313ea20 (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
00007ffd4313ea28 (__DATA,__bss) non-external _SQLDrivers_Internal.sect
00007ffd0aa3102e (__TEXT,__text) external _SQLEndTran
00007ffd0aa219e4 (__TEXT,__text) external _SQLError
00007ffd0aa21ac9 (__TEXT,__text) external _SQLErrorA
00007ffd0aa21bae (__TEXT,__text) external _SQLErrorW
00007ffd0aa1d781 (__TEXT,__text) external _SQLExecDirect
00007ffd0aa1d8bd (__TEXT,__text) external _SQLExecDirectA
00007ffd0aa1d9f9 (__TEXT,__text) external _SQLExecDirectW
00007ffd0aa1d528 (__TEXT,__text) non-external _SQLExecDirect_Internal
00007ffd0aa1d26f (__TEXT,__text) external _SQLExecute
00007ffd0aa1e9fb (__TEXT,__text) external _SQLExtendedFetch
00007ffd0aa1e751 (__TEXT,__text) external _SQLFetch
00007ffd0aa312fb (__TEXT,__text) external _SQLFetchScroll
00007ffd0aa1e584 (__TEXT,__text) non-external _SQLFetch_Internal
00007ffd0aa159d6 (__TEXT,__text) external _SQLForeignKeys
00007ffd0aa15bdb (__TEXT,__text) external _SQLForeignKeysA
00007ffd0aa15de0 (__TEXT,__text) external _SQLForeignKeysW
00007ffd0aa1560f (__TEXT,__text) non-external _SQLForeignKeys_Internal
00007ffd0aa1f6f5 (__TEXT,__text) external _SQLFreeConnect
00007ffd0aa1f655 (__TEXT,__text) non-external _SQLFreeConnect_Internal
00007ffd0aa20fc8 (__TEXT,__text) external _SQLFreeEnv
00007ffd0aa20f57 (__TEXT,__text) non-external _SQLFreeEnv_Internal
00007ffd0aa2b835 (__TEXT,__text) external _SQLFreeHandle
00007ffd0aa245ca (__TEXT,__text) external _SQLFreeStmt
00007ffd0aa2438a (__TEXT,__text) non-external _SQLFreeStmt_Internal
00007ffd0aa3b78a (__TEXT,__text) non-external _SQLGetConfigMode
00007ffd0aa2e4da (__TEXT,__text) external _SQLGetConnectAttr
00007ffd0aa2e9eb (__TEXT,__text) external _SQLGetConnectAttrA
00007ffd0aa2eb33 (__TEXT,__text) external _SQLGetConnectAttrW
00007ffd0aa2e622 (__TEXT,__text) non-external _SQLGetConnectAttr_Internal
00007ffd0aa205ef (__TEXT,__text) external _SQLGetConnectOption
00007ffd0aa20715 (__TEXT,__text) external _SQLGetConnectOptionA
00007ffd0aa2083b (__TEXT,__text) external _SQLGetConnectOptionW
00007ffd0aa298ad (__TEXT,__text) external _SQLGetCursorName
00007ffd0aa29a05 (__TEXT,__text) external _SQLGetCursorNameA
00007ffd0aa29b5d (__TEXT,__text) external _SQLGetCursorNameW
00007ffd0aa2967d (__TEXT,__text) non-external _SQLGetCursorName_Internal
00007ffd0aa1eb8d (__TEXT,__text) external _SQLGetData
00007ffd0aa2eef5 (__TEXT,__text) external _SQLGetDescField
00007ffd0aa2f075 (__TEXT,__text) external _SQLGetDescFieldA
00007ffd0aa2f1f5 (__TEXT,__text) external _SQLGetDescFieldW
00007ffd0aa2ec7b (__TEXT,__text) non-external _SQLGetDescField_Internal
00007ffd0aa2fb18 (__TEXT,__text) external _SQLGetDescRec
00007ffd0aa2fcca (__TEXT,__text) external _SQLGetDescRecA
00007ffd0aa2fe7c (__TEXT,__text) external _SQLGetDescRecW
00007ffd0aa2f917 (__TEXT,__text) non-external _SQLGetDescRec_Internal
00007ffd0aa238c0 (__TEXT,__text) external _SQLGetDiagField
00007ffd0aa239a8 (__TEXT,__text) external _SQLGetDiagFieldA
00007ffd0aa23a90 (__TEXT,__text) external _SQLGetDiagFieldW
00007ffd0aa22739 (__TEXT,__text) non-external _SQLGetDiagField_Internal
00007ffd0aa2246c (__TEXT,__text) external _SQLGetDiagRec
00007ffd0aa2255b (__TEXT,__text) external _SQLGetDiagRecA
00007ffd0aa2264a (__TEXT,__text) external _SQLGetDiagRecW
00007ffd0aa21c93 (__TEXT,__text) non-external _SQLGetDiagRec_Internal
00007ffd0aa2bf37 (__TEXT,__text) external _SQLGetEnvAttr
00007ffd0aa273c7 (__TEXT,__text) external _SQLGetFunctions
00007ffd0aa26fc2 (__TEXT,__text) external _SQLGetInfo
00007ffd0aa27119 (__TEXT,__text) external _SQLGetInfoA
00007ffd0aa27270 (__TEXT,__text) external _SQLGetInfoW
00007ffd0aa2689c (__TEXT,__text) non-external _SQLGetInfo_Internal
00007ffd0aa3e601 (__TEXT,__text) non-external _SQLGetKeywordValue
00007ffd0aa3e63a (__TEXT,__text) non-external _SQLGetKeywordValueW
00007ffd0aa3e021 (__TEXT,__text) non-external _SQLGetPrivateProfileString
00007ffd0aa3e273 (__TEXT,__text) non-external _SQLGetPrivateProfileStringW
00007ffd0aa2c8f0 (__TEXT,__text) external _SQLGetStmtAttr
00007ffd0aa2ca51 (__TEXT,__text) external _SQLGetStmtAttrA
00007ffd0aa2cbb2 (__TEXT,__text) external _SQLGetStmtAttrW
00007ffd0aa2c0f1 (__TEXT,__text) non-external _SQLGetStmtAttr_Internal
00007ffd0aa24e00 (__TEXT,__text) external _SQLGetStmtOption
00007ffd0aa24f3d (__TEXT,__text) external _SQLGetStmtOptionA
00007ffd0aa24bf0 (__TEXT,__text) non-external _SQLGetStmtOption_Internal
00007ffd0aa128c8 (__TEXT,__text) external _SQLGetTypeInfo
00007ffd0aa129f2 (__TEXT,__text) external _SQLGetTypeInfoA
00007ffd0aa12b1c (__TEXT,__text) external _SQLGetTypeInfoW
00007ffd0aa12730 (__TEXT,__text) non-external _SQLGetTypeInfo_Internal
00007ffd0aa1ef4c (__TEXT,__text) external _SQLMoreResults
00007ffd0aa1c981 (__TEXT,__text) external _SQLNativeSql
00007ffd0aa1cafd (__TEXT,__text) external _SQLNativeSqlA
00007ffd0aa1cc79 (__TEXT,__text) external _SQLNativeSqlW
00007ffd0aa1c6bd (__TEXT,__text) non-external _SQLNativeSql_Internal
00007ffd0aa1e099 (__TEXT,__text) external _SQLNumParams
00007ffd0aa29fa9 (__TEXT,__text) external _SQLNumResultCols
00007ffd0aa1dddf (__TEXT,__text) external _SQLParamData
00007ffd0aa28a63 (__TEXT,__text) external _SQLParamOptions
00007ffd0aa27c9b (__TEXT,__text) external _SQLPrepare
00007ffd0aa27dd7 (__TEXT,__text) external _SQLPrepareA
00007ffd0aa27f13 (__TEXT,__text) external _SQLPrepareW
00007ffd0aa27a84 (__TEXT,__text) non-external _SQLPrepare_Internal
00007ffd0aa16267 (__TEXT,__text) external _SQLPrimaryKeys
00007ffd0aa1641d (__TEXT,__text) external _SQLPrimaryKeysA
00007ffd0aa165d3 (__TEXT,__text) external _SQLPrimaryKeysW
00007ffd0aa15fe5 (__TEXT,__text) non-external _SQLPrimaryKeys_Internal
00007ffd0aa16a69 (__TEXT,__text) external _SQLProcedureColumns
00007ffd0aa16c3a (__TEXT,__text) external _SQLProcedureColumnsA
00007ffd0aa16e0b (__TEXT,__text) external _SQLProcedureColumnsW
00007ffd0aa16789 (__TEXT,__text) non-external _SQLProcedureColumns_Internal
00007ffd0aa1725e (__TEXT,__text) external _SQLProcedures
00007ffd0aa17414 (__TEXT,__text) external _SQLProceduresA
00007ffd0aa175ca (__TEXT,__text) external _SQLProceduresW
00007ffd0aa16fdc (__TEXT,__text) non-external _SQLProcedures_Internal
00007ffd0aa1db35 (__TEXT,__text) external _SQLPutData
00007ffd0aa3aee9 (__TEXT,__text) non-external _SQLReadFileDSN
00007ffd0aa3b058 (__TEXT,__text) non-external _SQLReadFileDSNW
00007ffd0aa29cb5 (__TEXT,__text) external _SQLRowCount
00007ffd0aa3e673 (__TEXT,__text) non-external _SQLSetConfigMode
00007ffd0aa2defc (__TEXT,__text) external _SQLSetConnectAttr
00007ffd0aa2e25a (__TEXT,__text) external _SQLSetConnectAttrA
00007ffd0aa2e39a (__TEXT,__text) external _SQLSetConnectAttrW
00007ffd0aa2e03c (__TEXT,__text) non-external _SQLSetConnectAttr_Internal
00007ffd0aa1fe55 (__TEXT,__text) external _SQLSetConnectOption
00007ffd0aa1ff7b (__TEXT,__text) external _SQLSetConnectOptionA
00007ffd0aa200a1 (__TEXT,__text) external _SQLSetConnectOptionW
00007ffd0aa2820c (__TEXT,__text) external _SQLSetCursorName
00007ffd0aa2834e (__TEXT,__text) external _SQLSetCursorNameA
00007ffd0aa28490 (__TEXT,__text) external _SQLSetCursorNameW
00007ffd0aa2804f (__TEXT,__text) non-external _SQLSetCursorName_Internal
00007ffd0aa2f50c (__TEXT,__text) external _SQLSetDescField
00007ffd0aa2f665 (__TEXT,__text) external _SQLSetDescFieldA
00007ffd0aa2f7be (__TEXT,__text) external _SQLSetDescFieldW
00007ffd0aa2f375 (__TEXT,__text) non-external _SQLSetDescField_Internal
00007ffd0aa3002e (__TEXT,__text) external _SQLSetDescRec
00007ffd0aa2bd47 (__TEXT,__text) external _SQLSetEnvAttr
00007ffd0aa2be64 (__TEXT,__text) non-external _SQLSetEnvAttr_Internal
00007ffd0aa3ebb3 (__TEXT,__text) non-external _SQLSetKeywordValue
00007ffd0aa3ebc4 (__TEXT,__text) non-external _SQLSetKeywordValueW
00007ffd0aa29270 (__TEXT,__text) external _SQLSetParam
00007ffd0aa1f33f (__TEXT,__text) external _SQLSetPos
00007ffd0aa28d77 (__TEXT,__text) external _SQLSetScrollOptions
00007ffd0aa2dae8 (__TEXT,__text) external _SQLSetStmtAttr
00007ffd0aa2dc44 (__TEXT,__text) external _SQLSetStmtAttrA
00007ffd0aa2dda0 (__TEXT,__text) external _SQLSetStmtAttrW
00007ffd0aa2cd13 (__TEXT,__text) non-external _SQLSetStmtAttr_Internal
00007ffd0aa24702 (__TEXT,__text) external _SQLSetStmtOption
00007ffd0aa24ab4 (__TEXT,__text) external _SQLSetStmtOptionA
00007ffd0aa2483e (__TEXT,__text) non-external _SQLSetStmtOption_Internal
00007ffd0aa12f0c (__TEXT,__text) external _SQLSpecialColumns
00007ffd0aa130f0 (__TEXT,__text) external _SQLSpecialColumnsA
00007ffd0aa132d4 (__TEXT,__text) external _SQLSpecialColumnsW
00007ffd0aa12c46 (__TEXT,__text) non-external _SQLSpecialColumns_Internal
00007ffd0aa13770 (__TEXT,__text) external _SQLStatistics
00007ffd0aa13952 (__TEXT,__text) external _SQLStatisticsA
00007ffd0aa13b34 (__TEXT,__text) external _SQLStatisticsW
00007ffd0aa134b8 (__TEXT,__text) non-external _SQLStatistics_Internal
00007ffd0aa17a02 (__TEXT,__text) external _SQLTablePrivileges
00007ffd0aa17bb8 (__TEXT,__text) external _SQLTablePrivilegesA
00007ffd0aa17d6e (__TEXT,__text) external _SQLTablePrivilegesW
00007ffd0aa17780 (__TEXT,__text) non-external _SQLTablePrivileges_Internal
00007ffd0aa13ff6 (__TEXT,__text) external _SQLTables
00007ffd0aa141c7 (__TEXT,__text) external _SQLTablesA
00007ffd0aa14398 (__TEXT,__text) external _SQLTablesW
00007ffd0aa13d16 (__TEXT,__text) non-external _SQLTables_Internal
00007ffd0aa20c64 (__TEXT,__text) external _SQLTransact
00007ffd0aa20961 (__TEXT,__text) non-external _SQLTransact_Internal
00007ffd0aa3b875 (__TEXT,__text) non-external _SQLValidDSN
00007ffd0aa3b8d4 (__TEXT,__text) non-external _SQLValidDSNW
00007ffd0aa3ac80 (__TEXT,__text) non-external _SQLWriteFileDSN
00007ffd0aa3ad2b (__TEXT,__text) non-external _SQLWriteFileDSNW
00007ffd0aa3e7d4 (__TEXT,__text) non-external _SQLWritePrivateProfileString
00007ffd0aa3e9f5 (__TEXT,__text) non-external _SQLWritePrivateProfileStringW
00007ffd0aa25ac7 (__TEXT,__text) non-external _SectSorter
00007ffd0aa3b7d7 (__TEXT,__text) non-external _ValidDSN
00007ffd0aa3b829 (__TEXT,__text) non-external _ValidDSNW
00007ffd0aa3e6ca (__TEXT,__text) non-external _WritePrivateProfileString
                 (undefined) external __DefaultRuneLocale (from libSystem)
00007ffd0aa2bc0c (__TEXT,__text) non-external __SQLFreeHandle_DESC
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ffd0aa1d060 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffd0aa1d080 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
00007ffd0aa3c95d (__TEXT,__text) non-external ___iodbcdm_cfg_poolalloc
00007ffd0aa3ddb6 (__TEXT,__text) non-external ___iodbcdm_cfg_skipwhite
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___toupper (from libSystem)
00007ffd4313ea60 (__DATA,__common) non-external __iodbc_env_counter
00007ffd0aa3b258 (__TEXT,__text) non-external __iodbcadm_getinifile
00007ffd0aa254a1 (__TEXT,__text) non-external __iodbcdm_BindColumn
00007ffd0aa25579 (__TEXT,__text) non-external __iodbcdm_ConvBindData
00007ffd0aa1e86e (__TEXT,__text) non-external __iodbcdm_ExtendedFetch
00007ffd0aa24337 (__TEXT,__text) non-external __iodbcdm_FreeStmtParams
00007ffd0aa201c7 (__TEXT,__text) non-external __iodbcdm_GetConnectOption
00007ffd0aa29e80 (__TEXT,__text) non-external __iodbcdm_NumResultCols
00007ffd0aa24594 (__TEXT,__text) non-external __iodbcdm_RemoveBind
00007ffd0aa1f7d4 (__TEXT,__text) non-external __iodbcdm_SetConnectOption
00007ffd0aa18185 (__TEXT,__text) non-external __iodbcdm_SetConnectOption_init
00007ffd0aa1f1dc (__TEXT,__text) non-external __iodbcdm_SetPos
00007ffd0aa2552e (__TEXT,__text) non-external __iodbcdm_UnBindColumn
00007ffd0aa25275 (__TEXT,__text) non-external __iodbcdm_alloc_param
00007ffd4313ea68 (__DATA,__common) non-external __iodbcdm_attr_connection_pooling
00007ffd0aa25645 (__TEXT,__text) non-external __iodbcdm_bindConv_A2W
00007ffd0aa1282d (__TEXT,__text) non-external __iodbcdm_cata_state_ok
00007ffd0aa12880 (__TEXT,__text) non-external __iodbcdm_cata_state_tr
00007ffd0aa3d049 (__TEXT,__text) non-external __iodbcdm_cfg_commit
00007ffd0aa3c33c (__TEXT,__text) non-external __iodbcdm_cfg_done
00007ffd0aa3cae2 (__TEXT,__text) non-external __iodbcdm_cfg_find
00007ffd0aa3c792 (__TEXT,__text) non-external __iodbcdm_cfg_freeimage
00007ffd0aa3c286 (__TEXT,__text) non-external __iodbcdm_cfg_init
00007ffd0aa278aa (__TEXT,__text) non-external __iodbcdm_cfg_init_str
00007ffd0aa3d2f5 (__TEXT,__text) non-external __iodbcdm_cfg_next_section
00007ffd0aa3ca29 (__TEXT,__text) non-external __iodbcdm_cfg_nextentry
00007ffd0aa27927 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str
00007ffd0aa277a0 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str_Internal
00007ffd0aa3c36d (__TEXT,__text) non-external __iodbcdm_cfg_refresh
00007ffd0aa3ca03 (__TEXT,__text) non-external __iodbcdm_cfg_rewind
00007ffd0aa1b2e5 (__TEXT,__text) non-external __iodbcdm_cfg_savefile
00007ffd0aa3d327 (__TEXT,__text) non-external __iodbcdm_cfg_search_init
00007ffd0aa3c85c (__TEXT,__text) non-external __iodbcdm_cfg_storeentry
00007ffd0aa27973 (__TEXT,__text) non-external __iodbcdm_cfg_to_string
00007ffd0aa3cbeb (__TEXT,__text) non-external __iodbcdm_cfg_write
00007ffd0aa3b4a4 (__TEXT,__text) non-external __iodbcdm_check_for_string
00007ffd0aa1b07d (__TEXT,__text) non-external __iodbcdm_con_settracing
00007ffd0aa25302 (__TEXT,__text) non-external __iodbcdm_conv_param_A2W
00007ffd0aa253d6 (__TEXT,__text) non-external __iodbcdm_conv_param_W2A
00007ffd0aa1b1a7 (__TEXT,__text) non-external __iodbcdm_dbcdelayset
00007ffd0aa1d1b0 (__TEXT,__text) non-external __iodbcdm_dllclose
00007ffd0aa1d1fd (__TEXT,__text) non-external __iodbcdm_dllerror
00007ffd0aa1d106 (__TEXT,__text) non-external __iodbcdm_dllopen
00007ffd0aa1d0fc (__TEXT,__text) non-external __iodbcdm_dllproc
00007ffd0aa1d234 (__TEXT,__text) non-external __iodbcdm_do_cursoropen
00007ffd0aa18434 (__TEXT,__text) non-external __iodbcdm_driverload
00007ffd0aa18c08 (__TEXT,__text) non-external __iodbcdm_driverunload
00007ffd0aa2424e (__TEXT,__text) non-external __iodbcdm_dropstmt
00007ffd0aa1fde8 (__TEXT,__text) non-external __iodbcdm_drvopt_store
00007ffd0aa17f82 (__TEXT,__text) non-external __iodbcdm_finish_disconnect
00007ffd0aa21050 (__TEXT,__text) non-external __iodbcdm_freesqlerrlist
00007ffd0aa1cf7f (__TEXT,__text) non-external __iodbcdm_getInfo_init
00007ffd0aa3b54a (__TEXT,__text) non-external __iodbcdm_getdsnfile
00007ffd0aa1d0aa (__TEXT,__text) non-external __iodbcdm_getproc
00007ffd4313ea08 (__DATA,__bss) non-external __iodbcdm_initialized
00007ffd0aa3d505 (__TEXT,__text) non-external __iodbcdm_list_entries
00007ffd0aa3d445 (__TEXT,__text) non-external __iodbcdm_list_sections
00007ffd0aa2a131 (__TEXT,__text) non-external __iodbcdm_map_c_type
00007ffd0aa2a0d5 (__TEXT,__text) non-external __iodbcdm_map_sql_type
00007ffd0aa1cdf5 (__TEXT,__text) non-external __iodbcdm_pool_conn_dead
00007ffd0aa17f30 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn
00007ffd0aa3ebd6 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn.cold.1
00007ffd0aa1ae20 (__TEXT,__text) non-external __iodbcdm_pool_get_conn
00007ffd0aa1b4d5 (__TEXT,__text) non-external __iodbcdm_pool_put_conn
00007ffd0aa1805c (__TEXT,__text) non-external __iodbcdm_pool_reset_conn_attrs
00007ffd0aa1b433 (__TEXT,__text) non-external __iodbcdm_pool_set_retry_wait
00007ffd0aa21073 (__TEXT,__text) non-external __iodbcdm_pushsqlerr
00007ffd0aa3b4ee (__TEXT,__text) non-external __iodbcdm_remove_quotes
00007ffd0aa1d207 (__TEXT,__text) non-external __iodbcdm_safe_unload
00007ffd0aa210e0 (__TEXT,__text) non-external __iodbcdm_sqlerror
00007ffd0aa3b70c (__TEXT,__text) non-external __iodbcdm_strlcat
00007ffd0aa3b6bc (__TEXT,__text) non-external __iodbcdm_strlcpy
00007ffd0aa20a40 (__TEXT,__text) non-external __iodbcdm_transact
00007ffd417005c0 (__DATA_CONST,__const) non-external __mask_CONVERT
00007ffd41701260 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES1
00007ffd41701310 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES2
00007ffd41700680 (__DATA_CONST,__const) non-external __mask_CURSOR_BEHAVIOR
00007ffd41700720 (__DATA_CONST,__const) non-external __mask_IDENTIFIER_CASE
00007ffd41700dc0 (__DATA_CONST,__const) non-external __mask_SQL_AGGREGATE_FUNCTIONS
00007ffd41700e00 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_DOMAIN
00007ffd41700ad0 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_TABLE
00007ffd41700e50 (__DATA_CONST,__const) non-external __mask_SQL_ASYNC_MODE
00007ffd41700e70 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_ROW_COUNT
00007ffd41700e90 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_SUPPORT
00007ffd41700b80 (__DATA_CONST,__const) non-external __mask_SQL_BOOKMARK_PERSISTENCE
00007ffd41700ec0 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_LOCATION
00007ffd41700ee0 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_USAGE
00007ffd41700590 (__DATA_CONST,__const) non-external __mask_SQL_CONCAT_NULL_BEHAVIOR
00007ffd417005a0 (__DATA_CONST,__const) non-external __mask_SQL_CONVERT_FUNCTIONS
00007ffd41700aa0 (__DATA_CONST,__const) non-external __mask_SQL_CORRELATION_NAME
00007ffd41700f10 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_ASSERTION
00007ffd41700f60 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_CHARACTER_SET
00007ffd41700f80 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_COLLATION
00007ffd41700f90 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_DOMAIN
00007ffd41700fe0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_SCHEMA
00007ffd41701000 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TABLE
00007ffd41701080 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TRANSLATION
00007ffd41701090 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_VIEW
00007ffd417010c0 (__DATA_CONST,__const) non-external __mask_SQL_CURSOR_SENSITIVITY
00007ffd417010e0 (__DATA_CONST,__const) non-external __mask_SQL_DATETIME_LITERALS
00007ffd41701160 (__DATA_CONST,__const) non-external __mask_SQL_DDL_INDEX
00007ffd417011a0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_ASSERTION
00007ffd417011b0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_CHARACTER_SET
00007ffd417011c0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_COLLATION
00007ffd417011d0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_DOMAIN
00007ffd417011f0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_SCHEMA
00007ffd41701210 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TABLE
00007ffd41701230 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TRANSLATION
00007ffd41701240 (__DATA_CONST,__const) non-external __mask_SQL_DROP_VIEW
00007ffd41701180 (__DATA_CONST,__const) non-external __mask_SQL_DTC_TRANSITION_COST
00007ffd417006d0 (__DATA_CONST,__const) non-external __mask_SQL_FETCH_DIRECTION
00007ffd41700c10 (__DATA_CONST,__const) non-external __mask_SQL_FILE_USAGE
00007ffd41700bc0 (__DATA_CONST,__const) non-external __mask_SQL_GETDATA_EXTENSIONS
00007ffd41700bf0 (__DATA_CONST,__const) non-external __mask_SQL_GROUP_BY
00007ffd417013a0 (__DATA_CONST,__const) non-external __mask_SQL_INDEX_KEYWORDS
00007ffd417013c0 (__DATA_CONST,__const) non-external __mask_SQL_INFO_SCHEMA_VIEWS
00007ffd41701480 (__DATA_CONST,__const) non-external __mask_SQL_INSERT_STATEMENT
00007ffd41700c30 (__DATA_CONST,__const) non-external __mask_SQL_LOCK_TYPES
