                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataCreateWithBytesNoCopy (from CoreFoundation)
                 (undefined) external _CFDataGetMutableBytePtr (from CoreFoundation)
                 (undefined) external _CFDictionaryCreate (from CoreFoundation)
                 (undefined) external _CFErrorCreateWithUserInfoKeysAndValues (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
00007ffc06bc1698 (__TEXT,__text) external _DRBufferAsResource
00007ffc06bbfc3f (__TEXT,__text) external _DRMeshDescriptorCalculateBufferSizes
00007ffc06bbf042 (__TEXT,__text) external _DRMeshDescriptorCreate
00007ffc06bbf0df (__TEXT,__text) external _DRMeshDescriptorGetIndexCapacity
00007ffc06bbf0f3 (__TEXT,__text) external _DRMeshDescriptorGetIndexType
00007ffc06bbf107 (__TEXT,__text) external _DRMeshDescriptorGetVertexAttributeCount
00007ffc06bbf2b9 (__TEXT,__text) external _DRMeshDescriptorGetVertexAttributeFormat
00007ffc06bbf0b7 (__TEXT,__text) external _DRMeshDescriptorGetVertexBufferCount
00007ffc06bbf0cb (__TEXT,__text) external _DRMeshDescriptorGetVertexCapacity
00007ffc06bbf4e7 (__TEXT,__text) external _DRMeshDescriptorGetVertexLayout
00007ffc06bbf32f (__TEXT,__text) external _DRMeshDescriptorGetVertexLayoutCount
00007ffc06bbf0e9 (__TEXT,__text) external _DRMeshDescriptorSetIndexCapacity
00007ffc06bbf0fd (__TEXT,__text) external _DRMeshDescriptorSetIndexType
00007ffc06bbf119 (__TEXT,__text) external _DRMeshDescriptorSetVertexAttributeCount
00007ffc06bbf2ff (__TEXT,__text) external _DRMeshDescriptorSetVertexAttributeFormat
00007ffc06bbf0c1 (__TEXT,__text) external _DRMeshDescriptorSetVertexBufferCount
00007ffc06bbf0d5 (__TEXT,__text) external _DRMeshDescriptorSetVertexCapacity
00007ffc06bbf530 (__TEXT,__text) external _DRMeshDescriptorSetVertexLayout
00007ffc06bbf34f (__TEXT,__text) external _DRMeshDescriptorSetVertexLayoutCount
00007ffc06bbf878 (__TEXT,__text) external _DRMeshGetIndexCapacity
00007ffc06bbfa24 (__TEXT,__text) external _DRMeshGetPartAt
00007ffc06bbf882 (__TEXT,__text) external _DRMeshGetPartCount
00007ffc06bbfb00 (__TEXT,__text) external _DRMeshGetPartRenderFlagsAt
00007ffc06bbf86e (__TEXT,__text) external _DRMeshGetVertexCapacity
00007ffc06bbfeda (__TEXT,__text) external _DRMeshReadIndices
00007ffc06bc00f6 (__TEXT,__text) external _DRMeshReadIndicesUsing
00007ffc06bbfcb9 (__TEXT,__text) external _DRMeshReadVertices
00007ffc06bc00b7 (__TEXT,__text) external _DRMeshReadVerticesUsing
00007ffc06bbff79 (__TEXT,__text) external _DRMeshReplaceIndices
00007ffc06bc0120 (__TEXT,__text) external _DRMeshReplaceIndicesUsing
00007ffc06bbfd88 (__TEXT,__text) external _DRMeshReplaceVertices
00007ffc06bc00e1 (__TEXT,__text) external _DRMeshReplaceVerticesUsing
00007ffc06bbf8f7 (__TEXT,__text) external _DRMeshSetPartAt
00007ffc06bbf8d7 (__TEXT,__text) external _DRMeshSetPartCount
00007ffc06bbfb7d (__TEXT,__text) external _DRMeshSetPartRenderFlagsAt
00007ffc06bc0018 (__TEXT,__text) external _DRMeshUpdateIndices
00007ffc06bc010b (__TEXT,__text) external _DRMeshUpdateIndicesUsing
00007ffc06bbfe31 (__TEXT,__text) external _DRMeshUpdateVertices
00007ffc06bc00cc (__TEXT,__text) external _DRMeshUpdateVerticesUsing
00007ffc06bbf020 (__TEXT,__text) external _DRRelease
00007ffc06bc163b (__TEXT,__text) external _DRResourceAsBuffer
00007ffc06bc16ad (__TEXT,__text) external _DRResourceAsMaterial
00007ffc06bc1547 (__TEXT,__text) external _DRResourceAsMesh
00007ffc06bc15c9 (__TEXT,__text) external _DRResourceAsTexture
00007ffc06bc153d (__TEXT,__text) external _DRResourceGetClientIdentifier
00007ffc06bc1529 (__TEXT,__text) external _DRResourceGetIdentifier
00007ffc06bc171f (__TEXT,__text) external _DRResourceIsAttachedToDevice_RemoveMeAfterVerification
00007ffc06bc240d (__TEXT,__text) external _DRResourcesCommitCopyEventWithDevice
00007ffc06bc23ef (__TEXT,__text) external _DRResourcesCommitCopyToXPC
00007ffc06bc2470 (__TEXT,__text) external _DRResourcesCommitGetId
00007ffc06bc247a (__TEXT,__text) external _DRResourcesCommitGetUserPayload
00007ffc06bc2462 (__TEXT,__text) external _DRResourcesCommitHasEvent
00007ffc06bbf016 (__TEXT,__text) external _DRRetain
00007ffc06bc1626 (__TEXT,__text) external _DRTextureAsResource
00007ffc06bc04d3 (__TEXT,__text) external _DRTextureCopyDescriptor
00007ffc06bc032a (__TEXT,__text) external _DRTextureCreateUnmanaged
00007ffc06bc03fa (__TEXT,__text) external _DRTextureDescriptorCreate
00007ffc06bc04ad (__TEXT,__text) external _DRTextureDescriptorGetArrayLength
00007ffc06bc0449 (__TEXT,__text) external _DRTextureDescriptorGetDepth
00007ffc06bc0435 (__TEXT,__text) external _DRTextureDescriptorGetHeight
00007ffc06bc045d (__TEXT,__text) external _DRTextureDescriptorGetMipmapLevelCount
00007ffc06bc0471 (__TEXT,__text) external _DRTextureDescriptorGetPixelFormat
00007ffc06bc04c1 (__TEXT,__text) external _DRTextureDescriptorGetSwizzle
00007ffc06bc0485 (__TEXT,__text) external _DRTextureDescriptorGetTextureType
00007ffc06bc0499 (__TEXT,__text) external _DRTextureDescriptorGetTextureUsage
00007ffc06bc0421 (__TEXT,__text) external _DRTextureDescriptorGetWidth
00007ffc06bc04b7 (__TEXT,__text) external _DRTextureDescriptorSetArrayLength
00007ffc06bc0453 (__TEXT,__text) external _DRTextureDescriptorSetDepth
00007ffc06bc043f (__TEXT,__text) external _DRTextureDescriptorSetHeight
00007ffc06bc0467 (__TEXT,__text) external _DRTextureDescriptorSetMipmapLevelCount
00007ffc06bc047b (__TEXT,__text) external _DRTextureDescriptorSetPixelFormat
00007ffc06bc04ca (__TEXT,__text) external _DRTextureDescriptorSetSwizzle
00007ffc06bc048f (__TEXT,__text) external _DRTextureDescriptorSetTextureType
00007ffc06bc04a3 (__TEXT,__text) external _DRTextureDescriptorSetTextureUsage
00007ffc06bc042b (__TEXT,__text) external _DRTextureDescriptorSetWidth
00007ffc06bc0562 (__TEXT,__text) external _DRTextureReadTexture
00007ffc06bc05bf (__TEXT,__text) external _DRTextureReplaceTexture
00007ffc06bc064d (__TEXT,__text) external _DRTextureReplaceWithMemoryResource
00007ffc06bc0606 (__TEXT,__text) external _DRTextureTryReplaceTexture
00007ffc06bc0320 (__TEXT,__text) external _DRValidateIndices
00007ffc06bc3370 (__TEXT,__const) non-external (was a private external) _DirectResourceVersionNumber
00007ffc06bc3330 (__TEXT,__const) non-external (was a private external) _DirectResourceVersionString
                 (undefined) external _IOSurfaceCreate (from IOSurface)
                 (undefined) external _IOSurfaceCreateXPCObject (from IOSurface)
                 (undefined) external _IOSurfaceGetAllocSize (from IOSurface)
                 (undefined) external _IOSurfaceGetBaseAddress (from IOSurface)
                 (undefined) external _IOSurfaceLookupFromXPCObject (from IOSurface)
                 (undefined) external _MTLCopyAllDevices (from Metal)
                 (undefined) external _MTLCopyAllDevicesWithObserver (from Metal)
                 (undefined) external _MTLCreateSystemDefaultDevice (from Metal)
                 (undefined) external _MTLRemoveDeviceObserver (from Metal)
                 (undefined) external _OBJC_CLASS_$_MTLSharedEventListener (from Metal)
                 (undefined) external _OBJC_CLASS_$_MTLSharedTextureHandle (from Metal)
                 (undefined) external _OBJC_CLASS_$_MTLTextureDescriptor (from Metal)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ffc06bbc4ec (__TEXT,__text) non-external (was a private external) __Z14ArcObjectClassv
00007ffc06bc2dd7 (__TEXT,__text) non-external __Z14ArcObjectClassv.cold.1
00007ffc06bbc428 (__TEXT,__text) non-external (was a private external) __Z16ArcObjectDestroyPvP13objc_selector
00007ffc06bbc438 (__TEXT,__text) non-external (was a private external) __Z20ArcObjectDescriptionPvP13objc_selector
                 (undefined) external __Z22MTLAttributeFormatSize18MTLAttributeFormat (from Metal)
00007ffc06bbc492 (__TEXT,__text) non-external (was a private external) __Z25ArcObjectDebugDescriptionPvP13objc_selector
00007ffc42a5ca18 (__DATA,__bss) non-external __ZGVZ14ArcObjectClassvE3cls
00007ffc42a5c9f8 (__DATA,__bss) non-external __ZGVZN2re17directResourceLogEvE3log
00007ffc42a5ca08 (__DATA,__bss) non-external __ZGVZN2re20DirectMemoryResource26allocatePrivatePageAlignedEmE21kMetalBufferAlignment
00007ffc06bc3160 (__TEXT,__const) non-external __ZL9UUID_NULL
00007ffc06bc3170 (__TEXT,__const) non-external __ZL9UUID_NULL
00007ffc06bc3240 (__TEXT,__const) non-external __ZL9UUID_NULL
00007ffc06bc3260 (__TEXT,__const) non-external __ZL9UUID_NULL
00007ffc06bc139c (__TEXT,__text) non-external __ZN13ContextConfigD0Ev
00007ffc06bc1364 (__TEXT,__text) non-external __ZN13ContextConfigD1Ev
00007ffc06bbc64a (__TEXT,__text) non-external (was a private external) __ZN15ArcSharedObject7disposeEv
00007ffc06bbc5a8 (__TEXT,__text) non-external (was a private external) __ZN15ArcSharedObjectC2EP10objc_class
00007ffc06bbc616 (__TEXT,__text) non-external (was a private external) __ZN15ArcSharedObjectD0Ev
00007ffc06bbc5fe (__TEXT,__text) non-external (was a private external) __ZN15ArcSharedObjectD1Ev
00007ffc06bbc5e6 (__TEXT,__text) non-external (was a private external) __ZN15ArcSharedObjectD2Ev
00007ffc06bc2136 (__TEXT,__text) non-external __ZN16ClientConnectionD0Ev
00007ffc06bc20e0 (__TEXT,__text) non-external __ZN16ClientConnectionD1Ev
00007ffc06bc20ac (__TEXT,__text) non-external __ZN22ClientConnectionConfigD0Ev
00007ffc06bc208a (__TEXT,__text) non-external __ZN22ClientConnectionConfigD1Ev
00007ffc06bc4786 (__TEXT,__objc_methname) non-external __ZN2NS7Private8Selector11s_knameinitE
00007ffc06bc46e0 (__TEXT,__objc_methname) non-external __ZN2NS7Private8Selector12s_knameallocE
00007ffc404852c8 (__DATA_CONST,__objc_selrefs) non-external (was a private external) __ZN2NS7Private8Selector13s_kUTF8StringE
00007ffc06bc46c4 (__TEXT,__objc_methname) non-external __ZN2NS7Private8Selector17s_knameUTF8StringE
00007ffc404852c0 (__DATA_CONST,__objc_selrefs) non-external (was a private external) __ZN2NS7Private8Selector22s_krespondsToSelector_E
00007ffc06bc49b0 (__TEXT,__objc_methname) non-external __ZN2NS7Private8Selector26s_knamerespondsToSelector_E
00007ffc404852b8 (__DATA_CONST,__objc_selrefs) non-external (was a private external) __ZN2NS7Private8Selector30s_kmethodSignatureForSelector_E
00007ffc06bc47e0 (__TEXT,__objc_methname) non-external __ZN2NS7Private8Selector34s_knamemethodSignatureForSelector_E
00007ffc404852b0 (__DATA_CONST,__objc_selrefs) non-external (was a private external) __ZN2NS7Private8Selector7s_kinitE
00007ffc404852a8 (__DATA_CONST,__objc_selrefs) non-external (was a private external) __ZN2NS7Private8Selector8s_kallocE
00007ffc06badb1c (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL11SharedEventEEaSEOS3_
00007ffc06bb3f4e (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL19SharedEventListenerEEaSEOS3_
00007ffc06badb1c (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL19SharedTextureHandleEEaSEOS3_
00007ffc06badb1c (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL6BufferEEaSEOS3_
00007ffc06bb3f4e (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL7TextureEEaSEOS3_
00007ffc06badb1c (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL8ResourceEEaSEOS3_
00007ffc06badb1c (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL8ResourceEEaSINS1_7TextureEEENSt3__19enable_ifIXsr3stdE16is_convertible_vIPT_PS2_EERS3_E4typeEONS0_IS8_EE
00007ffc06bbe7f0 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh10setPayloadENS_18DirectResourceSlotENS_9SharedPtrINS_20DirectMemoryResourceEEE
00007ffc06bbea84 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh11updatePartsEU13block_pointerFvPNS_14DirectMeshPartEmE
00007ffc06bbe8fc (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh12setPartCountEm
00007ffc06bc2e34 (__TEXT,__text) non-external __ZN2re10DirectMesh12setPartCountEm.cold.1
00007ffc06bbedba (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh12updateBufferEmPN3MTL13CommandBufferE
00007ffc06bbeb66 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh12updateBufferEmU13block_pointerFvPvmE
00007ffc06bbee3a (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh13replaceBufferEmPN3MTL13CommandBufferE
00007ffc06bbec8e (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh13replaceBufferEmU13block_pointerFvPvmE
00007ffc06bbee0a (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh13updateIndicesEPN3MTL13CommandBufferE
00007ffc06bbebf4 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh13updateIndicesEU13block_pointerFvPvmE
00007ffc06bbe364 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh14attachToDeviceEPN3MTL6DeviceE
00007ffc06bbee8c (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh14replaceIndicesEPN3MTL13CommandBufferE
00007ffc06bbed20 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh14replaceIndicesEU13block_pointerFvPvmE
00007ffc06bbe210 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh15allocateStorageERKNS_29DirectResourceCreationOptionsE
00007ffc06bbeec0 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh15replaceInternalEPNS_9SharedPtrINS_20DirectMemoryResourceEEES3_
00007ffc06bbec50 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh15validateIndicesEv
00007ffc06bbe190 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh6createERKNS_21DirectMeshDescriptionERKNS_29DirectResourceCreationOptionsE
00007ffc06bbe762 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh8setPartsEmNS_10UnownedPtrINS_20DirectMemoryResourceEEE
00007ffc06bbe4de (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMeshC1ERKNS_21DirectMeshDescriptionE
00007ffc06bbe46c (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMeshC2ERKNS_21DirectMeshDescriptionE
00007ffc06bbe59a (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMeshD0Ev
00007ffc06bbe590 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMeshD1Ev
00007ffc06bbe4e8 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMeshD2Ev
00007ffc06ba6c48 (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFence10invalidateEv
00007ffc06bc24bd (__TEXT,__text) non-external __ZN2re11DirectFence10invalidateEv.cold.1
00007ffc06ba6cac (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFence20addInvalidateHandlerEONSt3__18functionIFvPS0_EEE
00007ffc06ba6a6e (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceC1EPKc
00007ffc06ba6bc2 (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceC1EPN3MTL13CommandBufferE
00007ffc06ba6ac6 (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceC2EPN3MTL13CommandBufferE
00007ffc06ba6c22 (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceD0Ev
00007ffc06ba6c18 (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceD1Ev
00007ffc06ba6bcc (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceD2Ev
00007ffc06bc249c (__TEXT,__text) non-external __ZN2re11DirectFenceD2Ev.cold.1
00007ffc06bae7b1 (__TEXT,__text) non-external (was a private external) __ZN2re11makeCommandEPKNS_10DirectMeshE
00007ffc06baea8f (__TEXT,__text) non-external (was a private external) __ZN2re11makeCommandEPKNS_12DirectBufferE
00007ffc06bae73c (__TEXT,__text) non-external (was a private external) __ZN2re11makeCommandEPKNS_13DirectTextureE
00007ffc06bae953 (__TEXT,__text) non-external (was a private external) __ZN2re11makeCommandERKNS_16DirectResourceIdEPKNS_16DirectMeshUpdateE
00007ffc06baeaff (__TEXT,__text) non-external (was a private external) __ZN2re11makeCommandERKNS_16DirectResourceIdEPKNS_18DirectBufferUpdateE
00007ffc06ba7fa4 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer10setPayloadENS_18DirectResourceSlotENS_9SharedPtrINS_20DirectMemoryResourceEEE
00007ffc06ba80d8 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer12setBytesUsedEm
00007ffc06ba7d4e (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer14attachToDeviceEPN3MTL6DeviceE
00007ffc06ba7ce2 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer15allocateStorageERKNS_29DirectResourceCreationOptionsE
00007ffc06ba7ec6 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer23replaceContentsInternalENS_9SharedPtrINS_20DirectMemoryResourceEEE
00007ffc06ba7c4a (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer6createERKNS_23DirectBufferDescriptionERKNS_29DirectResourceCreationOptionsE
00007ffc06ba8152 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer6updateEU13block_pointerFvPvmE
00007ffc06ba8218 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer7replaceEPN3MTL13CommandBufferE
00007ffc06ba81a0 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer7replaceEU13block_pointerFvPvmE
00007ffc06ba7df2 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBufferC1ERKNS_23DirectBufferDescriptionE
00007ffc06ba7e60 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBufferD0Ev
00007ffc06ba7e56 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBufferD1Ev
00007ffc06ba7e24 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBufferD2Ev
00007ffc06bb0b4f (__TEXT,__text) non-external (was a private external) __ZN2re12commandCountERKNS_22DirectResourceCommandsE
00007ffc06baeb5a (__TEXT,__text) non-external (was a private external) __ZN2re12makeCommandsEPKNS_21DirectResourcesCommitE
00007ffc06bbddfa (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture10setPayloadENS_18DirectResourceSlotENS_9SharedPtrINS_20DirectMemoryResourceEEE
00007ffc06bbdc48 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture14attachToDeviceEPN3MTL6DeviceE
00007ffc06bc3270 (__TEXT,__const) non-external (was a private external) __ZN2re13DirectTexture14kContentsUsageE
00007ffc06bbd898 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture14makeDescriptorEPN3MTL7TextureE
00007ffc06bbd758 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture14makeDescriptorERKNS_24DirectTextureDescriptionE
00007ffc06bbdf2c (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture14replaceTextureEPN3MTL13CommandBufferE
00007ffc06bbd9f6 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture15allocateStorageERKNS_29DirectResourceCreationOptionsE
00007ffc06bbdf70 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture17tryReplaceTextureEPN3MTL13CommandBufferE
00007ffc06bbdc5c (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture23allocateRuntimeResourceERKNS_24DirectTextureDescriptionENS_10UnownedPtrINS_20DirectMemoryResourceEEEPN3MTL6DeviceE
00007ffc06bbda52 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture6createENS_9SharedPtrINS_20DirectMemoryResourceEEE
00007ffc06bbd972 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture6createERKNS_24DirectTextureDescriptionERKNS_29DirectResourceCreationOptionsE
00007ffc06bbdaec (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTextureC1ERKNS_24DirectTextureDescriptionE
00007ffc06bbe014 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTextureD0Ev
00007ffc06bbdfc6 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTextureD1Ev
00007ffc06ba7b2c (__TEXT,__text) non-external (was a private external) __ZN2re13lengthInBytesEN3MTL9IndexTypeE
00007ffc06ba7b4a (__TEXT,__text) non-external (was a private external) __ZN2re13lengthInBytesERKNS_25DirectMeshVertexAttributeERKNS_22DirectMeshVertexLayoutEm
00007ffc06ba82ba (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRA16_h
00007ffc06ba943a (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRNS_16CreateDirectMeshE
