000000021a878e50 (__DATA,__data) non-external _.compoundliteral
00000001e5103048 (__TEXT,__text) non-external _GetOpRegs
00000001e5100fbc (__TEXT,__text) non-external _GetOrAddBlock
00000001e5105ff0 (__TEXT,__text) non-external _GetRegChunk
00000001e50ff7b4 (__TEXT,__text) non-external _GetRegister
00000001e5107950 (__TEXT,__text) non-external _GetRegisterIndicies
00000001e51020f8 (__TEXT,__text) non-external _GetRegisterTypeInfo
00000001e50ab254 (__TEXT,__text) non-external (was a private external) _GetReversedAtom
00000001e51097d0 (__TEXT,__text) non-external _GetStreamArray
00000001e50ab588 (__TEXT,__text) non-external (was a private external) _GetStringOfAtom
00000001e50ab3d4 (__TEXT,__text) non-external _GrowAtomTable
000000021a878dc8 (__DATA,__data) non-external (was a private external) _HT_PRIMES
00000001e50fd654 (__TEXT,__text) non-external (was a private external) _HashSetAdd
00000001e50fd5d8 (__TEXT,__text) non-external (was a private external) _HashSetFree
00000001e50fd768 (__TEXT,__text) non-external (was a private external) _HashSetGet
00000001e50fd8c8 (__TEXT,__text) non-external (was a private external) _HashSetIteratorNext
00000001e50fd8c0 (__TEXT,__text) non-external (was a private external) _HashSetIteratorSetup
00000001e50fd524 (__TEXT,__text) non-external (was a private external) _HashSetNew
00000001e50fd80c (__TEXT,__text) non-external (was a private external) _HashSetRemove
00000001e50fda40 (__TEXT,__text) non-external (was a private external) _HashTableAdd
00000001e50fd998 (__TEXT,__text) non-external (was a private external) _HashTableFree
00000001e50fdb9c (__TEXT,__text) non-external (was a private external) _HashTableGet
00000001e50fd93c (__TEXT,__text) non-external (was a private external) _HashTableNew
                 (undefined) external _IOSurfaceGetBaseAddressOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetBytesPerRowOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetSeedOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceLockPlane (from IOSurface)
                 (undefined) external _IOSurfaceUnlockPlane (from IOSurface)
00000001e50ab27c (__TEXT,__text) non-external (was a private external) _InitAtomTable
00000001e50ab77c (__TEXT,__text) non-external (was a private external) _InitCPP
00000001e5092c60 (__TEXT,__text) non-external (was a private external) _InitReg
00000001e50ae3e4 (__TEXT,__text) non-external (was a private external) _InitScanner
00000001e50ffd28 (__TEXT,__text) non-external (was a private external) _InstructionAdd
00000001e5100580 (__TEXT,__text) non-external (was a private external) _InstructionFree
00000001e50ffe10 (__TEXT,__text) non-external _InstructionInitSourcesTargets
00000001e5103180 (__TEXT,__text) non-external _IsBadUsage
00000001e5094130 (__TEXT,__text) non-external (was a private external) _Load
00000001e50aaf68 (__TEXT,__text) non-external (was a private external) _LookUpAddString
00000001e50ab044 (__TEXT,__text) non-external _LookUpAddStringHash
00000001e50b05f0 (__TEXT,__text) non-external (was a private external) _LookUpLocalSymbol
00000001e50b0664 (__TEXT,__text) non-external (was a private external) _LookUpSymbol
00000001e50ad3a0 (__TEXT,__text) non-external (was a private external) _MacroExpand
00000001e50b0f80 (__TEXT,__text) non-external (was a private external) _MatchNextToken
00000001e50b0448 (__TEXT,__text) non-external (was a private external) _NewScopeInPool
00000001e50b06c0 (__TEXT,__text) non-external (was a private external) _NewTokenStream
000000021758b9d0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBfp10
000000021758b670 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBvp10
000000021758bbf0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp10
000000021758bd30 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp20
000000021758b830 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp20
000000021758b930 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp30
000000021758be30 (__DATA_CONST,__const) non-external (was a private external) _OpsList_fpSpecial
000000021758b9a0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_vpSpecial
00000001e4fe1ec8 (__TEXT,__text) external _PPParserAttachLLVMIR
00000001e4fe1c2c (__TEXT,__text) external _PPParserAttachStream
00000001e4fe1a74 (__TEXT,__text) external _PPParserAttachString
00000001e4fea540 (__TEXT,__text) external _PPParserBuildErrorString
00000001e4fe1974 (__TEXT,__text) external _PPParserCreate
00000001e4fe25f4 (__TEXT,__text) non-external (was a private external) _PPParserDeclareNVAddressRegisters
00000001e4fe9290 (__TEXT,__text) non-external (was a private external) _PPParserExpandMacro
00000001e4fe1b48 (__TEXT,__text) external _PPParserFree
00000001e4fe22d0 (__TEXT,__text) non-external (was a private external) _PPParserGetCharacter
00000001e4feb4f4 (__TEXT,__text) external _PPParserGetErrorString
00000001e4feb504 (__TEXT,__text) external _PPParserGetImageUnitsUsed
00000001e4fe2648 (__TEXT,__text) non-external (was a private external) _PPParserGetInteger
00000001e4feb4d0 (__TEXT,__text) external _PPParserGetLimits
00000001e4feb4ec (__TEXT,__text) external _PPParserGetOptions
00000001e4fe23dc (__TEXT,__text) non-external (was a private external) _PPParserGetPart
00000001e4fe26f4 (__TEXT,__text) non-external (was a private external) _PPParserGetScalars
00000001e4feb4fc (__TEXT,__text) external _PPParserGetStream
00000001e4fe07f8 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreate
00000001e4fe0838 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreateFromIdentifier
00000001e4fe0900 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierFree
00000001e4fe0884 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierSetName
00000001e4fea640 (__TEXT,__text) non-external _PPParserInherit
00000001e4fe19e8 (__TEXT,__text) external _PPParserInit
00000001e4feb620 (__TEXT,__text) non-external _PPParserLabelsAddLabel
00000001e4fe1bc4 (__TEXT,__text) non-external _PPParserLabelsFree
00000001e4fe0418 (__TEXT,__text) non-external (was a private external) _PPParserMacroCreate
00000001e4fe0440 (__TEXT,__text) non-external (was a private external) _PPParserMacroCreateFromMacro
00000001e4fe05c0 (__TEXT,__text) non-external (was a private external) _PPParserMacroFree
00000001e4fe06a8 (__TEXT,__text) non-external (was a private external) _PPParserMacroGetReplaceString
00000001e4fe054c (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamString
00000001e4fe050c (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamStringsCount
00000001e4fe063c (__TEXT,__text) non-external (was a private external) _PPParserMacroSetSearchString
00000001e4feb5b4 (__TEXT,__text) non-external _PPParserOutputBindingsAddOutputBinding
00000001e4fe961c (__TEXT,__text) external _PPParserParse
00000001e4fe356c (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDeclaration
00000001e4fe7268 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDestination
00000001e4fe85ec (__TEXT,__text) non-external (was a private external) _PPParserParseAddressSourceVar
00000001e4fe90cc (__TEXT,__text) non-external (was a private external) _PPParserParseAliasDeclaration
00000001e4fe2fdc (__TEXT,__text) non-external (was a private external) _PPParserParseArray
00000001e4fe5aac (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeBinding
00000001e4fe6524 (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeDeclaration
00000001e4fe2ecc (__TEXT,__text) non-external (was a private external) _PPParserParseBlock
00000001e4fe73dc (__TEXT,__text) non-external (was a private external) _PPParserParseBranchCondition
00000001e4fe30ac (__TEXT,__text) non-external (was a private external) _PPParserParseDefaultArray
00000001e4fe7764 (__TEXT,__text) non-external (was a private external) _PPParserParseDestination
00000001e4fe6d38 (__TEXT,__text) non-external (was a private external) _PPParserParseDestinationMask
00000001e4feb428 (__TEXT,__text) non-external (was a private external) _PPParserParseEnd
00000001e4fe32ec (__TEXT,__text) non-external (was a private external) _PPParserParseIndirectArray
00000001e4fe7114 (__TEXT,__text) non-external (was a private external) _PPParserParseLabel
00000001e4fe8e34 (__TEXT,__text) non-external (was a private external) _PPParserParseMacroDeclaration
00000001e4fe86b4 (__TEXT,__text) non-external (was a private external) _PPParserParseOperation
00000001e4fea798 (__TEXT,__text) non-external (was a private external) _PPParserParseOption
00000001e4fe280c (__TEXT,__text) non-external (was a private external) _PPParserParseOptionIdentifier
00000001e4fe6664 (__TEXT,__text) non-external (was a private external) _PPParserParseOutputBinding
00000001e4fe6c08 (__TEXT,__text) non-external (was a private external) _PPParserParseOutputDeclaration
00000001e4fe3ea8 (__TEXT,__text) non-external (was a private external) _PPParserParseParamBinding
00000001e4fe5928 (__TEXT,__text) non-external (was a private external) _PPParserParseParameterDeclaration
00000001e4fe31b0 (__TEXT,__text) non-external (was a private external) _PPParserParseRangeArray
00000001e4fe6eec (__TEXT,__text) non-external (was a private external) _PPParserParseSourceSwizzle
00000001e4fe7b10 (__TEXT,__text) non-external (was a private external) _PPParserParseSourceVar
00000001e4fea874 (__TEXT,__text) non-external (was a private external) _PPParserParseStatement
00000001e4fe7fc8 (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleCode
00000001e4fe7e34 (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleSourceVar
00000001e4fe3cd4 (__TEXT,__text) non-external (was a private external) _PPParserParseTempDeclaration
00000001e4fe82dc (__TEXT,__text) non-external (was a private external) _PPParserParseTextureSourceVar
00000001e4fea68c (__TEXT,__text) non-external (was a private external) _PPParserParseVersion
00000001e4fe0b38 (__TEXT,__text) non-external (was a private external) _PPParserPreprocessString
00000001e4fe1a38 (__TEXT,__text) non-external (was a private external) _PPParserRemoveScope
00000001e4fe235c (__TEXT,__text) non-external (was a private external) _PPParserReturnCharacter
00000001e4fe2570 (__TEXT,__text) non-external (was a private external) _PPParserReturnPart
00000001e4fe17b0 (__TEXT,__text) non-external (was a private external) _PPParserScopeAddIdentifier
00000001e4fe0940 (__TEXT,__text) non-external (was a private external) _PPParserScopeCreate
00000001e4fe1708 (__TEXT,__text) non-external (was a private external) _PPParserScopeCreateFromScope
00000001e4fe18e4 (__TEXT,__text) non-external (was a private external) _PPParserScopeFindIdentifier
00000001e4fe192c (__TEXT,__text) non-external (was a private external) _PPParserScopeFindMacro
00000001e4fe180c (__TEXT,__text) non-external (was a private external) _PPParserScopeFree
00000001e4fe186c (__TEXT,__text) non-external (was a private external) _PPParserScopeRemoveIdentifier
00000001e4fe18a8 (__TEXT,__text) non-external (was a private external) _PPParserScopeRemoveMacro
00000001e4feb4d8 (__TEXT,__text) external _PPParserSetLimits
00000001e4feb4c8 (__TEXT,__text) external _PPParserSetPrefs
00000001e4fe19ec (__TEXT,__text) non-external (was a private external) _PPParserShutdown
00000001e4fe36d4 (__TEXT,__text) non-external _PPParserValidateName
00000001e50f6298 (__TEXT,__text) external _PPStreamAddAddressUsage
00000001e50f6418 (__TEXT,__text) external _PPStreamAddAttribBinding
00000001e50f69a8 (__TEXT,__text) external _PPStreamAddConstant
00000001e50f68a0 (__TEXT,__text) external _PPStreamAddLabel
00000001e50f6598 (__TEXT,__text) external _PPStreamAddOperation
00000001e50f6ac0 (__TEXT,__text) external _PPStreamAddOption
00000001e50f6498 (__TEXT,__text) external _PPStreamAddOutputBinding
00000001e50f6318 (__TEXT,__text) external _PPStreamAddParamBinding
00000001e50f6398 (__TEXT,__text) external _PPStreamAddParamBindingArray
00000001e50f6a40 (__TEXT,__text) external _PPStreamAddRasterOp
00000001e50f5fc0 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs0
00000001e50f603c (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs1
00000001e50f6198 (__TEXT,__text) external _PPStreamAddTempUsage
00000001e50f6218 (__TEXT,__text) external _PPStreamAddTempUsageArray
00000001e50f6518 (__TEXT,__text) external _PPStreamAddTexImage
00000001e50f7580 (__TEXT,__text) external _PPStreamAttachStream
00000001e50f55b0 (__TEXT,__text) external _PPStreamAttribBindingIsEqual
00000001e50f7de4 (__TEXT,__text) non-external (was a private external) _PPStreamChangeBranchTargets
00000001e50f56d0 (__TEXT,__text) non-external (was a private external) _PPStreamChunkCompare
00000001e50f6170 (__TEXT,__text) non-external _PPStreamChunkCreate
00000001e50f55d8 (__TEXT,__text) non-external (was a private external) _PPStreamChunkGetStream
00000001e50f5948 (__TEXT,__text) external _PPStreamChunkListAddChunk
00000001e50f5c94 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListChunkAtIndex
00000001e50f5d4c (__TEXT,__text) non-external (was a private external) _PPStreamChunkListCompare
00000001e50f57cc (__TEXT,__text) external _PPStreamChunkListCreate
00000001e50f57f4 (__TEXT,__text) external _PPStreamChunkListCreateFromChunkList
00000001e50f5980 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListFree
00000001e50f5db4 (__TEXT,__text) external _PPStreamChunkListGetNextIndex
00000001e50f5b9c (__TEXT,__text) external _PPStreamChunkListGetStream
00000001e50f5a4c (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkAfterChunk
00000001e50f59e0 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkBeforeChunk
00000001e50f5aa8 (__TEXT,__text) external _PPStreamChunkListRemoveChunk
00000001e50f5b04 (__TEXT,__text) external _PPStreamChunkListSort
00000001e50f7cb8 (__TEXT,__text) external _PPStreamCompare
00000001e50f5ee4 (__TEXT,__text) external _PPStreamCreate
00000001e50f60c4 (__TEXT,__text) external _PPStreamFree
00000001e50f6b3c (__TEXT,__text) external _PPStreamGetStream
00000001e50f7550 (__TEXT,__text) external _PPStreamGetTexOperationCount
00000001e50f679c (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationAfterChunk
00000001e50f6680 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationBeforeChunk
00000001e50f55c4 (__TEXT,__text) external _PPStreamOutputBindingIsEqual
00000001e50f7ea0 (__TEXT,__text) non-external (was a private external) _PPStreamPackIndices
00000001e50f559c (__TEXT,__text) external _PPStreamParamBindingIsEqual
00000001e50f6950 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveLabelsAtOperationIndex
00000001e50f84ec (__TEXT,__text) non-external (was a private external) _PPStreamRemoveOperation
00000001e50f83cc (__TEXT,__text) non-external (was a private external) _PPStreamResolveBranches
00000001e4fec7e8 (__TEXT,__text) external _PPStreamTokenAddBlockInfo
00000001e4fed3d4 (__TEXT,__text) external _PPStreamTokenAddRasterOps
00000001e50f7444 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRasterRequirements
00000001e50f6e88 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRequirements
00000001e4fed568 (__TEXT,__text) external _PPStreamTokenAddTexImages
00000001e4fed4d0 (__TEXT,__text) external _PPStreamTokenAddTexUnitInfo
00000001e50f752c (__TEXT,__text) external _PPStreamTokenAlloc
00000001e4fed8b8 (__TEXT,__text) external _PPStreamTokenConvertAttribBindings
00000001e4fedcc4 (__TEXT,__text) external _PPStreamTokenConvertOutputBindings
00000001e4fedaf8 (__TEXT,__text) external _PPStreamTokenConvertParamBindings
00000001e4fedc08 (__TEXT,__text) external _PPStreamTokenConvertParamBindingsToGeneric
00000001e50f754c (__TEXT,__text) external _PPStreamTokenFree
00000001e4fec7a8 (__TEXT,__text) external _PPStreamTokenGetProgramOptions
00000001e4fec744 (__TEXT,__text) external _PPStreamTokenIsTrivialPassThrough
00000001e5125138 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.ARBFP
00000001e51251f8 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL1
00000001e51252c8 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL2
000000021758c1f8 (__DATA_CONST,__const) non-external _PPStreamTokenIsTrivialPassThrough.streams
00000001e4fedd74 (__TEXT,__text) external _PPStreamTokenValidateOptions
000000021758cf30 (__DATA_CONST,__const) non-external _PROMOTIONS
00000001e5126294 (__TEXT,__const) non-external _PROMOTIONS_110
00000001e5126298 (__TEXT,__const) non-external _PROMOTIONS_120
00000001e51262d0 (__TEXT,__const) non-external _PROMOTIONS_400
00000001e51262a8 (__TEXT,__const) non-external _PROMOTIONS_FP64
00000001e51011e0 (__TEXT,__text) non-external (was a private external) _ProgramFree
00000001e5101158 (__TEXT,__text) non-external (was a private external) _ProgramNew
00000001e50b103c (__TEXT,__text) non-external (was a private external) _ReadFromTokenStream
00000001e50b0990 (__TEXT,__text) non-external (was a private external) _ReadToken
00000001e5109258 (__TEXT,__text) non-external _RecordFunctionCall
00000001e50b081c (__TEXT,__text) non-external (was a private external) _RecordToken
00000001e50ffc34 (__TEXT,__text) non-external (was a private external) _RegisterAdd
00000001e50ffb74 (__TEXT,__text) non-external (was a private external) _RegisterCanMerge
00000001e50fe410 (__TEXT,__text) non-external (was a private external) _RegisterVectorCanMerge
00000001e50fe384 (__TEXT,__text) non-external (was a private external) _RegisterVectorIsFixed
00000001e51007cc (__TEXT,__text) non-external (was a private external) _Registerify
00000001e50ff860 (__TEXT,__text) non-external (was a private external) _RegistersCleanup
00000001e510097c (__TEXT,__text) non-external (was a private external) _RegistersFree
00000001e510076c (__TEXT,__text) non-external (was a private external) _RegistersInitialize
00000001e50fe0e8 (__TEXT,__text) non-external (was a private external) _RegistersMerge
00000001e50fe478 (__TEXT,__text) non-external (was a private external) _RegistersReInterfere
00000001e50fe508 (__TEXT,__text) non-external (was a private external) _RegistersReplace
00000001e5105a40 (__TEXT,__text) non-external (was a private external) _RepifyConstantLoopSimple
00000001e4feb56c (__TEXT,__text) non-external _ResizeGLDAttribBindings
00000001e4feb6a4 (__TEXT,__text) non-external _ResizeGLPContextStateBindings
00000001e50b097c (__TEXT,__text) non-external (was a private external) _RewindTokenStream
00000001e50af704 (__TEXT,__text) non-external (was a private external) _ScanFromIncludeString
00000001e50af908 (__TEXT,__text) non-external (was a private external) _ScanFromSimpleString
00000001e50ae494 (__TEXT,__text) non-external (was a private external) _ScanFromString
00000001e50afb00 (__TEXT,__text) non-external (was a private external) _ScanFromTokenPastedString
00000001e5094054 (__TEXT,__text) non-external (was a private external) _SetAddressRegister
00000001e50a1578 (__TEXT,__text) external _ShAttributeBindingRequest
00000001e50a14c8 (__TEXT,__text) external _ShCleanup
00000001e50a0f40 (__TEXT,__text) external _ShCompile
00000001e50a0b68 (__TEXT,__text) external _ShConstructCompiler
00000001e50a0bf4 (__TEXT,__text) external _ShConstructLinker
00000001e50a0cb4 (__TEXT,__text) external _ShDestruct
00000001e50a0f38 (__TEXT,__text) external _ShFinalize
00000001e50a2650 (__TEXT,__text) external _ShFragDataBindingRequest
00000001e50a1d74 (__TEXT,__text) external _ShGetActiveAttrib
00000001e50a1a3c (__TEXT,__text) external _ShGetActiveBindableUniformBufferIndexOffsetFromLocation
00000001e50a1a24 (__TEXT,__text) external _ShGetActiveBindableUniformBufferSizeTable
00000001e50a19e8 (__TEXT,__text) external _ShGetActiveNonbindableUniformsSize
00000001e50a3680 (__TEXT,__text) external _ShGetActiveSamplerLocations
00000001e50a3c40 (__TEXT,__text) external _ShGetActiveSubroutineName
00000001e50a3b98 (__TEXT,__text) external _ShGetActiveSubroutineUniformName
00000001e50a3a40 (__TEXT,__text) external _ShGetActiveSubroutineUniformiv
00000001e50a34e4 (__TEXT,__text) external _ShGetActiveUniform
00000001e50a2dc8 (__TEXT,__text) external _ShGetActiveUniformBlockName
00000001e50a2b34 (__TEXT,__text) external _ShGetActiveUniformBlockiv
00000001e50a2ff0 (__TEXT,__text) external _ShGetActiveUniformIndex
00000001e50a3230 (__TEXT,__text) external _ShGetActiveUniformName
00000001e50a1ef4 (__TEXT,__text) external _ShGetAttribLocation
00000001e50a1c78 (__TEXT,__text) external _ShGetBindableUniformTypeInfo
00000001e50a3ce4 (__TEXT,__text) external _ShGetCachedUniformIndexTable
00000001e50a3cfc (__TEXT,__text) external _ShGetCachedUniformIndexTableSize
00000001e50a1fa4 (__TEXT,__text) external _ShGetContextStateUniforms
00000001e50a27e4 (__TEXT,__text) external _ShGetFragDataLocation
00000001e50a14d8 (__TEXT,__text) external _ShGetInfoLog
00000001e50a3d14 (__TEXT,__text) external _ShGetInteger
00000001e50a2270 (__TEXT,__text) external _ShGetLinkerPPStream
00000001e50a3778 (__TEXT,__text) external _ShGetMaxActiveSubroutineLength
00000001e50a37dc (__TEXT,__text) external _ShGetMaxActiveSubroutineUniformLength
00000001e50a29f4 (__TEXT,__text) external _ShGetMaxActiveUniformBlockLength
00000001e50a33f8 (__TEXT,__text) external _ShGetMaxActiveUniformLength
00000001e50a1cf0 (__TEXT,__text) external _ShGetMaxAttributeLength
00000001e50a2548 (__TEXT,__text) external _ShGetMaxTransformFeedbackVaryingLength
00000001e50a1708 (__TEXT,__text) external _ShGetNumActiveAttributes
00000001e50a2f6c (__TEXT,__text) non-external _ShGetNumActiveNonbindableUniforms
00000001e50a3768 (__TEXT,__text) external _ShGetNumActiveSubroutineUniformLocations
00000001e50a36e4 (__TEXT,__text) external _ShGetNumActiveSubroutineUniforms
00000001e50a36c0 (__TEXT,__text) external _ShGetNumActiveSubroutines
