0000000284477888 (__TEXT,__text) non-external _Done_iODBC
000000028447c064 (__TEXT,__text) external _SQLDataSourcesW
000000028447b970 (__TEXT,__text) non-external _SQLDataSources_Internal
000000029807d410 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
000000029807d430 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
000000029807d438 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
0000000284480518 (__TEXT,__text) external _SQLDescribeCol
00000002844806f4 (__TEXT,__text) external _SQLDescribeColA
00000002844808d0 (__TEXT,__text) external _SQLDescribeColW
000000028448026c (__TEXT,__text) non-external _SQLDescribeCol_Internal
0000000284474b4c (__TEXT,__text) external _SQLDescribeParam
0000000284472dcc (__TEXT,__text) external _SQLDisconnect
0000000284472028 (__TEXT,__text) external _SQLDriverConnect
00000002844721a4 (__TEXT,__text) external _SQLDriverConnectA
0000000284472320 (__TEXT,__text) external _SQLDriverConnectW
0000000284470840 (__TEXT,__text) non-external _SQLDriverConnect_Internal
0000000284496378 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
00000002844963a4 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
000000028447c690 (__TEXT,__text) external _SQLDrivers
000000028447c7d4 (__TEXT,__text) external _SQLDriversA
000000028447c918 (__TEXT,__text) external _SQLDriversW
000000028447c29c (__TEXT,__text) non-external _SQLDrivers_Internal
000000029807d414 (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
000000029807d440 (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
000000029807d448 (__DATA,__bss) non-external _SQLDrivers_Internal.sect
0000000284486ebc (__TEXT,__text) external _SQLEndTran
0000000284478044 (__TEXT,__text) external _SQLError
000000028447816c (__TEXT,__text) external _SQLErrorA
0000000284478294 (__TEXT,__text) external _SQLErrorW
0000000284474014 (__TEXT,__text) external _SQLExecDirect
0000000284474164 (__TEXT,__text) external _SQLExecDirectA
00000002844742b4 (__TEXT,__text) external _SQLExecDirectW
0000000284473da8 (__TEXT,__text) non-external _SQLExecDirect_Internal
0000000284473ac4 (__TEXT,__text) external _SQLExecute
0000000284475260 (__TEXT,__text) external _SQLExtendedFetch
0000000284474f94 (__TEXT,__text) external _SQLFetch
0000000284487170 (__TEXT,__text) external _SQLFetchScroll
0000000284474dc0 (__TEXT,__text) non-external _SQLFetch_Internal
000000028446ca28 (__TEXT,__text) external _SQLForeignKeys
000000028446ccf4 (__TEXT,__text) external _SQLForeignKeysA
000000028446cfc0 (__TEXT,__text) external _SQLForeignKeysW
000000028446c6d8 (__TEXT,__text) non-external _SQLForeignKeys_Internal
0000000284475f4c (__TEXT,__text) external _SQLFreeConnect
0000000284475e9c (__TEXT,__text) non-external _SQLFreeConnect_Internal
00000002844777dc (__TEXT,__text) external _SQLFreeEnv
0000000284477744 (__TEXT,__text) non-external _SQLFreeEnv_Internal
00000002844818fc (__TEXT,__text) external _SQLFreeHandle
000000028447a7ec (__TEXT,__text) external _SQLFreeStmt
000000028447a5e4 (__TEXT,__text) non-external _SQLFreeStmt_Internal
0000000284492f4c (__TEXT,__text) non-external _SQLGetConfigMode
0000000284484228 (__TEXT,__text) external _SQLGetConnectAttr
00000002844846f0 (__TEXT,__text) external _SQLGetConnectAttrA
0000000284484844 (__TEXT,__text) external _SQLGetConnectAttrW
000000028448437c (__TEXT,__text) non-external _SQLGetConnectAttr_Internal
0000000284476d74 (__TEXT,__text) external _SQLGetConnectOption
0000000284476ea0 (__TEXT,__text) external _SQLGetConnectOptionA
0000000284476fcc (__TEXT,__text) external _SQLGetConnectOptionW
000000028447f928 (__TEXT,__text) external _SQLGetCursorName
000000028447fa90 (__TEXT,__text) external _SQLGetCursorNameA
000000028447fbf8 (__TEXT,__text) external _SQLGetCursorNameW
000000028447f714 (__TEXT,__text) non-external _SQLGetCursorName_Internal
00000002844753e4 (__TEXT,__text) external _SQLGetData
0000000284484c2c (__TEXT,__text) external _SQLGetDescField
0000000284484da0 (__TEXT,__text) external _SQLGetDescFieldA
0000000284484f14 (__TEXT,__text) external _SQLGetDescFieldW
0000000284484998 (__TEXT,__text) non-external _SQLGetDescField_Internal
000000028448586c (__TEXT,__text) external _SQLGetDescRec
0000000284485ac4 (__TEXT,__text) external _SQLGetDescRecA
0000000284485d1c (__TEXT,__text) external _SQLGetDescRecW
0000000284485638 (__TEXT,__text) non-external _SQLGetDescRec_Internal
0000000284479b34 (__TEXT,__text) external _SQLGetDiagField
0000000284479c40 (__TEXT,__text) external _SQLGetDiagFieldA
0000000284479d4c (__TEXT,__text) external _SQLGetDiagFieldW
0000000284478d5c (__TEXT,__text) non-external _SQLGetDiagField_Internal
00000002844789fc (__TEXT,__text) external _SQLGetDiagRec
0000000284478b1c (__TEXT,__text) external _SQLGetDiagRecA
0000000284478c3c (__TEXT,__text) external _SQLGetDiagRecW
00000002844783bc (__TEXT,__text) non-external _SQLGetDiagRec_Internal
000000028448201c (__TEXT,__text) external _SQLGetEnvAttr
000000028447d58c (__TEXT,__text) external _SQLGetFunctions
000000028447d190 (__TEXT,__text) external _SQLGetInfo
000000028447d2e4 (__TEXT,__text) external _SQLGetInfoA
000000028447d438 (__TEXT,__text) external _SQLGetInfoW
000000028447cb50 (__TEXT,__text) non-external _SQLGetInfo_Internal
0000000284495d94 (__TEXT,__text) non-external _SQLGetKeywordValue
0000000284495de0 (__TEXT,__text) non-external _SQLGetKeywordValueW
00000002844958ac (__TEXT,__text) non-external _SQLGetPrivateProfileString
0000000284495aac (__TEXT,__text) non-external _SQLGetPrivateProfileStringW
00000002844828ac (__TEXT,__text) external _SQLGetStmtAttr
0000000284482a20 (__TEXT,__text) external _SQLGetStmtAttrA
0000000284482b94 (__TEXT,__text) external _SQLGetStmtAttrW
0000000284482200 (__TEXT,__text) non-external _SQLGetStmtAttr_Internal
000000028447b034 (__TEXT,__text) external _SQLGetStmtOption
000000028447b180 (__TEXT,__text) external _SQLGetStmtOptionA
000000028447ae54 (__TEXT,__text) non-external _SQLGetStmtOption_Internal
0000000284469978 (__TEXT,__text) external _SQLGetTypeInfo
0000000284469ab4 (__TEXT,__text) external _SQLGetTypeInfoA
0000000284469bf0 (__TEXT,__text) external _SQLGetTypeInfoW
00000002844697b8 (__TEXT,__text) non-external _SQLGetTypeInfo_Internal
000000028447576c (__TEXT,__text) external _SQLMoreResults
00000002844731cc (__TEXT,__text) external _SQLNativeSql
0000000284473338 (__TEXT,__text) external _SQLNativeSqlA
00000002844734a4 (__TEXT,__text) external _SQLNativeSqlW
0000000284472f54 (__TEXT,__text) non-external _SQLNativeSql_Internal
0000000284474950 (__TEXT,__text) external _SQLNumParams
0000000284480058 (__TEXT,__text) external _SQLNumResultCols
0000000284474698 (__TEXT,__text) external _SQLParamData
000000028447ecac (__TEXT,__text) external _SQLParamOptions
000000028447df28 (__TEXT,__text) external _SQLPrepare
000000028447e078 (__TEXT,__text) external _SQLPrepareA
000000028447e1c8 (__TEXT,__text) external _SQLPrepareW
000000028447dd00 (__TEXT,__text) non-external _SQLPrepare_Internal
000000028446d4b8 (__TEXT,__text) external _SQLPrimaryKeys
000000028446d660 (__TEXT,__text) external _SQLPrimaryKeysA
000000028446d808 (__TEXT,__text) external _SQLPrimaryKeysW
000000028446d28c (__TEXT,__text) non-external _SQLPrimaryKeys_Internal
000000028446dc40 (__TEXT,__text) external _SQLProcedureColumns
000000028446de1c (__TEXT,__text) external _SQLProcedureColumnsA
000000028446dff8 (__TEXT,__text) external _SQLProcedureColumnsW
000000028446d9b0 (__TEXT,__text) non-external _SQLProcedureColumns_Internal
000000028446e400 (__TEXT,__text) external _SQLProcedures
000000028446e5a8 (__TEXT,__text) external _SQLProceduresA
000000028446e750 (__TEXT,__text) external _SQLProceduresW
000000028446e1d4 (__TEXT,__text) non-external _SQLProcedures_Internal
0000000284474404 (__TEXT,__text) external _SQLPutData
0000000284492648 (__TEXT,__text) non-external _SQLReadFileDSN
00000002844927d8 (__TEXT,__text) non-external _SQLReadFileDSNW
000000028447fd60 (__TEXT,__text) external _SQLRowCount
0000000284495e2c (__TEXT,__text) non-external _SQLSetConfigMode
0000000284483c24 (__TEXT,__text) external _SQLSetConnectAttr
0000000284483fa0 (__TEXT,__text) external _SQLSetConnectAttrA
00000002844840e4 (__TEXT,__text) external _SQLSetConnectAttrW
0000000284483d68 (__TEXT,__text) non-external _SQLSetConnectAttr_Internal
00000002844765f0 (__TEXT,__text) external _SQLSetConnectOption
000000028447671c (__TEXT,__text) external _SQLSetConnectOptionA
0000000284476848 (__TEXT,__text) external _SQLSetConnectOptionW
000000028447e4c4 (__TEXT,__text) external _SQLSetCursorName
000000028447e614 (__TEXT,__text) external _SQLSetCursorNameA
000000028447e764 (__TEXT,__text) external _SQLSetCursorNameW
000000028447e318 (__TEXT,__text) non-external _SQLSetCursorName_Internal
0000000284485224 (__TEXT,__text) external _SQLSetDescField
0000000284485380 (__TEXT,__text) external _SQLSetDescFieldA
00000002844854dc (__TEXT,__text) external _SQLSetDescFieldW
0000000284485088 (__TEXT,__text) non-external _SQLSetDescField_Internal
0000000284485f74 (__TEXT,__text) external _SQLSetDescRec
0000000284481e08 (__TEXT,__text) external _SQLSetEnvAttr
0000000284481f28 (__TEXT,__text) non-external _SQLSetEnvAttr_Internal
0000000284496308 (__TEXT,__text) non-external _SQLSetKeywordValue
0000000284496314 (__TEXT,__text) non-external _SQLSetKeywordValueW
000000028447f390 (__TEXT,__text) external _SQLSetParam
0000000284475b74 (__TEXT,__text) external _SQLSetPos
000000028447ef5c (__TEXT,__text) external _SQLSetScrollOptions
00000002844837f8 (__TEXT,__text) external _SQLSetStmtAttr
000000028448395c (__TEXT,__text) external _SQLSetStmtAttrA
0000000284483ac0 (__TEXT,__text) external _SQLSetStmtAttrW
0000000284482d08 (__TEXT,__text) non-external _SQLSetStmtAttr_Internal
000000028447a938 (__TEXT,__text) external _SQLSetStmtOption
000000028447ad08 (__TEXT,__text) external _SQLSetStmtOptionA
000000028447aa84 (__TEXT,__text) non-external _SQLSetStmtOption_Internal
0000000284469fb8 (__TEXT,__text) external _SQLSpecialColumns
000000028446a1f4 (__TEXT,__text) external _SQLSpecialColumnsA
000000028446a430 (__TEXT,__text) external _SQLSpecialColumnsW
0000000284469d2c (__TEXT,__text) non-external _SQLSpecialColumns_Internal
000000028446a8d8 (__TEXT,__text) external _SQLStatistics
000000028446aab4 (__TEXT,__text) external _SQLStatisticsA
000000028446ac90 (__TEXT,__text) external _SQLStatisticsW
000000028446a66c (__TEXT,__text) non-external _SQLStatistics_Internal
000000028446eb24 (__TEXT,__text) external _SQLTablePrivileges
000000028446eccc (__TEXT,__text) external _SQLTablePrivilegesA
000000028446ee74 (__TEXT,__text) external _SQLTablePrivilegesW
000000028446e8f8 (__TEXT,__text) non-external _SQLTablePrivileges_Internal
000000028446b0fc (__TEXT,__text) external _SQLTables
000000028446b2d8 (__TEXT,__text) external _SQLTablesA
000000028446b4b4 (__TEXT,__text) external _SQLTablesW
000000028446ae6c (__TEXT,__text) non-external _SQLTables_Internal
0000000284477400 (__TEXT,__text) external _SQLTransact
00000002844770f8 (__TEXT,__text) non-external _SQLTransact_Internal
0000000284493060 (__TEXT,__text) non-external _SQLValidDSN
00000002844930e8 (__TEXT,__text) non-external _SQLValidDSNW
00000002844923e0 (__TEXT,__text) non-external _SQLWriteFileDSN
000000028449249c (__TEXT,__text) non-external _SQLWriteFileDSNW
0000000284495fc4 (__TEXT,__text) non-external _SQLWritePrivateProfileString
000000028449615c (__TEXT,__text) non-external _SQLWritePrivateProfileStringW
000000028447bd70 (__TEXT,__text) non-external _SectSorter
0000000284492fa0 (__TEXT,__text) non-external _ValidDSN
0000000284493004 (__TEXT,__text) non-external _ValidDSNW
0000000284495e8c (__TEXT,__text) non-external _WritePrivateProfileString
                 (undefined) external __DefaultRuneLocale (from libSystem)
0000000284481cc8 (__TEXT,__text) non-external __SQLFreeHandle_DESC
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
00000002844941f0 (__TEXT,__text) non-external ___iodbcdm_cfg_poolalloc
00000002844955e4 (__TEXT,__text) non-external ___iodbcdm_cfg_skipwhite
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___toupper (from libSystem)
000000029807d480 (__DATA,__common) non-external __iodbc_env_counter
00000002844929c4 (__TEXT,__text) non-external __iodbcadm_getinifile
000000028447b72c (__TEXT,__text) non-external __iodbcdm_BindColumn
000000028447b844 (__TEXT,__text) non-external __iodbcdm_ConvBindData
00000002844750c8 (__TEXT,__text) non-external __iodbcdm_ExtendedFetch
000000028447a590 (__TEXT,__text) non-external __iodbcdm_FreeStmtParams
0000000284476974 (__TEXT,__text) non-external __iodbcdm_GetConnectOption
000000028447ff1c (__TEXT,__text) non-external __iodbcdm_NumResultCols
000000028447a7b0 (__TEXT,__text) non-external __iodbcdm_RemoveBind
0000000284476034 (__TEXT,__text) non-external __iodbcdm_SetConnectOption
000000028446f26c (__TEXT,__text) non-external __iodbcdm_SetConnectOption_init
00000002844759fc (__TEXT,__text) non-external __iodbcdm_SetPos
000000028447b7d8 (__TEXT,__text) non-external __iodbcdm_UnBindColumn
000000028447b4dc (__TEXT,__text) non-external __iodbcdm_alloc_param
000000029807d488 (__DATA,__common) non-external __iodbcdm_attr_connection_pooling
000000028447b904 (__TEXT,__text) non-external __iodbcdm_bindConv_A2W
00000002844698a0 (__TEXT,__text) non-external __iodbcdm_cata_state_ok
0000000284469914 (__TEXT,__text) non-external __iodbcdm_cata_state_tr
0000000284494884 (__TEXT,__text) non-external __iodbcdm_cfg_commit
0000000284493bcc (__TEXT,__text) non-external __iodbcdm_cfg_done
0000000284494398 (__TEXT,__text) non-external __iodbcdm_cfg_find
0000000284494024 (__TEXT,__text) non-external __iodbcdm_cfg_freeimage
0000000284493b04 (__TEXT,__text) non-external __iodbcdm_cfg_init
000000028447daac (__TEXT,__text) non-external __iodbcdm_cfg_init_str
0000000284494b08 (__TEXT,__text) non-external __iodbcdm_cfg_next_section
00000002844942d0 (__TEXT,__text) non-external __iodbcdm_cfg_nextentry
000000028447db40 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str
000000028447d97c (__TEXT,__text) non-external __iodbcdm_cfg_parse_str_Internal
0000000284493c10 (__TEXT,__text) non-external __iodbcdm_cfg_refresh
00000002844942a4 (__TEXT,__text) non-external __iodbcdm_cfg_rewind
0000000284471cbc (__TEXT,__text) non-external __iodbcdm_cfg_savefile
0000000284494b50 (__TEXT,__text) non-external __iodbcdm_cfg_search_init
0000000284494104 (__TEXT,__text) non-external __iodbcdm_cfg_storeentry
000000028447dbb8 (__TEXT,__text) non-external __iodbcdm_cfg_to_string
0000000284494498 (__TEXT,__text) non-external __iodbcdm_cfg_write
0000000284492c34 (__TEXT,__text) non-external __iodbcdm_check_for_string
0000000284471a60 (__TEXT,__text) non-external __iodbcdm_con_settracing
000000028447b574 (__TEXT,__text) non-external __iodbcdm_conv_param_A2W
000000028447b650 (__TEXT,__text) non-external __iodbcdm_conv_param_W2A
0000000284471b84 (__TEXT,__text) non-external __iodbcdm_dbcdelayset
00000002844739a8 (__TEXT,__text) non-external __iodbcdm_dllclose
0000000284473a1c (__TEXT,__text) non-external __iodbcdm_dllerror
00000002844738e0 (__TEXT,__text) non-external __iodbcdm_dllopen
00000002844738dc (__TEXT,__text) non-external __iodbcdm_dllproc
0000000284473a50 (__TEXT,__text) non-external __iodbcdm_do_cursoropen
000000028446f4e4 (__TEXT,__text) non-external __iodbcdm_driverload
000000028446fb4c (__TEXT,__text) non-external __iodbcdm_driverunload
000000028447a464 (__TEXT,__text) non-external __iodbcdm_dropstmt
000000028447656c (__TEXT,__text) non-external __iodbcdm_drvopt_store
000000028446f08c (__TEXT,__text) non-external __iodbcdm_finish_disconnect
000000028447788c (__TEXT,__text) non-external __iodbcdm_freesqlerrlist
00000002844737a4 (__TEXT,__text) non-external __iodbcdm_getInfo_init
0000000284492d0c (__TEXT,__text) non-external __iodbcdm_getdsnfile
0000000284473878 (__TEXT,__text) non-external __iodbcdm_getproc
000000029807d428 (__DATA,__bss) non-external __iodbcdm_initialized
0000000284494d68 (__TEXT,__text) non-external __iodbcdm_list_entries
0000000284494c9c (__TEXT,__text) non-external __iodbcdm_list_sections
0000000284480200 (__TEXT,__text) non-external __iodbcdm_map_c_type
0000000284480194 (__TEXT,__text) non-external __iodbcdm_map_sql_type
0000000284473610 (__TEXT,__text) non-external __iodbcdm_pool_conn_dead
000000028446f01c (__TEXT,__text) non-external __iodbcdm_pool_drop_conn
0000000284496320 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn.cold.1
0000000284471824 (__TEXT,__text) non-external __iodbcdm_pool_get_conn
0000000284471f08 (__TEXT,__text) non-external __iodbcdm_pool_put_conn
000000028446f158 (__TEXT,__text) non-external __iodbcdm_pool_reset_conn_attrs
0000000284471e4c (__TEXT,__text) non-external __iodbcdm_pool_set_retry_wait
00000002844778c0 (__TEXT,__text) non-external __iodbcdm_pushsqlerr
0000000284492c98 (__TEXT,__text) non-external __iodbcdm_remove_quotes
0000000284473a20 (__TEXT,__text) non-external __iodbcdm_safe_unload
0000000284477948 (__TEXT,__text) non-external __iodbcdm_sqlerror
0000000284492eb0 (__TEXT,__text) non-external __iodbcdm_strlcat
0000000284492e34 (__TEXT,__text) non-external __iodbcdm_strlcpy
00000002844771f4 (__TEXT,__text) non-external __iodbcdm_transact
0000000291d54af8 (__DATA_CONST,__const) non-external __mask_CONVERT
0000000291d556d0 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES1
0000000291d55778 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES2
0000000291d54bb8 (__DATA_CONST,__const) non-external __mask_CURSOR_BEHAVIOR
0000000291d54c48 (__DATA_CONST,__const) non-external __mask_IDENTIFIER_CASE
0000000291d55280 (__DATA_CONST,__const) non-external __mask_SQL_AGGREGATE_FUNCTIONS
0000000291d552b8 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_DOMAIN
0000000291d54fb8 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_TABLE
0000000291d55308 (__DATA_CONST,__const) non-external __mask_SQL_ASYNC_MODE
0000000291d55320 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_ROW_COUNT
0000000291d55340 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_SUPPORT
0000000291d55060 (__DATA_CONST,__const) non-external __mask_SQL_BOOKMARK_PERSISTENCE
0000000291d55368 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_LOCATION
0000000291d55380 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_USAGE
0000000291d54ad0 (__DATA_CONST,__const) non-external __mask_SQL_CONCAT_NULL_BEHAVIOR
0000000291d54ae0 (__DATA_CONST,__const) non-external __mask_SQL_CONVERT_FUNCTIONS
0000000291d54f90 (__DATA_CONST,__const) non-external __mask_SQL_CORRELATION_NAME
0000000291d553b0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_ASSERTION
0000000291d553f8 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_CHARACTER_SET
0000000291d55418 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_COLLATION
0000000291d55428 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_DOMAIN
0000000291d55478 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_SCHEMA
0000000291d55498 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TABLE
0000000291d55510 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TRANSLATION
0000000291d55520 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_VIEW
0000000291d55548 (__DATA_CONST,__const) non-external __mask_SQL_CURSOR_SENSITIVITY
0000000291d55560 (__DATA_CONST,__const) non-external __mask_SQL_DATETIME_LITERALS
0000000291d555e0 (__DATA_CONST,__const) non-external __mask_SQL_DDL_INDEX
0000000291d55610 (__DATA_CONST,__const) non-external __mask_SQL_DROP_ASSERTION
0000000291d55620 (__DATA_CONST,__const) non-external __mask_SQL_DROP_CHARACTER_SET
0000000291d55630 (__DATA_CONST,__const) non-external __mask_SQL_DROP_COLLATION
0000000291d55640 (__DATA_CONST,__const) non-external __mask_SQL_DROP_DOMAIN
0000000291d55660 (__DATA_CONST,__const) non-external __mask_SQL_DROP_SCHEMA
0000000291d55680 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TABLE
0000000291d556a0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TRANSLATION
0000000291d556b0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_VIEW
0000000291d555f8 (__DATA_CONST,__const) non-external __mask_SQL_DTC_TRANSITION_COST
0000000291d54c00 (__DATA_CONST,__const) non-external __mask_SQL_FETCH_DIRECTION
0000000291d550e8 (__DATA_CONST,__const) non-external __mask_SQL_FILE_USAGE
0000000291d550a0 (__DATA_CONST,__const) non-external __mask_SQL_GETDATA_EXTENSIONS
0000000291d550c8 (__DATA_CONST,__const) non-external __mask_SQL_GROUP_BY
0000000291d55808 (__DATA_CONST,__const) non-external __mask_SQL_INDEX_KEYWORDS
0000000291d55820 (__DATA_CONST,__const) non-external __mask_SQL_INFO_SCHEMA_VIEWS
0000000291d558e0 (__DATA_CONST,__const) non-external __mask_SQL_INSERT_STATEMENT
0000000291d55100 (__DATA_CONST,__const) non-external __mask_SQL_LOCK_TYPES
0000000291d54fa8 (__DATA_CONST,__const) non-external __mask_SQL_NON_NULLABLE_COLUMNS
0000000291d55120 (__DATA_CONST,__const) non-external __mask_SQL_NULL_COLLATION
0000000291d54c70 (__DATA_CONST,__const) non-external __mask_SQL_NUMERIC_FUNCTIONS
0000000291d54d38 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_API_CONFORMANCE
0000000291d55900 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_INTERFACE_CONFORMANCE
0000000291d54d50 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SAG_CLI_CONFORMANCE
0000000291d54d60 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SQL_CONFORMANCE
0000000291d55138 (__DATA_CONST,__const) non-external __mask_SQL_OJ_CAPABILITIES
0000000291d55920 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_ROW_COUNTS
0000000291d55938 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_SELECTS
0000000291d551a8 (__DATA_CONST,__const) non-external __mask_SQL_POSITIONED_STATEMENTS
0000000291d55178 (__DATA_CONST,__const) non-external __mask_SQL_POS_OPERATIONS
0000000291d55958 (__DATA_CONST,__const) non-external __mask_SQL_SCHEMA_USAGE
0000000291d54d78 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_CONCURRENCY
0000000291d54da0 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_OPTIONS
0000000291d559b0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_DATETIME_FUNCTIONS
0000000291d559d0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_DELETE_RULE
0000000291d559f8 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_UPDATE_RULE
0000000291d55a20 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_GRANT
0000000291d55a90 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_NUMERIC_VALUE_FUNCTIONS
0000000291d55ac8 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_PREDICATES
0000000291d55b40 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_RELATIONAL_JOIN_OPERATORS
0000000291d55b98 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_REVOKE
0000000291d55c18 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_ROW_VALUE_CONSTRUCTOR
0000000291d55c40 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_STRING_FUNCTIONS
0000000291d55c88 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_VALUE_EXPRESSIONS
0000000291d55988 (__DATA_CONST,__const) non-external __mask_SQL_SQL_CONFORMANCE
0000000291d55cb0 (__DATA_CONST,__const) non-external __mask_SQL_STANDARD_CLI_CONFORMANCE
0000000291d551c8 (__DATA_CONST,__const) non-external __mask_SQL_STATIC_SENSITIVITY
0000000291d54dd0 (__DATA_CONST,__const) non-external __mask_SQL_STRING_FUNCTIONS
0000000291d551e8 (__DATA_CONST,__const) non-external __mask_SQL_SUBQUERIES
0000000291d54e98 (__DATA_CONST,__const) non-external __mask_SQL_SYSTEM_FUNCTIONS
