00007ff84391b6b0 (__DATA,__data) external _NDR_record
00007ff802e0279c (__TEXT,__text) external ___getrlimit
00007ff802e0b2d8 (__TEXT,__text) external ___getsgroups
00007ff802e06c50 (__TEXT,__text) external ___getsockname
00007ff802e0218c (__TEXT,__text) external ___gettid
00007ff802e03b99 (__TEXT,__text) external ___gettimeofday
00007ff802e03b84 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
00007ff802e0b2f0 (__TEXT,__text) external ___getwgroups
00007ff802e0b308 (__TEXT,__text) external ___guarded_open_dprotected_np
00007ff802e037dc (__TEXT,__text) external ___guarded_open_np
00007ff802e0b320 (__TEXT,__text) external ___identitysvc
00007ff802e039bb (__TEXT,__text) external ___inc_remove_counter
00007ff802e0a578 (__TEXT,__text) external ___initgroups
00007ff802e0421c (__TEXT,__text) external ___ioctl
00007ff802e04484 (__TEXT,__text) external ___iopolicysys
00007ff802e0b338 (__TEXT,__text) external ___kdebug_trace
00007ff802e02e14 (__TEXT,__text) external ___kdebug_trace64
00007ff802e0b350 (__TEXT,__text) external ___kdebug_trace_string
00007ff802e053b4 (__TEXT,__text) external ___kdebug_typefilter
00007ff802e2b7a8 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
00007ff802e2b770 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
00007ff802e07304 (__TEXT,__text) external ___kill
00007ff802e05b00 (__TEXT,__text) external ___kqueue_workloop_ctl
00007ff802e05344 (__TEXT,__text) external ___lchown
00007ff802e053cb (__TEXT,__text) external ___libkernel_init
00007ff802e0c92b (__TEXT,__text) external ___libkernel_init_after_boot_tasks
00007ff802e0c879 (__TEXT,__text) external ___libkernel_init_late
00007ff802e055bf (__TEXT,__text) external ___libkernel_platform_init
00007ff802e00f27 (__TEXT,__text) external ___libkernel_voucher_init
00007ff802e07850 (__TEXT,__text) external ___listen
00007ff802e0b368 (__TEXT,__text) external ___log_data
00007ff802e02010 (__TEXT,__text) external ___lseek
00007ff802e051c8 (__TEXT,__text) external ___lstat64_extended
00007ff802e0b380 (__TEXT,__text) external ___lstat_extended
00007ff802e0b398 (__TEXT,__text) external ___mac_execve
00007ff802e0b3b0 (__TEXT,__text) external ___mac_get_fd
00007ff802e0b3c8 (__TEXT,__text) external ___mac_get_file
00007ff802e0b3e0 (__TEXT,__text) external ___mac_get_link
00007ff802e0b3f8 (__TEXT,__text) external ___mac_get_mount
00007ff802e0b410 (__TEXT,__text) external ___mac_get_pid
00007ff802e0b428 (__TEXT,__text) external ___mac_get_proc
00007ff802e0b440 (__TEXT,__text) external ___mac_getfsstat
00007ff802e0b458 (__TEXT,__text) external ___mac_mount
00007ff802e0b470 (__TEXT,__text) external ___mac_set_fd
00007ff802e0b488 (__TEXT,__text) external ___mac_set_file
00007ff802e0b4a0 (__TEXT,__text) external ___mac_set_link
00007ff802e07804 (__TEXT,__text) external ___mac_set_proc
00007ff802e020a8 (__TEXT,__text) external ___mac_syscall
00007ff802e0b4b8 (__TEXT,__text) external ___mach_bridge_remote_time
00007ff802e0b4d0 (__TEXT,__text) external ___mach_eventlink_signal
00007ff802e0b4e8 (__TEXT,__text) external ___mach_eventlink_signal_wait_until
00007ff802e0b500 (__TEXT,__text) external ___mach_eventlink_wait_until
00007ff802e0b518 (__TEXT,__text) external ___map_with_linking_np
00007ff802e0b530 (__TEXT,__text) external ___memorystatus_available_memory
00007ff802e0b548 (__TEXT,__text) external ___microstackshot
00007ff802e0b560 (__TEXT,__text) external ___mkdir_extended
00007ff802e0b578 (__TEXT,__text) external ___mkfifo_extended
00007ff802e01698 (__TEXT,__text) external ___mmap
00007ff802e03b6c (__TEXT,__text) external ___mprotect
00007ff802e0b590 (__TEXT,__text) external ___msgctl
00007ff802e0b5a8 (__TEXT,__text) external ___msgrcv_nocancel
00007ff802e0b5c0 (__TEXT,__text) external ___msgsnd_nocancel
00007ff802e0b5d8 (__TEXT,__text) external ___msgsys
00007ff802e05ab4 (__TEXT,__text) external ___msync
00007ff802e0b5f0 (__TEXT,__text) external ___msync_nocancel
00007ff802e038c8 (__TEXT,__text) external ___munmap
00007ff802e0b608 (__TEXT,__text) external ___nexus_create
00007ff802e0b620 (__TEXT,__text) external ___nexus_deregister
00007ff802e0b638 (__TEXT,__text) external ___nexus_destroy
00007ff802e0b650 (__TEXT,__text) external ___nexus_get_opt
00007ff802e0b668 (__TEXT,__text) external ___nexus_open
00007ff802e0b680 (__TEXT,__text) external ___nexus_register
00007ff802e0b698 (__TEXT,__text) external ___nexus_set_opt
00007ff802e01328 (__TEXT,__text) external ___open
00007ff802e052b4 (__TEXT,__text) external ___open_dprotected_np
00007ff802e0aa68 (__TEXT,__text) external ___open_extended
00007ff802e015e0 (__TEXT,__text) external ___open_nocancel
00007ff802e01fc8 (__TEXT,__text) external ___openat
00007ff802e0b6b0 (__TEXT,__text) external ___openat_dprotected_np
00007ff802e05374 (__TEXT,__text) external ___openat_nocancel
00007ff8436e4a40 (__DATA_DIRTY,__bss) non-external ___os_ch_md_redzone_cookie
00007ff802e1754c (__TEXT,__text) non-external ___os_nexus_config_flow
00007ff802e17404 (__TEXT,__text) external ___os_nexus_flow_add
00007ff802e1746d (__TEXT,__text) external ___os_nexus_flow_del
00007ff802e175b0 (__TEXT,__text) external ___os_nexus_get_llink_info
00007ff802e17289 (__TEXT,__text) external ___os_nexus_ifattach
00007ff802e1736f (__TEXT,__text) external ___os_nexus_ifdetach
00007ff802e0b6c8 (__TEXT,__text) external ___oslog_coproc
00007ff802e0b6e0 (__TEXT,__text) external ___oslog_coproc_reg
00007ff802e03c3c (__TEXT,__text) external ___persona
00007ff802e05acc (__TEXT,__text) external ___pipe
00007ff802e0b6f8 (__TEXT,__text) external ___poll_nocancel
00007ff802e06630 (__TEXT,__text) external ___posix_spawn
00007ff802e0b710 (__TEXT,__text) external ___pread_nocancel
00007ff802e0b728 (__TEXT,__text) external ___preadv_nocancel
00007ff802e01bfc (__TEXT,__text) external ___proc_info
00007ff802e0b740 (__TEXT,__text) external ___proc_info_extended_id
00007ff802e06cb4 (__TEXT,__text) external ___process_policy
00007ff802e05904 (__TEXT,__text) external ___pselect
00007ff802e0b758 (__TEXT,__text) external ___pselect_nocancel
00007ff802e0371c (__TEXT,__text) external ___psynch_cvbroad
00007ff802e03bdc (__TEXT,__text) external ___psynch_cvclrprepost
00007ff802e047ac (__TEXT,__text) external ___psynch_cvsignal
00007ff802e03704 (__TEXT,__text) external ___psynch_cvwait
00007ff802e02fbc (__TEXT,__text) external ___psynch_mutexdrop
00007ff802e02e88 (__TEXT,__text) external ___psynch_mutexwait
00007ff802e0b770 (__TEXT,__text) external ___psynch_rw_downgrade
00007ff802e0b788 (__TEXT,__text) external ___psynch_rw_longrdlock
00007ff802e04e54 (__TEXT,__text) external ___psynch_rw_rdlock
00007ff802e04e3c (__TEXT,__text) external ___psynch_rw_unlock
00007ff802e0b7a0 (__TEXT,__text) external ___psynch_rw_unlock2
00007ff802e0b7b8 (__TEXT,__text) external ___psynch_rw_upgrade
00007ff802e04e24 (__TEXT,__text) external ___psynch_rw_wrlock
00007ff802e0b7d0 (__TEXT,__text) external ___psynch_rw_yieldwrlock
00007ff802e0a7d4 (__TEXT,__text) external ___pthread_canceled
00007ff802e06320 (__TEXT,__text) external ___pthread_chdir
00007ff802e06308 (__TEXT,__text) external ___pthread_fchdir
00007ff802e077d4 (__TEXT,__text) external ___pthread_kill
00007ff802e0b7e8 (__TEXT,__text) external ___pthread_markcancel
00007ff802e06874 (__TEXT,__text) external ___pthread_sigmask
00007ff802e07bec (__TEXT,__text) external ___ptrace
00007ff802e0b800 (__TEXT,__text) external ___pwrite_nocancel
00007ff802e0b818 (__TEXT,__text) external ___pwritev_nocancel
00007ff802e02464 (__TEXT,__text) external ___read_nocancel
00007ff802e0b830 (__TEXT,__text) external ___readv_nocancel
00007ff802e0b848 (__TEXT,__text) external ___reboot
00007ff802e0b860 (__TEXT,__text) external ___record_system_event
00007ff802e04264 (__TEXT,__text) external ___recvfrom
00007ff802e04134 (__TEXT,__text) external ___recvfrom_nocancel
00007ff802e04558 (__TEXT,__text) external ___recvmsg
00007ff802e0b878 (__TEXT,__text) external ___recvmsg_nocancel
00007ff8436e4a48 (__DATA_DIRTY,__bss) non-external ___remove_counter
00007ff802e039a4 (__TEXT,__text) external ___rename
00007ff802e0b890 (__TEXT,__text) external ___renameat
00007ff802e0b8a8 (__TEXT,__text) external ___renameatx_np
00007ff802e039dc (__TEXT,__text) external ___rmdir
00007ff802e0b398 (__TEXT,__text) external ___sandbox_me
00007ff802e0b458 (__TEXT,__text) external ___sandbox_mm
00007ff802e020a8 (__TEXT,__text) external ___sandbox_ms
00007ff802e07804 (__TEXT,__text) external ___sandbox_msp
00007ff802e09978 (__TEXT,__text) external ___select
00007ff802e0411c (__TEXT,__text) external ___select_nocancel
00007ff802e085e0 (__TEXT,__text) external ___sem_open
00007ff802e0b8c0 (__TEXT,__text) external ___sem_wait_nocancel
00007ff802e0b8d8 (__TEXT,__text) external ___semctl
00007ff802e0b8f0 (__TEXT,__text) external ___semsys
00007ff802e035d4 (__TEXT,__text) external ___semwait_signal
00007ff802e0688c (__TEXT,__text) external ___semwait_signal_nocancel
00007ff802e0538c (__TEXT,__text) external ___sendmsg
00007ff802e04164 (__TEXT,__text) external ___sendmsg_nocancel
00007ff802e0424c (__TEXT,__text) external ___sendto
00007ff802e040d8 (__TEXT,__text) external ___sendto_nocancel
00007ff802e036bc (__TEXT,__text) external ___setattrlist
00007ff802e0a560 (__TEXT,__text) external ___setlogin
00007ff802e07390 (__TEXT,__text) external ___setpriority
00007ff802e0b908 (__TEXT,__text) external ___setregid
00007ff802e0b920 (__TEXT,__text) external ___setreuid
00007ff802e02eac (__TEXT,__text) external ___setrlimit
00007ff802e0b938 (__TEXT,__text) external ___setsgroups
00007ff802e08408 (__TEXT,__text) external ___settid
00007ff802e0b950 (__TEXT,__text) external ___settid_with_pid
00007ff802e0b968 (__TEXT,__text) external ___settimeofday
00007ff802e0b980 (__TEXT,__text) external ___setwgroups
00007ff802e08638 (__TEXT,__text) external ___sfi_ctl
00007ff802e0b998 (__TEXT,__text) external ___sfi_pidctl
00007ff802e0b9b0 (__TEXT,__text) external ___shared_region_check_np
00007ff802e0b9c8 (__TEXT,__text) external ___shared_region_map_and_slide_2_np
00007ff802e01f98 (__TEXT,__text) external ___shm_open
00007ff802e0b9e0 (__TEXT,__text) external ___shmctl
00007ff802e0b9f8 (__TEXT,__text) external ___shmsys
00007ff802e05b18 (__TEXT,__text) external ___sigaction
00007ff802e03674 (__TEXT,__text) external ___sigaltstack
00007ff802e0a13c (__TEXT,__text) external ___sigreturn
00007ff802e0ba10 (__TEXT,__text) external ___sigsuspend
00007ff802e068b8 (__TEXT,__text) external ___sigsuspend_nocancel
00007ff802e0a16c (__TEXT,__text) external ___sigwait
00007ff802e0414c (__TEXT,__text) external ___socketpair
00007ff802e0ba28 (__TEXT,__text) external ___stack_snapshot_with_config
00007ff802e05198 (__TEXT,__text) external ___stat64_extended
00007ff802e0ba40 (__TEXT,__text) external ___stat_extended
00007ff802e11e9e (__TEXT,__text) non-external ___statfs_ext_impl
00007ff802e027cc (__TEXT,__text) external ___syscall
00007ff84391b720 (__DATA,__common) external ___syscall_logger
00007ff802e01ee0 (__TEXT,__text) external ___sysctl
00007ff802e0204c (__TEXT,__text) external ___sysctlbyname
00007ff802e0ba58 (__TEXT,__text) external ___telemetry
00007ff802e09240 (__TEXT,__text) external ___terminate_with_payload
00007ff802e02310 (__TEXT,__text) external ___thread_selfid
00007ff802e0ba70 (__TEXT,__text) external ___thread_selfusage
00007ff802e02328 (__TEXT,__text) external ___ulock_wait
00007ff802e0ba88 (__TEXT,__text) external ___ulock_wait2
00007ff802e023ac (__TEXT,__text) external ___ulock_wake
00007ff802e0baa0 (__TEXT,__text) external ___umask_extended
00007ff802e03c68 (__TEXT,__text) external ___unlink
00007ff802e088ec (__TEXT,__text) external ___unlinkat
00007ff802e0bab8 (__TEXT,__text) external ___vfork
00007ff802e06828 (__TEXT,__text) external ___wait4
00007ff802e0aa50 (__TEXT,__text) external ___wait4_nocancel
00007ff802e0bb10 (__TEXT,__text) external ___waitid_nocancel
00007ff802e07d54 (__TEXT,__text) external ___work_interval_ctl
00007ff802e02298 (__TEXT,__text) external ___workq_kernreturn
00007ff802e022b0 (__TEXT,__text) external ___workq_open
00007ff802e03bf4 (__TEXT,__text) external ___write_nocancel
00007ff802e0bb28 (__TEXT,__text) external ___writev_nocancel
00007ff84391b6c8 (__DATA,__common) external __cpu_capabilities
00007ff84391b714 (__DATA,__common) external __cpu_has_altivec
00007ff8436e4a28 (__DATA_DIRTY,__data) non-external (was a private external) __current_pid
00007ff8436e4a70 (__DATA_DIRTY,__bss) non-external __dlsym
00007ff802e00c04 (__TEXT,__text) external __exclaves_ctl_trap
00007ff802e0d545 (__TEXT,__text) non-external __execve_with_filter
00007ff802e068d0 (__TEXT,__text) external __exit
00007ff802e05594 (__TEXT,__text) external __get_cpu_capabilities
00007ff84391b740 (__DATA,__bss) non-external __gethostuuid_callback
00007ff802e1100a (__TEXT,__text) external __getprivatesystemidentifier
00007ff802e1c19b (__TEXT,__text) external __host_page_size
00007ff802e05581 (__TEXT,__text) external __init_cpu_capabilities
00007ff802e1cf13 (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
00007ff802e1e12f (__TEXT,__text) external __kernelrpc_mach_port_allocate
00007ff802e1ebd9 (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
00007ff802e1e048 (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
00007ff802e1ea9d (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
00007ff802e009e8 (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
00007ff802e20258 (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
00007ff802e1f62c (__TEXT,__text) external __kernelrpc_mach_port_construct
00007ff802e00a3c (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
00007ff802e1e324 (__TEXT,__text) external __kernelrpc_mach_port_deallocate
00007ff802e009f4 (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
00007ff802e1e241 (__TEXT,__text) external __kernelrpc_mach_port_destroy
00007ff802e1f766 (__TEXT,__text) external __kernelrpc_mach_port_destruct
00007ff802e00a48 (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
00007ff802e1f0c1 (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
00007ff802e1f40e (__TEXT,__text) external __kernelrpc_mach_port_extract_member
00007ff802e00a30 (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
00007ff802e08d4d (__TEXT,__text) external __kernelrpc_mach_port_extract_right
00007ff802e09593 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
00007ff802e00af0 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
00007ff802e04ea9 (__TEXT,__text) external __kernelrpc_mach_port_get_context
00007ff802e034af (__TEXT,__text) external __kernelrpc_mach_port_get_refs
00007ff802e200fd (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
00007ff802e0a698 (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
00007ff802e1ee18 (__TEXT,__text) external __kernelrpc_mach_port_get_srights
00007ff802e1f851 (__TEXT,__text) external __kernelrpc_mach_port_guard
00007ff802e00afc (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
00007ff802e1fc39 (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
00007ff802e1f327 (__TEXT,__text) external __kernelrpc_mach_port_insert_member
00007ff802e00a24 (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
00007ff802e1e8b7 (__TEXT,__text) external __kernelrpc_mach_port_insert_right
00007ff802e00a18 (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
00007ff802e1ffd8 (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
00007ff802e1f1f4 (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
00007ff802e1f4f7 (__TEXT,__text) external __kernelrpc_mach_port_kobject
00007ff802e1fe0f (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
00007ff802e1e40a (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
00007ff802e00a00 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
00007ff802e1e7cf (__TEXT,__text) external __kernelrpc_mach_port_move_member
00007ff802e00a0c (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
00007ff802e1de10 (__TEXT,__text) external __kernelrpc_mach_port_names
00007ff802e1e4f5 (__TEXT,__text) external __kernelrpc_mach_port_peek
00007ff802e1df61 (__TEXT,__text) external __kernelrpc_mach_port_rename
00007ff802e03c96 (__TEXT,__text) external __kernelrpc_mach_port_request_notification
00007ff802e00bf8 (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
00007ff802e02c6a (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
00007ff802e0a5ac (__TEXT,__text) external __kernelrpc_mach_port_set_context
00007ff802e1e6e5 (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
00007ff802e1e9b4 (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
00007ff802e1fa23 (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
00007ff802e1ef2a (__TEXT,__text) external __kernelrpc_mach_port_space_info
00007ff802e1fb27 (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
00007ff802e1fd24 (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
00007ff802e07def (__TEXT,__text) external __kernelrpc_mach_port_type
00007ff802e00bec (__TEXT,__text) external __kernelrpc_mach_port_type_trap
00007ff802e1f93c (__TEXT,__text) external __kernelrpc_mach_port_unguard
00007ff802e00b08 (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
00007ff802e24010 (__TEXT,__text) external __kernelrpc_mach_ports_lookup3
00007ff802e23f16 (__TEXT,__text) external __kernelrpc_mach_ports_register3
00007ff802e26fef (__TEXT,__text) external __kernelrpc_mach_task_is_self
00007ff802e2038b (__TEXT,__text) external __kernelrpc_mach_vm_allocate
00007ff802e009a0 (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
00007ff802e204b7 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
00007ff802e009b8 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
00007ff802e01c11 (__TEXT,__text) external __kernelrpc_mach_vm_map
00007ff802e009dc (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
00007ff802e2059e (__TEXT,__text) external __kernelrpc_mach_vm_protect
00007ff802e009d0 (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
00007ff802e2123f (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
00007ff802e009ac (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
00007ff802e20778 (__TEXT,__text) external __kernelrpc_mach_vm_read
00007ff802e2202e (__TEXT,__text) external __kernelrpc_mach_vm_reallocate
00007ff802e20e39 (__TEXT,__text) external __kernelrpc_mach_vm_remap
00007ff802e21672 (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
00007ff802e21d05 (__TEXT,__text) external __kernelrpc_mach_vm_update_pointers_with_remote_tags
00007ff802e2b03f (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
00007ff802e1ed35 (__TEXT,__text) external __kernelrpc_task_set_port_space
00007ff802e04c81 (__TEXT,__text) external __kernelrpc_thread_policy
00007ff802e0598c (__TEXT,__text) external __kernelrpc_thread_policy_set
00007ff802e28ebb (__TEXT,__text) external __kernelrpc_thread_set_policy
00007ff802e0a88c (__TEXT,__text) external __kernelrpc_vm_map
00007ff802e2a3b6 (__TEXT,__text) external __kernelrpc_vm_purgable_control
00007ff802e084a3 (__TEXT,__text) external __kernelrpc_vm_read
00007ff802e2a67a (__TEXT,__text) external __kernelrpc_vm_reallocate
00007ff802e02928 (__TEXT,__text) external __kernelrpc_vm_remap
00007ff802e2a4df (__TEXT,__text) external __kernelrpc_vm_remap_new
00007ff802e0c975 (__TEXT,__text) non-external __libkernel_bzero
00007ff8436e4a68 (__DATA_DIRTY,__bss) non-external __libkernel_functions
00007ff84008fba0 (__DATA_CONST,__const) non-external __libkernel_generic_string_functions
00007ff802e0c9fe (__TEXT,__text) non-external __libkernel_memmove
00007ff802e0c97f (__TEXT,__text) non-external __libkernel_memset
00007ff802e0c954 (__TEXT,__text) non-external __libkernel_strchr
00007ff802e055a2 (__TEXT,__text) non-external __libkernel_strcmp
00007ff802e0cd91 (__TEXT,__text) non-external __libkernel_strcpy
00007ff8436e4a20 (__DATA_DIRTY,__data) non-external __libkernel_string_functions
00007ff802e0d69e (__TEXT,__text) non-external __libkernel_strlcpy
00007ff802e0c6c3 (__TEXT,__text) non-external __libkernel_strlen
00007ff8436e4a38 (__DATA_DIRTY,__data) non-external __libkernel_voucher_functions
00007ff802e2b740 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
00007ff802e0e242 (__TEXT,__text) non-external __mach_continuous_time
00007ff840091610 (__DATA_CONST,__const) external __mach_errors
00007ff802e0e747 (__TEXT,__text) external __mach_fork_child
00007ff802e0f56b (__TEXT,__text) external __mach_snprintf
00007ff802e0f3e3 (__TEXT,__text) external __mach_vsnprintf
00007ff8436e4ae0 (__DATA_DIRTY,__common) external __os_alloc_once_table
00007ff84391b700 (__DATA,__common) external __os_xbs_chrooted
00007ff802e05efd (__TEXT,__text) non-external __posix_spawn_file_actions_grow
00007ff802e0cdb9 (__TEXT,__text) non-external __posix_spawn_with_filter
00007ff802e1100f (__TEXT,__text) external __register_gethostuuid_callback
00007ff802e0d4d6 (__TEXT,__text) non-external __simple_getenv
00007ff802e0c7b2 (__TEXT,__text) non-external __simple_getenv_check
00007ff802e0cb4b (__TEXT,__text) non-external __system_version_compat_check_path_suffix
00007ff802e0cbc7 (__TEXT,__text) non-external __system_version_compat_open_shim
00007ff8436e4a60 (__DATA_DIRTY,__bss) non-external __task_reply_port
00007ff802e0c6a8 (__TEXT,__text) external __thread_set_tsd_base
00007ff802e2b5c8 (__TEXT,__text) non-external _abort
00007ff802e2b5c8 (__TEXT,__text) non-external _abort.344
00007ff802e2b5c8 (__TEXT,__text) non-external _abort.389
00007ff802e2b5c8 (__TEXT,__text) non-external _abort.580
00007ff802e2b6cb (__TEXT,__text) external _abort_with_payload
00007ff802e2b650 (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
00007ff802e2b63d (__TEXT,__text) external _abort_with_reason
00007ff802e07868 (__TEXT,__text) external _accept
00007ff802e0b110 (__TEXT,__text) external _accept$NOCANCEL
00007ff802e01310 (__TEXT,__text) external _access
00007ff802e0b128 (__TEXT,__text) external _accessx_np
00007ff802e0bb40 (__TEXT,__text) external _acct
00007ff802e27d20 (__TEXT,__text) external _act_get_state
00007ff802e27ef6 (__TEXT,__text) external _act_set_state
00007ff802e0bb58 (__TEXT,__text) external _adjtime
00007ff802e0bb70 (__TEXT,__text) external _aio_cancel
00007ff802e0bb88 (__TEXT,__text) external _aio_error
00007ff802e0bba0 (__TEXT,__text) external _aio_fsync
00007ff802e0bbb8 (__TEXT,__text) external _aio_read
00007ff802e0bbd0 (__TEXT,__text) external _aio_return
00007ff802e0bbe8 (__TEXT,__text) external _aio_suspend
00007ff802e0b140 (__TEXT,__text) external _aio_suspend$NOCANCEL
00007ff802e0bc00 (__TEXT,__text) external _aio_write
00007ff802e0bc18 (__TEXT,__text) external _audit
00007ff802e0a154 (__TEXT,__text) external _audit_session_join
00007ff802e09ff4 (__TEXT,__text) external _audit_session_port
00007ff802e03e58 (__TEXT,__text) external _audit_session_self
00007ff802e0bc30 (__TEXT,__text) external _auditctl
00007ff802e08610 (__TEXT,__text) external _auditon
00007ff802e06d48 (__TEXT,__text) external _bind
00007ff8436e4acc (__DATA_DIRTY,__common) external _bootstrap_port
00007ff802e01fe0 (__TEXT,__text) external _cerror
00007ff802e012b7 (__TEXT,__text) external _cerror_nocancel
