00000001804ad7dc (__TEXT,__text) external _OSAtomicAdd32
00000001804acda8 (__TEXT,__text) external ___libplatform_init
00000001804ae598 (__TEXT,__text) external ___os_log_simple_offset
00000001804afad0 (__TEXT,__text) external ___os_once_reset
00000001804af590 (__TEXT,__text) non-external (was a private external) ___os_security_config_init
00000001804b0c6c (__TEXT,__text) non-external ___os_security_config_init.cold.1
00000001804ace0c (__TEXT,__text) non-external (was a private external) ___pfz_setup
00000001804b13e0 (__TEXT,__const) non-external (was a private external) ___platformVersionNumber
00000001804b13a8 (__TEXT,__const) non-external (was a private external) ___platformVersionString
00000001804ac930 (__TEXT,__text) external ___platform_sigaction
00000001ee419878 (__DATA_DIRTY,__data) non-external (was a private external) ___security_config
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sigaction (from libsystem_kernel)
                 (undefined) external ___sigaltstack (from libsystem_kernel)
                 (undefined) external ___sigreturn (from libsystem_kernel)
00000001804adb70 (__TEXT,__text) non-external ___simple_bprintf
00000001804b00f8 (__TEXT,__text) external ___sme_memchr
00000001804b01c0 (__TEXT,__text) external ___sme_memcpy
00000001804b0294 (__TEXT,__text) external ___sme_memmove
00000001804b0678 (__TEXT,__text) external ___sme_memset
                 (undefined) external ___ulock_wait (from libsystem_kernel)
                 (undefined) external ___ulock_wait2 (from libsystem_kernel)
                 (undefined) external ___ulock_wake (from libsystem_kernel)
00000001804b07d0 (__TEXT,__text) external __ctx_done
00000001804b0ab8 (__TEXT,__text) non-external (was a private external) __ctx_start
00000001804aee44 (__TEXT,__text) non-external __enlarge
00000001804b0c1c (__TEXT,__text) non-external __enlarge.cold.1
                 (undefined) external __exit (from libsystem_kernel)
00000001804aed9c (__TEXT,__text) non-external __flush
00000001804aed70 (__TEXT,__text) non-external __flush_reset
00000001804b1506 (__TEXT,__cstring) non-external __h
00000001804ab748 (__TEXT,__text) external __longjmp
00000001804aac58 (__TEXT,__text) non-external __os_alloc
00000001804b0ea8 (__TEXT,__text) non-external __os_alloc.cold.1
00000001ee419888 (__DATA_DIRTY,__common) non-external (was a private external) __os_alloc_heap
00000001804aac0c (__TEXT,__text) external __os_alloc_once
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
00000001804ad16c (__TEXT,__text) non-external __os_alloc_slow
00000001804b0c8c (__TEXT,__text) non-external (was a private external) __os_lock_corruption_abort
00000001804ad6c8 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_lock
00000001804ad704 (__TEXT,__text) non-external __os_lock_handoff_lock_slow
00000001804ada28 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_trylock
00000001804ad6f8 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_unlock
00000001804afa6c (__TEXT,__text) non-external (was a private external) __os_lock_nospin_lock
00000001804afa90 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_trylock
00000001804afab0 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_unlock
00000001804b0dd8 (__TEXT,__text) non-external __os_lock_recursive_abort
00000001804ad814 (__TEXT,__text) non-external (was a private external) __os_lock_spin_lock
00000001804af844 (__TEXT,__text) non-external (was a private external) __os_lock_spin_trylock
00000001804ad834 (__TEXT,__text) non-external (was a private external) __os_lock_spin_unlock
00000001804b1400 (__TEXT,__const) non-external __os_lock_type_base
00000001ef4a8ff0 (__AUTH_CONST,__const) external __os_lock_type_eliding
00000001ef4a9010 (__AUTH_CONST,__const) external __os_lock_type_handoff
00000001ef4a9050 (__AUTH_CONST,__const) external __os_lock_type_nospin
00000001ef4a8ff0 (__AUTH_CONST,__const) external __os_lock_type_spin
00000001ef4a8ff0 (__AUTH_CONST,__const) external __os_lock_type_transactional
00000001ef4a9030 (__AUTH_CONST,__const) external __os_lock_type_unfair
00000001804ad7e8 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_lock
00000001804afa2c (__TEXT,__text) non-external (was a private external) __os_lock_unfair_trylock
00000001804afa4c (__TEXT,__text) non-external (was a private external) __os_lock_unfair_unlock
00000001804ae82c (__TEXT,__text) external __os_log_simple
00000001804aea24 (__TEXT,__text) external __os_log_simple_parse
00000001804ae9f4 (__TEXT,__text) external __os_log_simple_parse_identifiers
00000001804ae988 (__TEXT,__text) external __os_log_simple_parse_message
00000001804ae94c (__TEXT,__text) external __os_log_simple_parse_subsystem
00000001804ae9b8 (__TEXT,__text) external __os_log_simple_parse_timestamp
00000001804ae914 (__TEXT,__text) external __os_log_simple_parse_type
00000001804aeb60 (__TEXT,__text) external __os_log_simple_reinit_4launchd
00000001804b0b90 (__TEXT,__text) non-external __os_log_simple_reinit_4launchd.cold.1
00000001804ae6b4 (__TEXT,__text) external __os_log_simple_send
00000001804ae8ec (__TEXT,__text) external __os_log_simple_shim
00000001804ab620 (__TEXT,__text) external __os_nospin_lock_lock
00000001804acbdc (__TEXT,__text) non-external __os_nospin_lock_lock_slow
00000001804ab65c (__TEXT,__text) external __os_nospin_lock_trylock
00000001804ab640 (__TEXT,__text) external __os_nospin_lock_unlock
00000001804accd8 (__TEXT,__text) non-external __os_nospin_lock_unlock_slow
00000001804aaaa0 (__TEXT,__text) external __os_once
00000001804b0e84 (__TEXT,__text) non-external __os_once.cold.1
00000001804aaaf8 (__TEXT,__text) non-external __os_once_callout
00000001804acb30 (__TEXT,__text) non-external __os_once_gate_broadcast
00000001804b0db0 (__TEXT,__text) non-external (was a private external) __os_once_gate_corruption_abort
00000001804b0d60 (__TEXT,__text) non-external (was a private external) __os_once_gate_recursive_abort
00000001804b0d88 (__TEXT,__text) non-external (was a private external) __os_once_gate_unowned_abort
00000001804ac9a0 (__TEXT,__text) non-external __os_once_gate_wait
00000001804ac8b0 (__TEXT,__text) external __os_semaphore_create
00000001804b0ed0 (__TEXT,__text) non-external __os_semaphore_create.cold.1
00000001804b0ef8 (__TEXT,__text) non-external __os_semaphore_create.cold.2
00000001804ac900 (__TEXT,__text) external __os_semaphore_dispose
00000001804b0f20 (__TEXT,__text) non-external __os_semaphore_dispose.cold.1
00000001804ad8a8 (__TEXT,__text) external __os_semaphore_signal
00000001804b0f48 (__TEXT,__text) non-external __os_semaphore_signal.cold.1
00000001804ad8c8 (__TEXT,__text) external __os_semaphore_wait
00000001804b0f70 (__TEXT,__text) non-external __os_semaphore_wait.cold.1
00000001804b0d04 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_corruption_abort
00000001804ab2d4 (__TEXT,__text) non-external __os_unfair_lock_lock_slow
00000001804b0cb4 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_recursive_abort
00000001804af884 (__TEXT,__text) non-external __os_unfair_lock_trylock_with_options_slow
00000001804ab448 (__TEXT,__text) non-external __os_unfair_lock_unlock_slow
00000001804b0cdc (__TEXT,__text) non-external (was a private external) __os_unfair_lock_unowned_abort
                 (undefined) external __os_xbs_chrooted (from libsystem_kernel)
00000001804acf90 (__TEXT,__text) external __platform_bzero
00000001804b0070 (__TEXT,__text) external __platform_memccpy
00000001804aad80 (__TEXT,__text) external __platform_memchr
00000001804aae90 (__TEXT,__text) external __platform_memcmp
00000001804b05c0 (__TEXT,__text) external __platform_memcmp_zero_aligned8
00000001804ad2c0 (__TEXT,__text) external __platform_memmove
00000001804acff0 (__TEXT,__text) external __platform_memset
00000001804ab0e0 (__TEXT,__text) external __platform_memset_pattern16
00000001804ab0a0 (__TEXT,__text) external __platform_memset_pattern4
00000001804ab0c0 (__TEXT,__text) external __platform_memset_pattern8
00000001804ad5c0 (__TEXT,__text) external __platform_strchr
00000001804aa8e0 (__TEXT,__text) external __platform_strcmp
00000001804b03b0 (__TEXT,__text) non-external (was a private external) __platform_strcmp$VARIANT$Base
00000001804aad10 (__TEXT,__text) external __platform_strcpy
00000001ef4a8f68 (__AUTH_CONST,__const) non-external __platform_string_functions
00000001804ab834 (__TEXT,__text) external __platform_strlcat
00000001804ab00c (__TEXT,__text) external __platform_strlcpy
00000001804aaa40 (__TEXT,__text) external __platform_strlen
00000001804aa954 (__TEXT,__text) external __platform_strncmp
00000001804b04b0 (__TEXT,__text) non-external (was a private external) __platform_strncmp$VARIANT$Base
00000001804ab57c (__TEXT,__text) external __platform_strncpy
00000001804aa9a0 (__TEXT,__text) external __platform_strnlen
00000001804ab4f4 (__TEXT,__text) external __platform_strstr
00000001804b0a24 (__TEXT,__text) non-external (was a private external) __setcontext
00000001804ab6e8 (__TEXT,__text) external __setjmp
00000001804ad66c (__TEXT,__text) non-external (was a private external) __sigtramp
00000001804adb1c (__TEXT,__text) non-external (was a private external) __sigunaltstack
00000001804aebdc (__TEXT,__text) non-external __simple_asl_connect
00000001804ac620 (__TEXT,__text) non-external __simple_asl_connect_once
00000001804ac2e8 (__TEXT,__text) non-external __simple_asl_escape_key
00000001804ac35c (__TEXT,__text) non-external __simple_asl_escape_val
00000001804aec8c (__TEXT,__text) external __simple_asl_get_fd
00000001804b0bb8 (__TEXT,__text) non-external __simple_asl_get_fd.cold.1
00000001804ad0c4 (__TEXT,__text) non-external (was a private external) __simple_asl_init
00000001804ad2a4 (__TEXT,__text) non-external __simple_asl_init_context
00000001804ac07c (__TEXT,__text) external __simple_asl_log
00000001804b0be4 (__TEXT,__text) non-external __simple_asl_log.cold.1
00000001804ac0e8 (__TEXT,__text) external __simple_asl_log_prog
00000001804ac128 (__TEXT,__text) external __simple_asl_msg_new
00000001804ac174 (__TEXT,__text) external __simple_asl_msg_set
00000001804ac458 (__TEXT,__text) external __simple_asl_send
00000001804aee18 (__TEXT,__text) external __simple_dprintf
00000001804ae414 (__TEXT,__text) external __simple_esappend
00000001804ac2b8 (__TEXT,__text) external __simple_esprintf
00000001804acee4 (__TEXT,__text) external __simple_getenv
00000001804aef84 (__TEXT,__text) external __simple_put
00000001804aef8c (__TEXT,__text) external __simple_putline
00000001804ab8d0 (__TEXT,__text) external __simple_salloc
00000001804ac3bc (__TEXT,__text) external __simple_sappend
00000001804abcf0 (__TEXT,__text) external __simple_sfree
00000001804ab97c (__TEXT,__text) external __simple_sprintf
00000001804ac424 (__TEXT,__text) external __simple_sresize
00000001804abce0 (__TEXT,__text) external __simple_string
00000001804aed14 (__TEXT,__text) external __simple_vdprintf
00000001804adb54 (__TEXT,__text) external __simple_vesprintf
00000001804ab954 (__TEXT,__text) external __simple_vsprintf
00000001804ad638 (__TEXT,__text) external __spin_lock
00000001804af82c (__TEXT,__text) external __spin_lock_try
00000001804ad654 (__TEXT,__text) external __spin_unlock
                 (undefined) external _close (from libsystem_kernel)
00000001ee419880 (__DATA_DIRTY,__common) non-external (was a private external) _commpage_pfz_base
                 (undefined) external _connect (from libsystem_kernel)
00000001804af568 (__TEXT,__text) non-external _cpus_that_need_dsb_for_ic_ivau
00000001804abd84 (__TEXT,__text) non-external _dec
                 (undefined) external _fcntl (from libsystem_kernel)
00000001804aabbc (__TEXT,__text) external _ffs
00000001804aabd4 (__TEXT,__text) external _ffsl
00000001804aabd4 (__TEXT,__text) external _ffsll
00000001804aabec (__TEXT,__text) external _fls
00000001804aabfc (__TEXT,__text) external _flsl
00000001804aabfc (__TEXT,__text) external _flsll
00000001ebe11248 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
00000001804b0ae8 (__TEXT,__text) external _getcontext
                 (undefined) external _getgid (from libsystem_kernel)
                 (undefined) external _getpid (from libsystem_kernel)
                 (undefined) external _getrlimit (from libsystem_kernel)
                 (undefined) external _getuid (from libsystem_kernel)
00000001804ab9b4 (__TEXT,__text) non-external _hex
00000001804ab7f8 (__TEXT,__text) external _longjmp
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_continuous_time (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _mach_timebase_info (from libsystem_kernel)
                 (undefined) external _mach_vm_deallocate (from libsystem_kernel)
                 (undefined) external _mach_vm_map (from libsystem_kernel)
00000001804b07f8 (__TEXT,__text) external _makecontext
00000001804b006c (__TEXT,__text) non-external (was a private external) _memset
00000001804aefd4 (__TEXT,__text) non-external _oct
00000001804afe28 (__TEXT,__text) external _os_apt_msg_async_task_running_4swift
00000001804afee0 (__TEXT,__text) non-external _os_apt_msg_async_task_running_4swift_dev
00000001804afe88 (__TEXT,__text) non-external _os_apt_msg_async_task_running_4swift_dev_prodel0
00000001804aff08 (__TEXT,__text) non-external _os_apt_msg_async_task_running_4swift_nop
00000001804afeb8 (__TEXT,__text) non-external _os_apt_msg_async_task_running_4swift_prodel0
00000001804aff0c (__TEXT,__text) external _os_apt_msg_async_task_waiting_on_4swift
00000001804affcc (__TEXT,__text) non-external _os_apt_msg_async_task_waiting_on_4swift_dev
00000001804aff6c (__TEXT,__text) non-external _os_apt_msg_async_task_waiting_on_4swift_dev_prodel0
00000001804afff8 (__TEXT,__text) non-external _os_apt_msg_async_task_waiting_on_4swift_nop
00000001804affa0 (__TEXT,__text) non-external _os_apt_msg_async_task_waiting_on_4swift_prodel0
00000001804ad6bc (__TEXT,__text) external _os_lock_lock
00000001804ada1c (__TEXT,__text) external _os_lock_trylock
00000001804ad6ec (__TEXT,__text) external _os_lock_unlock
00000001804ae574 (__TEXT,__text) external _os_log_simple_now
00000001804ae578 (__TEXT,__text) external _os_log_simple_type_from_asl
00000001804b13e8 (__TEXT,__const) non-external _os_log_simple_type_from_asl._level2ostype
00000001804af6a8 (__TEXT,__text) external _os_security_config_get
00000001804af6b4 (__TEXT,__text) external _os_security_config_get_for_proc
00000001804af708 (__TEXT,__text) external _os_security_config_get_for_task
00000001804afc88 (__TEXT,__text) external _os_sync_wait_on_address
00000001804afaec (__TEXT,__text) external _os_sync_wait_on_address_with_deadline
00000001804afbe8 (__TEXT,__text) external _os_sync_wait_on_address_with_timeout
00000001804afda0 (__TEXT,__text) external _os_sync_wake_by_address_all
00000001804afd18 (__TEXT,__text) external _os_sync_wake_by_address_any
00000001804ab260 (__TEXT,__text) external _os_unfair_lock_assert_not_owner
00000001804b0e28 (__TEXT,__text) non-external _os_unfair_lock_assert_not_owner.cold.1
00000001804aab90 (__TEXT,__text) external _os_unfair_lock_assert_owner
00000001804b0e00 (__TEXT,__text) non-external _os_unfair_lock_assert_owner.cold.1
00000001804aab68 (__TEXT,__text) external _os_unfair_lock_lock
00000001804af978 (__TEXT,__text) external _os_unfair_lock_lock_no_tsd
00000001804af9ac (__TEXT,__text) external _os_unfair_lock_lock_with_flags
00000001804aa860 (__TEXT,__text) external _os_unfair_lock_lock_with_options
00000001804ab604 (__TEXT,__text) external _os_unfair_lock_trylock
00000001804af860 (__TEXT,__text) external _os_unfair_lock_trylock_with_options
00000001804aa884 (__TEXT,__text) external _os_unfair_lock_unlock
00000001804af998 (__TEXT,__text) external _os_unfair_lock_unlock_no_tsd
00000001804aa8a0 (__TEXT,__text) external _os_unfair_recursive_lock_lock_with_options
00000001804af9d0 (__TEXT,__text) external _os_unfair_recursive_lock_owned
00000001804ac86c (__TEXT,__text) external _os_unfair_recursive_lock_trylock
00000001804ab678 (__TEXT,__text) external _os_unfair_recursive_lock_tryunlock4objc
00000001804b0e50 (__TEXT,__text) non-external _os_unfair_recursive_lock_tryunlock4objc.cold.1
00000001804aa8f4 (__TEXT,__text) external _os_unfair_recursive_lock_unlock
00000001804af9ec (__TEXT,__text) external _os_unfair_recursive_lock_unlock_forked_child
00000001804b0e64 (__TEXT,__text) non-external _os_unfair_recursive_lock_unlock_forked_child.cold.1
00000001804b0920 (__TEXT,__text) non-external (was a private external) _populate_signal_stack_context
                 (undefined) external _proc_pidinfo (from libsystem_kernel)
                 (undefined) external _semaphore_create (from libsystem_kernel)
                 (undefined) external _semaphore_destroy (from libsystem_kernel)
                 (undefined) external _semaphore_signal (from libsystem_kernel)
                 (undefined) external _semaphore_wait (from libsystem_kernel)
00000001804b09bc (__TEXT,__text) external _setcontext
00000001804ab7b8 (__TEXT,__text) external _setjmp
00000001804ab7ec (__TEXT,__text) external _siglongjmp
                 (undefined) external _sigprocmask (from libsystem_kernel)
00000001804ab7ac (__TEXT,__text) external _sigsetjmp
                 (undefined) external _socket (from libsystem_kernel)
00000001804ad638 (__TEXT,__text) external _spin_lock
00000001804af82c (__TEXT,__text) external _spin_lock_try
00000001804ad654 (__TEXT,__text) external _spin_unlock
00000001804b0740 (__TEXT,__text) external _swapcontext
00000001804af488 (__TEXT,__text) external _sys_cache_control
00000001804af588 (__TEXT,__text) external _sys_dcache_flush
00000001804af4d4 (__TEXT,__text) external _sys_icache_invalidate
                 (undefined) external _task_info (from libsystem_kernel)
                 (undefined) external _thread_switch (from libsystem_kernel)
00000001804b0b70 (__TEXT,__text) external _timingsafe_enable_if_supported
00000001804b0b84 (__TEXT,__text) external _timingsafe_restore_if_supported
00000001804ac68c (__TEXT,__text) non-external _udec
                 (undefined) external _vm_allocate (from libsystem_kernel)
                 (undefined) external _vm_deallocate (from libsystem_kernel)
                 (undefined) external _vm_page_size (from libsystem_kernel)
                 (undefined) external _write (from libsystem_kernel)
00000001804af190 (__TEXT,__text) non-external _ydec
