                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00000001914c3a60 (__TEXT,__text) non-external _alone_decode
00000001914cd3fc (__TEXT,__text) non-external _lzma_decoder_uncompressed
00000001914cf540 (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_init
00000001914cf68c (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_memusage
00000001914cf85c (__TEXT,__text) non-external (was a private external) _lzma_delta_decoder_init
00000001914cf6b8 (__TEXT,__text) non-external (was a private external) _lzma_delta_encoder_init
00000001914cf90c (__TEXT,__text) non-external (was a private external) _lzma_delta_props_decode
00000001914cf814 (__TEXT,__text) non-external (was a private external) _lzma_delta_props_encode
00000001914c2cc8 (__TEXT,__text) external _lzma_easy_buffer_encode
00000001914c49ac (__TEXT,__text) external _lzma_easy_decoder_memusage
00000001914ba5f0 (__TEXT,__text) external _lzma_easy_encoder
00000001914c2d78 (__TEXT,__text) external _lzma_easy_encoder_memusage
00000001914ba65c (__TEXT,__text) non-external (was a private external) _lzma_easy_preset
00000001914d1a74 (__TEXT,__text) non-external _lzma_encode
00000001914c9318 (__TEXT,__text) non-external _lzma_encoder_init
00000001914c10c4 (__TEXT,__text) external _lzma_end
00000001914d5fa0 (__TEXT,__const) non-external (was a private external) _lzma_fastpos
00000001914c9cec (__TEXT,__text) external _lzma_file_info_decoder
00000001914c9d74 (__TEXT,__text) non-external _lzma_file_info_decoder_init
00000001914c4b88 (__TEXT,__text) external _lzma_filter_decoder_is_supported
00000001914c31a4 (__TEXT,__text) external _lzma_filter_encoder_is_supported
00000001914c4cec (__TEXT,__text) external _lzma_filter_flags_decode
00000001914bca28 (__TEXT,__text) external _lzma_filter_flags_encode
00000001914baf50 (__TEXT,__text) external _lzma_filter_flags_size
00000001914bc0cc (__TEXT,__text) external _lzma_filters_copy
00000001914c1824 (__TEXT,__text) external _lzma_filters_free
00000001914c31d8 (__TEXT,__text) external _lzma_filters_update
00000001914d1dc6 (__TEXT,__const) non-external (was a private external) _lzma_footer_magic
00000001914bc0a8 (__TEXT,__text) non-external (was a private external) _lzma_free
00000001914c1658 (__TEXT,__text) external _lzma_get_check
00000001914c1630 (__TEXT,__text) external _lzma_get_progress
00000001914d1dc0 (__TEXT,__const) non-external (was a private external) _lzma_header_magic
00000001914c06b4 (__TEXT,__text) external _lzma_index_append
00000001914c0bf4 (__TEXT,__text) external _lzma_index_block_count
00000001914c52d4 (__TEXT,__text) external _lzma_index_buffer_decode
00000001914c3488 (__TEXT,__text) external _lzma_index_buffer_encode
00000001914c1c78 (__TEXT,__text) external _lzma_index_cat
00000001914c1b7c (__TEXT,__text) external _lzma_index_checks
00000001914c5260 (__TEXT,__text) external _lzma_index_decoder
00000001914c4dac (__TEXT,__text) non-external (was a private external) _lzma_index_decoder_init
00000001914c1ed8 (__TEXT,__text) external _lzma_index_dup
00000001914c341c (__TEXT,__text) external _lzma_index_encoder
00000001914c08d0 (__TEXT,__text) non-external (was a private external) _lzma_index_encoder_init
00000001914ba940 (__TEXT,__text) external _lzma_index_end
00000001914c1af4 (__TEXT,__text) external _lzma_index_file_size
00000001914c54b4 (__TEXT,__text) external _lzma_index_hash_append
00000001914c5628 (__TEXT,__text) external _lzma_index_hash_decode
00000001914c5478 (__TEXT,__text) external _lzma_index_hash_end
00000001914c5408 (__TEXT,__text) external _lzma_index_hash_init
00000001914c547c (__TEXT,__text) external _lzma_index_hash_size
00000001914ba9a4 (__TEXT,__text) external _lzma_index_init
00000001914c09a8 (__TEXT,__text) external _lzma_index_iter_init
00000001914c2114 (__TEXT,__text) external _lzma_index_iter_locate
00000001914c0bfc (__TEXT,__text) external _lzma_index_iter_next
00000001914c2104 (__TEXT,__text) external _lzma_index_iter_rewind
00000001914c19f8 (__TEXT,__text) external _lzma_index_memusage
00000001914c1a50 (__TEXT,__text) external _lzma_index_memused
00000001914c0f9c (__TEXT,__text) non-external (was a private external) _lzma_index_padding_size
00000001914c19e0 (__TEXT,__text) non-external (was a private external) _lzma_index_prealloc
00000001914c0fd8 (__TEXT,__text) external _lzma_index_size
00000001914c1aa0 (__TEXT,__text) external _lzma_index_stream_count
00000001914c1ba8 (__TEXT,__text) external _lzma_index_stream_flags
00000001914c1c08 (__TEXT,__text) external _lzma_index_stream_padding
00000001914c1ab0 (__TEXT,__text) external _lzma_index_stream_size
00000001914c1aa8 (__TEXT,__text) external _lzma_index_total_size
00000001914c1b74 (__TEXT,__text) external _lzma_index_uncompressed_size
00000001914c8e18 (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_init
00000001914c91cc (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_memusage
00000001914bb444 (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_init
00000001914c7028 (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_memusage
00000001914c6fb4 (__TEXT,__text) external _lzma_lzip_decoder
00000001914c69a8 (__TEXT,__text) non-external (was a private external) _lzma_lzip_decoder_init
00000001914cd6ec (__TEXT,__text) non-external (was a private external) _lzma_lzma2_block_size
00000001914cd8c4 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_init
00000001914cd9ac (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_memusage
00000001914bb430 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_init
00000001914cd6c4 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_memusage
00000001914cd9c8 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_decode
00000001914bcbf4 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_encode
00000001914ca6a4 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_create
00000001914cd40c (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_init
00000001914cd588 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage
00000001914cd564 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage_nocheck
00000001914bd3f4 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encode
00000001914bb780 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_create
00000001914c9304 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_init
00000001914c933c (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_memusage
00000001914bb920 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_reset
00000001914cd500 (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_decode
00000001914c0644 (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_encode
00000001914c9958 (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_fast
00000001914be1ec (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_normal
00000001914ba6a4 (__TEXT,__text) external _lzma_lzma_preset
00000001914d5f8a (__TEXT,__const) non-external _lzma_lzma_preset.depths
00000001914d5f80 (__TEXT,__const) non-external _lzma_lzma_preset.dict_pow2
00000001914cd5e4 (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_decode
00000001914c93d4 (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_encode
00000001914c9444 (__TEXT,__text) non-external _lzma_lzma_set_out_limit
00000001914c16d4 (__TEXT,__text) external _lzma_memlimit_get
00000001914c1734 (__TEXT,__text) external _lzma_memlimit_set
00000001914c1674 (__TEXT,__text) external _lzma_memusage
00000001914c77bc (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_find
00000001914c7880 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_skip
00000001914c7928 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_find
00000001914c7adc (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_skip
00000001914bfe20 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_find
00000001914bdd64 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_skip
00000001914bfd28 (__TEXT,__text) non-external (was a private external) _lzma_mf_find
00000001914c7154 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_find
00000001914c73e0 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_skip
00000001914c74a0 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_find
00000001914c76dc (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_skip
00000001914c7124 (__TEXT,__text) external _lzma_mf_is_supported
00000001914c5ad8 (__TEXT,__text) external _lzma_microlzma_decoder
00000001914c2dd0 (__TEXT,__text) external _lzma_microlzma_encoder
00000001914c9434 (__TEXT,__text) external _lzma_mode_is_supported
00000001914c3368 (__TEXT,__text) non-external (was a private external) _lzma_mt_block_size
00000001914ba898 (__TEXT,__text) non-external (was a private external) _lzma_next_end
00000001914bb3a4 (__TEXT,__text) non-external (was a private external) _lzma_next_filter_init
00000001914c15f4 (__TEXT,__text) non-external (was a private external) _lzma_next_filter_update
00000001914c948c (__TEXT,__text) non-external (was a private external) _lzma_outq_clear_cache
00000001914c94ec (__TEXT,__text) non-external (was a private external) _lzma_outq_clear_cache2
00000001914c9910 (__TEXT,__text) non-external (was a private external) _lzma_outq_enable_partial_output
00000001914c96c4 (__TEXT,__text) non-external (was a private external) _lzma_outq_end
00000001914c97c4 (__TEXT,__text) non-external (was a private external) _lzma_outq_get_buf
00000001914c95a8 (__TEXT,__text) non-external (was a private external) _lzma_outq_init
00000001914c9828 (__TEXT,__text) non-external (was a private external) _lzma_outq_is_readable
00000001914c946c (__TEXT,__text) non-external (was a private external) _lzma_outq_memusage
00000001914c971c (__TEXT,__text) non-external (was a private external) _lzma_outq_prealloc_buf
00000001914c9854 (__TEXT,__text) non-external (was a private external) _lzma_outq_read
00000001914c19dc (__TEXT,__text) external _lzma_physmem
00000001914c4c9c (__TEXT,__text) external _lzma_properties_decode
00000001914bcbac (__TEXT,__text) external _lzma_properties_encode
00000001914bafc8 (__TEXT,__text) external _lzma_properties_size
00000001914c4a04 (__TEXT,__text) external _lzma_raw_buffer_decode
00000001914c3098 (__TEXT,__text) external _lzma_raw_buffer_encode
00000001914bb218 (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_init
00000001914c194c (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_memusage
00000001914c4c04 (__TEXT,__text) external _lzma_raw_decoder
00000001914c4bec (__TEXT,__text) non-external (was a private external) _lzma_raw_decoder_init
00000001914c4c84 (__TEXT,__text) external _lzma_raw_decoder_memusage
00000001914c32e4 (__TEXT,__text) external _lzma_raw_encoder
00000001914bb200 (__TEXT,__text) non-external (was a private external) _lzma_raw_encoder_init
00000001914c32cc (__TEXT,__text) external _lzma_raw_encoder_memusage
00000001914d7ff0 (__TEXT,__const) non-external (was a private external) _lzma_rc_prices
00000001914cd7cc (__TEXT,__text) non-external (was a private external) _lzma_simple_arm64_decoder_init
00000001914cd7a8 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm64_encoder_init
00000001914d0428 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_decoder_init
00000001914d0404 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_encoder_init
00000001914d0514 (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_decoder_init
00000001914d04f0 (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_encoder_init
00000001914cf970 (__TEXT,__text) non-external (was a private external) _lzma_simple_coder_init
00000001914d0254 (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_decoder_init
00000001914d0230 (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_encoder_init
00000001914d0158 (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_decoder_init
00000001914d0134 (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_encoder_init
00000001914cfeb4 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_decode
00000001914cfe9c (__TEXT,__text) non-external (was a private external) _lzma_simple_props_encode
00000001914cfe74 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_size
00000001914d197c (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_decoder_init
00000001914d1958 (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_encoder_init
00000001914cffa8 (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_decoder_init
00000001914cff44 (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_encoder_init
00000001914c80b4 (__TEXT,__text) external _lzma_str_from_filters
00000001914c84e0 (__TEXT,__text) external _lzma_str_list_filters
00000001914c7c34 (__TEXT,__text) external _lzma_str_to_filters
00000001914c3580 (__TEXT,__text) external _lzma_stream_buffer_bound
00000001914c5950 (__TEXT,__text) external _lzma_stream_buffer_decode
00000001914c35b0 (__TEXT,__text) external _lzma_stream_buffer_encode
00000001914c656c (__TEXT,__text) external _lzma_stream_decoder
00000001914c5ee0 (__TEXT,__text) non-external (was a private external) _lzma_stream_decoder_init
00000001914cddc0 (__TEXT,__text) external _lzma_stream_decoder_mt
00000001914ba798 (__TEXT,__text) external _lzma_stream_encoder
00000001914d05f4 (__TEXT,__text) external _lzma_stream_encoder_mt
00000001914d0948 (__TEXT,__text) external _lzma_stream_encoder_mt_memusage
00000001914c2200 (__TEXT,__text) external _lzma_stream_flags_compare
00000001914c6690 (__TEXT,__text) external _lzma_stream_footer_decode
00000001914c1010 (__TEXT,__text) external _lzma_stream_footer_encode
00000001914c65e0 (__TEXT,__text) external _lzma_stream_header_decode
00000001914baaf4 (__TEXT,__text) external _lzma_stream_header_encode
00000001914ba80c (__TEXT,__text) non-external (was a private external) _lzma_strm_init
00000001914c1894 (__TEXT,__text) non-external (was a private external) _lzma_validate_chain
00000001914c155c (__TEXT,__text) external _lzma_version_number
00000001914c1568 (__TEXT,__text) external _lzma_version_string
00000001914c673c (__TEXT,__text) external _lzma_vli_decode
00000001914bcaf8 (__TEXT,__text) external _lzma_vli_encode
00000001914bb028 (__TEXT,__text) external _lzma_vli_size
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
00000001914c0284 (__TEXT,__text) non-external _match
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
00000001914c5c60 (__TEXT,__text) non-external _microlzma_decode
00000001914c5ea0 (__TEXT,__text) non-external _microlzma_decoder_end
00000001914c5b68 (__TEXT,__text) non-external _microlzma_decoder_init
00000001914c2f74 (__TEXT,__text) non-external _microlzma_encode
00000001914c3058 (__TEXT,__text) non-external _microlzma_encoder_end
00000001914c2e38 (__TEXT,__text) non-external _microlzma_encoder_init
00000001914c9644 (__TEXT,__text) non-external _move_head_to_cache
00000001914bdf68 (__TEXT,__text) non-external _move_pos
00000001914c7bbc (__TEXT,__text) non-external _normalize
00000001914c8a54 (__TEXT,__text) non-external _parse_bcj
00000001914c8a64 (__TEXT,__text) non-external _parse_delta
00000001914c89e0 (__TEXT,__text) non-external _parse_lzma12
00000001914c8a80 (__TEXT,__text) non-external _parse_options
00000001914d017c (__TEXT,__text) non-external _powerpc_code
                 (undefined) external _pthread_cond_destroy (from libSystem)
                 (undefined) external _pthread_cond_init (from libSystem)
                 (undefined) external _pthread_cond_signal (from libSystem)
                 (undefined) external _pthread_cond_timedwait (from libSystem)
                 (undefined) external _pthread_cond_wait (from libSystem)
                 (undefined) external _pthread_create (from libSystem)
                 (undefined) external _pthread_join (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_sigmask (from libSystem)
00000001914bdf9c (__TEXT,__text) non-external _rc_encode
00000001914ceed4 (__TEXT,__text) non-external _read_output_and_wait
00000001914ca624 (__TEXT,__text) non-external _reverse_seek
00000001914cfacc (__TEXT,__text) non-external _simple_code
00000001914cfd60 (__TEXT,__text) non-external _simple_coder_end
00000001914cfdac (__TEXT,__text) non-external _simple_coder_update
00000001914d19a0 (__TEXT,__text) non-external _sparc_code
00000001914c847c (__TEXT,__text) non-external _str_append_str
00000001914c88cc (__TEXT,__text) non-external _str_append_u32
00000001914d5f08 (__TEXT,__const) non-external _str_append_u32.suffixes
00000001914c6054 (__TEXT,__text) non-external _stream_decode
00000001914ce0a4 (__TEXT,__text) non-external _stream_decode_mt
00000001914c64d4 (__TEXT,__text) non-external _stream_decoder_end
00000001914c6524 (__TEXT,__text) non-external _stream_decoder_get_check
00000001914c652c (__TEXT,__text) non-external _stream_decoder_memconfig
00000001914ceba0 (__TEXT,__text) non-external _stream_decoder_mt_end
00000001914cec10 (__TEXT,__text) non-external _stream_decoder_mt_get_check
00000001914cecc0 (__TEXT,__text) non-external _stream_decoder_mt_get_progress
00000001914cde2c (__TEXT,__text) non-external _stream_decoder_mt_init
00000001914cec18 (__TEXT,__text) non-external _stream_decoder_mt_memconfig
00000001914bc530 (__TEXT,__text) non-external _stream_encode
00000001914d1de0 (__TEXT,__const) non-external _stream_encode.convert
00000001914d0b0c (__TEXT,__text) non-external _stream_encode_mt
00000001914c1124 (__TEXT,__text) non-external _stream_encoder_end
00000001914c37dc (__TEXT,__text) non-external _stream_encoder_init
00000001914d119c (__TEXT,__text) non-external _stream_encoder_mt_end
00000001914d0668 (__TEXT,__text) non-external _stream_encoder_mt_init
00000001914d12f0 (__TEXT,__text) non-external _stream_encoder_mt_update
00000001914baca4 (__TEXT,__text) non-external _stream_encoder_update
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _sysconf (from libSystem)
                 (undefined) external _sysctl (from libSystem)
00000001914ced88 (__TEXT,__text) non-external _threads_end
00000001914d13dc (__TEXT,__text) non-external _threads_end
00000001914cee64 (__TEXT,__text) non-external _threads_stop
00000001914d14b0 (__TEXT,__text) non-external _threads_stop
00000001914c14c8 (__TEXT,__text) non-external (was a private external) _tuklib_cpucores
00000001914c1488 (__TEXT,__text) non-external (was a private external) _tuklib_physmem
00000001914cf318 (__TEXT,__text) non-external _worker_decoder
00000001914cf2cc (__TEXT,__text) non-external _worker_enable_partial_update
00000001914d18f8 (__TEXT,__text) non-external _worker_error
00000001914d15a8 (__TEXT,__text) non-external _worker_start
00000001914cffb0 (__TEXT,__text) non-external _x86_code
00000001914d8078 (__TEXT,__const) non-external _x86_code.MASK_TO_ALLOWED_STATUS
00000001914d8080 (__TEXT,__const) non-external _x86_code.MASK_TO_BIT_NUMBER
00000001914cff4c (__TEXT,__text) non-external _x86_coder_init
