000000022c7ca9a4 (__TEXT,__text) non-external +[CBOR cborFalse]
000000022c7c7978 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType4FromBuffer:length:tag:recursionLevel:keepKeyOrdering:noCopy:]
000000022c7c7e0c (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType5FromBuffer:length:tag:recursionLevel:keepKeyOrdering:noCopy:]
000000022c7c840c (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType6FromBuffer:length:tag:]
000000022c7c86c4 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType7FromBuffer:length:tag:]
000000022c7c5890 (__TEXT,__text) non-external +[NSData(CBOR) dataWithCBOR:]
000000022c7c5898 (__TEXT,__text) non-external +[NSData(CBOR) dataWithCBOR:encodingKeyOrder:]
000000022c7cd3b4 (__TEXT,__text) non-external +[NSData(COSE) dataWithCOSE:]
000000022c7ced1c (__TEXT,__text) non-external +[NSData(COSEKey) dataWithCOSEKey:]
000000022c7cab84 (__TEXT,__text) non-external -[CBOR .cxx_destruct]
000000022c7c93c4 (__TEXT,__text) non-external -[CBOR array]
000000022c7c9198 (__TEXT,__text) non-external -[CBOR boolValue]
000000022c7cab60 (__TEXT,__text) non-external -[CBOR cachedHash]
000000022c7c8b14 (__TEXT,__text) non-external -[CBOR copyWithZone:]
000000022c7c9314 (__TEXT,__text) non-external -[CBOR data]
000000022c7c94c4 (__TEXT,__text) non-external -[CBOR date]
000000022c7c9aa8 (__TEXT,__text) non-external -[CBOR description]
000000022c7c9444 (__TEXT,__text) non-external -[CBOR dictionary]
000000022c7c9088 (__TEXT,__text) non-external -[CBOR doubleValue]
000000022c7caab0 (__TEXT,__text) non-external -[CBOR encodeToEmbeddedCBORData]
000000022c7c8ed0 (__TEXT,__text) non-external -[CBOR hash]
000000022c7c8e24 (__TEXT,__text) non-external -[CBOR initWithCbor:tag:]
000000022c7c8b58 (__TEXT,__text) non-external -[CBOR initWithType:value:valueSize:tag:]
000000022c7c999c (__TEXT,__text) non-external -[CBOR isBoolean]
000000022c7c99b0 (__TEXT,__text) non-external -[CBOR isDate]
000000022c7c9a48 (__TEXT,__text) non-external -[CBOR isEmbeddedCBORData]
000000022c7c8ed4 (__TEXT,__text) non-external -[CBOR isEqual:]
000000022c7c9988 (__TEXT,__text) non-external -[CBOR isFloatNumber]
000000022c7c996c (__TEXT,__text) non-external -[CBOR isWholeNumber]
000000022c7c8f90 (__TEXT,__text) non-external -[CBOR longLongValue]
000000022c7c90fc (__TEXT,__text) non-external -[CBOR numeric]
000000022c7cab70 (__TEXT,__text) non-external -[CBOR orderedKeys]
000000022c7cab68 (__TEXT,__text) non-external -[CBOR setCachedHash:]
000000022c7cab78 (__TEXT,__text) non-external -[CBOR setOrderedKeys:]
000000022c7cab30 (__TEXT,__text) non-external -[CBOR setTag:]
000000022c7cab44 (__TEXT,__text) non-external -[CBOR setValue:]
000000022c7cab58 (__TEXT,__text) non-external -[CBOR setValueSize:]
000000022c7c9218 (__TEXT,__text) non-external -[CBOR string]
000000022c7cab28 (__TEXT,__text) non-external -[CBOR tag]
000000022c7cab20 (__TEXT,__text) non-external -[CBOR type]
000000022c7c9004 (__TEXT,__text) non-external -[CBOR unsignedLongLongValue]
000000022c7cab50 (__TEXT,__text) non-external -[CBOR valueSize]
000000022c7cab3c (__TEXT,__text) non-external -[CBOR value]
000000022c7c6858 (__TEXT,__text) non-external -[CBOR(Decoder) asJSON]
000000022c7cc08c (__TEXT,__text) non-external -[COSE .cxx_destruct]
000000022c7cb484 (__TEXT,__text) non-external -[COSE _parseCommonHeaderParameters:]
000000022c7cbaf0 (__TEXT,__text) non-external -[COSE _searchForHeaderLabel:]
000000022c7cc05c (__TEXT,__text) non-external -[COSE algorithmIdentifier]
000000022c7cc06c (__TEXT,__text) non-external -[COSE contentType]
000000022c7cb3b8 (__TEXT,__text) non-external -[COSE content]
000000022c7cc064 (__TEXT,__text) non-external -[COSE criticalHeaderParameters]
000000022c7cad54 (__TEXT,__text) non-external -[COSE initWithCBOR:]
000000022c7cabd4 (__TEXT,__text) non-external -[COSE initWithData:]
000000022c7cac28 (__TEXT,__text) non-external -[COSE initWithData:type:]
000000022c7cb070 (__TEXT,__text) non-external -[COSE initWithProtectedHeaders:unprotectedHeaders:payload:type:additionalCBORs:]
000000022c7cc07c (__TEXT,__text) non-external -[COSE initializationVector]
000000022c7cc074 (__TEXT,__text) non-external -[COSE keyIdentifier]
000000022c7cc084 (__TEXT,__text) non-external -[COSE partialInitializationVector]
000000022c7cb2b8 (__TEXT,__text) non-external -[COSE protectedHeaderParameters]
000000022c7cc054 (__TEXT,__text) non-external -[COSE protectedHeadererDictionary]
000000022c7cc10c (__TEXT,__text) non-external -[COSE setType:]
000000022c7cc190 (__TEXT,__text) non-external -[COSE sourceObject]
000000022c7cb44c (__TEXT,__text) non-external -[COSE tag]
000000022c7cc04c (__TEXT,__text) non-external -[COSE type]
000000022c7cb338 (__TEXT,__text) non-external -[COSE unprotectedHeaderParameters]
000000022c7cec7c (__TEXT,__text) non-external -[COSEKey .cxx_destruct]
000000022c7cdff0 (__TEXT,__text) non-external -[COSEKey _initCBORWithMemberParams]
000000022c7cec54 (__TEXT,__text) non-external -[COSEKey algorithm]
000000022c7cec6c (__TEXT,__text) non-external -[COSEKey baseInitializationVector]
000000022c7ceb1c (__TEXT,__text) non-external -[COSEKey ecCurveD]
000000022c7cea38 (__TEXT,__text) non-external -[COSEKey ecCurveIdentifier]
000000022c7cea84 (__TEXT,__text) non-external -[COSEKey ecCurveX]
000000022c7cead0 (__TEXT,__text) non-external -[COSEKey ecCurveY]
000000022c7cc190 (__TEXT,__text) non-external -[COSEKey getSource]
000000022c7cec5c (__TEXT,__text) non-external -[COSEKey identifier]
000000022c7ce5b8 (__TEXT,__text) non-external -[COSEKey initEC2WithAlgorithm:curveIdentifier:x:signBit:d:keyOperations:keyIdentifier:]
000000022c7ce758 (__TEXT,__text) non-external -[COSEKey initEC2WithAlgorithm:curveIdentifier:x:y:d:keyOperations:keyIdentifier:]
000000022c7ce8dc (__TEXT,__text) non-external -[COSEKey initOKPWithAlgorithm:curveIdentifier:x:d:keyOperations:keyIdentifier:]
000000022c7cd474 (__TEXT,__text) non-external -[COSEKey initWithCBOR:]
000000022c7cd420 (__TEXT,__text) non-external -[COSEKey initWithData:]
000000022c7cec00 (__TEXT,__text) non-external -[COSEKey okpCurveD]
000000022c7ceb68 (__TEXT,__text) non-external -[COSEKey okpCurveIdentifier]
000000022c7cebb4 (__TEXT,__text) non-external -[COSEKey okpCurveX]
000000022c7cec64 (__TEXT,__text) non-external -[COSEKey operations]
000000022c7cec74 (__TEXT,__text) non-external -[COSEKey symmetricKey]
000000022c7cec4c (__TEXT,__text) non-external -[COSEKey type]
000000022c7cd3a0 (__TEXT,__text) non-external -[COSE_Mac0 .cxx_destruct]
000000022c7cd2ec (__TEXT,__text) non-external -[COSE_Mac0 description]
000000022c7cd10c (__TEXT,__text) non-external -[COSE_Mac0 generateMessageForMACWithApplicationProtectedAttributes:]
000000022c7ccdc8 (__TEXT,__text) non-external -[COSE_Mac0 initWithCBOR:]
000000022c7ccfe0 (__TEXT,__text) non-external -[COSE_Mac0 initWithProtectedHeaders:unprotectedHeaders:payload:tag:]
000000022c7cd390 (__TEXT,__text) non-external -[COSE_Mac0 mac]
000000022c7ccce4 (__TEXT,__text) non-external -[COSE_Sign1 description]
000000022c7cc300 (__TEXT,__text) non-external -[COSE_Sign1 initWithCBOR:]
000000022c7cc1c8 (__TEXT,__text) non-external -[COSE_Sign1 initWithProtectedHeaders:unprotectedHeaders:payload:signature:includeCBORTag:]
000000022c7ccc30 (__TEXT,__text) non-external -[COSE_Sign1 signature]
000000022c7cc4e8 (__TEXT,__text) non-external -[COSE_Sign1 x509bag]
000000022c7cc6e0 (__TEXT,__text) non-external -[COSE_Sign1 x509chain]
000000022c7cc99c (__TEXT,__text) non-external -[COSE_Sign1 x509hashAlgorithmIdentifier]
000000022c7ccb04 (__TEXT,__text) non-external -[COSE_Sign1 x509hashValue]
000000022c7cc8f4 (__TEXT,__text) non-external -[COSE_Sign1 x509uri]
000000022c7d398c (__TEXT,__gcc_except_tab) non-external GCC_except_table9
000000022c7d1730 (__TEXT,__const) external _CBORLibraryVersionNumber
000000022c7d1700 (__TEXT,__const) external _CBORLibraryVersionString
000000022c7d1758 (__TEXT,__const) non-external _COMPRESSED_EC2_Y_ONE
000000022c7d1759 (__TEXT,__const) non-external _COMPRESSED_EC2_Y_ZERO
000000027eef6ac0 (__DATA,__data) external _COSEHeaderX509Bag
000000027eef6ac8 (__DATA,__data) external _COSEHeaderX509Chain
000000027eef6ad8 (__DATA,__data) external _COSEHeaderX509Hash
000000027eef6ae0 (__DATA,__data) external _COSEHeaderX509HashSender
000000027eef6ae8 (__DATA,__data) external _COSEHeaderX509Uri
000000027eef6af0 (__DATA,__data) external _COSEHeaderX509UriSender
000000027eef6ad0 (__DATA,__data) external _COSEHeaderx509ChainSender
0000000281f96398 (__AUTH,__objc_data) external _OBJC_CLASS_$_CBOR
0000000281f963e8 (__AUTH,__objc_data) external _OBJC_CLASS_$_COSE
0000000281f964d8 (__AUTH,__objc_data) external _OBJC_CLASS_$_COSEKey
0000000281f96488 (__AUTH,__objc_data) external _OBJC_CLASS_$_COSE_Mac0
0000000281f96438 (__AUTH,__objc_data) external _OBJC_CLASS_$_COSE_Sign1
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSLocale (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$__TtCs12_SwiftObject (from libswiftCore)
000000027eef65a0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._cachedHash
000000027eef65a4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._orderedKeys
000000027eef6594 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._tag
000000027eef6590 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._type
000000027eef6598 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._value
000000027eef659c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._valueSize
000000027eef65b4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._algorithmIdentifier
000000027eef65a8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._cborObj
000000027eef65bc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._contentType
000000027eef65b8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._criticalHeaderParameters
000000027eef65c4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._initializationVector
000000027eef65c0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._keyIdentifier
000000027eef65c8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._partialInitializationVector
000000027eef65b0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._protectedHeadererDictionary
000000027eef65ac (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._type
000000027eef65e8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._algorithm
000000027eef65f4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._baseInitializationVector
000000027eef65d0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._cborObj
000000027eef65d4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._curveID
000000027eef65ec (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._identifier
000000027eef65f0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._operations
000000027eef65e0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramD
000000027eef65d8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramX
000000027eef65dc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramY
000000027eef65f8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._symmetricKey
000000027eef65e4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._type
000000027eef65cc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE_Mac0._mac
0000000281f963c0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CBOR
0000000281f96410 (__AUTH,__objc_data) external _OBJC_METACLASS_$_COSE
0000000281f96500 (__AUTH,__objc_data) external _OBJC_METACLASS_$_COSEKey
0000000281f964b0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_COSE_Mac0
0000000281f96460 (__AUTH,__objc_data) external _OBJC_METACLASS_$_COSE_Sign1
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
0000000281f96708 (__AUTH,__data) non-external (was a private external) _OBJC_METACLASS_$__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
                 (undefined) external _OBJC_METACLASS_$__TtCs12_SwiftObject (from libswiftCore)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
00000002833f6398 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibrary11CBORDecoder
00000002833f6638 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibrary11CBOREncoder
00000002833f6730 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
0000000281f96270 (__AUTH,__objc_data) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00000002833f6808 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
00000002833f6490 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
000000022c7cfce8 (__TEXT,__objc_methlist) non-external __INSTANCE_METHODS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00000002833f6370 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibrary11CBORDecoder
00000002833f65d0 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibrary11CBOREncoder
00000002833f66c8 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
00000002833f6520 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00000002833f67c0 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
00000002833f6428 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
00000002833f6328 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibrary11CBORDecoder
00000002833f6588 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibrary11CBOREncoder
00000002833f6680 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
00000002833f64d8 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00000002833f6778 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
00000002833f63e0 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00000002833f6850 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSData_$_CBOR
000000022c7cfd08 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CBOR(Decoder|Decoder_Private|COSE|COSEKey)
000000022c7cfe70 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NSData(CBOR|COSE|COSEKey)
000000022c7cfea8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CBOR(Decoder|Decoder_Private|COSE|COSEKey)
000000022c7d0058 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE
000000022c7d0120 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSEKey
000000022c7d0210 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE_Mac0
000000022c7d0260 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE_Sign1
00000002833f69e0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CBOR
00000002833f6c90 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSE
00000002833f70d8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSEKey
00000002833f7008 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSE_Mac0
00000002833f6aa8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CBOR
00000002833f6db8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE
00000002833f7240 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSEKey
00000002833f7030 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE_Mac0
00000002833f6f10 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE_Sign1
00000002833f6890 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
000000022c7d02d8 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
000000022c7d02f0 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
000000022c7d03e0 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
00000002833f6978 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00000002833f68d8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
00000002833f6980 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CBOR
00000002833f6c00 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CBOR
00000002833f6e80 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE
00000002833f7318 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSEKey
00000002833f7048 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE_Mac0
00000002833f6f78 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE_Sign1
000000027a5ceb18 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSCopying
000000027a5ceb10 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSObject
00000002833f6998 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CBOR
00000002833f6c48 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE
00000002833f7090 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSEKey
00000002833f6fc0 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE_Mac0
00000002833f6ec8 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE_Sign1
000000027eef6a60 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSCopying
000000027eef6a00 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
000000027a5cf138 (__DATA_CONST,__objc_protorefs) non-external (was a private external) __OBJC_PROTOCOL_REFERENCE_$_NSObject
                 (undefined) external __Unwind_Resume (from libSystem)
000000022c7cbd68 (__TEXT,__text) non-external ___30-[COSE _searchForHeaderLabel:]_block_invoke
000000022c7cbf2c (__TEXT,__text) non-external ___30-[COSE _searchForHeaderLabel:]_block_invoke.62
000000022c7c55dc (__TEXT,__text) non-external ___51+[CBOR(Encoder) encodeMajorType5:encodingKeyOrder:]_block_invoke
000000022c7cbd50 (__TEXT,__text) non-external ___Block_byref_object_copy_
000000022c7cbd60 (__TEXT,__text) non-external ___Block_byref_object_dispose_
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) external ___NSDictionary0__struct (from CoreFoundation)
                 (undefined) external ___assert_rtn (from libSystem)
000000027a5cea90 (__DATA_CONST,__const) non-external ___block_descriptor_40_e23_q24?0"CBOR"8"CBOR"16l
00000002833f5ab8 (__AUTH_CONST,__const) non-external ___block_descriptor_56_e8_32s40r48r_e27_v32?0"CBOR"8"CBOR"16^B24l
                 (undefined) external ___chkstk_darwin (from libSystem)
000000022c7cbe88 (__TEXT,__text) non-external ___copy_helper_block_e8_32s40r48r
000000022c7cbee0 (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40r48r
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___strlcpy_chk (from libSystem)
000000022c7ae6ec (__TEXT,__text) non-external ___swift_allocate_boxed_opaque_existential_1Tm
000000022c7ae6ec (__TEXT,__text) non-external ___swift_allocate_boxed_opaque_existential_1Tm
000000022c7ae82c (__TEXT,__text) non-external (was a private external) ___swift_allocate_value_buffer
000000022c7ae654 (__TEXT,__text) non-external (was a private external) ___swift_deallocate_boxed_opaque_existential_1
000000022c7ae7dc (__TEXT,__text) non-external (was a private external) ___swift_destroy_boxed_opaque_existential_1
000000022c7ae7dc (__TEXT,__text) non-external ___swift_destroy_boxed_opaque_existential_1Tm
000000022c7ae7dc (__TEXT,__text) non-external ___swift_destroy_boxed_opaque_existential_1Tm
000000022c7a3248 (__TEXT,__text) non-external (was a private external) ___swift_instantiateConcreteTypeFromMangledName
000000022c7afa00 (__TEXT,__text) non-external (was a private external) ___swift_instantiateConcreteTypeFromMangledNameAbstract
000000022c7afa50 (__TEXT,__text) non-external (was a private external) ___swift_instantiateGenericMetadata
000000022c7c50a0 (__TEXT,__text) non-external (was a private external) ___swift_memcpy16_8
000000022c7c2170 (__TEXT,__text) non-external (was a private external) ___swift_memcpy17_8
000000022c7b7f04 (__TEXT,__text) non-external (was a private external) ___swift_memcpy1_1
000000022c7aea6c (__TEXT,__text) non-external (was a private external) ___swift_memcpy24_8
000000022c7b82a0 (__TEXT,__text) non-external (was a private external) ___swift_memcpy25_8
000000022c7aec9c (__TEXT,__text) non-external (was a private external) ___swift_memcpy32_8
000000022c7ba914 (__TEXT,__text) non-external (was a private external) ___swift_memcpy8_8
000000022c7af910 (__TEXT,__text) non-external (was a private external) ___swift_mutable_project_boxed_opaque_existential_1
000000022c7b7f10 (__TEXT,__text) non-external (was a private external) ___swift_noop_void_return
000000022c7ae6a8 (__TEXT,__text) non-external (was a private external) ___swift_project_boxed_opaque_existential_1
000000022c7a3634 (__TEXT,__text) non-external (was a private external) ___swift_project_value_buffer
000000022c7d1560 (__TEXT,__const) non-external (was a private external) ___swift_reflection_version
000000022c7d16c8 (__TEXT,__const) non-external ___unnamed_2
000000022c7d1208 (__TEXT,__const) non-external ___unnamed_23
000000022c7d0618 (__TEXT,__const) non-external ___unnamed_5
000000022c7c989c (__TEXT,__text) non-external __getRFC3339DateFormatter
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_fault_impl (from libSystem)
                 (undefined) external __swiftEmptyArrayStorage (from libswiftCore)
