00007ff800d5d500 (__TEXT,__text) external _APL_dgemm
00007ff800c84815 (__TEXT,__text) external _DTPMV
00007ff800c84815 (__TEXT,__text) external _DTPMV_
00007ff800c84b18 (__TEXT,__text) external _DTPSV
00007ff800c84b18 (__TEXT,__text) external _DTPSV_
00007ff800c81fcd (__TEXT,__text) external _DTRMM
00007ff800c81fcd (__TEXT,__text) external _DTRMM_
00007ff800c84605 (__TEXT,__text) external _DTRMV
00007ff800c84605 (__TEXT,__text) external _DTRMV_
00007ff800c82126 (__TEXT,__text) external _DTRSM
00007ff800c82126 (__TEXT,__text) external _DTRSM_
00007ff800c84908 (__TEXT,__text) external _DTRSV
00007ff800c84908 (__TEXT,__text) external _DTRSV_
00007ff800c86a40 (__TEXT,__text) external _DZASUM
00007ff800c86a40 (__TEXT,__text) external _DZASUM_
00007ff800c86a4e (__TEXT,__text) external _DZNRM2
00007ff800c86a4e (__TEXT,__text) external _DZNRM2_
00007ff800c867b4 (__TEXT,__text) external _ICAMAX
00007ff800c867b4 (__TEXT,__text) external _ICAMAX_
00007ff800c868dd (__TEXT,__text) external _IDAMAX
00007ff800c868dd (__TEXT,__text) external _IDAMAX_
00007ff800c86909 (__TEXT,__text) external _ISAMAX
00007ff800c86909 (__TEXT,__text) external _ISAMAX_
00007ff800c86a5c (__TEXT,__text) external _IZAMAX
00007ff800c86a5c (__TEXT,__text) external _IZAMAX_
00007ff800c86924 (__TEXT,__text) external _SASUM
00007ff800c86924 (__TEXT,__text) external _SASUM_
00007ff800c86937 (__TEXT,__text) external _SAXPY
00007ff800c86937 (__TEXT,__text) external _SAXPY_
00007ff800c867cf (__TEXT,__text) external _SCASUM
00007ff800c867cf (__TEXT,__text) external _SCASUM_
00007ff800c867e2 (__TEXT,__text) external _SCNRM2
00007ff800c867e2 (__TEXT,__text) external _SCNRM2_
00007ff800c8695a (__TEXT,__text) external _SCOPY
00007ff800c8695a (__TEXT,__text) external _SCOPY_
00007ff800c8696e (__TEXT,__text) external _SDOT
00007ff800c8696e (__TEXT,__text) external _SDOT_
00007ff800c86984 (__TEXT,__text) external _SDSDOT
00007ff800c86984 (__TEXT,__text) external _SDSDOT_
00007ff800c83839 (__TEXT,__text) external _SGBMV
00007ff800c83839 (__TEXT,__text) external _SGBMV_
00007ff800c81764 (__TEXT,__text) external _SGEMM
00007ff800c81764 (__TEXT,__text) external _SGEMM_
00007ff800c83788 (__TEXT,__text) external _SGEMV
00007ff800c83788 (__TEXT,__text) external _SGEMV_
00007ff800c840be (__TEXT,__text) external _SGER
00007ff800c840be (__TEXT,__text) external _SGER_
00007ff800c869a9 (__TEXT,__text) external _SNRM2
00007ff800c869a9 (__TEXT,__text) external _SNRM2_
00007ff800c869bc (__TEXT,__text) external _SROT
00007ff800c869dd (__TEXT,__text) external _SROTG
00007ff800c869dd (__TEXT,__text) external _SROTG_
00007ff800c869ea (__TEXT,__text) external _SROTM
00007ff800c869fe (__TEXT,__text) external _SROTMG
00007ff800c869fe (__TEXT,__text) external _SROTMG_
00007ff800c869ea (__TEXT,__text) external _SROTM_
00007ff800c869bc (__TEXT,__text) external _SROT_
00007ff800c83998 (__TEXT,__text) external _SSBMV
00007ff800c83998 (__TEXT,__text) external _SSBMV_
00007ff800c86a12 (__TEXT,__text) external _SSCAL
00007ff800c86a12 (__TEXT,__text) external _SSCAL_
00007ff800c83a38 (__TEXT,__text) external _SSPMV
00007ff800c83a38 (__TEXT,__text) external _SSPMV_
00007ff800c841fe (__TEXT,__text) external _SSPR
00007ff800c84266 (__TEXT,__text) external _SSPR2
00007ff800c84266 (__TEXT,__text) external _SSPR2_
00007ff800c841fe (__TEXT,__text) external _SSPR_
00007ff800c86a2c (__TEXT,__text) external _SSWAP
00007ff800c86a2c (__TEXT,__text) external _SSWAP_
00007ff800c81870 (__TEXT,__text) external _SSYMM
00007ff800c81870 (__TEXT,__text) external _SSYMM_
00007ff800c83906 (__TEXT,__text) external _SSYMV
00007ff800c83906 (__TEXT,__text) external _SSYMV_
00007ff800c84103 (__TEXT,__text) external _SSYR
00007ff800c84174 (__TEXT,__text) external _SSYR2
00007ff800c81ceb (__TEXT,__text) external _SSYR2K
00007ff800c81ceb (__TEXT,__text) external _SSYR2K_
00007ff800c84174 (__TEXT,__text) external _SSYR2_
00007ff800c81c03 (__TEXT,__text) external _SSYRK
00007ff800c81c03 (__TEXT,__text) external _SSYRK_
00007ff800c84103 (__TEXT,__text) external _SSYR_
00007ff800c83bbc (__TEXT,__text) external _STBMV
00007ff800c83bbc (__TEXT,__text) external _STBMV_
00007ff800c83ebf (__TEXT,__text) external _STBSV
00007ff800c83ebf (__TEXT,__text) external _STBSV_
00007ff800c83cc8 (__TEXT,__text) external _STPMV
00007ff800c83cc8 (__TEXT,__text) external _STPMV_
00007ff800c83fcb (__TEXT,__text) external _STPSV
00007ff800c83fcb (__TEXT,__text) external _STPSV_
00007ff800c81951 (__TEXT,__text) external _STRMM
00007ff800c81951 (__TEXT,__text) external _STRMM_
00007ff800c83ab8 (__TEXT,__text) external _STRMV
00007ff800c83ab8 (__TEXT,__text) external _STRMV_
00007ff800c81aaa (__TEXT,__text) external _STRSM
00007ff800c81aaa (__TEXT,__text) external _STRSM_
00007ff800c83dbb (__TEXT,__text) external _STRSV
00007ff800c83dbb (__TEXT,__text) external _STRSV_
00007ff800e046ee (__TEXT,__text) external _SetBLASParamErrorProc
00007ff800dfa506 (__TEXT,__text) external _XERBLA
00007ff800dfa506 (__TEXT,__text) external _XERBLA_
00007ff800c86a77 (__TEXT,__text) external _ZAXPY
00007ff800c86a77 (__TEXT,__text) external _ZAXPY_
00007ff800c86a8b (__TEXT,__text) external _ZCOPY
00007ff800c86a8b (__TEXT,__text) external _ZCOPY_
00007ff800c86a9f (__TEXT,__text) external _ZDOTC
00007ff800c86a9f (__TEXT,__text) external _ZDOTC_
00007ff800c86ac1 (__TEXT,__text) external _ZDOTU
00007ff800c86ac1 (__TEXT,__text) external _ZDOTU_
00007ff800c86b01 (__TEXT,__text) external _ZDROT
00007ff800c86b01 (__TEXT,__text) external _ZDROT_
00007ff800c86b22 (__TEXT,__text) external _ZDSCAL
00007ff800c86b22 (__TEXT,__text) external _ZDSCAL_
00007ff800c85b4b (__TEXT,__text) external _ZGBMV
00007ff800c85b4b (__TEXT,__text) external _ZGBMV_
00007ff800c82df2 (__TEXT,__text) external _ZGEMM
00007ff800c82df2 (__TEXT,__text) external _ZGEMM_
00007ff800c85a83 (__TEXT,__text) external _ZGEMV
00007ff800c85a83 (__TEXT,__text) external _ZGEMV_
00007ff800c8645a (__TEXT,__text) external _ZGERC
00007ff800c8645a (__TEXT,__text) external _ZGERC_
00007ff800c864aa (__TEXT,__text) external _ZGERU
00007ff800c864aa (__TEXT,__text) external _ZGERU_
00007ff800c85cb6 (__TEXT,__text) external _ZHBMV
00007ff800c85cb6 (__TEXT,__text) external _ZHBMV_
00007ff800c82f14 (__TEXT,__text) external _ZHEMM
00007ff800c82f14 (__TEXT,__text) external _ZHEMM_
00007ff800c85c25 (__TEXT,__text) external _ZHEMV
00007ff800c85c25 (__TEXT,__text) external _ZHEMV_
00007ff800c864fa (__TEXT,__text) external _ZHER
00007ff800c8656b (__TEXT,__text) external _ZHER2
00007ff800c83575 (__TEXT,__text) external _ZHER2K
00007ff800c83575 (__TEXT,__text) external _ZHER2K_
00007ff800c8656b (__TEXT,__text) external _ZHER2_
00007ff800c83384 (__TEXT,__text) external _ZHERK
00007ff800c83384 (__TEXT,__text) external _ZHERK_
00007ff800c864fa (__TEXT,__text) external _ZHER_
00007ff800c85d53 (__TEXT,__text) external _ZHPMV
00007ff800c85d53 (__TEXT,__text) external _ZHPMV_
00007ff800c865f5 (__TEXT,__text) external _ZHPR
00007ff800c8665d (__TEXT,__text) external _ZHPR2
00007ff800c8665d (__TEXT,__text) external _ZHPR2_
00007ff800c865f5 (__TEXT,__text) external _ZHPR_
00007ff800c86ae3 (__TEXT,__text) external _ZROTG
00007ff800c86ae3 (__TEXT,__text) external _ZROTG_
00007ff800c86af0 (__TEXT,__text) external _ZSCAL
00007ff800c86af0 (__TEXT,__text) external _ZSCAL_
00007ff800c86b3c (__TEXT,__text) external _ZSWAP
00007ff800c86b3c (__TEXT,__text) external _ZSWAP_
00007ff800c82fee (__TEXT,__text) external _ZSYMM
00007ff800c82fee (__TEXT,__text) external _ZSYMM_
00007ff800c83680 (__TEXT,__text) external _ZSYR2K
00007ff800c83680 (__TEXT,__text) external _ZSYR2K_
00007ff800c83486 (__TEXT,__text) external _ZSYRK
00007ff800c83486 (__TEXT,__text) external _ZSYRK_
00007ff800c85eea (__TEXT,__text) external _ZTBMV
00007ff800c85eea (__TEXT,__text) external _ZTBMV_
00007ff800c8622f (__TEXT,__text) external _ZTBSV
00007ff800c8622f (__TEXT,__text) external _ZTBSV_
00007ff800c8600c (__TEXT,__text) external _ZTPMV
00007ff800c8600c (__TEXT,__text) external _ZTPMV_
00007ff800c86351 (__TEXT,__text) external _ZTPSV
00007ff800c86351 (__TEXT,__text) external _ZTPSV_
00007ff800c830c8 (__TEXT,__text) external _ZTRMM
00007ff800c830c8 (__TEXT,__text) external _ZTRMM_
00007ff800c85dd0 (__TEXT,__text) external _ZTRMV
00007ff800c85dd0 (__TEXT,__text) external _ZTRMV_
00007ff800c83226 (__TEXT,__text) external _ZTRSM
00007ff800c83226 (__TEXT,__text) external _ZTRSM_
00007ff800c86115 (__TEXT,__text) external _ZTRSV
00007ff800c86115 (__TEXT,__text) external _ZTRSV_
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
00007ff800df12b0 (__TEXT,__text) external _appleblas_dgeadd
00007ff800df37a4 (__TEXT,__text) external _appleblas_sgeadd
00007ff800c9bfc7 (__TEXT,__text) external _catlas_caxpby
00007ff800dbea06 (__TEXT,__text) external _catlas_cset
00007ff800d6089b (__TEXT,__text) external _catlas_daxpby
00007ff800d609a0 (__TEXT,__text) external _catlas_dset
00007ff800ca7603 (__TEXT,__text) external _catlas_saxpby
00007ff800ca7721 (__TEXT,__text) external _catlas_sset
00007ff800d6c7a8 (__TEXT,__text) external _catlas_zaxpby
00007ff800ce6820 (__TEXT,__text) external _catlas_zset
00007ff800c866db (__TEXT,__text) external _caxpy
00007ff800c866db (__TEXT,__text) external _caxpy_
00007ff800d6c430 (__TEXT,__text) external _cblas_caxpy
00007ff800cb95e4 (__TEXT,__text) external _cblas_ccopy
00007ff800cf3e5a (__TEXT,__text) external _cblas_cdotc_sub
00007ff800d14b3a (__TEXT,__text) external _cblas_cdotu_sub
00007ff800def36b (__TEXT,__text) external _cblas_cgbmv
00007ff800d31428 (__TEXT,__text) external _cblas_cgemm
00007ff800df0420 (__TEXT,__text) external _cblas_cgemv
00007ff800d9e27f (__TEXT,__text) external _cblas_cgerc
00007ff800d45e20 (__TEXT,__text) external _cblas_cgeru
00007ff800df46bc (__TEXT,__text) external _cblas_chbmv
00007ff800d70441 (__TEXT,__text) external _cblas_chemm
00007ff800df508c (__TEXT,__text) external _cblas_chemv
00007ff800d95aef (__TEXT,__text) external _cblas_cher
00007ff800df5e11 (__TEXT,__text) external _cblas_cher2
00007ff800dbe6eb (__TEXT,__text) external _cblas_cher2k
00007ff800d555b5 (__TEXT,__text) external _cblas_cherk
00007ff800df675f (__TEXT,__text) external _cblas_chpmv
00007ff800df7831 (__TEXT,__text) external _cblas_chpr
00007ff800df6e95 (__TEXT,__text) external _cblas_chpr2
00007ff800dfbcbd (__TEXT,__text) external _cblas_crotg
00007ff800d9cc84 (__TEXT,__text) external _cblas_cscal
00007ff800d87eff (__TEXT,__text) external _cblas_csrot
00007ff800ce5a80 (__TEXT,__text) external _cblas_csscal
00007ff800cf52c5 (__TEXT,__text) external _cblas_cswap
00007ff800d664a5 (__TEXT,__text) external _cblas_csymm
00007ff800d64bd0 (__TEXT,__text) external _cblas_csyr2k
00007ff800cc55d7 (__TEXT,__text) external _cblas_csyrk
00007ff800df7c19 (__TEXT,__text) external _cblas_ctbmv
00007ff800df857a (__TEXT,__text) external _cblas_ctbsv
00007ff800df906d (__TEXT,__text) external _cblas_ctpmv
00007ff800df981e (__TEXT,__text) external _cblas_ctpsv
00007ff800de57a2 (__TEXT,__text) external _cblas_ctrmm
00007ff800dfa524 (__TEXT,__text) external _cblas_ctrmv
00007ff800d418f0 (__TEXT,__text) external _cblas_ctrsm
00007ff800dfaff7 (__TEXT,__text) external _cblas_ctrsv
00007ff800d607cf (__TEXT,__text) external _cblas_dasum
00007ff800d60803 (__TEXT,__text) external _cblas_daxpy
00007ff800d60910 (__TEXT,__text) external _cblas_dcopy
00007ff800d60770 (__TEXT,__text) external _cblas_ddot
00007ff800ccd357 (__TEXT,__text) external _cblas_dgbmv
00007ff800dbf587 (__TEXT,__text) external _cblas_dgemm
00007ff800c813f0 (__TEXT,__text) external _cblas_dgemv
00007ff800c7dc49 (__TEXT,__text) external _cblas_dger
00007ff800d60985 (__TEXT,__text) external _cblas_dnrm2
00007ff800d60a5c (__TEXT,__text) external _cblas_drot
00007ff800df3b94 (__TEXT,__text) external _cblas_drotg
00007ff800d60b0c (__TEXT,__text) external _cblas_drotm
00007ff800df3cc5 (__TEXT,__text) external _cblas_drotmg
00007ff800cd5d79 (__TEXT,__text) external _cblas_dsbmv
00007ff800c7dc15 (__TEXT,__text) external _cblas_dscal
00007ff800ca745c (__TEXT,__text) external _cblas_dsdot
00007ff800c9d5ce (__TEXT,__text) external _cblas_dspmv
00007ff800d9d701 (__TEXT,__text) external _cblas_dspr
00007ff800d19efc (__TEXT,__text) external _cblas_dspr2
00007ff800d609ce (__TEXT,__text) external _cblas_dswap
00007ff800c9c6b1 (__TEXT,__text) external _cblas_dsymm
00007ff800d42816 (__TEXT,__text) external _cblas_dsymv
00007ff800ccc130 (__TEXT,__text) external _cblas_dsyr
00007ff800ccc1fc (__TEXT,__text) external _cblas_dsyr2
00007ff800d64e8a (__TEXT,__text) external _cblas_dsyr2k
00007ff800d9cdbf (__TEXT,__text) external _cblas_dsyrk
00007ff800cacabd (__TEXT,__text) external _cblas_dtbmv
00007ff800cec769 (__TEXT,__text) external _cblas_dtbsv
00007ff800d85842 (__TEXT,__text) external _cblas_dtpmv
00007ff800cfacb0 (__TEXT,__text) external _cblas_dtpsv
00007ff800dae00a (__TEXT,__text) external _cblas_dtrmm
00007ff800c7e59f (__TEXT,__text) external _cblas_dtrmv
00007ff800c9e776 (__TEXT,__text) external _cblas_dtrsm
00007ff800cca069 (__TEXT,__text) external _cblas_dtrsv
00007ff800cad822 (__TEXT,__text) external _cblas_dzasum
00007ff800dfbd9f (__TEXT,__text) external _cblas_dznrm2
00007ff800e0476b (__TEXT,__text) external _cblas_errprn
00007ff800cd7110 (__TEXT,__text) external _cblas_icamax
00007ff800c7d8b0 (__TEXT,__text) external _cblas_idamax
00007ff800da280d (__TEXT,__text) external _cblas_isamax
00007ff800cf5079 (__TEXT,__text) external _cblas_izamax
00007ff800ca7539 (__TEXT,__text) external _cblas_sasum
00007ff800ca756d (__TEXT,__text) external _cblas_saxpy
00007ff800dd3561 (__TEXT,__text) external _cblas_scasum
00007ff800d489c6 (__TEXT,__text) external _cblas_scnrm2
00007ff800ca7678 (__TEXT,__text) external _cblas_scopy
00007ff800c81608 (__TEXT,__text) external _cblas_sdot
00007ff800ca74bb (__TEXT,__text) external _cblas_sdsdot
00007ff800dcafea (__TEXT,__text) external _cblas_sgbmv
00007ff800cb5ca0 (__TEXT,__text) external _cblas_sgemm
00007ff800cb5cf8 (__TEXT,__text) external _cblas_sgemm_singlecore
00007ff800c815bb (__TEXT,__text) external _cblas_sgemv
00007ff800d5e06c (__TEXT,__text) external _cblas_sgemv_singlecore
00007ff800d5dd9c (__TEXT,__text) external _cblas_sger
00007ff800c815a0 (__TEXT,__text) external _cblas_snrm2
00007ff800ca77dd (__TEXT,__text) external _cblas_srot
00007ff800df4194 (__TEXT,__text) external _cblas_srotg
00007ff800ca788d (__TEXT,__text) external _cblas_srotm
00007ff800df42a5 (__TEXT,__text) external _cblas_srotmg
00007ff800d16a8f (__TEXT,__text) external _cblas_ssbmv
00007ff800ca76ed (__TEXT,__text) external _cblas_sscal
00007ff800d50f62 (__TEXT,__text) external _cblas_sspmv
00007ff800d312fb (__TEXT,__text) external _cblas_sspr
00007ff800d5b68b (__TEXT,__text) external _cblas_sspr2
00007ff800ca774f (__TEXT,__text) external _cblas_sswap
00007ff800dc42f4 (__TEXT,__text) external _cblas_ssymm
00007ff800d51e6d (__TEXT,__text) external _cblas_ssymv
00007ff800d5e0bc (__TEXT,__text) external _cblas_ssyr
00007ff800d5e17a (__TEXT,__text) external _cblas_ssyr2
00007ff800ce92de (__TEXT,__text) external _cblas_ssyr2k
00007ff800d43cf0 (__TEXT,__text) external _cblas_ssyrk
00007ff800d6e6c7 (__TEXT,__text) external _cblas_stbmv
00007ff800cf298e (__TEXT,__text) external _cblas_stbsv
00007ff800dded42 (__TEXT,__text) external _cblas_stpmv
00007ff800dd7e12 (__TEXT,__text) external _cblas_stpsv
00007ff800d5d9ea (__TEXT,__text) external _cblas_strmm
00007ff800d5e28e (__TEXT,__text) external _cblas_strmv
00007ff800deb680 (__TEXT,__text) external _cblas_strsm
00007ff800d4ea9d (__TEXT,__text) external _cblas_strsv
00007ff800e04709 (__TEXT,__text) external _cblas_xerbla
00007ff800d63938 (__TEXT,__text) external _cblas_zaxpy
00007ff800cc50fd (__TEXT,__text) external _cblas_zcopy
00007ff800cb978c (__TEXT,__text) external _cblas_zdotc_sub
00007ff800dc3f7b (__TEXT,__text) external _cblas_zdotu_sub
00007ff800d958f0 (__TEXT,__text) external _cblas_zdrot
00007ff800dc419f (__TEXT,__text) external _cblas_zdscal
00007ff800dfc260 (__TEXT,__text) external _cblas_zgbmv
00007ff800dc0d0f (__TEXT,__text) external _cblas_zgemm
00007ff800dfca30 (__TEXT,__text) external _cblas_zgemv
00007ff800db9a30 (__TEXT,__text) external _cblas_zgerc
00007ff800ddeef5 (__TEXT,__text) external _cblas_zgeru
00007ff800dfd8e0 (__TEXT,__text) external _cblas_zhbmv
00007ff800d31984 (__TEXT,__text) external _cblas_zhemm
00007ff800dfe011 (__TEXT,__text) external _cblas_zhemv
00007ff800d741ab (__TEXT,__text) external _cblas_zher
00007ff800dfecb8 (__TEXT,__text) external _cblas_zher2
00007ff800da95b1 (__TEXT,__text) external _cblas_zher2k
00007ff800cb9398 (__TEXT,__text) external _cblas_zherk
00007ff800dff4bc (__TEXT,__text) external _cblas_zhpmv
00007ff800dffab7 (__TEXT,__text) external _cblas_zhpr
00007ff800dffe2e (__TEXT,__text) external _cblas_zhpr2
00007ff800dfbead (__TEXT,__text) external _cblas_zrotg
00007ff800d6b6f0 (__TEXT,__text) external _cblas_zscal
00007ff800d6a511 (__TEXT,__text) external _cblas_zswap
00007ff800d60c10 (__TEXT,__text) external _cblas_zsymm
00007ff800dbfb9f (__TEXT,__text) external _cblas_zsyr2k
00007ff800cd772b (__TEXT,__text) external _cblas_zsyrk
00007ff800e00582 (__TEXT,__text) external _cblas_ztbmv
00007ff800e00e58 (__TEXT,__text) external _cblas_ztbsv
00007ff800e01981 (__TEXT,__text) external _cblas_ztpmv
00007ff800e02051 (__TEXT,__text) external _cblas_ztpsv
00007ff800d6a5fc (__TEXT,__text) external _cblas_ztrmm
00007ff800e02f6e (__TEXT,__text) external _cblas_ztrmv
