                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _atoi (from libSystem)
00007ff811f821d2 (__TEXT,__text) non-external _au_assemble
00007ff8414b8500 (__DATA_CONST,__const) non-external _au_sflagsstr
00007ff811f82b75 (__TEXT,__text) external _au_sflagstostr
00007ff811f8a943 (__TEXT,__text) external _au_socket_type_to_bsm
00007ff811f830ee (__TEXT,__text) non-external _au_spacetobytes
00007ff811f8e858 (__TEXT,__text) external _au_strerror
00007ff811f82aaf (__TEXT,__text) external _au_strtopol
00007ff811f82c15 (__TEXT,__text) external _au_strtosflags
00007ff811f82378 (__TEXT,__text) non-external _au_teardown
00007ff811f8ab9a (__TEXT,__text) external _au_to_arg
00007ff811f8a9a7 (__TEXT,__text) external _au_to_arg32
00007ff811f8aa8b (__TEXT,__text) external _au_to_arg64
00007ff811f8c9b4 (__TEXT,__text) external _au_to_certificate_hash
00007ff811f8aba4 (__TEXT,__text) external _au_to_data
00007ff811f8c874 (__TEXT,__text) external _au_to_exec_args
00007ff811f8c9a5 (__TEXT,__text) external _au_to_exec_env
00007ff811f8ac89 (__TEXT,__text) external _au_to_exit
00007ff811f8b1b8 (__TEXT,__text) external _au_to_file
00007ff811f8ad2c (__TEXT,__text) external _au_to_groups
00007ff811f8d0ad (__TEXT,__text) external _au_to_header
00007ff811f8d007 (__TEXT,__text) external _au_to_header32
00007ff811f8cf75 (__TEXT,__text) external _au_to_header32_ex
00007ff811f8ccd5 (__TEXT,__text) external _au_to_header32_ex_tm
00007ff811f8cbda (__TEXT,__text) external _au_to_header32_tm
00007ff811f8d05a (__TEXT,__text) external _au_to_header64
00007ff811f8ce46 (__TEXT,__text) external _au_to_header64_tm
00007ff811f8d0b7 (__TEXT,__text) external _au_to_header_ex
00007ff811f8ca80 (__TEXT,__text) external _au_to_identity
00007ff811f8adec (__TEXT,__text) external _au_to_in_addr
00007ff811f8ae5a (__TEXT,__text) external _au_to_in_addr_ex
00007ff811f8aed1 (__TEXT,__text) external _au_to_ip
00007ff811f8af4f (__TEXT,__text) external _au_to_ipc
00007ff811f8afdb (__TEXT,__text) external _au_to_ipc_perm
00007ff811f8b0aa (__TEXT,__text) external _au_to_iport
00007ff811f8d143 (__TEXT,__text) external _au_to_kevent
00007ff811f8c9c3 (__TEXT,__text) external _au_to_krb5_principal
00007ff811f8c7ec (__TEXT,__text) external _au_to_me
00007ff811f8ad3e (__TEXT,__text) external _au_to_newgroups
00007ff811f8b114 (__TEXT,__text) external _au_to_opaque
00007ff811f8b36e (__TEXT,__text) external _au_to_path
00007ff811f8b70f (__TEXT,__text) external _au_to_process
00007ff811f8b41c (__TEXT,__text) external _au_to_process32
00007ff811f8b719 (__TEXT,__text) external _au_to_process32_ex
00007ff811f8b572 (__TEXT,__text) external _au_to_process64
00007ff811f8b935 (__TEXT,__text) external _au_to_process64_ex
00007ff811f8bb72 (__TEXT,__text) external _au_to_process_ex
00007ff811f8bcb9 (__TEXT,__text) external _au_to_return
00007ff811f8bb7c (__TEXT,__text) external _au_to_return32
00007ff811f8bc08 (__TEXT,__text) external _au_to_return64
00007ff811f8bcc3 (__TEXT,__text) external _au_to_seq
00007ff811f8c092 (__TEXT,__text) external _au_to_sock_inet
00007ff811f8c004 (__TEXT,__text) external _au_to_sock_inet128
00007ff811f8bf84 (__TEXT,__text) external _au_to_sock_inet32
00007ff811f8bec5 (__TEXT,__text) external _au_to_sock_unix
00007ff811f8bd3d (__TEXT,__text) external _au_to_socket_ex
00007ff811f8c883 (__TEXT,__text) non-external _au_to_strings
00007ff811f8c38f (__TEXT,__text) external _au_to_subject
00007ff811f8c09c (__TEXT,__text) external _au_to_subject32
00007ff811f8c399 (__TEXT,__text) external _au_to_subject32_ex
00007ff811f8c1f2 (__TEXT,__text) external _au_to_subject64
00007ff811f8c5ad (__TEXT,__text) external _au_to_subject64_ex
00007ff811f8c7e2 (__TEXT,__text) external _au_to_subject_ex
00007ff811f8b2c0 (__TEXT,__text) external _au_to_text
00007ff811f8d0c1 (__TEXT,__text) external _au_to_trailer
00007ff811f8c9d2 (__TEXT,__text) external _au_to_zonename
00007ff811f8d452 (__TEXT,__text) external _au_user_mask
00007ff811f82085 (__TEXT,__text) external _au_write
                 (undefined) external _audit (from libSystem)
00007ff843c79b08 (__DATA,__bss) non-external _audit_free_q
00007ff811f8e734 (__TEXT,__text) external _audit_get_car
00007ff811f8e504 (__TEXT,__text) external _audit_get_class
00007ff811f8da3b (__TEXT,__text) external _audit_get_cond
00007ff811f8e749 (__TEXT,__text) external _audit_get_ctlmode
00007ff811f8e71f (__TEXT,__text) external _audit_get_cwd
00007ff811f8e77a (__TEXT,__text) external _audit_get_expire_after
00007ff811f8e5c8 (__TEXT,__text) external _audit_get_fsize
00007ff811f8e4a2 (__TEXT,__text) external _audit_get_kaudit
00007ff811f8e566 (__TEXT,__text) external _audit_get_kmask
00007ff811f8e65b (__TEXT,__text) external _audit_get_pinfo
00007ff811f8e68c (__TEXT,__text) external _audit_get_pinfo_addr
00007ff811f8e204 (__TEXT,__text) external _audit_get_policy
00007ff811f8e339 (__TEXT,__text) external _audit_get_qctrl
00007ff811f8e2d2 (__TEXT,__text) external _audit_get_sflags
00007ff811f8e30d (__TEXT,__text) external _audit_get_sflags_mask
00007ff811f81eec (__TEXT,__text) external _audit_get_sinfo_addr
00007ff811f8e6bd (__TEXT,__text) external _audit_get_stat
00007ff843c79b00 (__DATA,__bss) non-external _audit_rec_count
00007ff811f8e48b (__TEXT,__text) external _audit_send_trigger
00007ff811f8e535 (__TEXT,__text) external _audit_set_class
00007ff811f8e19d (__TEXT,__text) external _audit_set_cond
00007ff811f8e5f9 (__TEXT,__text) external _audit_set_fsize
00007ff811f8e4d3 (__TEXT,__text) external _audit_set_kaudit
00007ff811f8e597 (__TEXT,__text) external _audit_set_kmask
00007ff811f8e62a (__TEXT,__text) external _audit_set_pmask
00007ff811f8e26b (__TEXT,__text) external _audit_set_policy
00007ff811f8e3e2 (__TEXT,__text) external _audit_set_qctrl
00007ff811f8e2e9 (__TEXT,__text) external _audit_set_sflags
00007ff811f8e323 (__TEXT,__text) external _audit_set_sflags_mask
00007ff811f8e6ee (__TEXT,__text) external _audit_set_stat
00007ff811f8db78 (__TEXT,__text) non-external _audit_set_terminal_host
00007ff811f8daa2 (__TEXT,__text) external _audit_set_terminal_id
00007ff811f8dc1c (__TEXT,__text) external _audit_set_terminal_id_ex
00007ff811f8dad7 (__TEXT,__text) non-external _audit_set_terminal_port
00007ff811f8d5da (__TEXT,__text) external _audit_submit
00007ff811f816a0 (__TEXT,__text) external _audit_token_to_asid
00007ff811f816e8 (__TEXT,__text) external _audit_token_to_au32
00007ff811f816c4 (__TEXT,__text) external _audit_token_to_auid
00007ff811f816cd (__TEXT,__text) external _audit_token_to_egid
00007ff811f816b2 (__TEXT,__text) external _audit_token_to_euid
00007ff811f816a9 (__TEXT,__text) external _audit_token_to_pid
00007ff811f816df (__TEXT,__text) external _audit_token_to_pidversion
00007ff811f816d6 (__TEXT,__text) external _audit_token_to_rgid
00007ff811f816bb (__TEXT,__text) external _audit_token_to_ruid
00007ff811f8dc51 (__TEXT,__text) external _audit_write
00007ff811f8df14 (__TEXT,__text) external _audit_write_failure
00007ff811f8dfd9 (__TEXT,__text) external _audit_write_failure_ex
00007ff811f8e13b (__TEXT,__text) external _audit_write_failure_na
00007ff811f8e16c (__TEXT,__text) external _audit_write_failure_na_ex
00007ff811f8e09e (__TEXT,__text) external _audit_write_failure_self
00007ff811f8ddd3 (__TEXT,__text) external _audit_write_success
00007ff811f8de4a (__TEXT,__text) external _audit_write_success_ex
00007ff811f8dec1 (__TEXT,__text) external _audit_write_success_self
                 (undefined) external _auditon (from libSystem)
00007ff811f89a63 (__TEXT,__text) non-external _be64dec
00007ff811f90300 (__TEXT,__const) non-external _bsm_domains
00007ff8414b85c0 (__DATA_CONST,__const) non-external _bsm_errnos
00007ff811f90580 (__TEXT,__const) non-external _bsm_fcntl_cmdtab
00007ff811f90530 (__TEXT,__const) non-external _bsm_socket_types
00007ff811f8a92e (__TEXT,__text) external _cannot_audit
                 (undefined) external _clearerr (from libSystem)
00007ff811f89f33 (__TEXT,__text) non-external _close_tag
                 (undefined) external _ctime_r (from libSystem)
00007ff811f82d75 (__TEXT,__text) external _endac
00007ff811f829d3 (__TEXT,__text) external _endauclass
00007ff811f836bf (__TEXT,__text) external _endauevent
00007ff811f8d17d (__TEXT,__text) external _endauuser
00007ff843c79f28 (__DATA,__bss) non-external _ev_cache
00007ff811f83b5a (__TEXT,__text) non-external _eventfromstr
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _ferror (from libSystem)
00007ff811f8523d (__TEXT,__text) non-external _fetch_arb_tok
00007ff811f843af (__TEXT,__text) non-external _fetch_arg32_tok
00007ff811f84424 (__TEXT,__text) non-external _fetch_arg64_tok
00007ff811f84499 (__TEXT,__text) non-external _fetch_attr32_tok
00007ff811f84547 (__TEXT,__text) non-external _fetch_attr64_tok
00007ff811f852b9 (__TEXT,__text) non-external _fetch_cert_hash_tok
00007ff811f84649 (__TEXT,__text) non-external _fetch_execarg_tok
00007ff811f84649 (__TEXT,__text) non-external _fetch_execenv_tok
00007ff811f84606 (__TEXT,__text) non-external _fetch_exit_tok
00007ff811f846c9 (__TEXT,__text) non-external _fetch_file_tok
00007ff811f83ff8 (__TEXT,__text) non-external _fetch_header32_ex_tok
00007ff811f83f48 (__TEXT,__text) non-external _fetch_header32_tok
00007ff811f84201 (__TEXT,__text) non-external _fetch_header64_ex_tok
00007ff811f8413c (__TEXT,__text) non-external _fetch_header64_tok
00007ff811f85337 (__TEXT,__text) non-external _fetch_identity_tok
00007ff811f847ae (__TEXT,__text) non-external _fetch_inaddr_ex_tok
00007ff811f84813 (__TEXT,__text) non-external _fetch_ip_tok
00007ff811f8491e (__TEXT,__text) non-external _fetch_ipc_tok
00007ff811f8495f (__TEXT,__text) non-external _fetch_ipcperm_tok
00007ff811f852b9 (__TEXT,__text) non-external _fetch_krb5_principal_tok
00007ff811f84740 (__TEXT,__text) non-external _fetch_newgroups_tok
00007ff811f84a27 (__TEXT,__text) non-external _fetch_process32_tok
00007ff811f84b27 (__TEXT,__text) non-external _fetch_process32ex_tok
00007ff811f84c5a (__TEXT,__text) non-external _fetch_process64_tok
00007ff811f84d6d (__TEXT,__text) non-external _fetch_process64ex_tok
00007ff811f8491e (__TEXT,__text) non-external _fetch_return32_tok
00007ff811f84eda (__TEXT,__text) non-external _fetch_return64_tok
00007ff811f8509c (__TEXT,__text) non-external _fetch_sock_inet128_tok
00007ff811f84fa9 (__TEXT,__text) non-external _fetch_sock_inet32_tok
00007ff811f85007 (__TEXT,__text) non-external _fetch_sock_unix_tok
00007ff811f84f1d (__TEXT,__text) non-external _fetch_socket_tok
00007ff811f850fe (__TEXT,__text) non-external _fetch_socketex32_tok
00007ff811f84a27 (__TEXT,__text) non-external _fetch_subject32_tok
00007ff811f84b27 (__TEXT,__text) non-external _fetch_subject32ex_tok
00007ff811f84c5a (__TEXT,__text) non-external _fetch_subject64_tok
00007ff811f84d6d (__TEXT,__text) non-external _fetch_subject64ex_tok
00007ff811f84368 (__TEXT,__text) non-external _fetch_trailer_tok
                 (undefined) external _fgetc (from libSystem)
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fileno (from libSystem)
00007ff843c79f20 (__DATA,__bss) non-external _firsttime
00007ff811f8a78e (__TEXT,__text) non-external _flush_cache
                 (undefined) external _fopen (from libSystem)
00007ff84371d180 (__DATA_DIRTY,__bss) non-external _fp
00007ff84371d190 (__DATA_DIRTY,__bss) non-external _fp
00007ff84371d1a0 (__DATA_DIRTY,__bss) non-external _fp
00007ff84371d1b0 (__DATA_DIRTY,__bss) non-external _fp
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fseek (from libSystem)
                 (undefined) external _fstat$INODE64 (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00007ff811f82dae (__TEXT,__text) external _getacdir
00007ff811f8338a (__TEXT,__text) external _getacexpire
00007ff811f82fe6 (__TEXT,__text) external _getacfilesz
00007ff811f83136 (__TEXT,__text) external _getacflg
00007ff811f832f7 (__TEXT,__text) external _getachost
00007ff811f82f83 (__TEXT,__text) external _getacmin
00007ff811f831c2 (__TEXT,__text) external _getacna
00007ff811f8324e (__TEXT,__text) external _getacpol
00007ff811f832e1 (__TEXT,__text) external _getacsflagsmask
00007ff811f82769 (__TEXT,__text) external _getauclassent
00007ff843c79c08 (__DATA,__bss) non-external _getauclassent.c
00007ff843c79bc0 (__DATA,__bss) non-external _getauclassent.class_ent_desc
00007ff843c79bb0 (__DATA,__bss) non-external _getauclassent.class_ent_name
00007ff843c79c20 (__DATA,__bss) non-external _getauclassent.cp
00007ff811f825e4 (__TEXT,__text) external _getauclassent_r
00007ff811f82618 (__TEXT,__text) non-external _getauclassent_r_locked
00007ff811f828a6 (__TEXT,__text) external _getauclassnam
00007ff843c79c78 (__DATA,__bss) non-external _getauclassnam.c
00007ff843c79c30 (__DATA,__bss) non-external _getauclassnam.class_ent_desc
00007ff843c79c28 (__DATA,__bss) non-external _getauclassnam.class_ent_name
00007ff811f8282d (__TEXT,__text) external _getauclassnam_r
00007ff811f8296e (__TEXT,__text) external _getauclassnum
00007ff843c79ce8 (__DATA,__bss) non-external _getauclassnum.c
00007ff843c79ca0 (__DATA,__bss) non-external _getauclassnum.class_ent_desc
00007ff843c79c90 (__DATA,__bss) non-external _getauclassnum.class_ent_name
00007ff811f8290c (__TEXT,__text) external _getauclassnum_r
                 (undefined) external _getaudit_addr (from libSystem)
00007ff811f83c72 (__TEXT,__text) external _getauditflagsbin
00007ff811f83dc7 (__TEXT,__text) external _getauditflagschar
00007ff811f837ac (__TEXT,__text) external _getauevent
00007ff843c79d68 (__DATA,__bss) non-external _getauevent.e
00007ff843c79d30 (__DATA,__bss) non-external _getauevent.event_ent_desc
00007ff843c79d10 (__DATA,__bss) non-external _getauevent.event_ent_name
00007ff811f836f8 (__TEXT,__text) external _getauevent_r
00007ff811f83902 (__TEXT,__text) external _getauevnam
00007ff843c79de8 (__DATA,__bss) non-external _getauevnam.e
00007ff843c79db0 (__DATA,__bss) non-external _getauevnam.event_ent_desc
00007ff843c79d90 (__DATA,__bss) non-external _getauevnam.event_ent_name
00007ff811f83816 (__TEXT,__text) external _getauevnam_r
00007ff811f83b46 (__TEXT,__text) external _getauevnonam
00007ff843c79f10 (__DATA,__bss) non-external _getauevnonam.event
00007ff811f83ab4 (__TEXT,__text) external _getauevnonam_r
00007ff843c79ee8 (__DATA,__bss) non-external _getauevnonam_r.e
00007ff843c79f08 (__DATA,__bss) non-external _getauevnonam_r.ep
00007ff843c79eb0 (__DATA,__bss) non-external _getauevnonam_r.event_ent_desc
00007ff843c79e90 (__DATA,__bss) non-external _getauevnonam_r.event_ent_name
00007ff811f83a48 (__TEXT,__text) external _getauevnum
00007ff843c79e68 (__DATA,__bss) non-external _getauevnum.e
00007ff843c79e30 (__DATA,__bss) non-external _getauevnum.event_ent_desc
00007ff843c79e10 (__DATA,__bss) non-external _getauevnum.event_ent_name
00007ff811f8396f (__TEXT,__text) external _getauevnum_r
00007ff811f8d32f (__TEXT,__text) external _getauuserent
00007ff843c79f68 (__DATA,__bss) non-external _getauuserent.u
00007ff843c79f30 (__DATA,__bss) non-external _getauuserent.user_ent_name
00007ff811f8d1b6 (__TEXT,__text) external _getauuserent_r
00007ff811f8d1ea (__TEXT,__text) non-external _getauuserent_r_locked
00007ff811f8d408 (__TEXT,__text) external _getauusernam
00007ff843c79fb8 (__DATA,__bss) non-external _getauusernam.u
00007ff843c79f80 (__DATA,__bss) non-external _getauusernam.user_ent_name
00007ff811f8d39d (__TEXT,__text) external _getauusernam_r
                 (undefined) external _getegid (from libSystem)
                 (undefined) external _geteuid (from libSystem)
00007ff811f8d512 (__TEXT,__text) external _getfauditflags
                 (undefined) external _getgid (from libSystem)
                 (undefined) external _getgrgid (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
00007ff811f82e35 (__TEXT,__text) non-external _getstrfromtype_locked
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
                 (undefined) external _inet_ntoa (from libSystem)
                 (undefined) external _inet_ntop (from libSystem)
                 (undefined) external _ioctl (from libSystem)
00007ff84371cd80 (__DATA_DIRTY,__bss) non-external _linestr
00007ff84371ce80 (__DATA_DIRTY,__bss) non-external _linestr
00007ff84371cf80 (__DATA_DIRTY,__bss) non-external _linestr
00007ff84371d080 (__DATA_DIRTY,__bss) non-external _linestr
00007ff811f8a6aa (__TEXT,__text) non-external _load_event_table
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00007ff84371cc00 (__DATA_DIRTY,__data) non-external _mutex
00007ff84371cc40 (__DATA_DIRTY,__data) non-external _mutex
00007ff84371cc80 (__DATA_DIRTY,__data) non-external _mutex
00007ff84371ccc0 (__DATA_DIRTY,__data) non-external _mutex
00007ff84371cd00 (__DATA_DIRTY,__data) non-external _mutex
00007ff84371cd40 (__DATA_DIRTY,__data) non-external _mutex
                 (undefined) external _notify_cancel (from libSystem)
                 (undefined) external _notify_check (from libSystem)
                 (undefined) external _notify_register_check (from libSystem)
00007ff843c79b10 (__DATA,__bss) non-external _open_desc_table
00007ff811f89de4 (__TEXT,__text) non-external _print_event
00007ff811f8a403 (__TEXT,__text) non-external _print_group
00007ff811f8a1ac (__TEXT,__text) non-external _print_ip_ex_address
00007ff811f8a4b6 (__TEXT,__text) non-external _print_ipctype
00007ff811f8a446 (__TEXT,__text) non-external _print_mem
00007ff811f8a51f (__TEXT,__text) non-external _print_retval
00007ff811f89eac (__TEXT,__text) non-external _print_sec32
00007ff811f8a24c (__TEXT,__text) non-external _print_sec64
00007ff811f8a2d2 (__TEXT,__text) non-external _print_string
00007ff811f89a6f (__TEXT,__text) non-external _print_tok_type
00007ff811f8a3c0 (__TEXT,__text) non-external _print_user
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
00007ff811f82cd9 (__TEXT,__text) external _setac
00007ff811f82d01 (__TEXT,__text) non-external _setac_locked
00007ff843c79d08 (__DATA,__bss) non-external _setac_locked.lastctime
00007ff811f827fb (__TEXT,__text) external _setauclass
00007ff811f8368d (__TEXT,__text) external _setauevent
00007ff811f8d14b (__TEXT,__text) external _setauuser
00007ff811f83563 (__TEXT,__text) non-external _setexpirecond
                 (undefined) external _sscanf (from libSystem)
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strcasestr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strerror (from libSystem)
                 (undefined) external _strlcat (from libSystem)
                 (undefined) external _strlcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strsep (from libSystem)
                 (undefined) external _strtok_r (from libSystem)
                 (undefined) external _strtoul (from libSystem)
                 (undefined) external _sysctl (from libSystem)
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00007ff84371d1c4 (__DATA_DIRTY,__bss) non-external _token
                 (undefined) external _vsnprintf (from libSystem)
