00007ff8163cbca3 (__TEXT,__text) non-external +[CalAlarm alarm]
00007ff8163d4f43 (__TEXT,__text) non-external -[CalCalendarItem hasAlarm]
00007ff8163d5e92 (__TEXT,__text) non-external -[CalCalendarItem hash]
00007ff8163d4df7 (__TEXT,__text) non-external -[CalCalendarItem initWithEKCalendarItem:]
00007ff8163d53d8 (__TEXT,__text) non-external -[CalCalendarItem isEqual:]
00007ff8163d4f59 (__TEXT,__text) non-external -[CalCalendarItem nextAlarmDate]
00007ff8163cc693 (__TEXT,__text) non-external -[CalCalendarItem notes]
00007ff8163d508b (__TEXT,__text) non-external -[CalCalendarItem removeAlarm:]
00007ff8163d50db (__TEXT,__text) non-external -[CalCalendarItem removeAlarms:]
00007ff8163d5205 (__TEXT,__text) non-external -[CalCalendarItem setAlarms:]
00007ff8163cbe92 (__TEXT,__text) non-external -[CalCalendarItem setCalendar:]
00007ff8163d5f1c (__TEXT,__text) non-external -[CalCalendarItem setEkCalendarItem:]
00007ff8163cb41f (__TEXT,__text) non-external -[CalCalendarItem setNotes:]
00007ff8163cb337 (__TEXT,__text) non-external -[CalCalendarItem setTitle:]
00007ff8163d5f37 (__TEXT,__text) non-external -[CalCalendarItem setUnsavedRelateToDictionary:]
00007ff8163cb435 (__TEXT,__text) non-external -[CalCalendarItem setUrl:]
00007ff8163d5ba0 (__TEXT,__text) non-external -[CalCalendarItem sortedAlarms]
00007ff8163cc67d (__TEXT,__text) non-external -[CalCalendarItem title]
00007ff8163cc651 (__TEXT,__text) non-external -[CalCalendarItem uid]
00007ff8163d5f2d (__TEXT,__text) non-external -[CalCalendarItem unsavedRelateToDictionary]
00007ff8163cc6a9 (__TEXT,__text) non-external -[CalCalendarItem url]
00007ff8163d149f (__TEXT,__text) non-external -[CalCalendarStore .cxx_destruct]
00007ff8163cf7aa (__TEXT,__text) non-external -[CalCalendarStore availableCalendarTitle:]
00007ff8163cf7be (__TEXT,__text) non-external -[CalCalendarStore availableCalendarTitle:forCalendar:]
00007ff8163cdc36 (__TEXT,__text) non-external -[CalCalendarStore calendarWithUID:]
00007ff8163ca9ae (__TEXT,__text) non-external -[CalCalendarStore calendars]
00007ff8163cdc2b (__TEXT,__text) non-external -[CalCalendarStore copyWithZone:]
00007ff8163ce5ef (__TEXT,__text) non-external -[CalCalendarStore ekSpanFromCalSpan:]
00007ff8163d1484 (__TEXT,__text) non-external -[CalCalendarStore eventStore]
00007ff8163cdd15 (__TEXT,__text) non-external -[CalCalendarStore eventWithUID:occurrence:]
00007ff8163cb09f (__TEXT,__text) non-external -[CalCalendarStore eventsWithPredicate:]
00007ff8163cf9e6 (__TEXT,__text) non-external -[CalCalendarStore generateUntitledTitle]
00007ff8163ce113 (__TEXT,__text) non-external -[CalCalendarStore handleUnsavedRelateToDictionaryWithCalendarItem:]
00007ff8163cd9e5 (__TEXT,__text) non-external -[CalCalendarStore initWithEventStore:]
00007ff8163cd9aa (__TEXT,__text) non-external -[CalCalendarStore init]
00007ff8163d01b8 (__TEXT,__text) non-external -[CalCalendarStore removeCalendar:error:]
00007ff8163cec10 (__TEXT,__text) non-external -[CalCalendarStore removeEvent:span:error:]
00007ff8163cf509 (__TEXT,__text) non-external -[CalCalendarStore removeTask:error:]
00007ff8163cfafa (__TEXT,__text) non-external -[CalCalendarStore saveCalendar:error:]
00007ff8163ce60c (__TEXT,__text) non-external -[CalCalendarStore saveEvent:span:error:]
00007ff8163cf027 (__TEXT,__text) non-external -[CalCalendarStore saveTask:error:]
00007ff8163d148e (__TEXT,__text) non-external -[CalCalendarStore setEventStore:]
00007ff8163ce034 (__TEXT,__text) non-external -[CalCalendarStore taskWithUID:]
00007ff8163cde12 (__TEXT,__text) non-external -[CalCalendarStore tasksWithPredicate:]
00007ff8163d2faf (__TEXT,__text) non-external -[CalEvent .cxx_destruct]
00007ff8163cd092 (__TEXT,__text) non-external -[CalEvent attendees]
00007ff8163cc2bf (__TEXT,__text) non-external -[CalEvent compareStartDate:]
00007ff8163cc350 (__TEXT,__text) non-external -[CalEvent description]
00007ff8163d2578 (__TEXT,__text) non-external -[CalEvent ekEvent]
00007ff8163ccf51 (__TEXT,__text) non-external -[CalEvent endDate]
00007ff8163d24cf (__TEXT,__text) non-external -[CalEvent init]
00007ff8163ccfa1 (__TEXT,__text) non-external -[CalEvent isAllDay]
00007ff8163d2d8f (__TEXT,__text) non-external -[CalEvent isDetached]
00007ff8163d259c (__TEXT,__text) non-external -[CalEvent isEqual:]
00007ff8163ccf01 (__TEXT,__text) non-external -[CalEvent location]
00007ff8163d2dd4 (__TEXT,__text) non-external -[CalEvent nextAlarmDate]
00007ff8163cce48 (__TEXT,__text) non-external -[CalEvent occurrence]
00007ff8163ccfe6 (__TEXT,__text) non-external -[CalEvent recurrenceRule]
00007ff8163d258a (__TEXT,__text) non-external -[CalEvent setEKEvent:]
00007ff8163d2f9b (__TEXT,__text) non-external -[CalEvent setEkEvent:]
00007ff8163cb3b6 (__TEXT,__text) non-external -[CalEvent setEndDate:]
00007ff8163cb4b4 (__TEXT,__text) non-external -[CalEvent setIsAllDay:]
00007ff8163cb44b (__TEXT,__text) non-external -[CalEvent setLocation:]
00007ff8163cb610 (__TEXT,__text) non-external -[CalEvent setRecurrenceRule:]
00007ff8163cb34d (__TEXT,__text) non-external -[CalEvent setStartDate:]
00007ff8163d2bdb (__TEXT,__text) non-external -[CalEvent sortedAttendees]
00007ff8163cb4fe (__TEXT,__text) non-external -[CalEvent startDate]
00007ff8163d4814 (__TEXT,__text) non-external -[CalNthWeekDay .cxx_destruct]
00007ff8163d4705 (__TEXT,__text) non-external -[CalNthWeekDay copyWithZone:]
00007ff8163d47cd (__TEXT,__text) non-external -[CalNthWeekDay dayOfTheWeek]
00007ff8163d4577 (__TEXT,__text) non-external -[CalNthWeekDay description]
00007ff8163d47f9 (__TEXT,__text) non-external -[CalNthWeekDay ekRecurrenceDayOfWeek]
00007ff8163d4632 (__TEXT,__text) non-external -[CalNthWeekDay hash]
00007ff8163d44e5 (__TEXT,__text) non-external -[CalNthWeekDay initWithEKRecurrenceDayOfWeek:]
00007ff8163d4648 (__TEXT,__text) non-external -[CalNthWeekDay isEqual:]
00007ff8163d4803 (__TEXT,__text) non-external -[CalNthWeekDay setEkRecurrenceDayOfWeek:]
00007ff8163d47e3 (__TEXT,__text) non-external -[CalNthWeekDay weekNumber]
00007ff8163cd561 (__TEXT,__text) non-external -[CalPredicate .cxx_destruct]
00007ff8163cd49d (__TEXT,__text) non-external -[CalPredicate copyWithZone:]
00007ff8163cafdd (__TEXT,__text) non-external -[CalPredicate initWithPredicate:]
00007ff8163cd4f3 (__TEXT,__text) non-external -[CalPredicate predicate]
00007ff8163cd489 (__TEXT,__text) non-external -[CalPredicate setSubpredicate:]
00007ff8163cd474 (__TEXT,__text) non-external -[CalPredicate subpredicate]
00007ff8163d4de7 (__TEXT,__text) non-external -[CalRecurrenceEnd .cxx_destruct]
00007ff8163d4b65 (__TEXT,__text) non-external -[CalRecurrenceEnd copyWithZone:]
00007ff8163d48e0 (__TEXT,__text) non-external -[CalRecurrenceEnd description]
00007ff8163d4dcc (__TEXT,__text) non-external -[CalRecurrenceEnd ekRecurrenceEnd]
00007ff8163d4da0 (__TEXT,__text) non-external -[CalRecurrenceEnd endDate]
00007ff8163d4a01 (__TEXT,__text) non-external -[CalRecurrenceEnd hash]
00007ff8163d4d0e (__TEXT,__text) non-external -[CalRecurrenceEnd initWithEKRecurrenceEnd:]
00007ff8163d4bc4 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithEndDate:]
00007ff8163d4c72 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithOccurrenceCount:]
00007ff8163d4a17 (__TEXT,__text) non-external -[CalRecurrenceEnd isEqual:]
00007ff8163d4db6 (__TEXT,__text) non-external -[CalRecurrenceEnd occurrenceCount]
00007ff8163d4dd6 (__TEXT,__text) non-external -[CalRecurrenceEnd setEkRecurrenceEnd:]
00007ff8163d48a7 (__TEXT,__text) non-external -[CalRecurrenceEnd usesEndDate]
00007ff8163d44d5 (__TEXT,__text) non-external -[CalRecurrenceRule .cxx_destruct]
00007ff8163cb718 (__TEXT,__text) non-external -[CalRecurrenceRule copyWithZone:]
00007ff8163cb9e8 (__TEXT,__text) non-external -[CalRecurrenceRule daysOfTheMonth]
00007ff8163cb7c0 (__TEXT,__text) non-external -[CalRecurrenceRule daysOfTheWeek]
00007ff8163cd3e8 (__TEXT,__text) non-external -[CalRecurrenceRule description]
00007ff8163d44ba (__TEXT,__text) non-external -[CalRecurrenceRule ekRecurrenceRule]
00007ff8163d44b2 (__TEXT,__text) non-external -[CalRecurrenceRule firstDayOfTheWeek]
00007ff8163d366f (__TEXT,__text) non-external -[CalRecurrenceRule hash]
00007ff8163cb54e (__TEXT,__text) non-external -[CalRecurrenceRule initDailyRecurrenceWithInterval:end:]
00007ff8163d3054 (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:end:]
00007ff8163d321b (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:forDayOfTheWeek:forWeekOfTheMonth:end:]
00007ff8163d3119 (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:forDaysOfTheMonth:end:]
00007ff8163cbee2 (__TEXT,__text) non-external -[CalRecurrenceRule initWeeklyRecurrenceWithInterval:end:]
00007ff8163cbfff (__TEXT,__text) non-external -[CalRecurrenceRule initWeeklyRecurrenceWithInterval:forDaysOfTheWeek:end:]
00007ff8163d2fc2 (__TEXT,__text) non-external -[CalRecurrenceRule initWithEKRecurrenceRule:]
00007ff8163d334d (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:end:]
00007ff8163d3510 (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:forDayOfTheWeek:forWeekOfTheMonth:forMonthsOfTheYear:end:]
00007ff8163d3412 (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:forMonthsOfTheYear:end:]
00007ff8163d3685 (__TEXT,__text) non-external -[CalRecurrenceRule isEqual:]
00007ff8163cbc23 (__TEXT,__text) non-external -[CalRecurrenceRule monthsOfTheYear]
00007ff8163cb9fe (__TEXT,__text) non-external -[CalRecurrenceRule nthWeekDaysOfTheMonth]
00007ff8163cbc39 (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceEnd]
00007ff8163cb7aa (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceInterval]
00007ff8163cb782 (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceType]
00007ff8163d44c4 (__TEXT,__text) non-external -[CalRecurrenceRule setEkRecurrenceRule:]
00007ff8163d3c99 (__TEXT,__text) non-external -[CalRecurrenceRule stringValueAsDateOnly:isFloating:]
00007ff8163d67dd (__TEXT,__text) non-external -[CalTask .cxx_destruct]
00007ff8163d60e5 (__TEXT,__text) non-external -[CalTask completedDate]
00007ff8163d6484 (__TEXT,__text) non-external -[CalTask description]
00007ff8163d619e (__TEXT,__text) non-external -[CalTask dueDate]
00007ff8163d6032 (__TEXT,__text) non-external -[CalTask ekReminder]
00007ff8163d5f89 (__TEXT,__text) non-external -[CalTask init]
00007ff8163d6056 (__TEXT,__text) non-external -[CalTask isCompleted]
00007ff8163d6585 (__TEXT,__text) non-external -[CalTask isEqual:]
00007ff8163d62e7 (__TEXT,__text) non-external -[CalTask nextAlarmDate]
00007ff8163d6257 (__TEXT,__text) non-external -[CalTask priority]
00007ff8163d6135 (__TEXT,__text) non-external -[CalTask setCompletedDate:]
00007ff8163d61ee (__TEXT,__text) non-external -[CalTask setDueDate:]
00007ff8163d6044 (__TEXT,__text) non-external -[CalTask setEKReminder:]
00007ff8163d67c9 (__TEXT,__text) non-external -[CalTask setEkReminder:]
00007ff8163d609b (__TEXT,__text) non-external -[CalTask setIsCompleted:]
00007ff8163d629b (__TEXT,__text) non-external -[CalTask setPriority:]
00007ff8163d7ce8 (__TEXT,__gcc_except_tab) non-external GCC_except_table0
00007ff8163d7cfc (__TEXT,__gcc_except_tab) non-external GCC_except_table4
00007ff8163d7d10 (__TEXT,__gcc_except_tab) non-external GCC_except_table8
00007ff841dd5b78 (__DATA_CONST,__const) external _CalAlarmActionDisplay
00007ff841dd5b80 (__DATA_CONST,__const) external _CalAlarmActionEmail
00007ff841dd5b88 (__DATA_CONST,__const) external _CalAlarmActionProcedure
00007ff841dd5b90 (__DATA_CONST,__const) external _CalAlarmActionSound
00007ff841dd5a08 (__DATA_CONST,__const) external _CalAttendeeStatusAccepted
00007ff841dd5a28 (__DATA_CONST,__const) external _CalAttendeeStatusCompleted
00007ff841dd5a10 (__DATA_CONST,__const) external _CalAttendeeStatusDeclined
00007ff841dd5a20 (__DATA_CONST,__const) external _CalAttendeeStatusDelegated
00007ff841dd5a30 (__DATA_CONST,__const) external _CalAttendeeStatusInProcess
00007ff841dd5a00 (__DATA_CONST,__const) external _CalAttendeeStatusNeedsAction
00007ff841dd5a18 (__DATA_CONST,__const) external _CalAttendeeStatusTentative
00007ff841dd5ad0 (__DATA_CONST,__const) external _CalCalendarStoreErrorDomain
00007ff841dd5b08 (__DATA_CONST,__const) external _CalCalendarTypeBirthday
00007ff841dd5b10 (__DATA_CONST,__const) external _CalCalendarTypeCalDAV
00007ff841dd5b30 (__DATA_CONST,__const) external _CalCalendarTypeExchange
00007ff841dd5b18 (__DATA_CONST,__const) external _CalCalendarTypeIMAP
00007ff841dd5b20 (__DATA_CONST,__const) external _CalCalendarTypeLocal
00007ff841dd5b28 (__DATA_CONST,__const) external _CalCalendarTypeSubscription
00007ff841dd5b38 (__DATA_CONST,__const) external _CalCalendarTypeSuggestions
00007ff841dd5b40 (__DATA_CONST,__const) external _CalCalendarTypeUnknown
00007ff841dd5a90 (__DATA_CONST,__const) external _CalCalendarsChangedExternallyNotification
00007ff841dd5a78 (__DATA_CONST,__const) external _CalCalendarsChangedNotification
00007ff8163d7f00 (__TEXT,__const) external _CalDefaultRecurrenceInterval
00007ff841dd5ab8 (__DATA_CONST,__const) external _CalDeletedRecordsKey
00007ff841dd5a98 (__DATA_CONST,__const) external _CalEventsChangedExternallyNotification
00007ff841dd5a80 (__DATA_CONST,__const) external _CalEventsChangedNotification
00007ff841dd5aa8 (__DATA_CONST,__const) external _CalInsertedRecordsKey
00007ff841dd5ac0 (__DATA_CONST,__const) external _CalSenderProcessIDKey
00007ff841dd5c08 (__DATA_CONST,__const) external _CalStoreAPI_NS_Log
00007ff841dd5aa0 (__DATA_CONST,__const) external _CalTasksChangedExternallyNotification
00007ff841dd5a88 (__DATA_CONST,__const) external _CalTasksChangedNotification
00007ff841dd5ab0 (__DATA_CONST,__const) external _CalUpdatedRecordsKey
00007ff841dd5ac8 (__DATA_CONST,__const) external _CalUserUIDKey
                 (undefined) external _EKErrorDomain (from EventKit)
                 (undefined) external _NSInvalidArgumentException (from CoreFoundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSLocalizedRecoverySuggestionErrorKey (from Foundation)
00007ff84389ba50 (__DATA,__objc_data) external _OBJC_CLASS_$_CalAlarm
00007ff84389b960 (__DATA,__objc_data) external _OBJC_CLASS_$_CalAttendee
00007ff84389ba00 (__DATA,__objc_data) external _OBJC_CLASS_$_CalCalendar
00007ff84389bbe0 (__DATA,__objc_data) external _OBJC_CLASS_$_CalCalendarItem
00007ff84389b9b0 (__DATA,__objc_data) external _OBJC_CLASS_$_CalCalendarStore
00007ff84389baa0 (__DATA,__objc_data) external _OBJC_CLASS_$_CalEvent
00007ff84389bb40 (__DATA,__objc_data) external _OBJC_CLASS_$_CalNthWeekDay
00007ff84389b910 (__DATA,__objc_data) external _OBJC_CLASS_$_CalPredicate
00007ff84389bb90 (__DATA,__objc_data) external _OBJC_CLASS_$_CalRecurrenceEnd
00007ff84389baf0 (__DATA,__objc_data) external _OBJC_CLASS_$_CalRecurrenceRule
00007ff84389bc30 (__DATA,__objc_data) external _OBJC_CLASS_$_CalTask
                 (undefined) external _OBJC_CLASS_$_EKAlarm (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKCalendar (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKEvent (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKEventStore (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKPredicate (from CalendarDaemon)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceDayOfWeek (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceEnd (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceRule (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKReminder (from EventKit)
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCalendarDate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSortDescriptor (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
00007ff84389b8c0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._ekAlarm
00007ff84389b8c8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._relatedToString
00007ff84389b8d0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._unsavedRelateToDictionary
00007ff84389b8a8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAttendee._ekParticipant
00007ff84389b8b8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendar._ekCalendar
00007ff84389b8f8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarItem._ekCalendarItem
00007ff84389b900 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarItem._unsavedRelateToDictionary
00007ff84389b8b0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarStore._eventStore
00007ff84389b8d8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalEvent._ekEvent
00007ff84389b8e8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalNthWeekDay._ekRecurrenceDayOfWeek
00007ff84389b8a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalPredicate._subpredicate
00007ff84389b8f0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceEnd._ekRecurrenceEnd
