                 (undefined) external _AuthorizationCopyInfo (from Security)
                 (undefined) external _AuthorizationCopyRights (from Security)
                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationFreeItemSet (from Security)
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateData (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateWithStream (from CoreFoundation)
                 (undefined) external _CFReadStreamCreateWithFile (from CoreFoundation)
                 (undefined) external _CFReadStreamOpen (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFURLCreateWithFileSystemPath (from CoreFoundation)
00007ff812c9ab83 (__TEXT,__text) external _FSp_krb_get_svc_in_tkt
00007ff812c9abba (__TEXT,__text) external _KClientSetLocalRealmDeprecated
00007ff812c9ac28 (__TEXT,__text) external _KClientSetNthServerPortDeprecated
00007ff812c9ae76 (__TEXT,__text) external _KClientSetRemoteAddress
00007ff812c9ae4a (__TEXT,__text) external _KClientSetServerPrincipal
00007ff812c9ad4d (__TEXT,__text) external _KClientStatusCompat
00007ff812c9af68 (__TEXT,__text) external _KClientV4StringToPrincipal
00007ff812c9af10 (__TEXT,__text) external _KClientVerifyAuthenticator
00007ff812c9aefa (__TEXT,__text) external _KClientVerifyEncryptedServiceReply
00007ff812c9af52 (__TEXT,__text) external _KClientVerifyIntegrity
00007ff812c9ad84 (__TEXT,__text) external _KClientVerifyIntegrityCompat
00007ff812c9af05 (__TEXT,__text) external _KClientVerifyProtectedServiceReply
00007ff812c9ade7 (__TEXT,__text) external _KClientVerifyReplyTicketCompat
00007ff812c9adf2 (__TEXT,__text) external _KClientVerifyUnencryptedReplyTicketCompat
00007ff812c9acf5 (__TEXT,__text) external _KClientVersionCompat
00007ff812c957ee (__TEXT,__text) external _KLAcquireInitialTickets
00007ff812c9594a (__TEXT,__text) external _KLAcquireInitialTicketsWithPassword
00007ff812c96082 (__TEXT,__text) external _KLAcquireNewInitialTicketCredentialsWithPassword
00007ff812c958c0 (__TEXT,__text) external _KLAcquireNewInitialTickets
00007ff812c960a8 (__TEXT,__text) external _KLAcquireNewInitialTicketsWithKeytab
00007ff812c95a02 (__TEXT,__text) external _KLAcquireNewInitialTicketsWithPassword
00007ff812c9586b (__TEXT,__text) external _KLAcquireNewTickets
00007ff812c959bd (__TEXT,__text) external _KLAcquireNewTicketsWithPassword
00007ff812c957ac (__TEXT,__text) external _KLAcquireTickets
00007ff812c95905 (__TEXT,__text) external _KLAcquireTicketsWithPassword
00007ff812c95b6b (__TEXT,__text) external _KLCacheHasValidTickets
00007ff812c9681a (__TEXT,__text) external _KLCancelAllDialogs
00007ff812c96077 (__TEXT,__text) external _KLChangePassword
00007ff812c96822 (__TEXT,__text) external _KLChangePasswordWithPasswords
00007ff812c96c40 (__TEXT,__text) external _KLComparePrincipal
00007ff812c9691a (__TEXT,__text) external _KLCountKerberosRealms
00007ff812c96cd5 (__TEXT,__text) external _KLCreateLoginOptions
00007ff812c96a0d (__TEXT,__text) external _KLCreatePrincipalFromKerberos5Principal
00007ff812c96a3c (__TEXT,__text) external _KLCreatePrincipalFromPrincipal
00007ff812c96985 (__TEXT,__text) external _KLCreatePrincipalFromString
00007ff812c96948 (__TEXT,__text) external _KLCreatePrincipalFromTriplet
00007ff812c96039 (__TEXT,__text) external _KLDestroyTickets
00007ff812c96e91 (__TEXT,__text) external _KLDisposeLoginOptions
00007ff812c96c99 (__TEXT,__text) external _KLDisposePrincipal
00007ff812c96ede (__TEXT,__text) external _KLDisposeString
00007ff812c96853 (__TEXT,__text) external _KLFindKerberosRealmByName
00007ff812c95b60 (__TEXT,__text) external _KLGetApplicationOptions
00007ff812c9683d (__TEXT,__text) external _KLGetDefaultLoginOption
00007ff812c96bb8 (__TEXT,__text) external _KLGetDisplayStringFromPrincipal
00007ff812c96793 (__TEXT,__text) external _KLGetErrorString
00007ff812c96835 (__TEXT,__text) external _KLGetIdleCallback
00007ff812c96925 (__TEXT,__text) external _KLGetKerberosDefaultRealm
00007ff812c968b9 (__TEXT,__text) external _KLGetKerberosDefaultRealmByName
00007ff812c968ed (__TEXT,__text) external _KLGetKerberosRealm
00007ff812c96b30 (__TEXT,__text) external _KLGetStringFromPrincipal
00007ff812c96a6b (__TEXT,__text) external _KLGetTripletFromPrincipal
00007ff812c9678b (__TEXT,__text) external _KLHandleError
00007ff812c9690a (__TEXT,__text) external _KLInsertKerberosRealm
00007ff812c96364 (__TEXT,__text) external _KLLastChangedTime
00007ff812c96e14 (__TEXT,__text) external _KLLoginOptionsSetAddressless
00007ff812c96d7e (__TEXT,__text) external _KLLoginOptionsSetForwardable
00007ff812c96db0 (__TEXT,__text) external _KLLoginOptionsSetProxiable
00007ff812c96de2 (__TEXT,__text) external _KLLoginOptionsSetRenewableLifetime
00007ff812c96e4e (__TEXT,__text) external _KLLoginOptionsSetServiceName
00007ff812c96d4c (__TEXT,__text) external _KLLoginOptionsSetTicketLifetime
00007ff812c96e31 (__TEXT,__text) external _KLLoginOptionsSetTicketStartTime
00007ff812c96912 (__TEXT,__text) external _KLRemoveAllKerberosRealms
00007ff812c96902 (__TEXT,__text) external _KLRemoveKerberosRealm
00007ff812c960b3 (__TEXT,__text) external _KLRenewInitialTickets
00007ff812c95b58 (__TEXT,__text) external _KLSetApplicationOptions
00007ff812c96848 (__TEXT,__text) external _KLSetDefaultLoginOption
00007ff812c9682d (__TEXT,__text) external _KLSetIdleCallback
00007ff812c96938 (__TEXT,__text) external _KLSetKerberosDefaultRealm
00007ff812c96940 (__TEXT,__text) external _KLSetKerberosDefaultRealmByName
00007ff812c968fa (__TEXT,__text) external _KLSetKerberosRealm
00007ff812c966f5 (__TEXT,__text) external _KLSetSystemDefaultCache
00007ff812c9608d (__TEXT,__text) external _KLStoreNewInitialTicketCredentials
00007ff812c96648 (__TEXT,__text) external _KLTicketExpirationTime
00007ff812c9659b (__TEXT,__text) external _KLTicketStartTime
00007ff812c9635c (__TEXT,__text) external _KLValidateInitialTickets
00007ff812c960a0 (__TEXT,__text) external _KLVerifyInitialTicketCredentials
00007ff812c96098 (__TEXT,__text) external _KLVerifyInitialTickets
00007ff812c9a890 (__TEXT,__text) external _KPCreatePreferencesFile
00007ff812c9a874 (__TEXT,__text) external _KPFreeListOfPreferencesFiles
00007ff812c9a869 (__TEXT,__text) external _KPGetListOfPreferencesFiles
00007ff812c9a85e (__TEXT,__text) external _KPInitializeWithDefaultKerberosLibraryPreferences
00007ff812c9a87a (__TEXT,__text) external _KPPreferencesFileIsReadable
00007ff812c9a885 (__TEXT,__text) external _KPPreferencesFileIsWritable
00007ff812c9adb0 (__TEXT,__text) external _KServerAddKeyCompat
00007ff812c9adbb (__TEXT,__text) external _KServerGetKeyCompat
00007ff812c9ada5 (__TEXT,__text) external _KServerGetReplyTicketCompat
00007ff812c9adc6 (__TEXT,__text) external _KServerGetSessionTimeRemainingCompat
00007ff812c9ad8f (__TEXT,__text) external _KServerNewSessionCompat
00007ff812c9ad9a (__TEXT,__text) external _KServerVerifyTicketCompat
00007ff812c99759 (__TEXT,__text) non-external _MYstrdup
                 (undefined) external __DefaultRuneLocale (from libSystem)
00007ff8437aa8e0 (__DATA,__bss) non-external __DeprecatedFunctionStringReturn.string
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00007ff812c96f14 (__TEXT,__text) external ___KLAllowAutomaticPrompting
00007ff812c96f01 (__TEXT,__text) external ___KLAllowHomeDirectoryAccess
00007ff812c96f2f (__TEXT,__text) external ___KLAllowRememberPassword
00007ff812c96f93 (__TEXT,__text) external ___KLCreatePrincipalFromKerberos5Principal
00007ff812c96f37 (__TEXT,__text) external ___KLCreatePrincipalFromTriplet
00007ff812c96fc2 (__TEXT,__text) external ___KLGetKerberos5PrincipalFromPrincipal
00007ff812c96fd5 (__TEXT,__text) external ___KLGetKeychainPasswordForPrincipal
00007ff812c96f65 (__TEXT,__text) external ___KLGetTripletFromPrincipal
00007ff812c96ff0 (__TEXT,__text) non-external (was a private external) ___KLLoginOptionsGetKerberos5Options
00007ff812c96ff0 (__TEXT,__text) non-external (was a private external) ___KLLoginOptionsGetServiceName
00007ff812c96ff0 (__TEXT,__text) non-external (was a private external) ___KLLoginOptionsGetStartTime
00007ff812c96fcd (__TEXT,__text) external ___KLPrincipalIsTicketGrantingService
00007ff812c96fe0 (__TEXT,__text) external ___KLPrincipalSetKeychainPassword
00007ff812c96f24 (__TEXT,__text) external ___KLPromptMechanism
00007ff812c96fe8 (__TEXT,__text) external ___KLRemoveKeychainPasswordForPrincipal
00007ff812c96eeb (__TEXT,__text) external ___KLSetApplicationPrompter
00007ff812c96f0c (__TEXT,__text) external ___KLSetAutomaticPrompting
00007ff812c96ef3 (__TEXT,__text) external ___KLSetHomeDirectoryAccess
00007ff812c96f1c (__TEXT,__text) external ___KLSetPromptMechanism
00007ff812c95160 (__TEXT,__text) external ___KerberosDebugLogLevel
00007ff812c95168 (__TEXT,__text) external ___KerberosDebugPrint
00007ff812c95174 (__TEXT,__text) external ___KerberosDebugPrintMemory
00007ff812c9517a (__TEXT,__text) external ___KerberosDebugPrintSession
00007ff812c9516e (__TEXT,__text) external ___KerberosDebugVAPrint
00007ff8437aa2e8 (__DATA,__data) external ___KerberosInternal_krb5_defkeyname
00007ff812c91986 (__TEXT,__text) external ___KerberosInternal_krb5int_sendtokdc_debug_handler
                 (undefined) external ___assert_rtn (from libSystem)
00007ff84180f7c8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ff84180f848 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.11
00007ff84180f808 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.6
00007ff84180f7e8 (__DATA_CONST,__const) non-external ___block_literal_global
00007ff84180f868 (__DATA_CONST,__const) non-external ___block_literal_global.12
00007ff84180f828 (__DATA_CONST,__const) non-external ___block_literal_global.7
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
00007ff812c948bc (__TEXT,__text) non-external ___error_message_block_invoke
00007ff812c90e53 (__TEXT,__text) non-external ___init_log_block_invoke
                 (undefined) external ___maskrune (from libSystem)
00007ff812c94029 (__TEXT,__text) non-external ___mshim_ctx_block_invoke
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external _abort (from libSystem)
00007ff812c95c84 (__TEXT,__text) non-external _acquireticket_ui
00007ff812c99010 (__TEXT,__text) non-external _add_data_to_buffer
00007ff812c90f82 (__TEXT,__text) external _add_error_table
00007ff812c97ac4 (__TEXT,__text) non-external _add_to_list
00007ff812c9c45a (__TEXT,__text) external _apple_gss_krb5_export_authdata_if_relevant_context
00007ff812c9c549 (__TEXT,__text) external _apple_gss_krb5_free_authdata_if_relevant
                 (undefined) external _asprintf (from libSystem)
00007ff812c90f8a (__TEXT,__text) external _cc_close
00007ff812c90f92 (__TEXT,__text) external _cc_create
00007ff812c90f9a (__TEXT,__text) external _cc_destroy
00007ff812c90fa2 (__TEXT,__text) external _cc_free_NC_info
00007ff812c90faa (__TEXT,__text) external _cc_free_creds
00007ff812c90fb2 (__TEXT,__text) external _cc_free_name
00007ff812c90fba (__TEXT,__text) external _cc_free_principal
00007ff8437aa1c8 (__DATA,__data) non-external (was a private external) _cc_functions
00007ff812c90fc2 (__TEXT,__text) external _cc_get_NC_info
00007ff812c90fca (__TEXT,__text) external _cc_get_change_time
00007ff812c90fd2 (__TEXT,__text) external _cc_get_cred_version
00007ff812c90fda (__TEXT,__text) external _cc_get_name
00007ff812c90fe2 (__TEXT,__text) external _cc_get_principal
00007ff812c92854 (__TEXT,__text) external _cc_initialize
00007ff812c9384a (__TEXT,__text) non-external _cc_iterator_clone
00007ff812c91f52 (__TEXT,__text) non-external (was a private external) _cc_iterator_next
00007ff812c9380a (__TEXT,__text) non-external _cc_iterator_release
00007ff812c90fea (__TEXT,__text) external _cc_open
00007ff812c90ff2 (__TEXT,__text) external _cc_remove_cred
00007ff812c90ffa (__TEXT,__text) external _cc_seq_fetch_NCs_begin
00007ff812c91002 (__TEXT,__text) external _cc_seq_fetch_NCs_end
00007ff812c9100a (__TEXT,__text) external _cc_seq_fetch_NCs_next
00007ff812c91012 (__TEXT,__text) external _cc_seq_fetch_creds_begin
00007ff812c9101a (__TEXT,__text) external _cc_seq_fetch_creds_end
00007ff812c91022 (__TEXT,__text) external _cc_seq_fetch_creds_next
00007ff812c9102a (__TEXT,__text) external _cc_set_principal
00007ff812c91032 (__TEXT,__text) external _cc_shutdown
00007ff812c9103a (__TEXT,__text) external _cc_store
00007ff812c9375e (__TEXT,__text) non-external _ccache_clear_kdc_time_offset
00007ff812c93547 (__TEXT,__text) non-external _ccache_compare
00007ff812c92902 (__TEXT,__text) non-external _ccache_destroy
00007ff8437aa230 (__DATA,__data) non-external _ccache_functions
00007ff812c93500 (__TEXT,__text) non-external _ccache_get_change_time
00007ff812c929db (__TEXT,__text) non-external _ccache_get_credentials_version
00007ff812c93620 (__TEXT,__text) non-external _ccache_get_kdc_time_offset
00007ff812c934ac (__TEXT,__text) non-external _ccache_get_last_default_time
00007ff812c929f4 (__TEXT,__text) non-external _ccache_get_name
00007ff812c92a83 (__TEXT,__text) non-external _ccache_get_principal
00007ff8437aa2d0 (__DATA,__data) non-external _ccache_iterator_functions
00007ff812c93472 (__TEXT,__text) non-external _ccache_lock
00007ff812c933c0 (__TEXT,__text) non-external _ccache_move
00007ff812c932f2 (__TEXT,__text) non-external _ccache_new_credentials_iterator
00007ff812c91f0b (__TEXT,__text) non-external (was a private external) _ccache_release
00007ff812c9311d (__TEXT,__text) non-external _ccache_remove_credentials
00007ff812c92964 (__TEXT,__text) non-external _ccache_set_default
00007ff812c936d3 (__TEXT,__text) non-external _ccache_set_kdc_time_offset
00007ff812c92ba1 (__TEXT,__text) non-external _ccache_set_principal
00007ff812c92cb1 (__TEXT,__text) non-external _ccache_store_credentials
00007ff812c9348f (__TEXT,__text) non-external _ccache_unlock
00007ff812c937bd (__TEXT,__text) non-external _ccache_wait_for_change
00007ff812c937c8 (__TEXT,__text) non-external _check_exists
                 (undefined) external _com_err (from Heimdal)
                 (indirect) external _com_err (for _com_err)
                 (undefined) external _com_err_va (from Heimdal)
                 (indirect) external _com_err_va (for _com_err_va)
00007ff84180f8f0 (__DATA_CONST,__const) non-external _conf_no
00007ff84180f8b0 (__DATA_CONST,__const) non-external _conf_yes
00007ff8437aa480 (__DATA,__bss) non-external _context_change_time
00007ff812c92828 (__TEXT,__text) non-external _context_compare
00007ff812c923af (__TEXT,__text) non-external _context_create_ccache
00007ff812c924ec (__TEXT,__text) non-external _context_create_default_ccache
00007ff812c92654 (__TEXT,__text) non-external _context_create_new_ccache
00007ff812c92125 (__TEXT,__text) non-external _context_get_change_time
00007ff812c92162 (__TEXT,__text) non-external _context_get_default_ccache_name
00007ff812c92818 (__TEXT,__text) non-external _context_lock
00007ff812c92796 (__TEXT,__text) non-external _context_new_ccache_iterator
00007ff812c921e9 (__TEXT,__text) non-external _context_open_ccache
00007ff812c922e1 (__TEXT,__text) non-external _context_open_default_ccache
00007ff812c920f0 (__TEXT,__text) non-external _context_release
00007ff812c92820 (__TEXT,__text) non-external _context_unlock
00007ff812c92849 (__TEXT,__text) non-external _context_wait_for_change
00007ff812c920ac (__TEXT,__text) non-external _create_ccache
00007ff812c91a12 (__TEXT,__text) non-external _cred_compare
00007ff812c91eb5 (__TEXT,__text) non-external (was a private external) _cred_iter_clone
00007ff8437aa1b0 (__DATA,__data) non-external (was a private external) _cred_iter_functions
00007ff812c91a23 (__TEXT,__text) non-external (was a private external) _cred_iter_next
00007ff812c91ec0 (__TEXT,__text) non-external _cred_iter_release
00007ff812c919d3 (__TEXT,__text) non-external _cred_release
00007ff8437aa1a0 (__DATA,__data) non-external (was a private external) _credential_functions
                 (undefined) external _decode_Ticket (from Heimdal)
00007ff812c9a8a6 (__TEXT,__text) external _decomp_ticket
00007ff812c9aad4 (__TEXT,__text) external _dest_all_tkts
00007ff812c9aaab (__TEXT,__text) external _dest_tkt
00007ff812c9404b (__TEXT,__text) non-external _destroy_ctx
                 (undefined) external _dispatch_once (from libSystem)
00007ff8437aa4b0 (__DATA,__bss) non-external _do_log
00007ff812c98bb8 (__TEXT,__text) non-external _dump_profile
00007ff812c98fec (__TEXT,__text) non-external _dump_profile_to_buffer_cb
00007ff812c98f49 (__TEXT,__text) non-external _dump_profile_to_file_cb
00007ff812c91042 (__TEXT,__text) external _encode_krb5_as_req
00007ff812c97b3f (__TEXT,__text) non-external _end_list
00007ff812c94850 (__TEXT,__text) external _error_message
00007ff8437aa4d0 (__DATA,__bss) non-external _error_message.buffer
00007ff8437aa4c0 (__DATA,__bss) non-external _error_message.et_list
00007ff8437aa4b8 (__DATA,__bss) non-external _error_message.once
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _feof (from libSystem)
00007ff812c96403 (__TEXT,__text) non-external _fetch_creds
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _free_Ticket (from Heimdal)
                 (undefined) external _fseek (from libSystem)
00007ff8437aa8d8 (__DATA,__bss) non-external _g_cc_change_time
00007ff8437aa2f0 (__DATA,__data) non-external _g_change_time_mutex
00007ff8437aa8d0 (__DATA,__bss) non-external _g_kl_change_time
00007ff812c9a8e5 (__TEXT,__text) external _get_ad_tkt
00007ff812c9a950 (__TEXT,__text) external _get_pw_tkt
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _gss_accept_sec_context (from GSS)
                 (indirect) external _gss_accept_sec_context (for _gss_accept_sec_context)
                 (undefined) external _gss_acquire_cred (from GSS)
                 (indirect) external _gss_acquire_cred (for _gss_acquire_cred)
                 (undefined) external _gss_add_cred (from GSS)
                 (indirect) external _gss_add_cred (for _gss_add_cred)
                 (undefined) external _gss_add_oid_set_member (from GSS)
                 (indirect) external _gss_add_oid_set_member (for _gss_add_oid_set_member)
00007ff8437aa0b0 (__DATA,__data) non-external _gss_c_nt_anonymous_oid_desc
00007ff8437aa0d0 (__DATA,__data) non-external _gss_c_nt_export_name_oid_desc
00007ff8437aa080 (__DATA,__data) non-external _gss_c_nt_hostbased_service_oid_desc
00007ff8437aa060 (__DATA,__data) non-external _gss_c_nt_hostbased_service_x_oid_desc
00007ff8437aa020 (__DATA,__data) non-external _gss_c_nt_machine_uid_name_oid_desc
00007ff8437aa040 (__DATA,__data) non-external _gss_c_nt_string_uid_name_oid_desc
00007ff8437aa000 (__DATA,__data) non-external _gss_c_nt_user_name_oid_desc
                 (undefined) external _gss_canonicalize_name (from GSS)
                 (indirect) external _gss_canonicalize_name (for _gss_canonicalize_name)
                 (undefined) external _gss_compare_name (from GSS)
                 (indirect) external _gss_compare_name (for _gss_compare_name)
                 (undefined) external _gss_context_time (from GSS)
                 (indirect) external _gss_context_time (for _gss_context_time)
                 (undefined) external _gss_create_empty_oid_set (from GSS)
                 (indirect) external _gss_create_empty_oid_set (for _gss_create_empty_oid_set)
                 (undefined) external _gss_delete_sec_context (from GSS)
                 (indirect) external _gss_delete_sec_context (for _gss_delete_sec_context)
