00007ff80da70dc0 (__TEXT,__const) non-external _DOWNCASE_TBL
00007ff80da67165 (__TEXT,__text) external _nghttp2_hd_inflate_change_table_size
00007ff80da675d7 (__TEXT,__text) external _nghttp2_hd_inflate_del
00007ff80da65b67 (__TEXT,__text) external _nghttp2_hd_inflate_end_headers
00007ff80da6663f (__TEXT,__text) non-external _nghttp2_hd_inflate_free
00007ff80da67685 (__TEXT,__text) external _nghttp2_hd_inflate_get_dynamic_table_size
00007ff80da6768f (__TEXT,__text) external _nghttp2_hd_inflate_get_max_dynamic_table_size
00007ff80da6766d (__TEXT,__text) external _nghttp2_hd_inflate_get_num_table_entries
00007ff80da6767b (__TEXT,__text) external _nghttp2_hd_inflate_get_table_entry
00007ff80da674f5 (__TEXT,__text) external _nghttp2_hd_inflate_hd
00007ff80da674ff (__TEXT,__text) external _nghttp2_hd_inflate_hd2
00007ff80da650ba (__TEXT,__text) non-external _nghttp2_hd_inflate_hd_nv
00007ff80da5ee07 (__TEXT,__text) non-external _nghttp2_hd_inflate_init
00007ff80da67565 (__TEXT,__text) external _nghttp2_hd_inflate_new
00007ff80da67571 (__TEXT,__text) external _nghttp2_hd_inflate_new2
00007ff80da63c6f (__TEXT,__text) non-external _nghttp2_hd_table_get
00007ff80da6c361 (__TEXT,__text) external _nghttp2_http2_strerror
00007ff80da68b19 (__TEXT,__text) non-external _nghttp2_http_on_request_headers
00007ff80da65bb1 (__TEXT,__text) non-external _nghttp2_http_on_response_headers
00007ff80da688dd (__TEXT,__text) non-external _nghttp2_http_parse_priority
00007ff80da6252a (__TEXT,__text) non-external _nghttp2_http_record_request_method
00007ff80da6bf71 (__TEXT,__text) non-external _nghttp2_increase_local_window_size
00007ff80da6961f (__TEXT,__text) external _nghttp2_is_fatal
00007ff80da5f70d (__TEXT,__text) non-external _nghttp2_iv_check
00007ff80da64aa7 (__TEXT,__text) non-external _nghttp2_map_each
00007ff80da5fa1e (__TEXT,__text) non-external _nghttp2_map_find
00007ff80da5fe1a (__TEXT,__text) non-external _nghttp2_nv_array_copy
00007ff80da6710d (__TEXT,__text) external _nghttp2_nv_compare_name
00007ff80da5a2fe (__TEXT,__text) external _nghttp2_option_del
00007ff80da5a20f (__TEXT,__text) external _nghttp2_option_new
00007ff80da6698f (__TEXT,__text) external _nghttp2_option_set_builtin_recv_extension_type
00007ff80da669d9 (__TEXT,__text) external _nghttp2_option_set_max_deflate_dynamic_table_size
00007ff80da669f4 (__TEXT,__text) external _nghttp2_option_set_max_outbound_ack
00007ff80da6695c (__TEXT,__text) external _nghttp2_option_set_max_reserved_remote_streams
00007ff80da669cc (__TEXT,__text) external _nghttp2_option_set_max_send_header_block_length
00007ff80da66a02 (__TEXT,__text) external _nghttp2_option_set_max_settings
00007ff80da669bf (__TEXT,__text) external _nghttp2_option_set_no_auto_ping_ack
00007ff80da5a248 (__TEXT,__text) external _nghttp2_option_set_no_auto_window_update
00007ff80da5a297 (__TEXT,__text) external _nghttp2_option_set_no_closed_streams
00007ff80da5a26f (__TEXT,__text) external _nghttp2_option_set_no_http_messaging
00007ff80da5a28a (__TEXT,__text) external _nghttp2_option_set_no_http_semantics
00007ff80da66942 (__TEXT,__text) external _nghttp2_option_set_no_recv_client_magic
00007ff80da66a1d (__TEXT,__text) external _nghttp2_option_set_no_rfc9113_leading_and_trailing_ws_validation
00007ff80da5a255 (__TEXT,__text) external _nghttp2_option_set_peer_max_concurrent_streams
00007ff80da66a10 (__TEXT,__text) external _nghttp2_option_set_server_fallback_rfc7540_priorities
00007ff80da66969 (__TEXT,__text) external _nghttp2_option_set_user_recv_extension_type
00007ff80da5f063 (__TEXT,__text) non-external _nghttp2_outbound_item_free
00007ff80da694c7 (__TEXT,__text) external _nghttp2_pack_settings_payload
00007ff80da676a1 (__TEXT,__text) non-external _nghttp2_pq_push
00007ff80da6780f (__TEXT,__text) non-external _nghttp2_pq_remove
00007ff80da678d8 (__TEXT,__text) external _nghttp2_priority_spec_check_default
00007ff80da5fe01 (__TEXT,__text) external _nghttp2_priority_spec_default_init
00007ff80da5e790 (__TEXT,__text) external _nghttp2_priority_spec_init
00007ff80da5de9f (__TEXT,__text) external _nghttp2_rcbuf_decref
00007ff80da68bb6 (__TEXT,__text) external _nghttp2_rcbuf_get_buf
00007ff80da63cfc (__TEXT,__text) external _nghttp2_rcbuf_incref
00007ff80da68bc4 (__TEXT,__text) external _nghttp2_rcbuf_is_static
00007ff80da63d19 (__TEXT,__text) non-external _nghttp2_rcbuf_new
00007ff80da667c0 (__TEXT,__text) external _nghttp2_select_next_protocol
00007ff80da6630d (__TEXT,__text) non-external _nghttp2_session_add_goaway
00007ff80da5f7a1 (__TEXT,__text) non-external _nghttp2_session_add_item
00007ff80da6a9ec (__TEXT,__text) non-external _nghttp2_session_add_ping
00007ff80da69c0d (__TEXT,__text) non-external _nghttp2_session_add_rst_stream
00007ff80da5f374 (__TEXT,__text) non-external _nghttp2_session_add_settings
00007ff80da5fb5d (__TEXT,__text) non-external _nghttp2_session_add_window_update
00007ff80da69eaa (__TEXT,__text) non-external _nghttp2_session_adjust_closed_stream
00007ff80da61645 (__TEXT,__text) non-external _nghttp2_session_adjust_idle_stream
00007ff80da5a2eb (__TEXT,__text) external _nghttp2_session_callbacks_del
00007ff80da5a12c (__TEXT,__text) external _nghttp2_session_callbacks_new
00007ff80da5a166 (__TEXT,__text) external _nghttp2_session_callbacks_set_before_frame_send_callback
00007ff80da668ea (__TEXT,__text) external _nghttp2_session_callbacks_set_data_source_read_length_callback
00007ff80da66935 (__TEXT,__text) external _nghttp2_session_callbacks_set_error_callback
00007ff80da5e0b2 (__TEXT,__text) external _nghttp2_session_callbacks_set_error_callback2
00007ff80da668f4 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_begin_frame_callback
00007ff80da5a18e (__TEXT,__text) external _nghttp2_session_callbacks_set_on_begin_headers_callback
00007ff80da5a1ac (__TEXT,__text) external _nghttp2_session_callbacks_set_on_data_chunk_recv_callback
00007ff80da66928 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_extension_chunk_recv_callback
00007ff80da5e08a (__TEXT,__text) external _nghttp2_session_callbacks_set_on_frame_not_send_callback
00007ff80da5a198 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_frame_recv_callback
00007ff80da5a1d0 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_frame_send_callback
00007ff80da5a178 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_header_callback
00007ff80da668c2 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_header_callback2
00007ff80da5e072 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_invalid_frame_recv_callback
00007ff80da5e09c (__TEXT,__text) external _nghttp2_session_callbacks_set_on_invalid_header_callback
00007ff80da668d6 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_invalid_header_callback2
00007ff80da5a1c4 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_stream_close_callback
00007ff80da6690e (__TEXT,__text) external _nghttp2_session_callbacks_set_pack_extension_callback
00007ff80da5e05e (__TEXT,__text) external _nghttp2_session_callbacks_set_recv_callback
00007ff80da668e0 (__TEXT,__text) external _nghttp2_session_callbacks_set_select_padding_callback
00007ff80da5a1e5 (__TEXT,__text) external _nghttp2_session_callbacks_set_send_callback
00007ff80da5a1f1 (__TEXT,__text) external _nghttp2_session_callbacks_set_send_data_callback
00007ff80da6691b (__TEXT,__text) external _nghttp2_session_callbacks_set_unpack_extension_callback
00007ff80da6bed2 (__TEXT,__text) external _nghttp2_session_change_extpri_stream_priority
00007ff80da6bd48 (__TEXT,__text) external _nghttp2_session_change_stream_priority
00007ff80da69f7c (__TEXT,__text) external _nghttp2_session_check_request_allowed
00007ff80da6bd3b (__TEXT,__text) external _nghttp2_session_check_server_session
00007ff80da69734 (__TEXT,__text) external _nghttp2_session_client_new
00007ff80da5a2ac (__TEXT,__text) external _nghttp2_session_client_new2
00007ff80da69796 (__TEXT,__text) external _nghttp2_session_client_new3
00007ff80da65d53 (__TEXT,__text) non-external _nghttp2_session_close_stream
00007ff80da6b699 (__TEXT,__text) external _nghttp2_session_consume
00007ff80da5ddb7 (__TEXT,__text) external _nghttp2_session_consume_connection
00007ff80da5dfc5 (__TEXT,__text) external _nghttp2_session_consume_stream
00007ff80da6bdd4 (__TEXT,__text) external _nghttp2_session_create_idle_stream
00007ff80da5e55d (__TEXT,__text) external _nghttp2_session_del
00007ff80da65f1c (__TEXT,__text) non-external _nghttp2_session_destroy_stream
00007ff80da6bd1a (__TEXT,__text) external _nghttp2_session_find_stream
00007ff80da6b84b (__TEXT,__text) external _nghttp2_session_get_effective_local_window_size
00007ff80da6b838 (__TEXT,__text) external _nghttp2_session_get_effective_recv_data_length
00007ff80da6beb8 (__TEXT,__text) external _nghttp2_session_get_hd_deflate_dynamic_table_size
00007ff80da6beab (__TEXT,__text) external _nghttp2_session_get_hd_inflate_dynamic_table_size
00007ff80da6bd0e (__TEXT,__text) external _nghttp2_session_get_last_proc_stream_id
00007ff80da6b914 (__TEXT,__text) external _nghttp2_session_get_local_settings
00007ff80da6b857 (__TEXT,__text) external _nghttp2_session_get_local_window_size
00007ff80da5e1c2 (__TEXT,__text) external _nghttp2_session_get_next_stream_id
00007ff80da6b77b (__TEXT,__text) external _nghttp2_session_get_outbound_queue_size
00007ff80da6b86b (__TEXT,__text) external _nghttp2_session_get_remote_settings
00007ff80da5a52f (__TEXT,__text) external _nghttp2_session_get_remote_window_size
00007ff80da6bd31 (__TEXT,__text) external _nghttp2_session_get_root_stream
00007ff80da6b7cc (__TEXT,__text) external _nghttp2_session_get_stream_effective_local_window_size
00007ff80da6b796 (__TEXT,__text) external _nghttp2_session_get_stream_effective_recv_data_length
00007ff80da6bc9d (__TEXT,__text) external _nghttp2_session_get_stream_local_close
00007ff80da6b7fc (__TEXT,__text) external _nghttp2_session_get_stream_local_window_size
00007ff80da6bcd3 (__TEXT,__text) external _nghttp2_session_get_stream_remote_close
00007ff80da5a4f9 (__TEXT,__text) external _nghttp2_session_get_stream_remote_window_size
00007ff80da5e2b5 (__TEXT,__text) external _nghttp2_session_get_stream_user_data
00007ff80da5a5d2 (__TEXT,__text) external _nghttp2_session_mem_recv
00007ff80da69fb8 (__TEXT,__text) external _nghttp2_session_mem_send
00007ff80da5ffe2 (__TEXT,__text) non-external _nghttp2_session_mem_send_internal
00007ff80da65c52 (__TEXT,__text) non-external _nghttp2_session_on_data_received
00007ff80da64388 (__TEXT,__text) non-external _nghttp2_session_on_settings_received
00007ff80da61d9a (__TEXT,__text) non-external _nghttp2_session_open_stream
00007ff80da6a326 (__TEXT,__text) non-external _nghttp2_session_pack_data
00007ff80da6a217 (__TEXT,__text) non-external _nghttp2_session_predicate_data_send
00007ff80da5e31b (__TEXT,__text) external _nghttp2_session_recv
00007ff80da6988b (__TEXT,__text) non-external _nghttp2_session_reprioritize_stream
00007ff80da5e72c (__TEXT,__text) external _nghttp2_session_resume_data
00007ff80da5a53d (__TEXT,__text) external _nghttp2_session_send
00007ff80da697d2 (__TEXT,__text) external _nghttp2_session_server_new
00007ff80da69844 (__TEXT,__text) external _nghttp2_session_server_new2
00007ff80da6980b (__TEXT,__text) external _nghttp2_session_server_new3
00007ff80da5a320 (__TEXT,__text) external _nghttp2_session_set_local_window_size
00007ff80da5e1dc (__TEXT,__text) external _nghttp2_session_set_next_stream_id
00007ff80da5e482 (__TEXT,__text) external _nghttp2_session_set_stream_user_data
00007ff80da6bec5 (__TEXT,__text) external _nghttp2_session_set_user_data
00007ff80da5e540 (__TEXT,__text) external _nghttp2_session_terminate_session
00007ff80da69728 (__TEXT,__text) external _nghttp2_session_terminate_session2
00007ff80da6a031 (__TEXT,__text) non-external _nghttp2_session_update_recv_connection_window_size
00007ff80da6a0c2 (__TEXT,__text) non-external _nghttp2_session_update_recv_stream_window_size
00007ff80da6b9bc (__TEXT,__text) external _nghttp2_session_upgrade
00007ff80da6bc23 (__TEXT,__text) external _nghttp2_session_upgrade2
00007ff80da6ba22 (__TEXT,__text) non-external _nghttp2_session_upgrade_internal
00007ff80da5e2e3 (__TEXT,__text) external _nghttp2_session_want_read
00007ff80da5a477 (__TEXT,__text) external _nghttp2_session_want_write
00007ff80da5a204 (__TEXT,__text) external _nghttp2_set_debug_vprintf_callback
00007ff80da66cf4 (__TEXT,__text) non-external _nghttp2_stream_dep_add_subtree
00007ff80da660b9 (__TEXT,__text) non-external _nghttp2_stream_dep_remove
00007ff80da66d59 (__TEXT,__text) non-external _nghttp2_stream_dep_remove_subtree
00007ff80da66e69 (__TEXT,__text) external _nghttp2_stream_get_first_child
00007ff80da66e55 (__TEXT,__text) external _nghttp2_stream_get_next_sibling
00007ff80da66e4b (__TEXT,__text) external _nghttp2_stream_get_parent
00007ff80da66e5f (__TEXT,__text) external _nghttp2_stream_get_previous_sibling
00007ff80da66deb (__TEXT,__text) external _nghttp2_stream_get_state
00007ff80da66e8b (__TEXT,__text) external _nghttp2_stream_get_stream_id
00007ff80da66e7f (__TEXT,__text) external _nghttp2_stream_get_sum_dependency_weight
00007ff80da66e73 (__TEXT,__text) external _nghttp2_stream_get_weight
00007ff80da6bfd1 (__TEXT,__text) external _nghttp2_strerror
00007ff80da68f29 (__TEXT,__text) external _nghttp2_submit_altsvc
00007ff80da5deef (__TEXT,__text) external _nghttp2_submit_data
00007ff80da69541 (__TEXT,__text) external _nghttp2_submit_extension
00007ff80da68d57 (__TEXT,__text) external _nghttp2_submit_goaway
00007ff80da5de06 (__TEXT,__text) external _nghttp2_submit_headers
00007ff80da690dd (__TEXT,__text) external _nghttp2_submit_origin
00007ff80da68c28 (__TEXT,__text) external _nghttp2_submit_ping
00007ff80da68c35 (__TEXT,__text) external _nghttp2_submit_priority
00007ff80da69305 (__TEXT,__text) external _nghttp2_submit_priority_update
00007ff80da68dbe (__TEXT,__text) external _nghttp2_submit_push_promise
00007ff80da5e221 (__TEXT,__text) external _nghttp2_submit_request
00007ff80da69470 (__TEXT,__text) external _nghttp2_submit_response
00007ff80da68d3e (__TEXT,__text) external _nghttp2_submit_rst_stream
00007ff80da5a312 (__TEXT,__text) external _nghttp2_submit_settings
00007ff80da68d7b (__TEXT,__text) external _nghttp2_submit_shutdown_notice
00007ff80da68bec (__TEXT,__text) external _nghttp2_submit_trailer
00007ff80da5e0c6 (__TEXT,__text) external _nghttp2_submit_window_update
00007ff80da68bd3 (__TEXT,__text) external _nghttp2_version
00007ff80da66558 (__TEXT,__text) non-external _ob_q_free
00007ff80da6887a (__TEXT,__text) non-external _parse_uint
00007ff80da67bdc (__TEXT,__text) non-external _parser_bare_item
00007ff80da68688 (__TEXT,__text) non-external _parser_boolean
00007ff80da683bb (__TEXT,__text) non-external _parser_byteseq
00007ff80da6833c (__TEXT,__text) non-external _parser_date
00007ff80da67a27 (__TEXT,__text) non-external _parser_key
00007ff80da681bc (__TEXT,__text) non-external _parser_number
00007ff80da678f4 (__TEXT,__text) non-external _parser_skip_inner_list
00007ff80da686f9 (__TEXT,__text) non-external _parser_skip_params
00007ff80da67f58 (__TEXT,__text) non-external _parser_string
                 (undefined) external _realloc (from libSystem)
00007ff80da66821 (__TEXT,__text) non-external _select_next_protocol
00007ff80da61720 (__TEXT,__text) non-external _session_after_frame_sent1
00007ff80da61bdd (__TEXT,__text) non-external _session_after_frame_sent2
00007ff80da6ab34 (__TEXT,__text) non-external _session_call_error_callback
00007ff80da64252 (__TEXT,__text) non-external _session_call_select_padding
00007ff80da6649c (__TEXT,__text) non-external _session_close_stream_on_goaway
00007ff80da6a2aa (__TEXT,__text) non-external _session_defer_stream_item
00007ff80da69d99 (__TEXT,__text) non-external _session_detach_stream_item
00007ff80da6a816 (__TEXT,__text) non-external _session_handle_invalid_connection
00007ff80da6a87e (__TEXT,__text) non-external _session_handle_invalid_stream2
00007ff80da641e9 (__TEXT,__text) non-external _session_headers_add_pad
00007ff80da5f13c (__TEXT,__text) non-external _session_inbound_frame_reset
00007ff80da61cbf (__TEXT,__text) non-external _session_is_closing
00007ff80da5e7aa (__TEXT,__text) non-external _session_new
00007ff80da69638 (__TEXT,__text) non-external _session_ob_data_push
00007ff80da69dff (__TEXT,__text) non-external _session_ob_data_remove
00007ff80da6a7af (__TEXT,__text) non-external _session_predicate_push_response_headers_send
00007ff80da64c53 (__TEXT,__text) non-external _session_process_headers_frame
00007ff80da6b1cb (__TEXT,__text) non-external _session_process_ping_frame
00007ff80da6ad02 (__TEXT,__text) non-external _session_process_priority_frame
00007ff80da6b479 (__TEXT,__text) non-external _session_process_priority_update_frame
00007ff80da6afbd (__TEXT,__text) non-external _session_process_push_promise_frame
00007ff80da6aec8 (__TEXT,__text) non-external _session_process_rst_stream_frame
00007ff80da6b276 (__TEXT,__text) non-external _session_process_window_update_frame
00007ff80da6a96d (__TEXT,__text) non-external _session_resume_deferred_stream_item
00007ff80da66294 (__TEXT,__text) non-external _session_terminate_session
00007ff80da61d05 (__TEXT,__text) non-external _session_update_consumed_size
00007ff80da6aad5 (__TEXT,__text) non-external _session_update_stream_priority
00007ff8424b68e0 (__DATA,__const) non-external _static_table
00007ff80da66b08 (__TEXT,__text) non-external _stream_less
00007ff80da69770 (__TEXT,__text) non-external _stream_less.217
00007ff80da66c62 (__TEXT,__text) non-external _stream_obq_move
00007ff80da66b2f (__TEXT,__text) non-external _stream_obq_push
00007ff80da66bcc (__TEXT,__text) non-external _stream_obq_remove
                 (undefined) external _strlen (from libSystem)
00007ff80da5fc0f (__TEXT,__text) non-external _submit_headers_shared_nva
00007ff80da64b8c (__TEXT,__text) non-external _update_local_initial_window_size_func
00007ff80da64b14 (__TEXT,__text) non-external _update_remote_initial_window_size_func
00007ff8424b87f8 (__DATA,__data) non-external _version
                 (undefined) external _vsnprintf (from libSystem)
