0000000182ba24b8 (__DATA,__data) non-external _C
0000000180a3daf4 (__TEXT,__text) non-external __GB18030_mbsinit
0000000180a3d9ec (__TEXT,__text) non-external __GB18030_wcrtomb
0000000180a3db10 (__TEXT,__text) non-external (was a private external) __GB2312_init
0000000180a3db60 (__TEXT,__text) non-external __GB2312_mbrtowc
0000000180a3dcd0 (__TEXT,__text) non-external __GB2312_mbsinit
0000000180a3dc78 (__TEXT,__text) non-external __GB2312_wcrtomb
0000000180a3dcec (__TEXT,__text) non-external (was a private external) __GBK_init
0000000180a3dd3c (__TEXT,__text) non-external __GBK_mbrtowc
0000000180a3de60 (__TEXT,__text) non-external __GBK_mbsinit
0000000180a3de08 (__TEXT,__text) non-external __GBK_wcrtomb
0000000180a3f3a4 (__TEXT,__text) non-external (was a private external) __MSKanji_init
0000000180a3f3f4 (__TEXT,__text) non-external __MSKanji_mbrtowc
0000000180a3f5f4 (__TEXT,__text) non-external __MSKanji_mbsinit
0000000180a3f4cc (__TEXT,__text) non-external __MSKanji_wcrtomb
0000000180a233c8 (__TEXT,__text) external __NSGetArgc
0000000180a233bc (__TEXT,__text) external __NSGetArgv
0000000180a233d4 (__TEXT,__text) external __NSGetEnviron
0000000180a233ec (__TEXT,__text) external __NSGetMachExecuteHeader
0000000180a233e0 (__TEXT,__text) external __NSGetProgname
0000000182baef38 (__DATA,__common) external __PathLocale
0000000180a6b030 (__TEXT,__text) external __Read_RuneMagi
0000000180a613b8 (__TEXT,__text) non-external (was a private external) __UTF2_init
0000000180a61430 (__TEXT,__text) non-external __UTF2_mbrtowc
0000000180a61628 (__TEXT,__text) non-external __UTF2_mbsinit
0000000180a61644 (__TEXT,__text) non-external __UTF2_mbsnrtowcs
0000000180a61580 (__TEXT,__text) non-external __UTF2_wcrtomb
0000000180a617e4 (__TEXT,__text) non-external __UTF2_wcsnrtombs
0000000180a411b4 (__TEXT,__text) non-external (was a private external) __UTF8_init
0000000180a4122c (__TEXT,__text) non-external __UTF8_mbrtowc
0000000180a414e8 (__TEXT,__text) non-external __UTF8_mbsinit
0000000180a41504 (__TEXT,__text) non-external __UTF8_mbsnrtowcs
0000000180a4141c (__TEXT,__text) non-external __UTF8_wcrtomb
0000000180a416a4 (__TEXT,__text) non-external __UTF8_wcsnrtombs
0000000180a30240 (__TEXT,__text) external ___Balloc_D2A
0000000180a303dc (__TEXT,__text) external ___Bfree_D2A
0000000180a21058 (__TEXT,__text) external ____mb_cur_max
0000000180a21084 (__TEXT,__text) external ____mb_cur_max_l
0000000180a401b4 (__TEXT,__text) external ____runetype
0000000180a4011c (__TEXT,__text) external ____runetype_l
0000000180a410d0 (__TEXT,__text) external ____tolower
0000000180a41034 (__TEXT,__text) external ____tolower_l
0000000180a41190 (__TEXT,__text) external ____toupper
0000000180a410f4 (__TEXT,__text) external ____toupper_l
0000000180a7f020 (__TEXT,__text) non-external (was a private external) ___abort
0000000180a2b01c (__TEXT,__text) external ___add_ovflpage
0000000180a2ad20 (__TEXT,__text) external ___addel
0000000180a30fd4 (__TEXT,__text) external ___any_on_D2A
0000000180a7e36c (__TEXT,__text) external ___assert_rtn
0000000182baee30 (__DATA,__bss) non-external ___atexit
0000000180a61c1c (__TEXT,__text) non-external (was a private external) ___atexit_init
0000000182baee38 (__DATA,__bss) non-external ___atexit_new_registration
0000000180a30b4c (__TEXT,__text) external ___b2d_D2A
0000000180a29658 (__TEXT,__text) external ___big_delete
0000000180a293bc (__TEXT,__text) external ___big_insert
0000000180a29cf4 (__TEXT,__text) external ___big_keydata
0000000180a2998c (__TEXT,__text) external ___big_return
0000000180a29e84 (__TEXT,__text) external ___big_split
0000000180a80a58 (__TEXT,__const) external ___bigtens_D2A
0000000180a24158 (__TEXT,__text) external ___bt_close
0000000180a27f0c (__TEXT,__text) external ___bt_cmp
0000000180a27fc8 (__TEXT,__text) external ___bt_defcmp
0000000180a2800c (__TEXT,__text) external ___bt_defpfx
0000000180a245e4 (__TEXT,__text) external ___bt_delete
0000000180a24c54 (__TEXT,__text) external ___bt_dleaf
0000000180a25a64 (__TEXT,__text) external ___bt_fd
0000000180a26abc (__TEXT,__text) non-external ___bt_first
0000000180a25e70 (__TEXT,__text) external ___bt_free
0000000180a252d4 (__TEXT,__text) external ___bt_get
0000000180a25e98 (__TEXT,__text) external ___bt_new
0000000180a253c8 (__TEXT,__text) external ___bt_open
0000000180a2502c (__TEXT,__text) non-external ___bt_pdelete
0000000180a242f0 (__TEXT,__text) external ___bt_pgin
0000000180a2447c (__TEXT,__text) external ___bt_pgout
0000000180a25f14 (__TEXT,__text) external ___bt_put
0000000180a25244 (__TEXT,__text) non-external ___bt_relink
0000000180a27d68 (__TEXT,__text) external ___bt_ret
0000000180a26434 (__TEXT,__text) external ___bt_search
0000000180a26684 (__TEXT,__text) external ___bt_seq
0000000180a26a60 (__TEXT,__text) external ___bt_setcur
0000000180a26cd4 (__TEXT,__text) external ___bt_split
0000000180a248e4 (__TEXT,__text) non-external ___bt_stkacq
0000000180a24214 (__TEXT,__text) external ___bt_sync
0000000180a2a3f8 (__TEXT,__text) external ___buf_free
0000000180a2a3c8 (__TEXT,__text) non-external (was a private external) ___buf_init
0000000182ba24c0 (__DATA,__data) non-external ___c_locale
0000000180a70ecc (__TEXT,__text) non-external ___calc_left_pad
0000000180a28f10 (__TEXT,__text) external ___call_hash
0000000182ba3380 (__DATA,__data) non-external (was a private external) ___chk_assert_no_overlap
0000000180a7d45c (__TEXT,__text) non-external (was a private external) ___chk_fail_overflow
0000000180a7d478 (__TEXT,__text) non-external (was a private external) ___chk_fail_overlap
0000000180a31378 (__TEXT,__text) non-external (was a private external) ___chk_init
0000000180a7d494 (__TEXT,__text) non-external (was a private external) ___chk_overlap
0000000182baefa0 (__DATA,__common) external ___cleanup
0000000180a309a4 (__TEXT,__text) external ___cmp_D2A
0000000180a3c6f4 (__TEXT,__text) non-external (was a private external) ___collate_collating_symbol
0000000180a3c8c4 (__TEXT,__text) non-external (was a private external) ___collate_equiv_class
0000000180a3ca48 (__TEXT,__text) external ___collate_equiv_match
0000000180a3cff0 (__TEXT,__text) non-external (was a private external) ___collate_equiv_value
0000000180a3cd78 (__TEXT,__text) non-external (was a private external) ___collate_equiv_wchar
0000000180a7ead8 (__TEXT,__text) non-external ___collate_equiv_wchar.cold.1
0000000180a7eb04 (__TEXT,__text) non-external ___collate_equiv_wchar.cold.2
0000000180a3bc2c (__TEXT,__text) non-external (was a private external) ___collate_err
0000000182ba2b78 (__DATA,__data) external ___collate_load_error
0000000180a3af04 (__TEXT,__text) non-external (was a private external) ___collate_load_tables
0000000182ba42c8 (__DATA,__bss) non-external ___collate_load_tables.cache
0000000180a3b388 (__TEXT,__text) non-external ___collate_load_tables_legacy
0000000180a3c1ac (__TEXT,__text) external ___collate_lookup
0000000180a3c000 (__TEXT,__text) external ___collate_lookup_l
0000000180a3c390 (__TEXT,__text) non-external (was a private external) ___collate_lookup_which
0000000180a3c28c (__TEXT,__text) non-external (was a private external) ___collate_mbstowcs
0000000180a3cfa4 (__TEXT,__text) non-external ___collate_pri_for
0000000180a7eb30 (__TEXT,__text) non-external ___collate_pri_for.cold.1
0000000180a3d0e8 (__TEXT,__text) non-external (was a private external) ___collate_range_cmp
0000000182ba42d0 (__DATA,__bss) non-external ___collate_range_cmp.s1
0000000182ba42d8 (__DATA,__bss) non-external ___collate_range_cmp.s2
0000000180a3b9bc (__TEXT,__text) non-external (was a private external) ___collate_substitute
0000000180a3bbc8 (__TEXT,__text) non-external (was a private external) ___collate_wcsdup
0000000180a3c498 (__TEXT,__text) non-external (was a private external) ___collate_xfrm
                 (undefined) external ___commpage_gettimeofday (from libsystem_kernel)
0000000180a196c8 (__TEXT,__text) non-external (was a private external) ___confstr_init
0000000180a23d70 (__TEXT,__text) non-external (was a private external) ___copy_assignment_8_8_t0w8_pa0_28660_8_pa0_36689_16_pa0_31171_24_pa0_29245_32
0000000180a30f54 (__TEXT,__text) external ___copybits_D2A
0000000180a6a4ec (__TEXT,__text) non-external ___cvt
0000000182baeea8 (__DATA,__bss) non-external ___cvt.s
0000000180a61df8 (__TEXT,__text) external ___cxa_atexit
0000000180a62104 (__TEXT,__text) external ___cxa_finalize
0000000180a61e2c (__TEXT,__text) external ___cxa_finalize_ranges
0000000180a30c4c (__TEXT,__text) external ___d2b_D2A
0000000182baef58 (__DATA,__common) non-external (was a private external) ___darwin_altzone
0000000180a28164 (__TEXT,__text) non-external ___dberr
0000000180a2810c (__TEXT,__text) external ___dbpanic
0000000182bc92e0 (__AUTH,__data) external ___default_hash
0000000180a2a5f8 (__TEXT,__text) external ___delpair
0000000180a408b0 (__TEXT,__text) non-external (was a private external) ___detect_path_locale
0000000180a309f4 (__TEXT,__text) external ___diff_D2A
0000000182ba4020 (__DATA,__bss) non-external ___dirhelper_func
0000000180a2e210 (__TEXT,__text) external ___dtoa
0000000182baefc0 (__DATA,__common) non-external (was a private external) ___env_owned
0000000180a624b4 (__TEXT,__text) non-external (was a private external) ___environ_lock_fork_child
0000000182baee3c (__DATA,__bss) non-external ___environ_lock_obj
                 (undefined) external ___error (from libsystem_kernel)
0000000180a5e970 (__TEXT,__text) non-external (was a private external) ___errstr
0000000180a48d64 (__TEXT,__text) non-external ___evpinit
                 (undefined) external ___exit (from libsystem_kernel)
0000000180a28da8 (__TEXT,__text) external ___expand_table
0000000182ba5d58 (__DATA,__bss) non-external ___fallback_evp
                 (undefined) external ___fcntl (from libsystem_kernel)
                 (undefined) external ___fcntl_nocancel (from libsystem_kernel)
0000000180a45340 (__TEXT,__text) external ___fflush
0000000180a45888 (__TEXT,__text) external ___fgetwc
0000000180a497d8 (__TEXT,__text) non-external (was a private external) ___find_arguments
0000000180a297c8 (__TEXT,__text) external ___find_bigpair
0000000180a298f4 (__TEXT,__text) external ___find_last_page
0000000180a4a64c (__TEXT,__text) non-external (was a private external) ___find_warguments
0000000180a623e0 (__TEXT,__text) non-external (was a private external) ___findenv_locked
0000000180a3d748 (__TEXT,__text) external ___fix_locale_grouping_str
0000000180a3d810 (__TEXT,__text) non-external (was a private external) ___fix_nogrouping
                 (undefined) external ___fork (from libsystem_kernel)
                 (undefined) external ___fpclassifyd (from libsystem_m)
0000000180a46798 (__TEXT,__text) non-external (was a private external) ___fputwc
0000000180a46d78 (__TEXT,__text) external ___fread
0000000180a2b9a8 (__TEXT,__text) external ___free_ovflpage
0000000180a2e0a0 (__TEXT,__text) external ___freedtoa
0000000182ba3384 (__DATA,__data) non-external (was a private external) ___ftell_conformance_fix
0000000180a1a3f8 (__TEXT,__text) non-external ___fts_open
0000000180a2f030 (__TEXT,__text) external ___gdtoa
0000000182baef08 (__DATA,__common) external ___gdtoa_locks
0000000180a2a024 (__TEXT,__text) external ___get_buf
0000000180a3e34c (__TEXT,__text) non-external (was a private external) ___get_current_messages_locale
0000000180a3e7e4 (__TEXT,__text) non-external (was a private external) ___get_current_monetary_locale
0000000180a3ea5c (__TEXT,__text) non-external (was a private external) ___get_current_numeric_locale
0000000180a5df5c (__TEXT,__text) non-external (was a private external) ___get_current_time_locale
0000000180a4069c (__TEXT,__text) non-external (was a private external) ___get_locale_env
0000000180a2b410 (__TEXT,__text) external ___get_page
0000000180a35080 (__TEXT,__text) non-external ___getcwd
                 (undefined) external ___getdirentries64 (from libsystem_kernel)
0000000182ba5d20 (__DATA,__bss) non-external ___getevp.predicate
                 (undefined) external ___gettimeofday (from libsystem_kernel)
0000000182ba1ef0 (__DATA,__data) non-external (was a private external) ___global_locale
0000000180a61960 (__TEXT,__text) non-external (was a private external) ___guard_setup
0000000180a2816c (__TEXT,__text) external ___hash_open
0000000180a2dc70 (__TEXT,__text) external ___hdtoa
0000000180a6acd4 (__TEXT,__text) non-external (was a private external) ___heapsort_r
0000000180a305b8 (__TEXT,__text) external ___hi0bits_D2A
0000000180a2dfe8 (__TEXT,__text) external ___hldtoa
0000000180a30634 (__TEXT,__text) external ___i2b_D2A
0000000180a2b8d8 (__TEXT,__text) external ___ibitmap
0000000180a67ee0 (__TEXT,__text) non-external (was a private external) ___init__env_owned_locked
0000000180a3fcac (__TEXT,__text) external ___isctype
0000000180a3fc64 (__TEXT,__text) external ___istype
0000000180a3fe04 (__TEXT,__text) external ___istype_l
0000000182ba2af1 (__DATA,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
                 (undefined) external ___kill (from libsystem_kernel)
0000000180a6af9c (__TEXT,__text) external ___ldtoa
0000000180a23330 (__TEXT,__text) external ___libc_init
0000000180a30454 (__TEXT,__text) external ___lo0bits_D2A
0000000180a48e20 (__TEXT,__text) non-external ___loadevp
0000000182ba24b0 (__DATA,__data) non-external (was a private external) ___locale_key
0000000180a2a5c8 (__TEXT,__text) external ___log2
0000000180a81760 (__TEXT,__const) non-external (was a private external) ___lowercase_hex
0000000180a308b0 (__TEXT,__text) external ___lshift_D2A
0000000180a3fc00 (__TEXT,__text) external ___maskrune
0000000180a3fd98 (__TEXT,__text) external ___maskrune_l
0000000180a30f10 (__TEXT,__text) external ___match_D2A
0000000182ba2c4c (__DATA,__data) external ___mb_cur_max
0000000182ba2c50 (__DATA,__data) external ___mb_sb_limit
0000000180a54ec4 (__TEXT,__text) non-external ___mbsconv
0000000180a3ef8c (__TEXT,__text) non-external (was a private external) ___mbsnrtowcs_std
0000000180a7d6c8 (__TEXT,__text) external ___memccpy_chk
0000000180a7d9f8 (__TEXT,__text) external ___memcpy_chk
0000000180a7d634 (__TEXT,__text) external ___memmove_chk
0000000180a7d4d8 (__TEXT,__text) external ___memset_chk
0000000180a3e12c (__TEXT,__text) non-external (was a private external) ___messages_load_locale
0000000182ba42e0 (__DATA,__bss) non-external ___messages_load_locale.cache
0000000180a3e36c (__TEXT,__text) non-external (was a private external) ___monetary_load_locale
0000000182ba42f0 (__DATA,__bss) non-external ___monetary_load_locale.cache
0000000180a30664 (__TEXT,__text) external ___mult_D2A
0000000180a30504 (__TEXT,__text) external ___multadd_D2A
0000000180a44ac0 (__TEXT,__text) non-external ___nls_free_resources
0000000180a811c1 (__TEXT,__const) non-external ___nogrouping
0000000180a2e048 (__TEXT,__text) external ___nrv_alloc_D2A
0000000180a20ddc (__TEXT,__text) non-external (was a private external) ___numeric_ctype
0000000180a3e804 (__TEXT,__text) non-external (was a private external) ___numeric_load_locale
0000000182ba4300 (__DATA,__bss) non-external ___numeric_load_locale.cache
                 (undefined) external ___open (from libsystem_kernel)
                 (undefined) external ___open_nocancel (from libsystem_kernel)
0000000180a40958 (__TEXT,__text) non-external (was a private external) ___open_path_locale
0000000180a359cc (__TEXT,__text) external ___opendir2
0000000180a35af8 (__TEXT,__text) non-external ___opendir_common
0000000180a25da4 (__TEXT,__text) external ___ovfl_delete
0000000180a25bbc (__TEXT,__text) external ___ovfl_get
0000000180a25ca4 (__TEXT,__text) external ___ovfl_put
0000000180a52264 (__TEXT,__text) non-external (was a private external) ___parsefloat_buf
0000000182ba5d80 (__DATA,__bss) non-external ___parsefloat_buf.bsiz
0000000182ba5d78 (__DATA,__bss) non-external ___parsefloat_buf.parsefloat_tsd_key
0000000182ba3050 (__DATA,__data) non-external ___parsefloat_buf.parsefloat_tsd_lock
0000000180a3de7c (__TEXT,__text) non-external (was a private external) ___part_load_locale
                 (undefined) external ___platform_sigaction (from libsystem_platform)
0000000182baef28 (__DATA,__common) non-external (was a private external) ___popen_pidlist
0000000182ba2af8 (__DATA,__data) non-external (was a private external) ___popen_pidlist_mutex
0000000180a30798 (__TEXT,__text) external ___pow5mult_D2A
0000000180a80a48 (__TEXT,__const) non-external ___pow5mult_D2A.p05
0000000180a6e138 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_chr
0000000180a7f3c0 (__TEXT,__text) non-external ___printf_arginfo_chr.cold.1
0000000180a6c55c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_errno
0000000180a7f1e4 (__TEXT,__text) non-external ___printf_arginfo_errno.cold.1
0000000180a6c698 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_float
0000000180a7f210 (__TEXT,__text) non-external ___printf_arginfo_float.cold.1
0000000180a6d08c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_hexdump
0000000180a7f268 (__TEXT,__text) non-external ___printf_arginfo_hexdump.cold.1
0000000180a6d33c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_int
0000000180a7f294 (__TEXT,__text) non-external ___printf_arginfo_int.cold.1
0000000180a6e94c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_n
0000000180a7f444 (__TEXT,__text) non-external ___printf_arginfo_n.cold.1
0000000180a6e934 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_pct
0000000180a6dae4 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_ptr
0000000180a7f33c (__TEXT,__text) non-external ___printf_arginfo_ptr.cold.1
0000000180a6dba0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_quote
0000000180a7f368 (__TEXT,__text) non-external ___printf_arginfo_quote.cold.1
0000000180a6de80 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_str
0000000180a7f394 (__TEXT,__text) non-external ___printf_arginfo_str.cold.1
0000000180a6e2cc (__TEXT,__text) non-external (was a private external) ___printf_arginfo_time
0000000180a7f3ec (__TEXT,__text) non-external ___printf_arginfo_time.cold.1
0000000180a6e5c8 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_vis
0000000180a7f418 (__TEXT,__text) non-external ___printf_arginfo_vis.cold.1
0000000180a6eb4c (__TEXT,__text) non-external (was a private external) ___printf_comp
0000000180a6f270 (__TEXT,__text) non-external (was a private external) ___printf_exec
0000000180a6e728 (__TEXT,__text) non-external (was a private external) ___printf_flush
0000000180a4d024 (__TEXT,__text) non-external (was a private external) ___printf_is_memory_read_only
0000000180a6e880 (__TEXT,__text) non-external (was a private external) ___printf_out
0000000180a6e7d4 (__TEXT,__text) non-external (was a private external) ___printf_pad
0000000180a6e760 (__TEXT,__text) non-external (was a private external) ___printf_puts
0000000180a6e180 (__TEXT,__text) non-external (was a private external) ___printf_render_chr
0000000180a6c580 (__TEXT,__text) non-external (was a private external) ___printf_render_errno
0000000180a6c6e4 (__TEXT,__text) non-external (was a private external) ___printf_render_float
0000000180a7f23c (__TEXT,__text) non-external ___printf_render_float.cold.1
0000000180a6d0b8 (__TEXT,__text) non-external (was a private external) ___printf_render_hexdump
0000000180a6d3dc (__TEXT,__text) non-external (was a private external) ___printf_render_int
0000000180a7f2c0 (__TEXT,__text) non-external ___printf_render_int.cold.1
0000000180a7f2ec (__TEXT,__text) non-external ___printf_render_int.cold.2
0000000180a6e970 (__TEXT,__text) non-external (was a private external) ___printf_render_n
0000000180a6e93c (__TEXT,__text) non-external (was a private external) ___printf_render_pct
0000000180a6db18 (__TEXT,__text) non-external (was a private external) ___printf_render_ptr
0000000180a6dbc4 (__TEXT,__text) non-external (was a private external) ___printf_render_quote
0000000180a6debc (__TEXT,__text) non-external (was a private external) ___printf_render_str
0000000180a6e2f0 (__TEXT,__text) non-external (was a private external) ___printf_render_time
0000000180a6e5ec (__TEXT,__text) non-external (was a private external) ___printf_render_vis
0000000180a34be0 (__TEXT,__text) non-external (was a private external) ___private_getcwd
0000000182ba41a8 (__DATA,__bss) non-external ___progname_pointer
                 (undefined) external ___pthread_workqueue_setkill (from libsystem_pthread)
0000000180a2b5ec (__TEXT,__text) external ___put_page
0000000180a81288 (__TEXT,__const) non-external (was a private external) ___puts_null__
0000000180a2e0b4 (__TEXT,__text) external ___quorem_D2A
0000000180a30e70 (__TEXT,__text) external ___ratio_D2A
0000000180a2c3a8 (__TEXT,__text) external ___rec_close
0000000180a2c6a4 (__TEXT,__text) external ___rec_delete
0000000180a2c7e8 (__TEXT,__text) external ___rec_dleaf
0000000180a2d1f0 (__TEXT,__text) external ___rec_fd
0000000180a2cc60 (__TEXT,__text) external ___rec_fmap
0000000180a2ca20 (__TEXT,__text) external ___rec_fpipe
0000000180a2c914 (__TEXT,__text) external ___rec_get
0000000180a2d4f4 (__TEXT,__text) external ___rec_iput
0000000180a2ce50 (__TEXT,__text) external ___rec_open
0000000180a2d248 (__TEXT,__text) external ___rec_put
0000000180a2dafc (__TEXT,__text) external ___rec_ret
0000000180a2d744 (__TEXT,__text) external ___rec_search
0000000180a2d920 (__TEXT,__text) external ___rec_seq
0000000180a2c460 (__TEXT,__text) external ___rec_sync
0000000180a2cd74 (__TEXT,__text) external ___rec_vmap
0000000180a2cb38 (__TEXT,__text) external ___rec_vpipe
0000000180a2a4cc (__TEXT,__text) external ___reclaim_buf
                 (undefined) external ___recvfrom (from libsystem_kernel)
                 (undefined) external ___recvfrom_nocancel (from libsystem_kernel)
0000000180a30104 (__TEXT,__text) external ___rshift_D2A
0000000180a2dfec (__TEXT,__text) external ___rv_alloc_D2A
0000000180a30d84 (__TEXT,__text) external ___s2b_D2A
0000000182bc92e8 (__AUTH,__data) external ___sF
0000000182ba2d40 (__DATA,__data) non-external ___sFX
0000000180a4bec8 (__TEXT,__text) external ___sclose
0000000182ba4528 (__DATA,__bss) non-external ___scounted
0000000182baef40 (__DATA,__common) external ___sdidinit
                 (undefined) external ___semwait_signal (from libsystem_kernel)
                 (undefined) external ___semwait_signal_nocancel (from libsystem_kernel)
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sendto_nocancel (from libsystem_kernel)
0000000180a67f58 (__TEXT,__text) non-external (was a private external) ___setenv_locked
0000000180a40a78 (__TEXT,__text) non-external (was a private external) ___setrunelocale
0000000182ba44d8 (__DATA,__bss) non-external ___setrunelocale.CachedRuneLocale
0000000182ba44e0 (__DATA,__bss) non-external ___setrunelocale.cache_lock
                 (undefined) external ___settimeofday (from libsystem_kernel)
0000000180a70f88 (__TEXT,__text) non-external ___setup_vars
0000000180a46230 (__TEXT,__text) external ___sflags
0000000180a451d0 (__TEXT,__text) external ___sflush
0000000180a45d50 (__TEXT,__text) external ___sfp
0000000180a46114 (__TEXT,__text) non-external (was a private external) ___sfprelease
0000000180a47d24 (__TEXT,__text) external ___sfvwrite
0000000182ba2fe0 (__DATA,__data) external ___sglue
                 (undefined) external ___sigaltstack (from libsystem_kernel)
0000000180a45f48 (__TEXT,__text) external ___sinit
0000000180a453d8 (__TEXT,__text) external ___slbexpand
0000000180a489e4 (__TEXT,__text) external ___smakebuf
0000000180a7ec18 (__TEXT,__text) non-external ___smakebuf.cold.1
0000000180a7d72c (__TEXT,__text) external ___snprintf_chk
0000000180a7d768 (__TEXT,__text) external ___snprintf_object_size_chk
0000000180a2a768 (__TEXT,__text) external ___split_page
0000000180a55550 (__TEXT,__text) non-external ___sprint
0000000180a7d91c (__TEXT,__text) external ___sprintf_chk
0000000180a7d98c (__TEXT,__text) external ___sprintf_object_size_chk
0000000180a4be80 (__TEXT,__text) external ___sread
0000000180a4b7a0 (__TEXT,__text) external ___srefill
0000000180a4b588 (__TEXT,__text) non-external (was a private external) ___srefill0
0000000180a4b730 (__TEXT,__text) non-external (was a private external) ___srefill1
0000000180a4b8f0 (__TEXT,__text) external ___srget
0000000180a4bec0 (__TEXT,__text) external ___sseek
0000000180a61ac8 (__TEXT,__text) external ___stack_chk_fail
0000000182baef60 (__DATA,__common) external ___stack_chk_guard
0000000182ba5d48 (__DATA,__bss) non-external ___stderr_evp
0000000182ba2fc0 (__DATA,__data) external ___stderrp
0000000182ba5d28 (__DATA,__bss) non-external ___stdin_evp
0000000182ba2fb0 (__DATA,__data) external ___stdinp
0000000180a31378 (__TEXT,__text) non-external (was a private external) ___stdio_init
0000000182ba5d38 (__DATA,__bss) non-external ___stdout_evp
0000000182ba2fb8 (__DATA,__data) external ___stdoutp
0000000180a7d8ac (__TEXT,__text) external ___stpcpy_chk
0000000180a7da20 (__TEXT,__text) external ___stpncpy_chk
0000000180a7f4ec (__TEXT,__text) non-external ___stpncpy_chk.cold.1
0000000180a7d7ac (__TEXT,__text) external ___strcat_chk
0000000180a30d64 (__TEXT,__text) external ___strcp_D2A
0000000180a7d65c (__TEXT,__text) external ___strcpy_chk
0000000182baee10 (__DATA,__bss) non-external ___strerror_ebuf
0000000180a7d384 (__TEXT,__text) external ___strlcat_chk
0000000180a7d500 (__TEXT,__text) external ___strlcpy_chk
0000000180a7d560 (__TEXT,__text) external ___strncat_chk
0000000180a7d600 (__TEXT,__text) external ___strncpy_chk
