00000001de04e1f8 (__TEXT,__text) non-external +[Cube initialize]
00000001de0598d4 (__TEXT,__text) non-external +[DDXMLNode nodeWithPrimitive:nsParent:]
00000001de05a974 (__TEXT,__text) non-external +[DDXMLNode prefixForName:]
00000001de0595ac (__TEXT,__text) non-external +[DDXMLNode processingInstructionWithName:stringValue:]
00000001de05ae64 (__TEXT,__text) non-external +[DDXMLNode recursiveStripDocPointersFromNode:]
00000001de05b03c (__TEXT,__text) non-external +[DDXMLNode removeAllAttributesFromNode:]
00000001de05b2a8 (__TEXT,__text) non-external +[DDXMLNode removeAllChildrenFromDoc:]
00000001de05b25c (__TEXT,__text) non-external +[DDXMLNode removeAllChildrenFromNode:]
00000001de05b158 (__TEXT,__text) non-external +[DDXMLNode removeAllNamespacesFromNode:]
00000001de05aff0 (__TEXT,__text) non-external +[DDXMLNode removeAttribute:fromNode:]
00000001de05b218 (__TEXT,__text) non-external +[DDXMLNode removeChild:fromNode:]
00000001de05b10c (__TEXT,__text) non-external +[DDXMLNode removeNamespace:fromNode:]
00000001de05ae48 (__TEXT,__text) non-external +[DDXMLNode stripDocPointersFromAttr:]
00000001de059684 (__TEXT,__text) non-external +[DDXMLNode textWithStringValue:]
00000001ddf97a10 (__TEXT,__text) non-external +[MCActionForEachPlug forEachPlugActionForTargetPlugObjectID:withAction:andPrefix:]
00000001ddf9658c (__TEXT,__text) non-external +[MCActionGroup actionGroup]
00000001ddf9875c (__TEXT,__text) non-external +[MCActionTrigger actionTriggerForTargetPlugObjectID:withActionKey:]
00000001ddf9a47c (__TEXT,__text) non-external +[MCAnimationKeyframe keyPathsForValuesAffectingValueForKey:]
00000001ddf9abe4 (__TEXT,__text) non-external +[MCAnimationKeyframe1D keyframeWithScalar:atTime:]
00000001ddf9abec (__TEXT,__text) non-external +[MCAnimationKeyframe1D keyframeWithScalar:atTime:offsetKind:]
00000001ddf9bbe8 (__TEXT,__text) non-external +[MCAnimationKeyframe2D keyframeWithPoint:atTime:]
00000001ddf9bbf0 (__TEXT,__text) non-external +[MCAnimationKeyframe2D keyframeWithPoint:atTime:offsetKind:]
00000001ddf9af10 (__TEXT,__text) non-external +[MCAnimationKeyframeFunction keyframeWithFunction:atTime:offsetKind:forDuration:]
00000001ddf9c574 (__TEXT,__text) non-external +[MCAnimationKeyframeVector keyframeWithVector:atTime:]
00000001ddf9c5ac (__TEXT,__text) non-external +[MCAnimationKeyframeVector keyframeWithVector:atTime:offsetKind:]
00000001ddf9ca58 (__TEXT,__text) non-external +[MCAnimationPath animationPathWithKey:]
00000001ddf9e030 (__TEXT,__text) non-external +[MCAnimationPathExpression animationPathWithKey:andExpression:]
00000001ddf9e314 (__TEXT,__text) non-external +[MCAnimationPathKeyframed animationPathWithKey:]
00000001ddf9e298 (__TEXT,__text) non-external +[MCAnimationPathKeyframed keyPathsForValuesAffectingValueForKey:]
00000001ddf9ed74 (__TEXT,__text) non-external +[MCAnimationPathKeyframed timeForKeyframe:withPlugTiming:]
00000001ddf98368 (__TEXT,__text) non-external +[MCAnimationTrigger animationTriggerForTargetPlugObjectID:withAnimationKey:]
00000001ddf9ffe4 (__TEXT,__text) non-external +[MCAudioPlaylist keyPathsForValuesAffectingValueForKey:]
00000001ddf972ac (__TEXT,__text) non-external +[MCConditionalAction conditionalActionWithPredicate:]
00000001ddf972f8 (__TEXT,__text) non-external +[MCConditionalAction conditionalActionWithPredicate:actionIfTrue:actionIfFalse:]
00000001ddfa1e70 (__TEXT,__text) non-external +[MCContainerEffect keyPathsForValuesAffectingValueForKey:]
00000001ddfa7014 (__TEXT,__text) non-external +[MCContainerParallelizer keyPathsForValuesAffectingValueForKey:]
00000001ddfa85a8 (__TEXT,__text) non-external +[MCContainerSerializer keyPathsForValuesAffectingValueForKey:]
00000001ddf9a148 (__TEXT,__text) non-external +[MCGenericAction genericActionForTargetPlugObjectID:withAttributes:]
00000001ddf995d8 (__TEXT,__text) non-external +[MCMotionTrigger motionTriggerForTargetPlugObjectID:withKey:andDuration:]
00000001ddf99dc0 (__TEXT,__text) non-external +[MCMotionTriggerExpression motionTriggerForTargetPlugObjectID:withKey:duration:andExpression:]
00000001ddf99b38 (__TEXT,__text) non-external +[MCMotionTriggerScalar motionTriggerForTargetPlugObjectID:withKey:duration:andValue:]
00000001ddfada44 (__TEXT,__text) non-external +[MCObject objectWithImprint:andMontage:]
00000001ddfad7c8 (__TEXT,__text) non-external +[MCObjectBase addArrayElement:toXMLElement:forName:]
00000001ddfad5a0 (__TEXT,__text) non-external +[MCObjectBase addDictionaryElement:toXMLElement:forName:]
00000001ddfad44c (__TEXT,__text) non-external +[MCObjectBase addDoubleAttribute:toXMLElement:forName:]
00000001ddfad3a4 (__TEXT,__text) non-external +[MCObjectBase addFloatAttribute:toXMLElement:forName:]
00000001ddfad504 (__TEXT,__text) non-external +[MCObjectBase addIntegerAttribute:toXMLElement:forName:]
00000001ddfad328 (__TEXT,__text) non-external +[MCObjectBase addStringAttribute:toXMLElement:forName:]
00000001ddfad194 (__TEXT,__text) non-external +[MCObjectBase initialize]
00000001ddfad994 (__TEXT,__text) non-external +[MCObjectLight objectWithImprint:]
00000001ddfae4a0 (__TEXT,__text) non-external +[MCPlug keyPathsForValuesAffectingValueForKey:]
00000001ddfb0c40 (__TEXT,__text) non-external +[MCPlugParallel keyPathsForValuesAffectingValueForKey:]
00000001ddfb52ac (__TEXT,__text) non-external +[MCPlugSerial keyPathsForValuesAffectingValueForKey:]
00000001ddfb5b2c (__TEXT,__text) non-external +[MCSlide keyPathsForValuesAffectingValueForKey:]
00000001ddfba914 (__TEXT,__text) non-external +[MCSong keyPathsForValuesAffectingValueForKey:]
00000001ddf98a4c (__TEXT,__text) non-external +[MCStateOperation stateOperationForTargetPlugObjectID:withStateKey:]
00000001ddf99304 (__TEXT,__text) non-external +[MCStateOperationExpression stateOperationForTargetPlugObjectID:withStateKey:andExpression:]
00000001ddf98dac (__TEXT,__text) non-external +[MCStateOperationScalarSet stateOperationForTargetPlugObjectID:withStateKey:andScalar:]
00000001ddf99030 (__TEXT,__text) non-external +[MCStateOperationStringSet stateOperationForTargetPlugObjectID:withStateKey:andString:]
00000001ddfc3c94 (__TEXT,__text) non-external +[MCTextConversion attributedStringWithCTAttributesFromStringAttributes:]
00000001ddfc44b4 (__TEXT,__text) non-external +[MCTextConversion attributedStringWithNSAttributesFromStringAttributes:]
00000001ddfc29e8 (__TEXT,__text) non-external +[MCTextConversion ligatureFromString:]
00000001ddfc2a88 (__TEXT,__text) non-external +[MCTextConversion shadowFromTextFormat:]
00000001ddfc28d8 (__TEXT,__text) non-external +[MCTextConversion stretchForFontDisplayName:andFamilyName:]
00000001ddfc3ad0 (__TEXT,__text) non-external +[MCTextConversion stringAttributesWithAttributedString:]
00000001ddfc2a5c (__TEXT,__text) non-external +[MCTextConversion stringFromLigature:]
00000001ddfc29bc (__TEXT,__text) non-external +[MCTextConversion stringFromTextAlignment:]
00000001ddfc278c (__TEXT,__text) non-external +[MCTextConversion styleForFontDisplayName:andFamilyName:]
00000001ddfc2948 (__TEXT,__text) non-external +[MCTextConversion textAlignmentFromString:]
00000001ddfc2c50 (__TEXT,__text) non-external +[MCTextConversion textFormatFromShadow:]
00000001ddfc2e70 (__TEXT,__text) non-external +[MCTextConversion textFormatFromUnderlineStyle:]
00000001ddfc2f50 (__TEXT,__text) non-external +[MCTextConversion textFormatWithCTAttributesForText:attributes:]
00000001ddfc35c4 (__TEXT,__text) non-external +[MCTextConversion textFormatWithNSAttributesForText:attributes:]
00000001ddfc2d24 (__TEXT,__text) non-external +[MCTextConversion underlineStyleFromTextFormat:]
00000001ddfc2830 (__TEXT,__text) non-external +[MCTextConversion weightForFontDisplayName:andFamilyName:]
00000001ddf97df8 (__TEXT,__text) non-external +[MCTransitionTrigger transitionForTargetPlugObjectID:withTransitionID:]
00000001de021800 (__TEXT,__text) non-external +[MEAudioSupport _addAudioPlaylistsFromPlug:toComposition:atTime:forTotalDuration:withID:forExport:fadingTimVols:duckingTimVols:assetManagementDelegate:]
00000001de021564 (__TEXT,__text) non-external +[MEAudioSupport _getShowTime:andShowDuration:forPlug:andSlideIndex:]
00000001de02254c (__TEXT,__text) non-external +[MEAudioSupport _insertAudioTracksFromAsset:toComposition:atTime:withSongStartTime:songDuration:]
00000001de022898 (__TEXT,__text) non-external +[MEAudioSupport _makeAVAudioMixForComposition:withDuration:andFadeOutDuration:fadingInfos:duckingInfos:]
00000001de0212dc (__TEXT,__text) non-external +[MEAudioSupport compositionForExportForStartTime:andDuration:withDocument:forExport:audioMix:]
00000001ddfbbe58 (__TEXT,__text) non-external +[MEExporter copyWebRendererToPath:useDebug:]
00000001ddfbc034 (__TEXT,__text) non-external +[MEExporter postProcessWebRendererAtPath:]
00000001ddfbc798 (__TEXT,__text) non-external +[MEExporter(Private) createErrorWithCode:andDescription:andSuggestion:andUnderlyingError:outError:]
00000001ddfbc870 (__TEXT,__text) non-external +[MEExporter(Private) createErrorWithCode:andDescription:outError:]
00000001ddfbc888 (__TEXT,__text) non-external +[MEExporter(Private) createNotEnoughSpaceErrorForFreeSpace:andNeededSpace:outError:]
00000001ddfbc668 (__TEXT,__text) non-external +[MEExporter(Private) createTemporaryDirectoryForPath:error:]
00000001ddfbc9e4 (__TEXT,__text) non-external +[MEExporter(Private) localizedString:]
00000001ddfbcca4 (__TEXT,__text) non-external +[MEExporterManager releaseSharedManager]
00000001ddfbcc34 (__TEXT,__text) non-external +[MEExporterManager sharedManager]
00000001de015c58 (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:loadedImage:size:andDestinationPath:]
00000001de015bf4 (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:size:andDestinationPath:]
00000001de015b80 (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:size:blackWhite:andDestinationPath:]
00000001ddfbda20 (__TEXT,__text) non-external +[MEPluginHTML5 matchesOptions:]
00000001ddfbd9a4 (__TEXT,__text) non-external +[MEPluginHTML5 registerPluginsToLoader:]
00000001de0064fc (__TEXT,__text) non-external +[MEPluginPDF matchesOptions:]
00000001de006480 (__TEXT,__text) non-external +[MEPluginPDF registerPluginsToLoader:]
00000001de06fe0c (__TEXT,__text) non-external +[MEPluginVideoAVFoundation matchesOptions:]
00000001de06fd74 (__TEXT,__text) non-external +[MEPluginVideoAVFoundation registerPluginsToLoader:]
00000001de071ca8 (__TEXT,__text) non-external +[MEPluginVideoImageSequence matchesOptions:]
00000001de071c10 (__TEXT,__text) non-external +[MEPluginVideoImageSequence registerPluginsToLoader:]
00000001dde5c46c (__TEXT,__text) non-external +[MPAction action]
00000001dde5c464 (__TEXT,__text) non-external +[MPAction supportsSecureCoding]
00000001dde5e884 (__TEXT,__text) non-external +[MPActionGroup actionGroup]
00000001dde5e8b4 (__TEXT,__text) non-external +[MPActionGroup supportsSecureCoding]
00000001dde5d644 (__TEXT,__text) non-external +[MPActionTrigger actionTrigger]
00000001dde5d63c (__TEXT,__text) non-external +[MPActionTrigger supportsSecureCoding]
00000001dde5f54c (__TEXT,__text) non-external +[MPAnimatedSet supportsSecureCoding]
00000001dde61dac (__TEXT,__text) non-external +[MPAnimationKeyframe supportsSecureCoding]
00000001dde62270 (__TEXT,__text) non-external +[MPAnimationKeyframe1D keyframe1DWithScalar:atTime:]
00000001dde622b8 (__TEXT,__text) non-external +[MPAnimationKeyframe1D keyframe1DWithScalar:atTime:offsetType:]
00000001dde62268 (__TEXT,__text) non-external +[MPAnimationKeyframe1D supportsSecureCoding]
00000001dde626a8 (__TEXT,__text) non-external +[MPAnimationKeyframe2D keyframe2DWithPoint:atTime:]
00000001dde62700 (__TEXT,__text) non-external +[MPAnimationKeyframe2D keyframe2DWithPoint:atTime:offsetType:]
00000001dde626a0 (__TEXT,__text) non-external +[MPAnimationKeyframe2D supportsSecureCoding]
00000001dde63a50 (__TEXT,__text) non-external +[MPAnimationKeyframeFunction keyframeFunctionWithFunction:atTime:offsetType:withDuration:]
00000001dde639f8 (__TEXT,__text) non-external +[MPAnimationKeyframeFunction keyframeFunctionWithFunction:atTime:withDuration:]
00000001dde639f0 (__TEXT,__text) non-external +[MPAnimationKeyframeFunction supportsSecureCoding]
00000001dde63574 (__TEXT,__text) non-external +[MPAnimationKeyframeVector keyframeVectorWithVector:atTime:]
00000001dde635c4 (__TEXT,__text) non-external +[MPAnimationKeyframeVector keyframeVectorWithVector:atTime:offsetType:]
00000001dde6356c (__TEXT,__text) non-external +[MPAnimationKeyframeVector supportsSecureCoding]
00000001dde6465c (__TEXT,__text) non-external +[MPAnimationManager releaseSharedManager]
00000001dde645e8 (__TEXT,__text) non-external +[MPAnimationManager sharedManager]
00000001dde64738 (__TEXT,__text) non-external +[MPAnimationManager(Private) loadAnimationManagerWithPaths:]
00000001dde64acc (__TEXT,__text) non-external +[MPAnimationPath animationPath]
00000001dde64ac4 (__TEXT,__text) non-external +[MPAnimationPath supportsSecureCoding]
00000001dde64d30 (__TEXT,__text) non-external +[MPAnimationPathCombo animationPath]
00000001dde64d28 (__TEXT,__text) non-external +[MPAnimationPathCombo supportsSecureCoding]
00000001dde654a8 (__TEXT,__text) non-external +[MPAnimationPathKeyframed animationPath]
00000001dde654a0 (__TEXT,__text) non-external +[MPAnimationPathKeyframed supportsSecureCoding]
00000001dde5d1c8 (__TEXT,__text) non-external +[MPAnimationTrigger animationTrigger]
00000001dde5d1c0 (__TEXT,__text) non-external +[MPAnimationTrigger supportsSecureCoding]
00000001dde67bf4 (__TEXT,__text) non-external +[MPAssetManager releaseSharedManager]
00000001dde67be8 (__TEXT,__text) non-external +[MPAssetManager setInhibitSharedManagerInit:]
00000001dde4b8fc (__TEXT,__text) non-external +[MPAssetManager sharedManager]
00000001dde685e0 (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBuffer:]
00000001dde688d4 (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBufferUsingDataProvider:]
00000001dde6879c (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBufferUsingRGBDevice:]
00000001dde68aa4 (__TEXT,__text) non-external +[MPAudioPlaylist audioPlaylist]
00000001dde68a74 (__TEXT,__text) non-external +[MPAudioPlaylist automaticallyNotifiesObserversForKey:]
00000001dde68a9c (__TEXT,__text) non-external +[MPAudioPlaylist supportsSecureCoding]
00000001dde6a494 (__TEXT,__text) non-external +[MPAuthoringController releaseSharedController]
00000001dde6a428 (__TEXT,__text) non-external +[MPAuthoringController sharedController]
00000001dde90f14 (__TEXT,__text) non-external +[MPAuthoringUtilities alignToBeatsFromOptions:]
00000001dde933b0 (__TEXT,__text) non-external +[MPAuthoringUtilities alwaysIncludeLastTransitionFromOptions:]
00000001dde91960 (__TEXT,__text) non-external +[MPAuthoringUtilities aspectRatioFromOptions:]
00000001dde93b58 (__TEXT,__text) non-external +[MPAuthoringUtilities aspectRatioMatchesDefault:withOptions:]
00000001dde9079c (__TEXT,__text) non-external +[MPAuthoringUtilities audioDurationFactorFromOptions:]
00000001dde90754 (__TEXT,__text) non-external +[MPAuthoringUtilities audioDurationFromOptions:]
00000001dde907e4 (__TEXT,__text) non-external +[MPAuthoringUtilities audioScalingModeFromOptions:]
00000001dde91178 (__TEXT,__text) non-external +[MPAuthoringUtilities backgroundColorFromOptions:]
00000001dde93844 (__TEXT,__text) non-external +[MPAuthoringUtilities baseBreakAspectRatioFromOptions:]
00000001dde938b8 (__TEXT,__text) non-external +[MPAuthoringUtilities basePortraitBreakAspectRatioFromOptions:]
00000001dde91128 (__TEXT,__text) non-external +[MPAuthoringUtilities beatFactorFromOptions:]
00000001dde9375c (__TEXT,__text) non-external +[MPAuthoringUtilities breakDurationScaleFromOptions:]
00000001dde93170 (__TEXT,__text) non-external +[MPAuthoringUtilities canAdjustPhaseDurations:]
00000001dde92e5c (__TEXT,__text) non-external +[MPAuthoringUtilities canHaveTransitionsFromOptions:]
00000001dde91424 (__TEXT,__text) non-external +[MPAuthoringUtilities canRepeatEffectWithPreset:]
00000001dde9156c (__TEXT,__text) non-external +[MPAuthoringUtilities canRepeatPreset:]
00000001dde91acc (__TEXT,__text) non-external +[MPAuthoringUtilities collectVersionInformationFromOptions:]
00000001dde92cec (__TEXT,__text) non-external +[MPAuthoringUtilities colorSchemeFromOptions:]
00000001dde90fa8 (__TEXT,__text) non-external +[MPAuthoringUtilities createBeatsFromOptions:]
00000001dde908b4 (__TEXT,__text) non-external +[MPAuthoringUtilities croppingModeForFitMoviesFromOptions:]
00000001dde90828 (__TEXT,__text) non-external +[MPAuthoringUtilities croppingModeFromOptions:]
00000001dde93620 (__TEXT,__text) non-external +[MPAuthoringUtilities customDurationsFromOptions:]
00000001dde93d78 (__TEXT,__text) non-external +[MPAuthoringUtilities distanceBetween:andPoint:]
00000001dde912f0 (__TEXT,__text) non-external +[MPAuthoringUtilities durationPerEffectFromOptions:]
00000001dde90c84 (__TEXT,__text) non-external +[MPAuthoringUtilities easeKenBurnsPanFromOptions:]
00000001dde92c48 (__TEXT,__text) non-external +[MPAuthoringUtilities effectDecidesTransitionFromOptions:]
00000001dde919a0 (__TEXT,__text) non-external +[MPAuthoringUtilities effectListFromOptions:]
00000001dde914c8 (__TEXT,__text) non-external +[MPAuthoringUtilities effectNeedsPreviousAttributesFromOptions:]
00000001dde925ac (__TEXT,__text) non-external +[MPAuthoringUtilities effectPadding:]
00000001dde926c0 (__TEXT,__text) non-external +[MPAuthoringUtilities exportTransitionDurationFromOptions:]
00000001dde92654 (__TEXT,__text) non-external +[MPAuthoringUtilities exportTransitionIDFromOptions:]
00000001dde93320 (__TEXT,__text) non-external +[MPAuthoringUtilities fadeOutAudioFromOptions:]
00000001dde93634 (__TEXT,__text) non-external +[MPAuthoringUtilities fadeOutDurationFromOptions:]
00000001dde918a0 (__TEXT,__text) non-external +[MPAuthoringUtilities fitMoviesWhenPossibleFromOptions:]
00000001dde93b44 (__TEXT,__text) non-external +[MPAuthoringUtilities gapInformationFromOptions:]
00000001dde921c0 (__TEXT,__text) non-external +[MPAuthoringUtilities idFromPresetID:]
00000001dde90494 (__TEXT,__text) non-external +[MPAuthoringUtilities ignoreClusteringForImages:withOptions:]
00000001dde91bbc (__TEXT,__text) non-external +[MPAuthoringUtilities ignoreTransitionListFromOptions:]
00000001dde91d24 (__TEXT,__text) non-external +[MPAuthoringUtilities introDurationFromOptions:]
00000001dde92028 (__TEXT,__text) non-external +[MPAuthoringUtilities introEffectIDFromOptions:]
00000001dde93ac0 (__TEXT,__text) non-external +[MPAuthoringUtilities isLayerEffectAuthoredFromOptions:]
00000001dde93ca4 (__TEXT,__text) non-external +[MPAuthoringUtilities kbCenterPointFromRect:]
00000001dde90b7c (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsAlwaysZoomInFromOptions:]
00000001dde90c00 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsBreaksFromOptions:]
00000001dde90b08 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsEndZoomLevelFromOptions:]
00000001dde90d08 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsLevelFromOptions:]
00000001dde9091c (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsLikelihoodFromOptions:]
00000001dde90d98 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsOffsetTypeFromOptions:]
00000001dde90a04 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsPanFactorFromOptions:]
00000001dde90a94 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsStartZoomLevelFromOptions:]
00000001dde91a38 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsZoomFactorFromOptions:]
00000001dde923bc (__TEXT,__text) non-external +[MPAuthoringUtilities lastPresetFromOptions:]
00000001dde90e20 (__TEXT,__text) non-external +[MPAuthoringUtilities layerCanSkipScaleCalculation:withOptions:]
00000001dde92730 (__TEXT,__text) non-external +[MPAuthoringUtilities layerDescriptionForLayerWithZIndex:forStyle:]
00000001dde92878 (__TEXT,__text) non-external +[MPAuthoringUtilities layerHasImagesFromOptions:]
00000001dde90710 (__TEXT,__text) non-external +[MPAuthoringUtilities layerIndexFromOptions:]
00000001dde9139c (__TEXT,__text) non-external +[MPAuthoringUtilities layerOffsetFromOptions:]
00000001dde91090 (__TEXT,__text) non-external +[MPAuthoringUtilities layerTimeScaleFromOptions:]
00000001dde93470 (__TEXT,__text) non-external +[MPAuthoringUtilities layerTypeFromOptions:]
00000001dde90fec (__TEXT,__text) non-external +[MPAuthoringUtilities lockTransitionDurationFromOptions:]
00000001dde925e8 (__TEXT,__text) non-external +[MPAuthoringUtilities loopTransitionIDFromOptions:]
00000001dde93a3c (__TEXT,__text) non-external +[MPAuthoringUtilities matchEffectsUsingTagsFromOptions:]
00000001dde9124c (__TEXT,__text) non-external +[MPAuthoringUtilities matchPhasesWithTransitionFromOptions:]
00000001dde909c8 (__TEXT,__text) non-external +[MPAuthoringUtilities maxKenBurnsZoomFromOptions:]
00000001dde91fe0 (__TEXT,__text) non-external +[MPAuthoringUtilities maxNumberOfSlidesToPreloadFromOptions:]
00000001dde92a30 (__TEXT,__text) non-external +[MPAuthoringUtilities maximumTransitionDurationFromOptions:]
00000001dde92adc (__TEXT,__text) non-external +[MPAuthoringUtilities minimumEffectDurationFromOptions:]
00000001dde91f9c (__TEXT,__text) non-external +[MPAuthoringUtilities minimumNumberOfDynamicSlidesToAddFromOptions:]
00000001dde92988 (__TEXT,__text) non-external +[MPAuthoringUtilities minimumTransitionDurationFromOptions:]
00000001dde92c0c (__TEXT,__text) non-external +[MPAuthoringUtilities movieVolumeFromOptions:]
00000001dde93d94 (__TEXT,__text) non-external +[MPAuthoringUtilities multilineSizeFactorFromOptions:]
00000001dde92f3c (__TEXT,__text) non-external +[MPAuthoringUtilities needsFitMovieAttributeFromOptions:]
00000001dde92920 (__TEXT,__text) non-external +[MPAuthoringUtilities numberOfLayersFromOptions:]
00000001dde91e50 (__TEXT,__text) non-external +[MPAuthoringUtilities outroDurationFromOptions:]
00000001dde91c68 (__TEXT,__text) non-external +[MPAuthoringUtilities outroEffectIDFromOptions:]
00000001dde92bc8 (__TEXT,__text) non-external +[MPAuthoringUtilities padTextOnlyEffects:]
00000001dde935a4 (__TEXT,__text) non-external +[MPAuthoringUtilities performFaceDetectionFromOptions:]
00000001dde93054 (__TEXT,__text) non-external +[MPAuthoringUtilities pickEffectsEvenlyByIDWithOptions:]
00000001dde92fa4 (__TEXT,__text) non-external +[MPAuthoringUtilities pickTransitionsEvenlyByIDWithOptions:]
00000001dde937d0 (__TEXT,__text) non-external +[MPAuthoringUtilities portraitBreakDurationScaleFromOptions:]
00000001dde933f4 (__TEXT,__text) non-external +[MPAuthoringUtilities presentationOrderFromOptions:]
00000001dde92234 (__TEXT,__text) non-external +[MPAuthoringUtilities presetIDFromPresetID:]
00000001dde918e4 (__TEXT,__text) non-external +[MPAuthoringUtilities randomSeedFromOptions:]
00000001dde934e0 (__TEXT,__text) non-external +[MPAuthoringUtilities reconfigureRangeFromOptions:]
00000001dde93c74 (__TEXT,__text) non-external +[MPAuthoringUtilities rectToFitIn:withAspectRatio:]
00000001dde93528 (__TEXT,__text) non-external +[MPAuthoringUtilities regionOfInterestPickModeFromOptions:]
00000001dde92da4 (__TEXT,__text) non-external +[MPAuthoringUtilities reorderModeFromOptions:]
00000001dde91b14 (__TEXT,__text) non-external +[MPAuthoringUtilities repeatTransitionsFromOptions:]
00000001dde91130 (__TEXT,__text) non-external +[MPAuthoringUtilities replaceAudioPlaylistFromOptions:]
00000001dde93228 (__TEXT,__text) non-external +[MPAuthoringUtilities requestGeneratedImagesFromOptions:]
00000001dde936bc (__TEXT,__text) non-external +[MPAuthoringUtilities scaleEffectsForPanoramasFromOptions:]
00000001dde91ef8 (__TEXT,__text) non-external +[MPAuthoringUtilities scaleOutroEffectFromOptions:]
00000001dde9392c (__TEXT,__text) non-external +[MPAuthoringUtilities screenSizeFromOptions:]
00000001dde9229c (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeFramesFromOptions:]
00000001dde92504 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeLoopTransitionFromOptions:]
00000001dde92458 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeSlideFiltersFromOptions:]
00000001dde9230c (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeTransitionsFromOptions:]
00000001dde93368 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldDuckMoviesFromOptions:]
00000001dde906d8 (__TEXT,__text) non-external +[MPAuthoringUtilities styleFromOptions:]
00000001dde9360c (__TEXT,__text) non-external +[MPAuthoringUtilities subtitlesFromOptions:]
00000001dde920c4 (__TEXT,__text) non-external +[MPAuthoringUtilities titleEffectFromOptions:]
00000001dde91614 (__TEXT,__text) non-external +[MPAuthoringUtilities transitionDurationFromOptions:]
00000001dde91bd0 (__TEXT,__text) non-external +[MPAuthoringUtilities transitionListFromOptions:]
00000001dde905c4 (__TEXT,__text) non-external +[MPAuthoringUtilities urlsFromPaths:]
00000001dde916dc (__TEXT,__text) non-external +[MPAuthoringUtilities useBestAspectRatioFromOptions:]
