00007ff840097028 (__DATA,__data) non-external _C
00007ff800a7a7f1 (__TEXT,__text) non-external __MSKanji_mbrtowc
00007ff800a7aa1a (__TEXT,__text) non-external __MSKanji_mbsinit
00007ff800a7a8c0 (__TEXT,__text) non-external __MSKanji_wcrtomb
00007ff800a5edb2 (__TEXT,__text) external __NSGetArgc
00007ff800a5eda5 (__TEXT,__text) external __NSGetArgv
00007ff800a5edbf (__TEXT,__text) external __NSGetEnviron
00007ff800a5edd9 (__TEXT,__text) external __NSGetMachExecuteHeader
00007ff800a5edcc (__TEXT,__text) external __NSGetProgname
00007ff8400a4950 (__DATA,__common) external __PathLocale
00007ff800aa8d64 (__TEXT,__text) external __Read_RuneMagi
00007ff800a9f882 (__TEXT,__text) non-external (was a private external) __UTF2_init
00007ff800a9f8cf (__TEXT,__text) non-external __UTF2_mbrtowc
00007ff800a9fab4 (__TEXT,__text) non-external __UTF2_mbsinit
00007ff800a9face (__TEXT,__text) non-external __UTF2_mbsnrtowcs
00007ff800a9fa2d (__TEXT,__text) non-external __UTF2_wcrtomb
00007ff800a9fc49 (__TEXT,__text) non-external __UTF2_wcsnrtombs
00007ff800a7c4b7 (__TEXT,__text) non-external (was a private external) __UTF8_init
00007ff800a7c504 (__TEXT,__text) non-external __UTF8_mbrtowc
00007ff800a7c790 (__TEXT,__text) non-external __UTF8_mbsinit
00007ff800a7c7aa (__TEXT,__text) non-external __UTF8_mbsnrtowcs
00007ff800a7c6e4 (__TEXT,__text) non-external __UTF8_wcrtomb
00007ff800a7c925 (__TEXT,__text) non-external __UTF8_wcsnrtombs
00007ff800a6b92e (__TEXT,__text) external ___Balloc_D2A
00007ff800a6ba77 (__TEXT,__text) external ___Bfree_D2A
00007ff800a5c6ae (__TEXT,__text) external ____mb_cur_max
00007ff800a5c6dc (__TEXT,__text) external ____mb_cur_max_l
00007ff800a7b5ab (__TEXT,__text) external ____runetype
00007ff800a7b4fe (__TEXT,__text) external ____runetype_l
00007ff800a7c3c2 (__TEXT,__text) external ____tolower
00007ff800a7c31d (__TEXT,__text) external ____tolower_l
00007ff800a7c48f (__TEXT,__text) external ____toupper
00007ff800a7c3ea (__TEXT,__text) external ____toupper_l
00007ff800abe67e (__TEXT,__text) non-external (was a private external) ___abort
00007ff800a665a9 (__TEXT,__text) external ___add_ovflpage
00007ff800a66326 (__TEXT,__text) external ___addel
00007ff800a6c53e (__TEXT,__text) external ___any_on_D2A
00007ff800abd98a (__TEXT,__text) external ___assert_rtn
00007ff8400a4878 (__DATA,__bss) non-external ___atexit
00007ff800aa0045 (__TEXT,__text) non-external (was a private external) ___atexit_init
00007ff8400a4880 (__DATA,__bss) non-external ___atexit_new_registration
00007ff800a6c103 (__TEXT,__text) external ___b2d_D2A
00007ff800a64c3c (__TEXT,__text) external ___big_delete
00007ff800a6497c (__TEXT,__text) external ___big_insert
00007ff800a6526c (__TEXT,__text) external ___big_keydata
00007ff800a64eff (__TEXT,__text) external ___big_return
00007ff800a653e1 (__TEXT,__text) external ___big_split
00007ff800ac00e0 (__TEXT,__const) external ___bigtens_D2A
00007ff800a5f841 (__TEXT,__text) external ___bt_close
00007ff800a63595 (__TEXT,__text) external ___bt_cmp
00007ff800a63635 (__TEXT,__text) external ___bt_defcmp
00007ff800a6367c (__TEXT,__text) external ___bt_defpfx
00007ff800a5fcaa (__TEXT,__text) external ___bt_delete
00007ff800a60301 (__TEXT,__text) external ___bt_dleaf
00007ff800a6118b (__TEXT,__text) external ___bt_fd
00007ff800a621de (__TEXT,__text) non-external ___bt_first
00007ff800a6154d (__TEXT,__text) external ___bt_free
00007ff800a6095f (__TEXT,__text) external ___bt_get
00007ff800a6157e (__TEXT,__text) external ___bt_new
00007ff800a60a3c (__TEXT,__text) external ___bt_open
00007ff800a606cb (__TEXT,__text) non-external ___bt_pdelete
00007ff800a5f9db (__TEXT,__text) external ___bt_pgin
00007ff800a5fb64 (__TEXT,__text) external ___bt_pgout
00007ff800a615d1 (__TEXT,__text) external ___bt_put
00007ff800a608d6 (__TEXT,__text) non-external ___bt_relink
00007ff800a633dd (__TEXT,__text) external ___bt_ret
00007ff800a61b4e (__TEXT,__text) external ___bt_search
00007ff800a61db8 (__TEXT,__text) external ___bt_seq
00007ff800a62194 (__TEXT,__text) external ___bt_setcur
00007ff800a623b5 (__TEXT,__text) external ___bt_split
00007ff800a5ffa8 (__TEXT,__text) non-external ___bt_stkacq
00007ff800a5f90d (__TEXT,__text) external ___bt_sync
00007ff800a659ba (__TEXT,__text) external ___buf_free
00007ff800a65982 (__TEXT,__text) non-external (was a private external) ___buf_init
00007ff840097030 (__DATA,__data) non-external ___c_locale
00007ff800aae9cc (__TEXT,__text) non-external ___calc_left_pad
00007ff800a644ca (__TEXT,__text) external ___call_hash
00007ff8400980c0 (__DATA,__data) non-external (was a private external) ___chk_assert_no_overlap
00007ff800abca53 (__TEXT,__text) non-external (was a private external) ___chk_fail_overflow
00007ff800abca65 (__TEXT,__text) non-external (was a private external) ___chk_fail_overlap
00007ff800abca4d (__TEXT,__text) non-external (was a private external) ___chk_init
00007ff800abca77 (__TEXT,__text) non-external (was a private external) ___chk_overlap
00007ff8400a49c0 (__DATA,__common) external ___cleanup
00007ff800a6bfa7 (__TEXT,__text) external ___cmp_D2A
00007ff800a77695 (__TEXT,__text) non-external (was a private external) ___collate_collating_symbol
00007ff800a77840 (__TEXT,__text) non-external (was a private external) ___collate_equiv_class
00007ff800a779b9 (__TEXT,__text) external ___collate_equiv_match
00007ff800a77e16 (__TEXT,__text) non-external (was a private external) ___collate_equiv_value
00007ff800a76eb6 (__TEXT,__text) non-external (was a private external) ___collate_err
00007ff8400976f8 (__DATA,__data) external ___collate_load_error
00007ff800a765c5 (__TEXT,__text) non-external (was a private external) ___collate_load_tables
00007ff840099d00 (__DATA,__bss) non-external ___collate_load_tables.cache
00007ff800a771c8 (__TEXT,__text) external ___collate_lookup
00007ff800a76f71 (__TEXT,__text) external ___collate_lookup_l
00007ff800a77395 (__TEXT,__text) non-external (was a private external) ___collate_lookup_which
00007ff800a77286 (__TEXT,__text) non-external (was a private external) ___collate_mbstowcs
00007ff800a77f4e (__TEXT,__text) non-external (was a private external) ___collate_range_cmp
00007ff840099d08 (__DATA,__bss) non-external ___collate_range_cmp.s1
00007ff840099d10 (__DATA,__bss) non-external ___collate_range_cmp.s2
00007ff800a76c9f (__TEXT,__text) non-external (was a private external) ___collate_substitute
00007ff800a76e64 (__TEXT,__text) non-external (was a private external) ___collate_wcsdup
00007ff800a77456 (__TEXT,__text) non-external (was a private external) ___collate_xfrm
                 (undefined) external ___commpage_gettimeofday (from libsystem_kernel)
00007ff800a556ec (__TEXT,__text) non-external (was a private external) ___confstr_init
00007ff800a6c4c5 (__TEXT,__text) external ___copybits_D2A
00007ff800aa8247 (__TEXT,__text) non-external ___cvt
00007ff8400a48f0 (__DATA,__bss) non-external ___cvt.s
00007ff800aa01f6 (__TEXT,__text) external ___cxa_atexit
00007ff800aa0425 (__TEXT,__text) external ___cxa_finalize
00007ff800aa0229 (__TEXT,__text) external ___cxa_finalize_ranges
00007ff800a6c1bf (__TEXT,__text) external ___d2b_D2A
00007ff8400a4970 (__DATA,__common) non-external (was a private external) ___darwin_altzone
00007ff800a63765 (__TEXT,__text) non-external ___dberr
00007ff800a63740 (__TEXT,__text) external ___dbpanic
00007ff840097608 (__DATA,__data) external ___default_hash
00007ff800a65bd4 (__TEXT,__text) external ___delpair
00007ff800a7bc19 (__TEXT,__text) non-external (was a private external) ___detect_path_locale
00007ff800a6bfef (__TEXT,__text) external ___diff_D2A
00007ff840099a50 (__DATA,__bss) non-external ___dirhelper_func
00007ff800a6974c (__TEXT,__text) external ___dtoa
00007ff8400a49e0 (__DATA,__common) non-external (was a private external) ___env_owned
00007ff800aa0757 (__TEXT,__text) non-external (was a private external) ___environ_lock_fork_child
00007ff8400a4884 (__DATA,__bss) non-external ___environ_lock_obj
                 (undefined) external ___error (from libsystem_kernel)
00007ff800a9cf65 (__TEXT,__text) non-external (was a private external) ___errstr
00007ff800a83838 (__TEXT,__text) non-external ___evpinit
                 (undefined) external ___exit (from libsystem_kernel)
00007ff800a64375 (__TEXT,__text) external ___expand_table
00007ff84009b790 (__DATA,__bss) non-external ___fallback_evp
                 (undefined) external ___fcntl (from libsystem_kernel)
                 (undefined) external ___fcntl_nocancel (from libsystem_kernel)
00007ff800a80423 (__TEXT,__text) external ___fflush
00007ff800a80821 (__TEXT,__text) external ___fgetwc
00007ff800a840c0 (__TEXT,__text) non-external (was a private external) ___find_arguments
00007ff800a64d72 (__TEXT,__text) external ___find_bigpair
00007ff800a64e88 (__TEXT,__text) external ___find_last_page
00007ff800a851a0 (__TEXT,__text) non-external (was a private external) ___find_warguments
00007ff800aa069b (__TEXT,__text) non-external (was a private external) ___findenv_locked
00007ff800a78aee (__TEXT,__text) external ___fix_locale_grouping_str
00007ff800a78ba6 (__TEXT,__text) non-external (was a private external) ___fix_nogrouping
                 (undefined) external ___fork (from libsystem_kernel)
                 (undefined) external ___fpclassifyd (from libsystem_m)
                 (undefined) external ___fpclassifyl (from libsystem_m)
00007ff800a8150d (__TEXT,__text) non-external (was a private external) ___fputwc
00007ff800a819fb (__TEXT,__text) external ___fread
00007ff800a66e8b (__TEXT,__text) external ___free_ovflpage
00007ff800a695ea (__TEXT,__text) external ___freedtoa
00007ff8400980c4 (__DATA,__data) non-external (was a private external) ___ftell_conformance_fix
00007ff800a5638d (__TEXT,__text) non-external ___fts_open
00007ff800a6a680 (__TEXT,__text) external ___gdtoa
00007ff8400a4920 (__DATA,__common) external ___gdtoa_locks
00007ff800a65570 (__TEXT,__text) external ___get_buf
00007ff800a7961b (__TEXT,__text) non-external (was a private external) ___get_current_messages_locale
00007ff800a79b2f (__TEXT,__text) non-external (was a private external) ___get_current_monetary_locale
00007ff800a79dfe (__TEXT,__text) non-external (was a private external) ___get_current_numeric_locale
00007ff800a9c737 (__TEXT,__text) non-external (was a private external) ___get_current_time_locale
00007ff800a7ba5f (__TEXT,__text) non-external (was a private external) ___get_locale_env
00007ff800a6694c (__TEXT,__text) external ___get_page
00007ff800a70db7 (__TEXT,__text) non-external ___getcwd
                 (undefined) external ___getdirentries64 (from libsystem_kernel)
00007ff84009b770 (__DATA,__bss) non-external ___getevp.predicate
                 (undefined) external ___gettimeofday (from libsystem_kernel)
00007ff840096a58 (__DATA,__data) non-external (was a private external) ___global_locale
00007ff800a9fdc2 (__TEXT,__text) non-external (was a private external) ___guard_setup
00007ff800a63770 (__TEXT,__text) external ___hash_open
00007ff800a68f8c (__TEXT,__text) external ___hdtoa
00007ff800aa8912 (__TEXT,__text) non-external (was a private external) ___heapsort_r
00007ff800a6bbea (__TEXT,__text) external ___hi0bits_D2A
00007ff800a692fe (__TEXT,__text) external ___hldtoa
00007ff800a6bc56 (__TEXT,__text) external ___i2b_D2A
00007ff800a66dc0 (__TEXT,__text) external ___ibitmap
00007ff800aa6082 (__TEXT,__text) non-external (was a private external) ___init__env_owned_locked
00007ff800a7b0d6 (__TEXT,__text) external ___isctype
00007ff800a7b06d (__TEXT,__text) external ___istype
00007ff800a7b22f (__TEXT,__text) external ___istype_l
00007ff840097671 (__DATA,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
                 (undefined) external ___kill (from libsystem_kernel)
00007ff800a793a6 (__TEXT,__text) non-external (was a private external) ___ldpart_free_extra
00007ff800aa8ba0 (__TEXT,__text) external ___ldtoa
00007ff800a5ed22 (__TEXT,__text) external ___libc_init
00007ff800a6bac2 (__TEXT,__text) external ___lo0bits_D2A
00007ff800a83863 (__TEXT,__text) non-external ___loadevp
00007ff840097020 (__DATA,__data) non-external (was a private external) ___locale_key
00007ff800a65bb8 (__TEXT,__text) external ___log2
00007ff800ac0f20 (__TEXT,__const) non-external (was a private external) ___lowercase_hex
00007ff800a6bead (__TEXT,__text) external ___lshift_D2A
00007ff800a7b01c (__TEXT,__text) external ___maskrune
00007ff800a7b1db (__TEXT,__text) external ___maskrune_l
00007ff800a6c488 (__TEXT,__text) external ___match_D2A
00007ff840097700 (__DATA,__data) external ___mb_cur_max
00007ff840097704 (__DATA,__data) external ___mb_sb_limit
00007ff800a9286e (__TEXT,__text) non-external ___mbsconv
00007ff800a7a393 (__TEXT,__text) non-external (was a private external) ___mbsnrtowcs_std
00007ff800abcc47 (__TEXT,__text) external ___memccpy_chk
00007ff800abd0bb (__TEXT,__text) external ___memcpy_chk
00007ff800abcbe2 (__TEXT,__text) external ___memmove_chk
00007ff800abcaa3 (__TEXT,__text) external ___memset_chk
00007ff800a793ba (__TEXT,__text) non-external (was a private external) ___messages_load_locale
00007ff840099d18 (__DATA,__bss) non-external ___messages_load_locale.cache
00007ff800a7963e (__TEXT,__text) non-external (was a private external) ___monetary_load_locale
00007ff840099d28 (__DATA,__bss) non-external ___monetary_load_locale.cache
00007ff800a6bc79 (__TEXT,__text) external ___mult_D2A
00007ff800a6bb51 (__TEXT,__text) external ___multadd_D2A
00007ff800a7fc00 (__TEXT,__text) non-external ___nls_free_resources
00007ff800ac08b1 (__TEXT,__const) non-external ___nogrouping
00007ff800a695a7 (__TEXT,__text) external ___nrv_alloc_D2A
00007ff800a5c3d4 (__TEXT,__text) non-external (was a private external) ___numeric_ctype
00007ff800a79b52 (__TEXT,__text) non-external (was a private external) ___numeric_load_locale
00007ff840099d38 (__DATA,__bss) non-external ___numeric_load_locale.cache
                 (undefined) external ___open (from libsystem_kernel)
                 (undefined) external ___open_nocancel (from libsystem_kernel)
00007ff800a7bcac (__TEXT,__text) non-external (was a private external) ___open_path_locale
00007ff800a7163d (__TEXT,__text) external ___opendir2
00007ff800a7174c (__TEXT,__text) non-external ___opendir_common
00007ff800a6148b (__TEXT,__text) external ___ovfl_delete
00007ff800a612b8 (__TEXT,__text) external ___ovfl_get
00007ff800a61393 (__TEXT,__text) external ___ovfl_put
00007ff800a8e714 (__TEXT,__text) non-external (was a private external) ___parsefloat_buf
00007ff84009b7b8 (__DATA,__bss) non-external ___parsefloat_buf.bsiz
00007ff84009b7b0 (__DATA,__bss) non-external ___parsefloat_buf.parsefloat_tsd_key
00007ff840097ce0 (__DATA,__data) non-external ___parsefloat_buf.parsefloat_tsd_lock
00007ff800a79131 (__TEXT,__text) non-external (was a private external) ___part_load_locale
                 (undefined) external ___platform_sigaction (from libsystem_platform)
00007ff8400a4940 (__DATA,__common) non-external (was a private external) ___popen_pidlist
00007ff840097678 (__DATA,__data) non-external (was a private external) ___popen_pidlist_mutex
00007ff800a6bda6 (__TEXT,__text) external ___pow5mult_D2A
00007ff800ac00d0 (__TEXT,__const) non-external ___pow5mult_D2A.p05
00007ff800aabb9d (__TEXT,__text) non-external (was a private external) ___printf_arginfo_chr
00007ff800abe9ef (__TEXT,__text) non-external ___printf_arginfo_chr.cold.1
00007ff800aa9dea (__TEXT,__text) non-external (was a private external) ___printf_arginfo_errno
00007ff800abe87c (__TEXT,__text) non-external ___printf_arginfo_errno.cold.1
00007ff800aa9ed8 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_float
00007ff800abe8a0 (__TEXT,__text) non-external ___printf_arginfo_float.cold.1
00007ff800aaab20 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_hexdump
00007ff800abe8e6 (__TEXT,__text) non-external ___printf_arginfo_hexdump.cold.1
00007ff800aaada2 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_int
00007ff800abe907 (__TEXT,__text) non-external ___printf_arginfo_int.cold.1
00007ff800aac30c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_n
00007ff800abea57 (__TEXT,__text) non-external ___printf_arginfo_n.cold.1
00007ff800aac2ee (__TEXT,__text) non-external (was a private external) ___printf_arginfo_pct
00007ff800aab556 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_ptr
00007ff800abe98a (__TEXT,__text) non-external ___printf_arginfo_ptr.cold.1
00007ff800aab5fb (__TEXT,__text) non-external (was a private external) ___printf_arginfo_quote
00007ff800abe9ad (__TEXT,__text) non-external ___printf_arginfo_quote.cold.1
00007ff800aab897 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_str
00007ff800abe9ce (__TEXT,__text) non-external ___printf_arginfo_str.cold.1
00007ff800aabd25 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_time
00007ff800abea12 (__TEXT,__text) non-external ___printf_arginfo_time.cold.1
00007ff800aac01c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_vis
00007ff800abea33 (__TEXT,__text) non-external ___printf_arginfo_vis.cold.1
00007ff800aac399 (__TEXT,__text) non-external (was a private external) ___printf_comp
00007ff800aacaee (__TEXT,__text) non-external (was a private external) ___printf_exec
00007ff800aac140 (__TEXT,__text) non-external (was a private external) ___printf_flush
00007ff800a87bef (__TEXT,__text) non-external (was a private external) ___printf_is_memory_read_only
00007ff800aac262 (__TEXT,__text) non-external (was a private external) ___printf_out
00007ff800aac1ee (__TEXT,__text) non-external (was a private external) ___printf_pad
00007ff800aac173 (__TEXT,__text) non-external (was a private external) ___printf_puts
00007ff800aabbe0 (__TEXT,__text) non-external (was a private external) ___printf_render_chr
00007ff800aa9e09 (__TEXT,__text) non-external (was a private external) ___printf_render_errno
00007ff800aa9f14 (__TEXT,__text) non-external (was a private external) ___printf_render_float
00007ff800abe8c3 (__TEXT,__text) non-external ___printf_render_float.cold.1
00007ff800aaab47 (__TEXT,__text) non-external (was a private external) ___printf_render_hexdump
00007ff800aaae23 (__TEXT,__text) non-external (was a private external) ___printf_render_int
00007ff800abe92a (__TEXT,__text) non-external ___printf_render_int.cold.1
00007ff800abe967 (__TEXT,__text) non-external ___printf_render_int.cold.2
00007ff800aac32b (__TEXT,__text) non-external (was a private external) ___printf_render_n
00007ff800aac2f6 (__TEXT,__text) non-external (was a private external) ___printf_render_pct
00007ff800aab583 (__TEXT,__text) non-external (was a private external) ___printf_render_ptr
00007ff800aab61a (__TEXT,__text) non-external (was a private external) ___printf_render_quote
00007ff800aab8cd (__TEXT,__text) non-external (was a private external) ___printf_render_str
00007ff800aabd44 (__TEXT,__text) non-external (was a private external) ___printf_render_time
00007ff800aac03b (__TEXT,__text) non-external (was a private external) ___printf_render_vis
00007ff800a7081a (__TEXT,__text) non-external (was a private external) ___private_getcwd
00007ff840099bd8 (__DATA,__bss) non-external ___progname_pointer
                 (undefined) external ___pthread_workqueue_setkill (from libsystem_pthread)
00007ff800a66ae4 (__TEXT,__text) external ___put_page
00007ff800ac096f (__TEXT,__const) non-external (was a private external) ___puts_null__
00007ff800a6960b (__TEXT,__text) external ___quorem_D2A
00007ff800a6c3dc (__TEXT,__text) external ___ratio_D2A
00007ff800a6772f (__TEXT,__text) external ___rec_close
00007ff800a67a47 (__TEXT,__text) external ___rec_delete
00007ff800a67b4f (__TEXT,__text) external ___rec_dleaf
00007ff800a68530 (__TEXT,__text) external ___rec_fd
00007ff800a67fb3 (__TEXT,__text) external ___rec_fmap
00007ff800a67d46 (__TEXT,__text) external ___rec_fpipe
00007ff800a67c62 (__TEXT,__text) external ___rec_get
00007ff800a6885c (__TEXT,__text) external ___rec_iput
00007ff800a68189 (__TEXT,__text) external ___rec_open
00007ff800a68580 (__TEXT,__text) external ___rec_put
00007ff800a68e00 (__TEXT,__text) external ___rec_ret
00007ff800a68aac (__TEXT,__text) external ___rec_search
00007ff800a68c4c (__TEXT,__text) external ___rec_seq
00007ff800a677ee (__TEXT,__text) external ___rec_sync
00007ff800a680c6 (__TEXT,__text) external ___rec_vmap
00007ff800a67e74 (__TEXT,__text) external ___rec_vpipe
00007ff800a65a9d (__TEXT,__text) external ___reclaim_buf
                 (undefined) external ___recvfrom (from libsystem_kernel)
                 (undefined) external ___recvfrom_nocancel (from libsystem_kernel)
00007ff800a6b82c (__TEXT,__text) external ___rshift_D2A
00007ff800a6956c (__TEXT,__text) external ___rv_alloc_D2A
00007ff800a6c30d (__TEXT,__text) external ___s2b_D2A
00007ff840097800 (__DATA,__data) external ___sF
00007ff8400979d0 (__DATA,__data) non-external ___sFX
00007ff800a86ba7 (__TEXT,__text) external ___sclose
00007ff840099f70 (__DATA,__bss) non-external ___scounted
00007ff8400a4958 (__DATA,__common) external ___sdidinit
                 (undefined) external ___semwait_signal (from libsystem_kernel)
                 (undefined) external ___semwait_signal_nocancel (from libsystem_kernel)
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sendto_nocancel (from libsystem_kernel)
00007ff800aa60da (__TEXT,__text) non-external (was a private external) ___setenv_locked
00007ff800a7bdc2 (__TEXT,__text) non-external (was a private external) ___setrunelocale
00007ff840099f18 (__DATA,__bss) non-external ___setrunelocale.CachedRuneLocale
00007ff840099f20 (__DATA,__bss) non-external ___setrunelocale.cache_lock
                 (undefined) external ___settimeofday (from libsystem_kernel)
00007ff800aaea66 (__TEXT,__text) non-external ___setup_vars
00007ff800a810d6 (__TEXT,__text) external ___sflags
00007ff800a802b9 (__TEXT,__text) external ___sflush
00007ff800a80c3c (__TEXT,__text) external ___sfp
00007ff800a81015 (__TEXT,__text) non-external (was a private external) ___sfprelease
00007ff800a82863 (__TEXT,__text) external ___sfvwrite
00007ff840097c70 (__DATA,__data) external ___sglue
                 (undefined) external ___sigaltstack (from libsystem_kernel)
00007ff800a80e00 (__TEXT,__text) external ___sinit
00007ff800a8048d (__TEXT,__text) external ___slbexpand
00007ff800a8354b (__TEXT,__text) external ___smakebuf
00007ff800abcc94 (__TEXT,__text) external ___snprintf_chk
00007ff800abcd41 (__TEXT,__text) external ___snprintf_object_size_chk
00007ff800a65d11 (__TEXT,__text) external ___split_page
00007ff800a92f5f (__TEXT,__text) non-external ___sprint
00007ff800abcf14 (__TEXT,__text) external ___sprintf_chk
00007ff800abcfe7 (__TEXT,__text) external ___sprintf_object_size_chk
00007ff800a86b77 (__TEXT,__text) external ___sread
00007ff800a86209 (__TEXT,__text) external ___srefill
00007ff800a86058 (__TEXT,__text) non-external (was a private external) ___srefill0
00007ff800a861b0 (__TEXT,__text) non-external (was a private external) ___srefill1
00007ff800a86305 (__TEXT,__text) external ___srget
00007ff800a86b99 (__TEXT,__text) external ___sseek
00007ff800a9ff35 (__TEXT,__text) external ___stack_chk_fail
00007ff8400a4980 (__DATA,__common) external ___stack_chk_guard
00007ff840097c50 (__DATA,__data) external ___stderrp
00007ff840097c40 (__DATA,__data) external ___stdinp
00007ff800abd143 (__TEXT,__text) non-external (was a private external) ___stdio_init
00007ff84009b780 (__DATA,__bss) non-external ___stdout_evp
00007ff840097c48 (__DATA,__data) external ___stdoutp
00007ff800abcebf (__TEXT,__text) external ___stpcpy_chk
00007ff800abd0cd (__TEXT,__text) external ___stpncpy_chk
00007ff800abcdfb (__TEXT,__text) external ___strcat_chk
00007ff800a6c2ea (__TEXT,__text) external ___strcp_D2A
00007ff800abcbf4 (__TEXT,__text) external ___strcpy_chk
00007ff840099f78 (__DATA,__bss) non-external ___stream_max
00007ff8400a4858 (__DATA,__bss) non-external ___strerror_ebuf
00007ff800abc97d (__TEXT,__text) external ___strlcat_chk
00007ff800abcab5 (__TEXT,__text) external ___strlcpy_chk
00007ff800abcb00 (__TEXT,__text) external ___strncat_chk
00007ff800abcb8a (__TEXT,__text) external ___strncpy_chk
00007ff800a6c59c (__TEXT,__text) external ___sum_D2A
00007ff800a8e6e6 (__TEXT,__text) external ___svfscanf
00007ff800a8c587 (__TEXT,__text) non-external (was a private external) ___svfscanf_l
00007ff800ac09e0 (__TEXT,__const) non-external ___svfscanf_l.basefix
00007ff800a95f1d (__TEXT,__text) external ___swbuf
00007ff800a83758 (__TEXT,__text) external ___swhatbuf
00007ff800a86b88 (__TEXT,__text) external ___swrite
00007ff800a962ec (__TEXT,__text) external ___swsetup
                 (undefined) external ___sysctl (from libsystem_kernel)
00007ff840097f88 (__DATA,__data) non-external ___systemfn_mutex
00007ff840098080 (__DATA,__data) non-external ___systemfn_mutex
00007ff800ac0140 (__TEXT,__const) external ___tens_D2A
                 (undefined) external ___thread_selfusage (from libsystem_kernel)
00007ff800a59c0f (__TEXT,__text) non-external ___thread_stack_async_pcs
00007ff800a59a16 (__TEXT,__text) non-external ___thread_stack_pcs
00007ff800a9c75a (__TEXT,__text) non-external (was a private external) ___time_load_locale
00007ff8400a4850 (__DATA,__bss) non-external ___time_load_locale.cache
00007ff800ac0110 (__TEXT,__const) external ___tinytens_D2A
00007ff800a7b138 (__TEXT,__text) external ___tolower
00007ff800a7b2bf (__TEXT,__text) external ___tolower_l
00007ff800a7b0f8 (__TEXT,__text) external ___toupper
00007ff800a7b2a0 (__TEXT,__text) external ___toupper_l
00007ff800a6b8e3 (__TEXT,__text) external ___trailz_D2A
00007ff800a6c6f0 (__TEXT,__text) external ___ulp_D2A
00007ff800a8c124 (__TEXT,__text) non-external ___ultoa
00007ff800a92b7b (__TEXT,__text) non-external ___ultoa
00007ff800a8745b (__TEXT,__text) external ___ungetc
00007ff800a875f1 (__TEXT,__text) external ___ungetwc
                 (undefined) external ___unix_conforming (from libsystem_pthread)
00007ff800aa64ba (__TEXT,__text) non-external (was a private external) ___unsetenv_locked
00007ff800ac0f40 (__TEXT,__const) non-external (was a private external) ___uppercase_hex
00007ff800aacf98 (__TEXT,__text) non-external (was a private external) ___v2printf
