                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _asprintf (from libSystem)
                 (undefined) external _atoi (from libSystem)
000000018b32ea48 (__TEXT,__text) non-external _au_assemble
000000018b338c70 (__TEXT,__text) external _au_to_ip
000000018b338ce4 (__TEXT,__text) external _au_to_ipc
000000018b338d74 (__TEXT,__text) external _au_to_ipc_perm
000000018b338e48 (__TEXT,__text) external _au_to_iport
000000018b33aff8 (__TEXT,__text) external _au_to_kevent
000000018b33a7b4 (__TEXT,__text) external _au_to_krb5_principal
000000018b33a5a8 (__TEXT,__text) external _au_to_me
000000018b338adc (__TEXT,__text) external _au_to_newgroups
000000018b338eb8 (__TEXT,__text) external _au_to_opaque
000000018b339114 (__TEXT,__text) external _au_to_path
000000018b3394e8 (__TEXT,__text) external _au_to_process
000000018b3391c0 (__TEXT,__text) external _au_to_process32
000000018b3394ec (__TEXT,__text) external _au_to_process32_ex
000000018b339334 (__TEXT,__text) external _au_to_process64
000000018b3396f0 (__TEXT,__text) external _au_to_process64_ex
000000018b339934 (__TEXT,__text) external _au_to_process_ex
000000018b339a78 (__TEXT,__text) external _au_to_return
000000018b339938 (__TEXT,__text) external _au_to_return32
000000018b3399c8 (__TEXT,__text) external _au_to_return64
000000018b339a7c (__TEXT,__text) external _au_to_seq
000000018b339e24 (__TEXT,__text) external _au_to_sock_inet
000000018b339da0 (__TEXT,__text) external _au_to_sock_inet128
000000018b339d24 (__TEXT,__text) external _au_to_sock_inet32
000000018b339c74 (__TEXT,__text) external _au_to_sock_unix
000000018b339afc (__TEXT,__text) external _au_to_socket_ex
000000018b33a658 (__TEXT,__text) non-external _au_to_strings
000000018b33a150 (__TEXT,__text) external _au_to_subject
000000018b339e28 (__TEXT,__text) external _au_to_subject32
000000018b33a154 (__TEXT,__text) external _au_to_subject32_ex
000000018b339f9c (__TEXT,__text) external _au_to_subject64
000000018b33a35c (__TEXT,__text) external _au_to_subject64_ex
000000018b33a5a4 (__TEXT,__text) external _au_to_subject_ex
000000018b339068 (__TEXT,__text) external _au_to_text
000000018b33af70 (__TEXT,__text) external _au_to_trailer
000000018b33a7bc (__TEXT,__text) external _au_to_zonename
000000018b33b37c (__TEXT,__text) external _au_user_mask
000000018b32e8c0 (__TEXT,__text) external _au_write
                 (undefined) external _audit (from libSystem)
00000001d91cc8c8 (__DATA,__bss) non-external _audit_free_q
000000018b33cabc (__TEXT,__text) external _audit_get_car
000000018b33c768 (__TEXT,__text) external _audit_get_class
000000018b33b848 (__TEXT,__text) external _audit_get_cond
000000018b33cacc (__TEXT,__text) external _audit_get_ctlmode
000000018b33caac (__TEXT,__text) external _audit_get_cwd
000000018b33cb18 (__TEXT,__text) external _audit_get_expire_after
000000018b33c898 (__TEXT,__text) external _audit_get_fsize
000000018b33c6d0 (__TEXT,__text) external _audit_get_kaudit
000000018b33c800 (__TEXT,__text) external _audit_get_kmask
000000018b33c97c (__TEXT,__text) external _audit_get_pinfo
000000018b33c9c8 (__TEXT,__text) external _audit_get_pinfo_addr
000000018b33c2b0 (__TEXT,__text) external _audit_get_policy
000000018b33c550 (__TEXT,__text) external _audit_get_qctrl
000000018b33c3a0 (__TEXT,__text) external _audit_get_sflags
000000018b33c3e0 (__TEXT,__text) external _audit_get_sflags_mask
000000018b32e6ec (__TEXT,__text) external _audit_get_sinfo_addr
000000018b33ca14 (__TEXT,__text) external _audit_get_stat
00000001d91cc8c0 (__DATA,__bss) non-external _audit_rec_count
000000018b33c6c0 (__TEXT,__text) external _audit_send_trigger
000000018b33c7b4 (__TEXT,__text) external _audit_set_class
000000018b33c238 (__TEXT,__text) external _audit_set_cond
000000018b33c8e4 (__TEXT,__text) external _audit_set_fsize
000000018b33c71c (__TEXT,__text) external _audit_set_kaudit
000000018b33c84c (__TEXT,__text) external _audit_set_kmask
000000018b33c930 (__TEXT,__text) external _audit_set_pmask
000000018b33c328 (__TEXT,__text) external _audit_set_policy
000000018b33c608 (__TEXT,__text) external _audit_set_qctrl
000000018b33c3b0 (__TEXT,__text) external _audit_set_sflags
000000018b33c49c (__TEXT,__text) external _audit_set_sflags_mask
000000018b33ca60 (__TEXT,__text) external _audit_set_stat
000000018b33b9f4 (__TEXT,__text) non-external _audit_set_terminal_host
000000018b33b8c0 (__TEXT,__text) external _audit_set_terminal_id
000000018b33ba8c (__TEXT,__text) external _audit_set_terminal_id_ex
000000018b33b914 (__TEXT,__text) non-external _audit_set_terminal_port
000000018b33b518 (__TEXT,__text) external _audit_submit
000000018b32dffc (__TEXT,__text) external _audit_token_to_asid
000000018b32e03c (__TEXT,__text) external _audit_token_to_au32
000000018b32e01c (__TEXT,__text) external _audit_token_to_auid
000000018b32e024 (__TEXT,__text) external _audit_token_to_egid
000000018b32e00c (__TEXT,__text) external _audit_token_to_euid
000000018b32e004 (__TEXT,__text) external _audit_token_to_pid
000000018b32e034 (__TEXT,__text) external _audit_token_to_pidversion
000000018b32e02c (__TEXT,__text) external _audit_token_to_rgid
000000018b32e014 (__TEXT,__text) external _audit_token_to_ruid
000000018b33bae0 (__TEXT,__text) external _audit_write
000000018b33beb4 (__TEXT,__text) external _audit_write_failure
000000018b33bfc0 (__TEXT,__text) external _audit_write_failure_ex
000000018b33c1b0 (__TEXT,__text) external _audit_write_failure_na
000000018b33c1f4 (__TEXT,__text) external _audit_write_failure_na_ex
000000018b33c0cc (__TEXT,__text) external _audit_write_failure_self
000000018b33bcc0 (__TEXT,__text) external _audit_write_success
000000018b33bd74 (__TEXT,__text) external _audit_write_success_ex
000000018b33be28 (__TEXT,__text) external _audit_write_success_self
                 (undefined) external _auditon (from libSystem)
000000018b3375e4 (__TEXT,__text) non-external _be64dec
000000018b33d0f8 (__TEXT,__const) non-external _bsm_domains
00000001d4602cc8 (__DATA_CONST,__const) non-external _bsm_errnos
000000018b33d380 (__TEXT,__const) non-external _bsm_fcntl_cmdtab
000000018b33d320 (__TEXT,__const) non-external _bsm_socket_types
                 (undefined) external _bzero (from libSystem)
000000018b338704 (__TEXT,__text) external _cannot_audit
                 (undefined) external _clearerr (from libSystem)
000000018b337b28 (__TEXT,__text) non-external _close_tag
                 (undefined) external _ctime_r (from libSystem)
000000018b32f7d8 (__TEXT,__text) external _endac
000000018b32f330 (__TEXT,__text) external _endauclass
000000018b3303a0 (__TEXT,__text) external _endauevent
000000018b33b050 (__TEXT,__text) external _endauuser
00000001d91ccfa8 (__DATA,__bss) non-external _ev_cache
000000018b330804 (__TEXT,__text) non-external _eventfromstr
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _ferror (from libSystem)
000000018b332a74 (__TEXT,__text) non-external _fetch_arb_tok
000000018b331294 (__TEXT,__text) non-external _fetch_arg32_tok
000000018b331318 (__TEXT,__text) non-external _fetch_arg64_tok
000000018b33139c (__TEXT,__text) non-external _fetch_attr32_tok
000000018b331460 (__TEXT,__text) non-external _fetch_attr64_tok
000000018b332b04 (__TEXT,__text) non-external _fetch_cert_hash_tok
000000018b33159c (__TEXT,__text) non-external _fetch_execarg_tok
000000018b331634 (__TEXT,__text) non-external _fetch_execenv_tok
000000018b331548 (__TEXT,__text) non-external _fetch_exit_tok
000000018b3316cc (__TEXT,__text) non-external _fetch_file_tok
000000018b330e80 (__TEXT,__text) non-external _fetch_header32_ex_tok
000000018b330db8 (__TEXT,__text) non-external _fetch_header32_tok
000000018b3310bc (__TEXT,__text) non-external _fetch_header64_ex_tok
000000018b330fd0 (__TEXT,__text) non-external _fetch_header64_tok
000000018b332c34 (__TEXT,__text) non-external _fetch_identity_tok
000000018b3317f8 (__TEXT,__text) non-external _fetch_inaddr_ex_tok
000000018b3317c4 (__TEXT,__text) non-external _fetch_inaddr_tok
000000018b331884 (__TEXT,__text) non-external _fetch_ip_tok
000000018b3319c0 (__TEXT,__text) non-external _fetch_ipc_tok
000000018b331a10 (__TEXT,__text) non-external _fetch_ipcperm_tok
000000018b331af0 (__TEXT,__text) non-external _fetch_iport_tok
000000018b332b9c (__TEXT,__text) non-external _fetch_krb5_principal_tok
000000018b331754 (__TEXT,__text) non-external _fetch_newgroups_tok
000000018b331b24 (__TEXT,__text) non-external _fetch_process32_tok
000000018b331c40 (__TEXT,__text) non-external _fetch_process32ex_tok
000000018b331dac (__TEXT,__text) non-external _fetch_process64_tok
000000018b331ef8 (__TEXT,__text) non-external _fetch_process64ex_tok
000000018b332090 (__TEXT,__text) non-external _fetch_return32_tok
000000018b3320e0 (__TEXT,__text) non-external _fetch_return64_tok
000000018b332328 (__TEXT,__text) non-external _fetch_sock_inet128_tok
000000018b3321ec (__TEXT,__text) non-external _fetch_sock_inet32_tok
000000018b332268 (__TEXT,__text) non-external _fetch_sock_unix_tok
000000018b332130 (__TEXT,__text) non-external _fetch_socket_tok
000000018b332914 (__TEXT,__text) non-external _fetch_socketex32_tok
000000018b3323a8 (__TEXT,__text) non-external _fetch_subject32_tok
000000018b3324c4 (__TEXT,__text) non-external _fetch_subject32ex_tok
000000018b332630 (__TEXT,__text) non-external _fetch_subject64_tok
000000018b33277c (__TEXT,__text) non-external _fetch_subject64ex_tok
000000018b33123c (__TEXT,__text) non-external _fetch_trailer_tok
                 (undefined) external _fgetc (from libSystem)
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fileno (from libSystem)
00000001d91ccfa0 (__DATA,__bss) non-external _firsttime
000000018b338508 (__TEXT,__text) non-external _flush_cache
                 (undefined) external _fopen (from libSystem)
00000001d91ccab0 (__DATA,__bss) non-external _fp
00000001d91ccbb8 (__DATA,__bss) non-external _fp
00000001d91cccc8 (__DATA,__bss) non-external _fp
00000001d91ccfb8 (__DATA,__bss) non-external _fp
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fseek (from libSystem)
                 (undefined) external _fstat (from libSystem)
                 (undefined) external _fwrite (from libSystem)
000000018b32f82c (__TEXT,__text) external _getacdir
000000018b32ffe8 (__TEXT,__text) external _getacexpire
000000018b32fac8 (__TEXT,__text) external _getacfilesz
000000018b32fc78 (__TEXT,__text) external _getacflg
000000018b32ff38 (__TEXT,__text) external _getachost
000000018b32fa44 (__TEXT,__text) external _getacmin
000000018b32fd28 (__TEXT,__text) external _getacna
000000018b32fdd8 (__TEXT,__text) external _getacpol
000000018b32fe88 (__TEXT,__text) external _getacsflagsmask
000000018b32f0e0 (__TEXT,__text) external _getauclassent
00000001d91cc9c0 (__DATA,__bss) non-external _getauclassent.c
00000001d91cc978 (__DATA,__bss) non-external _getauclassent.class_ent_desc
00000001d91cc970 (__DATA,__bss) non-external _getauclassent.class_ent_name
00000001d91cc9d8 (__DATA,__bss) non-external _getauclassent.cp
000000018b32ef24 (__TEXT,__text) external _getauclassent_r
000000018b32ef6c (__TEXT,__text) non-external _getauclassent_r_locked
000000018b32f238 (__TEXT,__text) external _getauclassnam
00000001d91cca30 (__DATA,__bss) non-external _getauclassnam.c
00000001d91cc9e8 (__DATA,__bss) non-external _getauclassnam.class_ent_desc
00000001d91cc9e0 (__DATA,__bss) non-external _getauclassnam.class_ent_name
000000018b32f1ac (__TEXT,__text) external _getauclassnam_r
000000018b32f2f4 (__TEXT,__text) external _getauclassnum
00000001d91cca98 (__DATA,__bss) non-external _getauclassnum.c
00000001d91cca50 (__DATA,__bss) non-external _getauclassnum.class_ent_desc
00000001d91cca48 (__DATA,__bss) non-external _getauclassnum.class_ent_name
000000018b32f274 (__TEXT,__text) external _getauclassnum_r
                 (undefined) external _getaudit_addr (from libSystem)
000000018b330938 (__TEXT,__text) external _getauditflagsbin
000000018b330aac (__TEXT,__text) external _getauditflagschar
000000018b3304d0 (__TEXT,__text) external _getauevent
00000001d91ccd20 (__DATA,__bss) non-external _getauevent.e
00000001d91cccee (__DATA,__bss) non-external _getauevent.event_ent_desc
00000001d91cccd0 (__DATA,__bss) non-external _getauevent.event_ent_name
000000018b3303f4 (__TEXT,__text) external _getauevent_r
000000018b330600 (__TEXT,__text) external _getauevnam
00000001d91ccd90 (__DATA,__bss) non-external _getauevnam.e
00000001d91ccd5e (__DATA,__bss) non-external _getauevnam.event_ent_desc
00000001d91ccd40 (__DATA,__bss) non-external _getauevnam.event_ent_name
000000018b330510 (__TEXT,__text) external _getauevnam_r
000000018b3307f4 (__TEXT,__text) external _getauevnonam
00000001d91cce98 (__DATA,__bss) non-external _getauevnonam.event
000000018b330770 (__TEXT,__text) external _getauevnonam_r
00000001d91cce70 (__DATA,__bss) non-external _getauevnonam_r.e
00000001d91cce90 (__DATA,__bss) non-external _getauevnonam_r.ep
00000001d91cce3e (__DATA,__bss) non-external _getauevnonam_r.event_ent_desc
00000001d91cce20 (__DATA,__bss) non-external _getauevnonam_r.event_ent_name
000000018b33072c (__TEXT,__text) external _getauevnum
00000001d91cce00 (__DATA,__bss) non-external _getauevnum.e
00000001d91ccdce (__DATA,__bss) non-external _getauevnum.event_ent_desc
00000001d91ccdb0 (__DATA,__bss) non-external _getauevnum.event_ent_name
000000018b330644 (__TEXT,__text) external _getauevnum_r
000000018b33b258 (__TEXT,__text) external _getauuserent
00000001d91ccff8 (__DATA,__bss) non-external _getauuserent.u
00000001d91ccfc0 (__DATA,__bss) non-external _getauuserent.user_ent_name
000000018b33b0a4 (__TEXT,__text) external _getauuserent_r
000000018b33b0ec (__TEXT,__text) non-external _getauuserent_r_locked
000000018b33b34c (__TEXT,__text) external _getauusernam
00000001d91cd048 (__DATA,__bss) non-external _getauusernam.u
00000001d91cd010 (__DATA,__bss) non-external _getauusernam.user_ent_name
000000018b33b2c4 (__TEXT,__text) external _getauusernam_r
                 (undefined) external _getegid (from libSystem)
                 (undefined) external _geteuid (from libSystem)
000000018b33b440 (__TEXT,__text) external _getfauditflags
                 (undefined) external _getgid (from libSystem)
                 (undefined) external _getgrgid (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
000000018b32f8d8 (__TEXT,__text) non-external _getstrfromtype_locked
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
                 (undefined) external _inet_ntoa (from libSystem)
                 (undefined) external _inet_ntop (from libSystem)
                 (undefined) external _ioctl (from libSystem)
00000001d91ccab8 (__DATA,__bss) non-external _linestr
00000001d91ccbc8 (__DATA,__bss) non-external _linestr
00000001d91cce9a (__DATA,__bss) non-external _linestr
00000001d91cd060 (__DATA,__bss) non-external _linestr
000000018b338450 (__TEXT,__text) non-external _load_event_table
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00000001d91cc740 (__DATA,__data) non-external _mutex
00000001d91cc780 (__DATA,__data) non-external _mutex
00000001d91cc7c0 (__DATA,__data) non-external _mutex
00000001d91cc800 (__DATA,__data) non-external _mutex
00000001d91cc840 (__DATA,__data) non-external _mutex
00000001d91cc880 (__DATA,__data) non-external _mutex
                 (undefined) external _notify_cancel (from libSystem)
                 (undefined) external _notify_check (from libSystem)
                 (undefined) external _notify_register_check (from libSystem)
00000001d91cc8d0 (__DATA,__bss) non-external _open_desc_table
000000018b3379c0 (__TEXT,__text) non-external _print_event
000000018b3380d8 (__TEXT,__text) non-external _print_group
000000018b337dcc (__TEXT,__text) non-external _print_ip_ex_address
000000018b3381e4 (__TEXT,__text) non-external _print_ipctype
000000018b33815c (__TEXT,__text) non-external _print_mem
000000018b338284 (__TEXT,__text) non-external _print_retval
000000018b337a94 (__TEXT,__text) non-external _print_sec32
000000018b337eb8 (__TEXT,__text) non-external _print_sec64
000000018b337f48 (__TEXT,__text) non-external _print_string
000000018b3375f0 (__TEXT,__text) non-external _print_tok_type
000000018b338054 (__TEXT,__text) non-external _print_user
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
000000018b32f704 (__TEXT,__text) external _setac
000000018b32f748 (__TEXT,__text) non-external _setac_locked
00000001d91ccbc0 (__DATA,__bss) non-external _setac_locked.lastctime
000000018b32f15c (__TEXT,__text) external _setauclass
000000018b330350 (__TEXT,__text) external _setauevent
000000018b33b000 (__TEXT,__text) external _setauuser
000000018b3301cc (__TEXT,__text) non-external _setexpirecond
                 (undefined) external _sscanf (from libSystem)
                 (undefined) external _stat (from libSystem)
                 (undefined) external _strcasestr (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strerror (from libSystem)
                 (undefined) external _strlcat (from libSystem)
                 (undefined) external _strlcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strsep (from libSystem)
                 (undefined) external _strtok_r (from libSystem)
                 (undefined) external _strtoul (from libSystem)
                 (undefined) external _sysctl (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00000001d91ccfb0 (__DATA,__bss) non-external _token
                 (undefined) external _vsnprintf (from libSystem)
