00007ffd41bbd710 (__DATA,__bss) non-external __ZL12reportShadow
00007ffd059bbbc0 (__TEXT,__text) non-external (was a private external) __ZNK5trace9ExtractorINS_5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEENS_13AllocationMapILm1048576EXadL_ZNS3_11hashPointerEmEEEEE14retrieveTracesERK14AllocationInfoR24sanitizers_stack_trace_tSC_
00007ffd059be056 (__TEXT,__text) non-external __ZNK5trace9ExtractorINS_5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEENS_13AllocationMapILm1048576EXadL_ZNS3_11hashPointerEmEEEEE14retrieveTracesERK14AllocationInfoR24sanitizers_stack_trace_tSC_.cold.1
00007ffd059bba5a (__TEXT,__text) non-external (was a private external) __ZNK5trace9ExtractorINS_5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEENS_13AllocationMapILm1048576EXadL_ZNS3_11hashPointerEmEEEEE14retrieveTracesEmR24sanitizers_stack_trace_tS9_
00007ffd059bb246 (__TEXT,__text) non-external (was a private external) __ZNK5trace9ExtractorINS_5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEENS_13AllocationMapILm1048576EXadL_ZNS3_11hashPointerEmEEEEE19diagnoseMemoryErrorEmR25sanitizers_memory_error_t
00007ffd059bc300 (__TEXT,__text) non-external (was a private external) __ZNK6config3env6Parser10getSettingINS0_16AllocationTracesELm4EEET_PKcS4_RAT0__KNS1_7SettingIS4_EE
00007ffd059bc36e (__TEXT,__text) non-external (was a private external) __ZNK6config3env6Parser10getSettingINS0_7AddressELm2EEET_PKcS4_RAT0__KNS1_7SettingIS4_EE
00007ffd059bc3dc (__TEXT,__text) non-external (was a private external) __ZNK6config3env6Parser10getSettingIbLm3EEET_PKcS3_RAT0__KNS1_7SettingIS3_EE
00007ffd059bc13c (__TEXT,__text) non-external (was a private external) __ZNK6config3env6Parser9getConfigEv
00007ffd059bc44e (__TEXT,__text) non-external (was a private external) __ZNK6config3env6Parser9getNumberIlXadL_Z6strtolEEEET_PKcS3_
00007ffd059bc004 (__TEXT,__text) non-external (was a private external) __ZNK9BlockInfo11absDistanceEm
00007ffd059bc03a (__TEXT,__text) non-external (was a private external) __ZNK9BlockInfo12endInclusiveEv
00007ffd059be077 (__TEXT,__text) non-external __ZNK9BlockInfo12endInclusiveEv.cold.1
00007ffd404ccca0 (__DATA_CONST,__const) non-external (was a private external) __ZTV10ASanShadow
00007ffd404ccc80 (__DATA_CONST,__const) non-external (was a private external) __ZTVN4asan19GlobalsRegistryImplE
00007ffd404ccbd8 (__DATA_CONST,__const) non-external (was a private external) __ZTVN5trace9ExtractorINS_5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEENS_13AllocationMapILm1048576EXadL_ZNS3_11hashPointerEmEEEEEE
00007ffd41bbd6b0 (__DATA,__data) non-external __ZZL21unsetIntegrationHooksvE5funcs
00007ffd059bd2e8 (__TEXT,__text) non-external __ZZL21unsetIntegrationHooksvEN3$_08__invokeEmmmm
00007ffd059bd2ee (__TEXT,__text) non-external __ZZL21unsetIntegrationHooksvEN3$_18__invokeEmm
00007ffd059bc848 (__TEXT,__text) non-external __ZZN4asan14initGlobalVarsEP6ShadowPNS_15GlobalsRegistryEEN3$_08__invokeEPK11mach_headerl
00007ffd059be101 (__TEXT,__text) non-external __ZZN4asan14initGlobalVarsEP6ShadowPNS_15GlobalsRegistryEEN3$_08__invokeEPK11mach_headerl.cold.1
00007ffd41bbd698 (__DATA,__data) non-external __ZZN4asan18initLibmallocHooksEP6ShadowE5funcs
00007ffd059bcdca (__TEXT,__text) non-external __ZZN4asan18initLibmallocHooksEP6ShadowEN3$_08__invokeEmmmm
00007ffd059be143 (__TEXT,__text) non-external __ZZN4asan18initLibmallocHooksEP6ShadowEN3$_08__invokeEmmmm.cold.1
00007ffd059bce38 (__TEXT,__text) non-external __ZZN4asan18initLibmallocHooksEP6ShadowEN3$_18__invokeEmm
00007ffd059bcc5b (__TEXT,__text) external ___asan_abi_addr_is_in_fake_stack
00007ffd059bcb96 (__TEXT,__text) external ___asan_abi_address_is_poisoned
00007ffd059bc9ea (__TEXT,__text) external ___asan_abi_after_dynamic_init
00007ffd059bcc63 (__TEXT,__text) external ___asan_abi_alloca_poison
00007ffd059bcc69 (__TEXT,__text) external ___asan_abi_allocas_unpoison
00007ffd059bc9e4 (__TEXT,__text) external ___asan_abi_before_dynamic_init
00007ffd059bcad3 (__TEXT,__text) external ___asan_abi_exp_load_n
00007ffd059bcb74 (__TEXT,__text) external ___asan_abi_exp_store_n
00007ffd059bcc53 (__TEXT,__text) external ___asan_abi_get_current_fake_stack
00007ffd059bca14 (__TEXT,__text) external ___asan_abi_handle_no_return
00007ffd059bca0e (__TEXT,__text) external ___asan_abi_init
00007ffd059bcc4b (__TEXT,__text) external ___asan_abi_load_cxx_array_cookie
00007ffd059bca32 (__TEXT,__text) external ___asan_abi_load_n
00007ffd059bc9f0 (__TEXT,__text) external ___asan_abi_memcpy
00007ffd059bc9fa (__TEXT,__text) external ___asan_abi_memmove
00007ffd059bca04 (__TEXT,__text) external ___asan_abi_memset
00007ffd059bcc45 (__TEXT,__text) external ___asan_abi_poison_cxx_array_cookie
00007ffd059bcc39 (__TEXT,__text) external ___asan_abi_poison_intra_object_redzone
00007ffd059bcbb8 (__TEXT,__text) external ___asan_abi_poison_memory_region
00007ffd059bcc2d (__TEXT,__text) external ___asan_abi_poison_stack_memory
00007ffd059bcab1 (__TEXT,__text) external ___asan_abi_region_is_poisoned
00007ffd059bc9cc (__TEXT,__text) external ___asan_abi_register_elf_globals
00007ffd059bc9d8 (__TEXT,__text) external ___asan_abi_register_globals
00007ffd059bc9c0 (__TEXT,__text) external ___asan_abi_register_image_globals
00007ffd059bca26 (__TEXT,__text) external ___asan_abi_report_exp_load_n
00007ffd059bca2c (__TEXT,__text) external ___asan_abi_report_exp_store_n
00007ffd059bca1a (__TEXT,__text) external ___asan_abi_report_load_n
00007ffd059bca20 (__TEXT,__text) external ___asan_abi_report_store_n
00007ffd059bcc06 (__TEXT,__text) external ___asan_abi_set_shadow_xx_n
00007ffd059bcce5 (__TEXT,__text) external ___asan_abi_stack_free_n
00007ffd059bccaa (__TEXT,__text) external ___asan_abi_stack_malloc_always_n
00007ffd059bcc6f (__TEXT,__text) external ___asan_abi_stack_malloc_n
00007ffd059bcaf5 (__TEXT,__text) external ___asan_abi_store_n
00007ffd059bcc3f (__TEXT,__text) external ___asan_abi_unpoison_intra_object_redzone
00007ffd059bcbe4 (__TEXT,__text) external ___asan_abi_unpoison_memory_region
00007ffd059bcc33 (__TEXT,__text) external ___asan_abi_unpoison_stack_memory
00007ffd059bc9d2 (__TEXT,__text) external ___asan_abi_unregister_elf_globals
00007ffd059bc9de (__TEXT,__text) external ___asan_abi_unregister_globals
00007ffd059bc9c6 (__TEXT,__text) external ___asan_abi_unregister_image_globals
00007ffd059bd52a (__TEXT,__text) external ___asan_get_alloc_stack
00007ffd059be1cb (__TEXT,__text) non-external ___asan_get_alloc_stack.cold.1
00007ffd059bd579 (__TEXT,__text) external ___asan_get_free_stack
00007ffd059be1ec (__TEXT,__text) non-external ___asan_get_free_stack.cold.1
00007ffd059bd45e (__TEXT,__text) external ___asan_get_report_access_size
00007ffd059bd451 (__TEXT,__text) external ___asan_get_report_access_type
00007ffd059bd444 (__TEXT,__text) external ___asan_get_report_address
00007ffd059bd42a (__TEXT,__text) external ___asan_get_report_bp
00007ffd059bd46b (__TEXT,__text) external ___asan_get_report_description
00007ffd059bd41d (__TEXT,__text) external ___asan_get_report_pc
00007ffd059bd437 (__TEXT,__text) external ___asan_get_report_sp
00007ffd059bd510 (__TEXT,__text) external ___asan_get_shadow_mapping
00007ffd059bd478 (__TEXT,__text) external ___asan_locate_address
00007ffd059be168 (__TEXT,__text) non-external ___asan_locate_address.cold.1
00007ffd059be189 (__TEXT,__text) non-external ___asan_locate_address.cold.2
00007ffd059be1aa (__TEXT,__text) non-external ___asan_locate_address.cold.3
00007ffd059bd40a (__TEXT,__text) external ___asan_report_present
                 (undefined) external ___assert_rtn (from libsystem_c)
                 (undefined) external ___bzero (from libsystem_platform)
00007ffd059bd5c8 (__TEXT,__text) non-external (was a private external) ___cxa_pure_virtual
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
                 (undefined) external ___stderrp (from libsystem_c)
                 (undefined) external __dyld_register_func_for_add_image (from libdyld)
                 (undefined) external __exit (from libsystem_kernel)
00007ffd059bc060 (__TEXT,__text) external __sanitizers_init
                 (undefined) external __simple_getenv (from libsystem_platform)
                 (undefined) external _abort (from libsystem_c)
                 (undefined) external _backtrace_from_fp (from libsystem_c)
                 (undefined) external _dladdr (from libdyld)
                 (undefined) external _fputs (from libsystem_c)
                 (undefined) external _free (from libsystem_malloc)
                 (undefined) external _getsectiondata (from libmacho)
00007ffd059be4b0 (__TEXT,__const) non-external (was a private external) _libsystem_sanitizersVersionNumber
00007ffd059be470 (__TEXT,__const) non-external (was a private external) _libsystem_sanitizersVersionString
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _malloc_logger (from libsystem_malloc)
                 (undefined) external _malloc_sanitizer_set_functions (from libsystem_malloc)
                 (undefined) external _malloc_size (from libsystem_malloc)
                 (undefined) external _malloc_type_malloc (from libsystem_malloc)
                 (undefined) external _memcmp (from libsystem_c)
                 (undefined) external _memcpy (from libsystem_c)
                 (undefined) external _memmove (from libsystem_c)
                 (undefined) external _memset (from libsystem_c)
00007ffd059bd400 (__TEXT,__text) external _sanitizers_address_on_report
00007ffd059bb160 (__TEXT,__text) external _sanitizers_diagnose_memory_error
00007ffd41bbdbf0 (__DATA,__common) external _sanitizers_report_globals
                 (undefined) external _strtol (from libsystem_c)
                 (undefined) external _strtoul (from libsystem_c)
                 (undefined) external _thread_stack_pcs (from libsystem_c)
                 (undefined) external _vm_map (from libsystem_kernel)
                 (undefined) external _vm_page_size (from libsystem_kernel)
                 (undefined) external _vsnprintf (from libsystem_c)
